Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043),S(706),S(2408),S(2271),S(529)
0.0,0.504180589464734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6972472670007926,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9300648195497755e-21,0.504180589464734,5.009754875164121e-29,2.1158749080887764e-33,2.469551442740742e-37,1.3230683386730012e-30,0.0,0.0,2.0108623095470303e-23,6.841502509680712e-42,8.441961798963685e-55,1.5282942062468341e-56,6.4909525902063165e-62,1.9989409961298418e-74,1.6967417291750803e-52,6.679964179706694e-43,2.1727975854858716e-40,7.951069813101576e-57,5.771920247224965e-73,6.578884757456491e-72,8.384929055202557e-43,2.0679088109945513e-64,1.008270660481161e-30,1.0154824736231587e-74,4.682620773732063e-59,4.3856113044808974e-66,1.827785316404648e-48,3.197011585327617e-47,2.2722050515565994e-88,6.67191323977059e-71,1.5716213283745104e-74,7.281189032633817e-70,1.9316636569313529e-62,4.868031439847797e-76,3.76,0.0,0.6972472670007926,0.9999999999999994,2.8707383129847157e-51,3.5972294803258187e-56,3.7967218243620293e-20,3.7967218243620293e-20,1.8117655703799975e-42,1.2794723701792686e-47,5.024937781804278e-16,9.472530729872237e-46,6.990492954624422e-48,2.0108673193018892e-23,8.984667873407842e-38,2.648201537471497e-45,1.5435050768044183e-38,2.337939142399932e-22,1.0408900303706035e-44,2.4693257955576433e-37,2.953206168501542e-28,2.6518891389869215e-46,8.963828520756766e-43,1.576858173949038e-39,9.815455670039405e-52,5.671452392637167e-53,1.0082706604818599e-30,4.648038173085055e-65,2.1727975854859013e-40,3.717349636846892e-38,3.9445293239556985e-60,7.043245560660542e-58,2.415311934332517e-74,5.4812274255959794e-58,7.177271335884524e-73,9.441824250467533e-80,3.5235633378415765e-84,4.195332852477152e-83,1.6225437398518684e-70,7.954216256483499e-70,3.680049977686422e-84,3.679781384116217e-55,6.2426677573908235e-62,1.4337959340843978e-53,2.584389370461764e-60,5.0609353793292376e-83,1.3230683386714036e-30,2.2517459697554846e-41,3.6900784549422402e-62,6.003274997818878e-55,3.990665015635922e-48,1.5952787572862796e-51,4.341240909011136e-71,1.618796441739627e-39,8.584551999485468e-65,1.8897671418976776e-58,3.5997284159099647e-73,5.315554854474341e-73,2.953206168499864e-28,3.610470605555374e-88,3.997535961954548e-68,3.3850530621884916e-65,2.4815069688707636e-69,6.264610627301458e-99,1.762571954576859e-80,9.888673815493827e-61,9.686843405127605e-61,1.7641016581002165e-59,6.627304930024008e-96
1.3804181494739372e-20,0.504180589464734,1.4027313651960263e-28,5.924449742802131e-33,1.491609071415389e-36,3.704591348285904e-30,0.0,0.0,5.630414466731686e-23,4.1322675158471505e-41,1.0022297047729575e-53,1.8143908820224365e-55,7.706058915096128e-61,2.3731427506026885e-73,1.0248320044209752e-51,4.034698364537886e-42,1.3123697416334573e-39,9.439510082105365e-56,6.85242372649632e-72,7.810451984068792e-71,5.064497149342344e-42,2.455021340412465e-63,2.823157849345086e-30,2.271593674195959e-73,5.559207382574438e-58,6.627013241407845e-65,1.1039823311083902e-47,1.930994997537877e-46,5.082956725117999e-87,7.920895398255615e-70,3.684307924467847e-73,1.1003332866381714e-68,2.293271094593564e-61,1.527011915026909e-74,3.76,0.0,0.6972472670007926,0.9999999999999986,3.408140525175418e-50,4.270630839042785e-55,1.0630821108213681e-19,1.0630821108213681e-19,1.0943064045082494e-41,7.728013115881479e-47,1.4069825788830049e-15,5.721408560842311e-45,4.2222577446954246e-47,5.630428494045241e-23,5.426739395538182e-37,1.5995148756405543e-44,9.322770663898618e-38,6.546229598719801e-22,6.286975783438121e-44,1.491472780516814e-36,8.268977271804273e-28,1.601741039964471e-45,5.4141524265369485e-42,9.524223370651859e-39,5.928535224698622e-51,3.425557246065715e-52,2.8231578493493085e-30,5.518150919087215e-64,1.3123697416334756e-39,2.2452791806551444e-37,4.682945213400117e-59,8.361741129616406e-57,7.594126817493705e-73,6.509772140826931e-57,1.6061064537973726e-71,2.1120983175327968e-78,7.882070244203064e-83,9.38479768976767e-82,1.92628392794286e-69,9.44325174121057e-69,8.232124597941731e-83,4.368636459181029e-54,7.411295162631411e-61,1.702202532944871e-52,3.0681870605973063e-59,1.1321110006144108e-81,3.704591348276255e-30,1.3600545657323052e-40,4.3808611416549245e-61,7.127088077410379e-54,2.410361669444077e-47,9.635483694044371e-51,6.560480090991921e-70,9.777530508107335e-39,1.0191579909088027e-63,2.243531550860898e-57,8.052448477252636e-72,1.0154204824036717e-71,8.268977271794143e-28,8.076478325803786e-87,4.745881117891637e-67,4.018737645700567e-64,2.946045256503752e-68,2.9926796719897267e-97,3.9428054434666434e-79,1.1739833553754148e-59,1.150022049395899e-59,2.0943414884601823e-58,3.170887575169308e-94
3.1552414845118564e-20,0.504180589464734,3.2062431211555455e-28,1.3541599412843072e-32,7.181455595489788e-36,8.467637367517713e-30,0.0,0.0,1.2869518781100995e-22,1.9895089298151515e-40,9.839950672871591e-53,1.7813797279365152e-54,7.565854339154375e-60,2.329965625080696e-72,4.9341249484295314e-51,1.9425335834512714e-41,6.318495378592782e-39,9.26776697412383e-55,6.727750267628598e-71,7.668348073340339e-70,2.438337369252904e-41,2.410354510094425e-62,6.45293222706428e-30,4.4882863039375235e-72,5.458062773861266e-57,7.128858547869813e-64,5.315199700104457e-47,9.296909690132656e-46,1.0043824985815103e-85,7.776782072276507e-69,7.428690048299065e-72,1.1836883387450386e-67,2.251547160094863e-60,3.404430673368427e-73,3.76,0.0,0.6972472670007926,0.9999999999999968,3.3461325776148657e-49,4.1929306822676924e-54,2.429901967591699e-19,2.429901967591699e-19,5.268614278645994e-41,3.7207056524793565e-46,3.215960180199385e-15,2.7546119362460677e-44,2.03283535135687e-46,1.2869550843531745e-22,2.612741417586767e-36,7.70098727608366e-44,4.488512763347146e-37,1.496281051135951e-21,3.0269082083172295e-43,7.180799413481588e-36,1.8900519478409566e-27,7.711693616414843e-45,2.60668133383586e-41,4.5855035698433077e-38,2.8543345088396885e-50,1.6492583571481875e-51,6.45293222708461e-30,5.417753294549913e-63,6.31849537859287e-39,1.0810052743945092e-36,4.5977433800024916e-58,8.209607025506582e-56,1.694207890926862e-71,6.392410383720147e-56,3.1739544989863415e-70,4.173150356438772e-77,1.5573642560044427e-81,1.854280432487742e-80,1.8912369831425746e-68,9.271453693228794e-68,1.6265290973271956e-81,4.289153181196462e-53,7.276453541291529e-60,1.6712325407683848e-51,3.0123642501640445e-58,2.236860560193923e-80,8.467637367471257e-30,6.548077280048841e-40,4.301155446917917e-60,6.997417337457085e-53,1.1604853865468959e-46,4.639070626241361e-50,7.057464018739856e-69,4.70746005257882e-38,1.000615311402632e-62,2.202712580595858e-56,1.5910281237421862e-70,1.8110902850869815e-70,1.890051947836079e-27,1.5957760168791312e-85,4.6595477205440104e-66,3.9456260648314414e-63,2.892445070035958e-67,1.5582821007351255e-95,7.790329877243036e-78,1.1526238199339204e-58,1.129098468353038e-58,2.056236892568789e-57,1.6494826849167332e-92
6.704888154587694e-20,0.504180589464734,6.813266635475745e-28,2.8775898755381877e-32,3.1363303322804424e-35,1.7993729406005343e-29,0.0,0.0,2.7347727409839614e-22,8.688708187294506e-40,8.703324936258467e-52,1.5756101972561684e-53,6.691912482419871e-59,2.0608282093527014e-71,2.1548619960403627e-50,8.483554508150683e-41,2.759452933566918e-38,8.197234934457731e-54,5.950618955420214e-70,6.782567029648789e-69,1.0648859900107247e-40,2.1319312677812104e-61,1.3712480982468037e-29,7.986665669638154e-71,4.8275947128850685e-56,6.55258399751804e-63,2.3212873518336325e-46,4.060204713366015e-45,1.7875154780346833e-84,6.878475673673686e-68,1.3340808964273979e-70,1.0880135149583464e-66,1.991467965408518e-59,6.374494327459821e-72,3.76,0.0,0.6972472670007926,0.9999999999999931,2.959616371154465e-48,3.708599705036531e-53,5.16354168113236e-19,5.16354168113236e-19,2.300942274362923e-40,1.624929910125649e-45,6.8339153824770505e-15,1.2030114026929689e-43,8.877926053938434e-46,2.7347795542503964e-22,1.1410528199225536e-35,3.3632337312092333e-43,1.960251447541506e-36,3.179597233663879e-21,1.3219303385701648e-42,3.1360437603581664e-35,4.0163603891619454e-27,3.367899206760111e-44,1.1384062221358948e-40,2.002609880914768e-37,1.2465628700869741e-49,7.202744552798629e-51,1.3712480982556826e-29,4.7919414349279085e-62,2.759452933566959e-38,4.7210340387896935e-36,4.0666519518248003e-57,7.261304443219965e-55,3.1730638570523755e-70,5.654442512547766e-55,5.648335914593077e-69,7.425898088718011e-76,2.7712464838837324e-80,3.2996020950054284e-79,1.672777693977279e-67,8.200519163578629e-67,2.8943216233553775e-80,3.793707415496718e-52,6.4359407580408984e-59,1.4781862562028347e-50,2.6644020652742694e-57,3.98037385186358e-79,1.7993729405802458e-29,2.859717381589352e-39,3.804323283565457e-59,6.1891363917500894e-52,5.0681445698573055e-46,2.026004021808197e-49,6.487024931958568e-68,2.0558714810093104e-37,8.850328266583996e-62,1.9482743326106736e-55,2.8311495378907e-69,3.0501817869006204e-69,4.016360389140646e-27,2.8395981600518527e-84,4.1213411601750004e-65,3.489871557367187e-62,2.5583355570918545e-66,6.218694800198986e-94,1.386251417911578e-76,1.0194827156820659e-57,9.986748099029007e-58,1.8187182451980696e-56,6.580436156592885e-91
1.380418149473937e-19,0.504180589464734,1.4027313673720784e-27,5.924449745028716e-32,1.309356174940872e-34,3.704591348307667e-29,0.0,0.0,5.630414466731688e-22,3.627364630632715e-39,7.315669023590987e-51,1.3243953107513433e-52,5.6249556594690304e-58,1.73225028415876e-70,8.996124647978373e-50,3.5417170080113572e-40,1.1520172798244838e-37,6.890269882812557e-53,5.001853839291586e-69,5.7011562688384874e-68,4.445689385068396e-40,1.7920166890637595e-60,2.823157849313704e-29,1.3470679007434712e-69,4.0578842405806714e-55,5.60584869020411e-62,9.690917747575006e-46,1.6950555425406499e-44,3.0158177443134906e-83,5.781773262972991e-67,2.2600394196696507e-69,9.308184688545493e-66,1.673948820080149e-58,1.1009095222746318e-70,3.76,0.0,0.6972472670007926,0.9999999999999859,2.4877358902190744e-47,3.1173015119783534e-52,1.0630821108213683e-18,1.0630821108213683e-18,9.605981053977683e-40,6.783762506672282e-45,1.4069825785612002e-14,5.0223357929710135e-43,3.7063593659481043e-45,5.630428494044526e-22,4.7636709064786565e-35,1.404092455925777e-42,8.183663917216081e-36,6.546229598719685e-21,5.518798941020422e-42,1.309236536804626e-34,8.268977271803646e-27,1.4060316217119794e-43,4.752621881703305e-40,8.36050203827321e-37,5.2041545961826196e-49,3.0070040713107098e-50,2.823157849350772e-29,4.027915512192253e-61,1.1520172798245028e-37,1.9709387774509496e-35,3.4182659996697965e-56,6.103563910941949e-54,5.480678710424567e-69,4.7530693015908776e-54,9.527106853626728e-68,1.252486251871643e-74,4.674112248892898e-79,5.565292055846963e-78,1.4060704441462026e-66,6.893069786365669e-66,4.881696459981151e-79,3.188839670479963e-51,5.409796008355339e-58,1.2425046157411143e-49,2.2395904780362723e-56,6.713482284839631e-78,3.704591348222966e-29,1.1938757131642565e-38,3.1977629471775536e-58,5.202342060707587e-51,2.115850591289883e-45,8.458167971623453e-49,5.5497862543684535e-67,8.582858734103362e-37,7.439232755975097e-61,1.6376419688939735e-54,4.775147505161648e-68,5.000287573660764e-68,8.268977271714727e-27,4.7893973413228454e-83,3.464275882440335e-64,2.9334641233481283e-61,2.150436276675209e-65,2.2102215315491774e-92,2.3381285935658775e-75,8.569366509724337e-57,8.394463545446082e-57,1.52874227085326e-55,2.3384700313986257e-89
2.8002768175042727e-19,0.504180589464734,2.8455407788629436e-27,1.2018169487940844e-31,5.349147207031874e-34,7.515028163760351e-29,0.0,0.0,1.1421697918227146e-21,1.4818968096068824e-38,5.9978274596434185e-50,1.0858192961550345e-51,4.6116784951724496e-57,1.4202034410796386e-69,3.6752104549710335e-49,1.4469069611226568e-39,4.706366482064754e-37,5.649059542409953e-52,4.100822067855432e-68,4.6741523587071895e-67,1.8162091730730947e-39,1.4692035507797398e-59,5.726977351392099e-29,2.212563071961071e-68,3.326898667464581e-54,4.6350143793479496e-61,3.959056106743056e-45,6.924854974282587e-44,4.9564838386525145e-82,4.740247041012047e-66,3.720141659052822e-68,7.696187106224806e-65,1.372404378679298e-57,1.8290782510623807e-69,3.76,0.0,0.6972472670007926,0.9999999999999715,2.039596185472882e-46,2.5557521189440297e-51,2.1565379962376327e-18,2.1565379962376327e-18,3.924356695915974e-39,2.771388332687691e-44,2.854164658620038e-14,2.051788046207109e-42,1.5141687371329894e-44,1.1421726373631516e-21,1.946115000049785e-34,5.736245931312454e-42,3.3432937365606413e-35,1.3279494328831088e-20,2.254609441380116e-41,5.348658446209368e-34,1.6774211037085946e-26,5.744097952479457e-43,1.9416011129083617e-39,3.4155378790966855e-36,2.1260669598920232e-48,1.2284592848366434e-49,5.726977351543534e-29,3.302328493306841e-60,4.706366482064844e-37,8.051928007351198e-35,2.8025009894613032e-55,5.004070455991575e-53,9.106229631717913e-68,3.8969208979446636e-53,1.5648591495139833e-66,2.057212429683523e-73,7.677243404029267e-78,9.14111023825158e-77,1.1527815012126754e-65,5.651419539253762e-65,8.0182010918729e-78,2.614403423003503e-50,4.435277624745865e-57,1.0186803529502246e-48,1.8361515840966434e-55,1.1026914812170478e-76,7.51502816341432e-29,4.877371840328308e-38,2.6217192642499814e-57,4.2651943336344727e-50,8.643940050465634e-45,3.455437599848591e-48,4.588670539563543e-66,3.506377844665582e-36,6.099130137017767e-60,1.3426378282593248e-53,7.843194116075657e-67,8.095063596925497e-67,1.6774211036722682e-26,7.866599514792326e-82,2.8402887669578196e-63,2.4050586693817204e-60,1.7630593700238774e-64,7.444634833768598e-91,3.8404258074464675e-74,7.025684403987838e-56,6.882288421937642e-56,1.2533552759848336e-54,7.876178362739166e-88
5.639994153564943e-19,0.504180589464734,5.731159617212101e-27,2.4205608989489387e-31,2.1622108265868936e-33,1.5135901794819408e-28,0.0,0.0,2.3004264821218084e-21,5.990063839345939e-38,4.85719618099407e-49,8.793246239583973e-51,3.7346568112836003e-56,1.1501175678022364e-68,1.485578827420634e-48,5.848629277132359e-39,1.9023885803761084e-36,4.574754879054111e-51,3.3209521791307973e-67,3.7852497659236157e-66,7.341407864424488e-39,1.1897991270913284e-58,1.1534616355327265e-28,3.5866600854585684e-67,2.694208796581097e-53,3.769112872962919e-60,1.6003137782057548e-44,2.7991370995100596e-43,8.044380788064123e-81,3.838774953014925e-65,6.036964774394824e-67,6.258411544770959e-64,1.1114086482097428e-56,2.9817801114902423e-68,3.76,0.0,0.6972472670007926,0.9999999999999425,1.6517178710973478e-45,2.0697143282687864e-50,4.3434497670701614e-18,4.3434497670701614e-18,1.5862877214917482e-38,1.120239474753041e-43,5.748528816465105e-14,8.293655335427692e-42,6.120512135215835e-44,2.300432213280043e-21,7.866507987211286e-34,2.31873899726997e-41,1.3514127829852957e-34,2.6746023789053075e-20,9.113491843077734e-41,2.162013261648649e-33,3.378467856764613e-26,2.3218562333969154e-42,7.84826213367808e-39,1.3806150204815324e-35,8.593902580488305e-48,4.965628888158198e-49,1.1534616355939392e-28,2.6743112325385834e-59,1.902388580376155e-36,3.2547180398052977e-34,2.2695379610091428e-54,4.052425994553363e-52,1.484545257314557e-66,3.155854510847959e-52,2.5367272880203363e-65,3.3348299998303437e-72,1.2445142391972991e-76,1.4818462122072473e-75,9.335523474045396e-65,4.576770481884075e-64,1.299784948968222e-76,2.1172116742315417e-49,3.5918028306544523e-56,8.249537608886654e-48,1.486963157995216e-54,1.7875104092532962e-75,1.5135901793420692e-28,1.971511680326766e-37,2.1231362319677308e-56,3.4540649540046494e-49,3.494018773108025e-44,1.3967431257268593e-47,3.7314306545471714e-65,1.4173339869721496e-35,4.9392299322460555e-59,1.0873029235604212e-52,1.271415564826402e-65,1.3027108681053123e-65,3.378467856617775e-26,1.2752096808295622e-80,2.300246535512484e-62,1.9477234860688657e-59,1.4277740817062367e-63,2.443403695094936e-89,6.225633751511861e-73,5.689581383516022e-55,5.573455656565517e-55,1.0149995973096694e-53,2.5850135354221036e-86
1.1319428825686285e-18,0.504180589464734,1.1502397355380126e-26,4.858048805548364e-31,8.694154636211259e-33,3.037764905755227e-28,0.0,0.0,4.616939862720006e-21,2.4085783245431426e-37,3.909494052976362e-48,7.07756966800537e-50,3.005976709607004e-55,9.257146764621653e-68,5.973447126620491e-48,2.3517081089319287e-38,7.649420811599328e-36,3.6821607211030746e-50,2.6729914676603433e-66,3.046698321319333e-65,2.9519478136002805e-38,9.576538476605626e-58,2.31498943623111e-28,5.776205497042936e-66,2.168533630349171e-52,3.0399245524821108e-59,6.434791317801416e-44,1.1255207166606333e-42,1.2986492329291088e-79,3.089780048058682e-64,9.727525866646813e-66,5.047635645499616e-63,8.945583710260847e-56,4.815519744505543e-67,3.76,0.0,0.6972472670007926,0.9999999999998846,1.3294462388652258e-44,1.6658861524670768e-49,8.717273308735218e-18,8.717273308735218e-18,6.37839316014535e-38,4.504433658008096e-43,1.1537257123064805e-13,3.334842333533492e-41,2.4610310145784927e-43,4.616951365111801e-21,3.163088263492392e-33,9.324003322997782e-41,5.433971363087681e-34,5.3679082709493746e-20,3.6644949874953924e-40,8.69336023629044e-33,6.780561362874885e-26,9.33608180181481e-42,3.1557516860355794e-38,5.551392275688592e-35,3.4555704300517748e-47,1.9966575725745347e-48,2.314989436477245e-28,2.1525183397832896e-58,7.649420811599598e-36,1.3087078090207074e-33,1.826721596358038e-53,3.2617449935159106e-51,2.3975445520004167e-65,2.5401170218127223e-51,4.0853396240582314e-64,5.370640907683443e-71,2.0042518157217718e-75,2.386573452917912e-74,7.51404146158358e-64,3.68395114101232e-63,2.0932635876039827e-75,1.704116147542977e-48,2.890995426544755e-55,6.639945561149746e-47,1.1968373120218183e-53,2.8787304082228097e-74,3.037764905192809e-28,7.92736175635722e-37,1.7088847467422392e-55,2.7801319718373024e-48,1.4049295814130864e-43,5.616242678953651e-47,3.009533996917449e-64,5.699037625001235e-35,3.975515862425014e-58,8.751559860972704e-52,2.047575571571275e-64,2.0903085850123988e-64,6.780561362284458e-26,2.0536858784620345e-79,1.851610859225124e-61,1.567769138604053e-58,1.1492014522827175e-62,7.917994979988292e-88,1.0026635794343658e-71,4.579470079843564e-54,4.486002084011557e-54,8.169599778976413e-53,8.377112395874937e-85
2.267829816992897e-18,0.504180589464734,2.304487307759501e-26,9.733024643906072e-31,3.486744864684726e-32,6.086114358547696e-28,0.0,0.0,9.249966623916435e-21,9.659476344403212e-37,3.137122766169785e-47,5.679304088097129e-49,2.412106999797712e-54,7.428277282712051e-67,2.3956194664809246e-47,9.43140134239703e-38,3.0677598741562654e-35,2.954702083918966e-49,2.144907694970383e-65,2.4447835291696847e-64,1.1838631023466158e-37,7.684569018033323e-57,4.638045037273278e-28,9.272089059246852e-65,1.740111668865847e-51,2.4418321168990414e-58,2.5806391215087036e-43,4.513841475252169e-42,2.0946570782869342e-78,2.479353901015161e-63,1.561898421052513e-64,4.054535465701907e-62,7.178267563548719e-55,7.740756926655695e-66,3.76,0.0,0.6972472670007926,0.9999999999997689,1.0667968810879533e-43,1.3367687235083648e-48,1.7464920392065333e-17,1.7464920392065333e-17,2.5580209374203856e-37,1.8064793625390615e-42,2.311471369990246e-13,1.3374209301992387e-40,9.869835123555638e-43,9.24998966876722e-21,1.268539866235795e-32,3.7397079493893306e-40,2.1792655569053917e-33,1.0754520055036188e-19,1.469626388519507e-39,3.4864262747913987e-32,1.3584748375088358e-25,3.7441863740234885e-41,1.2655975705397366e-37,2.226356594628696e-34,1.3858382964505886e-46,8.007490183911489e-48,4.638045038260389e-28,1.7272604068337904e-57,3.067759874156441e-35,5.2485036479263587e-33,1.4658290381657893e-52,2.617344939781136e-50,3.853982833582167e-64,2.0382882393350093e-50,6.557889683043044e-63,8.621068074496117e-70,3.217268038190489e-74,3.831318638416987e-73,6.029545051082754e-63,2.9564085425931427e-62,3.3601516378022288e-74,1.3674458851012554e-47,2.3198418072494502e-54,5.3281381436031684e-46,9.603865680683163e-53,4.620999847800235e-73,6.086114356292152e-28,3.1792266242173146e-36,1.3712723851746373e-54,2.230880820795106e-47,5.634395991573355e-43,2.2523645079768696e-46,2.4174213728432076e-63,2.2855689833128915e-34,3.190091336155821e-57,7.022575634431639e-51,3.2868122618816896e-63,3.349258489116146e-63,1.3584748372720485e-25,3.29662065777856e-78,1.4860776729409104e-60,1.2581512755675849e-57,9.221692664289577e-62,2.5497205465661116e-86,1.609639826033164e-70,3.674736334116834e-53,3.599734301402949e-53,6.555589303374473e-52,2.6977694602192826e-83
