Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043),S(706),S(2408),S(2271),S(529),S(1906),S(3064),S(517)
0.0,0.8683533363740539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7202949164755159,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.080981486324375e-23,0.8683533363740539,2.904500411440689e-25,7.933693722613057e-26,3.166049352869323e-36,1.771788590276117e-23,0.0,0.0,1.0640545043664967e-20,5.7077018662786096e-39,7.029566914057973e-53,2.917603459084198e-54,1.3203182457823926e-53,3.0507021662223682e-65,1.4485621649858212e-44,1.1093988163369588e-38,5.033707209546133e-36,2.299122421679234e-53,9.279896627158495e-62,5.6958776148431115e-59,4.833251180982341e-36,1.2251908661819656e-55,1.5768556749887502e-24,1.6014453090142103e-70,2.1591696664980737e-54,2.729019864181752e-57,5.873955819542641e-38,8.473066263414947e-38,1.968436172588234e-76,1.5865241150685249e-58,3.231440454073291e-70,1.6648721995106803e-60,1.0144046021188665e-53,1.1607861579359898e-69,3.76,0.0,0.7202949164755158,0.9999999999999994,1.599931496879342e-51,4.24911408150829e-52,3.576275379007602e-17,3.576275379007602e-17,5.623941361744852e-36,8.38953589942934e-39,5.073832810620994e-16,8.100619757826818e-40,7.388271843605446e-41,1.0640835493705828e-20,4.4428947378359923e-35,6.553648205780606e-38,9.087100486318939e-35,2.0631895433823782e-18,2.73258449520034e-39,3.165206747096638e-36,1.3633884044207629e-21,6.169894231960489e-40,3.698759009034224e-36,3.362408541289236e-36,4.9151146870131904e-43,6.614087656650822e-44,1.5768556749887828e-24,1.1432511550924195e-58,5.0337075085180775e-36,1.513881018453235e-38,6.297284968888436e-52,2.1276077181285672e-54,5.174059405643217e-67,2.7098517582127336e-54,1.4294033987731596e-71,1.0349001401296167e-75,9.206178708545642e-80,2.7778983896068245e-74,3.569371278860174e-63,1.270872877604204e-59,4.468344803689879e-80,6.981881765874547e-53,1.955465353540539e-59,1.9320905271467479e-53,3.5561542426245326e-58,7.017764756101255e-71,1.7717885902759943e-23,2.0304546485651714e-40,1.56903077759014e-57,5.495488673260984e-53,5.014584950094738e-40,1.0530267927338162e-45,7.740743529487738e-61,1.068315545037975e-35,4.175039194623819e-59,1.8024984819124187e-52,2.4713628968559695e-70,7.610961005952323e-63,1.3633884044208236e-21,3.2065520426923767e-76,1.4733699289235678e-57,8.44803238468532e-56,1.3134292000294727e-59,2.254016980100759e-90,6.421187498054357e-74,8.850443926368865e-56,4.860305341770675e-56,7.018568177889625e-55,4.826735075111201e-67,3.708465179012727e-67,8.102355721654544e-61,5.644209092358422e-53
2.262674816170825e-22,0.8683533363740539,8.132601157164263e-25,2.2214342423316803e-25,1.9122938091330836e-35,4.961008052773127e-23,0.0,0.0,2.979352612226189e-20,3.4474519272322785e-38,8.3455030254205e-52,3.463778826636111e-53,1.5674818213928674e-52,3.621793611740606e-64,8.749315476517884e-44,6.700768850675135e-38,3.040359154565836e-35,2.7295181390189163e-52,1.1017093275798301e-60,6.762145904351024e-58,2.9192837133133345e-35,1.454546596331215e-54,4.4151958899684675e-24,3.582369098452356e-69,2.563366228066459e-53,4.10535807580039e-56,3.5478693150037856e-37,5.117732023102393e-37,4.403312980695305e-75,1.8835214294092652e-57,7.630316797983007e-69,2.5159548679013537e-59,1.2043011439326619e-52,2.596650453941413e-68,3.76,0.0,0.7202949164755158,0.9999999999999986,1.8994386732472454e-50,5.0445482375666165e-51,1.0013571061221287e-16,1.0013571061221287e-16,3.3968605824935747e-35,5.067279683255159e-38,1.4206731869735571e-15,4.8927743337278745e-39,4.462516193538676e-40,2.979433938237592e-20,2.6835084216527663e-34,3.9584035164309565e-37,5.488608693736574e-34,5.77693072147066e-18,1.6504810351014401e-38,1.911784875246368e-35,3.8174875323779164e-21,3.7266161161050235e-39,2.23405044145642e-35,2.0308947589386465e-35,2.9687292709557694e-42,3.9949089446176095e-43,4.415195889968663e-24,1.3572677713256443e-57,3.0403593351448907e-35,9.143841351456829e-38,7.476136715064292e-51,2.5258958829622274e-53,7.533346830078137e-66,3.876041065117051e-53,3.8231295826459434e-70,2.3150302174641586e-74,2.059385352386544e-78,6.214047600343765e-73,4.237557582261892e-62,1.5087802803410513e-58,9.995508592059683e-79,8.288890032445007e-52,2.3215284677234725e-58,2.2937778738284767e-52,4.2218663168435757e-57,1.5698459048808116e-69,4.961008052772389e-23,1.2263946077333491e-39,1.8627533391553756e-56,6.524244152895069e-52,3.0288093098571913e-39,6.360281828115868e-45,1.1671980427361416e-59,6.452625892029368e-35,4.956606531412493e-58,2.139926197732026e-51,5.528339945764432e-69,9.036410727449073e-62,3.817487532378281e-21,7.172928657546695e-75,1.7491851054420478e-56,1.0029504078743165e-54,1.5593031462815797e-58,1.0767709595988231e-88,1.4363939628941625e-72,1.0507247029384898e-54,5.770154501758502e-55,8.332444140789526e-54,1.0797213293616594e-65,8.295688266843236e-66,9.619116712749663e-60,6.700805034446073e-52
5.171828151247601e-22,0.8683533363740541,1.858880266913274e-24,5.077563982472522e-25,9.206871518144174e-35,1.133944697776715e-22,0.0,0.0,6.809948827945564e-20,1.6597997027138163e-37,8.193664877798197e-51,3.400758591943726e-52,1.53896294728399e-51,3.5558984449531497e-63,4.212418775784052e-43,3.2261317579077306e-37,1.4638020565359717e-34,2.6798570947134375e-51,1.081664750872297e-59,6.639114947888872e-57,1.4055094434296646e-34,1.4280824736216525e-53,1.0091876319927765e-23,7.078157657717853e-68,2.5167281632699864e-52,4.409906837842662e-55,1.7081463523230455e-36,2.4639676694007115e-36,8.700204428533364e-74,1.849252508523599e-56,1.543140283272327e-67,2.706549437303702e-58,1.182390004651702e-51,5.130559860162198e-67,3.76,0.0,0.7202949164755157,0.9999999999999968,1.8648801529785473e-49,4.952767373405951e-50,2.288816242564865e-16,2.288816242564865e-16,1.6354421479949285e-34,2.439677039553807e-37,3.247252998795185e-15,2.3556602255767343e-38,2.148509452121915e-39,6.810134715971445e-20,1.2919937897624462e-33,1.905800898450205e-36,2.642528821421448e-33,1.3204413077647222e-17,7.946355712048979e-38,9.204421220556997e-35,8.72568578829134e-21,1.7942052426554158e-38,1.075599119826774e-34,9.777884038068311e-35,1.4293153509831393e-41,1.923376690554827e-42,1.0091876319928709e-23,1.3325735463754873e-56,1.4638021434770136e-34,4.402366001660941e-37,7.34011535973617e-50,2.4799395562506323e-52,1.018733813250823e-64,4.094248391400835e-52,8.157054574320777e-69,4.574109593751532e-73,4.068998420201989e-77,1.227791092046183e-71,4.1604591626366045e-61,1.4813294262883405e-57,1.9749440590642213e-77,8.138081386299478e-51,2.2792904160872993e-57,2.2520447184418033e-51,4.145053385202317e-56,3.1017509663841687e-68,1.1339446977763595e-22,5.904562118027299e-39,1.8288622743601403e-55,6.405541597551851e-51,1.4582413034875035e-38,3.0622019132753643e-44,1.254729164497412e-58,3.1066616049704297e-34,4.866425683874158e-57,2.1009922305250075e-50,1.0923068127884532e-67,8.873437394203679e-61,8.725685788293093e-21,1.4172498285958298e-73,1.7173604520820566e-55,9.847026593121785e-54,1.5309330755740454e-57,5.606724062849739e-87,2.83807242193161e-71,1.0316077440574848e-53,5.665171906393797e-54,8.180843068144927e-53,2.1333473982114417e-64,1.6390882072239956e-64,9.444105829164832e-59,6.578890118047254e-51
1.099013482140115e-21,0.8683533363740539,3.950120577515501e-24,1.0789823462754584e-24,4.020882678144235e-34,2.4096324827755193e-22,0.0,0.0,1.4471141259384285e-19,7.248781370173805e-37,7.247204000339923e-50,3.007932462251335e-51,1.3611952986718846e-50,3.145151905297753e-62,1.839673949537452e-42,1.4089364967477888e-36,6.392808156123139e-34,2.3703032518630786e-50,9.567202226957017e-59,5.872221985856074e-56,6.138228999847576e-34,1.2631227753988618e-52,2.144523717984582e-23,1.2595203367395194e-66,2.226017559372502e-51,4.0511262603207867e-54,7.459923890819624e-36,1.0760794154533302e-35,1.5481548931786882e-72,1.6356429016704706e-55,2.774959386863716e-66,2.4877852302921052e-57,1.0458105690254063e-50,9.129570332067247e-66,3.76,0.0,0.7202949164755155,0.9999999999999931,1.6494653762402742e-48,4.380666653471525e-49,4.863734515450338e-16,4.863734515450338e-16,7.142405529411057e-34,1.0654710592272728e-36,6.900412622433296e-15,1.028778709244719e-37,9.383105241393792e-39,1.4471536271438512e-19,5.642476317049019e-33,8.323133223503145e-36,1.1540617617624031e-32,2.8059377790000345e-17,3.4703823089109774e-37,4.019812568812708e-34,1.8542082300114663e-20,7.835765674603194e-38,4.6974239414695495e-34,4.270258847436519e-34,6.242195652503684e-41,8.399891323954477e-42,2.144523717984994e-23,1.178646210853583e-55,6.392808535817513e-34,1.9226288934345076e-36,6.4922489115248264e-49,2.193478453081776e-51,1.3937548025951837e-63,3.735983001250884e-51,1.5004538053765096e-67,8.139383628340027e-72,7.240565282993632e-76,2.184788649443132e-70,3.679879013647775e-60,1.310219102215819e-56,3.5143074322448125e-76,7.198040825337852e-50,2.0160065608870958e-56,1.9919080498662754e-50,3.666252777974433e-55,5.5194001187621216e-67,2.4096324827739667e-22,2.578677403677542e-38,1.6176079704665486e-54,5.665629002582726e-50,6.368522886619842e-38,1.3373440267775559e-43,1.1529899633265913e-57,1.3567607421982275e-33,4.30429840519258e-56,1.8583038349202512e-49,1.9437016116284205e-66,7.851008974594468e-60,1.8542082300122312e-20,2.52192034679743e-72,1.5189859286335524e-54,8.709583514372476e-53,1.3540929681031447e-56,2.237496391658491e-85,5.050198241299652e-70,9.124453670327784e-53,5.010780395206283e-53,7.235863048670336e-52,3.796177710796654e-63,2.9166698886049407e-63,8.353204654805991e-58,5.818953805845823e-50
2.2626748161708252e-21,0.8683533363740541,8.132601231554084e-24,2.2214342423320215e-24,1.678639366891489e-33,4.961008052773127e-22,0.0,0.0,2.979352612226161e-19,3.026223529500893e-36,6.0917117208516034e-49,2.5283484761210765e-50,1.1441666667032139e-49,2.6436896860302173e-61,7.680276598803947e-42,5.882032524217211e-36,2.668871562500952e-33,1.9923827046841804e-49,8.041809939149277e-58,4.935956407084717e-55,2.5625897761568382e-33,1.061730801579254e-51,4.415195889967974e-23,2.1243651432734163e-65,1.8711018862719268e-50,3.464931846030221e-53,3.114371375521932e-35,4.4924197328592886e-35,2.611189510877385e-71,1.374856413731496e-54,4.703995720503693e-65,2.128352641401795e-56,8.790667981002963e-50,1.539836550231607e-64,3.76,0.0,0.7202949164755149,0.9999999999999858,1.386475036485115e-47,3.682214277209276e-48,1.0013571061221281e-15,1.0013571061221281e-15,2.9818137099927033e-33,4.4481319338751526e-36,1.4206731869688935e-14,4.294948595606167e-37,3.91726173149294e-38,2.979433938237003e-19,2.3556227899982193e-32,3.4747442806504727e-35,4.817980677845378e-32,5.776930721470656e-17,1.4488162993610853e-36,1.678192617310616e-33,3.8174875323747167e-20,3.271277921797434e-37,1.9610820265864203e-33,1.7827490085908225e-33,2.6059938070516295e-40,3.5067892755634046e-41,4.415195889969694e-23,9.90723158983705e-55,2.668871721015881e-33,8.026597159829139e-36,5.457126397478493e-48,1.8437508068066297e-50,1.999344972117675e-62,3.1857825044549744e-50,2.569892292521976e-66,1.372826016650686e-70,1.2212271653024126e-74,3.684965394961736e-69,3.0931600403090405e-59,1.1013181023480791e-55,5.927393146441028e-75,6.0503870281838e-49,1.6945749879342813e-55,1.6743187373752385e-49,3.081706368187352e-54,9.309275032772537e-66,4.961008052766645e-22,1.07654705466905e-37,1.359696967371167e-53,4.7623025564248055e-49,2.658732940539799e-37,5.5831480551251746e-43,9.862842191124278e-57,5.6642090197913345e-33,3.6180221601781745e-55,1.5620163444563225e-48,3.2783368654100827e-65,6.603542778368294e-59,3.817487532377912e-20,4.253587277104368e-71,1.2767992222315173e-53,7.320929740016273e-52,1.1381967299518168e-55,7.952412621138745e-84,8.517897491657268e-69,7.669653099485774e-52,4.2118628443916686e-52,6.082178885856046e-51,6.402808570235623e-62,4.9193900765540974e-62,7.021371830710646e-57,4.89118129207053e-49
4.589997484232246e-21,0.8683533363740542,1.6497562670967754e-23,4.506338034445752e-24,6.85778954029054e-33,1.0063759192768336e-21,0.0,0.0,6.043829584801573e-19,1.2363110550433892e-35,4.994353347012509e-48,2.0728928372228407e-49,9.380569610017348e-49,2.167456529625328e-60,3.137643591887475e-41,2.4030022121373676e-35,1.0903211164161843e-32,1.633475716006719e-48,6.593161654156217e-57,4.046795280543738e-54,1.0469015388054986e-32,8.70471058207657e-51,8.956540233933884e-23,3.4892761268944705e-64,1.5340423735795563e-49,2.864523915794578e-52,1.2723223263365725e-34,1.8353000449179223e-34,4.2888866140225524e-70,1.127190353301946e-53,7.745430095308494e-64,1.759763122227992e-55,7.207120720697268e-49,2.5291870254568796e-63,3.76,0.0,0.7202949164755138,0.9999999999999711,1.1367160022081991e-46,3.0189017344718377e-47,2.0313244152763147e-15,2.0313244152763147e-15,1.2181681947156408e-32,1.8172070339580573e-35,2.881937036411788e-14,1.754626642029716e-36,1.6003292344235786e-37,6.043994560422263e-19,9.623487717921742e-32,1.4195464176121719e-34,1.9683023137378434e-31,1.1718916606411887e-16,5.9188873200332914e-36,6.85596442248102e-33,7.744046137095567e-20,1.336423770229693e-36,8.01165996389864e-33,7.283111396767947e-33,1.064633501663464e-39,1.4326378427872373e-40,8.956540233940914e-23,8.122547027061217e-54,1.0903211811747065e-32,3.279126841202049e-35,4.474081926341883e-47,1.5116183061517647e-49,2.9963960896639424e-61,2.6299887999546e-49,4.252346895519242e-65,2.2548708546839206e-69,2.0058692861199384e-73,6.0525667310048015e-68,2.5359594818940828e-58,9.02927119654551e-55,9.7357610418349e-74,4.960472834679264e-48,1.3893149570184476e-54,1.3727076589760353e-48,2.526569069493637e-53,1.5290512195328898e-64,1.0063759192741856e-21,4.398045986976374e-37,1.1147617232849904e-52,3.904423361954554e-48,1.0861791585299546e-36,2.2808981541758945e-42,8.154307866082303e-56,2.3140142031740465e-32,2.966273153980009e-54,1.2806353722375818e-47,5.384678145658904e-64,5.421029512886482e-58,7.744046137108622e-20,6.986529877348874e-70,1.0467971538879176e-52,6.002140517363317e-51,9.331624462287394e-55,2.678591587623847e-82,1.3990672218154715e-67,6.288044991878653e-51,3.4531396299538543e-51,4.98653772038437e-50,1.0516632302970699e-60,8.08011297270659e-61,5.756544840249035e-56,4.010085935946832e-48
9.244642820355087e-21,0.8683533363740547,3.322748607514113e-23,9.076145618675626e-24,2.772028178807239e-32,2.0269261472758735e-21,0.0,0.0,1.2172783529952197e-18,4.997366953616316e-35,4.0445568407454526e-47,1.6786823631502402e-48,7.596628477884715e-48,1.7552624928195751e-59,1.2682857064632132e-40,9.713319148452547e-35,4.407252279900846e-32,1.3228309855624955e-47,5.339313247361757e-56,3.2771997385839065e-53,4.2317434050067225e-32,7.049300314225333e-50,1.8039228921862217e-22,5.656266964807528e-63,1.2423072868581891e-48,2.3292453291354898e-51,5.142930269891867e-34,7.418576220777318e-34,6.952470026848818e-69,9.128279724858467e-53,1.2571050613850257e-62,1.4310101456096757e-54,5.836513216877119e-48,4.099921856814231e-62,3.76,0.0,0.7202949164755117,0.9999999999999419,9.205420899426072e-46,2.4447848948875768e-46,4.091259033584682e-15,4.091259033584682e-15,4.924030611362208e-32,7.345441377657635e-35,5.804464735264645e-14,7.092481427770094e-36,6.468786636217632e-37,1.2173115804788614e-18,3.889967601905936e-31,5.7380335928249155e-34,7.956192656589114e-31,2.3602888376294315e-16,2.3925088896443803e-35,2.7712904370068166e-32,1.559716334651466e-19,5.4020385550877256e-36,3.2384410528173376e-32,2.9439500735036136e-32,4.3034188339657645e-39,5.790951219655018e-40,1.8039228921890626e-22,6.577849173754121e-53,4.407252541665159e-32,1.3254754979377848e-34,3.6232275423578974e-46,1.2241476956727275e-48,4.6247117781863115e-60,2.137050217252804e-48,6.918250909870485e-64,3.655242824413463e-68,3.251600551560077e-72,9.81147150616288e-67,2.0536857376121314e-57,7.312137922927647e-54,1.578208819110283e-72,4.0171195104452943e-47,1.1251032726186822e-53,1.1116542520858018e-47,2.046081138198116e-52,2.4786579181519804e-63,2.0269261472651706e-21,1.777760506640515e-36,9.0276294567127e-52,3.1619032675161604e-47,4.390509823882532e-36,9.219755023596628e-42,6.630757554832926e-55,9.353615388269013e-32,2.402164898425517e-53,1.0370917271516281e-46,8.728795315623894e-63,4.401502872342581e-57,1.5597163346567432e-19,1.1325466007618837e-68,8.477234814270924e-52,4.860689013288675e-50,7.556991429303909e-54,8.79140579627136e-81,2.2679482593313974e-66,5.092221862995216e-50,2.7964420011680413e-50,4.038227530670747e-49,1.7047914155333807e-59,1.3098211324342272e-59,4.66179926016069e-55,3.247471559397516e-47
1.855393349260077e-20,0.8683533363740552,6.668733498487202e-23,1.8215760787145033e-23,1.114620338876038e-31,4.068026603273947e-21,0.0,0.0,2.443069142025264e-18,2.009419272830697e-34,3.255411219109329e-46,1.3511496082359156e-47,6.114427490745555e-47,1.4127879586448824e-58,5.099721044596638e-40,3.905682908859318e-34,1.7721367579472407e-31,1.0647294609115229e-46,4.297543812143326e-55,2.637775459782106e-52,1.7015654112695536e-31,5.673890168151434e-49,3.6204606297704917e-22,9.109243573814112e-62,9.999169827533318e-48,1.8785658664061694e-50,2.0679496420956547e-33,2.9829768702815386e-33,1.1196738661144271e-67,7.347233664930084e-52,2.0257628115193254e-61,1.154161524369482e-53,4.697733602131138e-47,6.602798317404625e-61,3.76,0.0,0.7202949164755075,0.9999999999998835,7.409323593386395e-45,1.9677755748832186e-45,8.211128270201395e-15,8.211128270201392e-15,1.97993105214276e-31,2.953569671524777e-34,1.164952013283863e-13,2.8518555882579097e-35,2.6010706557037213e-36,2.4431358293504642e-18,1.5641388640204103e-30,2.307238076428535e-33,3.199150074605288e-30,4.737083191605901e-16,9.620173019062663e-35,1.1143236961422382e-31,3.1303397765262433e-19,2.1721359440060542e-35,1.3021629041466143e-31,1.1837493765909082e-31,1.7303857860061198e-38,2.328516015914864e-39,3.620460629781916e-22,5.294425274961298e-52,1.7721368632015298e-31,5.32967868064932e-34,2.916288739760154e-45,9.853005639197891e-48,7.260877281161495e-59,1.7229667752283748e-47,1.1161631676030273e-62,5.8866558838257715e-67,5.236602446976731e-71,1.5801072428000788e-65,1.6529849482268426e-56,5.885444755356547e-53,2.541656649666364e-71,3.2333272634712868e-46,9.055809955799711e-53,8.947560538089474e-47,1.6468641050505495e-51,3.991802164414628e-62,4.0680266032309125e-21,7.148296808448081e-36,7.266221572866002e-51,2.544974829054255e-46,1.7654046900182069e-35,3.7072229451762604e-41,5.34787053132561e-54,3.7610476089279306e-31,1.9334712818146794e-52,8.347416469517843e-46,1.4057455761971335e-61,3.561084277847681e-56,3.130339776547462e-19,1.8239313881303013e-67,6.823216137269462e-51,3.912305398050859e-49,6.082524147375878e-53,2.8489073296447923e-79,3.652460763530835e-65,4.09866316862217e-49,2.250819807722199e-49,3.250316834510882e-48,2.7455140188504467e-58,2.109426554210813e-58,3.7522216119844706e-54,2.613847634593566e-46
3.717251483709213e-20,0.8683533363740567,1.3360704120987035e-22,3.6494991124122473e-23,4.470126085027984e-31,8.150227515270069e-21,0.0,0.0,4.8946507200850305e-18,8.058670018786344e-34,2.6122624867700465e-45,1.0842124686729456e-46,4.906442988134935e-46,1.1336733625957124e-57,2.0452162295939824e-39,1.566353532387134e-33,7.107061006896289e-31,8.543783381200519e-46,3.44850826085339e-54,2.1166486855582115e-51,6.824038342921848e-31,4.552939530813459e-48,7.253536104933448e-22,1.4622353329067374e-60,8.023704060852152e-47,1.5089443757776702e-49,8.29340297789659e-33,1.1963071418766968e-32,1.7973245304825447e-66,5.895692303453907e-51,3.252786640597463e-60,9.270853024221852e-53,3.769635362789282e-46,1.0598954047854193e-59,3.76,0.0,0.720294916475499,0.9999999999997666,5.94551556079919e-44,1.5790159726647954e-44,1.6450866743434726e-14,1.645086674343472e-14,7.940409064798305e-31,1.1845135399084815e-33,2.3339630927459675e-13,1.143721643264662e-34,1.0431456686959853e-35,4.894784327086998e-18,6.2728964228718366e-30,9.25305666838338e-33,1.283002265398858e-29,9.490671899558778e-16,3.858119653532185e-34,4.468936414984279e-31,6.271586660239632e-19,8.711236647282689e-35,5.222255652140903e-31,4.747364444961736e-31,6.939620935779962e-38,9.338390678224102e-39,7.253536104979263e-22,4.248442851865883e-51,7.107061429013146e-31,2.137439526622876e-33,2.340138052205204e-44,7.906416504831998e-47,1.1505246216807735e-57,1.3837246587169107e-46,1.793288854140349e-61,9.449386391052833e-66,8.405906659736877e-70,2.5364220777633823e-64,1.3264163195567055e-55,4.722698785254329e-52,4.079921814612987e-70,2.594541501042653e-45,7.266717174601915e-52,7.17985383407418e-46,1.3215047284127388e-50,6.407726524700972e-61,8.15022751509748e-21,2.8667867355719706e-35,5.830685201720485e-50,2.042182023383508e-45,7.080062403509353e-35,1.48676221072981e-40,4.2956702625949635e-53,1.508348308145796e-30,1.5514889185314318e-51,6.698276014845329e-45,2.2565329754557307e-60,2.887030397716549e-55,6.271586660324726e-19,2.9278138244639926e-66,5.475201311690393e-50,3.139378709061226e-48,4.880842566968821e-52,9.173935538114919e-78,5.863008451516572e-64,3.288919068019261e-48,1.806141144380271e-48,2.6081745618455785e-47,4.407158039649985e-57,3.3860967868957974e-57,3.010921537014742e-53,2.0974481123068976e-45
