Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043),S(706),S(2408),S(2271),S(529),S(1906),S(3064),S(517),S(139)
0.0,0.7938023721822849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8968026577026009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.663951420201879e-22,0.7938023721822849,1.0828322418827912e-25,3.487824293305496e-27,3.471891373439661e-36,1.1416023856114594e-24,0.0,0.0,3.88798509344762e-21,2.0956246442931263e-39,5.901830517752681e-53,1.8646059878598294e-54,6.916736293633213e-55,9.407315806437479e-67,8.498441434702466e-46,3.256868274152088e-39,1.0847720258491097e-36,3.5965066269325743e-54,1.4508220351254666e-63,1.93016994323109e-61,4.095402350086723e-37,3.933814757292355e-57,2.188965462536633e-25,3.78142016527863e-71,3.993017331056091e-55,9.7276787398859e-59,1.2402020274189947e-39,2.539466208732193e-39,2.831720188793113e-78,1.744997733602432e-60,7.934168641456694e-71,5.137780560076688e-62,4.279540242497086e-55,6.1669480145963216e-71,3.76,0.0,0.8968026577026009,0.9999999999999994,3.4940663175507374e-51,1.1166992827045312e-52,1.4579109502719786e-17,1.4579109502719786e-17,5.214889128392533e-37,3.183089781604877e-40,5.119321111715207e-16,9.131095972093443e-41,5.15687645747517e-42,3.888093376671749e-21,1.8382189049861442e-35,3.828296122618761e-39,2.047669305945272e-35,6.423808836002676e-19,4.242023525652751e-40,3.471671271650811e-36,1.1993862873350537e-22,5.688578352569877e-41,3.5865036628496523e-37,1.1268527446740693e-36,1.862416085045895e-44,2.1704778084377265e-45,2.1889654625366996e-25,1.1564475207612664e-59,1.084772030154322e-36,2.0557637333113861e-38,2.0439240536500524e-53,7.738890812442349e-55,8.562129513475237e-69,4.623369293518439e-55,6.798323705286897e-72,2.900767976554832e-76,2.2263637026090376e-80,1.0091835665626761e-75,2.2708257595889932e-64,2.1548399693727137e-61,1.361422252846648e-80,4.448524909715035e-53,1.0289603224486843e-59,2.5947383090859187e-53,2.4506110814370396e-58,4.8322103083050926e-73,1.1416023856113321e-24,1.4832895558651688e-40,6.374726106111283e-59,2.878373698621488e-53,1.9943843788738005e-41,1.4334072495482336e-46,2.9663293098950803e-62,3.755029864798736e-36,5.719035700356016e-60,2.0158698631186798e-53,1.0398782589221914e-70,1.4119739912841506e-64,1.1993862873350803e-22,2.3741617403468756e-78,2.8558419491919473e-59,2.663256990871998e-57,2.9399127382657433e-61,1.2272037972443943e-91,6.536817174683898e-75,1.6703689034403183e-56,9.045949578665618e-57,1.4847897337721234e-55,6.82544372814432e-67,4.558509445807619e-67,1.1473110553481197e-61,1.7913392084573297e-53,1.1630598050582884e-41
4.659063976565261e-22,0.7938023721822849,3.0319302780932326e-25,9.765908021255719e-27,2.0970223895575548e-35,3.1964866797120875e-24,0.0,0.0,1.0886358261653331e-20,1.2657572851530479e-38,7.006653222361954e-52,2.2136602288025753e-53,8.211549327801407e-54,1.1168365325403539e-65,5.1330586265607834e-45,1.9671484375878022e-38,6.552023036128576e-36,4.269772667502966e-53,1.7224159201128611e-62,2.2914977566121276e-60,2.4736230194523808e-36,4.6702248798574655e-56,6.129103295102468e-25,8.458885652921503e-70,4.7405101754296857e-54,1.4667652266484426e-57,7.490820245610793e-39,1.5338375900741891e-38,6.334444794772159e-77,2.0716613093327307e-59,1.94633369929644e-69,7.764213982390871e-61,5.0806701772963393e-54,1.3797836043067126e-69,3.76,0.0,0.8968026577026009,0.9999999999999986,4.1481555322428985e-50,1.3257453884268115e-51,4.08215066076154e-17,4.08215066076154e-17,3.149793033548635e-36,1.9225862280892586e-39,1.4334099112795529e-15,5.51518196714487e-40,3.1147533803164783e-41,1.0886661454680782e-20,1.1102842186115774e-34,2.3122908584776193e-38,1.2367922607909325e-34,1.7986664740807494e-18,2.5621822094945522e-39,2.0968894480770882e-35,3.358281604537997e-22,3.4359013249537736e-40,2.16624821236101e-36,6.806190577831263e-36,1.1248993153675992e-43,1.310968596297018e-44,6.129103295102871e-25,1.3729344966476541e-58,6.552023062132059e-36,1.2416812949199621e-37,2.4265466364933286e-52,9.187611172531576e-54,2.3816434545062455e-67,6.071806489477511e-54,1.6750491248795585e-70,6.488901932833385e-75,4.9802865481872544e-79,2.257503274814758e-74,2.6959243417830227e-63,2.5582260120628566e-60,3.0454471227262436e-79,5.281288772811996e-52,1.2215816948115332e-58,3.0804733205466188e-52,2.9093654758817357e-57,1.0809461171266078e-71,3.1964866797113187e-24,8.959068917425536e-40,7.568074833177403e-58,3.417205255003283e-52,1.204608164839766e-40,8.657779787276859e-46,3.914575920102494e-61,2.2680380383384363e-35,6.789639181719118e-59,2.3932407014952502e-52,2.3261660700791114e-69,1.6767201686739508e-63,3.3582816045381578e-22,5.3109048467290306e-77,3.3904559613420415e-58,3.1618187050714444e-56,3.4902644029954983e-60,5.862499803894408e-90,1.4622598571415284e-73,1.9830619621643214e-55,1.073935133983756e-55,1.7627423719337262e-54,1.5268244602098743e-65,1.019720328988986e-65,1.3620876849093203e-60,2.1266779082794544e-52,7.02488122255538e-41
1.0649289089292027e-21,0.7938023721822849,6.9301263537997875e-25,2.2322075477157478e-26,1.0096260113962525e-34,7.306255267913347e-24,0.0,0.0,2.488310459806473e-20,6.094076465604403e-38,6.879173696486586e-51,2.173384739497115e-52,8.062147823859051e-53,1.0965167303986497e-64,2.4713467692122166e-44,9.470972941233395e-38,3.154517051169139e-35,4.192088124379303e-52,1.691078164177926e-61,2.249806085854596e-59,1.1909430034052192e-35,4.5852544810999106e-55,1.4009378960233719e-24,1.6713332606026602e-68,4.654261001078648e-53,1.5767494273728415e-56,3.606507495734533e-38,7.384767734992387e-38,1.2515795476820435e-75,2.0339693582867563e-58,3.997255152607764e-68,8.352387100917063e-60,4.988232108648039e-53,2.726451541957323e-68,3.76,0.0,0.8968026577026009,0.9999999999999967,4.0726836998034e-49,1.301624683920375e-50,9.330630081740663e-17,9.330630081740663e-17,1.5164897585358662e-35,9.25642508490568e-39,3.2763655114927962e-15,2.655322708685411e-39,1.4996196738359534e-40,2.488379761069837e-20,5.3455405756989e-34,1.113268513081367e-37,5.954622341688672e-34,4.111237655041713e-18,1.233580441260247e-38,1.0095620057960536e-34,7.676072238943272e-22,1.6542385849296268e-39,1.0429552651564094e-35,3.2768877815120144e-35,5.41590597531164e-43,6.311749466946373e-44,1.4009378960235658e-24,1.347955230198954e-57,3.154517063688697e-35,5.978160936467779e-37,2.3823978769344563e-51,9.020451130982853e-53,5.078075110013176e-66,6.216777547704933e-53,3.458377619461123e-69,1.2820976745779225e-73,9.840206969152086e-78,4.46044605409067e-73,2.6468745053737377e-62,2.511681469613657e-59,6.017290312767722e-78,5.185200634758596e-51,1.1993561518475979e-57,3.0244269730699725e-51,2.856432276522029e-56,2.1357673724423578e-70,7.306255267909644e-24,4.313406028455782e-39,7.430380749289497e-57,3.355032383112748e-51,5.79966977376487e-40,4.1683482816945526e-45,4.015542107636682e-60,1.0919626846834727e-34,6.666108006929747e-58,2.3496979124521507e-51,4.596112161967663e-68,1.6471132875271673e-62,7.676072238944046e-22,1.0493453013298268e-75,3.328769945424706e-57,3.104292357315295e-55,3.4267622881003436e-59,3.0525914936621766e-88,2.88917906902159e-72,1.946981993849956e-54,1.0543958829034426e-54,1.7306709136831155e-53,3.016747841443188e-64,2.014795532508442e-64,1.3373057661138684e-59,2.087984981374491e-51,3.3821779131143824e-40
2.2629739314745555e-21,0.7938023721822849,1.4726518518355579e-24,4.7434410388966276e-26,4.409302044268363e-34,1.552579244431588e-23,0.0,0.0,5.2876597270887416e-20,2.66144329825226e-37,6.084551235893193e-50,1.922334189344134e-51,7.130878449284473e-52,9.698566303811014e-64,1.0793020622079773e-43,4.1362227081722435e-37,1.377660472828294e-34,3.7078544721584604e-51,1.495739485406877e-60,1.9899280047241047e-58,5.201160984610138e-35,4.055605662178002e-54,2.9769930290494534e-24,2.974048238248665e-67,4.116641147624889e-52,1.4488949129055316e-55,1.5750565748222233e-37,3.2251220850890274e-37,2.227118936167374e-74,1.799022863434262e-57,7.236804378970438e-67,7.677282735337928e-59,4.4120348104123544e-52,4.851764140318127e-67,3.76,0.0,0.8968026577026008,0.999999999999993,3.6022426108088335e-48,1.1512722924970056e-49,1.982758892369891e-16,1.982758892369891e-16,6.622909193051468e-35,4.042524022636849e-38,6.962276711908001e-15,1.1596491884565212e-38,6.549233101015749e-40,5.287806992273165e-20,2.3345380093315698e-33,4.861936082172082e-37,2.600540018550311e-33,8.736380016963638e-18,5.387369877583367e-38,4.409022514996506e-34,1.6311653507751369e-21,7.224494507787369e-39,4.554859651816275e-35,1.4311029857358835e-34,2.3652684280064026e-42,2.7565068167256898e-43,2.9769930290503005e-24,1.1922511360032409e-56,1.3776604782959148e-34,2.610819941303671e-36,2.1072039423509641e-50,7.97848687199567e-52,9.327921695593583e-65,5.600116530664083e-52,6.274719889449627e-68,2.281424309694387e-72,1.7510122541348637e-76,7.937125441033895e-72,2.341130525099163e-61,2.2215538175812195e-58,1.0707446608957639e-76,4.586251240908791e-50,1.0608169340346598e-56,2.675071407134011e-50,2.5264820005162625e-55,3.800483925648172e-69,1.55257924442997e-23,1.8837777359486315e-38,6.572087626369247e-56,2.9674881483298476e-50,2.5328681611695778e-39,1.820427206934822e-44,3.6200850269904305e-59,4.768887928294394e-34,5.896097034287877e-57,2.0782811940817542e-50,8.178536022888288e-67,1.4584531529556661e-61,1.6311653507754753e-21,1.86725389747293e-74,2.9442593944284315e-56,2.745711438008068e-54,3.030932437424427e-58,1.2182091316977676e-86,5.1411397905832785e-71,1.7220835246906626e-53,9.326012177918844e-54,1.5307588239261978e-52,5.368141599612453e-63,3.585220999980328e-63,1.1828318056219075e-58,1.8467990703440865e-50,1.4770859524290235e-39
4.659063976565262e-21,0.793802372182285,3.0319302900037895e-24,9.765908021260497e-26,1.840796806197702e-33,3.1964866797120973e-23,0.0,0.0,1.0886358261653236e-19,1.1111001864042058e-36,5.114431937668952e-49,1.6158377155652495e-50,5.993933004282525e-51,8.152229360817106e-63,4.505873648686123e-43,1.7267915589546202e-36,5.751461281051298e-34,3.116675098895431e-50,1.2572591626204878e-59,1.6726543901761537e-57,2.1713823260159797e-34,3.408980927633208e-53,6.129103295100946e-24,5.016167049834396e-66,3.460284930814639e-51,1.2394038830257155e-54,6.575551149376411e-37,1.3464249838690368e-36,3.756361617512849e-73,1.5121871159752197e-56,1.2306767071729547e-65,6.568077014685328e-58,3.708581103288586e-51,8.183363430416387e-66,3.76,0.0,0.8968026577026006,0.9999999999999857,3.027901965787689e-47,9.67713731203117e-49,4.082150660761539e-16,4.082150660761539e-16,2.764934215867375e-34,1.687674202205695e-37,1.4334099112693275e-14,4.841307084409805e-38,2.734175897773313e-39,1.0886661454679061e-19,9.746236634229033e-33,2.0297626100140954e-36,1.0856742660120161e-32,1.7986664740807485e-17,2.249120873305009e-37,1.8406801082292374e-33,3.358281604535776e-21,3.016084242553722e-38,1.9015642420403798e-34,5.974573252260253e-34,9.874530082896378e-42,1.1507873340424817e-42,6.129103295104482e-24,1.0021589183299402e-55,5.751461303877544e-34,1.0899659314000851e-35,1.771231882108105e-49,6.706398955809729e-51,1.5966657269899276e-63,4.7474577278570435e-51,1.0679804692963278e-66,3.84795555828318e-71,2.953338099924381e-75,1.3387122192819675e-70,1.967861270035502e-60,1.8673498450202149e-57,1.8059673739221376e-75,3.8550205103404974e-49,8.916805520742483e-56,2.2485587028387196e-49,2.1236603533922835e-54,6.410071631013665e-68,3.1964866797053447e-23,7.864401225195921e-38,5.5242356479613036e-55,2.4943525932444566e-49,1.0574225976787542e-38,7.599925237181819e-44,3.070012667973854e-58,1.9909168343162884e-33,4.956024812762912e-56,1.7469205694614675e-49,1.379429640254657e-65,1.2286095657840188e-60,3.3582816045371892e-21,3.1493966218604616e-73,2.4748274628157257e-55,2.3079359090337127e-53,2.5476813417869922e-57,4.329706054591453e-85,8.671283715776895e-70,1.4475149658186183e-52,7.839075170218541e-53,1.2866950266448114e-51,9.05415543176022e-62,6.0469992433637625e-62,9.94241403588175e-58,1.5523458966089367e-49,6.166543086463826e-39
9.451244066746675e-21,0.793802372182285,6.150487187368546e-24,1.9810841985996675e-25,7.520255590525188e-33,6.484301550273135e-23,0.0,0.0,2.2083755330782056e-19,4.539206804524602e-36,4.193120304333403e-48,1.3247613841831322e-49,4.914188415090195e-50,6.683690166960007e-62,1.8407964085281137e-42,7.05450695653747e-36,2.349659598869628e-33,2.555238547742145e-49,1.0307770220321156e-58,1.3713431266678918e-56,8.870805306381844e-34,2.7948885264259884e-52,1.2433323827201245e-23,8.239069441956431e-65,2.836950647890518e-50,1.0247020193774856e-53,2.686327199471402e-36,5.500585386755743e-36,6.169835266364745e-72,1.239782360173023e-55,2.029545271964838e-64,5.430613089942933e-57,3.0405188515474644e-50,1.3441323599004852e-64,3.76,0.0,0.8968026577026001,0.9999999999999709,2.4824569696853985e-46,7.933901836412254e-48,8.280934197544834e-16,8.280934197544834e-16,1.1295658447609637e-33,6.894699790537176e-37,2.907774391408329e-14,1.9778319119442805e-37,1.117000068211835e-38,2.208437037948782e-19,3.981655676949834e-32,8.292242582557598e-36,4.435333623448283e-32,3.648723418849516e-17,9.188392637538002e-37,7.519778841246328e-33,6.812514112053133e-21,1.2321688254979354e-37,7.768510393857646e-34,2.440808119072414e-33,4.0340677368384546e-41,4.701341752262952e-42,1.243332382721569e-23,8.216304291371714e-55,2.3496596081948978e-33,4.4528664768881457e-35,1.4521629102749653e-48,5.49831104753147e-50,2.641314297581284e-62,3.9082587645055914e-50,1.7618782876080434e-65,6.320278559154957e-70,4.850866697426671e-74,2.1988388467318151e-69,1.6133715623345256e-59,1.5309662278749275e-56,2.96630683462025e-74,3.1605787248885304e-48,7.310535896650125e-55,1.8435042767799547e-48,1.7411050638619595e-53,1.0528561902178446e-66,6.484301550245549e-23,3.2128645095851716e-37,4.5291021444785366e-54,2.0450209583763316e-48,4.319916340014665e-38,3.1048174388767218e-43,2.5277712501030873e-57,8.133544888348642e-33,4.063248553784076e-55,1.4322310273394592e-48,2.2657173262826952e-64,1.0117026885074187e-59,6.812514112058905e-21,5.172893409125552e-72,2.0290131031567117e-54,1.89218530375082e-52,2.088743089653915e-56,1.4583642433067399e-83,1.4242609584541832e-68,1.1867602241484371e-51,6.426947441993518e-52,1.0549103216769418e-50,1.4871477484404482e-60,9.932214415158264e-61,8.151391721973829e-57,1.2727069548173646e-48,2.5192340601862873e-38
1.90356042471095e-20,0.7938023721822852,1.2387601066211232e-23,3.990070991550278e-25,3.0398075482323027e-32,1.305993129139528e-22,0.0,0.0,4.4478549469039e-19,1.83481996606149e-35,3.395697536781401e-47,1.0728261159288748e-48,3.9796371874795704e-49,5.4126255835898576e-61,7.440793401318751e-42,2.851544503691621e-35,9.497699776876614e-33,2.0692984251396843e-48,8.347499573296284e-58,1.1105492185764327e-55,3.58572133681373e-33,2.263373191077853e-51,2.5041764891391094e-23,1.3355886611005537e-63,2.297436187572482e-49,8.3324650422345455e-53,1.0858564047032737e-35,2.2234245601176777e-35,1.0001568940131702e-70,1.0040078987951482e-54,3.296543797363694e-63,4.416084375475347e-56,2.4622909967735832e-49,2.1789065054804654e-63,3.76,0.0,0.8968026577025993,0.9999999999999414,2.0103580160950237e-45,6.425079407421108e-47,1.6678501271111417e-15,1.6678501271111417e-15,4.565885746541634e-33,2.7869478920961556e-36,5.856503351614119e-14,7.994712816215169e-37,4.515092868728218e-38,4.44797882290932e-19,1.609448885817583e-31,3.351857053972146e-35,1.7928327654806078e-31,7.348837308387044e-17,3.714095213865431e-36,3.0396148385511635e-32,1.3720979127072157e-20,4.980623399582858e-37,3.1401561089832376e-33,9.866136668927348e-33,1.6306346784179542e-40,1.900357504283315e-41,2.5041764891449487e-23,6.653776237206351e-54,9.497699814570876e-33,1.7999198251620899e-34,1.1759991746063563e-47,4.4526748396317516e-49,4.296762651737905e-61,3.171394344621551e-49,2.8622495413784714e-64,1.0245443903642504e-68,7.863463954506092e-73,3.5644125461306342e-68,1.3065501206436445e-58,1.2398161514424941e-55,4.8085112056697124e-73,2.559518594923295e-47,5.920261507626541e-54,1.4929175594093159e-47,1.4099920219072205e-52,1.7067252549958489e-65,1.3059931291283768e-22,1.2986912040577989e-36,3.6677843415339873e-53,1.6561109928394876e-47,1.7461792541532598e-37,1.2550168505811431e-42,2.05135874133549e-56,3.2877088880647916e-32,3.2905239963285163e-54,1.159857819035951e-47,3.6728254222805706e-63,8.264529283893923e-59,1.372097912709549e-20,8.385483133486464e-71,1.6431474460201893e-53,1.532340726601612e-51,1.691518310321316e-55,4.786497471607821e-82,2.3087884029457332e-67,9.610691983515897e-51,5.204708669161303e-51,8.542937288819606e-50,2.4107305857078494e-59,1.6100547574923502e-59,6.601208355561893e-56,1.0306710891488768e-47,1.0183146862302622e-37
3.820432460783515e-20,0.7938023721822854,2.4861829160349288e-23,8.008044577465004e-25,1.2222932455848898e-31,2.621119077363985e-22,0.0,0.0,8.92681377455502e-19,7.377730385219169e-35,2.733152796749111e-46,8.635037922792854e-48,3.2031582290956744e-48,4.3565519574824695e-60,2.991910300891577e-41,1.1465935033837235e-34,3.818983307878972e-32,1.6655513976801091e-47,6.718793875681521e-57,8.938666269167968e-55,1.4418027789574296e-32,1.8217596531963082e-50,5.0258647019727807e-23,2.1509243647947293e-62,1.849176516186508e-48,6.720338813902321e-52,4.366180845614759e-35,8.940292366446429e-35,1.6107218759653584e-69,8.081129036613608e-54,5.314249536144198e-62,3.561732032582632e-55,1.9818660086855628e-48,3.5090698025053197e-62,3.76,0.0,0.8968026577025976,0.9999999999998824,1.61811102854809e-44,5.171462876365493e-46,3.3473635418244548e-15,3.3473635418244544e-15,1.8359225771712604e-32,1.1206194899662845e-35,1.1753961271736844e-13,3.2146388613923806e-36,1.8154989844724517e-37,8.927062392825547e-19,6.471523183717537e-31,1.3477669959258036e-34,7.208901698343133e-31,1.474906508746208e-16,1.493421350322217e-35,1.2222157578696244e-31,2.753790915704746e-20,2.002686763454814e-36,1.262642960506718e-32,3.9671301617254634e-32,6.5567103239516924e-40,7.641253944214406e-41,5.0258647019962606e-23,5.35553798112058e-53,3.8189833230356967e-32,7.237398453581002e-34,9.465464453387406e-47,3.583900084892262e-48,6.931889381621411e-60,2.5551645633069503e-48,4.6144976046486333e-63,1.649997155725004e-67,1.266386628145456e-71,5.740376588719753e-67,1.0516252043576432e-57,9.97911911725254e-55,7.743959058304014e-72,2.0601232382336107e-46,4.765141512571993e-53,1.2016299326998811e-46,1.1348842457558997e-51,2.748628407761112e-64,2.6211190773191473e-22,5.2219802129987665e-36,2.9521519281449826e-52,1.332982205433342e-46,7.0213099811927586e-37,5.046367558759996e-42,1.6528312129353263e-55,1.321973284021845e-31,2.648499934102022e-53,9.33554478109037e-47,5.914972115647131e-62,6.767109397241664e-58,2.753790915714129e-20,1.350456208347374e-69,1.3225480571548316e-52,1.2333611424773676e-50,1.361481098129953e-54,1.5510929703491052e-80,3.718232590943893e-66,7.735521019632565e-50,4.189202337601338e-50,6.87609914864282e-49,3.882407289402646e-58,2.5929435516470596e-58,5.313226776712565e-55,8.295737588757768e-47,4.0945985663519316e-37
7.654176532928645e-20,0.7938023721822859,4.9810286694436165e-23,1.6043991749348469e-24,4.901942598810927e-31,5.251370973813012e-22,0.0,0.0,1.7884731429856176e-18,2.958799861529153e-34,2.1931829914953454e-45,6.929074124040952e-47,2.5703327509927833e-47,3.4958585798624137e-59,1.199889847132062e-40,4.598352775028509e-34,1.5315831146610995e-31,1.3365001042496272e-46,5.3914089552590875e-56,7.172716746807405e-54,5.782274005673332e-32,1.4618473912737105e-49,1.0069241127622931e-22,3.452709963375507e-61,1.4838476971657772e-47,5.398103267609426e-51,1.7510338013048157e-34,3.5854571032766058e-34,2.585565432420962e-68,6.484597120118901e-53,8.534768156807413e-61,2.860976864058116e-54,1.5903226584121575e-47,5.63284062307609e-61,3.76,0.0,0.8968026577025942,0.9999999999997645,1.2984321953368038e-43,4.1497732709234925e-45,6.706390371251068e-15,6.706390371251068e-15,7.362870670753916e-32,4.4941853640541495e-35,2.3548877110826874e-13,1.2892139616688622e-35,7.280962929956346e-37,1.788522953263859e-18,2.5953702426023676e-30,5.4051485897421265e-34,2.8910920070406963e-30,2.9549520645612057e-16,5.989287563905648e-35,4.901631838415104e-31,5.517176921674709e-20,8.031669645483049e-36,5.063763002441438e-32,1.5909966290812915e-31,2.629534095902634e-39,3.0644845952667565e-40,1.0069241127717096e-22,4.2974819497951616e-52,1.5315831207396443e-31,2.9025204804065933e-33,7.595439109707739e-46,2.8758541119831873e-47,1.113689590256932e-58,2.0513781259788357e-47,7.411236060692968e-62,2.6486108541457605e-66,2.0328310004442067e-70,9.214575944246191e-66,8.4386299741018e-57,8.007614812814862e-54,1.2430769315888603e-70,1.6531191565791066e-45,3.823725965906901e-52,9.64232344973747e-46,9.106731346919921e-51,4.4121573238200565e-63,5.251370973633192e-22,2.0942476241832244e-35,2.368916002385968e-51,1.0696342715667976e-45,2.8158593382195144e-36,2.0238190955444217e-41,1.3269801694376894e-54,5.301704135930073e-31,2.1252543245690714e-52,7.491186754737369e-46,9.494840214218003e-61,5.614895913216829e-57,5.517176921712337e-20,2.1677812975916256e-68,1.0612615900080205e-51,9.896946666387736e-50,1.0925028433263172e-53,4.994766511116028e-79,5.96858691379722e-65,6.207268452146484e-49,3.3615710511666004e-49,5.517636524952774e-48,6.232123522374664e-57,4.162248650537415e-57,4.263529872991377e-54,6.656806967200326e-46,1.6421171606059235e-36
