Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043),S(706),S(2408),S(2271),S(529),S(1906),S(3064),S(517),S(139),S(1923)
0.0,0.780143215175577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6178749473902291,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3609650404981028e-22,0.780143215175577,1.0801228877533814e-25,8.582009797637012e-27,2.6737101234744462e-36,1.8434480127081323e-24,0.0,0.0,3.972246460880439e-21,1.6349256265988266e-39,4.963125185529477e-53,1.7403075157555684e-54,1.2745193928436471e-54,2.0431470906474621e-66,1.4832144567018866e-45,3.6171371659099766e-39,1.3086842977964592e-36,4.573930433534891e-54,3.773022248390065e-63,7.344927415814156e-61,6.200668108196548e-37,7.709827363540523e-57,2.8981968161275703e-25,3.5580958405228527e-71,5.281109845739961e-55,1.9795417068205186e-58,2.818847488780431e-39,5.189402769948583e-39,4.2072847601942945e-78,3.6613791588940374e-60,9.135590208895368e-71,1.1088853609947355e-61,8.365429939911462e-55,8.648812374133763e-71,3.76,0.0,0.6178749473902291,0.9999999999999994,1.6936404318508266e-51,9.726713742779822e-53,1.3999562371098126e-17,1.3999562371098126e-17,7.680808141710796e-37,6.079228878188751e-40,5.144002081613353e-16,1.3192533738726658e-40,8.578811064404051e-42,3.972354473169142e-21,1.8181075412050182e-35,6.40511791890378e-39,2.446939411414117e-35,6.710578267391946e-19,5.646581370334217e-40,2.673480764380891e-36,1.7834975396439785e-22,8.742672904655691e-41,4.937234907528728e-37,1.1987054528214069e-36,3.5467082636593227e-44,4.307386281431209e-45,2.8981968161276405e-25,1.7507660696828408e-59,1.3086843086240609e-36,1.5176488427589295e-38,4.269851796054414e-53,8.531358174110441e-55,1.697274365862519e-68,5.7969098969959056e-55,6.694674491731081e-72,3.457556877926692e-76,2.769638476974247e-80,1.5582941063106864e-75,3.910774062115988e-64,5.375333856442821e-61,1.593063738668147e-80,4.1547162283002156e-53,1.0091374773264275e-59,1.9562160068735318e-53,2.2407548152382494e-58,1.5894815932094709e-72,1.8434480127079523e-24,1.3037522817407533e-40,1.2090053047657413e-58,2.7873446311732466e-53,3.8652967444024634e-41,2.074073276566953e-46,6.695335913530524e-62,2.8938386593447027e-36,8.289770782304029e-60,2.268311625311079e-53,8.4249629958138e-71,2.523061398469845e-64,1.7834975396440406e-22,7.9889129156290575e-78,5.046302728874848e-59,4.095960551355913e-57,5.1379215421032876e-61,2.2906727413480243e-91,7.550574598825161e-75,1.6019823539030136e-56,1.196624709207648e-56,1.9033438094006245e-55,5.0923890076953e-67,3.542635736949291e-67,1.6340887089838385e-61,2.0056681821857287e-53,2.215802670072507e-41,2.869441374674031e-75
3.810702113394688e-22,0.780143215175577,3.0243440867562407e-25,2.40296274333841e-26,1.6149209145785673e-35,5.16165443558277e-24,0.0,0.0,1.1122290090465222e-20,9.874950784656908e-39,5.892222288063383e-52,2.0660930827166745e-53,1.5131094231839888e-53,2.425624226017002e-65,8.958615318480745e-45,2.1847508482095715e-38,7.904453158690549e-36,5.430170210700572e-53,4.479332013313618e-62,8.719897828072878e-60,3.745203537350715e-36,9.153107045995263e-56,8.114951085157084e-25,7.959318071415834e-70,6.269733608862343e-54,2.9832922233370664e-57,1.702583883223395e-38,3.1343992730488167e-38,9.411527718438438e-77,4.346789337438821e-59,2.1792161446112048e-69,1.6757475575358488e-60,9.931438427334016e-54,1.9348518094743444e-69,3.76,0.0,0.6178749473902291,0.9999999999999986,2.0106899207328815e-50,1.1547554555428124e-51,3.9198774639074756e-17,3.9198774639074756e-17,4.639208117592728e-36,3.671854242425854e-39,1.4403205828511671e-15,7.968290378191405e-40,5.181601882902054e-41,1.1122592524873464e-20,1.0981369548877716e-34,3.8686912234784883e-38,1.4779514044941109e-34,1.878961914869745e-18,3.410535147682228e-39,1.6147823816860574e-35,4.993793111002884e-22,5.28057443441405e-40,2.982089884147068e-36,7.24018093504115e-36,2.1422117912500275e-43,2.6016613139854354e-44,8.114951085157503e-25,2.0785094779273073e-58,7.904453224089263e-36,9.166599010263115e-38,5.069168052275768e-52,1.0128428424303917e-53,4.1154408975975654e-67,7.794151816084739e-54,1.6871678367570575e-70,7.734416433646115e-75,6.195570487451153e-79,3.4858415908137458e-74,4.642870966542586e-63,6.38159635506927e-60,3.563619860849593e-79,4.932479106236729e-52,1.1980480130822135e-58,2.3224196433601135e-52,2.6602241166505995e-57,3.5556067447458285e-71,5.161654435581681e-24,7.874663781714067e-40,1.4353310978182848e-57,3.30913554612872e-52,2.3346392336190674e-40,1.2527402590472072e-45,8.89284618049445e-61,1.7478785502442003e-35,9.841615870860171e-59,2.6929395615707987e-52,1.8846305223124248e-69,2.9959530594074113e-63,4.99379311100326e-22,1.7870878635877168e-76,5.990971402618864e-58,4.862724376443303e-56,6.099740454908514e-60,1.140683505438342e-89,1.689033338734899e-73,1.9018734505536286e-55,1.4206328547758265e-55,2.2596497705198844e-54,1.1391470514647228e-65,7.924734438123408e-66,1.9399901153056865e-60,2.3811292658898793e-52,1.3383448127243128e-40,9.021982792595021e-74
8.710176259187858e-22,0.780143215175577,6.912786488949051e-25,5.492486270488016e-26,7.775149039063717e-35,1.1798067281332051e-23,0.0,0.0,2.5422377349634765e-20,4.75436372214938e-38,5.785018812533105e-51,2.0285024404008472e-52,1.4855798042985877e-52,2.381492248859715e-64,4.313187640091109e-44,1.0518634878465396e-37,3.805653937992004e-35,5.331373313352907e-52,4.397834732798177e-61,8.561247395927704e-59,1.8031542858635567e-35,8.986574774942695e-55,1.8548459623215647e-24,1.5726271249308904e-68,6.155661636194062e-53,3.206469852270615e-56,8.197208497373714e-38,1.5090783255008559e-37,1.8595592801314442e-75,4.26770354760633e-58,4.4256758295486675e-68,1.8026927536642762e-59,9.750745141753878e-53,3.823071165670861e-68,3.76,0.0,0.6178749473902291,0.9999999999999967,1.9741072874215306e-49,1.1337457538583896e-50,8.959719917502803e-17,8.959719917502803e-17,2.233579007608609e-35,1.7678397577770621e-38,3.292161332228543e-15,3.8363888112224494e-39,2.4947182575316532e-40,2.5423068628281566e-20,5.2870567298233045e-34,1.862608291508127e-37,7.115699808392017e-34,4.294770091130846e-18,1.6420258624937222e-38,7.774482062819614e-35,1.1414384253719676e-21,2.5423692806768356e-39,1.4357479111089282e-35,3.485835456804432e-35,1.0313827630718264e-42,1.2525879306416739e-43,1.854845962321766e-24,2.0406929308218174e-57,3.80565396947867e-35,4.413322834741738e-37,4.976939253480921e-51,9.94415108774313e-53,8.256006479195502e-66,8.052003924583114e-53,3.516361761096124e-69,1.5281903512240645e-73,1.224140324027818e-77,6.887435576730198e-73,4.5583982467976985e-62,6.265489145240336e-59,7.041112323725359e-78,4.84273723570274e-51,1.1762506435725483e-57,2.2801653776113445e-51,2.6118238126409287e-56,7.025279756636251e-70,1.1798067281326803e-23,3.7913116353019856e-39,1.409216583236125e-56,3.248928902095045e-51,1.1240282932722048e-39,6.031405088268214e-45,9.144767146025917e-60,8.415282821374396e-35,9.66255681799069e-58,2.6439440304646388e-51,3.723712324684557e-68,2.9426615242028854e-62,1.1414384253721487e-21,3.5309844684408887e-75,5.88197160384154e-57,4.774251633638767e-55,5.988761349844664e-59,5.742945596515399e-88,3.33724525467359e-72,1.867270631709261e-54,1.394785761066404e-54,2.2185375442357023e-53,2.2507626109952956e-64,1.5657939817752543e-64,1.9046937991917884e-59,2.3378068331525315e-51,6.443554164578477e-40,2.0127547311698983e-72
1.85091245507742e-21,0.780143215175577,1.4689671310083033e-24,1.1671533324787975e-25,3.3956118568125736e-34,2.5070892972830618e-23,0.0,0.0,5.4022551867973724e-20,2.0763555457805016e-37,5.116783638231417e-50,1.7941874365192892e-51,1.3139785132461547e-51,2.1064029245760736e-63,1.8836823600134838e-43,4.593764200704825e-37,1.6620290582013996e-34,4.7155393198088654e-51,3.8898350173550166e-60,7.57232636872103e-58,7.874848497409615e-35,7.948523618715442e-54,3.9415476699330914e-24,2.798405943669361e-67,5.444613006563148e-52,2.946276159996753e-55,3.5799363107513744e-37,6.590541517832714e-37,3.308986385882165e-74,3.7747354576522176e-57,7.973239567862261e-67,1.656985217232602e-58,8.62442365467106e-52,6.80305713587055e-67,3.76,0.0,0.617874947390229,0.999999999999993,1.746075539677538e-48,1.0027852800255713e-49,1.9039404824693454e-16,1.9039404824693454e-16,9.754626339963503e-35,7.720620675297366e-38,6.995842830974145e-15,1.6754517848190398e-38,1.0895090051823432e-39,5.4024020835095584e-20,2.308996577329454e-33,8.134499764147184e-37,3.1076130524956824e-33,9.126386443653048e-18,7.1711583403299e-38,3.395320570763713e-34,2.425556653914917e-21,1.1103194588943044e-38,6.270288332557081e-35,1.5223559250829596e-34,4.504319494844192e-42,5.47038057743291e-43,3.94154766993397e-24,1.8049697871991675e-56,1.6620290719524542e-34,1.9274140303025698e-36,4.40204640766003e-50,8.795489023180893e-52,1.4743737250447445e-64,7.280628579910372e-52,6.405522867242974e-68,2.719333079104834e-72,2.178292301039146e-76,1.2255823625536928e-71,4.0318516270692406e-61,5.54175419719611e-58,1.2529283174857988e-76,4.283346242720008e-50,1.040380373626269e-56,2.016780454445403e-50,2.3101285843163974e-55,1.2501109967676513e-68,2.5070892972807702e-23,1.6557653978106262e-38,1.2464361090037175e-55,2.8736408209533366e-50,4.908926865390801e-39,2.6340730612519276e-44,8.252748552476435e-59,3.675175097367773e-34,8.546422073411889e-57,2.338538553232637e-50,6.626147124588371e-67,2.60491581147398e-61,2.4255566539157085e-21,6.283198202001814e-74,5.202537418422944e-56,4.222771507041461e-54,5.296991593810727e-58,2.2639840208923242e-86,5.938449627700432e-71,1.6515797275796562e-53,1.2336722102340527e-53,1.96227133373617e-52,4.005111808470638e-63,2.786246730513327e-63,1.684680095414452e-58,2.0677636690995742e-50,2.814069390999894e-39,3.769666855599394e-71
3.810702113394688e-21,0.7801432151755772,3.024344101934444e-24,2.4029627433390893e-25,1.4176011074661753e-33,5.161654435582777e-23,0.0,0.0,1.1122290090465123e-19,8.668375672226901e-37,4.300964961954137e-49,1.5081226483712779e-50,1.104478113528142e-50,1.770558578405566e-62,7.864003049452183e-43,1.9178061253647075e-36,6.9386441469158905e-34,3.963694930908257e-50,3.2696407123780156e-59,6.364996579910085e-57,3.28759423096581e-34,6.681213036005864e-53,8.114951085155403e-24,4.7199206476089766e-66,4.5765252945590386e-51,2.5202113433336453e-54,1.4945529385515888e-36,2.7514213486249503e-36,5.581089200708066e-73,3.172892597028887e-56,1.3527780342751671e-65,1.4175857388814944e-57,7.249347742443707e-51,1.1474436697735784e-65,3.76,0.0,0.6178749473902287,0.9999999999999856,1.4676817000453435e-47,8.429014502072053e-49,3.919877463907475e-16,3.919877463907475e-16,4.072364476726776e-34,3.223207151213561e-37,1.440320582842875e-14,6.994681388279631e-38,4.5484856263741766e-39,1.1122592524871494e-19,9.639606183460732e-33,3.395993527028229e-36,1.2973672759315429e-32,1.8789619148697445e-17,2.993817442556082e-37,1.417479501274731e-33,4.99379311099918e-21,4.635365174075612e-38,2.6177219479677673e-34,6.355536310857052e-34,1.8804647213893406e-41,2.2837762064285727e-42,8.11495108515907e-24,1.5171858637281226e-55,6.938644204323842e-34,8.046574164296401e-36,3.7001852488316e-49,7.393138491953305e-51,2.4895752959143745e-63,6.182738117240824e-51,1.0922520551383919e-66,4.5865527039848795e-71,3.6740083515925117e-75,2.067123791765141e-70,3.389014229826836e-60,4.658178322920503e-57,2.113246739284752e-75,3.600410607970099e-49,8.74502391654737e-56,1.6952254920987986e-49,1.9418022708054683e-54,2.108494916113032e-67,5.1616544355732107e-23,6.912494597788294e-38,1.0477046530294877e-54,2.4154682598587576e-49,2.04938033388189e-38,1.0996736512465053e-43,7.002077218319824e-58,1.5343132571845602e-33,7.183782701274003e-56,1.965682561510052e-49,1.1175965623634779e-65,2.193230851469497e-60,4.993793111002484e-21,1.0597532139864277e-72,4.373046242984646e-55,3.549493896994916e-53,4.452440603019195e-57,8.004568703569527e-85,1.0016063290959072e-69,1.3882522761743344e-52,1.0369758270572237e-52,1.6494072917192842e-51,6.755206464398555e-62,4.699412357379794e-62,1.416075129786909e-57,1.7380799559792165e-49,1.1748185756794418e-38,6.511162043107058e-70
7.730281430029225e-21,0.7801432151755772,6.1350980705841056e-24,4.874581565060874e-25,5.79136307585079e-33,1.0470784712182216e-22,0.0,0.0,2.256235989780045e-19,3.541314304238058e-36,3.5261909310295287e-48,1.2364500641885664e-49,9.055178872274262e-50,1.4516108952239318e-61,3.212701841810453e-42,7.834863786841194e-36,2.8346625363982482e-33,3.249676580802122e-49,2.6806489996231317e-58,5.218408753284703e-56,1.3430895149078044e-33,5.477662108806443e-52,1.6461757915597054e-23,7.75248383672912e-65,3.752111938489992e-50,2.0836070151276952e-53,6.105736414599692e-36,1.1240453975804283e-35,9.166955801669516e-72,2.6013290491387404e-55,2.228391279218364e-64,1.1720873023367424e-56,5.943453266471638e-50,1.8846866672086373e-64,3.76,0.0,0.6178749473902283,0.9999999999999708,1.203294131291645e-46,6.910615348403814e-48,7.95175142678373e-16,7.95175142678373e-16,1.6636937667201073e-33,1.316785291929405e-36,2.921793182319157e-14,2.857555577948859e-37,1.858204791817118e-38,2.2562973407591875e-19,3.93809365854471e-32,1.387374167146444e-35,5.300168642697549e-32,3.811608455878622e-17,1.2230721111439954e-36,5.790866274879436e-33,1.013026602516117e-20,1.8936979218629925e-37,1.0694248299069957e-33,2.5964439590275458e-33,7.682311967392661e-41,9.329970981147631e-42,1.6461757915612042e-23,1.243880635591588e-54,2.834662559851273e-33,3.2872880993598617e-35,3.03363542276829e-48,6.061341610316954e-50,4.090957334633584e-62,5.094025069241499e-50,1.8035102652419358e-65,7.533426588837259e-70,6.034569749827149e-74,3.395257042164335e-69,2.7785186212117147e-59,3.8190560316878764e-56,3.471014114932053e-74,2.95183414404712e-48,7.169698958905246e-55,1.389848279631332e-48,1.5920068203554333e-53,3.463209231128931e-66,1.0470784712143135e-22,2.8239795923407407e-37,8.589715742063366e-54,1.980346815875941e-48,8.372387360243e-38,4.4925256800657345e-43,5.766649682731092e-57,6.268170289686987e-33,5.889699064713153e-55,1.6115853254636785e-48,1.8356557096116966e-64,1.8041159757315808e-59,1.0130266025174666e-20,1.74064783642009e-71,3.5852875585688865e-54,2.9100895543273185e-52,3.6503798126909257e-56,2.6896092456190503e-83,1.6451414065708716e-68,1.1381730906771127e-51,8.501754345089336e-52,1.3522837507370425e-50,1.1095446902272113e-60,7.718798908400536e-61,1.1609839470557816e-56,1.424982958269061e-48,4.79951721554298e-38,1.0818393117286065e-68
1.5569440063298296e-20,0.7801432151755774,1.2356606115072944e-23,9.817819208509243e-25,2.3409615511879691e-32,2.1089045265381132e-22,0.0,0.0,4.544249951247038e-19,1.4314558625172958e-35,2.8556008393638726e-47,1.0013093193090016e-48,7.33311862213576e-49,1.1755521385119107e-60,1.2986254511495004e-41,3.166977211332842e-35,1.1458159195664407e-32,2.631672348822332e-48,2.1708590608092508e-57,4.226002705082803e-55,5.428982560795264e-33,4.4359527936913016e-51,3.315537157646849e-23,1.2567110376535508e-63,3.0385575278581028e-49,1.694294314634011e-52,2.468036281108149e-35,4.5435712164104817e-35,1.4860030484473906e-70,2.10662370799957e-54,3.6175088746456515e-63,9.531219287418697e-56,4.813162549650631e-49,3.055163933222896e-63,3.76,0.0,0.6178749473902275,0.9999999999999412,9.744587850275539e-46,5.596395478938087e-47,1.601549935253623e-15,1.601549935253623e-15,6.724916206800872e-33,5.322656685825669e-36,5.88473838121316e-14,1.1550696529921567e-36,7.511160870005385e-38,4.544373517301873e-19,1.5918404214812065e-31,5.607988228410477e-35,2.1424129077832566e-31,7.67690153789637e-17,4.943853025667258e-36,2.3407607362920365e-32,2.0403211853458987e-20,7.654629776514077e-37,4.3227861487893485e-33,1.0495241618054506e-32,3.1053133268106673e-40,3.771323444030261e-41,3.315537157652905e-23,1.007326788482639e-53,1.145815929046531e-32,1.3287744089719242e-34,2.4567166176668666e-47,4.908631586928249e-49,6.632922781937511e-61,4.135263526250362e-49,2.9311483293698196e-64,1.2212009137851404e-68,9.782297611669013e-73,5.5038579988425186e-68,2.2501164173917126e-58,3.092770601962252e-55,5.626663456373308e-73,2.3904718212960056e-47,5.806208103966818e-54,1.1255351710930712e-47,1.2892483986837645e-52,5.6140114034750704e-65,2.108904526522316e-22,1.1414977027727295e-36,6.956174511404531e-53,1.6037361954521033e-47,3.3842528339660204e-37,1.8159507092262106e-42,4.6803237878624345e-56,2.533694650511926e-32,4.7696309715203565e-54,1.3051035797310128e-47,2.9756770090462044e-63,1.4706940043666688e-58,2.0403211853513554e-20,2.8216651531176668e-70,2.9034588581162464e-53,2.3566659799627035e-51,2.9561722167567465e-55,8.817205594015886e-82,2.666845124638174e-67,9.217220779599391e-51,6.884941092278562e-51,1.0951144416616614e-49,1.7986197563467126e-59,1.2512505655988127e-59,9.40194900868504e-56,1.1539881447672393e-47,1.940041596225229e-37,1.7636711202610662e-67
3.124775732983644e-20,0.7801432151755775,2.479962263280869e-23,1.970429449542518e-24,9.412903438098064e-32,4.232556637177911e-22,0.0,0.0,9.120277874180741e-19,5.755821065465799e-35,2.298435987474821e-46,8.059408524380127e-48,5.902331833999419e-48,9.461866318080667e-60,5.221715823503321e-41,1.2734276078029666e-34,4.607275417759045e-32,2.1181988568675463e-47,1.7472962332463279e-56,3.401454631442666e-54,2.1829700101630242e-32,3.5704407275326086e-50,6.654259889816381e-23,2.023894383895176e-62,2.4456954469468533e-48,1.366485755347194e-51,9.923865338162583e-35,1.8269500027613722e-34,2.3931621304981743e-69,1.6955940323136828e-53,5.830052127454421e-62,7.687273647675226e-55,3.8740519556499005e-48,4.9202518464623015e-62,3.76,0.0,0.6178749473902259,0.9999999999998819,7.843292061887174e-45,4.5044659568499516e-46,3.21429952040412e-15,3.2142995204041195e-15,2.704059229475027e-32,2.1402168434699098e-35,1.181062877876694e-13,4.644484272891715e-36,3.0202047506205663e-37,9.120525870381676e-19,6.400720323067155e-31,2.2549474201190636e-34,8.614548075447278e-31,1.5407487701931837e-16,1.9879015577791063e-35,9.412095970232498e-32,4.0949103509949995e-20,3.0778929669285495e-36,1.73817329811272e-32,4.220090494864306e-32,1.2486328310383199e-39,1.5164325700006286e-40,6.654259889840736e-23,8.107842348164297e-53,4.6072754558780947e-32,5.342943456821872e-34,1.9773792634126658e-46,3.9508937424565194e-48,1.0683104656907692e-59,3.332410292039619e-48,4.7265857278805655e-63,1.9667064241103488e-67,1.575408873195177e-71,8.863793702684749e-67,1.8110894483799416e-57,2.489330864395546e-54,9.061568035849651e-72,1.924059688092417e-46,4.673341410836929e-53,9.05928625038673e-47,1.0376992733296784e-51,9.041192294961881e-64,4.2325566371143907e-22,4.589912057952912e-36,5.598934420383268e-52,1.2908264119912758e-46,1.3607931800521882e-36,7.301857933689851e-42,3.7712625793877236e-55,1.0187874753769317e-31,3.839013903133401e-53,1.0504609024118042e-46,4.7922360880292544e-62,1.1993157016023349e-57,4.094910351016939e-20,4.54420474417489e-69,2.3369563353060075e-52,1.8968498214748267e-50,2.3793845843582112e-54,2.855619034661554e-80,4.2948718929181095e-66,7.418821163498347e-50,5.541599568625016e-50,8.814433754379501e-49,2.8966216691158704e-58,2.015100461941404e-58,7.567506513287044e-55,9.288300535807083e-47,7.800821932490948e-37,2.8483335702245616e-66
6.260439186291274e-20,0.7801432151755783,4.9685657383312467e-23,3.947724506933386e-24,3.7749952810739016e-31,8.479860858457567e-22,0.0,0.0,1.8272333720047008e-18,2.3083416826407713e-34,1.8443501296243446e-45,6.467167782068517e-47,4.736249580913995e-47,7.592551832877541e-59,2.0941415922160848e-40,5.107014261690628e-34,1.847723507948763e-31,1.6997211834774378e-46,1.402095187329538e-55,2.7294531263501446e-53,8.754686097954031e-32,2.8650538253401187e-49,1.3331705354136443e-22,3.2487987111352895e-61,1.9625165716494077e-47,1.0976261023301792e-50,3.9799138563334405e-34,7.326886634392376e-34,3.841555327310528e-68,1.3606074261416136e-52,9.361862705593002e-61,6.174836246074564e-54,3.108682715145562e-47,7.898097504807738e-61,3.76,0.0,0.6178749473902225,0.9999999999997633,6.293747926385471e-44,3.6145502490110345e-45,6.439798690705095e-15,6.439798690705094e-15,1.0844486930055436e-31,8.583226777645144e-35,2.3662409572937565e-13,1.8626459230812063e-35,1.2112371870196716e-36,1.8272830576519006e-18,2.5669751287444503e-30,9.043347851371873e-34,3.45481907332899e-30,3.086866003000266e-16,7.972374357507818e-35,3.7746714503439802e-31,8.20408868225135e-20,1.2343727419277202e-35,6.970852342349938e-32,1.6924450365965076e-31,5.00757611708214e-39,6.081572847060481e-40,1.3331705354234112e-22,6.506032870255806e-52,1.8477235232362251e-31,2.142759295146198e-33,1.5867223278909064e-45,3.170343409724493e-47,1.714951675477499e-58,2.67564445400385e-47,7.592065111816696e-62,3.156999370423112e-66,2.5288801418470178e-70,1.4228352151360812e-65,1.4532852238295812e-56,1.9975312765480374e-53,1.454582353127209e-70,1.5439367265914907e-45,3.750062165556176e-52,7.269506681953359e-46,8.326883148186646e-51,1.4513115955448183e-62,8.479860858202821e-22,1.8407600240706966e-35,4.4927922639441257e-51,1.0358069022081852e-45,5.457389281627863e-36,2.9283716152324175e-41,3.027851885377655e-54,4.08579344009676e-31,3.080566802343726e-52,8.429287184669207e-46,7.692600241393954e-61,9.873684083156188e-57,8.204088682339337e-20,7.294455010906275e-68,1.8752603604701723e-51,1.5221025471217691e-49,1.9093062855828964e-53,9.192917031539681e-79,6.894220667512486e-65,5.953136762657239e-49,4.446784658031211e-49,7.073027974007781e-48,4.649719283468792e-57,3.234682518689974e-57,6.072447392031103e-54,7.453276222806916e-46,3.1284784953765455e-36,4.5786130253521e-65
