Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043),S(706),S(2408),S(2271),S(529),S(1906),S(3064),S(517),S(139),S(1923),S(1777),CHO2(158),S(476),S(980),S(5430),CFO(51)
0.0,0.7685160943175067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8698682362172532,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0531501585191266e-22,0.7685160943175067,7.848212432371995e-26,1.6722660941061538e-27,3.420920345986891e-36,5.541290947423743e-25,0.0,0.0,2.937473742499728e-21,1.5371586476514205e-39,5.587549923827212e-53,1.6987385478409717e-54,3.352564834162251e-55,4.174442374776104e-67,4.165054965190335e-46,2.3475994503961276e-39,7.338720583097914e-37,2.611814433360013e-54,5.2367601386556024e-64,4.9071974430555465e-62,2.1710457201018645e-37,1.749677574005617e-57,1.243909376438549e-25,2.659531127495271e-71,2.7188309799120598e-55,4.357519179804258e-59,4.615673853975982e-40,1.0391470954248062e-39,8.997110856426757e-79,5.3527791496448406e-61,5.8676609799183526e-71,2.190338092499542e-62,1.97513450391913e-55,2.9119186668526866e-71,3.76,0.0,0.8698682362172532,0.9999999999999993,3.939710385702689e-51,7.698482501993997e-53,1.1000605091498774e-17,1.1000605091498774e-17,2.8333883591448256e-37,1.3806842858941644e-40,5.289213285221191e-16,5.27281559390892e-41,2.650495541014507e-42,2.9375522246240098e-21,1.4656504288524912e-35,1.8699934037736228e-39,1.39392926310543e-35,4.489900624058879e-19,2.6266912018884602e-40,3.4184379160961463e-36,6.223381336844224e-23,3.128557122597924e-41,1.924980551363706e-37,8.489202869280952e-37,8.113229203195241e-45,9.125516131003153e-46,1.2439093764385922e-25,6.666677795318552e-60,7.338720597859257e-37,2.2316457830106267e-38,8.956119856497368e-54,6.118995917488382e-55,4.518311560960099e-69,3.330332998989886e-55,6.54686126467793e-72,2.2299616468816526e-76,1.6493623181598497e-80,4.420405617665301e-76,1.1747571433753741e-64,8.15051894800957e-62,1.0597933569163257e-80,4.051033067713384e-53,9.016905762297581e-60,2.8518906134986264e-53,2.270929220080022e-58,1.4853374331116393e-73,5.541290947423025e-25,1.3889398033849376e-40,3.4641731171831883e-59,2.5479972650386654e-53,9.033399505662447e-42,8.658726784158112e-47,1.2200191840373502e-62,2.6263257361070893e-36,3.586534988936871e-60,1.108160867830108e-53,8.238602634063514e-71,5.003339866407911e-65,6.223381336844326e-23,7.501903676021381e-79,1.0211159748153304e-59,1.072505572242887e-57,1.120671145435738e-61,1.0080128591643321e-91,3.6623216028729143e-75,1.0592079975028084e-56,6.151712269801269e-57,1.0341500933779052e-55,7.764706718817117e-67,5.005693862013857e-67,7.340581592671602e-62,1.3985536290330733e-53,5.315800851164241e-42,4.0795931690565566e-75,2.738972005150721e-77,2.0410477587658623e-72,2.2984301041995734e-39,6.375243355005169e-59,1.4382045689135701e-75,7.905914656853671e-57
5.748820443853555e-22,0.7685160943175067,2.197499481594473e-25,4.682345063497429e-27,2.0662358889760817e-35,1.5515614652786487e-24,0.0,0.0,8.224926478999236e-21,9.284438231814579e-39,6.633539283182528e-52,2.016742404014262e-53,3.9801649711174566e-54,4.955897987334442e-66,2.51569319897512e-45,1.4179500680392085e-38,4.432587232191108e-36,3.1007460952932026e-53,6.21708163666608e-63,5.825824804420227e-61,1.3113116149415264e-36,2.07721721585946e-56,3.482946254027862e-25,5.949264750961687e-70,3.2277961393515196e-54,6.572750950953801e-58,2.787867007801519e-39,6.276448456365613e-39,2.012617710977386e-77,6.35481940645813e-60,1.443205181355838e-69,3.310038925386679e-61,2.3448796837169126e-54,6.516516132881604e-70,3.76,0.0,0.8698682362172532,0.9999999999999984,4.677224169938798e-50,9.139638426367217e-52,3.080169425619657e-17,3.080169425619657e-17,1.7113665689231904e-36,8.339333086800334e-40,1.480979719861025e-15,3.1847806187212127e-40,1.6008993067737033e-41,8.225146228947139e-21,8.852528590268642e-35,1.1294760161895856e-38,8.419332749156717e-35,1.2571721747364863e-18,1.5865214859407687e-39,2.0647365013220715e-35,1.7425467743163066e-22,1.8896485020501924e-40,1.1626882530235877e-36,5.127478533045614e-36,4.900390438729312e-44,5.511811743129661e-45,3.4829462540281217e-25,7.9146798786013836e-59,4.4325872411069605e-36,1.3479140529382836e-37,1.063270549363362e-52,7.264471953242232e-54,1.3415962026623805e-67,4.2815914517436e-54,1.5805055000443313e-70,4.988335005607773e-75,3.689557531229949e-79,9.888270565449893e-75,1.3946716806146123e-63,9.676296097521712e-61,2.3707153476859972e-79,4.80938645798741e-52,1.0704870521005781e-58,3.385764536345363e-52,2.69604717007865e-57,3.3226404243733895e-72,1.5515614652782152e-24,8.389196412444948e-40,4.112666324720376e-58,3.02498235305378e-52,5.456173301420076e-41,5.229870977635116e-46,1.6013102512220912e-61,1.5863007446086828e-35,4.257934337413249e-59,1.3156085822881464e-52,1.8429424548296457e-69,5.942021895645e-64,1.7425467743163687e-22,1.6781458447219488e-77,1.2122690132931958e-58,1.2732786173830447e-56,1.330460783942426e-60,5.205703824650146e-90,8.192466945155222e-74,1.2574917346353209e-55,7.303312806749446e-56,1.2277429908577647e-54,1.736933834170996e-65,1.1197536941565506e-65,8.714738466819917e-61,1.6603628683870302e-52,3.2107437141050656e-41,1.2826893658420769e-73,6.12697081664188e-76,4.5657421944467245e-71,1.3882517829365294e-38,7.568688911063816e-58,3.2172060924773655e-74,9.385905118102388e-56
1.314016101452241e-21,0.7685160943175067,5.022855960430273e-25,1.0702503002280777e-26,9.94803636612986e-35,3.5464262063512e-24,0.0,0.0,1.8799831951998228e-20,4.4700573473703264e-38,6.512848210546085e-51,1.980049651417564e-52,3.9077495706996167e-53,4.865730032039796e-65,1.2111979838775852e-44,6.826819201751146e-38,2.1340999455648252e-35,3.044330903549831e-52,6.10396761777925e-62,5.719829339699303e-60,6.313400954056224e-36,2.03942418026092e-55,7.961020009206185e-25,1.175474461104588e-68,3.169069390185255e-53,7.066420292603964e-57,1.3422379567362538e-38,3.021839753495014e-38,3.9765934468935337e-76,6.239199376825328e-59,2.9670317264746274e-68,3.560788830219966e-60,2.302216778711212e-53,1.287789896971523e-68,3.76,0.0,0.8698682362172532,0.9999999999999966,4.592126425621293e-49,8.973351204324017e-51,7.040387258559216e-17,7.040387258559216e-17,8.239493348388889e-36,4.015029903379599e-39,3.3850965025352037e-15,1.5333347747090432e-39,7.707641033284059e-41,1.8800334237593047e-20,4.262111447102435e-34,5.437940822828453e-38,4.0535462971104705e-34,2.8735363993976828e-18,7.638418015093681e-39,9.940817460007574e-35,3.9829640555797715e-22,9.097844112530153e-40,5.5978434433642936e-36,2.468660194386776e-35,2.3593270522882554e-43,2.653700090901351e-44,7.961020009207435e-25,7.770679638220811e-58,2.1340999498574246e-35,6.489625936992875e-37,1.0439253304733146e-51,7.13230164142453e-53,2.9331362687637296e-66,4.347340707408098e-53,3.2346549425720996e-69,9.85610936473591e-74,7.289943938086996e-78,1.953755634411074e-73,1.369296926316376e-62,9.500244893377536e-60,4.684134027317015e-78,4.721884143720765e-51,1.0510105356552936e-57,3.324163699093354e-51,2.6469950989241797e-56,6.56497756576292e-71,3.546426206349114e-24,4.03903694824328e-39,4.0378401853901e-57,2.969945612128684e-51,2.6269125762465755e-40,2.517957748838602e-45,1.6391772967395837e-60,7.637355240599417e-35,4.180465178601592e-58,1.2916723075430894e-51,3.6413437283780724e-68,5.838269047646189e-63,3.9829640555800696e-22,3.315733397452428e-76,1.1902129633528704e-57,1.2501124984400903e-55,1.3062542873623348e-59,2.545255390778775e-88,1.6186934153835008e-72,1.2346128418892296e-54,7.170435821808626e-55,1.2054053488397835e-53,3.4318885579308546e-64,2.2124446050153428e-64,8.5561819044186e-60,1.630154109997743e-51,1.5458348875213016e-40,2.8616094145501794e-72,1.2105861850797026e-74,9.021137182854241e-70,6.683834743012162e-38,7.430983654599045e-57,6.356657093142834e-73,9.21513872125848e-55
2.7922842155860122e-21,0.7685160943175067,1.0673568926586888e-24,2.2742818879850654e-26,4.3445688394033275e-34,7.536155688496313e-24,0.0,0.0,3.994964289799613e-20,1.9521914825172967e-37,5.760540488938097e-50,1.7513314933957925e-51,3.4563602414281124e-52,4.303683110700775e-64,5.289619805794155e-44,2.981451302002259e-37,9.320175140533844e-35,2.6926762082701703e-51,5.398890232884595e-61,5.059124276045209e-59,2.757228064529368e-35,1.803847591696773e-54,1.6917167519561618e-24,2.0916939981759206e-67,2.8030059870496277e-52,6.493718952131191e-56,5.861905794549886e-38,1.3197168111891705e-37,7.076135588323938e-75,5.518501192116374e-58,5.374056313479582e-67,3.2729784048723527e-59,2.0362846691102263e-52,2.291746261918662e-67,3.76,0.0,0.8698682362172531,0.9999999999999928,4.061683819290594e-48,7.93682752025533e-50,1.4960822924438332e-16,1.4960822924438332e-16,3.59840321610952e-35,1.7534690430849358e-38,7.193330067869025e-15,6.6964758042677e-39,3.3661293371026433e-40,3.995071025488342e-20,1.8613760446420316e-33,2.374891627602416e-37,1.770290164143771e-33,6.106264848720074e-18,3.335897826400429e-38,4.341416153442081e-34,8.463798618105485e-22,3.9732675457151255e-39,2.4447253002304976e-35,1.0781287643985508e-34,1.0303801088048436e-42,1.1589405486432213e-43,1.691716751956708e-24,6.873078139856369e-57,9.320175159280756e-35,2.8341901444213994e-36,9.233401327254125e-51,6.308440031093964e-52,5.446912117684385e-65,3.902222873574886e-52,5.846656263803649e-68,1.7538420004635252e-72,1.2972065737601581e-76,3.47660376753924e-72,1.2111276245301578e-61,8.402859030551945e-59,8.33516622926587e-77,4.176453051477279e-50,9.296069164737935e-57,2.9401851468911857e-50,2.3412371887313986e-55,1.1682026812869206e-69,7.536155688487201e-24,1.7639535502987465e-38,3.5714239168939414e-56,2.62688326036345e-50,1.1472417372190634e-39,1.0996583015936826e-44,1.476442948561878e-59,3.3354336848560037e-34,3.6975741027374615e-57,1.142469528298389e-50,6.479576608397448e-67,5.171633077330257e-62,8.463798618106789e-22,5.900170421962949e-75,1.0527299125337514e-56,1.1057103493683605e-54,1.1553671246002416e-58,9.92297837779461e-87,2.8803784502507214e-71,1.092001077105401e-53,6.342169281943666e-54,1.0661673802657272e-52,6.10686232371238e-63,3.936926964155314e-63,7.567845998781925e-59,1.4418528493812e-50,6.7510670810066436e-40,5.35947773300277e-71,2.154173434977536e-73,1.6052631619345382e-68,2.9190062323332507e-37,6.57262088928652e-56,1.131133166236887e-71,8.150686404234823e-54
5.748820443853555e-21,0.7685160943175067,2.1974994892840185e-24,4.6823450635003147e-26,1.8137719674422288e-33,1.551561465278657e-23,0.0,0.0,8.224926478999163e-20,8.150015149847765e-37,4.842081380494256e-49,1.4720996459484383e-50,2.9052790442480184e-51,3.617504970905877e-63,2.208312142546102e-43,1.2446972285992847e-36,3.890989653158059e-34,2.2633565990156085e-50,4.538092548603076e-60,4.252498789268061e-58,1.1510884407980092e-34,1.5162425907919796e-53,3.482946254026763e-24,3.5279476563449845e-66,2.35609542589519e-51,5.554926214845149e-55,2.4472302773784155e-37,5.5095578999393194e-37,1.1934937000598717e-73,4.638632766613155e-57,9.14094473563315e-66,2.800101933417168e-58,1.711619959788492e-51,3.8655220701780627e-66,3.76,0.0,0.869868236217253,0.9999999999999851,3.414089984925135e-47,6.671381760507239e-49,3.0801694256196565e-16,3.0801694256196565e-16,1.5022625080146184e-34,7.320388083804984e-38,1.4809797198478534e-14,2.7956468278935315e-38,1.4052927358586405e-39,8.225146228945852e-20,7.770878573770219e-33,9.914705070096977e-37,7.390612952983864e-33,1.2571721747364858e-17,1.3926716752431295e-37,1.812455783114155e-33,1.7425467743152053e-21,1.6587609864155453e-38,1.0206246883317683e-34,4.500975361291587e-34,4.301634123525546e-42,4.83834865271026e-43,3.482946254029044e-24,5.777236310568813e-56,3.89098966098453e-34,1.183218594150347e-35,7.761230169722187e-50,5.3026239581610115e-51,9.371267872578875e-64,3.302672658189172e-51,9.933845174303966e-67,2.958110880714431e-71,2.1879284903405606e-75,5.8638004189660555e-71,1.0180257443273335e-60,7.063109340910103e-58,1.4058476139083987e-75,3.510560439928632e-49,7.813906263186763e-56,2.4714027754056274e-49,1.96795092724965e-54,1.9703445700837365e-68,1.5515614652748534e-23,7.364158837545825e-38,3.001996996585988e-55,2.2080536619247922e-49,4.7895084179016254e-39,4.590856941011053e-44,1.2515894224960378e-58,1.3924779052839788e-33,3.108033819695265e-56,9.603144774878182e-50,1.0928753024880634e-65,4.3601072133571e-61,1.742546774315749e-21,9.951499804191778e-74,8.84882937123043e-56,9.29416174959391e-54,9.711556848009324e-58,3.4914663497350425e-85,4.858179272847541e-70,9.17892703307801e-53,5.330975426102142e-53,8.961779245140688e-52,1.030011590662376e-61,6.640202758363854e-62,6.361230558905921e-58,1.2119641980497732e-49,2.818437611312424e-39,9.257164975777884e-70,3.6333283586977586e-72,2.7075109527876274e-67,1.2186276412464271e-36,5.524683887572535e-55,1.907821414759975e-70,6.851143261840046e-53
1.166189290038864e-20,0.7685160943175067,4.457784696110704e-24,9.498471414535907e-26,7.409850306221261e-33,3.147453258136724e-23,0.0,0.0,1.668485085739813e-19,3.329547117158824e-36,3.969830862337807e-48,1.2069162304444434e-49,2.381923290041348e-50,2.9658491355957156e-62,9.021675656819376e-43,5.084994313529741e-36,1.589596233180955e-33,1.8556364862040816e-49,3.7206024518788444e-59,3.486455432837885e-57,4.702571871569443e-34,1.2431072834499795e-52,7.065405258166026e-24,5.794664619307827e-65,1.9316693794379134e-50,4.5926908849741446e-54,9.997734194669096e-37,2.2508341745714038e-36,1.9603170062761503e-72,3.8030313964544947e-56,1.507615002647803e-64,2.3151784272321622e-57,1.4032894547752237e-50,6.349258602487688e-65,3.76,0.0,0.8698682362172526,0.9999999999999699,2.7990772402712108e-46,5.469601835171852e-48,6.248343691971301e-16,6.248343691971301e-16,6.137232521408457e-34,2.9906173906132204e-37,3.004273145946501e-14,1.1421129489056006e-37,5.741079361766799e-39,1.6685296635858598e-19,3.174657454906835e-32,4.0504805489613626e-36,3.0193065410559336e-32,2.5502635544654417e-17,5.68951821095426e-37,7.404473263780707e-33,3.534880599322574e-21,6.776579869951356e-38,4.169584873465101e-34,1.838795298296737e-33,1.7573578983216448e-41,1.9766232960841604e-42,7.065405258175341e-24,4.7365273733119245e-55,1.5895962363783264e-33,4.833834031816359e-35,6.3631254069137064e-49,4.347411491946077e-50,1.5541045877724592e-62,2.7167316753740493e-50,1.6374389446026168e-65,4.8587060042137916e-70,3.593679115306687e-74,9.631309839842632e-70,8.346390117177753e-60,5.790763798177751e-57,2.3091089273140833e-74,2.878169547761626e-48,6.406312450955382e-55,2.0262053111418342e-48,1.6134450687425757e-53,3.236296872936397e-67,3.147453258121184e-23,3.008499171722965e-37,2.461218510824499e-54,1.810295797027853e-48,1.9566704665239974e-38,1.875514856398473e-43,1.0303269597550581e-57,5.688726597437394e-33,2.548153889779087e-55,7.873238284012724e-49,1.7950509660327623e-64,3.596060496900529e-60,3.534880599324795e-21,1.634536831255205e-72,7.25480506129101e-55,7.619915367688774e-53,7.962121059465201e-57,1.1705125656166424e-83,7.979574080141755e-69,7.525438949128662e-52,4.370655738717636e-52,7.347408073011991e-51,1.6917971305680918e-60,1.0906552969806655e-60,5.215321141555333e-57,9.936414733430898e-49,1.151423727586822e-38,1.5380918059865967e-68,5.967752739361954e-71,4.447094870062993e-66,4.9784915428988615e-36,4.529469638389656e-54,3.133602402579538e-69,5.6169812635913676e-52
2.348803781345881e-20,0.7685160943175068,8.978355164068177e-24,1.9130724116627463e-25,2.995179967087975e-32,6.339236843852914e-23,0.0,0.0,3.3604699614195543e-19,1.3458561796338556e-35,3.214871957285695e-47,9.773920551242598e-49,1.9289432358076223e-49,2.4018215248410683e-61,3.6467055446776845e-42,2.055436003590257e-35,6.425402129087035e-33,1.5027425372907937e-48,3.0130403295238353e-58,2.8234220023634415e-56,1.900854738143747e-33,1.0067005078704325e-51,1.423032326643679e-23,9.393401056940204e-64,1.5643159453781872e-49,3.7346091617277037e-53,4.041244011503398e-36,9.098231611029057e-36,3.177758408101149e-71,3.0797934250924443e-55,2.448908555721352e-63,1.882664647548518e-56,1.1364201832205063e-49,1.0292524011901073e-63,3.76,0.0,0.869868236217252,0.9999999999999395,2.26676532015008e-45,4.429425375125026e-47,1.2584692224674586e-15,1.2584692224674586e-15,2.4807675110448924e-33,1.2088553651419711e-36,6.050859998050776e-14,4.616603147636745e-37,2.3206360700327088e-38,3.360559744967499e-19,1.2832473016769797e-31,1.637269014836039e-35,1.220451978452649e-31,5.1364463139233487e-17,2.299794228444005e-36,2.9930064805619886e-32,7.119548249329533e-21,2.7392019316744396e-37,1.6854128717765548e-33,7.432704593785013e-33,7.103521602339487e-41,7.989827397832388e-42,1.4230323266474452e-23,3.8357626696594156e-54,6.425402142011344e-33,1.953913002010243e-34,5.153023929684578e-48,3.520646540432794e-49,2.5312286550807146e-61,2.203670416622071e-49,2.658996984504013e-64,7.876171808651643e-69,5.825508708007401e-73,1.5612768432188505e-68,6.759123111560895e-59,4.689510700606639e-56,3.7431650773487054e-73,2.3308163213297003e-47,5.1879979177527636e-54,1.640873593879366e-47,1.3066096480500535e-52,5.246176692527976e-66,6.3392368437901e-23,1.216083466973297e-36,1.9931585614716122e-53,1.466024471519105e-47,7.909174870379534e-38,7.581130918767212e-43,8.360602630190733e-57,2.299474245597084e-32,2.0635610608348566e-54,6.375952489877927e-48,2.909854969926774e-63,2.9468139200325375e-59,7.11954824933851e-21,2.6496546409843133e-71,5.875129382275449e-54,6.170805081776634e-52,6.447932078705044e-56,3.833024115480725e-82,1.2935233563499857e-67,6.09429557118241e-51,3.539470334812463e-51,5.950121551861754e-50,2.742476053053959e-59,1.7679992359049117e-59,4.223502276766351e-56,8.046766269906989e-48,4.654238803809706e-38,2.507477838085226e-67,9.673984358425453e-70,7.20893242257923e-65,2.0123858808704243e-35,3.668081947625196e-53,5.0797045306993335e-68,4.5487770927919647e-51
4.714032763959915e-20,0.7685160943175069,1.8019496317199525e-23,3.8395229520892066e-25,1.2043486914859415e-31,1.2722804015285528e-22,0.0,0.0,6.744439712778828e-19,5.411628505402321e-35,2.5876086388220046e-46,7.866901576242843e-48,1.5525813304476187e-48,1.9331949169489355e-60,1.46632426072746e-41,8.264817769055623e-35,2.5836259361593757e-32,1.2095379298797104e-47,2.4251569871690439e-57,2.27253566029277e-55,7.643253299447413e-33,8.102801496986931e-51,2.856015928294726e-23,1.512778281975709e-62,1.2590975652497356e-48,3.012061468037455e-52,1.624966442989635e-35,3.6583589153098734e-35,5.117682161201308e-70,2.4788856844807554e-54,3.947904125088656e-62,1.5184372425127685e-55,9.146898297806383e-49,1.6575874646386365e-62,3.76,0.0,0.8698682362172506,0.9999999999998785,1.8244899337827726e-44,3.565186893197437e-46,2.5257389290081136e-15,2.5257389290081136e-15,9.975057053679518e-33,4.860754255828644e-36,1.2144033701887253e-13,1.8563158211150154e-36,9.331175572681035e-38,6.74461990772714e-19,5.159880960760218e-31,6.583386822261865e-35,4.907383727926829e-31,1.0308811832839146e-16,9.247371444001518e-36,1.2034747421131824e-31,1.428888354931233e-20,1.1014210493185964e-36,6.776971030226315e-33,2.9886578269351954e-32,2.856294793853272e-40,3.212674456280107e-41,2.85601592830987e-23,3.0873555003304227e-53,2.5836259413562016e-32,7.8565982448136e-34,4.147601961558465e-47,2.8337226250676206e-48,4.086058619830692e-60,1.775139944750039e-48,4.285941351653941e-63,1.2684331888875046e-67,9.381802183655404e-72,2.5143882696504593e-67,5.4403303104336424e-58,3.774526256304756e-55,6.028251961442839e-72,1.8760437517911396e-46,4.175752069990554e-53,1.3207178211248316e-46,1.0516731172114202e-51,8.448805832694959e-65,1.2722804015032952e-22,4.8898181354024934e-36,1.6042674111593146e-52,1.1799840359217143e-46,3.1802444295630715e-37,3.048339399554818e-42,6.736030185374705e-56,9.246084806994402e-32,1.6609334281407848e-53,5.131921259179477e-47,4.6862317232053255e-62,2.4276004287775527e-58,1.4288883549348426e-20,4.267187116762252e-70,4.728815476357861e-53,4.9668008698622505e-51,5.189856714994104e-55,1.2407273169474267e-80,2.0831795256903748e-66,4.9052192674157e-50,2.848873653538319e-50,4.789175473682719e-49,4.416673137345408e-58,2.8473082649548137e-58,3.399442068740411e-55,6.476737546584555e-47,1.8714489529972874e-37,4.049583406318756e-66,1.5579653576910964e-68,1.1609763427172363e-63,8.09171511902819e-35,2.95239146740877e-52,8.180707548201159e-67,3.6612515531090095e-50
9.444490729187983e-20,0.7685160943175072,3.610177949232786e-23,7.692424032974727e-25,4.829976910975784e-31,2.548993835815168e-22,0.0,0.0,1.3512379215496537e-18,2.170305071666822e-34,2.0763929707781064e-45,6.312693082373889e-47,1.2458487395286776e-47,1.5512671724989262e-59,5.880616115121856e-41,3.3145615783837885e-34,1.0361495558931676e-31,9.705780150466928e-47,1.9460357533718003e-56,1.8235667490958165e-54,3.0652864259374985e-32,6.501987904714276e-50,5.721983131584401e-23,2.4283441724149576e-61,1.0103465009145937e-47,2.4194371679727154e-51,6.516842220401473e-35,1.4671655491340381e-34,8.215013937870854e-69,1.9891496470185645e-53,6.34047555879568e-61,1.2196913694329858e-54,7.339809832473404e-48,2.6608015536999912e-61,3.76,0.0,0.8698682362172481,0.9999999999997566,1.464038269498037e-43,2.860837954160348e-45,5.060278342089417e-15,5.060278342089416e-15,4.000444023765825e-32,1.949379859121515e-35,2.4330381108071914e-13,7.444656700283379e-36,3.7422187519632186e-37,1.351274023323187e-18,2.0693430465683744e-30,2.640232663807956e-34,1.9680803629978522e-30,2.0653542870670678e-16,3.7086095478837586e-35,4.826471983107598e-31,2.8627554149153455e-20,4.4171910306935487e-36,2.7178684905293794e-32,1.1985854595867063e-31,1.1455019632226061e-39,1.2884261474650256e-40,5.721983131645135e-23,2.4774083541221904e-52,1.0361495579773413e-31,3.150847291072111e-33,3.328189367300243e-46,2.2738839450003557e-47,6.566714262502403e-59,1.4250113215011982e-47,6.882851317095465e-62,2.0361161837058403e-66,1.5059870260008267e-70,4.0361501705834785e-66,4.365522453812386e-57,3.0288197156408664e-54,9.676679453648662e-71,1.5054069616201664e-45,3.350778056752491e-52,1.059792875540506e-45,8.439014444873092e-51,1.356220448970159e-63,2.548993835713874e-22,1.9610357747552838e-35,1.2873235642405879e-51,9.468628760228681e-46,1.2754202561620256e-36,1.222520439648636e-41,5.4079140657336256e-55,3.70809354885514e-31,1.3327944109589393e-52,4.118043613372507e-46,7.522439759418083e-61,2.0374654448478676e-57,2.8627554149298225e-20,6.849780367440949e-69,3.794576963447673e-52,3.9855450476553816e-50,4.164533201146949e-54,3.99312637654633e-79,3.343964613370588e-65,3.936129542175653e-49,2.2860416929684562e-49,3.8430117056831496e-48,7.089738530118407e-57,4.5705603486227575e-57,2.727838170788788e-54,5.1971739900006406e-46,7.505347328093282e-37,6.509587053022694e-65,2.50087943637007e-67,1.8636241474119372e-62,3.245139673530231e-34,2.3691082175441562e-51,1.3131847368533614e-65,2.937923799466431e-49
