Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043),S(706),S(2408),S(2271),S(529),S(1906),S(3064),S(517),S(139),S(1923),S(1777),CHO2(158),S(476),S(980),S(5430),CFO(51),S(7338),S(1061),CHFO2(175),S(11877)
0.0,0.8006598085885432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.948732780874982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7547357523346576e-22,0.8006598085885432,1.1965947023153293e-25,3.6120814735818886e-27,4.019260051376253e-36,1.2517489555048839e-24,0.0,0.0,4.259868131936006e-21,2.527787607075777e-39,7.163720851703833e-53,2.2413345310985664e-54,8.290288463795374e-55,1.1159921900462669e-66,9.703620680880009e-46,3.7450175980199127e-39,1.2457550987758011e-36,4.310143887754678e-54,1.7291216308245845e-63,2.3025675159288224e-61,4.724675279110816e-37,4.750328361750001e-57,2.407691177687341e-25,4.981780717086579e-71,4.772699067785432e-55,8.113969405627626e-57,1.4211575618118259e-39,2.9152020987760326e-39,3.9254593337575187e-78,2.194525149023655e-60,1.0122136580328965e-70,6.142544655882475e-62,5.124500506933172e-55,8.138048203709807e-71,3.76,0.0,0.948732780874982,0.9999999999999993,4.467235094250847e-51,1.4131486542441042e-52,1.612217406455409e-17,1.612217406455409e-17,6.018966908175772e-37,3.6581309961104822e-40,5.380331288918626e-16,1.0461955781313114e-40,5.891011099477179e-42,4.259987791406169e-21,2.120375316282497e-35,4.4094594519456436e-39,2.3519487546003925e-35,7.093554174354051e-19,4.863870695758178e-40,4.0159989712929834e-36,1.3168361627372307e-22,6.506858905916039e-41,4.1916634876641735e-37,1.2967564288444102e-36,2.1405048281055419e-44,2.492871177731175e-45,2.4076911776874193e-25,1.3906574661275725e-59,1.2457551037012262e-36,2.360387885851231e-38,2.445021064986797e-53,9.277072985705959e-55,1.069254683519998e-68,5.5506998445879856e-55,8.541447642716628e-72,3.650297058975844e-76,2.799654943442046e-80,1.3297415948358896e-75,2.7250100820868474e-64,2.5702467136000957e-61,1.7136602509234883e-80,5.347262631420545e-53,1.235893899164583e-59,3.1300803071312567e-53,2.9467133069316173e-58,6.030368199523965e-73,1.251748955504737e-24,1.6982378653355755e-40,7.5807523157080295e-59,3.4621358587431526e-53,2.272703469835543e-41,1.627543881643349e-46,3.543935668990368e-62,4.5676161061864634e-36,6.825186577103136e-60,2.5402056173257417e-53,1.3732600912255408e-70,1.7805515616394452e-64,1.3168361627372596e-22,2.9371995275342427e-78,3.601918087744219e-59,3.3666924785885347e-57,3.678199364430442e-61,2.986968859973388e-91,8.654130787122649e-75,2.1104343740036926e-56,1.081211358565765e-56,1.7755449821042693e-55,8.665165560920106e-67,5.7833013727800916e-67,1.3697559821436435e-61,2.1494784009972246e-53,1.3256592932566867e-41,1.009749993758649e-74,1.0352047703620202e-76,2.841878725882197e-72,3.0089785481336755e-39,1.2776124652757887e-58,2.1448625538236615e-75,1.3787025352680985e-56,2.8147349494609126e-106,8.666894399163361e-59,5.424837211636877e-78,8.324935693639744e-76
4.913260106537041e-22,0.8006598085885432,3.350465167427015e-25,1.0113828126029665e-26,2.4276330710312577e-35,3.5048970754136756e-24,0.0,0.0,1.1927630769420808e-20,1.5267837146737686e-38,8.504769433030937e-52,2.660912355339826e-53,9.84223046421794e-54,1.3249059280230484e-65,5.860986891252114e-45,2.261990629203957e-38,7.52436079660578e-36,5.1170028235532535e-53,2.052813200129917e-62,2.733608154921495e-60,2.8537038685829333e-36,5.639589831069578e-56,6.741535297524432e-25,1.1144044192893745e-69,5.66614833327473e-54,9.670230579636596e-56,8.583791673343506e-39,1.760782067660657e-38,8.781095512969857e-77,2.6053402569207806e-59,2.4928656606838314e-69,9.282613483973363e-61,6.083807003512804e-54,1.8208000199802026e-69,3.76,0.0,0.948732780874982,0.9999999999999984,5.303501503953676e-50,1.6776900823185894e-51,4.514208738075145e-17,4.514208738075145e-17,3.635456012537613e-36,2.2095111216506268e-39,1.5064927608964338e-15,6.319021291913672e-40,3.5581707040859924e-41,1.1927965815937139e-20,1.2807066910345634e-34,2.663313509478392e-38,1.4205770477786228e-34,1.986195168819134e-18,2.9377779002383092e-39,2.42566337866096e-35,3.6871412556640696e-22,3.930142779175178e-40,2.531764746548942e-36,7.832408830220095e-36,1.2928649161755997e-43,1.5056941913503766e-44,6.741535297524909e-25,1.6509885437864988e-58,7.524360826355347e-36,1.4256742830540045e-37,2.9027290083523085e-52,1.1013741048630137e-53,2.994419340567516e-67,7.290439834379431e-54,2.1047569266803342e-70,8.16556850904565e-75,6.262716122280709e-79,2.974578762944493e-74,3.2351319694522005e-63,3.051396898916794e-60,3.833389434903686e-79,6.348270196020315e-52,1.4672532370887722e-58,3.7160313406259936e-52,3.4983380379888146e-57,1.3489692447607023e-71,3.5048970754127874e-24,1.0257356706626777e-39,8.999869149210168e-58,4.1102476914996856e-52,1.3727128957806564e-40,9.83036504513243e-46,4.676332456521497e-61,2.7588401281366236e-35,8.102861502139508e-59,3.0157321088900673e-52,3.0719278936685643e-69,2.1144314663055013e-63,3.687141255664245e-22,6.570397855171447e-77,4.276197656353966e-58,3.996937317558026e-56,4.3667582856196187e-60,1.5529766476946905e-89,1.935894443784603e-73,2.5055076888171502e-55,1.283614124895049e-55,2.1079270027535073e-54,1.938362875314115e-65,1.2937013838848867e-65,1.6261743020009804e-60,2.5518607576625288e-52,8.006982131274374e-41,3.1748155403761693e-73,2.315716463465206e-75,6.3571690346468385e-71,1.8174230430727213e-38,1.5167815187757552e-57,4.79797173840209e-74,1.6367964042278392e-55,2.171975587129449e-104,1.0289337030685253e-57,1.705655616733995e-76,1.862255634822014e-74
1.123030881494181e-21,0.8006598085885432,7.658206101426758e-25,2.3117321430926733e-26,1.1688008229402137e-34,8.011193315231261e-24,0.0,0.0,2.726315604439038e-20,7.350806361376347e-38,8.350033078547136e-51,2.6124995295092738e-52,9.663160233400114e-53,1.3008004967183e-64,2.8218128940007907e-44,1.0890511175040852e-37,3.6226558272399425e-35,5.023903715600633e-52,2.0154641729339968e-61,2.6838726965989037e-59,1.3739355711654258e-35,5.536982738455727e-55,1.5409223537198133e-24,2.2018753393097833e-68,5.563058033410281e-53,9.510645803018771e-55,4.132726189748906e-38,8.477407703239707e-38,1.734996500297648e-75,2.5579385137016573e-58,5.12758941090579e-68,9.985811996189678e-60,5.973117793269437e-53,3.597904518733035e-68,3.76,0.0,0.9487327808749819,0.9999999999999966,5.2070092259426646e-49,1.647166071386892e-50,1.0318191401314617e-16,1.0318191401314617e-16,1.750315576896685e-35,1.0637844936687707e-38,3.4434120249024496e-15,3.0423367412066645e-39,1.7131060277305813e-40,2.726392186499854e-20,6.166051419748527e-34,1.2822708093806284e-37,6.839466978377726e-34,4.539874671586592e-18,1.4144135983270207e-38,1.1678525008519969e-34,8.427751441517047e-22,1.892194569843165e-39,1.218935742212413e-35,3.7709676950793307e-35,6.224588040128708e-43,7.249269384853464e-44,1.5409223537200427e-24,1.6209503425178183e-57,3.622655841563079e-35,6.864007972053289e-37,2.849916553348555e-51,1.0813356272138933e-52,6.401903561834464e-66,7.464817288865611e-53,4.345760470330827e-69,1.6133787357890756e-73,1.237407169969312e-77,5.877266382729611e-73,3.1762717516763898e-62,2.99587957101732e-59,7.5741315419923335e-78,6.232769323177106e-51,1.4405579288680343e-57,3.6484216059914657e-51,3.4346890305582477e-56,2.6653359068874502e-70,8.011193315226984e-24,4.9384757123957e-39,8.836124899193866e-57,4.035465556950443e-51,6.609021690281588e-40,4.7328976078287605e-45,4.796751698798201e-60,1.3282627636790227e-34,7.955437467459372e-58,2.9608636675561587e-51,6.069611853764801e-68,2.0771489224611093e-62,8.427751441517889e-22,1.2981998955319514e-75,4.1983964400476747e-57,3.924216764190248e-55,4.287309179681622e-59,7.552268922588172e-88,3.8250011990626426e-72,2.4599223063385985e-54,1.2602599595621531e-54,2.0695752311386264e-53,3.8298783995333554e-64,2.5561359272256836e-64,1.5965875727867746e-59,2.5054320241980994e-51,3.855017224796311e-40,7.082838824220202e-72,4.575469744531422e-74,1.2560694737846402e-69,8.750109617972452e-38,1.4891850895264733e-56,9.479983627697097e-73,1.6070167462962463e-54,2.3671252414145206e-102,1.0102132111660193e-56,3.805223852949037e-75,3.6795041080108076e-73
2.3864406231751344e-21,0.8006598085885432,1.6273687984531726e-24,4.912430804072692e-26,5.104460265247832e-34,1.7023785794866446e-23,0.0,0.0,5.79342065943294e-20,3.2102902609862226e-37,7.385509703452571e-50,2.3107262483090274e-51,8.546955794634953e-52,1.1505433082508774e-63,1.2323598264726745e-43,4.7561723494841985e-37,1.5821089754451768e-34,4.443585942590495e-51,1.782655236607857e-60,2.3738550062887692e-58,6.000337604470736e-35,4.897398527829623e-54,3.27446000165436e-24,3.918119520553378e-67,4.9204618309231896e-52,8.418554223274051e-54,1.8048701035011388e-37,3.702306665444535e-37,3.087333575513559e-74,2.2624676476367683e-57,9.289422808385506e-67,9.178681628425602e-59,5.283155045032877e-52,6.402532588848038e-67,3.76,0.0,0.9487327808749818,0.9999999999999927,4.605540692853316e-48,1.4568997365794244e-49,2.1926156727793556e-16,2.1926156727793556e-16,7.644087973374657e-35,4.645826365058685e-38,7.317250552901972e-15,1.3286683842275952e-38,7.481584096362846e-40,5.793583396311916e-20,2.6928766516777636e-33,5.600013511770935e-37,2.9869749183422764e-33,9.647233677121507e-18,6.177115783618441e-38,5.100318693542059e-34,1.790897181322019e-21,8.263710810541852e-39,5.323412629330107e-35,1.6468806646321788e-34,2.718441131691756e-42,3.165946395730175e-43,3.274460001655361e-24,1.433712221277873e-56,1.5821089817004678e-34,2.997692615028902e-36,2.520718917158671e-50,9.564291165343555e-52,1.1773713425878776e-64,6.724477551574568e-52,7.884893604900317e-68,2.870921257840083e-72,2.2018999445467956e-76,1.0458281518503123e-71,2.8093763942197734e-61,2.649821555307507e-58,1.3477762394647016e-76,5.512813882475295e-50,1.2741571742864914e-56,3.226987593438512e-50,3.0379435509116053e-55,4.74282283795494e-69,1.7023785794847767e-23,2.156762088976021e-38,7.815452407411696e-56,3.5693235849286283e-50,2.8863334066909624e-39,2.0669807296972841e-44,4.324285920633427e-59,5.8008724548568035e-34,7.036494339224709e-57,2.6188503832392907e-50,1.0800549995653791e-66,1.8393272846375625e-61,1.7908971813223866e-21,2.3100773516281254e-74,3.713434200425713e-56,3.470925291450558e-54,3.7920764177912385e-58,2.938180922564653e-86,6.806385272234955e-71,2.175773422222624e-53,1.114685662264545e-53,1.8305158547457857e-52,6.815063982329132e-63,4.5485073086712674e-63,1.4121636273511119e-58,2.2160262522831397e-50,1.683587302441998e-39,1.3265373244804856e-70,8.14180741222464e-73,2.2351085170612606e-68,3.821402756129482e-37,1.3171673472028256e-55,1.6869124351915253e-71,1.421388244491378e-53,1.9364554227206997e-100,8.93522144975175e-56,7.126763144290521e-74,6.547481606552676e-72
4.9132601065370416e-21,0.8006598085885434,3.350465181116361e-24,1.0113828126035145e-25,2.131011679239679e-33,3.5048970754136865e-23,0.0,0.0,1.1927630769420695e-19,1.3402329892715643e-36,6.207965918708614e-49,1.9423046435291114e-50,7.184231338110512e-51,9.671009760204637e-63,5.144859685010797e-43,1.9856083304691745e-36,6.604993533708482e-34,3.7351017309546874e-50,1.4984291394941102e-59,1.9953681683440694e-57,2.5050228329845543e-34,4.1165585530384734e-53,6.741535297522683e-24,6.608481255800436e-66,4.1359446489561726e-51,7.078877538177859e-53,7.534977392727386e-37,1.545640152770129e-36,5.207239341874693e-73,1.90174038174032e-56,1.5802378829586582e-65,7.852555377607488e-58,4.440810149438006e-51,1.0799013527131254e-65,3.76,0.0,0.9487327808749816,0.9999999999999849,3.871234456991336e-47,1.2246120133893318e-48,4.514208738075143e-16,4.514208738075143e-16,3.1912562547070805e-34,1.939541054136313e-37,1.5064927608850982e-14,5.546928955259651e-38,3.123414084966854e-39,1.1927965815935178e-19,1.1242229926920733e-32,2.3378954084415515e-36,1.247003229688928e-32,1.986195168819133e-17,2.5788242428959626e-37,2.1292826545795115e-33,3.687141255661526e-21,3.4499365919422095e-38,2.2224199811564907e-34,6.875402585731064e-34,1.1348956598595046e-41,1.3217202984434937e-42,6.741535297526861e-24,1.2051215096248666e-55,6.604993559823095e-34,1.251477657076377e-35,2.1188161345803054e-49,8.039363016245263e-51,2.0164499599507095e-63,5.700672526270587e-51,1.3420495427386554e-66,4.8422283240149895e-71,3.7138260929325903e-75,1.7639420425639234e-70,2.3614501369597603e-60,2.2273346843254106e-57,2.2732216229626874e-75,4.6338522401614875e-49,1.0710058787204854e-55,2.7124775128722575e-49,2.553574604369283e-54,7.999463941769882e-68,3.504897075405887e-23,9.004057162007783e-38,6.569358664772247e-55,3.000231541010875e-49,1.2049873797066453e-38,8.629237660565113e-44,3.66718139829863e-58,2.4217500595000598e-33,5.9145974587778115e-56,2.2013015446853818e-49,1.821670620923065e-65,1.54961935912775e-60,3.68714125566306e-21,3.896283101805698e-73,3.1213652436608765e-55,2.917521851507691e-53,3.187468719896907e-57,1.032868845623633e-84,1.1479963623415022e-69,1.8288686615612106e-52,9.36960464019543e-53,1.5386588727638062e-51,1.1494601516814002e-61,7.67172239985083e-62,1.1870086180305129e-57,1.8627035906335245e-49,7.028645572900771e-39,2.2912633415052315e-69,1.3732351054950165e-71,3.769837204339012e-67,1.595360426220217e-36,1.1071585206123382e-54,2.845224386258874e-70,1.1947625166113831e-52,1.3936810316522118e-98,7.51059201598696e-55,1.2309711030933818e-72,1.1043285242619786e-70
9.966899073260855e-21,0.8006598085885434,6.796657970611512e-24,2.0516622769969734e-25,8.705878041682934e-33,7.109934067267793e-23,0.0,0.0,2.4196050989396013e-19,5.475289068430309e-36,5.089665530700301e-48,1.592418696072791e-49,5.890066903958797e-50,7.928878099227121e-62,2.1018430539682903e-42,8.111857918006731e-36,2.6983553741516475e-33,3.0622620644914255e-49,1.2285027399794092e-58,1.6359233795807584e-56,1.023383564156519e-33,3.375003413772659e-52,1.3675685889256236e-23,1.085445030667466e-64,3.3908973064634188e-50,5.804716371658805e-52,3.078284125187806e-36,6.31444435402502e-36,8.552906296803377e-72,1.5591616632639868e-55,2.6064155056175452e-64,6.492644639794972e-57,3.640844463004053e-50,1.7737579149304413e-64,3.76,0.0,0.9487327808749811,0.9999999999999694,3.1738718979774925e-46,1.0040109165179107e-47,9.157394868666716e-16,9.157394868666716e-16,1.3037323081719746e-33,7.923658062802747e-37,3.0560281720548875e-14,2.2661014700618313e-37,1.276016568211482e-38,2.4196730655178247e-19,4.5928177500728665e-32,9.551065610728109e-36,5.094415080412942e-32,4.029138771033095e-17,1.05353384818821e-36,8.698814411779216e-33,7.479629404336046e-21,1.4094116664786047e-37,9.079310780794253e-34,2.8088262951324564e-33,4.636419077852344e-41,5.399658685901099e-42,1.367568588927331e-23,9.880314239636781e-55,2.6983553848203246e-33,5.112694576252729e-35,1.737133480607642e-48,6.591155518572988e-50,3.3366653925448073e-62,4.692993763018722e-50,2.214027130099558e-65,7.953374562479635e-70,6.0999705095392e-74,2.897280110902805e-69,1.9360594950739347e-59,1.8261035496191517e-56,3.733773341737042e-74,3.799112032022125e-48,8.780753268307784e-55,2.22385294603886e-48,2.0935747411370305e-53,1.313914354524139e-66,7.109934067235929e-23,3.6784511458302535e-37,5.385957137327671e-54,2.459771083673509e-48,4.922766623801229e-38,3.5253251494727183e-43,3.019453629148498e-57,9.893639190644103e-33,4.8491443187892944e-55,1.8047600033701433e-48,2.9920994649957383e-64,1.2762997398475313e-59,7.479629404342315e-21,6.399656695444134e-72,2.5590838458860043e-54,2.3919606909502588e-52,2.61327943695762e-56,3.4611915864614124e-83,1.885587478354607e-68,1.4994170243379578e-51,7.681767972300994e-52,1.261485505738212e-50,1.8879917507242457e-60,1.2600827078403444e-60,9.73181381101901e-57,1.527156943397803e-48,2.871431055611185e-38,3.8069683106522635e-68,2.2555430126151232e-70,6.191968928194635e-66,6.51756789439729e-36,9.077154469016288e-54,4.673289598115262e-69,9.795385163417047e-52,9.446823838957358e-97,6.157637105547278e-54,2.045276898519325e-71,1.813862958185418e-69
2.0074177006708484e-20,0.8006598085885436,1.368904364627691e-23,4.1322212057877613e-25,3.519055099462303e-32,1.4320008050976096e-22,0.0,0.0,4.873289142934585e-19,2.2131993837998946e-35,4.1217431056658943e-47,1.2895819466526382e-48,4.769928889124038e-49,6.421011054821024e-61,8.495985679960358e-42,3.278942667904294e-35,1.090718385222389e-32,2.479899214514119e-48,9.948733701573936e-58,1.3248131671329827e-55,4.1366799912749154e-33,2.7331652673452377e-51,2.7543987072710993e-23,1.7595531697122259e-63,2.7460365537213464e-49,4.7012186544673094e-51,1.244291660929977e-35,2.5523993671727274e-35,1.3864629811131776e-70,1.262649538905417e-54,4.233860379054632e-63,5.279710794060797e-56,2.94845024142683e-49,2.875351457459934e-63,3.76,0.0,0.9487327808749801,0.9999999999999384,2.5702837511686505e-45,8.130740709368633e-47,1.8443767129849854e-15,1.8443767129849854e-15,5.269894438465763e-33,3.202869277372341e-36,6.155098994314413e-14,9.159944460468787e-37,5.157862986292095e-38,4.873426033365058e-19,1.856490367414196e-31,3.8606934531228197e-35,2.059244028191474e-31,8.115025975461015e-17,4.258552259964238e-36,3.5161998673174347e-32,1.5064605701667112e-20,5.697067301534201e-37,3.670002583276127e-33,1.1353724977604764e-32,1.8741147212238534e-40,2.182628373992781e-41,2.7543987072779995e-23,8.001334635677174e-54,1.0907183895348429e-32,2.0666328926677253e-34,1.40677573082267e-47,5.33768862618756e-49,5.428660824503784e-61,3.808182351664787e-49,3.596792711170465e-64,1.2892762899902961e-68,9.888315061458618e-73,4.696615941351513e-68,1.5678711748210545e-58,1.478826008346977e-55,6.05260748605383e-73,3.076619422126249e-47,7.110881653175277e-54,1.8009337729795224e-47,1.6954311049566543e-52,2.129911789096195e-65,1.4320008050847292e-22,1.4868887665178321e-36,4.361687730200159e-53,1.9919863974276493e-47,1.989860977606459e-37,1.4249927905491984e-42,2.4503685645332546e-56,3.999167146539329e-32,3.9269627549122086e-54,1.4615414422913745e-47,4.850322171061318e-63,1.0430204451805795e-58,1.506460570169246e-20,1.0374119286234379e-70,2.072412485721383e-53,1.9370717957870972e-51,2.1163014445452562e-55,1.1331827487848991e-81,3.056618576965518e-67,1.2142667813198776e-50,6.220894868225544e-51,1.0215836687557236e-49,3.0605159869299125e-59,2.042648370029558e-59,7.881075138482752e-56,1.2367312869579166e-47,1.16067834292967e-37,6.206319175551461e-67,3.6563326051108217e-69,1.0037448462513756e-64,2.634505149859554e-35,7.350915030185171e-53,7.57560382430074e-68,7.932556950474221e-51,6.220213014211085e-95,4.986614175569981e-53,3.334317545820678e-70,2.9403500526138775e-68
4.028873287360374e-20,0.8006598085885438,2.7473815384308115e-23,8.293339063384817e-25,1.4149965781271562e-31,2.874015601839304e-22,0.0,0.0,9.780657230924242e-19,8.899177382213851e-35,3.3175374351513572e-46,1.03796774229129e-47,3.8392537444037236e-48,5.168188312289063e-60,3.4161984752329495e-41,1.3184484254477504e-34,4.385730655439568e-32,1.9960386344919588e-47,8.007606407122949e-57,1.0663248933240224e-54,1.6633408307120776e-32,2.1998891871630936e-50,5.528058943957106e-23,2.8337061358149756e-62,2.2102491182121932e-48,3.784113079172251e-50,5.003242042667142e-35,1.0263085596772819e-34,2.2328559320547317e-69,1.0162901969356028e-53,6.825522585716065e-62,4.258278026218686e-55,2.37316926368229e-48,4.630675666871107e-62,3.76,0.0,0.9487327808749783,0.9999999999998764,2.0687879725734063e-44,6.544327481351686e-46,3.7016511652216095e-15,3.701651165221609e-15,2.119001375847342e-32,1.287859649696407e-35,1.235324063851325e-13,3.683173380676282e-36,2.0739540217507724e-37,9.780931969053996e-19,7.46486611593399e-31,1.5523678775510745e-34,8.280129668509587e-31,1.6286800384316826e-16,1.7123451339524648e-35,1.4138485018394227e-31,3.023455829625737e-20,2.290765705407041e-36,1.4756918974688746e-32,4.565282877992633e-32,7.535732867422722e-40,8.776252696638633e-41,5.528058943984854e-23,6.440170215132092e-53,4.385730672779788e-32,8.309839967544805e-34,1.132295494888173e-46,4.2962361747718423e-48,8.75854886401812e-60,3.0682219401839205e-48,5.798728503860055e-63,2.0763397188388012e-67,1.5924826566457972e-71,7.563755278896506e-67,1.2619591231701366e-57,1.1902878408539753e-54,9.747537764417433e-72,2.47633097070927e-46,5.723456187354941e-53,1.4495481781848061e-46,1.3646304524308003e-51,3.430157274815275e-64,2.874015601787513e-22,5.9787143344203975e-36,3.510665743559564e-52,1.6033239515446556e-46,8.001143473685817e-37,5.7298333376008244e-42,1.9743216443250684e-55,1.6080475206473564e-31,3.160761203630123e-53,1.1763757039867899e-46,7.811294329342117e-62,8.547096635447545e-58,3.0234558296359275e-20,1.6707199303835905e-69,1.668057919810788e-52,1.5591239227052545e-50,1.7033835209039948e-54,3.667666365329353e-80,4.922590049053523e-66,9.773475444277921e-50,5.007117397134744e-50,8.222594123667022e-49,4.928866646236458e-58,3.2896222284961386e-58,6.343374909504722e-55,9.954289328967368e-47,4.667036568584806e-37,1.002322204642999e-65,5.888411089496127e-68,1.6165001311117115e-63,1.0593229337832022e-34,5.91665593153363e-52,1.2200276416298623e-66,6.384811983608241e-50,4.037593426242008e-93,4.013660914086872e-52,5.384931742910147e-69,4.735343139854671e-67
8.071784460739424e-20,0.8006598085885444,5.504336040717215e-23,1.661557477864085e-24,5.674769150977346e-31,5.758045195322831e-22,0.0,0.0,1.9595393406902303e-18,3.56896815570408e-34,2.6621148605648714e-45,8.329037451165895e-47,3.0807593421318686e-47,4.147145639532842e-59,1.3700483817984311e-40,5.287567876494006e-34,1.7588741494272625e-31,1.6016952985313885e-46,6.425599846418937e-56,8.556585725372968e-54,6.670740678524875e-32,1.7652725285155907e-49,1.1075379417309352e-22,4.548725919211467e-61,1.7735857207320096e-47,3.0365777091140755e-49,2.0065238345816897e-34,4.115956352007278e-34,3.5842284127764802e-68,8.155088793154398e-53,1.0962101241085647e-60,3.4204804859929774e-54,1.904318877129591e-47,7.433268628684182e-61,3.76,0.0,0.9487327808749745,0.9999999999997524,1.6600720602745683e-43,5.2514106564308535e-45,7.416200069694843e-15,7.416200069694843e-15,8.498143263500957e-32,5.164893204555779e-35,2.474952392563008e-13,1.477117259623853e-35,8.317483226375913e-37,1.9595943840409763e-18,2.9937451867661237e-30,6.225689662877521e-34,3.320702334918683e-30,3.263034920202834e-16,6.867269852342409e-35,5.670164851573466e-31,6.057446348515037e-20,9.186995049266449e-36,5.918184528113189e-32,1.8308826213377742e-31,3.022165923679836e-39,3.519669859085963e-40,1.1075379417420629e-22,5.167831009822966e-52,1.7588741563814927e-31,3.332617493617522e-33,9.085958251675091e-46,3.447458962751834e-47,1.4072110618875183e-58,2.463280211468568e-47,9.313206100253767e-62,3.3329850885647975e-66,2.5562873455437606e-70,1.2141502643026997e-65,1.0126427208778277e-56,9.551310536556307e-54,1.5646956864649243e-70,1.9870996500233036e-45,4.592713139924103e-52,1.1631711236275196e-45,1.095029996634238e-50,5.50616209131662e-63,5.758045195115127e-22,2.3977318526335751e-35,2.8170881652615484e-51,1.2865664972909797e-45,3.2088163928327305e-36,2.297919441647939e-41,1.5850889459035996e-54,6.448989774627934e-31,2.5363117125364034e-52,9.439674168935561e-46,1.2538857339172744e-60,7.102384848835797e-57,6.057446348555907e-20,2.6818755000093405e-68,1.3385115164458422e-51,1.251098789869936e-49,1.3668580070301747e-53,1.180332136713239e-78,7.901847414077234e-65,7.84259853203418e-49,4.0178963764728706e-49,6.598113943056731e-48,7.911922545667835e-57,5.280572217855876e-57,5.090158873099893e-54,7.987690286653059e-46,1.871690402437292e-36,1.611203670017047e-64,9.452204003051575e-67,2.5948407110612295e-62,4.248358758226963e-34,4.7477437672191146e-51,1.9584145602182552e-65,5.123409528631529e-49,2.6023350357323667e-91,3.220710111954623e-51,8.656120503739207e-68,7.601274480256696e-66
