Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616),CHFCF2(55),F(37),C2F(1924),C2H2F3(68),S(698),CHF3(42),S(5948),S(3043),S(706),S(2408),S(2271),S(529),S(1906),S(3064),S(517),S(139),S(1923),S(1777),CHO2(158),S(476),S(980),S(5430),CFO(51),S(7338),S(1061),CHFO2(175),S(11877),S(5944),S(1828),CHF(40),S(1121),S(1122),CFO2(161),CF2CF2(61)
0.0,0.7333002788666594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7953958337882298,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6931374384030187e-22,0.7333002788666594,4.939256956049064e-26,6.685304758448405e-28,3.2124251523464056e-36,2.140264286575118e-25,0.0,0.0,1.9966145566576534e-21,9.744040630262785e-40,5.1449079661668725e-53,8.679332242050289e-38,1.301802019313797e-55,1.5543551551195916e-67,1.7242678665719796e-46,1.4885717332733026e-39,4.343057261513824e-37,1.793394774482418e-54,1.4052648883644856e-64,8.699137745157427e-63,9.378920918735072e-38,6.146523436441809e-58,5.763703383141694e-26,1.6244082311781883e-71,1.6447286284195603e-55,1.2235705998211053e-57,1.2701091629358751e-40,3.2355265029504995e-40,1.899110064843534e-79,1.1168967464199371e-61,3.90202254892365e-71,7.305299319386251e-63,7.2263542452619425e-56,1.0603218295954794e-71,3.76,0.0,0.7953958337882298,0.9999999999999993,4.234470781361491e-51,4.517340668758e-53,7.352641101582108e-18,7.352641101582108e-18,1.2638394389698644e-37,4.627535198229559e-41,5.544292595174305e-16,2.5593817414212704e-41,1.1118698800517609e-42,1.9966639492271856e-21,1.0689199920911038e-35,7.324132460781562e-40,8.30136436551529e-36,2.7111922592996255e-19,1.3844165337405518e-40,3.204150432909456e-36,2.6006911073521927e-23,1.4284734653806082e-41,8.319596271106044e-38,5.7478568215777985e-37,2.7401111507063476e-45,2.946986596383416e-46,5.763703383141927e-26,3.238000718482613e-60,4.343051017891245e-37,2.4199068572808333e-38,3.092360180347965e-54,4.4298852778416015e-55,2.1397238226614364e-69,2.2400367617455958e-55,6.412922571601432e-72,1.5714607229480947e-76,1.1091136064311574e-80,1.4777902313303703e-76,4.994696264974377e-65,2.3521048464234912e-62,7.555269353128133e-81,6.231371710749362e-40,7.440873673730887e-60,3.1349900590313215e-53,1.9997365479035854e-58,3.2971223477117284e-74,2.1402642865747813e-25,1.2538864657565512e-40,1.798402043543882e-59,2.1519376656334015e-53,3.251050033444653e-42,4.445934356095091e-47,3.900679351025452e-63,2.6994959919785648e-21,1.947282746361999e-60,4.855986192356566e-54,5.781675900700977e-71,1.2614933304465795e-65,2.6006911073522162e-23,1.7344979345754097e-79,2.6022922766688934e-60,3.1730195814399952e-58,3.1422562538852676e-62,5.760189011731248e-81,1.661840066594531e-75,5.588512455279485e-57,3.7109632464736084e-57,6.404116082890595e-56,8.933407744998324e-67,5.5066962569030797e-67,4.112195136573727e-62,1.0073470730154001e-53,1.9216446767707548e-42,3.679792876244686e-75,1.5016404539602324e-77,3.077265570576592e-40,1.9053963710818105e-39,3.406122253808927e-59,1.1950948137913723e-75,7.417221938910371e-39,2.63853310330613e-107,1.491333763918033e-59,1.8334531343710234e-43,8.635018685253746e-58,4.545145755933747e-79,1.1510590538336768e-74,2.6994959919785618e-21,2.4494307981258765e-42,2.9399559034173967e-41,1.3966233758196292e-36,6.761444108731162e-91
7.540784827528453e-22,0.7333002788666594,1.3829919480387714e-25,1.8718853323695458e-27,1.940304792017227e-35,5.992740002410334e-25,0.0,0.0,5.590520758641426e-21,5.885400540678719e-39,6.108034742021927e-52,5.242316674198726e-37,1.5454993573293527e-54,1.845330440157998e-66,1.0414577914095041e-45,8.990973268970297e-39,2.62320658595433e-36,2.1291182800849597e-53,1.6683304754860704e-63,1.0327616331101853e-61,5.664868234915984e-37,7.29715262374368e-57,1.613836947279627e-25,3.633736236816267e-70,1.9526218276596498e-54,1.4575922124927966e-56,7.67145934413276e-40,1.954258007782038e-39,4.2482332554142253e-78,1.3259798173497056e-60,9.583520741604001e-70,1.1039768331482861e-61,8.579127762486762e-55,2.3744043949786444e-70,3.76,0.0,0.7953958337882298,0.9999999999999984,5.027163711651509e-50,5.362986841949459e-52,2.0587395084429906e-17,2.0587395084429906e-17,7.633590211376458e-37,2.7950312597304907e-40,1.552401926647542e-15,1.5458665718185366e-40,6.715694075517871e-42,5.59065905783606e-21,6.456276752229988e-35,4.4237760083923876e-39,5.014024076771187e-35,7.5913383260389515e-19,8.361875863793437e-40,1.9353068614773103e-35,7.28193510058584e-23,8.627979730905008e-41,5.025036147747685e-37,3.4717055202329386e-36,1.6550271350263842e-44,1.7799799042174967e-45,1.6138369472797687e-25,3.844154452982097e-59,2.623202814806293e-36,1.4616237417974611e-37,3.6712500061090834e-53,5.259159801853573e-54,6.589848829238429e-68,2.8143988602198714e-54,1.5144330828647344e-70,3.515294778805478e-75,2.4810427730415025e-79,3.3057576406423787e-75,5.9297034057742295e-64,2.7924188748803077e-61,1.690083533215887e-79,3.763748513290838e-39,8.833805225461257e-59,3.721860198081747e-52,2.3740872296694598e-57,7.375530806937171e-73,5.992740002408302e-25,7.573474253169496e-40,2.1350629060951412e-58,2.554780396639874e-52,1.9636342202005903e-41,2.685344351083519e-46,5.085996169797757e-62,7.558588777539985e-21,2.3118140753497874e-59,5.7650268075662365e-53,1.2933377722831983e-69,1.4984146983754757e-64,7.281935100585984e-23,3.880002499745456e-78,3.089441676135668e-59,3.767008852770688e-57,3.73048662504495e-61,1.8110955883273362e-79,3.717469760728586e-74,6.634681986907743e-56,4.405655566249234e-56,7.602966613603525e-55,1.998367578922889e-65,1.2318259258835265e-65,4.881998066140422e-61,1.1959224450829162e-52,1.1606733847704129e-41,1.1569857569773429e-73,3.3591237067633433e-76,1.8586684046280286e-39,1.1508594081334024e-38,4.0437483397228684e-58,2.6733792946591207e-74,4.4800020511018566e-38,2.036010348793403e-105,1.770511444523184e-58,1.1074056954320336e-42,1.025149418312573e-56,1.4290665479976167e-77,3.618966008585126e-73,7.558588777539969e-21,1.4794562020689777e-41,1.7757333656627506e-40,8.435605189950514e-36,3.2300229880701544e-89
1.723607960577932e-21,0.7333002788666594,3.1611244542866354e-25,4.2785950454349246e-27,9.341732343023315e-35,1.3697691434080782e-24,0.0,0.0,1.2778333162608956e-20,2.833567015280412e-38,5.996904731879922e-51,2.52394981598875e-36,1.5173804337122023e-53,1.8117563688074552e-65,5.0141709559917423e-45,4.328766600358084e-38,1.262961051648191e-35,2.0903809545730295e-52,1.6379767539368535e-62,1.0139714955907785e-60,2.7273902031681587e-36,7.164387717516458e-56,3.6887701652103544e-25,7.179650467021729e-69,1.9170956892856795e-53,1.4332501500201904e-55,3.6934774458176335e-39,9.408911070579106e-39,8.393793053103738e-77,1.3018548476269428e-59,1.969125558344249e-68,1.1876078997629728e-60,8.423038511844153e-54,4.693639463155223e-69,3.76,0.0,0.7953958337882298,0.9999999999999964,4.935699142782133e-49,5.265412283504213e-51,4.705690305012549e-17,4.705690305012549e-17,3.675245088522077e-36,1.3456872356449105e-39,3.5483472609027104e-15,7.442682104054363e-40,3.2333176111982376e-41,1.2778649275053566e-20,3.108419337000511e-34,2.129857722715764e-38,2.4140367574917747e-34,1.7351630459517603e-18,4.025883280118258e-39,9.317669458900678e-35,1.6644423087051932e-22,4.154000837335833e-40,2.4193385956370882e-36,1.671476763714744e-35,7.968243226250316e-44,8.569837022311675e-45,3.6887701652110354e-25,3.774213637461906e-58,1.2629592360027458e-35,7.037089140970232e-37,3.604455026213524e-52,5.163474279852247e-53,1.45971773362743e-66,2.831125497169021e-53,3.069290019107626e-69,6.945630105083375e-74,4.902122428061738e-78,6.531620039508221e-74,5.821817966443751e-63,2.741613412730449e-60,3.33932025819473e-78,1.8120828934832507e-38,8.67308235412536e-58,3.654144412806169e-51,2.330892920231219e-56,1.4572805991267411e-71,1.3697691434071005e-24,3.646301842419943e-39,2.0962174219541996e-57,2.5082985430619835e-51,9.454053497257341e-41,1.2928777107555798e-45,5.1928875464155186e-61,1.727677434866285e-20,2.2697527656528186e-58,5.660137505811434e-52,2.5554174919763922e-68,1.4727830545698774e-63,1.664442308705263e-22,7.666231103226447e-77,3.033232288685999e-58,3.698471635068969e-56,3.6626138908208825e-60,4.040454629417268e-78,7.345093810544202e-73,6.513970117873566e-55,4.325498760200515e-55,7.464637706204281e-54,3.948437582203515e-64,2.4338804491208704e-64,4.793174651190627e-60,1.1741637483037528e-51,5.588142720062247e-41,2.581171578118825e-72,6.637074830133424e-75,8.948688279233235e-39,5.540892647105739e-38,3.970176099042417e-57,5.282146983306911e-73,2.156928139835125e-37,2.21894367366159e-103,1.738298635221913e-57,5.3316817488299685e-42,1.0064977779508469e-55,3.188168855741439e-76,8.073621095351867e-72,1.7276774348662762e-20,7.122944760964269e-41,8.549391767117425e-40,4.0613807768834113e-35,1.6818662733538394e-87
3.6626669162281055e-21,0.7333002788666594,6.717389472302899e-25,9.092014471629548e-27,4.0797799434799e-34,2.9107594297421746e-24,0.0,0.0,2.715395797054396e-20,1.2374931600433684e-37,5.30419432336106e-50,1.1022751947409302e-35,1.3421058098318378e-52,1.6024779907222197e-64,2.1898201905468551e-44,1.890486101256392e-37,5.515682722122256e-35,1.8489182822006694e-51,1.4487718894309324e-61,8.968463050062718e-60,1.1911229566793542e-35,6.336819802033808e-55,7.838636601071055e-25,1.277580439881115e-67,1.695649426755093e-52,1.2685582964276757e-54,1.6130386369286748e-38,4.1091186587461557e-38,1.4936306362469272e-75,1.1514758696888126e-58,3.565716557268482e-67,1.0916162667169132e-59,7.45008217628741e-53,8.353891854468915e-68,3.76,0.0,0.7953958337882298,0.9999999999999925,4.365569996779794e-48,4.657197535862512e-50,9.999591898151667e-17,9.999591898151667e-17,1.605076087489363e-35,5.876969701749006e-39,7.540237929392831e-15,3.250414811606357e-39,1.4120747476736487e-40,2.7154629709487607e-20,1.3575283899552684e-33,9.301648257437601e-38,1.0542732744203675e-33,3.68722147264749e-18,1.758208997851251e-38,4.069271049794985e-34,3.536939905997931e-22,1.814161301042615e-39,1.0565887264298996e-35,7.299778163402979e-35,3.479941161393195e-43,3.742672977436595e-44,7.8386366010740325e-25,3.338249220723837e-57,5.515674792721586e-35,3.0732817087441434e-36,3.1880996515314005e-51,4.567034526043737e-52,2.7257782566868986e-65,2.5310772197326112e-52,5.5241440973303995e-68,1.2359377668395617e-72,8.72306494132806e-77,1.1622668901926773e-72,5.149332061316181e-62,2.4249260203207974e-59,5.942141980238075e-77,7.91384207262417e-38,7.671243122721335e-57,3.2320493512573777e-50,2.061648391415759e-55,2.59315296394228e-70,2.910759429737905e-24,1.5924358115107078e-38,1.8540805708107902e-56,2.2185616557607626e-50,4.128833542475004e-40,5.646336632273078e-45,4.672251175057539e-60,3.6713145490908663e-20,2.0075706128251763e-57,5.006327524872308e-51,4.547228891537291e-67,1.3055606620338811e-62,3.5369399059982377e-22,1.3641648643286715e-75,2.6828596713711533e-57,3.271256284488334e-55,3.239540510180266e-59,7.567324355450986e-77,1.3070202016830514e-71,5.761532800894509e-54,3.82585466881727e-54,6.602387516789593e-53,7.026033713285689e-63,4.330960217466849e-63,4.239508698002657e-59,1.038534538389662e-50,2.4404887395120587e-40,4.834248702023514e-71,1.1810330213171384e-73,3.908127274628661e-38,2.419853391273727e-37,3.511575798792511e-56,9.399298332769455e-72,9.419871862416064e-37,1.8152336996765646e-101,1.5375054572469475e-56,2.3284855158662e-41,8.90235886370028e-55,5.971087425319693e-75,1.5120931488676403e-70,3.671314549090828e-20,3.1107771136345584e-40,3.7337439973190523e-39,1.7737116872908563e-34,6.711886791098344e-86
7.540784827528453e-21,0.7333002788666594,1.3829919530417568e-24,1.871885332427427e-26,1.7032278157740322e-33,5.992740002410395e-24,0.0,0.0,5.590520758641374e-20,5.1662903421652795e-37,4.4584949307847614e-49,4.601781954739955e-35,1.1281208011051834e-51,1.346979307744384e-63,9.142068228568602e-44,7.892407329808725e-37,2.3026889600543583e-34,1.5541272221844232e-50,1.2177800682397116e-60,7.5385335843177595e-59,4.972703871113336e-35,5.326478865645054e-54,1.6138369472789445e-24,2.1548261469417913e-66,1.4252955137297255e-51,1.066642553291933e-53,6.734118781887032e-38,1.7154761518634748e-37,2.519226416426175e-74,9.678848500990565e-58,6.064368212376466e-66,9.339006986675189e-59,6.2622429704691885e-52,1.4091533707389795e-66,3.76,0.0,0.7953958337882296,0.9999999999999845,3.6695246276196425e-47,3.914655146094552e-49,2.05873950844299e-16,2.05873950844299e-16,6.700876705396936e-35,2.453519162099031e-38,1.552401926629221e-14,1.35698419930276e-38,5.895134104105381e-40,5.59065905783518e-20,5.667413798063126e-33,3.8832550597269e-37,4.401383386595536e-33,7.591338326038947e-18,7.340176461899132e-38,1.698840559528571e-33,7.281935100581485e-22,7.573766313530818e-39,4.4110499429353116e-35,3.047513686799804e-34,1.4528069321010247e-42,1.5624922934291771e-43,1.6138369472801872e-24,2.8059996146200956e-56,2.302685649685671e-34,1.283034615728034e-35,2.6797898545264117e-50,3.838867703613377e-51,4.701667832832578e-64,2.1382196095297213e-51,9.367279114123377e-67,2.0845896922340713e-71,1.4712724013486774e-75,1.96033299848803e-71,4.328323868046998e-61,2.03829644047862e-58,1.0022290971325655e-75,3.303873281014543e-37,6.448142071770276e-56,2.7167322253127797e-49,1.7329396966086648e-54,4.373731496893649e-69,5.9927400023925696e-24,6.648106041440222e-38,1.5584664365001913e-55,1.864834750034077e-49,1.723706727732616e-39,2.357234395630698e-44,3.9587106726505375e-59,7.558588777540059e-20,1.6874840581125718e-56,4.208119938517033e-50,7.669566162517985e-66,1.1022822240671735e-61,7.281935100582767e-22,2.3008634343034038e-74,2.2551052499541897e-56,2.74968802619193e-54,2.723028998338771e-58,1.3070670964516128e-75,2.2044806168617804e-70,4.842915477545134e-53,3.2158613744045195e-53,5.549704531526139e-52,1.1850432804015276e-61,7.304797433176398e-62,3.5635625102337076e-58,8.729508559105559e-50,1.0188560076356829e-39,8.349962439996692e-70,1.991985641598049e-72,1.6315662055164596e-37,1.01024115594742e-36,2.951691047204964e-55,1.5853290468559365e-70,3.932611072010181e-36,1.3064368771768601e-99,1.292365978467536e-55,9.720968835370169e-41,7.482969032253172e-54,1.0313568622663905e-73,2.6117596798379607e-69,7.558588777539899e-20,1.2986882091795653e-39,1.558764619972965e-38,7.4048971385950185e-34,2.385509689672009e-84
1.5297020650129146e-20,0.7333002788666595,2.8054979734975468e-24,3.797253103058561e-26,6.958241376988135e-33,1.2156701147746942e-23,0.0,0.0,1.1340770681815238e-19,2.1105981766773995e-36,3.6553435153009726e-48,1.8799780809612025e-34,9.249015909341314e-51,1.1043350175510312e-62,3.734833169712928e-43,3.2243059171339485e-36,9.407235750727109e-34,1.2741673933420367e-49,9.984096753093295e-60,6.180545291936093e-58,2.0315117866816914e-34,4.36696918635369e-53,3.2737835216214167e-24,3.539308416888127e-65,1.168543374882944e-50,8.746344502878308e-53,2.7511072512864867e-37,7.008279826443447e-37,4.137837067884326e-73,7.935304772503227e-57,1.0001394442863866e-64,7.721671575593954e-58,5.134165136044372e-51,2.3146578541940152e-65,3.76,0.0,0.7953958337882294,0.9999999999999685,3.008497993062859e-46,3.2094708022698606e-48,4.176300145698636e-16,4.176300145698636e-16,2.7375267783682617e-34,1.0023426340753838e-37,3.149158193976749e-14,5.54372322719829e-38,2.4083546350472717e-39,1.1341051231606465e-19,2.3153234596657076e-32,1.5864364121058324e-36,1.7981087270275044e-32,1.539957203282186e-17,2.998701588749067e-37,6.940318003699005e-33,1.4771925489740905e-21,3.094130665022998e-38,1.8020578307023242e-34,1.2450087789804068e-33,5.935190356846506e-42,6.3832908474563085e-43,3.2737835216264937e-24,2.300528015416783e-55,9.407222226790888e-34,5.24161504912541e-35,2.1970536288240218e-49,3.1473356780400183e-50,7.806756152075517e-63,1.7572982674332763e-50,1.5425741484785434e-65,3.42394482911696e-70,2.416569337156957e-74,3.2198528612334247e-70,3.548621413303517e-60,1.671118583126128e-57,1.6461643015207092e-74,1.3497400380141834e-36,5.2865764508546536e-55,2.2273412163564574e-48,1.4207686630688328e-53,7.1838671171402145e-68,1.2156701147674124e-23,2.7159682402864626e-37,1.2777249432169637e-54,1.5289041966468712e-48,7.041904414444658e-39,9.630071652922427e-44,3.258086316560163e-58,1.5333137234438569e-19,1.383501372573771e-55,3.450070969493412e-49,1.2597285452178178e-64,9.117200455159308e-61,1.4771925489746141e-21,3.77917510018222e-73,1.8488715759458243e-55,2.2543603908909136e-53,2.23250369554013e-57,2.171711529974017e-74,3.620866060619189e-69,3.970514705119727e-52,2.6365574492691555e-52,4.549983073926467e-51,1.946437146483003e-60,1.1998151718811437e-60,2.9216238472688895e-57,7.156978531346532e-49,4.1623592357724633e-39,1.3873587478304125e-68,3.2718430672879355e-71,6.6654803164642035e-37,4.127164755616723e-36,2.4199746541691875e-54,2.603907719911785e-69,1.6065999408556584e-35,8.855454551706463e-98,1.0595597106081191e-54,3.971333095511311e-40,6.134990114509321e-53,1.7136148519011175e-72,4.339473660691571e-68,1.5333137234437914e-19,5.305565086084548e-39,6.368062084877868e-38,3.025142096959794e-33,8.035053626290966e-83
3.080949229533053e-20,0.7333002788666595,5.650510049740553e-24,7.64798864472959e-26,2.8126324172863654e-32,2.4484623438420472e-23,0.0,0.0,2.2841270528162603e-19,8.531375285744989e-36,2.960191949921301e-47,7.599171985896714e-34,7.490092880317697e-50,8.943191290319794e-62,1.5096792820441257e-42,1.3033160039195684e-35,3.802555099202016e-33,1.0318537903182135e-48,8.085380408980776e-59,5.0051658196729807e-57,8.211695452556654e-34,3.536484868430566e-52,6.593676670301542e-24,5.7373714629239596e-64,9.463167215122483e-50,7.083560827495216e-52,1.11204153739089e-36,2.8328587585991733e-36,6.70761256858584e-72,6.426215541435295e-56,1.6245408860325603e-63,6.279135087522548e-57,4.1577800394174468e-50,3.7522560718167466e-64,3.76,0.0,0.795395833788229,0.9999999999999365,2.436359675360251e-45,2.599112666827296e-47,8.411421420209927e-16,8.411421420209927e-16,1.1065520930963608e-33,4.051629187723605e-37,6.34267072854242e-14,2.24086156494626e-37,9.734954497888329e-39,2.284183557914282e-19,9.358907612326608e-32,6.412629729886219e-36,7.268242967493497e-32,3.1016039446387654e-17,1.2121231272881416e-36,2.80538750323285e-32,2.9751906268028997e-21,1.2506970857245709e-37,7.2842058759387435e-34,5.032524544413609e-33,2.399098837754399e-41,2.5802282206761875e-42,6.593676670322062e-24,1.8630272320933807e-54,3.802549632610781e-33,2.118744609062753e-34,1.779230991083325e-48,2.5487940322651166e-49,1.2722878834485788e-61,1.424803737659777e-49,2.503773268459426e-64,5.550362115770148e-69,3.9173630325324155e-73,5.2195203206291e-69,2.8737656246599612e-59,1.3533151755981172e-56,2.6685032707190966e-73,5.455865038430676e-36,4.281206673786284e-54,1.803758664722164e-47,1.150575299240003e-52,1.1645358170730406e-66,2.4484623438126128e-23,1.0978377873195119e-36,1.0347347862700757e-53,1.2381462579611012e-47,2.846450354684206e-38,3.892628933812877e-43,2.6434676647610776e-57,3.0882234148236094e-19,1.1203952621589984e-54,2.7939569202249327e-48,2.0420742571788053e-63,7.512960758978564e-60,2.9751906268050167e-21,6.126205694008942e-72,1.4972641997626247e-54,1.8256395215870716e-52,1.8079393810493408e-56,3.540437906778011e-73,5.869580007592139e-68,3.21542575075025e-51,2.1351525803883936e-51,3.6846942594724786e-50,3.155258491994172e-59,1.944952097127953e-59,2.366006739733416e-56,5.795906771720655e-48,1.682492153539401e-38,2.2617449102311535e-67,5.3037991441110495e-70,2.6942937157645592e-36,1.6682659819068495e-35,1.959758217040551e-53,4.2210466239968835e-68,6.494133834168409e-35,5.83082892070094e-96,8.580589245859124e-54,1.6052764456221726e-39,4.9682740549631385e-52,2.7936247026524144e-71,7.074434023900357e-67,3.0882234148233446e-19,2.1445942365296242e-38,2.5740725111933943e-37,1.2228108034516678e-32,2.6371850546132396e-81
6.18344355857333e-20,0.7333002788666596,1.1340534343552262e-23,1.5349459729706695e-25,1.130947124583979e-31,4.9140468019769267e-23,0.0,0.0,4.584227022085587e-19,3.4304284800462637e-35,2.3826200121957356e-46,3.0555936331704028e-33,6.028678373436827e-49,7.198258390512738e-61,6.070353995003721e-42,5.240576329822264e-35,1.5289906811434556e-32,8.305256999210466e-48,6.507817570395774e-58,4.028592892554424e-56,3.301886625124355e-33,2.846470689342038e-51,1.3233462967642505e-23,9.239859867714949e-63,7.616780251657792e-49,5.701683422381944e-51,4.471470112488028e-36,1.1390800474647624e-35,1.0802404449404251e-70,5.172377335852097e-55,2.6188986959314697e-62,5.064349926225242e-56,3.3465430944241834e-49,6.042969726766108e-63,3.76,0.0,0.7953958337882281,0.9999999999998727,1.9609942252312488e-44,2.0919919919532555e-46,1.6881663969232496e-15,1.6881663969232496e-15,4.44939729835071e-33,1.6291422766646216e-36,1.2729695797156219e-13,9.010405796010935e-37,3.9143823879169125e-38,4.584340427419068e-19,3.7631755889343432e-31,2.578490293284776e-35,2.9225285303333194e-31,6.224897427351915e-17,4.873893783732816e-36,1.1280339765073772e-31,5.971186782448218e-21,5.02899797427728e-37,2.9289471455990814e-33,2.023555985459541e-32,9.646670910311089e-41,1.037498419353936e-41,1.3233462967725024e-23,1.4995263960823723e-53,1.5289884830511732e-32,8.519378887203585e-34,1.4320798912211844e-47,2.0514911772370027e-48,2.0544201530662573e-60,1.147484278215068e-48,4.034803816140431e-63,8.938687079228954e-68,6.308792398187372e-72,8.405876823883668e-68,2.3130565865945054e-58,1.0892658217713696e-55,4.2975422518587234e-72,2.1937793361162325e-35,3.4458875878415234e-53,1.4518218968192072e-46,9.260830985716525e-52,1.8754490327560417e-65,4.914046801858571e-23,4.414357458148848e-36,8.328445758768336e-53,9.96567824694388e-47,1.144545168475789e-37,1.5652089739649778e-42,2.1296839488533793e-56,6.198042797583315e-19,9.01791548509566e-54,2.2488195981536734e-47,3.2886976375206193e-62,6.255737151585197e-59,5.9711867824567325e-21,9.866065412711005e-71,1.2051285836113839e-53,1.469433560336702e-51,1.4551869120408688e-55,5.717816680413795e-72,9.452777941447692e-67,2.588054379920139e-50,1.7185565517423514e-50,2.9657625010655275e-49,5.081446529752789e-58,3.1322853927728394e-58,1.904368062074293e-55,4.665050002111897e-47,6.76522695102425e-38,3.652724071448666e-66,8.541605446908442e-69,1.0833636531654119e-35,6.708024140239533e-35,1.577383908209144e-52,6.797865460390476e-67,2.6112626524805925e-34,3.784840883375524e-94,6.906404719377814e-53,6.454746888043235e-39,3.9988991893047984e-51,4.511711356922496e-70,1.142522723620389e-65,6.198042797582248e-19,8.62331910278118e-38,1.0350232355147216e-36,4.916868459504329e-32,8.545954999347223e-80
1.2388432216653886e-19,0.7333002788666598,2.27205834964785e-23,3.0752401906201088e-25,4.535603798045503e-31,9.845215718247375e-23,0.0,0.0,9.184426960623657e-19,1.3757552501622073e-34,1.9119025076274735e-45,1.2254297116779915e-32,4.837634721786624e-48,5.77614902791602e-60,2.434483455223825e-41,2.101705498749396e-34,6.131936489175457e-32,6.664445698412548e-47,5.222113760312319e-57,3.2326920864372318e-55,1.3242042171636515e-32,2.2841134637329894e-50,2.6513035562247295e-23,1.4832021407913203e-61,6.111986463867895e-48,4.575328771540957e-50,1.793259506498825e-35,4.568220456316736e-35,1.7340255339429433e-69,4.150507067055701e-54,4.206016350368784e-61,4.0679612732703104e-55,2.6853900753600003e-48,9.700366426053394e-62,3.76,0.0,0.7953958337882263,0.9999999999997449,1.5735743666453261e-43,1.6786918244871743e-45,3.38221490672776e-15,3.38221490672776e-15,1.7844073207480503e-32,6.533589181065311e-36,2.550374593231364e-13,3.6135757244767565e-36,1.5698424127475187e-37,9.1846541664187e-19,1.5092017232956985e-30,1.0340899997112878e-34,1.1720646539454228e-30,1.2471484392778174e-16,1.9546493975195628e-35,4.523920771321227e-31,1.1963179093689655e-20,2.016853115305549e-36,1.1746388057364313e-32,8.11536455921086e-32,3.868746492856993e-40,4.160832694728623e-41,2.651303556257824e-23,1.2032754959622704e-52,6.131927673842366e-32,3.416651972250654e-33,1.1491539234627941e-46,1.6461924713322615e-47,3.3021579054876705e-59,9.210549875380282e-48,6.478796547727534e-62,1.4348572382451528e-66,1.0127008985423593e-70,1.349329474599639e-66,1.856082239380803e-57,8.740672748706074e-55,6.8985070754323845e-71,8.798036329049658e-35,2.7651077751684558e-52,1.1649956396376617e-45,7.43123363854405e-51,3.0105110468774095e-64,9.845215717772719e-23,1.7703547776782715e-35,6.683053214134496e-52,7.996829176635396e-46,4.590138035932098e-37,6.27718804308779e-42,1.7097331677994613e-55,1.2417681563103527e-18,7.236308756240336e-53,1.804536101803842e-46,5.2790880448043516e-61,5.354696860720547e-58,1.1963179093723804e-20,1.583722000063146e-69,9.670399455479053e-53,1.1791279647852706e-50,1.1676958700973325e-54,9.191223331300417e-71,1.5173802995799437e-65,2.0767506499113254e-49,1.3790334034178522e-49,2.379837629724407e-48,8.156847049605956e-57,5.028011751591435e-57,1.5281354369073218e-54,3.743408831687111e-46,2.713158589800686e-37,5.8716472629419206e-65,1.3711168768885277e-67,4.344772795355775e-35,2.690217703945074e-34,1.2657512462066012e-51,1.0912079564224238e-65,1.0472331152211407e-33,2.4394293816797334e-92,5.541954836991112e-52,2.5886429218595305e-38,3.2088647572159607e-50,7.2524442366228e-69,1.8365717010735164e-64,1.2417681563099247e-18,3.4583366478909356e-37,4.1509060994378116e-36,1.9718841645764916e-31,2.7519336784757186e-78
