Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38)
0.0,0.8756565971377127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6347290429793944,1.0,0.0,0.0,0.0,0.0
4.120809593824425e-22,0.8756565971377128,2.796520264072601e-56,8.198125453260081e-25,2.5026734384104017e-71,3.191459191987374e-88,0.0,0.0,1.1109832408995631e-57,3.914766957377495e-129,1.577633943982708e-70,6.402028476873437e-88,3.307636200693812e-67,9.328205169835477e-114,2.3040536122361613e-89,4.779855027069981e-73,9.328206299971436e-114,2.781228054019498e-88,1.800536535587696e-72,2.9076185881625436e-56,2.3484556096168543e-34,3.1251159814547667e-53,7.026502462940046e-88,6.189199031432739e-192,2.417613393367115e-131,2.9702514048229112e-120,2.4234659253084007e-91,-4.756979261814267e-157,0.0,0.0,7.29036482938601e-147,0.0,2.167111761730407e-106,0.0,3.76,0.0,0.6347290429793941,1.0,9.03899117556337e-89,2.2886671098991405e-193,2.236067977499789e-16,2.236067977499789e-16
1.153826686270839e-21,0.8756565971377127,3.320028857506989e-55,2.2954751269128226e-24,5.598380374786527e-70,1.838117091874089e-86,0.0,0.0,1.3189593035959621e-56,4.1714879790016116e-127,3.5334403118365885e-69,3.686393408817693e-86,7.399049875503961e-66,7.198061012943719e-112,1.3270188757378427e-87,1.5028628981912288e-71,7.198062673377231e-112,1.6018449602388573e-86,5.6611749537334076e-71,3.4519247878665546e-55,1.4184671882085797e-33,3.7101376931830755e-52,4.046905661727235e-86,6.400192148078898e-180,3.382146347983177e-129,4.021872436305488e-118,1.157718754110922e-89,1.593598704152087e-154,2.808874594223777e-239,2.900095343880532e-221,1.8430985850964783e-144,3.328313767486621e-173,1.885130646672848e-104,3.1909892377623217e-191,3.76,0.0,0.6347290429793937,1.0,5.205996120776287e-87,2.6241676192258454e-162,6.260990336999405e-16,6.260990336999405e-16
2.637318140047632e-21,0.8756565971377128,3.2596240198030134e-54,5.2468002900864515e-24,1.1061456212798812e-68,8.242888545861577e-85,0.0,0.0,1.294962065592532e-55,9.493330631806181e-125,6.985316626884203e-68,1.6530203804059602e-84,1.4619275707453311e-64,7.844798999390853e-110,5.950910731067887e-86,3.352804453492053e-70,7.844802526806327e-110,7.183345138005732e-85,1.2629769900980012e-69,3.389120226362207e-54,6.829308912765807e-33,3.6426351879836034e-51,1.8148023579510236e-84,1.5838487011683016e-176,7.353183468354674e-127,8.783455708465522e-116,6.028217550648988e-88,1.731046721832387e-151,5.041392385945262e-235,3.1242948819755753e-217,8.000956440071594e-142,8.017409721008353e-170,1.959450333318173e-102,1.4692428976197278e-187,3.76,0.0,0.6347290429793929,1.0,2.3345871698518628e-85,3.2322880996857367e-159,1.431083505599863e-15,1.431083505599863e-15
5.6043010476012184e-21,0.8756565971377132,2.8831005314482677e-53,1.114945061643371e-23,1.9683270319337577e-67,3.1011806854140682e-83,0.0,0.0,1.1453792820378157e-54,1.6043309082285733e-122,1.2433130666823372e-66,6.218912081733229e-83,2.601422001650802e-63,6.417532666474377e-108,2.2388815736854313e-84,6.279431679332802e-69,6.4175383852531255e-108,2.7025539742170526e-83,2.3654161260820745e-68,2.997638459651943e-53,2.9825386242133987e-32,3.221869572240453e-50,6.827740044048684e-83,2.424437625061563e-173,1.2048922282391396e-124,1.4424505634036096e-113,2.4057033780329122e-86,1.2708175151659821e-148,8.970490723994711e-231,2.3547248678776505e-213,2.6240332975081406e-139,1.2606472449524337e-166,1.5684787614340519e-100,4.734942559250695e-184,3.76,0.0,0.6347290429793913,1.0,8.78330041620542e-84,2.474689553916559e-156,3.0410524493997036e-15,3.0410524493997036e-15
1.1538266862708391e-20,0.8756565971377137,2.4234197165210533e-52,2.2954751269128226e-23,3.319871236083401e-66,1.0738404116278318e-81,0.0,0.0,9.627603008317111e-54,2.349093847182805e-120,2.0972841908390887e-65,2.15338644661216e-81,4.3876784376169675e-62,4.618744868749947e-106,7.752536490682056e-83,1.0846156641673854e-67,4.6187530647383e-106,9.358086375841667e-82,4.0856681203599336e-67,2.5196957466040444e-52,1.245151164218851e-31,2.70817550767272e-49,2.3642296025741936e-81,3.0031372673826037e-170,1.735805540828216e-122,2.080688252441904e-111,8.550246595913585e-85,7.742944175309742e-146,1.0515461434061962e-226,1.2871623921883593e-209,7.563716841140297e-137,1.584113933082843e-163,1.1166802366974521e-98,1.2067352495837565e-180,3.76,0.0,0.634729042979388,1.0,3.0413780721485427e-82,1.5326439218464314e-153,6.2609903369993695e-15,6.2609903369993695e-15
2.3406198492922737e-20,0.8756565971377148,1.9868659004560875e-51,4.6565352574517246e-23,5.4528984742160585e-65,3.572734688467503e-80,0.0,0.0,7.893290621491868e-53,3.2121871352449925e-118,3.445001788247973e-64,7.164412227729813e-80,7.206775009158101e-61,3.13073566628633e-104,2.57931779517686e-81,1.8021051478133152e-66,3.130746753746864e-104,3.113494281888889e-80,6.78839868831319e-66,2.0657988066707112e-51,5.086848788654443e-31,2.220325902262268e-48,7.865940805682651e-80,3.373991357241992e-167,2.354198913585753e-120,2.8238117995417836e-109,2.8799585352190703e-83,4.317698347263575e-143,1.023532665936547e-222,6.069354108201911e-206,2.052115204818691e-134,1.7925699044128024e-160,7.528579817393715e-97,2.7504961512530688e-177,3.76,0.0,0.6347290429793816,1.0,1.0118856416138892e-80,8.609102345659639e-151,1.2700866112198635e-14,1.2700866112198635e-14
4.714206175335142e-20,0.8756565971377169,1.6090155191664127e-50,9.37865551852953e-23,8.839383408050783e-64,1.1656065797745503e-78,0.0,0.0,6.3921913926633155e-52,4.2484249886505664e-116,5.584662316476707e-63,2.3373868851218866e-78,1.1682492850858806e-59,2.0614169447363023e-102,8.415038055219778e-80,2.9378862187898537e-65,2.0614315304266955e-102,1.0157791544876238e-78,1.1066803165313848e-64,1.6729374330925678e-50,2.0561856120887782e-30,1.7980774814880102e-47,2.5662673438381222e-78,3.616806912697939e-164,3.1009147730323596e-118,3.720716385540704e-107,9.452312280949361e-82,2.3061403022213717e-140,9.125320440436343e-219,2.6679504515270918e-202,5.406624999694421e-132,1.9284762266931643e-157,4.9438952296767564e-95,5.939103509012739e-174,3.76,0.0,0.6347290429793687,1.0,3.3012822520847804e-79,4.614179925475041e-148,2.5580617662596898e-14,2.5580617662596904e-14
9.461378827420879e-20,0.8756565971377211,1.2950756710115621e-49,1.882289604068514e-22,1.4235554475656769e-62,3.766076616331735e-77,0.0,0.0,5.144991740898354e-51,5.5273173850953874e-114,8.994059688573308e-62,7.552090346548102e-77,1.881429458510663e-58,1.338083355967138e-100,2.7189000837169587e-78,4.7446940908364065e-64,1.3381022815270192e-100,3.2819839793740494e-77,1.787291667291165e-63,1.3465255884197754e-49,8.267831911880205e-30,1.4472491863064193e-46,8.291613656414735e-77,3.788838863843041e-161,4.026135333048438e-116,4.831648274846031e-105,3.063078006282049e-80,1.2058518870175263e-137,7.795669485960248e-215,1.134562435747553e-198,1.4040379706311415e-129,2.0238125577329408e-154,3.2048426307944994e-93,1.2487558313001484e-170,3.76,0.0,0.634729042979343,1.0,1.0666447932965677e-77,2.4167798533074714e-145,5.1340120763392376e-14,5.134012076339239e-14
1.8955724131592353e-19,0.8756565971377294,1.0392166649697627e-48,3.7711377084996363e-22,2.2851217633172788e-61,1.2109588291316106e-75,0.0,0.0,4.128531851809088e-50,7.132710280628948e-112,1.4437564421675648e-60,2.428326683989779e-75,3.020110954677399e-57,8.62429876023746e-99,8.74245643194524e-77,7.626957176898973e-63,8.624542657543958e-99,1.0553018118793915e-75,2.873019155311118e-62,1.0805019834866173e-48,3.3157703844841255e-29,1.1613263274397557e-45,2.666117497823041e-75,3.92406078220094e-158,5.1902617207076925e-114,6.2291217228574e-103,9.863599241909294e-79,6.239104201767188e-135,6.521043016794869e-211,4.757865776112244e-195,3.6201102875025712e-127,2.097889609881745e-151,2.0642289497745427e-91,2.5912254664639932e-167,3.76,0.0,0.6347290429792914,1.0,3.429730888608032e-76,1.2515042102705162e-142,1.0285912696497913e-13,1.0285912696497921e-13
