Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65)
0.0,0.7118282280392424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8432079109090456,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.373244186792823e-22,0.7118282280392424,2.1079489929471168e-26,1.443138202333316e-28,1.362994678717868e-36,4.1685055867437457e-41,0.0,0.0,9.33044270828502e-22,3.0992967086094406e-40,1.2519897587182535e-53,1.7228531432233992e-67,1.1399032703348072e-67,3.846663292216965e-74,7.717056500468425e-53,2.0779961704335458e-59,5.221830383478102e-75,3.7661388567299424e-73,8.743065903837899e-66,3.548469274543502e-64,1.6609524530532317e-38,5.424176036122691e-59,3.5602230230783594e-64,4.0210306137342224e-126,1.2705778990308005e-93,6.468884450892405e-61,3.846754335870542e-58,3.20416038523136e-78,-6.440031552174324e-136,5.053491729817645e-100,9.431256038588086e-95,1.9261114283074235e-81,1.2134388872969196e-71,-4.288277719730811e-117,3.76,0.0,0.8432079109090456,0.9999999999999997,1.5544247364387925e-51,3.976795571520032e-91,3.4148828992273204e-18,3.4148828992273204e-18,2.327731056765463e-38,6.054349098111241e-42,3.741345544897164e-16,5.0948703801626194e-42,1.8616798033365715e-43,9.330653503184237e-22,3.454090160289526e-36,6.606355752057541e-50,2.0922386974167778e-36,1.1083516478346805e-19,3.012200513423545e-41,1.3629880635910876e-36,3.1497225063517024e-38,2.6429095609159516e-42,4.7287590644758406e-39,1.6915914046948243e-37
6.645083723019905e-22,0.7118282280392424,5.902257180926084e-26,4.040786966533536e-28,8.232487859455912e-36,2.517777374633191e-40,0.0,0.0,2.612523958319805e-21,1.8719752120001018e-39,1.4863622415503095e-52,2.045371473135614e-66,1.3533034350772183e-66,4.5667586605200884e-73,4.661102126283131e-52,2.5856973691619044e-58,1.2217936812331354e-73,1.0561756816844062e-71,1.0379767841143374e-64,4.21274272273803e-63,1.003215281644152e-37,6.439581790084834e-58,5.379899267178896e-63,1.8356001872848967e-123,5.482937981980087e-92,9.77577818218915e-60,5.801012046118538e-57,1.0074392917364214e-76,6.16693547188274e-134,2.9105524977503222e-98,4.855133809504868e-93,5.4319424080375585e-80,3.808940313921329e-70,8.484567349800374e-116,3.76,0.0,0.8432079109090456,0.999999999999999,1.8454130471035997e-50,1.714637114465048e-89,9.561672117836496e-18,9.561672117836496e-18,1.405949558286116e-37,3.6568268552590284e-41,1.0475767525704456e-15,3.077301709618221e-41,1.1244546012160679e-42,2.612582980891567e-21,2.0862704568148204e-35,7.84306554884253e-49,1.2637121732397262e-35,3.1033846139371047e-19,1.819369110107819e-40,8.232447904090163e-36,1.9024323938363833e-37,1.5963173747942072e-41,2.8561704749433564e-38,1.0217212084356643e-36
1.5188762795474069e-21,0.7118282280392424,1.3490873559580642e-25,9.236084494934973e-28,3.9635885257115443e-35,1.2122014249850334e-39,0.0,0.0,5.971483333302406e-21,9.012754828636244e-39,1.459319262761994e-51,2.008158307376306e-65,1.3287027554583417e-65,4.483670733408426e-72,2.2441200303365212e-51,2.590666784442214e-57,2.4658257037589283e-72,2.2928732652037745e-70,1.019091761783372e-63,4.136095786407856e-62,4.830049733478798e-37,6.322419587704528e-57,5.787343497651602e-62,4.190969203722701e-121,2.217546336814667e-90,1.0516336074128608e-58,6.236263177864414e-56,2.247541641171959e-75,1.2836035129022876e-131,1.3052139037703783e-96,2.115624070750638e-91,1.1815661232909238e-78,8.494453238156427e-69,8.956717667841139e-114,3.76,0.0,0.8432079109090456,0.9999999999999977,1.811837472797973e-49,6.931910234480073e-88,2.185525055505485e-17,2.185525055505485e-17,6.7690419130706135e-37,1.760604717730508e-40,2.394461148728863e-15,1.4815883065512897e-40,5.413764868114243e-42,5.971618242037777e-21,1.0044494186121134e-34,7.7003682645977e-48,6.084230132087874e-35,7.093450546141955e-19,8.759479093035638e-40,3.963569288922876e-35,9.159393048470078e-37,7.685581003157899e-41,1.3751231359494972e-37,4.919147804852406e-36
3.22761209403824e-21,0.7118282280392424,2.8668106327676265e-25,1.962667955174185e-27,1.7310032419716756e-34,5.2940020988840624e-39,0.0,0.0,1.2689402083267592e-20,3.93610681993398e-38,1.2907513616481656e-50,1.7761941091539784e-64,1.1752604918784859e-64,3.965755987744695e-71,9.800661755598029e-51,2.312072383211132e-56,4.429814471334183e-71,4.247254426268137e-69,9.01375122488391e-63,3.6583298832832646e-61,2.1094096153776047e-36,5.592108526200882e-56,5.3195270952020944e-61,7.002395877664161e-119,7.993703207516841e-89,9.666324657283512e-58,5.730677627068553e-55,4.209396755389492e-74,2.0554011973766722e-129,4.910540919995201e-95,7.869538053983881e-90,2.190424464393537e-77,1.5906879474921913e-67,7.082288194808357e-112,3.76,0.0,0.8432079109090456,0.999999999999995,1.6025497262838813e-48,2.4983248341580968e-86,4.644240742949156e-17,4.644240742949156e-17,2.956218442088674e-36,7.689023354598784e-40,5.088229941033534e-15,6.470485382806524e-40,2.364333350249233e-41,1.2689688764329881e-20,4.386694503566859e-34,6.810888526140039e-47,2.657143145719186e-34,1.5073582410551653e-18,3.825494652047874e-39,1.730994840760674e-34,4.000147583065965e-36,3.3564951423779185e-40,6.00552401188352e-37,2.148321083962278e-35
6.6450837230199055e-21,0.7118282280392424,5.902257190701351e-25,4.040786966537158e-27,7.226597786561984e-34,2.2101416654390888e-38,0.0,0.0,2.612523958319789e-20,1.6432471149047157e-37,1.0849542930690898e-49,1.49299956477003e-63,9.879410430519988e-64,3.333456862423801e-70,4.091583356551173e-50,1.9516263345156328e-55,7.50513538384933e-70,7.297375775859962e-68,7.576601024407226e-62,3.075046697810814e-60,8.806369906088236e-36,4.7005041660870394e-55,4.5509526796859356e-60,1.0183830490781267e-116,2.71365307728216e-87,8.269744255414827e-57,4.902134433882414e-54,7.270686097836468e-73,2.9328647569072673e-127,1.700364416651962e-93,2.7101895350813165e-88,3.7647800121688056e-76,2.7473286662201243e-66,5.0206542663075615e-110,3.76,0.0,0.8432079109090456,0.9999999999999896,1.3470396058064554e-47,8.480433102639597e-85,9.561672117836497e-17,9.561672117836497e-17,1.2341630062939308e-35,3.210015891816338e-39,1.0475767525594215e-14,2.7013002755622187e-39,9.870626317396198e-41,2.612582980891284e-20,1.8313586029847496e-33,5.724962193038842e-46,1.1093049573702658e-33,3.1033846139371044e-18,1.5970687122171373e-38,7.226562713159882e-34,1.6699828728670457e-35,1.4012706492107758e-39,2.507188055984373e-36,8.968817627690618e-35
1.3480026980983237e-20,0.7118282280392424,1.1973150323827202e-24,8.1970249892695e-27,2.9523009938899216e-33,9.029149869453049e-38,0.0,0.0,5.2996914583058206e-20,6.71320064271631e-37,8.895110796354315e-49,1.224053529472883e-62,8.100783333751431e-63,2.7329693347967927e-69,1.6715453062298448e-49,1.6033203844958154e-54,1.2354061989837972e-68,1.209285030353047e-66,6.211755279808552e-61,2.521109069361249e-59,3.597689451411423e-35,3.853757307857772e-54,3.762809918135922e-59,1.3876195482831537e-114,8.942333803965363e-86,6.837584471557365e-56,4.0529524161242405e-53,1.208035371360238e-71,3.9604734053518613e-125,5.6572195257285334e-92,8.99258294114099e-87,6.239846819836257e-75,4.564571615180249e-65,3.379004642291494e-108,3.76,0.0,0.8432079109090455,0.9999999999999788,1.1043844535452448e-46,2.7944516608347983e-83,1.939653486761118e-16,1.939653486761118e-16,5.041958578169869e-35,1.311396232045389e-38,2.1250842694520945e-14,1.1035693038247425e-38,4.032472921308477e-40,5.299811189807376e-20,7.48169745078711e-33,4.6936698934981535e-45,4.531872708151708e-33,6.295437359700982e-18,6.524546800095716e-38,2.9522866652607853e-33,6.822424937652731e-35,5.7246478254373956e-39,1.0242681284011177e-35,3.6640546462240435e-34
2.71499134969099e-20,0.7118282280392425,2.411493665911252e-24,1.6509501034759759e-26,1.1933672649619647e-32,3.649726752776409e-37,0.0,0.0,1.0674026458277769e-19,2.713583034629509e-36,7.203491344208791e-48,9.912739816312262e-62,6.561918104233255e-62,2.21322942433519e-68,6.756653384891721e-49,1.2997105611472513e-53,2.0047933772045773e-67,1.968847570751513e-65,5.030440477915257e-60,2.0416594885351127e-58,1.4542435983658509e-34,3.1208725833082533e-53,3.05985225580739e-58,1.8319510919839946e-112,2.903694936101429e-84,5.560210136551922e-55,3.295703751378619e-52,1.9694025541366717e-70,5.2058848002034415e-123,1.8456708652078021e-90,2.929856803366855e-85,1.0159973119782177e-73,7.441276599302699e-64,2.2172037367896986e-106,3.76,0.0,0.8432079109090452,0.9999999999999573,8.94359163581483e-46,9.073772126444147e-82,3.906626036716054e-16,3.906626036716054e-16,2.038040271267176e-34,5.300873244137487e-38,4.280099303159587e-14,4.460803571610608e-38,1.6299900285251445e-39,1.0674267607637558e-19,3.0242217316558965e-32,3.8010555713614713e-44,1.8318554070450986e-32,1.2679542851228731e-17,2.637326135126778e-37,1.1933614731010045e-32,2.757733240986851e-34,2.3139941803320585e-38,4.140255541378695e-35,1.4810694711968115e-33
5.448968652876323e-20,0.7118282280392425,4.839850960581759e-24,3.313445312584261e-26,4.7984772862125315e-32,1.4675390847458041e-36,0.0,0.0,2.1422696458221216e-19,1.0911198034527316e-35,5.797996523402463e-47,7.978694918170856e-61,5.284329068610452e-61,1.7813995873161e-67,2.716820609231801e-48,1.046639469462436e-52,3.230374526925208e-66,3.177600845848311e-64,4.048936137785393e-59,1.6433051767338053e-57,5.847449549072022e-34,2.511949764824262e-52,2.4678807913199692e-57,2.3812541047215214e-110,9.35987283970737e-83,4.4845109075915454e-54,2.6580687310336987e-51,3.1805904062548783e-69,6.752308180063991e-121,5.9633653860705105e-89,9.459939180493557e-84,1.639823805628909e-72,1.2017578828224583e-62,1.4367588061715724e-104,3.76,0.0,0.8432079109090448,0.9999999999999142,7.198580623390728e-45,2.9248422346994623e-80,7.840571136625924e-16,7.840571136625924e-16,8.194870294408975e-34,2.1314578173737904e-37,8.590129370263156e-14,1.7936694968177594e-37,6.554118215433756e-39,2.1423180443289916e-19,1.2160262572862877e-31,3.0594202081877515e-43,7.365810023797445e-32,2.5447753834284207e-17,1.0604572395526666e-36,4.798453997394601e-32,1.1088724072475975e-33,9.304468826326551e-38,1.6647785436809217e-34,5.9553152038767486e-33
1.0916923259246988e-19,0.7118282280392425,9.696565660376551e-24,6.638435730841755e-26,1.924404008912983e-31,5.8854881792148486e-36,0.0,0.0,4.292003645810629e-19,4.375878427104962e-35,4.6525270649634296e-46,6.402495721499013e-60,4.2447169683742817e-60,1.4294609801984676e-66,1.0895665770800359e-47,8.400698489880641e-52,5.186839496266029e-65,5.106217843577354e-63,3.2490162618604474e-58,1.3186489125830506e-56,2.345088802751138e-33,2.0156814891998916e-51,1.982335704382717e-56,3.0714821956032167e-108,3.006096126949003e-81,3.602203039170242e-53,2.1350911001437169e-50,5.112706252157834e-68,8.700232853708138e-119,1.9174835761866471e-87,3.0407505167874396e-82,2.6351529873471364e-71,1.9317824349681183e-61,9.252547288238027e-103,3.76,0.0,0.843207910909044,0.999999999999828,5.776407599497785e-44,9.393624109452538e-79,1.5708461336445656e-15,1.5708461336445656e-15,3.286509512518959e-33,8.548099165426658e-37,1.7210189503224637e-13,7.193416920529226e-37,2.628494544731441e-38,4.2921006114562616e-19,4.876809172737332e-31,2.454992041507944e-42,2.954019263445554e-31,5.098417580039505e-17,4.252907831698445e-36,1.9243946690555794e-31,4.447074308354375e-33,3.731508152195397e-37,6.67650655054638e-34,2.3883477547340983e-32
