Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43)
0.0,0.4630434845653698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362771,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.092619265956034e-20,0.4630434845653698,2.8876373423972725e-30,2.1669044959067231e-35,5.014816601031186e-38,4.106393797090175e-44,0.0,0.0,4.042757655693031e-24,1.230792811692173e-42,7.575292640280284e-56,1.1677235233531898e-57,3.3731350244360903e-68,3.4218105216386976e-77,7.17703571613273e-55,2.2158608039236681e-44,1.0665382866245834e-41,5.819344892132986e-58,3.205619435870403e-76,3.9287409692473094e-75,1.0326845920494541e-44,6.554922711033591e-67,1.4023759461798028e-32,3.0978074084669947e-91,1.4858634066330904e-60,6.052167881103454e-69,4.569973706530284e-67,3.370972522771358e-85,3.596219625444629e-95,2.0515285041421848e-97,4.336718754964077e-76,9.230474725354563e-92,3.8490171617435815e-75,1.6067066072476576e-122,3.76,0.0,0.7671343263362771,0.9999999999999997,1.1950384349710372e-51,2.1096169766509136e-57,5.167540167419347e-21,5.167540167419347e-21,2.6341066227480775e-44,4.474826456036473e-50,3.9051248371513876e-16,1.8353573927054364e-47,7.992825566525848e-50,4.0427605433303494e-24,1.1577973506496799e-38,7.504398778609694e-52,6.011809202293916e-39,1.4577858260236e-23,2.3698936191606534e-46,5.014816280033073e-38,1.5410944400947709e-43,4.3696403417141713e-48,1.1203637667509592e-44,1.3630150299106803e-40,2.2701522127547e-77,1.1755389541745898e-63,1.402375946182083e-32,2.818852890374682e-90,1.0665382866245837e-41
3.0593339446768954e-20,0.4630434845653698,8.085384559552592e-30,6.067332589579551e-35,3.0289492270227557e-37,2.4802618536575747e-43,0.0,0.0,1.1319721435940503e-23,7.433988582620733e-42,8.993387422540543e-55,1.3863213669228102e-56,4.004585901236368e-67,4.0623734512788503e-76,4.334929572536566e-54,1.3383799255676857e-43,6.441891251212455e-41,6.908726255931158e-57,3.8057114023611817e-75,4.664201278688996e-74,6.237414935978703e-44,7.782004242537087e-66,3.9266526492962684e-32,1.4798619903371714e-89,1.7640170363547258e-59,9.146036103388547e-68,6.892213937194967e-66,1.0598876967605454e-83,1.7179572697111606e-93,9.80039784770868e-96,9.70106638610184e-75,2.605480822795254e-90,1.210192232749764e-73,2.6381884471869568e-120,3.76,0.0,0.7671343263362771,0.9999999999999989,1.418749629997581e-50,2.504537274679955e-56,1.4469112468774174e-20,1.4469112468774174e-20,1.59100040013713e-43,2.702795179445543e-49,1.0934349543641144e-15,1.1085558651938231e-46,4.827666642554717e-49,1.1319729521324917e-23,6.993095997923601e-38,8.909222229964882e-51,3.6311327581855066e-38,4.081800312866064e-23,1.4314157459730328e-45,3.0289490331399643e-37,9.308210418171835e-43,2.639262766451287e-47,6.766997151175415e-44,8.232610780659945e-40,5.0782396938537823e-76,1.3955998463960632e-62,3.9266526493100416e-32,1.1646808293900257e-88,6.441891251212457e-41
6.992763302118617e-20,0.4630434845653698,1.8480878997224135e-29,1.3868188781088116e-34,1.4583086675797472e-36,1.1941393165164849e-42,0.0,0.0,2.5873648996435497e-23,3.57914549640085e-41,8.829761101510046e-54,1.3610985388139766e-55,3.931726185182421e-66,3.988462343989167e-75,2.0870819862399919e-53,6.443723217776875e-43,3.101493337504246e-40,6.783028406241929e-56,3.736470038672293e-74,4.5793404737502866e-73,3.0030467936798127e-43,7.640417911974576e-65,8.975206055500482e-32,7.705603551481268e-88,1.7319223867712844e-58,9.838888285786779e-67,7.409533789309817e-65,2.3645511474880232e-82,8.945367886424219e-92,5.10304684096305e-94,1.9167672409424117e-73,5.6780745518114236e-89,2.6998721289878686e-72,2.852583600238163e-118,3.76,0.0,0.7671343263362771,0.9999999999999974,1.3929367998021334e-49,2.4589695479842737e-55,3.307225707148382e-20,3.307225707148382e-20,7.659982058910771e-43,1.3012795334146757e-48,2.4992798955089674e-15,5.337219297983502e-46,2.324313675302203e-48,2.5873667477313804e-23,3.36687469568857e-37,8.747127216345756e-50,1.7482341160270434e-37,9.329829286550927e-23,6.891650644519147e-45,1.4583085742336002e-36,4.4815026317947216e-42,1.2706914114527732e-46,3.258017833711218e-43,3.963647706979408e-39,1.0033745878483026e-74,1.3702082049858719e-61,8.975206055566793e-32,4.609919786544634e-87,3.1014933375042483e-40
1.4859622017002064e-19,0.4630434845653698,3.9271867886010853e-29,2.946990118075687e-34,6.368817083308345e-36,5.215120125638691e-42,0.0,0.0,5.49815041174257e-23,1.5631068708490714e-40,7.809823700421984e-53,1.2038762436225508e-54,3.4775672862616426e-65,3.5277497753195436e-74,9.1148353593707e-53,2.8141432209488e-42,1.3545036240131765e-39,5.999511809934034e-55,3.30486546376114e-73,4.0503747896460116e-72,1.3115094319028069e-42,6.757863118154217e-64,1.9072312867794037e-31,3.0751030959736808e-86,1.5318657377019354e-57,9.043633431820751e-66,6.808899940988531e-64,4.428542610618829e-81,3.5698614990759085e-90,2.0364920344062008e-92,3.4107848927722596e-72,1.05654211508665e-87,5.0565615708343976e-71,2.3219972426191604e-116,3.76,0.0,0.7671343263362771,0.9999999999999947,1.2320368249175135e-48,2.1749307182479596e-54,7.027854627690313e-20,7.027854627690313e-20,3.3453154108480644e-42,5.68302959915877e-48,5.310969777186283e-15,2.330903888731867e-45,1.0150888475223396e-47,5.498154338929059e-23,1.470402635324371e-36,7.736734964791874e-49,7.634997686912987e-37,1.982588723392039e-22,3.009764896333994e-44,6.368816675641819e-36,1.957189938919456e-41,5.549443234819889e-46,1.4228619837731272e-42,1.7310290879856856e-38,1.7854514689770477e-73,1.211933640195771e-60,1.9072312868083633e-31,1.645675374288531e-85,1.3545036240131788e-39
3.059333944676895e-19,0.4630434845653698,8.085384571735883e-29,6.067332604670093e-34,2.658855761865599e-35,2.1772099942179631e-41,0.0,0.0,1.1319721435940697e-22,6.525663487592005e-40,6.564627397382149e-52,1.0119305217367282e-53,2.9231048446807863e-64,2.965286248958403e-73,3.8052643365874925e-52,1.1748493982094959e-41,5.654785995683138e-39,5.0429511738964226e-54,2.777938603649918e-72,3.4045840640775275e-71,5.475293707046206e-42,5.680391142594795e-63,3.9266526491921673e-31,1.0929396546539971e-84,1.287625454372794e-56,7.737018812398687e-65,5.824494099705033e-63,7.649206063616274e-80,1.268784689295849e-88,7.238011653383254e-91,5.752787252447227e-71,1.829412465648816e-86,8.73395253141722e-70,1.6676830788842745e-114,3.76,0.0,0.7671343263362771,0.999999999999989,1.0356011871305288e-47,1.828160318093934e-53,1.4469112468774174e-19,1.4469112468774174e-19,1.396603331343235e-41,2.372552986983742e-47,1.093434953809135e-14,9.731064896087892e-45,4.237796120527679e-47,1.1319729521324013e-22,6.138641553138096e-36,6.50319191115621e-48,3.187461239055975e-36,4.081800312865828e-22,1.2565175968789462e-43,2.6588555916733706e-35,8.17088272137434e-41,2.3167833099322594e-45,5.940168691308261e-42,7.226705688578516e-38,3.0114248694991255e-72,1.018703249064316e-59,3.9266526493130674e-31,5.56107315797396e-84,5.654785995683157e-39
6.206077430630273e-19,0.4630434845653698,1.6401780159515293e-28,1.2308017604501522e-33,1.0862293350487972e-34,8.894613245655564e-41,0.0,0.0,2.29628634843373e-22,2.6659464618378023e-39,5.382078158453391e-51,8.296417799649323e-53,2.3965379605704784e-63,2.4311208218348884e-72,1.5545746441673984e-51,4.799643135469768e-41,2.31016459035997e-38,4.134516054542094e-53,2.2775219824037088e-71,2.7912837120212502e-70,2.2368361337627995e-41,4.657127853455889e-62,7.965495373833901e-31,3.6813215313705915e-83,1.0556731425472007e-55,6.397116790357416e-64,4.8155450763807194e-62,1.270927029333013e-78,4.273616268610264e-87,2.4379616664081488e-89,9.448970336638538e-70,3.076826861560919e-85,1.4511592672343425e-68,1.1293461228688973e-112,3.76,0.0,0.7671343263362771,0.9999999999999778,8.490484215975765e-47,1.4988362815674221e-52,2.9351628150941893e-19,2.9351628150941893e-19,5.705580308817241e-41,9.692653096775693e-47,2.2181109050103234e-14,3.975457526864922e-44,1.7312779933742822e-46,2.296287988611232e-22,2.5078353733957214e-35,5.331709635066115e-47,1.302181920453451e-35,8.280223491812989e-22,5.133284374846468e-43,1.0862292655201443e-34,3.3380722010159887e-40,9.46481577214912e-45,2.426752733328737e-41,2.9523450753810295e-37,4.946274390881622e-71,8.35194471040739e-59,7.965495374327818e-31,1.8284746685023023e-82,2.3101645903599854e-38
1.249956440253703e-18,0.4630434845653698,3.3034571421113373e-28,2.4789387710734842e-33,4.3907126453917396e-34,3.595344897153489e-40,0.0,0.0,4.6249147581131885e-22,1.0776181846915305e-38,4.358546432511335e-50,6.718654232959915e-52,1.9407785787109486e-62,1.9687846724069823e-71,6.283839266449771e-51,1.9400924949390203e-40,9.338054637772984e-38,3.348238295382121e-52,1.8443964782881583e-70,2.260453918888313e-69,9.041649291997154e-41,3.771462879888448e-61,1.60431808223822e-30,1.2082465509489563e-81,8.5491148100791e-55,5.202029160928397e-63,3.915818721438214e-61,2.0719318281479517e-77,1.4026436507972872e-85,8.001634300653607e-88,1.5317188099319777e-68,5.1554160850637e-84,2.365755852276412e-67,7.432864635832114e-111,3.76,0.0,0.7671343263362771,0.9999999999999553,6.875814248759961e-46,1.2137964807679271e-51,5.911665951527733e-19,5.911665951527733e-19,2.306286785070603e-40,3.9179253538824825e-46,4.467462803493398e-14,1.606943494443155e-43,6.998102474995147e-46,4.624918061568251e-22,1.0137071547620913e-34,4.317756696374467e-46,5.263627523448216e-35,1.667706984970565e-21,2.0749556184686458e-42,4.390712364349252e-34,1.3493021548304293e-39,3.8258298671519545e-44,9.80932255247558e-41,1.1933850834027238e-36,8.018123937007431e-70,6.763621365275658e-58,1.604318082437869e-30,5.930800400362118e-81,9.338054637773108e-38
2.508653834635054e-18,0.4630434845653698,6.630015428846655e-28,4.975212834948335e-33,1.7654862436530148e-33,1.4456723787920165e-39,0.0,0.0,9.282171577472658e-22,4.333055325275345e-38,3.5081373538492304e-49,5.407757435825689e-51,1.5621074501815937e-61,1.584649184460965e-70,2.5267041314081373e-50,7.801026592903656e-40,3.7547906995910196e-37,2.6949534700246555e-51,1.4845309509534877e-69,1.8194099689294642e-68,3.635607413693785e-40,3.0356014355353e-60,3.219855171653812e-30,3.915394743178265e-80,6.881071355309373e-54,4.195625019317631e-62,3.1582088610228847e-60,3.346175452745802e-76,4.545350163754655e-84,2.59297717977775e-86,2.4667859230888325e-67,8.790867952616452e-83,3.8207020150164215e-66,4.823806071555227e-109,3.76,0.0,0.7671343263362771,0.9999999999999103,5.534253489712959e-45,9.769690056290063e-51,1.1864672224394822e-18,1.1864672224394822e-18,9.273477727514423e-40,1.5753805531150666e-45,8.96616658478234e-14,6.4614491151099524e-43,2.813906241091664e-45,9.28217820747973e-22,4.0760718848194435e-34,3.4753062255702706e-45,2.1164814769029088e-34,3.3470762565484315e-21,8.343305281998014e-42,1.765486130649835e-33,5.425484620085274e-39,1.538349365113788e-43,3.944285455367322e-40,4.79854893335703e-36,1.2912941415416262e-68,5.4439508965313e-57,3.219855172456591e-30,1.9107163666427225e-79,3.75479069959112e-37
5.026048623397756e-18,0.4630434845653698,1.32831321399801e-27,9.967761133210783e-33,7.080389470044623e-33,5.797792900293009e-39,0.0,0.0,1.8596685216193815e-21,1.7377489860717783e-37,2.815059291681385e-48,4.339384772670331e-50,1.253492860493042e-60,1.2715811723485304e-69,1.0133213660566435e-49,3.128560572491982e-39,1.5058390076536826e-36,2.162530437056723e-50,1.1912429268278886e-68,1.4599619175669121e-67,1.4580411794070721e-39,2.435878976429637e-59,6.450929349308726e-30,1.2608194847810221e-78,5.521626407864188e-53,3.370154255011765e-61,2.536828833438814e-59,5.378879362519715e-75,1.4636751769773224e-82,8.349799676100455e-85,3.9597377170817e-66,1.563726488648471e-81,6.141666896675561e-65,3.108904493659072e-107,3.76,0.0,0.7671343263362771,0.9999999999998204,4.440889890368823e-44,7.839560996579717e-50,2.3770684770129e-18,2.3770684770129e-18,3.71907933429843e-39,6.317980624009863e-45,1.7963574084651403e-13,2.5913300904511213e-42,1.1285022694762592e-44,1.8596698499292434e-21,1.634687132568551e-33,2.7887143788550467e-44,8.48803734185169e-34,6.705814799701502e-21,3.346038581529736e-41,7.080389016873537e-33,2.1758619933661357e-38,6.1694690148654306e-43,1.581834880068832e-39,1.9244327426046888e-35,2.072813075641525e-67,4.368427746410092e-56,6.450929352528229e-30,6.134957689553167e-78,1.5058390076537627e-36
