Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682)
0.0,0.6474732987142638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9068401706858592,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.894099495814746e-22,0.6474732987142638,4.806188272090638e-27,5.350269940532152e-30,1.1221659334160296e-36,1.6460166111311395e-41,0.0,0.0,3.2616306882405423e-22,1.1760108423215323e-40,8.188678211597729e-54,1.9217937908964634e-55,3.2862999864233793e-63,3.144898341855597e-70,9.911302362833491e-49,8.273689644909673e-41,2.0469782512335562e-38,1.3260846510644721e-55,8.569853716954835e-68,1.4923761711670301e-66,1.0745058354567041e-39,1.661391333128548e-60,1.312036904814631e-27,1.8843817129602227e-88,4.772767284523399e-57,3.8505438391844886e-62,8.670817475561989e-60,6.669872664597851e-79,1.971869490742642e-90,1.234450952078635e-91,6.291055723712539e-73,4.378588842578314e-83,4.940495219889659e-72,4.7135548152188284e-116,3.76,0.0,0.9068401706858592,0.9999999999999997,2.8051829320525077e-51,2.1101780025165813e-54,1.086871833840353e-18,1.086871833840353e-18,1.7040362659646944e-39,1.5624506371528122e-43,4.1532834828277044e-16,4.775189316221946e-43,1.0522972921020548e-44,3.2616787501232395e-22,1.3871080804765715e-36,1.5551519680527824e-46,4.078819671460904e-37,2.3047245983423476e-20,3.5437454375422026e-42,1.1221641868526916e-36,3.4460370994331004e-39,2.007768838770358e-43,4.441426076788327e-40,5.067759324622409e-38,4.219592590166685e-70,3.7528108099802697e-60,1.3120369048147344e-27,1.7175602130022767e-84,2.046978251238363e-38,1.922818715454695e-38,7.22206989854821e-57,2.326714667667554e-74,1.5751435200246916e-71,1.4058088484686174e-56,1.266012458615599e-72,2.5608357901e-100,1.483211715110316e-104
1.6503478588281289e-21,0.6474732987142638,1.345732716313089e-26,1.4980755833495992e-29,6.777882237832799e-36,9.941940332019425e-41,0.0,0.0,9.132565927073513e-22,7.103105487622052e-40,9.721598772808803e-53,2.281553588552139e-54,3.901495343961992e-62,3.733623311450565e-69,5.98642662715101e-48,4.997308545525105e-40,1.2363748637450619e-37,1.5743276977436776e-54,1.0174130333131457e-66,1.7717489904094804e-65,6.490015246158493e-39,1.9724037906901912e-59,3.673703333480699e-27,9.002002107468308e-87,5.666229320186037e-56,5.818941849777774e-61,1.3079020496403107e-58,2.097114683747373e-77,9.419857182138814e-89,5.897120332520648e-90,1.4072840011715516e-71,1.2348321197121359e-81,1.5530224663448725e-70,3.650641787390696e-114,3.76,0.0,0.9068401706858592,0.9999999999999988,3.3303131769334825e-50,2.5052033245876744e-53,3.043241134752988e-18,3.043241134752988e-18,1.0292379046423767e-38,9.437201848402337e-43,1.162919375189608e-15,2.8842143469980395e-42,6.355875644308224e-44,9.132700500345007e-22,8.378132806078325e-36,9.39416328064003e-46,2.4636070815623707e-36,6.453228875358574e-20,2.14042224427548e-41,6.777871688590253e-36,2.0814064080575547e-38,1.2126923786190088e-42,2.6826213503801284e-39,3.0609266320719124e-37,5.010147762670117e-69,4.455336993608535e-59,3.673703333481322e-27,4.054023751560813e-83,1.2363748637479652e-37,1.1613825041345139e-37,8.5740413835564e-56,7.315563189493572e-73,4.952503249844869e-70,1.684635103771956e-55,2.8574022772075707e-71,1.1136075016269328e-98,6.449908654170816e-103
3.772223677321438e-21,0.6474732987142638,3.0759604950319813e-26,3.4241727619447556e-29,3.2632585343737847e-35,4.786616306350366e-40,0.0,0.0,2.087443640473944e-21,3.419839529471011e-39,9.544723323438255e-52,2.240042842668475e-53,3.830511264421297e-61,3.6656935072656472e-68,2.8822067271113524e-47,2.405988948739226e-39,5.952612754587089e-37,1.5456842692805503e-53,9.989021493572695e-66,1.7395136651122347e-64,3.1246629695080955e-38,1.93651773789457e-58,8.397036190811765e-27,4.687296571870177e-85,5.5631375468400335e-55,6.259752108492597e-60,1.4061441754485647e-57,4.6785474976291163e-76,4.9049001051756915e-87,3.0706183310027517e-88,2.7805560386781947e-70,2.68602962074405e-80,3.464537559498483e-69,3.978499290804754e-112,3.76,0.0,0.9068401706858592,0.9999999999999973,3.2697212256014476e-49,2.4596234797332922e-52,6.955979736578258e-18,6.955979736578258e-18,4.95533746142085e-38,4.543606452839404e-42,2.6581014289946868e-15,1.388625053157318e-41,3.060080525450233e-43,2.087474400078828e-21,4.0337102980256226e-35,4.5239500134993294e-45,1.1861207604608087e-35,1.4750237429391025e-19,1.030521173237257e-40,3.263253455367621e-35,1.0021075885150881e-37,5.838591783169398e-42,1.2915667031300137e-38,1.473704411600161e-36,4.9203641859332556e-68,4.374276280112878e-58,8.397036190814758e-27,8.199166045454375e-82,5.9526127546010695e-37,5.591556824540424e-37,8.418044673747698e-55,1.632061904719106e-71,1.104876231349028e-68,1.6608463449701878e-54,5.670218921767073e-70,4.512265226011583e-97,2.613461070317917e-101
8.015975314308054e-21,0.6474732987142638,6.536416054513137e-26,7.27636711914462e-29,1.425150735438327e-34,2.0904410973569276e-39,0.0,0.0,4.435817736007123e-21,1.4935337697483414e-38,8.442199689028676e-51,1.9812925266616878e-52,3.388043834517802e-60,3.242264394516849e-67,1.2587354000792052e-46,1.050758584903004e-38,2.5996623790665194e-36,1.3671402318610111e-52,8.835176390293223e-65,1.538580137426244e-63,1.364622411030014e-37,1.71282800880207e-57,1.7843701905469604e-26,1.870573196024867e-83,4.920532159651316e-54,5.753790648032049e-59,1.2921853149470128e-56,8.762401679311502e-75,1.9574168736697798e-85,1.22540316923852e-86,4.947850906287881e-69,4.9794463794499085e-79,6.488568966022622e-68,3.254565932426493e-110,3.76,0.0,0.9068401706858592,0.9999999999999943,2.892031395629875e-48,2.1755091134744195e-51,1.47814569402288e-17,1.47814569402288e-17,2.16412605777053e-37,1.984312309183065e-41,5.648465536570457e-15,6.064490431601621e-41,1.3364175609875265e-42,4.435883100167378e-21,1.7616272622049894e-34,1.9766633595089326e-44,5.180100982755119e-35,3.134425453745592e-19,4.500556705678436e-40,1.4251485173029115e-34,4.376467116279443e-37,2.549866425264164e-41,5.640611117520845e-38,6.436054342270089e-36,4.3544460087115595e-67,3.868997832657e-57,1.7843701905482673e-26,1.4750522743130271e-80,2.5996623790726264e-36,2.4419797686255733e-36,7.445665182607066e-54,3.0566713237484806e-70,2.0693109022712878e-67,1.4717248300005622e-53,1.0109711996693637e-68,1.628592024668751e-95,9.432649994429305e-100
1.6503478588281287e-20,0.6474732987142638,1.3457327181648927e-25,1.4980755833582558e-28,5.949723778971511e-34,8.72718008320073e-39,0.0,0.0,9.132565927073457e-21,6.235209485988726e-38,7.096177519318991e-50,1.6653957504885335e-51,2.847854988366613e-59,2.725318584673879e-66,5.254972512768483e-46,4.3867102497263905e-38,1.0853078688039444e-35,1.1491637412572976e-51,7.426498117534416e-64,1.2932693119143968e-62,5.697029939591445e-37,1.43973514702762e-56,3.673703333476813e-26,6.648304431595382e-82,4.1360037644897436e-53,4.922489037515794e-58,1.1053759723790001e-55,1.5134869849514418e-73,6.956966147039591e-84,4.355274790734528e-85,8.345273746543598e-68,8.558396572918426e-78,1.1207284860434773e-66,2.3423061425520666e-108,3.76,0.0,0.9068401706858592,0.9999999999999883,2.4309266459906438e-47,1.8286464941326926e-50,3.043241134752988e-17,3.043241134752988e-17,9.034800282103122e-37,8.284113278175155e-41,1.1629193751584451e-14,2.53180537546065e-40,5.5792802428858196e-42,9.132700500344058e-21,7.354447042684475e-34,8.259998975352941e-44,2.162590189808365e-34,6.453228875358569e-19,1.87889383098473e-39,5.949714518692909e-34,1.827088870118895e-36,1.0645190383391743e-40,2.354844105912871e-37,2.6869259939144663e-35,3.6642783345579207e-66,3.252125802955474e-56,3.67370333348227e-26,2.502957252265631e-79,1.0853078688064946e-35,1.0194784829323793e-35,6.2585302209631525e-53,5.279639571301286e-69,3.5742199823193857e-66,1.2381538393435313e-52,1.706739445178365e-67,5.536710988507597e-94,3.206810305084237e-98
3.347848513622776e-20,0.6474732987142638,2.729914946861442e-25,3.038953326261127e-28,2.4306562984162205e-33,3.565337829673796e-38,0.0,0.0,1.852606230920602e-20,2.5472865249020996e-37,5.817875063324912e-49,1.3653920552221654e-50,2.3348435804326387e-58,2.234380832525004e-65,2.1468277369942456e-45,1.79211427184202e-37,4.4338367713011963e-35,9.421538646309255e-51,6.088691850446185e-63,1.0603003179479538e-61,2.3274226198326392e-36,1.1803818586667732e-55,7.452369619329655e-26,2.23933115161263e-80,3.390945772949375e-52,4.070009127847762e-57,9.139009660417182e-55,2.5146812629067943e-72,2.3432977996125265e-82,1.4669764978186912e-83,1.3707137187976624e-66,1.4184916336376283e-76,1.8620985256237303e-65,1.5876824849528812e-106,3.76,0.0,0.9068401706858592,0.9999999999999764,1.993020534784794e-46,1.4992348780575035e-49,6.173432016213205e-17,6.173432016213205e-17,3.691010713494871e-36,3.3843305780908106e-40,2.3590650181062245e-14,1.0343251066507478e-39,2.279318026720599e-41,1.852633530069575e-20,3.0045315866335223e-33,3.3808685127051152e-43,8.834886561169434e-34,1.3090835718584511e-18,7.67589436753268e-39,2.4306525152903513e-33,7.464254198851546e-36,4.348907615725582e-40,9.620306539364054e-37,1.0976969407502288e-34,3.010927112690515e-65,2.6662892184275028e-55,7.452369619351946e-26,4.1298260717498443e-78,4.433836771311622e-35,4.1649022504090967e-35,5.1311211996145515e-52,8.772200111405049e-68,5.938619957357218e-65,1.0155432747461988e-51,2.80459424295069e-66,1.8287152716738225e-92,1.0591744792948038e-96
6.74284982321207e-20,0.6474732987142638,5.498279417332108e-25,6.120708812128001e-28,9.825101386703436e-33,1.4411665594920733e-37,0.0,0.0,3.731305507347073e-20,1.0296539409729061e-36,4.7114660648773206e-48,1.1057298864961012e-49,1.8908168676677393e-57,1.80945952840713e-64,8.677820961133504e-45,7.244012421188514e-37,1.7922277139104316e-34,7.629806265655338e-50,4.930780526276517e-62,8.586586876160946e-61,9.407814352224464e-36,9.559038326143273e-55,1.5009702191007888e-25,7.349707671794293e-79,2.74607580313813e-51,3.309663829805637e-56,7.431511834680447e-54,4.099565135547649e-71,7.690938011191296e-81,4.8147637532277036e-82,2.2219860062319336e-65,2.3096464459714964e-75,3.0356835443104125e-64,1.0453986651799658e-104,3.76,0.0,0.9068401706858591,0.9999999999999525,1.6139997016153812e-45,1.2141192745398857e-48,1.2433813779133637e-16,1.2433813779133637e-16,1.4919655445638225e-35,1.3680005304515642e-39,4.751356303781708e-14,4.1809074554379244e-39,9.213367896170407e-41,3.7313604901392435e-20,1.2144797056434968e-32,1.3717667168573708e-42,3.571202405706819e-33,2.636604940503636e-18,3.1027192303481844e-38,9.825086094704572e-33,3.017170890330729e-35,1.7578979914083066e-39,3.8886817186777814e-36,4.437066541152167e-34,2.449227921613949e-64,2.159230137298126e-54,1.5009702191097992e-25,6.730788746635196e-77,1.7922277139146525e-34,1.6835200806670903e-34,4.1553149807481766e-51,1.4300900170578034e-66,9.681449359974624e-64,8.225847875695065e-51,4.547382997194931e-65,5.963275662284392e-91,3.453872503994759e-95
1.3532852442390656e-19,0.647473298714264,1.1035008410583707e-24,1.2284219784106285e-27,3.9506300552268917e-32,5.794867382196972e-37,0.0,0.0,7.488704060199856e-20,4.1401932108264304e-36,3.7921977772967336e-47,8.899876089742276e-49,1.521893914582754e-56,1.4564104478724575e-63,3.4893136420120233e-44,2.9127855342223765e-36,7.206468812592869e-34,6.1411318607254335e-49,3.9687211450767166e-61,6.911232134104711e-60,3.782840773958744e-35,7.693945662413759e-54,3.0124367334254557e-25,2.381716257760898e-77,2.2102807095572462e-50,2.6693637796104007e-55,5.993712296426766e-53,6.620808658064828e-70,2.4922941995070057e-79,1.5602528269894248e-80,3.578439963014661e-64,3.727780420505027e-74,4.902631358796817e-63,6.7857636613154915e-103,3.76,0.0,0.906840170685859,0.9999999999999046,1.2990873746604106e-44,9.77228818139069e-48,2.49545773049745e-16,2.49545773049745e-16,5.999127835543847e-35,5.50066996607081e-39,9.535938874252373e-14,1.6811244995319283e-38,3.704654709642385e-40,7.4888144102759e-20,4.8833694816279793e-32,5.557355384262508e-42,1.435964780615335e-32,5.29164767779399e-18,1.2475897562676581e-37,3.9506239063820225e-32,1.2131911450008e-34,7.068430508946552e-39,1.5636218160359464e-35,1.7841249412687232e-33,1.9889000836500215e-63,1.7379362632729255e-53,3.012436733461686e-25,1.0936639164098649e-75,7.20646881260989e-34,6.769360200410861e-34,3.3445590007384797e-50,2.3095991975117603e-65,1.5635566574229195e-62,6.621563108386156e-50,7.324231668297267e-64,1.9381107962131933e-89,1.1225353258489736e-93
2.7112857680747834e-19,0.647473298714264,2.2108466606327975e-24,2.461124172904099e-27,1.5843793483932212e-31,2.3240010271346537e-36,0.0,0.0,1.5003501165904768e-19,1.660402652208544e-35,3.0429998920058435e-46,7.141590067337685e-48,1.221224024346544e-55,1.1686776628740756e-62,1.399370833800494e-43,1.1681572767295399e-35,2.8901163110431925e-33,4.9278715632288595e-48,3.1846487925516636e-60,5.545828533414585e-59,1.5170883420463072e-34,6.173906846305028e-53,6.0353697620308665e-25,7.66950549304306e-76,1.773611070796548e-49,2.1441781541187098e-54,4.814447257381543e-52,1.0642756593611657e-68,8.025584437103535e-78,5.024262708914818e-79,5.744188645513477e-63,5.990448668857814e-73,7.88083215966876e-62,4.373600794399529e-101,3.76,0.0,0.9068401706858588,0.9999999999998089,1.0424358044994433e-43,7.841645828348242e-47,4.999610435665622e-16,4.999610435665622e-16,2.4059185795082594e-34,2.2060146798510297e-38,1.9105104011672483e-13,6.742061144427619e-38,1.48573223366432e-39,1.500372225053851e-19,1.9584495761659097e-31,2.262068339215614e-41,5.758861021208262e-32,1.0601733152374638e-17,5.003392920786569e-37,1.584376882431911e-31,4.865439104442665e-34,2.8347567778953106e-38,6.270822829247359e-35,7.155138983863171e-33,1.6241300276008883e-62,1.3945843998720252e-52,6.03536976217617e-25,1.785121381341444e-74,2.890116311050058e-33,2.7148162073608535e-33,2.6837979651227895e-49,3.7126132555608384e-64,2.5133716605469823e-61,5.313661233529744e-49,1.175766298070122e-62,6.326062976263821e-88,3.663995463096171e-92
