Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977)
0.0,0.47152076870020726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8455728986470036,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1956404263148761e-20,0.47152076870020726,4.111807533447096e-30,2.994982386459339e-35,7.546860147302779e-38,3.011179477364921e-32,0.0,0.0,5.352474188259782e-24,2.0214881395396854e-42,1.3386351678628323e-55,2.0479740682664457e-57,6.508130866529764e-68,7.073496332051152e-77,1.278048746701892e-54,3.609087977410301e-44,1.7026323499632605e-41,1.0218138327856639e-57,7.055665303812803e-76,8.602462197755886e-75,1.7765060643896283e-44,1.3551508368872264e-66,2.1244513336397453e-32,9.761864233019475e-76,2.6988900680748536e-60,2.628774421532445e-68,1.0586227670142151e-66,6.4597752955120745e-78,9.768607624649032e-95,5.742357421878203e-97,8.93935244692524e-76,5.31102161173057e-91,8.995828956037008e-75,2.456583066333501e-90,3.76,0.0,0.8455728986470036,0.9999999999999996,2.1529782928042973e-51,4.1257563496541424e-57,7.07010495296319e-21,7.07010495296319e-21,4.499308591537285e-44,8.13516812034476e-50,4.4721359537338085e-16,3.0515592730188723e-47,1.3586005653294344e-49,5.352478300067239e-24,1.7728896942109113e-38,4.646274951970681e-47,8.562118359030865e-39,2.0663008822828813e-23,3.914911309023936e-46,7.546859640655237e-38,2.808145033602246e-43,7.31093203395084e-48,2.0600544345785077e-44,2.123435709180636e-40,7.070913589809971e-54,3.269721043003742e-55,2.1244513336434727e-32,9.381779314392018e-67,1.7026323499632618e-41,4.1762903548801636e-38,2.064896901996376e-61,7.662595374046871e-78,4.3513373249186104e-76,5.829580668912328e-59,2.2006126319388704e-73,5.28280527668003e-81,1.5910593151898134e-85,1.704377901582413e-89,2.1838749194483768e-72,2.800959863703581e-72,1.7099629996696085e-85,4.973186703692489e-56,8.641228229776705e-63,8.035433729920929e-54,3.6639404292584216e-61,2.4300726017184984e-85,3.0111794773538914e-32,6.78749233505726e-64
3.347793193681653e-20,0.47152076870020726,1.1513061094983989e-29,8.385950683728855e-35,4.558303528970735e-37,8.431302536644741e-32,0.0,0.0,1.4986927727127414e-23,1.2209788362819717e-41,1.5892276712866895e-54,2.431354814990201e-56,7.726452965216466e-67,8.39765484538752e-76,7.719414430064853e-54,2.1798891383490495e-43,1.0283899393777966e-40,1.2130973822801351e-56,8.376485924682737e-75,1.021284312117256e-73,1.0730096628913356e-43,1.6088350735520717e-65,5.948463734179592e-32,2.1836899814694064e-74,3.2041222888182817e-59,3.972603906546521e-67,1.5965746660072094e-65,2.0310567093135922e-76,4.666581085588739e-93,2.74319576130386e-95,1.999697384966791e-74,1.4984302620982208e-89,2.8284316892234788e-73,1.4148656425840776e-88,3.76,0.0,0.8455728986470036,0.9999999999999988,2.556015829217188e-50,4.898097938309342e-56,1.9796293868296933e-20,1.9796293868296933e-20,2.7175823892833638e-43,4.9136415446872346e-49,1.2521980669975036e-15,1.843141800902934e-46,8.205947415265013e-49,1.4986939240188045e-23,1.0708253753033064e-37,2.8064211393022485e-46,5.17151948885458e-38,5.785642470392043e-23,2.3646064306501125e-45,4.558303222955745e-37,1.6961196002956436e-42,4.41580294860898e-47,1.244272878485345e-43,1.2825551683449537e-39,4.2708318082392775e-53,1.9749115216912115e-54,5.948463734202106e-32,1.113804840203194e-65,1.0283899393777974e-40,2.5224793743472014e-37,2.4514456020499315e-60,2.409192773796321e-76,1.3681300763106544e-74,6.921491429697355e-58,4.923099132777334e-72,1.1817424091707627e-79,3.559136045686625e-84,3.812625190721217e-88,2.592696304346208e-71,3.3253766673906913e-71,3.825118831568602e-84,5.9041672544918046e-55,1.0258866159536012e-61,9.539666924160805e-53,4.349830077550047e-60,5.435975207139854e-84,8.431302536578127e-32,8.058110900362062e-63
7.652098728415208e-20,0.47152076870020726,2.6315568223386246e-29,1.9167887284838686e-34,2.1946269308354316e-36,1.9271548655296234e-31,0.0,0.0,3.425583480486274e-23,5.878487509781427e-41,1.5603131516607146e-53,2.3871185775186257e-55,7.585877339490347e-66,8.244867324565637e-75,3.716565755387241e-53,1.0495227838207575e-42,4.9512548736929675e-40,1.1910262034856539e-55,8.224083711656674e-74,1.0027029937694239e-72,5.166079635245038e-43,1.5795638154743754e-64,1.3596488535212514e-31,4.314603420148907e-73,3.1458262633474728e-58,4.2735460039949376e-66,1.7164150553827805e-64,4.531175790204461e-75,2.429879096436153e-91,1.4283751965516154e-93,3.9510650548619514e-73,3.262296269812352e-88,6.310075082681501e-72,6.344850947484064e-87,3.76,0.0,0.8455728986470036,0.9999999999999971,2.50951149809246e-49,4.8089816011566934e-55,4.524867169896442e-20,4.524867169896442e-20,1.3083989384113076e-42,2.365706889394754e-48,2.862167010053897e-15,8.873934365931904e-46,3.9508104449849286e-48,3.425586112042874e-23,5.155563230764067e-37,1.351243358501009e-45,2.4898640188060816e-37,1.322432564661027e-22,1.1384562086636436e-44,2.1946267835025147e-36,8.166085757713636e-42,2.126019035623979e-46,5.990638295753196e-43,6.174951042295033e-39,2.0562216719078208e-52,9.50834896880914e-54,1.3596488535320907e-31,1.0935401968811103e-64,4.951254873692976e-40,1.2144652351985247e-36,2.4068438289664597e-59,5.374745213505322e-75,3.0522229392274335e-73,6.795830056264208e-57,9.727616041875605e-71,2.3349238598874294e-78,7.032253060469187e-83,7.533104894559535e-87,2.5455246060380196e-70,3.2650378804431125e-70,7.557790222782054e-83,5.796746421415012e-54,1.0072215640577563e-60,9.366101555591734e-52,4.270688964140406e-59,1.0740570969138856e-82,1.9271548654975523e-31,7.911501066286923e-62
1.6260709797882318e-19,0.47152076870020726,5.592058250150467e-29,4.073176051334158e-34,9.58451238707229e-36,4.095204089296664e-31,0.0,0.0,7.27936489603337e-23,2.5672899372154215e-40,1.3800793126594396e-52,2.1113793528692142e-54,6.709622601229393e-65,7.292491778337762e-74,1.623121908288813e-52,4.5835417312061163e-42,2.1623430844531405e-39,1.0534491890291439e-54,7.274109190370493e-73,8.868794427377348e-72,2.256162701774828e-42,1.3971063067943664e-63,2.8892538137091267e-31,7.677606257776911e-72,2.7824477045812383e-57,3.928125047788792e-65,1.5772798632015532e-63,8.486390780110402e-74,9.69700960755404e-90,5.7002688178663124e-92,7.030709160521678e-72,6.058432753051855e-87,1.1818071965069366e-70,2.387091437519199e-85,3.76,0.0,0.8455728986470036,0.9999999999999939,2.219634500749036e-48,4.253489766239068e-54,9.615342736029939e-20,9.615342736029939e-20,5.714121911172421e-42,1.0331663512822322e-47,6.082104895399275e-15,3.87548027672676e-45,1.7254227190061212e-47,7.279370488090646e-23,2.2515699116465526e-36,5.90187074783809e-45,1.0873890315968218e-36,2.8101691999046332e-22,4.971937362455053e-44,9.584511743631857e-36,3.5663441926731e-41,9.284883684664977e-46,2.616269131913563e-42,2.696763350657076e-38,8.980060258966501e-52,4.1525459062274834e-53,2.8892538137564643e-31,9.672239201872699e-64,2.1623430844531458e-39,5.303888750691327e-36,2.1288261100810987e-58,1.0066280272759381e-73,5.716475768031986e-72,6.010941447593869e-56,1.7310099039053327e-69,4.154872254144031e-77,1.2513518588950436e-81,1.3404757667576038e-85,2.25148768680538e-69,2.8881796140229376e-69,1.3448683887594314e-81,5.127156563180008e-53,8.908760689265246e-60,8.284210758190669e-51,3.7773760245215186e-58,1.9112272173072001e-81,4.0952040891566004e-31,6.997633098876997e-61
3.3477931936816536e-19,0.47152076870020726,1.1513061114299713e-28,8.385950707548029e-34,4.0013452500979174e-35,8.431302536977706e-31,0.0,0.0,1.498692772712768e-22,1.0717930115839592e-39,1.1600398183064716e-51,1.774741573489657e-53,5.6398420844132194e-64,6.129778745135367e-73,6.776214454810123e-52,1.9135384455284721e-41,9.027356719503394e-39,8.854875184352359e-54,6.114327547054017e-72,7.45475610114187e-71,9.419035153393807e-42,1.1743520328278393e-62,5.9484637340100395e-31,1.2949405136256495e-70,2.3388149507503773e-56,3.36059368472309e-64,1.349243030245741e-62,1.4658129656291465e-72,3.446469092765252e-88,2.025964572201139e-90,1.1858318629243011e-70,1.0449633862294932e-85,2.0412780112398967e-69,8.265739659405406e-84,3.76,0.0,0.8455728986470036,0.9999999999999875,1.8657365408906436e-47,3.5753144405080164e-53,1.9796293868296933e-19,1.9796293868296933e-19,2.3855334151611306e-41,4.3132661373928206e-47,1.25219806630204e-14,1.6179367265481186e-44,7.203300206704497e-47,1.4986939240184724e-22,9.399861158694505e-36,2.4644463824866485e-44,4.539635153957281e-36,5.78564247039169e-22,2.0756859760396786e-43,4.0013449814751417e-35,1.488878496814334e-40,3.8762561657875363e-45,1.0922408612124965e-41,1.1258456130054742e-37,3.7489983852343e-51,1.7336062604520407e-52,5.948463734207663e-31,8.130099845214552e-63,9.027356719503435e-39,2.2142691461516296e-35,1.789406616917658e-57,1.7386978328635895e-72,9.873790298414178e-71,5.0526007872841284e-55,2.919627294303839e-68,7.007799345433552e-76,2.1105878113529302e-80,2.2609083086793692e-84,1.8925110629247074e-68,2.428177833707668e-68,2.26831710683984e-80,4.3096840248745404e-52,7.4883501850416865e-59,6.963378303394175e-50,3.175112152174244e-57,3.2235640528295046e-80,8.431302536392974e-31,5.881932259713813e-60
6.791237621468497e-19,0.47152076870020726,2.3355066876700443e-28,1.7011500062028935e-33,1.6346800953446641e-34,1.710349943292765e-30,0.0,0.0,3.040205338931678e-22,4.378624169768691e-39,9.510707297007215e-51,1.4550403792114624e-52,4.623883290612213e-63,5.02556296064929e-72,2.768304707134031e-51,7.817428921789964e-41,3.6879697753128856e-38,7.259761664844426e-53,5.012895913427196e-71,6.111859449075257e-70,3.84798319571051e-41,9.628047478689868e-62,1.2066883574312513e-30,2.1269436820910017e-69,1.917501801870738e-55,2.778603854467706e-63,1.1155203699100248e-61,2.4354701654772174e-71,1.1608657093958713e-86,6.824006265688456e-89,1.9477323956730405e-69,1.7441286885419e-84,3.3916139240943833e-68,2.750063630934897e-82,3.76,0.0,0.8455728986470036,0.9999999999999746,1.5296435392752584e-46,2.93125878972793e-52,4.015819613283092e-19,4.015819613283092e-19,9.74568238100434e-41,1.762109955527328e-46,2.5401732185984114e-14,6.609799447674872e-44,2.9427831764188525e-46,3.0402076744367016e-22,3.840149993238654e-35,1.0072411275291744e-43,1.8545890850387743e-35,1.1736589011365174e-21,8.479854491757461e-43,1.6346799856042624e-34,6.082554468570459e-40,1.583577123453621e-44,4.462160307465724e-41,4.599446683495851e-37,1.53158816713697e-50,7.082347951876825e-52,1.206688357511987e-30,6.665547052901748e-62,3.687969775312917e-38,9.04601196023524e-35,1.4670636559414814e-56,2.8888710689302267e-71,1.6405450243431966e-69,4.1424442292051313e-54,4.7955174399588844e-67,1.1510331467729302e-74,3.466646817496244e-79,3.7135486860413586e-83,1.5515949098499238e-67,1.9915685509668198e-67,3.725717656360591e-79,3.533339342362305e-51,6.139401962244115e-58,5.708998242705501e-49,2.603148773867229e-56,5.294713636523105e-79,1.710349943053883e-30,4.822363439669076e-59
1.3678126477042184e-18,0.47152076870020726,4.703907853791087e-28,3.426259893920341e-33,6.6076383082366114e-34,3.4447893227178965e-30,0.0,0.0,6.12323047136969e-22,1.7699098975978161e-38,7.702017350843701e-50,1.178329442821227e-51,3.7445405789502517e-62,4.069831181654925e-71,1.1189930239357529e-50,3.159929759787696e-40,1.4907363487443697e-37,5.8791432177167395e-52,4.059574339292324e-70,4.949542242463685e-69,1.5554163316642102e-40,7.797042472156282e-61,2.430372325372005e-30,3.4478673648882215e-68,1.5528426737432122e-54,2.2595145222768566e-62,9.070989609211761e-61,3.9704310506498105e-70,3.8100774949575106e-85,2.2397071241542076e-87,3.1573581468394344e-68,2.8795217011624616e-83,5.5291866779230346e-67,8.972097096652938e-81,3.76,0.0,0.8455728986470036,0.9999999999999488,1.2387449967907516e-45,2.3738093659369734e-51,8.08820006618989e-19,8.08820006618989e-19,3.9393606382022694e-40,7.122730177334313e-46,5.1161235182797416e-14,2.6717866183279466e-43,1.1895200142634397e-45,6.123235175270815e-22,1.5522500259787912e-34,4.074941383496129e-43,7.496545605006607e-35,2.3638482093309643e-21,3.427692766759773e-42,6.607637864654562e-34,2.458665767869398e-39,6.401071930090188e-44,1.8036765400791813e-40,1.8591698882870657e-36,6.190924251153246e-50,2.8627988581201433e-51,2.4303723256983523e-30,5.3979328191771346e-61,1.4907363487443944e-37,3.6565426675939903e-34,1.1880661847724591e-55,4.709587853992084e-70,2.6745024378191776e-68,3.3546654540487867e-53,7.773757083582842e-66,1.8658743322235732e-73,5.619583877981306e-78,6.019822447596642e-82,1.2565217854254027e-66,1.614122286488178e-66,6.03954886345718e-78,2.8613898052325377e-50,4.971846970399489e-57,4.623294792695551e-48,2.1080973671635914e-55,8.582958969483438e-78,3.4447893217522954e-30,3.905274944537162e-58
2.745190418818956e-18,0.47152076870020726,9.440710240596758e-28,6.876479736640304e-33,2.6569023022871412e-33,6.91366808250873e-30,0.0,0.0,1.2289280736246475e-21,7.116729854776045e-38,6.1992536243070784e-49,9.484220789419825e-51,3.0139320383927907e-61,3.275754201666669e-70,4.499421733565385e-50,1.2705938582655452e-39,5.994185293329409e-37,4.732045934704209e-51,3.267500632366741e-69,3.983822197090364e-68,6.254260659926263e-40,6.275738108835639e-60,4.877740260774549e-30,5.552684099302395e-67,1.2498628780828991e-53,1.822380340864611e-61,7.315987549472195e-60,6.412256752329101e-69,1.2346782702621956e-83,7.2579040318161e-86,5.084827959449086e-67,4.7755843612631976e-82,8.929651239891683e-66,2.8988859196729567e-79,3.76,0.0,0.8455728986470036,0.9999999999998973,9.970497417942843e-45,1.9106482944519895e-50,1.6232960972003486e-18,1.6232960972003486e-18,1.5839995864786862e-39,2.8640184773609324e-45,1.0268024097996754e-13,1.0743136482667397e-42,4.7830076869011096e-45,1.2289290176929663e-21,6.241529083990904e-34,1.6413401136622976e-42,3.0143280167652645e-34,4.7442268257188565e-21,1.3782601859599275e-41,2.6569021239297393e-33,9.886186916508982e-39,2.5738428740864178e-43,7.2525040390529245e-40,7.475640351480195e-36,2.489343412478384e-49,1.1511192954103284e-50,4.877740262086777e-30,4.3447259420288314e-60,5.994185293329606e-37,1.4702797245640277e-33,9.56259024922455e-55,7.605996084926243e-69,4.319328567971167e-67,2.7001292898211727e-52,1.2519409453962081e-64,3.004933090084931e-72,9.050166589722015e-77,9.694738470576126e-81,1.0113580472142654e-65,1.3012762463943407e-65,9.726507224835492e-77,2.3030954469625274e-49,4.0017751221426428e-56,3.7212298666821596e-47,1.6967801596425154e-54,1.3822590822405727e-76,6.91366807862609e-30,3.143305031237784e-57
5.499945961048431e-18,0.47152076870020726,1.891431523246245e-27,1.37769196912205e-32,1.0655366560724152e-32,1.3851425605852676e-29,0.0,0.0,2.4621381266003104e-21,2.8541269752880494e-37,4.9745106181217067e-48,7.610490385895887e-50,2.418490670520015e-60,2.628586446016847e-69,1.804469356250796e-49,5.09564965647904e-39,2.403936399110772e-36,3.79716884744932e-50,2.6219667339542868e-68,3.196766420665822e-67,2.5082382532753302e-39,5.03588459996676e-59,9.772476129663781e-30,8.913287713340686e-66,1.0029362460387814e-52,1.463835030602299e-60,5.876561487675937e-59,1.0307515452118422e-67,3.975860760174777e-82,2.337160728126737e-84,8.162274994094942e-66,8.085701359849978e-81,1.4354153556202748e-64,9.321189805232504e-78,3.76,0.0,0.8455728986470036,0.9999999999997943,8.000696257872386e-44,1.5331749278686799e-49,3.2522482783630677e-18,3.2522482783630677e-18,6.352546801266495e-39,1.1485995057470322e-44,2.0571825178848177e-13,4.3084782279245175e-42,1.9182000289811216e-44,2.4621400180209846e-21,2.5031323218647515e-33,6.605159866019902e-42,1.2088803538365345e-33,9.504984058490635e-21,5.527439787524058e-41,1.0655365845471206e-32,3.964803124001063e-38,1.0322261136004382e-42,2.9085784958079906e-39,2.9980661370823506e-35,9.983380468196724e-49,4.616506959876811e-50,9.772476134926408e-30,3.4863689465750325e-59,2.4039363991109293e-36,5.89647929404773e-33,7.673376444031896e-54,1.2226415862317507e-67,6.94319448017146e-66,2.1666847793349497e-51,2.0096435459627555e-63,4.8235831010438565e-71,1.4527521674351136e-75,1.5562202304393278e-79,8.11551138788004e-65,1.0475467559704649e-64,1.5613198093252278e-75,1.8480890465640808e-48,3.2111727363322855e-55,2.986052613083778e-46,1.3615592157797591e-53,2.2188319511848246e-75,1.3851425590281562e-29,2.5223043365668576e-56
