Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499)
0.0,0.8687440270099398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5836423790056877,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.328994974023797e-23,0.8687440270099398,2.6270564920606676e-25,1.3182837737568393e-25,2.123736098376962e-36,2.3163702066063126e-23,0.0,0.0,1.0128278474444474e-20,4.250856794890597e-39,4.458006866952273e-53,1.9992387086055942e-54,8.831100397647113e-60,3.924483326436156e-65,1.763732271762188e-44,9.645840132849826e-39,4.738505530860304e-36,8.083837345717285e-54,1.2986375794619048e-61,1.0668995760638411e-58,5.348525113882412e-36,1.1126892969008562e-55,1.7297430848089262e-24,1.0679971135983251e-70,1.923335603445751e-54,3.205168437558841e-57,1.265020000847632e-54,1.3222822276950627e-68,1.4802945654184837e-87,1.7616041090206738e-87,8.941717770138892e-71,7.64903360476661e-77,2.8829199644613312e-70,2.462494044216621e-86,3.76,0.0,0.5836423790056876,0.9999999999999996,7.323036608573452e-52,3.0157079910461937e-52,3.226166290935834e-17,3.226166290935834e-17,6.129061712040388e-36,1.0834569561038124e-38,4.559765188902966e-16,8.569131695281826e-40,8.684474715747547e-41,1.0128541180093475e-20,3.6656412023428466e-35,7.862387636776773e-38,8.440337593680681e-35,1.9453092554704962e-18,2.6930434883569424e-39,2.122863105295902e-36,3.044809708796433e-36,6.8640997268098265e-40,5.938622103025261e-37,2.9017280545148283e-36,6.375303178018565e-43,8.823867022539697e-44,1.7297430848089545e-24,1.1191355787353304e-58,4.7385059990192425e-36,1.0204779648313784e-38,7.725669677016173e-52,1.579560266331738e-71,6.296782568289228e-68,2.558653692967125e-54,1.009708653301011e-71,7.581173228776257e-76,6.937183653164026e-80,5.908788478579046e-79,3.8434370948892043e-63,1.7895635711389054e-59,3.1996506140457287e-80,4.788227598370661e-53,1.4021514047501808e-59,1.1604475896120999e-53,2.3980870493501746e-58,1.0462983513402097e-70,2.3163702066061818e-23,1.550537801445631e-40,1.9719017628487284e-57,3.9845599870161166e-53,6.648509281983139e-40,1.093966722172365e-45
1.7721185927266632e-22,0.8687440270099398,7.355758180468962e-25,3.691194566519176e-25,1.282736603419691e-35,6.485836578497675e-23,0.0,0.0,2.835917972844452e-20,2.5675175041139213e-38,5.29254575246188e-52,2.3734961948626073e-53,1.0484282395401724e-58,4.659146605146928e-64,1.0652942921448462e-43,5.82608744024123e-38,2.862057340639595e-35,9.597131696835505e-53,1.5417425343409378e-60,1.2666231767029916e-57,3.2305091687849777e-35,1.3209847332806953e-54,4.843280637464965e-24,2.3890668232348645e-69,2.2833840284107504e-53,4.843650542838956e-56,1.906995714124645e-53,4.157466889029519e-67,7.071544782784219e-86,8.438346691975204e-86,2.0002264983272972e-69,2.1571498610826449e-75,8.484351043190538e-69,1.3290938645472567e-84,3.76,0.0,0.5836423790056876,0.9999999999999988,8.693909062723413e-51,3.580248526970029e-51,9.033265614620335e-17,9.033265614620335e-17,3.7019532740721087e-35,6.544080014866862e-38,1.2767342528926072e-15,5.175755543950242e-39,5.245422728312422e-40,2.835991530426132e-20,2.214047286214941e-34,4.74888213272203e-37,5.09796390658307e-34,5.446865915317391e-18,1.6265982669675921e-38,1.2822093155987242e-35,1.8390650641129617e-35,4.145916234993922e-39,3.586927750227045e-36,1.752643744926911e-35,3.850683119523003e-42,5.32961568161446e-43,4.843280637465131e-24,1.3286377590745226e-57,2.8620576234075935e-35,6.163686907581101e-38,9.171915040553522e-51,4.966333042888474e-70,1.9798091764907394e-66,3.7039361577844387e-53,2.731969159520564e-70,1.6958781265842156e-74,1.5518202344780027e-78,1.32177234750406e-77,4.56292851905168e-62,2.124569871701437e-58,7.15749043759438e-79,5.68458380478498e-52,1.664634147719477e-58,1.3776833783874056e-52,2.847008944988379e-57,2.3405275600139727e-69,6.485836578496885e-23,9.365248320731495e-40,2.341041772854363e-56,4.73046961658526e-52,4.015699606317773e-39,6.607559001924677e-45
4.0505567833752304e-22,0.8687440270099398,1.681316156808191e-24,8.437016152043948e-25,6.175824574080293e-35,1.48247693222804e-22,0.0,0.0,6.482098223644454e-20,1.2361491559541847e-37,5.1962528041424846e-51,2.3303126387694205e-52,1.0293530633754058e-57,4.574377765299942e-63,5.128933446291713e-43,2.805010310632631e-37,1.3779574083741314e-34,9.422520810167883e-52,1.513691962632063e-59,1.2435781458600108e-56,1.5553511031170067e-34,1.296950644467635e-53,1.1070355742776925e-23,4.720393450519951e-68,2.241839979376225e-52,5.210578225570765e-55,2.0498401491360407e-52,9.275079927489885e-66,3.682138704838907e-84,4.384106348889051e-84,3.952110493717706e-68,4.69227212832847e-74,1.8644154557688655e-67,5.86598669853429e-83,3.76,0.0,0.5836423790056875,0.9999999999999971,8.535731472408796e-50,3.5151092343633656e-50,2.0647464261989338e-16,2.0647464261989338e-16,1.7823311458609165e-34,3.1506928283496394e-37,2.918249720896335e-15,2.491903496987984e-38,2.5254452473407173e-39,6.482266355259534e-20,1.0659684616410925e-33,2.2863823249379718e-36,2.454450172242245e-33,1.244997923501118e-17,7.831370464141971e-38,6.173285910200473e-35,8.854306633178765e-35,1.9960802005574536e-38,1.7269513075594253e-35,8.438225182528431e-35,1.853938164167483e-41,2.5659805301552674e-42,1.1070355742777729e-23,1.3044644305737113e-56,1.3779575445147512e-34,2.967549921729011e-37,9.005040575529796e-50,1.10795798617207e-68,4.416845358019931e-65,3.928516285282814e-52,5.854243243413554e-69,3.350769398223866e-73,3.066135279252777e-77,2.611599420976848e-76,4.479910277800425e-61,2.085915298659944e-57,1.4141994964385187e-77,5.581158088658766e-51,1.6343476773770024e-57,1.3526177104516152e-51,2.7952102647221017e-56,4.624488045960981e-68,1.4824769322276589e-22,4.508963926603719e-39,2.298448694777523e-55,4.6444031208651364e-51,1.9333864992006297e-38,3.1812552280826206e-44
8.607433164672364e-22,0.8687440270099399,3.572796838649328e-24,1.7928659323093892e-24,2.697144844938828e-34,3.1502634809845846e-22,0.0,0.0,1.377445872524443e-19,5.398588129511042e-37,4.596026759576174e-50,2.0611351390633746e-51,9.104511287476953e-57,4.045985330235127e-62,2.2399399851454904e-42,1.2250216968718256e-36,6.017902024192118e-34,8.334112949940291e-51,1.338843398945376e-58,1.0999307869387717e-55,6.792626894630665e-34,1.1471381575328988e-52,2.3524505953400376e-23,8.39968793554516e-67,1.982882073728131e-51,4.7894190928756486e-54,1.883569495913103e-51,1.7371198211202775e-64,1.4694448970849928e-82,1.7482029357686813e-82,7.03256946312974e-67,8.698681726005938e-73,3.4707427684756007e-66,2.193166589770038e-81,3.76,0.0,0.5836423790056873,0.9999999999999938,7.54975782344083e-49,3.1090743104487858e-49,4.3875861556727334e-16,4.3875861556727334e-16,7.783908374286868e-34,1.3759903342515858e-36,6.2012806569002156e-15,1.0882797253008204e-37,1.1029282889013011e-38,1.377481600492567e-19,4.655364326973271e-33,9.985232300393793e-36,1.071922874397345e-32,2.6456205874398747e-17,3.4201652302132958e-37,2.696036143725782e-34,3.866908330170163e-34,8.717406653060313e-38,7.542050070838764e-35,3.685194629233116e-34,8.096635036080312e-41,1.1206311118632891e-41,2.3524505953403876e-23,1.1537840162525766e-55,6.017902618753971e-34,1.296007015335191e-36,7.964856410216041e-49,2.075080085613944e-67,8.272262529668178e-64,3.590682176994703e-51,1.078762898469466e-67,5.962515113215503e-72,5.4560239064481664e-76,4.647201632404161e-75,3.9624299073418633e-60,1.8449684595962152e-56,2.5164924435210734e-76,4.936471124811855e-50,1.4455620122416474e-56,1.1963750469859676e-50,2.4723318243970852e-55,8.229029392338904e-67,3.1502634809829206e-22,1.9691830078357673e-38,2.032951841428682e-54,4.1079219642123506e-50,8.44360678811789e-38,1.389337737164465e-43
1.772118592726663e-21,0.8687440270099399,7.355758219605783e-24,3.69119456651954e-24,1.126004879359542e-33,6.485836578497672e-22,0.0,0.0,2.8359179728444275e-19,2.2538042726509787e-36,3.863237422811433e-49,1.7325082771296635e-50,7.652890346017833e-56,3.4008944589790415e-61,9.351308504950721e-42,5.1142244384360576e-36,2.512355632461707e-33,7.005324102400329e-50,1.1253785482024817e-57,9.245581022236965e-55,2.835788015380456e-33,9.642387416655174e-52,4.8432806374645396e-23,1.4167301427493198e-65,1.6667318605758853e-50,4.0974488685543817e-53,1.6112094971639639e-50,3.000442499793615e-63,5.222637313703931e-81,6.211310260391092e-81,1.1861456301538765e-65,1.4950811364265267e-71,5.9774291766951675e-65,7.571554271347845e-80,3.76,0.0,0.5836423790056868,0.9999999999999872,6.34602635770717e-48,2.6133642937123842e-48,9.033265614620328e-16,9.033265614620328e-16,3.24962851971983e-33,5.744488781260107e-36,1.2767342528893677e-14,4.5433536248386805e-37,4.6045084943015616e-38,2.835991530425526e-19,1.943522965480247e-32,4.168637926537605e-35,4.475066992168583e-32,5.4468659153173856e-17,1.4278516575268302e-36,1.1255420184278746e-33,1.6143581076026918e-33,3.6393456751651732e-37,3.1486574390210057e-34,1.5384962145031163e-33,3.3801857449825036e-40,4.678414295357275e-41,4.843280637466002e-23,9.698249863620526e-55,2.5123558806795795e-33,5.410574169530025e-36,6.694941731386381e-48,3.5841827996164677e-66,1.4288276350136656e-62,3.0641588210908715e-50,1.8491150775553122e-66,1.0056653237961962e-70,9.202381787434686e-75,7.838184802311553e-74,3.3306610914281903e-59,1.550807158266725e-55,4.244432324259313e-75,4.149401425098527e-49,1.215081972934758e-55,1.005625313995462e-49,2.07814386757231e-54,1.3879460850399898e-65,6.485836578490724e-22,8.220951423263074e-38,1.7088185172603877e-53,3.452955931785134e-49,3.525039621306828e-37,5.800211561007926e-43
3.594869145245517e-21,0.86874402700994,1.492168105061543e-23,7.48785183494048e-24,4.600097338529083e-33,1.3156982773523838e-21,0.0,0.0,5.752862173484353e-19,9.207525852004687e-36,3.1673154461951363e-48,1.4204149593949549e-49,6.274301908155963e-55,2.788258750879614e-60,3.8203146499850015e-41,2.089327556135022e-35,1.0263792520061037e-32,5.74338794300227e-49,9.226533263612332e-57,7.580085916507e-54,1.1585119337673855e-32,7.905411772683575e-51,9.82494072171279e-23,2.3269835136392212e-64,1.3664874789971503e-49,3.3878499614131664e-52,1.3320916439327088e-49,4.985280088816567e-62,1.7591280834389554e-79,2.0918163692931032e-79,1.9482477593001753e-64,2.477987339579943e-70,9.917225615980641e-64,2.5153529530054167e-78,3.76,0.0,0.5836423790056858,0.9999999999999741,5.202855818840027e-47,2.1425939408051904e-47,1.8324624532515507e-15,1.8324624532515507e-15,1.3275792830714226e-32,2.3468111051971467e-35,2.58994662728234e-14,1.8561082017250407e-36,1.8810919613400993e-37,5.753011390290375e-19,7.939925469906349e-32,1.7030246129621097e-34,1.828210884140834e-31,1.10493565710724e-16,5.833239917520494e-36,4.598206400595027e-33,6.595179621631453e-33,1.4867914572348738e-36,1.286329302001153e-33,6.285259035195825e-33,1.380916169569044e-39,1.9112848925558837e-40,9.824940721718764e-23,7.951211181766411e-54,1.0263793534112048e-32,2.2103960909383245e-35,5.488917722731809e-47,5.955171738402333e-65,2.3740184852078335e-61,2.530477470560359e-49,3.0608495908795113e-65,1.6518083141571141e-69,1.511493971885344e-73,1.287424207436477e-72,2.7306771928119538e-58,1.2714454046398097e-54,6.971492837805043e-74,3.401929984563524e-48,9.961976135732213e-55,8.244723897350027e-49,1.7037878987982527e-53,2.2797056124188974e-64,1.3156982773495453e-21,3.3585268994418858e-37,1.4009926629196783e-52,2.830941891684926e-48,1.4400937045141398e-36,2.3695756789366003e-42
7.240370250283224e-21,0.8687440270099405,3.005352698902165e-23,1.5081166371784928e-23,1.8594328934622845e-32,2.649927516357613e-21,0.0,0.0,1.1586750574764018e-18,3.721829165052749e-35,2.5649741665272753e-47,1.1502888609645292e-48,5.0810924130917344e-54,2.25800422698453e-59,1.5442322631239168e-40,8.445396036629961e-35,4.148789040530697e-32,4.651144463630269e-48,7.471885851498453e-56,6.138550102186003e-53,4.682890466409509e-32,6.402007415160155e-50,1.978826089020628e-22,3.7721405521334036e-63,1.1066169890714856e-48,2.754943324633471e-51,1.0832001804394025e-48,8.127264764485771e-61,5.773634510047096e-78,6.865038258886357e-78,3.1581935735190474e-63,4.0347600062626675e-69,1.6155877943738015e-62,8.200226946348776e-77,3.76,0.0,0.5836423790056839,0.9999999999999478,4.213407535254863e-46,1.7351281237626716e-46,3.69073423683058e-15,3.69073423683058e-15,5.366287723825786e-32,9.486185710011719e-35,5.216371376045407e-14,7.50268611754238e-36,7.603674468508115e-37,1.1587051110015782e-18,3.209444823415422e-31,6.883897781180654e-34,7.389920699465529e-31,2.225433788258239e-16,2.3578888401437957e-35,1.8586685461155257e-32,2.665877050909093e-32,6.0098487876824984e-36,5.1995487050387424e-33,2.540602194669843e-32,5.581883946887318e-39,7.725719123897428e-40,1.9788260890230424e-22,6.439096964055181e-53,4.148789450426337e-32,8.934774411480411e-35,4.4450678816688806e-46,9.70843167697466e-64,3.87024930195748e-60,2.056544388084446e-48,4.9806923358580285e-64,2.677652458494446e-68,2.450196863113162e-72,2.0869701191209367e-71,2.2113731883130592e-57,1.0296494538879569e-53,1.1301090312027242e-72,2.7549711024792945e-47,8.067466556399304e-54,6.676791170962617e-48,1.3797716141286244e-52,3.695501036913374e-63,2.6499275163461392e-21,1.3575702709789581e-36,1.1345601816255353e-51,2.292570141006861e-47,5.821089004817354e-36,9.578203756994217e-42
1.453137246035864e-20,0.868744027009941,6.031721997138184e-23,3.026779544548409e-23,7.476697883784341e-32,5.318385994368058e-21,0.0,0.0,2.325452737732264e-18,1.4965311380683133e-34,2.0645143569303166e-46,9.25852548337289e-48,4.0897053086172196e-53,1.817438243857274e-58,6.2092900124114945e-40,3.3958566021250883e-34,1.6682098261590748e-31,3.7436457047511717e-47,6.014023773623655e-55,4.940839164028286e-52,1.8829696604427483e-31,5.152892529778026e-49,3.971490122718121e-22,6.074916070588234e-62,8.907016263056898e-48,2.2219615959936937e-50,8.736264147920594e-48,1.3125554303630147e-59,1.8709805979912765e-76,2.2245749121338687e-76,5.086173388461608e-62,6.512118917198818e-68,2.608233064415019e-61,2.648503508863994e-75,3.76,0.0,0.5836423790056802,0.9999999999998953,3.3913169425496917e-45,1.3965820667383929e-45,7.407277803988613e-15,7.407277803988613e-15,2.157760691948155e-31,3.8143535522286623e-34,1.0469220873480025e-13,3.016797089852178e-35,3.057404061646518e-36,2.3255130549449473e-18,1.2905036478386964e-30,2.7679850256561404e-33,2.9714546112004624e-30,4.466430050560222e-16,9.480967322498938e-35,7.473624476717694e-32,1.0719374372139624e-31,2.4165337652819785e-35,2.090715665841567e-32,1.0215649685005077e-31,2.2444509850175358e-38,3.1064776807911836e-39,3.97149012272783e-22,5.1827454254302844e-52,1.6682099909763162e-31,3.5926334942738587e-34,3.5777773433306004e-45,1.5679142081884283e-62,6.250462960344747e-59,1.6582010453228985e-47,8.03638339156563e-63,4.3122767369578694e-67,3.945966512651109e-71,3.361001039111554e-70,1.7799055270524378e-56,8.287514591943868e-53,1.8200057554074227e-71,2.217440420326255e-46,6.493398938334963e-53,5.374062402072855e-47,1.1105602324641912e-51,5.951490493994802e-62,5.318385994321923e-21,5.458730351491985e-36,9.131927386861109e-51,1.845259898569493e-46,2.3406342867557068e-35,3.851353604359384e-41
2.911337688050947e-20,0.8687440270099422,1.2084461035829318e-22,6.064105359292353e-23,2.998490254885316e-31,1.0655302950388889e-20,0.0,0.0,4.659008098243702e-18,6.001759203564445e-34,1.6566427528636684e-45,7.429383621467824e-47,3.2817310931762204e-52,1.458379732516393e-57,2.4902030124149793e-39,1.3618903808487785e-33,6.69026752796899e-31,3.0040399114887755e-46,4.825875329885696e-54,3.964712265950479e-51,7.551550517139807e-31,4.134871737310021e-48,7.956818190108286e-22,9.751585684231113e-61,7.147319606792193e-47,1.784800389358876e-49,7.017387523706156e-47,2.1098945196412646e-58,6.024855641933436e-75,7.163355519184776e-75,8.164434705946579e-61,1.046480027791528e-66,4.1918981592382784e-60,8.514505619740624e-74,3.76,0.0,0.5836423790056725,0.9999999999997903,2.721318268718534e-44,1.1206691548896296e-44,1.4840364938304587e-14,1.4840364938304587e-14,8.65358545667822e-31,1.5297263755707207e-33,2.0974919867983207e-13,1.2098705625789756e-34,1.2261557744869163e-35,4.6591289428248305e-18,5.175496819652751e-30,1.1100857999138757e-32,1.1916862006450332e-29,8.948422575164128e-16,3.8022919429492592e-34,2.997257681188056e-31,4.2989485589378035e-31,9.69138122016497e-35,8.384704915392708e-32,4.09693242977171e-31,9.001252305091524e-38,1.2458364906227697e-38,7.956818190147226e-22,4.158826805975111e-51,6.690268188959903e-31,1.440806715650566e-33,2.870940997472327e-44,2.5203762163449193e-61,1.0047436656528823e-57,1.3317671763220443e-46,1.2912277865881426e-61,6.922159187985433e-66,6.334150152461976e-70,5.395151017131182e-69,1.4282620908907205e-55,6.650208550294418e-52,2.9215123078248155e-70,1.7793562877628725e-45,5.210543708059464e-52,4.312346631000129e-46,8.911546459055684e-51,9.553460299168967e-61,1.0655302950203866e-20,2.1891950186266911e-35,7.327796619399528e-50,1.4807048581808322e-45,9.38699036414742e-35,1.5445650514625349e-40
