Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H4F2(1),O2(2),H2O(3),CH4(4),CH2CHF(56),HF(38),C2H3F(137),C2H3F(136),O2(141),CH2CF(70),CH2CFO(79),C2H3F2(66),C2H3F2(64),CH2CF2(57),C2H2F2(59),CH2F(46),C2H2F(71),CHFO(47),C2H4F(62),S(289),C2H4F(63),C2H3F2(65),CF2CH(73),C2HF2(72),CH2F2(41),S(787),CF2(43),S(495),C2HF(58),CF2O(49),C2H2O(134),S(435),S(2464),S(1651),S(1682),CF3CHO(75),CF2CO(76),S(783),S(2674),CHO2(159),S(3132),S(537),S(1330),C2HF(1925),S(125),S(977),S(975),S(990),CHF2(82),S(499),C2H2O(450),CH3F(39),S(3133),C2H2F3(67),S(5616)
0.0,0.46460466225884206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7682929530676053,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.273805519055419e-20,0.46460466225884206,3.837393784015711e-30,3.0307105078969543e-35,7.644758777327838e-38,2.7765013981138647e-32,0.0,0.0,5.130895665553774e-24,1.8844188829387395e-42,1.4223190613338295e-55,2.2029281768975134e-57,6.8548424024147845e-68,7.33792385004574e-77,1.247257053940111e-54,3.592086511024462e-44,1.70207839812261e-41,1.0988353501347077e-57,7.14149560217765e-76,8.71686817398931e-75,1.728194654683571e-44,1.3757809271051664e-66,1.9557989877395845e-32,1.0174197314725119e-75,2.88068499784981e-60,2.7044608384387602e-68,9.835342332251823e-67,5.884092987202589e-78,1.0574473591197647e-94,6.175042667672037e-97,1.0084154655112055e-75,5.236814317254344e-91,9.217749962017214e-75,2.4522317650565018e-90,3.76,0.0,0.7682929530676053,0.9999999999999996,2.1375382360975506e-51,4.021905586479064e-57,6.656474154601926e-21,6.656474154601926e-21,4.383816807612984e-44,7.818203486955725e-50,4.716990564922608e-16,3.0233585303318283e-47,1.3395032394526153e-49,5.130899502947478e-24,1.7886642857951184e-38,4.512865227203391e-47,8.867531860619449e-39,1.9303320740182938e-23,3.884281470126359e-46,7.643331482588298e-38,2.53111265893092e-43,7.233321291796752e-48,1.8531259066075956e-44,2.134202739895154e-40,6.804257314210158e-54,3.139265557561537e-55,1.9557989877432828e-32,9.767829799040949e-67,1.702078398122611e-41,4.3487551958312746e-38,2.2044726981952883e-61,1.94107202680252e-73,4.779194057754179e-76,6.2585626875544104e-59,2.5567885188741756e-73,5.949982422764269e-81,1.788160532534275e-85,1.7075153336594674e-89,2.2649364341330184e-72,2.867563760181603e-72,1.9219076508856145e-85,5.349982878010405e-56,9.299692091655022e-63,8.77092926365906e-54,3.943302177850151e-61,2.674333129094054e-85,2.776501398103546e-32,1.426786974911676e-41,4.6755394016515997e-63,1.7695537679801366e-55,4.798625775440659e-50,4.1206519214213025e-53,1.395608079371523e-73,1.761063951905421e-40,2.413639270499488e-66,3.2318965506324865e-59,2.860868379431531e-73
3.5666554533551734e-20,0.46460466225884206,1.0744702596577707e-29,8.485989423757782e-35,4.617434301505869e-37,7.774203914739767e-32,0.0,0.0,1.4366507863550585e-23,1.1381890052949998e-41,1.6885771896154475e-54,2.615316332923365e-56,8.138069017076501e-67,8.711583194747831e-76,7.5334326057829e-54,2.1696202526514897e-43,1.0280553524660426e-40,1.3045373276764304e-56,8.47838366263608e-75,1.0348665896157193e-73,1.0438295714288771e-43,1.6333271166587675e-65,5.476237165659199e-32,2.275927242514619e-74,3.4199492294470843e-59,4.086981219789073e-67,1.483326779501413e-65,1.8500529806641575e-76,5.05155292820052e-93,2.9498943448070106e-95,2.2557850597292195e-74,1.4775514308038886e-89,2.8982072010942446e-73,1.4123595253361464e-88,3.76,0.0,0.7682929530676053,0.9999999999999987,2.5376853938949405e-50,4.774806312267888e-56,1.8638127632885392e-20,1.8638127632885392e-20,2.64782535179291e-43,4.7221949061202395e-49,1.3207573581244336e-15,1.8261085523199296e-46,8.09059956701271e-49,1.4366518608252702e-23,1.0803532286201596e-37,2.7258483315109646e-46,5.355989243814077e-38,5.404929807251199e-23,2.346106007955951e-45,4.616572215483312e-37,1.528792045994165e-42,4.368926060353396e-47,1.1192880475909158e-43,1.2890584548965093e-39,4.1097714177768566e-53,1.896116409572199e-54,5.476237165681539e-32,1.1596367537449982e-65,1.0280553524660436e-40,2.62664813828163e-37,2.6171499872972537e-60,4.342172177810455e-72,1.5026550787454868e-74,7.430805748780618e-58,5.719904360412494e-72,1.3309872680457991e-79,4.00004358484811e-84,3.819643500794128e-88,2.688932534577483e-71,3.4044606052545655e-71,4.299230538534423e-84,6.351499672622549e-55,1.1040594457130111e-61,1.0412847221814482e-52,4.681488345468158e-60,5.982376236457807e-84,7.774203914677444e-32,8.61779332846644e-41,5.550800377414467e-62,2.100814233345853e-54,2.8983699683661016e-49,2.4888737605563267e-52,2.1090425406069294e-72,1.0636826269508703e-39,2.8654723381415253e-65,3.836907584910812e-58,6.399648130052036e-72
8.152355321954681e-20,0.46460466225884206,2.455932022703657e-29,1.9396547262064665e-34,2.2230958524467175e-36,1.7769608948075363e-31,0.0,0.0,3.283773225954429e-23,5.479890111585874e-41,1.657855097890477e-53,2.5677330870547156e-55,7.990004666735673e-66,8.55308403953125e-75,3.6270235128347843e-53,1.0445787573949855e-42,4.949643981740341e-40,1.2808024841061815e-55,8.324127531234191e-74,1.0160381543592821e-72,5.025590055819825e-43,1.6036102486322744e-64,1.2517113521451876e-31,4.496848704666345e-73,3.357726433493086e-58,4.396587898276511e-66,1.594665913946414e-64,4.127366428588785e-75,2.630333136754463e-91,1.5360028689895127e-93,4.457051145727917e-73,3.2171011197192916e-88,6.465740409779827e-72,6.3336124758827205e-87,3.76,0.0,0.7682929530676053,0.999999999999997,2.4915145679950796e-49,4.687933151599814e-55,4.260143458945232e-20,4.260143458945232e-20,1.2748139276458577e-42,2.2735335740051972e-48,3.018873961173192e-15,8.791926606197533e-46,3.8952754214003723e-48,3.283775681886222e-23,5.201435743090825e-37,1.3124578094909207e-45,2.578678265068031e-37,1.2354125273716907e-22,1.129549051512191e-44,2.2226807951366465e-36,7.360475612169462e-42,2.1034498318136422e-46,5.388890136413804e-43,6.206261567612649e-39,1.978678026963197e-52,9.128984433464402e-54,1.2517113521559428e-31,1.1385382413850686e-64,4.949643981740348e-40,1.2646180109470446e-36,2.569533377015832e-59,8.579462881963061e-71,3.352340819370117e-73,7.295889647696105e-57,1.1302020978654463e-70,2.6298065511345944e-78,7.903412058623313e-83,7.546971892636929e-87,2.6400099075472162e-70,3.3427079372685405e-70,8.494555061011527e-83,6.235940042139578e-54,1.0839721120376626e-60,1.0223395149716179e-51,4.596313018267957e-59,1.1820167326622444e-82,1.7769608947775308e-31,4.149096523043031e-40,5.449808725863534e-61,2.0625918719571355e-53,1.3954403754980586e-48,1.1982855787761032e-51,2.268811590748873e-71,5.121173972140903e-39,2.8133373019281274e-64,3.767098619416991e-57,1.2644626272033654e-70
1.7323755059153698e-19,0.46460466225884206,5.218855550929377e-29,4.121766296501937e-34,9.7088436472041e-36,3.776041901508171e-31,0.0,0.0,6.978018105153201e-23,2.3932119813322193e-40,1.4663540594722308e-52,2.2711308417865031e-54,7.067069084402676e-65,7.56510597227082e-74,1.5840164584801133e-52,4.5619498688881406e-42,2.161639565615499e-39,1.1328552925521263e-54,7.362596844619089e-73,8.986742412636801e-72,2.1948072114481354e-42,1.4183751046051761e-63,2.6598866232851013e-31,8.001902004247308e-72,2.9698710053818676e-57,4.041221746941471e-65,1.4653996141626256e-63,7.730100536252141e-74,1.0496969061376548e-89,6.1297828159174066e-92,7.931084374482584e-72,5.975467124071536e-87,1.210961589376476e-70,2.3828632450837085e-85,3.76,0.0,0.7682929530676053,0.9999999999999936,2.2037164198866548e-48,4.1464237834360706e-54,9.052804850258618e-20,9.052804850258618e-20,5.567447345585847e-42,9.929118428417988e-48,6.415107166408362e-15,3.8396653335137506e-45,1.7011691152098335e-47,6.978023324007746e-23,2.271603642958375e-36,5.73254371989011e-45,1.126176546298561e-36,2.6252516206647925e-22,4.933037467054747e-44,9.707030982886817e-36,3.21451307684056e-41,9.18631804221197e-46,2.353469901390527e-42,2.7104374796643044e-38,8.641406788952698e-52,3.9868674565811185e-53,2.6598866233320724e-31,1.0070241809805231e-63,2.161639565615504e-39,5.5229190986985884e-36,2.2727231729301617e-58,1.526674325281559e-69,6.278563342656207e-72,6.453243168700749e-56,2.0111710767180454e-69,4.679600247767382e-77,1.4063699480483194e-81,1.342943324995739e-85,2.3350588659694934e-69,2.956922332825183e-69,1.5115606865786994e-81,5.515618346927965e-53,9.587610597334072e-60,9.042477233651821e-51,4.065386812784612e-58,2.103335620860093e-81,3.7760419013771286e-31,1.8120194581377004e-39,4.8202941000534285e-60,1.824339152635726e-52,6.094254734808754e-48,5.2332279404818674e-51,2.0854286863906284e-70,2.2365512189198217e-38,2.48836421560561e-63,3.331956067839573e-56,2.2500436851276987e-69
3.5666554533551732e-19,0.46460466225884206,1.0744702615916614e-28,8.485989447629246e-34,4.053251103737192e-35,7.7742039150435005e-31,0.0,0.0,1.436650786355087e-22,9.991188917341378e-40,1.2325589414460184e-51,1.9090223267284793e-53,5.9402981295042055e-64,6.358927401355369e-73,6.6129568997760156e-52,1.9045242680435358e-41,9.024419666844133e-39,9.522331330198568e-54,6.188706800656164e-72,7.553898489653437e-71,9.162888059132295e-42,1.192229738928759e-62,5.4762371654904435e-31,1.349637731274096e-70,2.49635552817419e-56,3.457350292039188e-64,1.2535378759283578e-62,1.3351826336127395e-72,3.730787211921966e-88,2.178620606045704e-90,1.3376933029189302e-70,1.0309851356419054e-85,2.0916349746421014e-69,8.251098773828897e-84,3.76,0.0,0.7682929530676053,0.9999999999999868,1.852356434789496e-47,3.4853190307526735e-53,1.863812763288539e-19,1.863812763288539e-19,2.324299671322026e-41,4.145211488769722e-47,1.3207573573429315e-14,1.6029846927750308e-44,7.102046185510471e-47,1.4366518608249288e-22,9.483498043272887e-36,2.393805536670858e-44,4.70156539249945e-36,5.4049298072508385e-22,2.0594460354558387e-43,4.052494352068027e-35,1.341995931763637e-40,3.8351069503715444e-45,9.825273556823404e-42,1.1315542926901235e-37,3.6076172279094423e-51,1.6644387772492962e-52,5.476237165686539e-31,8.464645018909506e-63,9.024419666844172e-39,2.3057100048233245e-35,1.9103607686905926e-57,2.5749620871095455e-68,1.0844656801668498e-70,5.4243838883121305e-55,3.3921634423592397e-68,7.892829802774033e-76,2.372048476685578e-80,2.2650702063859264e-84,1.9627576745386706e-68,2.4860349796257447e-68,2.5494680312748424e-80,4.636209560569531e-52,8.058964441443623e-59,7.600746965000356e-50,3.4172025735978646e-57,3.5475829545756665e-80,7.774203914496427e-31,7.564824540980554e-39,4.051747634167851e-59,1.5334669824693462e-51,2.5442313861378414e-47,2.184769648986706e-50,1.7841281306274896e-69,9.337161073001974e-38,2.0916187665594723e-62,2.800709840432403e-55,3.795027548260822e-68
7.235215348234781e-19,0.46460466225884206,2.1796396780034257e-28,1.7214435792029344e-33,1.6558853302026011e-34,1.5770527942650406e-30,0.0,0.0,2.914348738034671e-22,4.0817266772007796e-39,1.0105262882712858e-50,1.565131855347408e-52,4.870216519779726e-63,5.213432873567349e-72,2.701608668934866e-51,7.780603065478921e-41,3.686769893467852e-38,7.806982539160043e-53,5.07387659874464e-71,6.193142369110724e-70,3.743338749830802e-41,9.774619714555844e-62,1.1108938249603185e-30,2.2167840263238234e-69,2.0466630854433045e-55,2.858604088645259e-63,1.036393702262468e-61,2.2184259150901324e-71,1.2566318823122913e-86,7.33819388005793e-89,2.1971652668733795e-69,1.7218937176871858e-84,3.4752827718613037e-68,2.745192516482974e-82,3.76,0.0,0.7682929530676053,0.9999999999999732,1.5186737199015874e-46,2.8574751155168355e-52,3.7808773198138934e-19,3.7808773198138934e-19,9.4955225573323e-41,1.6934541480765332e-46,2.6792506373673672e-14,6.548715510981492e-44,2.9014176051885054e-46,2.914350917672634e-22,3.874318389592795e-35,9.784227792556136e-44,1.9207428711367844e-35,1.0964286180422293e-21,8.413509035508832e-43,1.65557617245431e-34,5.482491263737719e-40,1.5667663263226892e-44,4.013944838739792e-41,4.622768502703133e-37,1.473829351215394e-50,6.79977628070269e-52,1.1108938250404298e-30,6.939827399110219e-62,3.686769893467883e-38,9.419577704324041e-35,1.56622917730671e-56,4.2293813275148916e-67,1.8018559457181665e-69,4.4472552153009294e-54,5.57166218376133e-67,1.296399665227562e-74,3.8960967456043586e-79,3.720384615758468e-83,1.609187326148347e-67,2.039125916117329e-67,4.1875088936742374e-79,3.8010447041644396e-51,6.607226012730543e-58,6.231551579680396e-49,2.8016291277336532e-56,5.826915655607849e-79,1.5770527940415431e-30,3.090477659136711e-38,3.3218675044193725e-58,1.2572288803993704e-50,1.0394015374628746e-46,8.925496889984708e-50,1.47515163633922e-68,3.814534962384737e-37,1.714833316593578e-61,2.296191138947014e-54,6.233344143753384e-67
1.4572335137993994e-18,0.46460466225884206,4.389978524484224e-28,3.467132864941144e-33,6.693353257957703e-34,3.17631760000092e-30,0.0,0.0,5.869744641394039e-22,1.649899184119373e-38,8.1835038790408735e-50,1.2674843773114228e-51,3.9440295753679365e-62,4.2219731079441746e-71,1.0920334189137986e-50,3.1450441598466096e-40,1.4902513373181007e-37,6.322296869314344e-52,4.1089582079104714e-70,5.015367258515062e-69,1.5131173735188911e-40,7.9157404688952e-61,2.2374340416636903e-30,3.593502434372183e-68,1.657440829912281e-54,2.3245693843588247e-62,8.427561320925246e-61,3.616594143378684e-70,4.124391663472917e-85,2.408468655546405e-87,3.5616995798401743e-68,2.8463560539024703e-83,5.665588016646316e-67,8.956205060669101e-81,3.76,0.0,0.7682929530676053,0.999999999999946,1.2298613526501964e-45,2.31405743358985e-51,7.615006432864603e-19,7.615006432864603e-19,3.838242037753933e-40,6.8452124264981994e-46,5.3962371918972165e-14,2.647095514466883e-43,1.1727993892076052e-45,5.869749031365632e-22,1.5660614380904077e-34,3.958782397932124e-43,7.763949785494801e-35,2.208299892676266e-21,3.400874872570276e-42,6.692103592915195e-34,2.2161106262909473e-39,6.333120000533167e-44,1.6225006812714554e-40,1.868596940493791e-36,5.957453882351599e-50,2.748578924464582e-51,2.2374340419875118e-30,5.6200521554561984e-61,1.490251337318125e-37,3.8075439141549847e-34,1.2683729950133501e-55,6.85599575094199e-66,2.9374799518052103e-68,3.601509587618818e-53,9.031923319286173e-66,2.1015197231614068e-73,6.31574071828838e-78,6.030903785015675e-82,1.3031616172888736e-66,1.6528340176735634e-66,6.788132358059194e-78,3.0781845476220577e-50,5.350703028641998e-57,5.0464720330840717e-48,2.2688319035070926e-55,9.445681376557894e-78,3.176317599097507e-30,1.2492204823091645e-37,2.6901344264993665e-57,1.0181365432045412e-49,4.201427200429971e-46,3.607828550231653e-49,1.1995688148419831e-67,1.5418960209624915e-36,1.3887130485066165e-60,1.8595151170935195e-53,1.0104519469995623e-65
2.924657471751242e-18,0.46460466225884206,8.810656272074898e-28,6.958511503850331e-33,2.691367906581912e-33,6.374847212330672e-30,0.0,0.0,1.1780536448113576e-21,6.634172054142167e-38,6.5867958705785516e-49,1.0201817310327579e-50,3.1745012943505506e-61,3.3982112599150883e-70,4.391018347466859e-50,1.2646084239780718e-39,5.992235083715588e-37,5.088734546873613e-51,3.307249273175131e-69,4.03680389666296e-68,6.0841784095996995e-40,6.371276583091886e-60,4.490514474593727e-30,5.787224889025042e-67,1.3340525740010286e-53,1.874849444325815e-61,6.797045941332842e-60,5.840809201940352e-69,1.3365336457537861e-83,7.804785822773768e-86,5.736007372122e-67,4.731862413384747e-82,9.149939766224464e-66,2.8937512005564915e-79,3.76,0.0,0.7682929530676053,0.9999999999998918,9.898994121304199e-45,1.8625547409983249e-50,1.528326465896602e-18,1.528326465896602e-18,1.5433402419672265e-39,2.7524298103164835e-45,1.0830210278880833e-13,1.0643854639984365e-42,4.7157747906728084e-45,1.1780545258741976e-21,6.297064164640658e-34,1.5948979880409323e-42,3.1218500616529732e-34,4.432042441943323e-21,1.367476828654732e-41,2.6908654217694984e-33,8.910883360185858e-39,2.5465197022852103e-43,6.524003879191433e-40,7.513546113781259e-36,2.3954660040180008e-49,1.1051920056829534e-50,4.4905144758958e-30,4.523506908972807e-60,5.992235083715782e-37,1.5309966616769303e-33,1.0208969323382155e-54,1.1041319209922555e-64,4.744037953477236e-67,2.898811041014672e-52,1.4545649116388158e-64,3.384432728466894e-72,1.017130572161766e-76,9.712584625342593e-81,1.0488978414085211e-65,1.3327544280139964e-65,1.093207786206742e-76,2.477590715825835e-49,4.306711458477181e-56,4.061839725328408e-47,1.8261532978096123e-54,1.5211978662736915e-76,6.374847208698086e-30,5.0230606166490355e-37,2.1652542167183607e-56,8.194848658439314e-49,1.689375398742486e-45,1.450691992951393e-48,9.674957146460205e-67,6.199896085237898e-36,1.1177515530914388e-59,1.4966995403938056e-52,1.6273017101247e-64
5.859505387654927e-18,0.46460466225884206,1.7652011985772555e-27,1.3941269051399765e-32,1.079358904906417e-32,1.2771906440422148e-29,0.0,0.0,2.360212006155585e-21,2.660599714308728e-37,5.285488864191803e-48,8.186316473638877e-50,2.547342451903609e-60,2.7268505230604895e-69,1.760994749939873e-49,5.071645387771652e-39,2.4031542778300742e-36,4.083388995038127e-50,2.6538628472025103e-68,3.239280897913937e-67,2.440027663779806e-39,5.112548208735889e-59,8.996675338546976e-30,9.289777623787986e-66,1.070493174930168e-52,1.5059810685659036e-60,5.459722005966552e-59,9.388930204636993e-68,4.303851298586651e-82,2.5132653806531053e-84,9.20756216584733e-66,8.04696234085272e-81,1.4708260928466189e-64,9.304679431125291e-78,3.76,0.0,0.7682929530676053,0.9999999999997831,7.943319365440647e-44,1.4945828800482036e-49,3.0619781111168855e-18,3.0619781111168855e-18,6.189484644383532e-39,1.1038474593365628e-44,2.1698156364543734e-13,4.2686617685101347e-42,1.891236631909514e-44,2.3602137713456056e-21,2.5254043730700223e-33,6.421030842686801e-42,1.2520015028772756e-33,8.87952754047337e-21,5.484193701747913e-41,1.079157386026429e-32,3.573662776398692e-38,1.0212682998180483e-42,2.6164173487380135e-39,3.013268043137435e-35,9.606890072531503e-49,4.432318333395908e-50,8.996675343768866e-30,3.6298294151789107e-59,2.4031542778302285e-36,6.13998136817097e-33,8.192054943499944e-54,1.7723594879212899e-63,7.625902406734845e-66,2.3261144191066684e-51,2.3349000243339835e-63,5.4327640697689304e-71,1.6327198282009617e-75,1.5590849343055878e-79,8.416744593539122e-65,1.0733189527988353e-64,1.7548405949096724e-75,1.988110509651161e-48,3.455864975609222e-55,3.2593705737776594e-46,1.4653730110886383e-53,2.441859469853172e-75,1.2771906425853857e-29,2.0144719691506956e-36,1.737480136124547e-55,6.575849954784004e-48,6.775150940553763e-45,5.817923735279477e-48,7.771451870852946e-66,2.486435627308965e-35,8.969163631727738e-59,1.2010071223180733e-51,2.6121796376508316e-63
