Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642)
0.0,0.7330564799973213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6132212425332462,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9480279047997999e-22,0.7330564799973213,9.155992203007203e-27,1.5549601813024588e-27,2.993902420938852e-38,1.144137330795667e-41,0.0,0.0,7.709682627570267e-22,1.2163059406063632e-39,6.408076239307272e-54,5.409933631629849e-54,2.7582960281297236e-57,3.1590267263849754e-67,1.445472792329692e-44,7.517519092954664e-39,5.067773143806696e-40,1.9859217758254417e-38,6.046874638656309e-95,3.7730781277323855e-62,1.032788002583248e-91,6.164522038480706e-91,4.0210898893609737e-25,1.8058357090524893e-92,1.8624546168556033e-58,8.617202963976423e-96,5.986267945981634e-98,8.829627897039075e-79,1.5448852819225542e-94,4.473919611804926e-95,5.725739911710715e-60,5.78054941848546e-112,4.333101753006715e-113,1.0949297910654735e-112,3.76,0.0,0.6132212425332462,0.9999999999999994,2.705168993802201e-53,6.506501222265852e-56,6.492902933708959e-18,4.055744404093294e-18,1.1822012572405366e-18,1.254957272375129e-18,4.999384168064475e-16,2.498768411037068e-36,3.884731226052773e-56,4.454193473080798e-35,1.976480208028967e-43,1.1644760190989202e-37,1.533206167953841e-92,1.3732013937011592e-90,2.0626692725994154e-40,1.3520991143081501e-92,5.56914831726177e-42,1.1506458468051936e-110,1.1216005921851024e-90,7.445908813097134e-94,1.3709214768460047e-92,6.949891081745352e-91,7.778755809418374e-112,7.023721116353006e-111,9.45043075023711e-108,4.778962980524257e-43,1.9859217758254412e-38,1.1637273749695938e-43,5.9049195635683195e-22,1.8048546239238975e-22,3.8685871091348814e-36,4.376490462827746e-52,1.9668170257835544e-36,1.4983383842812207e-25,6.571230334674234e-24,3.0653501798687437e-38,3.3906576115476007e-37,2.7737834177824406e-52,3.845620924540759e-37,1.174227363533298e-42,3.9426820882399e-21,1.154058809255157e-47,6.216148544926727e-38,2.056731017753349e-61,9.237619022876456e-69,6.82707539802563e-73,4.3781236452743513e-39,9.360300271959827e-39,6.829756753041754e-55,6.72106417310188e-24,4.391226791790382e-73,4.643123672698713e-69,7.922803470180709e-42,3.942682088239899e-21,1.7815942960777026e-58,6.766342553936346e-39,4.0210898893608094e-25,5.071279926286735e-41,5.332852979195929e-74,2.9248071896341543e-38,1.145242510825067e-51,1.0760889559515056e-57,1.1940185057695653e-73,5.708217104947881e-55
5.454478133439439e-22,0.7330564799973213,2.5636778176653367e-26,4.353888507647741e-27,1.8083170622471004e-37,6.91058947985929e-41,0.0,0.0,2.1587111357196738e-21,7.346487881262429e-39,7.607668116939222e-53,6.422673207471171e-53,3.2746490447367076e-56,3.750396529563767e-66,8.73065566567025e-44,4.5405815321447856e-38,3.0609349788596386e-39,1.1994967525991325e-37,3.6786090113895666e-93,4.479398353246827e-61,4.933752222906426e-90,2.944866193650398e-89,1.125905169021126e-24,8.826149113443814e-91,2.2111061211311992e-57,4.116541262333144e-94,2.8622335272141123e-96,2.7761762848760088e-77,7.380118265650259e-93,2.1372463703768462e-93,6.79759842318701e-59,4.460552582835457e-110,3.595715225805427e-111,8.448968796700717e-111,3.76,0.0,0.6132212425332462,0.9999999999999986,3.21157662954122e-52,7.724518251074932e-55,1.8180128214385085e-17,1.135608433146172e-17,3.3101635202735292e-18,3.513880362649837e-18,1.3998275670572382e-15,1.5092561202664433e-35,4.611952911569995e-55,2.6903328577389277e-34,1.1937940456490928e-42,7.033435155358712e-37,7.324309849061722e-91,6.559947841877806e-89,1.2458522406505574e-39,6.459139720951714e-91,3.363765583627214e-41,1.000925650252537e-108,5.3580206209395605e-89,3.556999990924678e-92,6.549056405477616e-91,3.320046368442836e-89,6.766596549507523e-110,6.1098057626484815e-109,8.220755821246478e-106,2.8864936407928384e-42,1.1994967525991323e-37,7.028913344828033e-43,1.653377477799124e-21,5.053592946986783e-22,2.3366266139174295e-35,5.195775387134628e-51,1.1879574835732526e-35,4.195347475995529e-25,1.839944493708816e-23,1.8514715086404942e-37,2.047957197374496e-36,3.2931221598239873e-51,2.3227550384225854e-36,7.092333275740998e-42,1.103950984707172e-20,6.97052287204783e-47,3.7545537211357437e-37,2.4417510642784697e-60,2.0664702699539316e-67,1.527227774366387e-71,2.6443866817454677e-38,5.65362136426376e-38,8.108328754394634e-54,1.881897968468484e-23,9.823245136418264e-72,1.0386742530079877e-67,4.785373296016483e-41,1.1039509847071717e-20,2.115108748314371e-57,4.086870902577197e-38,1.125905169021027e-24,3.063053075480268e-40,1.1929437180313677e-72,1.766583542538945e-37,1.359631908409474e-50,1.2775328085058328e-56,3.7541852251000244e-72,3.447763201187949e-54
1.246737859071872e-21,0.7330564799973213,5.859835015687847e-26,9.95174516034173e-27,8.706268240090682e-37,3.3271513607339914e-40,0.0,0.0,4.934196881644962e-21,3.537017675283298e-38,7.4692536725372e-52,6.3058186410284145e-52,3.2150698508253363e-55,3.6821615522728496e-65,4.2034348800931076e-43,2.1860945522314692e-37,1.4737084302195794e-38,5.775060524108712e-37,1.660699950060817e-91,4.397899865693694e-60,2.5689945537335313e-88,1.5333857040668624e-87,2.5734975291913966e-24,4.53143649595416e-89,2.170877101407593e-56,2.1434745008206327e-92,1.489290891358185e-94,6.193496574317844e-76,3.842807156835083e-91,1.112859209815159e-91,6.673922441102273e-58,4.861318736356296e-108,3.8053737844606624e-109,9.208099493758002e-109,3.76,0.0,0.6132212425332462,0.9999999999999968,3.153144979316868e-51,7.583977824675906e-54,4.1554578775737345e-17,2.595676418620056e-17,7.566088046339621e-18,8.031726543197155e-18,3.1996058675555606e-15,7.266418539296605e-35,4.5280427170875493e-54,1.2952794619690848e-33,5.747604444942136e-42,3.3862962635414806e-36,3.8137529535396404e-89,3.4157512410794096e-87,5.998242244726625e-39,3.363260661519184e-89,1.6195083306613303e-40,1.0403863002688365e-106,2.7899102289913433e-87,1.852122520849228e-90,3.410080092734072e-89,1.7287412608762229e-87,7.03336391446918e-108,6.350679704490433e-107,8.54485218988754e-104,1.3897224355547896e-41,5.77506052410871e-37,3.384119206429108e-42,3.779148520683684e-21,1.1551069593112043e-21,1.1249851313363649e-34,5.101245675196936e-50,5.719503910978361e-35,9.589365659456592e-25,4.205587414191724e-23,8.914038323054901e-37,9.860032334376606e-36,3.2332447622169745e-50,1.1183065648564021e-35,3.414653173154648e-41,2.5233165364735364e-20,3.35601451353402e-46,1.8076559968646924e-36,2.3973256742983726e-59,4.0830470107334614e-66,3.017581665461467e-70,1.2731583560454203e-37,2.721975319085955e-37,7.960823454149869e-53,4.3014810707849064e-23,1.9409314652664265e-70,2.0522704184187009e-66,2.303951249169494e-40,2.5233165364735355e-20,2.076626311541984e-56,1.9676524146841558e-37,2.5734975291909195e-24,1.4747282025687137e-39,2.3570613874323727e-71,8.50533930745486e-37,1.3348946692473567e-49,1.2542892870576838e-55,8.37538071975548e-71,1.659949638817842e-53
2.649317950527728e-21,0.7330564799973213,1.2452149424905973e-25,2.1147458465743404e-26,3.802256074592857e-36,1.4530544129833607e-39,0.0,0.0,1.0485168373495521e-20,1.544708544570075e-37,6.60647028773501e-51,5.5774251768665e-51,2.8436928740789315e-54,3.2568301938307494e-64,1.8357504462570184e-42,9.547249248055036e-37,6.436071892640622e-38,2.5221206553068408e-36,6.270487026170499e-90,3.8898926265852824e-59,1.0252182878502621e-86,6.1193397916419104e-86,5.468682249532792e-24,1.7993651138478564e-87,1.9201162117949264e-55,8.554044050390718e-91,5.941854260118707e-93,1.1599733636165168e-74,1.5335627410872384e-89,4.44112819846796e-90,5.903008819402761e-57,3.976857061317585e-106,3.072038975826248e-107,7.53279711978446e-107,3.76,0.0,0.6132212425332462,0.9999999999999932,2.78892102599252e-50,6.707942500113142e-53,8.830347989844186e-17,5.515812389568621e-17,1.6077937098472224e-17,1.7067418904283405e-17,6.799162468539169e-15,3.1734358820179144e-34,4.005002504812285e-53,5.6568257107835644e-33,2.51012986419046e-41,1.4788845442574951e-35,1.5219686891293618e-87,1.363136653603601e-85,2.6195899762089716e-38,1.3421890412358901e-87,7.072818362938836e-40,8.327967225877387e-105,1.1133799345998126e-85,7.391334780995034e-89,1.360873447178391e-87,6.898952561172822e-86,5.629988029659013e-106,5.083520652604523e-105,6.839887162091902e-102,6.06928299364753e-41,2.5221206553068384e-36,1.4779337662294973e-41,8.030690606452708e-21,2.4546022885360507e-21,4.9131056286006945e-34,4.511995058378193e-49,2.497857622744892e-34,2.0377402026508495e-24,8.936873255158029e-23,3.8929947284297854e-36,4.3061351666615116e-35,2.8597834277077858e-49,4.88393857416624e-35,1.4912687516870994e-40,5.3620476400062673e-20,1.465666567181407e-45,7.894508652056944e-36,2.120407410073491e-58,7.2656045641733645e-65,5.369655324490846e-69,5.560217029494689e-37,1.1887581345389365e-36,7.041265420300005e-52,9.140647275417073e-23,3.4538031219542734e-69,3.6519259470966444e-65,1.0061960407552309e-39,5.362047640006262e-20,1.8367524555552284e-55,8.59325504349364e-37,5.468682249530705e-24,6.440525506430565e-39,4.1942693694320576e-70,3.714505130834073e-36,1.1806992160824932e-48,1.1094046700290218e-54,1.568616116675269e-69,7.2494368051727755e-53
5.45447813343944e-21,0.7330564799973213,2.5636778296034663e-25,4.353888507660154e-26,1.587367063582243e-35,6.066216153734398e-39,0.0,0.0,2.1587111357196564e-20,6.448854097094883e-37,5.553136346929788e-50,4.688161926234842e-50,2.3902952069067794e-53,2.737562016651964e-63,7.663896744916812e-42,3.985788623086914e-36,2.6869333208518167e-37,1.0529357255502943e-35,2.1755232429929594e-88,3.2696891362758656e-58,3.6437863685971864e-85,2.174909201606422e-84,1.1259051690218997e-23,6.3818165433771794e-86,1.613973371695869e-54,3.040241232198845e-89,2.1115999179964736e-91,2.0035655206491843e-73,5.450521106155955e-88,1.5784464041226835e-88,4.961834595695924e-56,2.862171673106808e-104,2.196530466741075e-105,5.421408797512867e-105,3.76,0.0,0.6132212425332461,0.999999999999986,2.344256167451812e-49,5.638429855206806e-52,1.8180128214385085e-16,1.1356084331468936e-16,3.310163520273912e-17,3.513880362642235e-17,1.3998275670454237e-14,1.3248470115326082e-33,3.366445924799383e-52,2.3616133794012943e-32,1.047929806291253e-40,6.174051853279215e-35,5.40931509771334e-86,4.844801166539954e-84,1.0936272483391265e-37,4.7703500713421896e-86,2.9527624378268415e-39,5.929105730780761e-103,3.9571266693569437e-84,2.6269961470698195e-87,4.8367573764782106e-86,2.4519957942527013e-84,4.008276375912181e-104,3.619218305787326e-103,4.869665438289013e-100,2.533806179785621e-40,1.0529357255502922e-35,6.170082542251806e-41,1.653377477799037e-20,5.053592946984918e-21,2.0511248852627688e-33,3.792604122423165e-48,1.04280638707024e-33,4.195347476113144e-24,1.8399444937092594e-22,1.625248665363241e-35,1.7977266656389906e-34,2.4038262533133164e-48,2.0389482141910362e-34,6.225753481451838e-40,1.1039509847071735e-19,6.118926721517055e-45,3.2958019585201497e-35,1.782330192307701e-57,1.2254536510863066e-63,9.05673253250357e-68,2.3212811567210966e-36,4.9628312041934455e-36,5.918610719862425e-51,1.8818979684678688e-22,5.825359209313903e-68,6.159523197591241e-64,4.200670400270225e-39,1.1039509847071713e-19,1.5439011116009006e-54,3.587514822092082e-36,1.1259051690210279e-23,2.6887926169588224e-38,7.074251992891952e-69,1.5507327719428547e-35,9.924488307798268e-48,9.325214718065431e-54,2.7093942542753706e-68,3.026497682743144e-52
1.1064798499262864e-20,0.7330564799973215,5.200603624906177e-25,8.832173829853698e-26,6.484912399854313e-35,2.4782472458878635e-38,0.0,0.0,4.379099732459832e-20,2.6345673195909577e-36,4.5527966837396985e-49,3.843638393942702e-49,1.959708427642024e-52,2.244418737776829e-62,3.130951887084923e-41,1.6283247056123418e-35,1.0976999340457677e-36,4.301586003373535e-35,7.24540071702425e-87,2.680688700244795e-57,1.2273276021985301e-83,7.325693175296483e-83,2.2839790571605057e-23,2.14749202432438e-84,1.3232328822825085e-53,1.0240369780715632e-87,7.112094149842769e-90,3.3289540784308534e-72,1.835885455315961e-86,5.31664202651654e-87,4.068011783011231e-55,1.9400727444500086e-102,1.484059923302413e-103,3.6748074158333656e-103,3.76,0.0,0.6132212425332458,0.9999999999999716,1.9219628400722782e-48,4.622725454891214e-51,3.6879688663466876e-16,2.3036628215282297e-16,6.714903141127964e-17,7.128157307056603e-17,2.8396502074075774e-14,5.412432329049118e-33,2.7600157612478574e-51,9.647961230210572e-32,4.2811351897507155e-40,2.5223016364231726e-34,1.8220063024882928e-84,1.6318624632058515e-82,4.467824151279685e-37,1.6067852839258162e-84,1.2062998021245321e-38,3.997361489284144e-101,1.332869245176808e-82,8.84844652252625e-86,1.6291530932102248e-84,8.258997137416201e-83,2.7023518134068917e-102,2.4400515918872214e-101,3.283094276409415e-98,1.0351425037801662e-39,4.3015860033735185e-35,2.520680043417159e-40,3.353994312106416e-20,1.0251574263879354e-20,8.379514421865895e-33,3.1094061613154584e-47,4.260204350526509e-33,8.510562023245382e-24,3.732458830096954e-22,6.639671103576077e-35,7.344300012886529e-34,1.9708043702152048e-47,8.329768747388245e-34,2.5434234385062158e-39,2.239443426120269e-19,2.499828064435499e-44,1.346442639425307e-34,1.4612619755249758e-56,2.012813894833913e-62,1.4875729544744695e-66,9.483190940581556e-36,2.0274784801078776e-35,4.852435796068595e-50,3.817564450319104e-22,9.568182320409598e-67,1.011704838216916e-62,1.716110923177057e-38,2.23944342612026e-19,1.265783409979906e-53,1.4656168625486206e-35,2.2839790571569446e-23,1.0984595171885563e-37,1.161948306090497e-67,6.335249365025224e-35,8.1366950811086545e-47,7.6453744316323095e-53,4.501699075888779e-67,1.236423482199155e-51
2.2285439230909714e-20,0.7330564799973213,1.0474455299819498e-24,1.778874447432845e-25,2.621305276851397e-34,1.0017471697107767e-37,0.0,0.0,8.81987692594006e-20,1.0649342336859798e-35,3.686972793788226e-48,3.1126780244733e-48,1.5870226959514982e-51,1.817588484329011e-61,1.2655808123680799e-40,6.581948806814637e-35,4.437078640552013e-36,1.7387698390334956e-34,2.3650194686013636e-85,2.170891211053052e-56,4.02821208193371e-82,2.404365850894255e-81,4.6001268334431784e-23,7.045003062362315e-83,1.0715882952054104e-52,3.3609918982206375e-86,2.334204209191617e-88,5.427035332519174e-71,6.02555962906862e-85,1.7449751196153204e-85,3.294381412275627e-54,1.27743087746371e-100,9.755996794308762e-102,2.419658218859825e-101,3.76,0.0,0.6132212425332455,0.9999999999999428,1.556455338144206e-47,3.743602925637274e-50,7.427880956163044e-16,4.639771598295998e-16,1.3524382382838768e-16,1.435671119583166e-16,5.719295488048448e-14,2.1877916847519372e-32,2.2351323217018123e-50,3.899860186786862e-31,1.7305032931395598e-39,1.019554649581649e-33,5.980007121243555e-83,5.355936001567255e-81,1.805965956333907e-36,5.273630188436641e-83,4.87605667098345e-38,2.625001909752066e-99,4.374610322004393e-81,2.904148747680317e-84,5.3470435781550426e-83,2.7106855573015514e-81,1.7745902365877249e-100,1.6023419712631954e-99,2.1559543135517884e-96,4.184211531825123e-39,1.738769839033482e-34,1.0188991758134106e-39,6.755227980720556e-20,2.064753689765504e-20,3.3871337062250226e-32,2.5180777909602584e-46,1.7220427132893388e-32,1.7140991118340458e-23,7.517487502875471e-22,2.683861219261659e-34,2.9686834904505728e-33,1.596009422846261e-46,3.367025709236503e-33,1.0280924196856597e-38,4.51042830894647e-19,1.0105083433428208e-43,5.4425364262134915e-34,1.1833678335820982e-55,3.2628601344292836e-61,2.411421395016934e-65,3.8332574013492213e-35,8.195392182516282e-35,3.9296287705528074e-49,7.688897414017228e-22,1.551044571572643e-65,1.6400181819776483e-61,6.936794735358584e-38,4.510428308946432e-19,1.0250642232362115e-52,5.924257690379248e-35,4.600126833428783e-23,4.440148997189294e-37,1.8835685093245822e-66,2.560809085261628e-34,6.5893065603194904e-46,6.1914224344857516e-52,7.338905663853014e-66,4.9978248511492325e-51
4.472672069420341e-20,0.7330564799973216,2.102215898687771e-24,3.570188576362859e-25,1.0540153229038234e-33,4.027981384618518e-37,0.0,0.0,1.7701431312900012e-19,4.282053716141997e-35,2.967596463863515e-47,2.505354070969869e-47,1.2773739373789615e-50,1.4629533387994508e-60,5.088844784222415e-40,2.6465726667643343e-34,1.784129806400827e-35,6.991517049094831e-34,7.643334253234592e-84,1.7473221099978517e-55,1.3053660803970004e-80,7.79149052280943e-80,9.232422386030367e-23,2.2824536905534847e-81,8.625074860621711e-52,1.0891494120138122e-84,7.564037951133199e-87,8.764676558526211e-70,1.9526183894932878e-83,5.65469560088634e-84,2.6516047654099473e-53,8.291912569365608e-99,6.327625132286707e-100,1.5706208328740758e-99,3.76,0.0,0.6132212425332447,0.9999999999998852,1.2527706646945097e-46,3.0131773206714526e-49,1.4907705135795752e-15,9.31198915185191e-16,2.7143340866271154e-16,2.881381897316704e-16,1.147858604899644e-13,8.797014141835052e-32,1.799028944626713e-49,1.5681166288242965e-30,6.958277631251519e-39,4.0995844043727866e-33,1.937856870060509e-81,1.735622912349354e-79,7.261709681346576e-36,1.7089512242904469e-81,1.9606409417675706e-37,1.7016376026687207e-97,1.417618490076284e-79,9.411066723178343e-83,1.73274126979076e-81,8.784137749319976e-80,1.1503646777060623e-98,1.0387060445559322e-97,1.3975810516898764e-94,1.6824530754258202e-38,6.991517049094722e-34,4.0969487735963275e-39,1.3557695317946381e-19,4.143946216515364e-20,1.3619515661162845e-31,2.026768099835383e-45,6.924258011940666e-32,3.440184931185302e-23,1.5087544848445012e-21,1.0791687922056176e-33,1.1936945747557395e-32,1.2846076115726608e-45,1.3538662289655867e-32,4.1339144024038386e-38,9.05239807459891e-19,4.06351416191818e-43,2.188419959835621e-33,9.524773831848605e-55,5.254737315648762e-60,3.883521041658401e-64,1.541335941794398e-34,3.295331151946488e-34,3.1629072863134296e-48,1.543156334139608e-21,2.4979102543185953e-64,2.641199556229179e-60,2.7892546550393955e-37,9.052398074598761e-19,8.25060865727695e-52,2.3821179614554305e-34,9.232422385972487e-23,1.785364383403076e-36,3.0334292036846237e-65,1.0296900703328306e-33,5.303647056646712e-45,4.983395416903922e-51,1.1852352250246605e-64,2.009606165090476e-50
8.960928362079081e-20,0.7330564799973216,4.211756770992046e-24,7.152816834363149e-25,4.2270728647301195e-33,1.6154007501787804e-36,0.0,0.0,3.546454008681792e-19,1.7172950597062166e-34,2.381309269586165e-46,2.0103888602744386e-46,1.0250121446815123e-49,1.17392792078271e-59,2.0408543625842963e-39,1.0613940102335049e-33,7.155158495352357e-35,2.8039110401038344e-33,2.457981749837551e-82,1.4021159508915282e-54,4.2034867720436844e-79,2.50898409540891e-78,1.8497013491292116e-22,7.349032936156889e-80,6.9210793875059e-51,3.5072346486519554e-83,2.4357264449222924e-85,1.4088961586132643e-68,6.287742272489185e-82,1.820902076481368e-82,2.1277458321749364e-52,5.344355360437301e-97,4.07668931188694e-98,1.0123063944750366e-97,3.76,0.0,0.6132212425332433,0.99999999999977,1.005269561679293e-45,2.417885036599193e-48,2.986735349506112e-15,1.8656424259045253e-15,5.438125783317909e-16,5.772803452697887e-16,2.2997167169557424e-13,3.527996126967095e-31,1.4436074291836158e-48,6.2888490382922706e-30,2.790580546574819e-38,1.6441167045855726e-32,6.24020789466024e-80,5.588982326753331e-78,2.912270370281097e-35,5.503095242368342e-80,7.863047094914627e-37,1.0960193701414263e-95,4.564957417175445e-78,3.030513438284907e-81,5.5797029794008255e-80,2.8286323191217593e-78,7.409462317364173e-97,6.690272611079449e-96,9.001775123627342e-93,6.747389498910651e-38,2.803911040103747e-33,1.6430596990970934e-38,2.7162629992388188e-19,8.302331269993984e-20,5.462034927840016e-31,1.6263537690530967e-44,2.776937157792487e-31,6.892356571216773e-23,3.0227659539634132e-21,4.327949526711469e-33,4.787249137636967e-32,1.0308168577610608e-44,5.429609109611914e-32,1.657884569200686e-37,1.8136337605903947e-18,1.6298952066230293e-42,8.776542833690675e-33,7.6430311514484e-54,8.435018465977618e-59,6.233912321612424e-63,6.181446505867786e-34,1.3215751792194102e-33,2.5380339770661573e-47,3.09168951960842e-21,4.009699791718051e-63,4.239710891343248e-59,1.1186158700032588e-36,1.8136337605903354e-18,6.620593847019496e-51,9.55335845362125e-34,1.8497013491059986e-22,7.160109702130115e-36,4.869325824264991e-64,4.129517722147905e-33,4.2558425586487976e-44,3.998860978867192e-50,1.9052310080740353e-63,8.059441787746771e-50
