Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949),S(195),S(2224),S(2641)
0.0,0.9246512119660679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.87122282396404,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.744226577792253e-23,0.9246512119660679,7.077483383478425e-26,1.8692653633970497e-25,2.4308407281999365e-38,7.244792648682127e-24,0.0,0.0,4.13346608107744e-21,1.1532188736814191e-38,3.0077599381641926e-53,1.0255653874639547e-53,8.045954661583485e-56,2.618375188284646e-63,6.644472715557966e-42,4.927276589125531e-38,8.216904358632543e-38,1.6254413312189383e-37,4.107398173783598e-87,1.4419669219823112e-57,2.15458276800519e-90,1.3506662398856843e-89,9.470148879875468e-24,2.5884136727683397e-91,3.597929688076404e-56,8.663145595822593e-93,1.2256360495135986e-93,9.01875483373447e-76,4.1490371363741096e-91,5.388353140352403e-91,7.104388636484233e-58,4.611072521083548e-109,1.8426146137341728e-109,4.672136806562308e-110,3.76,0.0,0.87122282396404,0.9999999999999994,1.642156902275132e-53,1.4431444547565654e-53,6.171164124897291e-17,3.7145491184943376e-17,9.608016623804423e-18,1.4958133440225105e-17,5.118552774862378e-16,4.5678656691592e-34,7.785665746663269e-53,1.4348741423349471e-33,8.734992609965178e-43,8.81527177930446e-37,1.2411711541169952e-88,2.3401310913536855e-86,1.0936603988112486e-38,2.170290181484271e-88,1.0543865216648213e-39,1.5321658283590362e-107,2.4053381542308642e-86,9.817030677979208e-90,1.6850195194798936e-88,1.8089396830907166e-86,1.0217955033258162e-108,7.706622032722026e-108,6.813939580103183e-73,1.6347035760455056e-42,1.6254413312189381e-37,5.638673094992743e-42,3.1595527941414448e-21,9.739840617697541e-22,2.0814079855647762e-35,2.995640748571862e-51,2.6314542522622816e-35,1.3928243118105348e-23,3.594122930012369e-22,1.2323290119026475e-36,9.71739686183794e-36,1.6854328216738813e-51,8.694425614685839e-36,3.179145854976647e-41,2.1916260919096302e-20,1.934167262314884e-46,5.571174501440012e-37,3.352987116632028e-58,1.1232101560388336e-68,1.0388219225801398e-72,2.946533292173216e-39,6.430055666663598e-37,4.820275346646258e-53,3.733405361193292e-22,4.6970132061934335e-73,9.597620919069133e-69,6.667792268102801e-40,2.1916260919096293e-20,2.191823798970226e-57,4.868155742783046e-39,9.470148879872906e-24,2.5545780945206942e-39,6.642280414211135e-73,2.0088817198736777e-38,8.096371324294324e-52,5.300281143396517e-56,1.5604558696325573e-70,1.9878361643292628e-52,1.1747503787240472e-54,7.244792648682032e-24,1.2177065135078045e-55,4.138055265387723e-56,5.989974001411929e-60,2.401114863389545e-63,1.1544689190930596e-49
1.8883834417818308e-22,0.9246512119660679,1.981695349245837e-25,5.2339430175122e-25,1.468227799833258e-37,2.0285419416309954e-23,0.0,0.0,1.1573705027016825e-20,6.965441997035764e-38,3.570821518222865e-52,1.2175512279974956e-52,9.58931727795106e-55,3.1085350235313467e-62,4.0132615201967655e-41,2.976075059832595e-37,4.963010232614524e-37,9.817665640564349e-37,1.962154203284097e-85,1.7119031297778872e-56,1.029298230465887e-88,6.45233662127448e-88,2.65164168636596e-23,1.2600679471572687e-89,4.2714621256846284e-55,4.138488609084425e-91,5.861186340706688e-92,2.8356408198041616e-74,1.982047030742782e-89,2.5740821446459557e-89,8.434330189235712e-57,3.7403841731890554e-107,1.5980539615029115e-107,3.831930469500872e-108,3.76,0.0,0.8712228239640398,0.9999999999999986,1.9495686755098965e-52,1.7133010966874914e-52,1.727925954971241e-16,1.0400737531784443e-16,2.6902446546652842e-17,4.1882773632626855e-17,1.4331947769611998e-15,2.758990864172221e-33,9.243142374438807e-52,8.666639819701031e-33,5.275935536418475e-42,5.324424154700403e-36,5.929223543757454e-87,1.1179087039127713e-84,6.605708808820931e-38,1.0367736631775974e-86,6.368494590856335e-39,1.3328028622385225e-105,1.1490589003340006e-84,4.689713359240169e-88,8.04954044690115e-87,8.641521938886208e-85,8.888411073060191e-107,6.70384870442067e-106,1.5245415631799447e-71,9.873609603251288e-42,9.817665640564349e-37,3.405758549379685e-41,8.84674782359606e-21,2.7271553729552288e-21,1.2571704232811102e-34,3.5564913389422015e-50,1.5893983683663989e-34,3.8999080730748747e-23,1.006354420403442e-21,7.443267231891499e-36,5.869307704549718e-35,2.0015012185678284e-50,5.251433071270123e-35,1.9202040964058514e-40,6.136553057346965e-20,1.1682370919608317e-45,3.364989398869767e-36,3.9806663048775594e-57,2.5132423936604085e-67,2.3244192382479025e-71,1.7797061084725127e-38,3.8837536226648105e-36,5.722804254314324e-52,1.0453535011341118e-21,1.0509816573434328e-71,2.147519609455987e-67,4.02734652993739e-39,6.136553057346961e-20,2.60213321413928e-56,2.9403660686407146e-38,2.6516416863644135e-23,1.5429651690910994e-38,1.4858945600580096e-71,1.2133645588036433e-37,9.612012035540585e-51,6.292493773440599e-55,4.901486486249674e-69,1.2011487876764223e-51,1.3946636496210324e-53,2.0285419416309384e-23,1.4459497447119814e-54,6.25342911705403e-55,9.052048710934275e-59,2.850603565830263e-62,6.972992271377288e-49
4.316305009787042e-22,0.924651211966068,4.529589378529338e-25,1.1963298325744351e-24,7.068884837612863e-37,4.63666729515656e-23,0.0,0.0,2.6454182918895553e-20,3.3535604846655576e-37,3.5058576498058283e-51,1.1953990156288802e-51,9.431131817131827e-54,3.051978119464008e-61,1.932212665683888e-40,1.4328520321188649e-36,2.3894757874910477e-36,4.726783391187562e-36,1.021689365548099e-83,1.680756644264051e-55,5.359443647372079e-87,3.359700545985085e-86,6.060895283126106e-23,6.485197379404458e-88,4.193746844422852e-54,2.1549024390135605e-89,3.0492913187499355e-90,6.326158680604583e-73,1.0320470695072582e-87,1.3403187322872207e-87,8.280875394690985e-56,4.086550421455623e-105,1.6652267292617225e-105,4.188881593535866e-106,3.76,0.0,0.8712228239640396,0.9999999999999967,1.9140980868958686e-51,1.6821291764652073e-51,3.9495450399342647e-16,2.377311435836584e-16,6.149130639235153e-17,9.573205401741657e-17,3.2758737759100598e-15,1.3283353365915927e-32,9.074971994311256e-51,4.1726140059069524e-32,2.540135850977128e-41,2.5634810334224896e-35,3.087334406677848e-85,5.820927444615824e-83,3.18036443974457e-37,5.39845896961632e-85,3.0661560050024906e-38,1.3853474915763016e-103,5.983125871570954e-83,2.441924023370799e-86,4.191379022272066e-85,4.499622557839395e-83,9.238829186997266e-105,6.968142288483539e-104,3.0125173461919565e-70,4.753718004932457e-41,4.726783391187561e-36,1.6397261360299917e-40,2.0221137882505353e-20,6.233497995325847e-21,6.052734422022151e-34,3.491813488512814e-49,7.65226896557843e-34,8.914075595625065e-23,2.300238675207766e-21,3.5836127666121577e-35,2.8258190074218748e-34,1.9653291261436268e-49,2.528338968750459e-34,9.244956146271434e-40,1.4026406988221643e-19,5.624559381651314e-45,1.6200975450187543e-35,3.9082417831822177e-56,4.966385784271278e-66,4.593254789366601e-70,8.568518813638072e-38,1.8698601878657716e-35,5.618759119193712e-51,2.389379431163638e-21,2.07683125818869e-70,4.24368662473717e-66,1.9389939915692272e-38,1.4026406988221623e-19,2.5547898200853426e-55,1.4156596900009417e-37,6.060895283118657e-23,7.428713098875018e-38,2.9359187157736973e-70,5.841828041391778e-37,9.437130413546372e-50,6.178007700743724e-54,1.0932600780579795e-67,5.788063732192557e-51,1.3692890414402655e-52,4.636667295156285e-23,1.419768484208376e-53,6.727153683835853e-54,9.737780934617121e-58,2.798739484810839e-61,3.357195616805348e-48
9.172148145797464e-22,0.9246512119660683,9.625377467046396e-25,2.5422008942216044e-24,3.087167724821618e-36,9.852918002207687e-23,0.0,0.0,5.621513870265287e-20,1.4645879695753924e-36,3.100892940929541e-50,1.0573168918617177e-50,8.348196081158614e-53,2.69944008411273e-60,8.438480348754807e-40,6.257641268201417e-36,1.0435468535470613e-35,2.064310490651014e-35,4.0772936902693093e-82,1.486610217889933e-54,2.1388005330125087e-85,1.3407657747195398e-84,1.287940247665967e-22,2.5774303814584905e-86,3.709321591221344e-53,8.599649953716198e-88,1.2165211170471198e-88,1.1848195079246144e-71,4.1186279371863604e-86,5.348859499752265e-86,7.32434050868012e-55,3.345661025859088e-103,1.3346244500126658e-103,3.4300448193710135e-104,3.76,0.0,0.8712228239640392,0.999999999999993,1.6929980815868446e-50,1.487824207077293e-50,8.39278320986031e-16,5.051786801153336e-16,1.3066902608375626e-16,2.0343061478694087e-16,6.961231773803527e-15,5.801189399833189e-32,8.026709958181122e-50,1.8222901607622065e-31,1.1093440614648037e-40,1.1195395159724382e-34,1.232074116249267e-83,2.3229793382773908e-81,1.3889487064917834e-36,2.154383260106812e-83,1.339070882515541e-37,1.1089273766208124e-101,2.387708472612994e-81,9.745077749057679e-85,1.6726693401153116e-83,1.7956812434717117e-81,7.39539406227023e-103,5.577780156151456e-102,5.360840981718687e-69,2.076073547510479e-40,2.0643104906510137e-35,7.161114830703842e-40,4.296991800032418e-20,1.3246183240065767e-20,2.6433881416670402e-33,3.088481084547344e-48,3.341946900372804e-33,1.8942410640811493e-22,4.888007184816073e-21,1.5650578451155957e-34,1.2341094014528008e-33,1.738408004759785e-48,1.104192053064913e-33,4.037515235819664e-39,2.980611484997101e-19,2.4563934387408566e-44,7.075391616828801e-35,3.4567955978373285e-55,8.837939405409531e-65,8.173933573703862e-69,3.74209728105829e-37,8.166170696662733e-35,4.969758980151198e-50,5.0774312912225345e-21,3.695828236552401e-69,7.55185974603447e-65,8.468096180541453e-38,2.9806114849970933e-19,2.2596826637981848e-54,6.182557793330673e-37,1.287940247662714e-22,3.244314180050339e-37,5.224344133954709e-69,2.5512797842386653e-36,8.34703497618718e-49,5.4643778475976045e-53,2.0473806182208232e-66,2.5322359672319515e-50,1.2111206504483283e-51,9.852918002206484e-23,1.2558193649493451e-52,6.183413221964299e-53,8.950698350833584e-57,2.475453379652434e-60,1.4661755273336352e-47
1.8883834417818306e-21,0.9246512119660684,1.9816953763880715e-24,5.233943017518902e-24,1.2888317540985365e-35,2.0285419416309932e-22,0.0,0.0,1.1573705027016702e-19,6.1143664682588e-36,2.6064879751148926e-49,8.887385557334732e-50,7.019725814018822e-52,2.2690420441622694e-59,3.522899433785405e-39,2.61244204756515e-35,4.356602690953532e-35,8.618089938149373e-35,1.4491339834153053e-80,1.2495854631246246e-53,7.601613131831946e-84,4.7652877667871845e-83,2.6516416863779894e-22,9.144758039247753e-85,3.117908300815805e-52,3.0564502859168486e-86,4.323147782872161e-87,2.046481056143649e-70,1.4638247283384846e-84,1.9010683344735164e-84,6.156549522177733e-54,2.408749132405036e-101,9.508072034470017e-102,2.469700713865377e-102,3.76,0.0,0.8712228239640383,0.9999999999999857,1.4230668984422103e-49,1.2506058941829595e-49,1.7279259549712393e-15,1.040073753178874e-15,2.6902446546659517e-16,4.1882773632576896e-16,1.4331947769573446e-14,2.421882377789112e-31,6.746933365408546e-49,7.607702702631301e-31,4.631293081796562e-40,4.6738570973941515e-34,4.3789843812837506e-82,8.256232402072016e-80,5.798587434510674e-36,7.657015534120632e-82,5.590357337877788e-37,7.895021060248384e-100,8.486289883626296e-80,3.46355326312721e-83,5.94492881460688e-82,6.382132385703435e-80,5.265159207122753e-101,3.971106921035826e-100,9.042023721345617e-68,8.66719841336241e-40,8.618089938149372e-35,2.989624475021906e-39,8.846747823596284e-20,2.7271553729540345e-20,1.1035625139462422e-32,2.5960590447440963e-47,1.395197044549198e-32,3.899908073152853e-22,1.006354420403132e-20,6.533808421100938e-34,5.1521638161409175e-33,1.4612749950080397e-47,4.609784460904738e-33,1.6855831323080105e-38,6.136553057346985e-19,1.025496396520212e-43,2.953836720663485e-34,2.9056449876135344e-54,1.4906893570699775e-63,1.3786919353909706e-67,1.5622519515087153e-36,3.40921551446501e-34,4.177393835093005e-49,1.0453535011339704e-20,6.2337288875383105e-68,1.2737672156522196e-63,3.53526346059388e-37,6.136553057346951e-19,1.899399435028281e-53,2.58109617482016e-36,2.6516416863644083e-22,1.354437305722991e-36,8.811646902556081e-68,1.0651090878762095e-35,7.01618583987761e-48,4.593138834371882e-52,3.5361964611557073e-65,1.0608663690078145e-49,1.0180198821943591e-50,2.028541941630491e-22,1.055611756158233e-51,5.290040194609831e-52,7.6575108837238825e-56,2.080767722943095e-59,6.120994209800284e-47
3.830720696186e-21,0.9246512119660685,4.0200106836750175e-24,1.0617427264125329e-23,5.26529825096887e-35,4.1150422244514385e-22,0.0,0.0,2.3478087340519326e-19,2.4979182091488313e-35,2.1369565642851988e-48,7.28641563315182e-49,5.756215652899226e-51,1.8602977575483566e-58,1.4392193680778148e-38,1.0672678183200857e-34,1.7798143517027967e-34,3.5207709410959176e-34,4.8810822769944005e-79,1.0244856594481323e-52,2.5604297194542356e-82,1.6050795686682392e-81,5.379044563823273e-22,3.0777508316283135e-83,2.5562496010972403e-51,1.0294966347052636e-84,1.4560680598483026e-85,3.400258882517488e-69,4.93056460634481e-83,6.403321554489205e-83,5.04751126135265e-53,1.6330052090271177e-99,6.412395590098805e-100,1.6743916449397177e-100,3.76,0.0,0.8712228239640365,0.9999999999999709,1.1667162214606436e-48,1.0253222704783323e-48,3.5052212229416524e-15,2.1098638993067136e-15,5.457353442323909e-16,8.496219794025435e-16,2.907337976104522e-14,9.894179754033248e-31,5.531543605508142e-48,3.1079947872389846e-30,1.8920343392829858e-39,1.90942312849032e-33,1.4749625409141091e-80,2.7809264573114154e-78,2.368912170252473e-35,2.5790937132135895e-80,2.2838433813960807e-36,5.322767812931171e-98,2.858416153097233e-78,1.166620128494386e-81,2.0024157536241465e-80,2.1496779573456342e-78,3.549733400805628e-99,2.6772924276824646e-98,1.4851696430144938e-66,3.5408333787811283e-39,3.5207709410959167e-34,1.2213591471158601e-38,1.7946259870724413e-19,5.532229470846843e-20,4.5084129530510167e-32,2.128407881985061e-46,5.699835168567964e-32,7.911242091433934e-22,2.0414618242456347e-20,2.669273932935769e-33,2.1048270298568405e-32,1.1980567765177708e-46,1.883247365841977e-32,6.886157087708477e-38,1.2448436202046788e-18,4.189491395743823e-43,1.206738681709905e-33,2.382223312638794e-53,2.448495066596795e-62,2.264536461703786e-66,6.382308972165978e-36,1.3927757776219777e-33,3.4248846136135e-48,2.1205742451571535e-20,1.0239057758893096e-66,2.0921949960453813e-62,1.4442704764788825e-36,1.2448436202046648e-18,1.5572424137353447e-52,1.054462006506892e-35,5.37904456376779e-22,5.533318335924211e-36,1.447317800464209e-66,4.3513181605082885e-35,5.75229304474735e-47,3.765732722180244e-51,5.8753240248099426e-64,4.364285019012424e-49,8.346342055919444e-50,4.115042224449387e-22,8.654622185134019e-51,4.373907532251652e-51,6.33137808041024e-55,1.705939094106874e-58,2.5006258581632506e-46
7.715395204994336e-21,0.9246512119660693,8.096641489929238e-24,2.1384395757385504e-23,2.128317737942266e-34,8.288042790092315e-22,0.0,0.0,4.728685196752375e-19,1.0096984784139625e-34,1.7305629278057055e-47,5.900728292857502e-48,4.661939697573194e-50,1.5065173555359583e-57,5.817554797137469e-38,4.314067163130858e-34,7.194294177437686e-34,1.4231519066845276e-33,1.6020200640151476e-77,8.29655048613328e-52,8.4035820770881695e-81,5.268030924110243e-80,1.0833850318798796e-21,1.0097612447525366e-81,2.0701172022204276e-50,3.378911044063212e-83,4.778823263757808e-84,5.543280159604749e-68,1.6182606370075818e-81,2.10163422367847e-81,4.087605485036673e-52,1.0753330970910678e-97,4.2116145510400445e-98,1.1026068310037205e-98,3.76,0.0,0.8712228239640329,0.9999999999999414,9.448370453219101e-48,8.303325579108807e-48,7.059811758882467e-15,4.249444191565427e-15,1.0991571017644537e-15,1.7112104655525649e-15,5.855624374371651e-14,3.9993856509072934e-30,4.479587426696241e-47,1.2563011855531679e-29,7.647905309621137e-39,7.718193575874596e-33,4.840974746375287e-79,9.12727908524966e-77,9.575521748677246e-35,8.464843809845786e-79,9.231660102781581e-36,3.4953745643257773e-96,9.381608025824835e-77,3.82896407466904e-80,6.572129004072426e-79,7.055458301853407e-77,2.3310518653786066e-97,1.7581341478483367e-96,2.4075356078822056e-65,1.431261483514902e-38,1.423151906684527e-33,4.936928951369973e-38,3.6145283964982257e-19,1.1142377666624033e-19,1.822372598943861e-31,1.7236406154755232e-45,2.3039645076579035e-31,1.5933910128546791e-21,4.111676631928452e-20,1.0789632017085345e-32,8.508047387549783e-32,9.702235224335367e-46,7.612386958075161e-32,2.783494795028865e-37,2.5072202491446542e-18,1.693462644037593e-42,4.87783069238674e-33,1.929186202075182e-52,3.9691426520474504e-61,3.670935824977152e-65,2.5798313308850673e-35,5.629822378835784e-33,2.773562255117166e-47,4.271015733202519e-20,1.6598065244996455e-65,3.391561045160429e-61,5.837972185071513e-36,2.5072202491445972e-18,1.2610952809094993e-51,4.2623040242584675e-35,1.0833850318574519e-21,2.2366557415577847e-35,2.3461662429623293e-65,1.7588723720662891e-34,4.6583560347646335e-46,3.0495879916394263e-50,9.578163736586279e-63,1.7886100272830822e-48,6.759084190388132e-49,8.288042790084022e-22,7.008769039571194e-50,3.5567889652109797e-50,5.1485715061332875e-54,1.381513708104363e-57,1.0107929537094963e-45
1.548474422261101e-20,0.9246512119660704,1.6249903869159e-23,4.291833274409517e-23,8.557872017648517e-34,1.6634043921374011e-21,0.0,0.0,9.490438122152925e-19,4.059953173549924e-34,1.3929076389096293e-46,4.749419481929442e-47,3.752497235178207e-49,1.2125762317781248e-56,2.339213197383677e-37,1.7346674323689776e-33,2.892794047111074e-33,5.722431224359095e-33,5.191441266460556e-76,6.677785614945433e-51,2.7232300102321816e-79,1.7071366003495032e-78,2.1743461829089653e-21,3.2715756376021064e-80,1.6662104204820595e-49,1.0949562217396663e-81,1.5485841518747647e-82,8.952412264843072e-67,5.244069772510084e-80,6.810470641030165e-80,3.290060508040365e-51,6.9803652887213615e-96,2.730374216917446e-96,7.15747545717104e-97,3.76,0.0,0.8712228239640258,0.9999999999998824,7.604870530612522e-47,6.683238799106398e-47,1.4168992830764041e-14,8.528604776094996e-15,2.206000616830466e-15,3.434387437838499e-15,1.1752197170797007e-13,1.608135380295278e-29,3.605561676308316e-46,5.05153181289438e-29,3.075189088269207e-38,3.103451691030279e-32,1.5687466552347326e-77,2.957749066293151e-75,3.8502751805066283e-34,2.7430829759527114e-77,3.712009925043208e-35,2.2658500825952234e-94,3.040165871955689e-75,1.240798578762179e-78,2.1297374874098127e-77,2.286363220585228e-75,1.5110867131683e-95,1.1396971428391669e-94,3.877271165250941e-64,5.755039626883822e-38,5.722431224359088e-33,1.9851174181051804e-37,7.25433321535043e-19,2.2362674058144693e-19,7.3276800694888e-31,1.3873362122512914e-44,9.26413995324459e-31,3.1979246204975285e-21,8.252106247285336e-20,4.3384635795247773e-32,3.4210484347661005e-31,7.809227282562148e-45,3.0609073153430402e-31,1.119231014824519e-36,5.031973507024664e-18,6.809364847805539e-42,1.9613542679299144e-32,1.552776891142449e-51,6.392203178879179e-60,5.911948676799769e-64,1.0373388316341456e-34,2.2637268176714294e-32,2.232404955895236e-46,8.571898709289247e-20,2.6730761457180057e-64,5.46202273736961e-60,2.3474229394130961e-35,5.031973507024434e-18,1.0150391949350637e-50,1.713853701850484e-34,2.1743461828187847e-21,8.993494365340971e-35,3.7784297807979716e-64,7.072348450038094e-34,3.7494501866609967e-45,2.454573723836851e-49,1.5468681386849198e-61,7.388920685242678e-48,5.44029898341698e-48,1.6634043921340667e-21,5.641279697840775e-49,2.8686791539748683e-49,4.1525094395241563e-53,1.1119624216430754e-56,4.064354012766506e-45
3.102344225784436e-20,0.9246512119660727,3.255643169450381e-23,8.598620671827173e-23,3.4320894394164894e-33,3.332604618393718e-21,0.0,0.0,1.9013943972952703e-18,1.628222808437185e-33,1.117720673588134e-45,3.811110026382697e-46,3.011207702540309e-48,9.730160606101978e-56,9.38129116010399e-37,6.956792253017989e-33,1.1601397962825604e-32,2.2949508630204878e-32,1.6717268033803402e-74,5.358502403947189e-50,8.769233369547186e-78,5.4972516258253055e-77,4.356268485103062e-21,1.0534012851597197e-78,1.3370289281838848e-48,3.525933526666165e-80,4.986652694827382e-81,1.43907412512235e-65,1.688674015042765e-78,2.193080055717525e-78,2.640066356997549e-50,4.4991205817366647e-94,1.758698497996295e-94,4.613296474875014e-95,3.76,0.0,0.8712228239640116,0.9999999999997645,6.102429663076729e-46,5.362878240669571e-46,2.8387354974526983e-14,1.7086925945202696e-14,4.419687646970034e-15,6.880741382353925e-15,2.354534276321211e-13,6.449342131132982e-29,2.8932361749022484e-45,2.0258901921877717e-28,1.2332883655736174e-37,1.24462293338836e-31,5.05161418951431e-76,9.524423272389869e-74,1.544132555180153e-33,8.833164257681985e-76,1.4886820036688245e-34,1.459426834732145e-92,9.789818518727471e-74,3.9955691289198305e-77,6.858094055878146e-76,7.362453872557424e-74,9.732861479859352e-94,7.34075306439178e-93,6.223886335807545e-63,2.308028411803576e-37,2.2949508630204826e-32,7.961208713364195e-37,1.4533942853057389e-18,4.480326684105118e-19,2.9387274463617972e-30,1.113250055494892e-43,3.715334470031631e-30,6.406991836664339e-21,1.6532965477964107e-19,1.7399179378998861e-31,1.3719934324594936e-30,6.266422798914822e-44,1.2275607358744178e-30,4.4886169577387754e-36,1.008148002278492e-17,2.7308807445648075e-41,7.865907851535766e-32,1.246005665159961e-50,1.026091879718875e-58,9.4900026810503e-63,4.160192675950309e-34,9.078557015427076e-32,1.791364688367055e-45,1.7173664661446696e-19,4.2908863347884213e-63,8.767770729617024e-59,9.414215898662351e-35,1.0081480022783992e-17,8.145050290787582e-50,6.873319884145806e-34,4.356268484741397e-21,3.6067934845532983e-34,6.065217693679138e-63,2.8363280469622866e-33,3.008697613889877e-44,1.969640829735537e-48,2.4865390306105192e-60,3.121298383561289e-47,4.365497316061845e-47,3.3326046183803455e-21,4.5267767289547634e-48,2.3042791019424236e-48,3.3355214050021072e-52,8.922798150382617e-56,1.629987743551967e-44
