Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(964),S(1465),S(335),S(923),S(304),S(220),CF2O(49),S(879),CFO(51),CH2F(46),CFO3(3228),C2H3F2(66),C2H3F2(64),F(37),CF2CH(73),C2HF2(72),S(234),C2H2F3(67),C2H2F3(68),S(133),S(3636),S(149),CHFCF2(55),CF2(43),CH2F2(41),C2F(235),S(3631),S(3559),S(3935),S(3617),C2H3F2(65),S(3632),S(4348),CHO2(339),S(215),CHF2(82),S(4704),S(2774),S(4610),CHF3(42),S(221),S(3742),S(2509),S(2711),S(5098),S(2834),S(2508),S(2715),S(195),C2HFO(286),S(1948),C2HF3(125),C2HF4(54),S(5101)
0.0,0.5291928620370479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8980894484361392,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.544117831677764e-21,0.5291928620370479,1.9704645193604827e-29,3.6881234246216415e-33,1.9248690838239702e-38,2.5235466850904113e-31,0.0,0.0,2.830536006142372e-23,5.882863113622212e-41,2.431733299047965e-55,1.9758378739944544e-55,1.3460492065756733e-60,5.67216269684385e-73,4.4317094910758786e-51,9.780240759749083e-42,3.684530536979037e-46,1.357505742194074e-40,1.4573470439277827e-88,3.1636234863113007e-74,1.2039362040433428e-96,6.282817797483999e-96,1.678717160261941e-29,1.0063086093302535e-94,8.315370797138324e-65,7.186907684494733e-103,4.305759257841215e-109,9.287125631470745e-88,1.2131549132370403e-104,1.1060749913339751e-103,8.489548998433692e-65,3.070603066123898e-118,4.287894494971128e-118,8.60920653523929e-120,3.76,0.0,0.8980894484361392,0.9999999999999994,2.4382537095016425e-52,1.39461916158091e-61,2.9604456784701595e-20,1.8872090224156747e-20,8.20714338850148e-21,2.5252231720433692e-21,5.244044228329658e-16,4.5994590472448167e-42,8.138218576656938e-65,9.329093035756963e-39,3.224217968949718e-45,1.958259537243363e-38,1.8997663115356854e-102,2.5234095764525165e-101,8.900034253641168e-45,3.23808404935863e-103,7.743347910867164e-48,5.857180644846125e-119,1.6093897678440978e-101,1.6737827059561e-104,5.853529802194896e-120,7.544120833519026e-119,1.4780080775520828e-80,4.554191992777778e-103,1.280038757393347e-101,1.548628351988005e-44,1.357505742194073e-40,5.1090972578353936e-48,9.885793866681141e-60,2.1574334474802354e-23,5.386754419467072e-77,8.191453357819674e-31,1.9815526571880375e-28,1.989744110543369e-28,3.4512382346286043e-41,1.3542325011106568e-42,1.4191301774183103e-54,2.1781709391622938e-23,6.523670374445641e-24,1.670605585659697e-37,4.392272216425149e-50,6.624201822369049e-53,5.332217835306179e-38,3.687559997908585e-40,7.042661645363993e-40,5.5425188025371225e-70,3.413398318863447e-45,2.504625472565056e-69,9.598288399844424e-74,3.413234819255882e-38,6.514835173276296e-43,3.85572823385531e-38,9.95433254694184e-74,4.753107999884805e-54,9.99382549850033e-47,2.157433447480235e-23,3.306415729538161e-61,2.7700470278278724e-38,1.5291879886876512e-51,1.6787171602629118e-29,2.978021074317288e-45,1.0103157415902654e-60,1.7436118967479557e-60,3.100812857856248e-59,1.8773114293645505e-78,5.097594010514494e-62,1.7949499839327373e-58,3.316836744355651e-59,3.759135644154643e-70,2.457876531294133e-66,9.016385935623691e-74,2.523546685088847e-31,6.667081976426392e-58,3.199241220993018e-79
1.272352992869774e-20,0.5291928620370479,5.517300655132669e-29,1.0326745589037372e-32,1.162620926629662e-37,7.065930718258086e-31,0.0,0.0,7.925500817198655e-23,3.5532493206278212e-40,2.886953772627925e-54,2.3457147244444516e-54,1.5980298271160365e-59,6.733991553685987e-72,2.6767525326078867e-50,5.907265418882089e-41,2.2254564443374473e-45,8.199334682906824e-40,3.2604902849061887e-87,3.7558538030040896e-73,5.75134771905194e-95,3.001377455667293e-94,4.700408048730295e-29,6.107342928784438e-93,9.872008210371772e-64,3.37404836284915e-101,2.0581339102345007e-107,2.92002089260097e-86,5.795686061038987e-103,5.283852973355751e-102,1.0078792571244312e-63,2.3694150135287247e-116,3.3087420821055226e-116,6.643262699334251e-118,3.76,0.0,0.8980894484361392,0.9999999999999984,2.8946948039203383e-51,1.6556918686302928e-60,8.289247899716444e-20,5.2841852627645604e-20,2.2980001487804166e-20,7.070624881714685e-21,1.4683323839109636e-15,2.778073264536161e-41,9.66169309420803e-64,5.63477219349139e-38,1.9474276532319726e-44,1.1827887604950602e-37,9.075411642205709e-101,1.2054630355856833e-99,5.375620689243549e-44,1.5468716074214773e-101,4.676982138160215e-47,5.095053670811432e-117,7.688248047759348e-100,7.995860840325635e-103,5.09187786989941e-118,6.562491901168484e-117,3.306675928034195e-79,2.1755921652873904e-101,6.114898748721421e-100,9.35371524667968e-44,8.199334682906814e-40,3.085894743799201e-47,1.1736415193089014e-58,6.040813652944652e-23,1.204995486695322e-75,2.293606940248683e-30,5.548347440128707e-28,5.571283509516168e-28,2.084547893713935e-40,8.179564306701575e-42,1.6847916583079028e-53,6.09887862965439e-23,1.8266277048447106e-23,1.0090457737384265e-36,2.6571761487426974e-49,7.864252403878335e-52,3.2206595725248895e-37,2.227286238736758e-39,4.253767633799845e-39,6.580078322372963e-69,2.0616925845935631e-44,5.602747987251461e-68,2.1470991013324033e-72,2.0615938308301725e-37,3.934960444658841e-42,2.328859853248378e-37,2.2267447669057836e-72,5.642889817413618e-53,6.036270605277838e-46,6.040813652944648e-23,3.925376756598587e-60,1.67310840480793e-37,1.8154519443377564e-50,4.700408048736159e-29,1.7987247289179456e-44,1.1994468484204618e-59,2.0407501725167042e-59,3.6812850247889405e-58,5.902470862040756e-77,7.703484068689503e-61,1.0888504924207324e-57,3.9377485828821236e-58,5.680805786753307e-69,2.918389229066686e-65,1.0704253402335037e-72,7.065930718248637e-31,7.915159722413319e-57,1.0058924179944637e-77
2.908235412273769e-20,0.5291928620370479,1.2610972930370305e-28,2.3603989918255936e-32,5.5975192957598674e-37,1.6150698784613172e-30,0.0,0.0,1.8115430439311266e-22,1.710736593441346e-39,2.834428333364458e-53,2.303036627286466e-53,1.5689552521578559e-58,6.611472839419397e-71,1.2887411200019498e-49,2.8440940129254956e-40,1.0714614801566681e-44,3.947626698380734e-39,6.442821537198639e-86,3.687519535809814e-72,2.9947148335147202e-93,1.56281101865675e-92,1.0743789825654442e-28,2.760824351934981e-91,9.692396201172759e-63,1.709831573963242e-99,1.0711487934275085e-105,6.514405981748743e-85,3.0177051447195555e-101,2.7512912841029246e-100,9.895418313485602e-63,2.582304372037767e-114,3.6060275500634084e-114,7.240153398220235e-116,3.76,0.0,0.8980894484361392,0.9999999999999966,2.8420285237950365e-50,1.625568094743164e-59,1.8946852342209018e-19,1.2078137743465021e-19,5.252571768640965e-20,1.616142830103032e-20,3.356188305981598e-15,1.33752269093923e-40,9.485907572954157e-63,2.712900254639402e-37,9.376025853499505e-44,5.694618734304711e-37,4.725548026860108e-99,6.276821034439845e-98,2.5881299610240306e-43,8.054528390254205e-100,2.251765572473239e-46,5.2959218667924095e-115,4.0032548190677285e-98,4.163428162469954e-101,5.292620862455652e-116,6.821212612219918e-115,6.533849947550608e-78,1.1328263300320775e-99,3.1840151009585693e-98,4.503411248566811e-43,3.9476266983807235e-39,1.4857254826784654e-46,1.1522882345665186e-57,1.3807574063873463e-22,2.3808680901412176e-74,5.242530149418807e-30,1.2681937006018864e-27,1.2734362307440712e-27,1.0036200786273863e-39,3.938108113219605e-41,1.6541385773777868e-52,1.3940294010638466e-22,4.175149039644727e-23,4.85812104309794e-36,1.2836383555692916e-48,7.721169644666756e-51,1.5506089465069745e-36,1.0723424473917767e-38,2.048006006471841e-38,6.460359916239991e-68,9.926162311255496e-44,1.107008683367395e-66,4.242306372915375e-71,9.925686854390411e-37,1.8945140683886848e-41,1.1212457704047803e-36,4.3996728000823385e-71,5.540222684511901e-52,2.9062044612377354e-45,1.380757406387344e-22,3.8539581820694886e-59,8.055296756921881e-37,1.7824214085344393e-49,1.0743789825682672e-28,8.660085284560572e-44,1.1776240284110565e-58,1.988455220757213e-58,3.6143074669374506e-57,1.3168040921691983e-75,8.287056631013216e-60,5.290225085168518e-57,3.866104909168539e-57,6.111151638290536e-68,2.8654663446790764e-64,1.0509499507201183e-71,1.615069878456768e-30,7.771150751722314e-56,2.244090548743453e-76
6.180000251081759e-20,0.5291928620370479,2.679831749561862e-28,5.015847857824145e-32,2.444583736456196e-36,3.432023491740228e-30,0.0,0.0,3.8495289683536673e-22,7.471236154300277e-39,2.507019761974012e-52,2.037009817426236e-52,1.387723189266827e-57,5.847772853892368e-70,5.628271053636237e-49,1.2420905764782778e-39,4.679353781996075e-44,1.7240322926687917e-38,1.1465817392074974e-84,3.2615692697898115e-71,1.1951120759403852e-91,6.236768522684892e-91,2.2830553379452485e-28,1.0430291019712778e-89,8.572814677077154e-62,6.760791987471057e-98,4.273940131707961e-104,1.2200761442320389e-83,1.2042733746772803e-99,1.0979681268318992e-98,8.75238543731348e-62,2.112485307047065e-112,2.9499538818084e-112,5.922895214650504e-114,3.76,0.0,0.8980894484361392,0.9999999999999928,2.5137420443476115e-49,1.4377965708328113e-58,4.0262061227194165e-19,2.56660427048767e-19,1.11617150083621e-19,3.434303513955363e-20,7.13190014978142e-15,5.841312990005434e-40,8.390177823796174e-62,1.1847948153771213e-36,4.094756820352327e-43,2.486989612300106e-36,1.8858421674394817e-97,2.5049145023314085e-96,1.1303043502791989e-42,3.214350841854733e-98,9.834051846722171e-46,4.239219963332414e-113,1.5975939090486608e-96,1.6615148857469917e-99,4.236577612270525e-114,5.46016754134718e-113,1.1626974089147727e-76,4.5208125058077974e-98,1.2706568433773146e-96,1.966758008032814e-42,1.724032292668783e-38,6.4885535184835844e-46,1.0191859066558062e-56,2.934109488573099e-22,4.236627611814149e-73,1.1140376568705831e-29,2.694911613783443e-27,2.7060519903205564e-27,4.3830725579513414e-39,1.7198752764000098e-40,1.4630668934025587e-51,2.962312477260612e-22,8.87219170924366e-23,2.1216690937873429e-35,5.64396353019943e-48,6.829287111305867e-50,6.771916650838203e-36,4.683201197343494e-38,8.944180289612187e-38,5.7141151846693546e-67,4.335015864957176e-43,1.9698628822705633e-65,7.548957821845421e-70,4.334808220449091e-36,8.273840670060256e-41,4.8967748569926946e-36,7.828982981465023e-70,4.9002642232382016e-51,1.2692158447917537e-44,2.9341094885730873e-22,3.408782376734334e-58,3.517959725339774e-36,1.576531415549678e-48,2.283055337957579e-28,3.782086764839679e-43,1.0415951169777234e-57,1.7522320232231357e-57,3.196814023557914e-56,2.4662248437457353e-74,7.617232778031639e-59,2.352447362585743e-56,3.4195260098508457e-56,5.6172012196325215e-67,2.534541830658027e-63,9.29553337152501e-71,3.43202349172036e-30,6.873494834415945e-55,4.20293316380255e-75
1.2723529928697738e-19,0.5291928620370479,5.517300668520745e-28,1.0326745590440606e-31,1.0205655882432473e-35,7.065930718329626e-30,0.0,0.0,7.9255008171988225e-22,3.119094022842557e-38,2.107301169199377e-51,1.71222949337361e-51,1.1664649719524163e-56,4.915405438398694e-69,2.3496923721413144e-48,5.1854836507302615e-39,1.9535380907357135e-43,7.197495445850717e-38,1.9341834137001044e-83,2.7415454958787312e-70,4.247615500811699e-90,2.216645215558787e-89,4.700408048684759e-28,3.619687145500982e-88,7.20596728697508e-61,2.393606842083278e-96,1.518914780515153e-102,2.1073781282656992e-82,4.2801560594222964e-98,3.902350689715043e-97,7.356907332664071e-61,1.5203710161694064e-110,2.1231030365048223e-110,4.262750766152735e-112,3.76,0.0,0.8980894484361392,0.9999999999999852,2.1129516525943715e-48,1.2085546515364065e-57,8.289247899716446e-19,5.28418526277431e-19,2.298000148780453e-19,7.070624881616834e-20,1.4683323836015272e-14,2.4386331868532676e-39,7.052450007044452e-61,4.946285126082226e-36,1.7094803669444225e-42,1.0382692066473584e-35,6.702578431111902e-96,8.902858470456819e-95,4.718798161878986e-42,1.1424306338027508e-96,4.105523062267345e-45,3.018117470462103e-111,5.678098973950046e-95,5.905284137028341e-98,3.0162362452752124e-112,3.887372485802497e-111,1.9610860990292054e-75,1.6067675714649585e-96,4.5161134364739786e-95,8.210827531267821e-42,7.197495445850644e-38,2.7088433670336934e-45,8.566871700243574e-56,6.040813652944565e-22,7.145691749242778e-72,2.2936069411066983e-29,5.548347440160658e-27,5.5712835094398346e-27,1.8298465119757996e-38,7.180140720793986e-40,1.2297959017955617e-50,6.098878629653947e-22,1.826627704843711e-22,8.857550815163465e-35,2.387982762954066e-47,5.74042731249342e-49,2.827141896278757e-35,1.9551443108907643e-37,3.734019204371913e-37,4.803058113988118e-66,1.8097837886619318e-42,3.3224617341135544e-64,1.2732420982619823e-68,1.8096971011641777e-35,3.4541656088705148e-40,2.044307109586891e-35,1.32047243508426e-68,4.118967342386092e-50,5.298726337641543e-44,6.040813652944515e-22,2.865286997973365e-57,1.468678934152876e-35,1.3251694207746355e-47,4.700408048736234e-28,1.5789467740123444e-42,8.755234566604152e-57,1.4701602870729782e-56,2.6871148089274896e-55,4.2597872244564735e-73,6.516703011913682e-58,1.0172572762426375e-55,2.874317653071025e-55,4.80563391493012e-66,2.1304626024491347e-62,7.813456020652357e-70,7.065930718246684e-30,5.777586567458383e-54,7.259521782185769e-74
2.5810589283929697e-19,0.5291928620370479,1.1192238530075389e-27,2.0948541058150956e-31,4.169343430324193e-35,1.4333745171634726e-29,0.0,0.0,1.6077444514889431e-21,1.2742516818630767e-37,1.7276928162634305e-50,1.4037891917720017e-50,9.56338465176583e-56,4.0299463546140485e-68,9.599260025820411e-48,2.118439269449588e-38,7.980840524567229e-43,2.9404117384453798e-37,3.17784007141201e-82,2.247684635263635e-69,1.430713883896922e-88,7.466271570389806e-88,9.535113470083387e-28,1.2056554389539448e-86,5.907887348162729e-60,8.048055429687774e-95,5.115950944370639e-101,3.501440280657267e-81,1.4416713180858503e-96,1.3144191864964173e-95,6.031637119918086e-60,1.0305569800984843e-108,1.4391083045678548e-108,2.889431293756676e-110,3.76,0.0,0.8980894484361392,0.9999999999999701,1.7323254239583033e-47,9.908461211410068e-57,1.6815331453710503e-18,1.0719347247364801e-18,4.661657444669001e-19,1.4343267616767018e-19,2.978617120301983e-14,9.962612274728587e-39,5.782024606866899e-60,2.020718866667324e-35,6.983785087830992e-42,4.241668488058446e-35,2.2576130110097405e-94,2.998727925798744e-93,1.9277830199813396e-41,3.848021012153962e-95,1.67724013082113e-44,2.0347936254841034e-109,1.912540114517969e-93,1.9890623345662346e-96,2.033525316194601e-110,2.6208392582459223e-109,3.221111362854476e-74,5.41203570086489e-95,1.52115138336623e-93,3.3543909631647096e-41,2.9404117384453205e-37,1.1066509032230421e-44,7.023639027935875e-55,1.225422198168734e-21,1.1736820188844832e-70,4.6527455110937716e-29,1.1255219092971495e-26,1.1301746547543623e-26,7.475520065529319e-38,2.9333217666255338e-39,1.0082609899752414e-49,1.2372010934439834e-21,3.705444772680636e-22,3.618598522758733e-34,1.0015064264550143e-46,4.706349132799787e-48,1.1549797119981697e-34,7.987402457866804e-37,1.525468683032358e-36,3.937837230404938e-65,7.393557294595459e-42,5.457153424461949e-63,2.09130398858439e-67,7.393203147856215e-35,1.4111393578718504e-39,8.351661583632911e-35,2.1688799588094907e-67,3.376978284297178e-49,2.1647026276675403e-43,1.2254221981687135e-21,2.349135420168476e-56,6.000032664143907e-35,1.0864535820277754e-46,9.535113470293681e-28,6.450512771272624e-42,7.178070267133207e-56,1.2042318432688413e-55,2.2030590683944482e-54,7.07769779799334e-72,5.388136070930395e-57,4.4431333933731574e-55,2.356539270769932e-54,3.973391067807108e-65,1.746692892588108e-61,6.405943518181759e-69,1.4333745171295884e-29,4.736814535079036e-53,1.2061803964721694e-72
5.198470799439361e-19,0.5291928620370479,2.254211434773219e-27,4.219213200348136e-31,1.685315276602363e-34,2.8869374078750146e-29,0.0,0.0,3.238133191027182e-21,5.150729033406119e-37,1.3991304360385438e-49,1.1368248905682231e-49,7.744676870873311e-55,3.263555041263067e-67,3.88017438130365e-47,8.563070236099011e-38,3.2259833427958737e-42,1.1885614380787502e-36,5.154404762283877e-81,1.8202332936706629e-68,4.6957462231047865e-87,2.4505050885271126e-86,1.9204524312559067e-27,3.9356970882796047e-85,4.784360347018912e-59,2.6392826628704514e-93,1.6790790603367203e-99,5.708231382011699e-80,4.73170469405359e-95,4.3140553817570437e-94,4.884576125290147e-59,6.785649914918732e-107,9.475735086058269e-107,1.9025313190967233e-108,3.76,0.0,0.8980894484361392,0.9999999999999399,1.402882041890436e-46,8.024128783446776e-56,3.3867498561698617e-18,2.158967121661463e-18,9.38897203644635e-19,2.888855308637636e-19,5.99918659151763e-14,4.0270471699254203e-38,4.682433435767432e-59,8.168068738990514e-35,2.822957592934355e-41,1.7145502213207877e-34,7.409711956688863e-93,9.842125312973523e-92,7.792407194862196e-41,1.2629590271701867e-93,6.779672776129272e-44,1.3362156929025308e-107,6.277148157128022e-92,6.528301746979286e-95,1.3353828143245679e-108,1.721062273999947e-107,5.221577558565156e-73,1.7762843083610875e-93,4.9925711521799486e-92,1.3558984625906904e-40,1.1885614380787026e-36,4.4732598923758554e-44,5.687924992575384e-54,2.4681038639172263e-21,1.9025891323158176e-69,9.371022657127285e-29,2.2668962398818815e-26,2.276267262321212e-26,3.0217247336834645e-37,1.1856955578164683e-38,8.165158940054998e-49,2.4918275544008475e-21,7.463078908347426e-22,1.4626953793102177e-33,4.257944744820108e-46,3.811323548082845e-47,4.668612661262623e-34,3.228635781046311e-36,6.166188318274627e-36,3.1889626845212225e-64,2.9885940712879265e-41,8.846280905114436e-62,3.3900939007609716e-66,2.9884509194930026e-34,5.704050906287693e-39,3.3758751436733025e-34,3.515847890305032e-66,2.7347645678628905e-48,8.75007433383119e-43,2.4681038639171432e-21,1.9023908106204e-55,2.4253091351104564e-34,8.798376756236036e-46,1.920452431340911e-27,2.607400398418262e-41,5.8129874070745424e-55,9.747772989722031e-55,1.7840943507728326e-53,1.153843177768363e-70,4.381542768981401e-56,2.0282615872627264e-54,1.9083865985913352e-53,3.2310956524825e-64,1.4145215523680868e-60,5.187699475643355e-68,2.886937407738049e-29,3.8359952207155925e-52,1.9663784662503326e-71
1.0433294541532145e-18,0.5291928620370479,4.5241866361235846e-27,8.467931393378102e-31,6.776578604353092e-34,5.794063189500187e-29,0.0,0.0,6.4989106701041335e-21,2.071085490603493e-36,1.1261418964680858e-48,9.150155853376108e-49,6.233589741758732e-54,2.62679301988975e-66,1.5602010530180471e-46,3.4431728799316157e-37,1.2971537138318562e-41,4.779153269776428e-36,8.31059633970533e-80,1.4650821128718081e-67,1.5216844883867357e-85,7.941007466587105e-85,3.8543345996224125e-27,1.2719871554713961e-83,3.85086943747117e-58,8.54983064684443e-92,5.4411121581765766e-98,9.218808950866617e-79,1.5333362621954719e-93,1.3979953015219898e-92,3.931531821923941e-58,4.4046233503555144e-105,6.150780568692921e-105,1.2349493434314947e-106,3.76,0.0,0.8980894484361392,0.9999999999998795,1.1291615152917262e-45,6.458516928734632e-55,6.797183277767485e-18,4.333031915538971e-18,1.8843601220002056e-18,5.797912402283093e-19,1.2040325525207877e-13,1.6192579554416944e-37,3.768829791632664e-58,3.284344511271819e-34,1.1350988317505962e-40,6.8941310312989214e-34,2.4011612249399442e-91,3.1893992373721785e-90,3.133292662500011e-40,4.092693840509077e-92,2.726076604976591e-43,8.66191700397906e-106,2.0341471896102086e-90,2.1155350049720456e-93,8.656517923758685e-107,1.115665580387555e-105,8.409203467394013e-72,5.7561549408445814e-92,1.6178723720711888e-90,5.452008109087769e-40,4.779153269776055e-36,1.798678131259971e-43,4.578136875099004e-53,4.9534671954139605e-21,3.06406114470276e-68,1.880757697343178e-28,4.549644901141598e-26,4.5684524772392797e-26,1.2150222253167474e-36,4.767629688925065e-38,6.572030281015787e-48,5.0010804763133224e-21,1.4978347179652767e-21,5.8814337885143925e-33,1.8807377816545964e-45,3.0676847691476232e-46,1.8772286177876122e-33,1.298220247501638e-35,2.479397202896549e-35,2.566754602009653e-63,1.201700531752127e-40,1.4246662712950925e-60,5.459641727529685e-65,1.2016429710284246e-33,2.2935737820893503e-38,1.3574245476236533e-33,5.662164645791604e-65,2.201176442011404e-47,3.518366571577135e-42,4.953467195413625e-21,1.531209696128237e-54,9.752061363266557e-34,7.081689342874976e-45,3.85433459996421e-27,1.0484242336016292e-40,4.67879798483279e-54,7.844086167039992e-54,1.4359943446306272e-52,1.863459654490507e-69,3.533872975471184e-55,1.002351107817508e-53,1.5360355599698988e-52,2.6059957378080667e-63,1.1385317485218218e-59,4.175512387783044e-67,5.794063188949453e-29,3.0875426776712413e-51,3.175706472067328e-70
2.0902942025717715e-18,0.5291928620370479,9.064137190100338e-27,1.6965367795293577e-30,2.7177111102264516e-33,1.160831475355889e-28,0.0,0.0,1.3020465628259927e-20,8.305979132947244e-36,9.036579498916912e-48,7.342424006275046e-48,5.002063218161768e-53,2.1078359685096916e-65,6.2571040389591995e-46,1.3808663243208847e-36,5.20216655931655e-41,1.9166542157134016e-35,1.33710913313102e-78,1.1756361301907634e-66,4.900066512053571e-84,2.5571309331981787e-83,7.722098935840903e-27,4.090580617664349e-82,3.0900802046811976e-57,2.753053829101638e-90,1.7521178879580005e-96,1.4818966211842233e-77,4.9375858339807505e-92,4.5017676231615e-91,3.1548067003407273e-57,2.8388954641524277e-103,3.9643396599171917e-103,7.95957299795464e-105,3.76,0.0,0.8980894484361392,0.9999999999997587,9.060810039116937e-45,5.182553092745893e-54,1.3618050120962732e-17,8.681161503404145e-18,3.77528595871175e-18,1.1616026588468366e-18,2.4122603357624176e-13,6.493948632235679e-37,3.0242485552152234e-57,1.3171690415458935e-33,4.552253996271216e-40,2.7648548911186943e-33,7.732121743341238e-90,1.0270373733000391e-88,1.2565904989638321e-39,1.3179126325728155e-90,1.0932786451746429e-42,5.579113202086721e-104,6.550278065018711e-89,6.812359804974037e-92,5.575635661462898e-105,7.18596652095519e-104,1.34986449514556e-70,1.8535736118861858e-90,5.2098068253486834e-89,2.1864991192933343e-39,1.916654215713118e-35,7.213503806043532e-43,3.673666521976935e-52,9.924193858406428e-21,4.918496721157345e-67,3.7680685702990666e-28,9.115142224022048e-26,9.152822906212889e-26,4.87278255493763e-36,1.9120327424921445e-37,5.273640413393465e-47,1.0019586320133256e-20,3.0008883722150485e-21,2.3587180027400816e-32,8.895221660206454e-45,2.4616238311936253e-45,7.528526368335452e-33,5.206443835670464e-35,9.943491721116118e-35,2.059658919592024e-62,4.819356606037334e-40,2.2869048837059323e-59,8.763934107412352e-64,4.819125761657731e-33,9.19825669211148e-38,5.443879558865564e-33,9.089028225763405e-64,1.766305467305453e-46,1.4110224912758586e-41,9.924193858405083e-21,1.2286994572230487e-53,3.911012778241488e-33,5.682594121910008e-44,7.722098937211667e-27,4.204650105255856e-40,3.7544407242599955e-53,6.293676255844567e-53,1.1522950232782986e-51,2.9954568355796335e-68,2.838598954155385e-54,5.518150953659284e-53,1.2325717999998452e-51,2.0932775603569725e-62,9.136007229058621e-59,3.3505865774054093e-66,1.1608314751350194e-28,2.477558552181187e-50,5.104855401097472e-69
