Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949),S(195),S(2224),S(2641),S(2826),C2FO(289),S(1665),C2FO(7367),S(3464),S(6251),S(5206),CFO3(444),C2H2O(907),S(5104),CF3CCH(84)
0.0,0.7539714091496446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7907599682251584,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1776130703508713e-22,0.7539714091496446,1.2206753304573332e-26,1.492367681283852e-27,4.4443276146667456e-38,7.057527027837257e-26,0.0,0.0,1.0093567011570616e-21,2.149742523873023e-39,9.758298116265223e-54,8.23630865260216e-54,3.970009403069811e-57,2.0960258306007315e-65,2.059083856803669e-44,1.0544625377384616e-38,6.788348720415833e-40,2.788976317056395e-38,1.5960887388632967e-88,4.782583822967688e-62,2.1760778671822393e-91,1.2971933603804188e-90,5.191406247143119e-25,4.1418084223380254e-92,2.611761889520541e-58,1.8749219060589095e-95,1.240941298948984e-97,1.6606916133600838e-78,3.128838987655877e-94,8.628868578531367e-95,1.0246635648047943e-59,1.248331298205408e-111,9.563209122022844e-113,2.340983200672294e-112,3.76,0.0,0.7907599682251584,0.9999999999999993,5.5102357890648e-53,1.1849308396700212e-55,8.641112024586367e-18,5.401863166688018e-18,1.5798033457730478e-18,1.6594455121253032e-18,5.430385819268143e-16,3.349261231240419e-36,5.312577370297085e-56,6.244069426180155e-35,2.8136452580199694e-43,1.653131721731979e-37,3.002131981826371e-92,2.6378995768044237e-90,2.7597837291116156e-40,2.6022434300657775e-92,7.209991835506493e-42,2.4718460199899866e-110,2.1443153512145315e-90,1.4375114310745667e-93,2.653304836291779e-92,1.32592171026776e-90,1.6738815648982953e-111,1.5178503190429293e-110,1.2568731310227673e-74,6.8481482539211e-43,2.788976317056394e-38,1.5599469994830926e-43,7.731138888617693e-22,2.3625501904858593e-22,5.5557115861716825e-36,8.560400894002695e-52,2.725069505134773e-36,1.8769306413358178e-25,8.353864505279403e-24,4.259619719146313e-38,4.752626542141993e-37,4.2506666669394135e-52,5.297775021451339e-37,2.0198683947286003e-42,5.300838195435958e-21,1.5460117438146846e-47,1.1317800012737556e-37,2.7325259773597584e-61,1.5495146853678476e-68,1.1383294651808395e-72,6.353967423089835e-39,1.5893150543088397e-38,9.846486644207609e-55,8.541557569412066e-24,7.378598341224722e-73,1.9639957676387426e-52,1.047505293136282e-41,5.300838195435958e-21,2.6011948049313276e-58,9.79826772315863e-39,5.1914062471429e-25,6.797767226029358e-41,8.441100820916155e-74,4.357143906859099e-38,1.8549609089163378e-51,1.5158608827474935e-57,1.5205926062863489e-72,7.294962247831104e-55,7.7593708754356225e-56,7.05752702783714e-26,5.368201197791122e-58,1.79611196817372e-57,1.636558666921325e-62,4.4772819819165113e-66,4.893177493157382e-52,1.1044142093998034e-57,9.590155611460959e-61,2.777773545084892e-76,6.946187976028678e-78,2.9554394937003108e-108,1.9496230022496586e-89,9.173007211321882e-74,1.617279426399671e-72,7.8312112780508235e-118,6.542029611575237e-74,4.4281936596657614e-89
6.09731659698244e-22,0.7539714091496446,3.4178909264204326e-26,4.178629507595933e-27,2.6843738792587626e-37,1.976107567794433e-25,0.0,0.0,2.826198763239771e-21,1.298444484419305e-38,1.1585051727691364e-52,9.778145632459287e-53,4.714601093990101e-56,2.488401866088872e-64,1.2436866495092622e-43,6.368953727940438e-38,4.1001626271319197e-39,1.6845416955029468e-37,7.62470907289735e-87,5.6778835146323e-61,1.0395385169155147e-89,6.196848425877012e-89,1.4535937492001445e-24,2.0372713875938655e-90,3.1006837152392565e-57,8.9567269458696e-94,5.93283783078092e-96,5.221480143063631e-77,1.4946879877482163e-92,4.12211718605623e-93,1.2164805841370677e-58,9.648044225792713e-110,7.957675953227924e-111,1.8146568054634795e-110,3.76,0.0,0.7907599682251584,0.9999999999999984,6.5417519289660044e-52,1.406749892856569e-54,2.4195113668841835e-17,1.512521686672718e-17,4.423449368164571e-18,4.6464474339500824e-18,1.520508029394089e-15,2.022953783669292e-35,6.30709185401691e-55,3.7714179334098716e-34,1.6994417358434173e-42,9.984915599263075e-37,1.4341544733035555e-90,1.260156282634419e-88,1.6669093723841792e-39,1.243122913465297e-90,4.354835068647516e-41,2.1502133708231757e-108,1.0243651750594487e-88,6.867164607620126e-92,1.2675155599561352e-90,6.334087120554534e-89,1.4560787738845458e-109,1.3203500640899319e-108,2.8118534533363042e-73,4.1362815462208046e-42,1.6845416955029462e-37,9.42207987689914e-43,2.164718888812947e-21,6.615140533360225e-22,3.3556497980476364e-35,1.0162918858232911e-50,1.645941981101382e-35,5.255405795754157e-25,2.3390820614783158e-23,2.5728103103640244e-37,2.870586431453369e-36,5.0465167010235164e-51,3.1998561129565596e-36,1.2200005104160523e-41,1.4842346947220685e-20,9.337923064782375e-47,6.835951207693485e-37,3.244054840324536e-60,3.466284544408461e-67,2.5464578482932356e-71,3.837796323545878e-38,9.599462928025443e-38,1.1689806195866226e-53,2.3916361194353025e-23,1.650602064703858e-71,2.3316557753398594e-51,6.326931970584409e-41,1.4842346947220682e-20,3.0881384724326906e-57,5.918153704787254e-38,1.4535937492000121e-24,4.105851404526333e-40,1.8882493236925047e-72,2.631714919742759e-37,2.202209590255798e-50,1.799630039998149e-56,4.7783957637103625e-71,4.4329667517713774e-54,9.21192510331321e-55,1.9761075677943616e-25,6.373789496303849e-57,2.714284406304148e-56,2.4731674574525694e-61,5.315429169138929e-65,2.95547945912032e-51,1.3111605493993372e-56,1.1385432741955123e-59,6.213796824507701e-75,1.553836136244985e-76,2.570882980992291e-106,9.313583036505438e-88,2.8840312815958387e-72,3.6193176371097187e-71,6.812226716835109e-116,2.0569187823531164e-72,2.550294967005999e-87
1.3936723650245577e-21,0.7539714091496446,7.812322122906234e-26,9.551153160224682e-27,1.292410470345161e-36,4.51681729781585e-25,0.0,0.0,6.459882887405185e-21,6.251451259422741e-38,1.1374272574087048e-51,9.600241365752075e-52,4.629439382149357e-55,2.4431277081472323e-63,5.9878158555827615e-43,3.0663770597436397e-37,1.97405180789806e-38,8.110343130013006e-37,3.9701696787843896e-85,5.574579704066321e-60,5.41285548368461e-88,3.226686094003259e-87,3.3224999981720944e-24,1.0418797114978694e-88,3.0442696584266027e-56,4.663749162977853e-92,3.087220088528139e-94,1.164883496596184e-75,7.782796280050824e-91,2.1463765511683808e-91,1.194347851138937e-57,1.0515737373606776e-107,8.419365395918917e-109,1.978162299158074e-108,3.76,0.0,0.7907599682251584,0.9999999999999964,6.422730836001453e-51,1.3811553867202307e-53,5.5303116957352764e-17,3.4571924266808416e-17,1.0110741412947766e-17,1.0620451277596579e-17,3.475446924324675e-15,9.739651660448332e-35,6.192340182818939e-54,1.8157753891287774e-33,8.182080410312328e-42,4.807307046799425e-36,7.467612609391864e-89,6.561607637920512e-87,8.025451084267823e-39,6.472915237814814e-89,2.096665625767608e-40,2.2349837204142234e-106,5.333848229236093e-87,3.5757183740806846e-90,6.59992724237818e-89,3.2981460317444847e-87,1.5134834521218482e-107,1.3724037523582734e-106,5.556017139834399e-72,1.9914415134945037e-41,8.110343130013003e-37,4.536325874528722e-42,4.947928888715271e-21,1.5120321219108227e-21,1.615600929258635e-34,9.978018784008794e-50,7.924502120931603e-35,1.2012356104646299e-24,5.346473283379401e-23,1.2386974143272245e-36,1.3820637984543003e-35,4.954754899310426e-50,1.540592976237975e-35,5.873777291870432e-41,3.392536445079014e-20,4.495820349225621e-46,3.291216243704081e-36,3.185032279219604e-59,6.848873370263799e-66,5.03142979816912e-70,1.847733726633951e-37,4.621728177930186e-37,1.1477146130140016e-52,5.466596844423191e-23,3.261349257687209e-70,2.2892334667570627e-50,3.0461453925021205e-40,3.392536445079013e-20,3.0319526646843564e-56,2.8493362538936896e-37,3.3224999981714574e-24,1.976790709336107e-39,3.730870984293659e-71,1.2670574481144213e-36,2.162142432922881e-49,1.7668874449314426e-55,1.0659081464775732e-69,2.1615893527916963e-53,9.044322692395483e-54,4.516817297815508e-25,6.258113984835988e-56,2.9199033044207287e-55,2.660520693644038e-60,5.2187198787654545e-64,1.4229363948899454e-50,1.2873052024760706e-55,1.1178285380804628e-58,1.2277442904300389e-73,3.070119971554557e-75,2.6722375300454255e-104,4.8495633780405575e-86,6.4340622903347915e-71,7.152514328265687e-70,7.080793291036506e-114,4.588872652486007e-71,1.1437007174237811e-85
2.961553775677185e-21,0.7539714091496446,1.660118453411624e-25,2.0296200465500523e-26,5.64429607062751e-36,9.598236757858695e-25,0.0,0.0,1.372725113573598e-20,2.730173005318728e-37,1.0060415317756287e-50,8.491304769072612e-51,4.094931376207881e-54,2.1609187903140695e-62,2.615036498138273e-42,1.339167422928046e-36,8.621202874939848e-38,3.541999922674949e-36,1.584390424128839e-83,4.930652618158248e-59,2.1601285278607868e-86,1.2876857117309865e-85,7.060312496117132e-24,4.131354390244675e-87,2.692622037623166e-55,1.8611798723449082e-90,1.2317454114541997e-92,2.1816978689735394e-74,3.1059078563342963e-89,8.565623497437412e-90,1.0563871487762812e-56,8.602737519001327e-106,6.7959034192096e-107,1.6183789248073365e-106,3.76,0.0,0.7907599682251583,0.9999999999999926,5.680832689364018e-50,1.2216162984678714e-52,1.1751912353437463e-16,7.346533906698253e-17,2.148532550251476e-17,2.2568458964877313e-17,7.385324714169991e-15,4.253561763676566e-34,5.477054765682863e-53,7.929968171203212e-33,3.573329477675258e-41,2.0994772866025149e-35,2.9801281605034453e-87,2.6185653598674827e-85,3.504925335983278e-38,2.583170551260604e-87,9.15668963111689e-40,1.7890346277312414e-104,2.1285988097112938e-85,1.4269753371000824e-88,2.633857708094376e-87,1.3162035018064692e-85,1.211496208948354e-105,1.0985663178530113e-104,9.886853576167597e-71,8.697148295326292e-41,3.541999922674946e-36,1.9811326893764794e-41,1.0514348888519796e-20,3.2130682590601323e-21,7.055753714437104e-34,8.825446516808433e-49,3.4608382715208317e-34,2.5526256722652448e-24,1.1361255727182901e-22,5.409717043310411e-36,6.035835708514224e-35,4.382446391611854e-49,6.728174277242427e-35,2.565232861304971e-40,7.209139945792907e-20,1.9634537194642512e-45,1.4373606016176694e-35,2.8171249816375988e-58,1.2187268523505392e-64,8.953207731019337e-69,8.069538627318166e-37,2.0184301189723105e-36,1.0151415740895131e-51,1.161651829439775e-22,5.803427367316409e-69,2.02480107659926e-49,1.3303317223469114e-39,7.2091399457929e-20,2.6817277962103685e-55,1.2443800008402774e-36,7.060312496114348e-24,8.633164377126628e-39,6.638892489185729e-70,5.5335727617089404e-36,1.912390493385381e-48,1.5627919356793466e-54,1.9962345116425284e-68,9.680150143020433e-53,7.999600997713318e-53,9.5982367578572e-25,5.5353459859167745e-55,2.68389419180279e-54,2.4454768848144047e-59,4.6158986334280045e-63,6.21433934173373e-50,1.1386068733221071e-54,9.88706682936928e-58,2.184707597809204e-72,5.463115760200025e-74,2.13904253745196e-102,1.9353334385341268e-84,1.2050247284262813e-69,1.2728622260366035e-68,5.667954211086102e-112,8.5944506177321e-70,4.302956130336462e-84
6.09731659698244e-21,0.7539714091496446,3.4178909429489865e-25,4.1786295076125593e-26,2.356382501296978e-35,1.976107567794443e-24,0.0,0.0,2.8261987632397475e-20,1.1397934861574665e-36,8.4563852741554635e-50,7.137453298469561e-50,3.4421335688475336e-53,1.8163824483815666e-61,1.0917262608751579e-41,5.590760375091122e-36,3.599182491575041e-37,1.4787152433152452e-35,5.631171610561038e-82,4.144510619699421e-58,7.677435110950148e-85,4.57663669446104e-84,1.453593749201176e-23,1.46440315538613e-85,2.263311065273835e-54,6.614924837070718e-89,4.377389732056018e-91,3.768340518719598e-73,1.1038880252897989e-87,3.0443564667667833e-88,8.879570506520602e-56,6.191521559298289e-104,4.8587662351601186e-105,1.1647980948018566e-104,3.76,0.0,0.7907599682251581,0.9999999999999848,4.775082171271354e-49,1.0268421067675207e-51,2.419511366884183e-16,1.5125216866737737e-16,4.423449368165115e-17,4.6464474339389774e-17,1.520508029379721e-14,1.775778304804781e-33,4.603794547864035e-52,3.310605609719693e-32,1.4917947157930793e-40,8.764904388648974e-35,1.059184224148974e-85,9.306791418607537e-84,1.4632373331853125e-37,9.180992725260754e-86,3.8227376712066816e-39,1.2737052363617521e-102,7.565373558935144e-84,5.07169384637661e-87,9.361142819449726e-86,4.6779933942054095e-84,8.625261027650196e-104,7.821255384609685e-103,1.667579798647186e-69,3.6308882157419292e-40,1.4787152433152425e-35,8.270838991555919e-41,2.1647188888128347e-20,6.615140533357587e-21,2.945638282987386e-33,7.418320323672136e-48,1.4448318516221593e-33,5.2554057959552205e-24,2.339082061479524e-22,2.2584503750865097e-35,2.519842592638188e-34,3.683718895352262e-48,2.808880316372803e-34,1.070934222884787e-39,1.4842346947220702e-19,8.197123509081868e-45,6.000697566753449e-35,2.3679632915981986e-57,2.055566112689987e-63,1.5100931251527643e-67,3.3688735277168974e-36,8.426548417946229e-36,8.532880549240872e-51,2.391636119434201e-22,9.788352993657288e-68,1.701967308293332e-48,5.5538730647829025e-39,1.4842346947220673e-19,2.2541537990512953e-54,5.195041546810887e-36,1.453593749200014e-23,3.604176183302913e-38,1.1197468073472552e-68,2.310157699414792e-35,1.6074794347292445e-47,1.313620787218439e-53,3.447921336223646e-67,4.241782263266832e-52,6.724146650671706e-52,1.9761075677938187e-24,4.652837441390839e-54,2.2961279867699687e-53,2.0921569611014054e-58,3.8799409314687705e-62,2.594366239753288e-49,9.570676832372242e-54,8.31067541072229e-57,3.684830472126886e-71,9.214344280876944e-73,1.5228937352072787e-100,6.878478159802553e-83,2.0813772966670735e-68,2.1469581162690244e-67,4.0353070793478415e-110,1.4844776153212408e-68,1.4899879868730094e-82
1.2368842239592949e-20,0.7539714091496448,6.933435951205159e-25,8.476648429766926e-26,9.626591386478418e-35,4.0086753518116045e-24,0.0,0.0,5.733146062572e-20,4.6564282964098304e-36,6.933055566641971e-49,5.851715441785828e-49,2.8221076702879213e-52,1.4891800723851253e-60,4.460057997172837e-41,2.2840080352445388e-35,1.4703834862458975e-36,6.041034261897756e-35,1.89673366905923e-80,3.397920206864019e-57,2.5859715883361958e-83,1.5415372823802967e-82,2.948718748381923e-23,4.926395097808062e-84,1.855599154811286e-53,2.228088910551808e-87,1.4743589009535649e-89,6.261154132187788e-72,3.7181984671717705e-86,1.0254230583745109e-86,7.280008382380027e-55,4.196837243671133e-102,3.2826475765380727e-103,7.895507433114919e-103,3.76,0.0,0.7907599682251579,0.9999999999999691,3.91490086232771e-48,8.418671983174759e-51,4.908151629965056e-16,3.0682582786835333e-16,8.973283003993351e-17,9.425650508821859e-17,3.084459145279796e-14,7.254633797325399e-33,3.7744689198920024e-51,1.3524904139535918e-31,6.094468174604388e-40,3.580749434562326e-34,3.56762417614487e-84,3.1347836674501104e-82,5.977801948692249e-37,3.092411202993221e-84,1.5617130715558875e-38,8.587231349412996e-101,2.5482261720517476e-82,1.7082861666320845e-85,3.1530907162078948e-84,1.575677011443373e-82,5.815090476110209e-102,5.2730355119126146e-101,2.739018758117015e-68,1.4833363141197603e-39,6.041034261897735e-35,3.3789075990114466e-40,4.391286888734347e-20,1.3419285081947836e-20,1.2033893524104193e-32,6.08198749712957e-47,5.9026095508996055e-33,1.0660966043690158e-23,4.744995039004124e-22,9.226506696418485e-35,1.0294379195294707e-33,3.0201387499265917e-47,1.1475192607458547e-33,4.37511573771525e-39,3.0108760950076326e-19,3.3488665702977174e-44,2.4514807539590014e-34,1.94139937279794e-56,3.3762776226363965e-62,2.4803355119853257e-66,1.3762947597064335e-35,3.442519980235762e-35,6.995772581222239e-50,4.851604699421107e-22,1.6077418756132945e-66,1.3953756278635712e-47,2.268938365631113e-38,3.0108760950076196e-19,1.8480914748873248e-53,2.1223439819004298e-35,2.9487187483771753e-23,1.4724235722793724e-37,1.839187935315262e-67,9.437747987996976e-35,1.3179087519909002e-46,1.0769856869898756e-52,5.728708972685138e-66,1.896765646044361e-51,5.512861680008522e-51,4.008675351809057e-24,3.814695397364917e-53,1.89848302222331e-52,1.7298358337989942e-57,3.1810099939331925e-61,1.0598848089005544e-48,7.846619103106142e-53,6.813593811849516e-56,6.052346541747856e-70,1.5134588986167858e-71,1.0267242633346539e-98,2.3168608838787664e-81,3.458236820860585e-67,3.5264578686488595e-66,2.7205765835367436e-108,2.4664817600984703e-67,4.957301327849764e-81
2.491189352481397e-20,0.7539714091496448,1.3964526084443291e-24,1.7072686274193077e-25,3.891222154370896e-34,8.073810919845998e-24,0.0,0.0,1.1547040661236322e-19,1.8822027672919006e-35,5.614568151718674e-48,4.738870882241651e-48,2.2854313627470065e-51,1.205976632212819e-59,1.8028267526417819e-40,9.232325659930861e-35,5.943525145536237e-36,2.4418826365290265e-34,6.225269793641158e-79,2.751723880629556e-56,8.487417683448906e-82,5.059479712106565e-81,5.938968746750703e-23,1.615926989602886e-82,1.5027123052310366e-52,7.312811192084653e-86,4.838888315466974e-88,1.0207261469290935e-70,1.2203499002796464e-84,3.3655410828988706e-85,5.895539535146106e-54,2.7633932867908414e-100,2.1579257293895592e-101,5.198797462962934e-101,3.76,0.0,0.7907599682251575,0.9999999999999378,3.170388218976015e-47,6.817658840825805e-50,9.885432156126802e-16,6.179731462710508e-16,1.8072950275653665e-16,1.8984056658509196e-16,6.212361376978476e-14,2.9324389724978216e-32,3.056662791047308e-50,5.466982497667467e-31,2.4634814783053498e-39,1.447396172717064e-33,1.170929977036882e-82,1.028867388041925e-80,2.4163231245279817e-36,1.0149603209836363e-82,6.312693931740542e-38,5.639094375662883e-99,8.36353344891118e-81,5.606766248615628e-84,1.0348759447949557e-82,5.171529723073229e-81,3.8186748048823024e-100,3.462716175673371e-99,4.440078575719169e-67,5.995882587357977e-39,2.4418826365290086e-34,1.3658084757099635e-39,8.844422888576586e-20,2.702757417910969e-20,4.864292167843589e-32,4.925351280921459e-46,2.3859291550796676e-32,2.1472086540579974e-23,9.556820994061854e-22,3.7295015258252313e-34,4.161152663681059e-33,2.445788033774411e-46,4.638456324476813e-33,1.7684917332656245e-38,6.0641588955787715e-19,1.3537253600959298e-43,9.90927716555231e-34,1.572195546317579e-55,5.4730948054388424e-61,4.020733163444546e-65,5.563203469314301e-35,1.3915216171705263e-34,5.665358641078094e-49,9.771541859387149e-22,2.606220427118005e-65,1.130011360985705e-46,9.171411647947966e-38,6.064158895578719e-19,1.4966323916768846e-52,8.578853708421615e-35,5.938968746731512e-23,5.951771499647045e-37,2.9814032523131066e-66,3.814888633349425e-34,1.067276662821326e-45,8.721709320690278e-52,9.339189368387182e-65,8.991771833983448e-51,4.464458318995306e-50,8.073810919835698e-24,3.0892464759071367e-52,1.5438148644643035e-51,1.4066737716777248e-56,2.5760643698353556e-60,4.2842363725862154e-48,6.354395587015208e-52,5.5178249236383074e-55,9.811115698212586e-69,2.4533821609641635e-70,6.742330278017767e-97,7.604169406612172e-80,5.637796640443913e-66,5.716598689685798e-65,1.7865592738949435e-106,4.020987776819123e-66,1.617324971076847e-79
4.999799609525601e-20,0.753971409149645,2.802670681782268e-24,3.4264761963515044e-25,1.5646433140576636e-33,1.620408205591505e-23,0.0,0.0,2.317482985856426e-19,7.568254544995304e-35,4.519092905806343e-47,3.8142555609165937e-47,1.8395201462276676e-50,9.706749111921091e-59,7.2490870811102736e-40,3.7122775426199144e-34,2.3898653204769703e-35,9.81870268392207e-34,2.017335693207007e-77,2.2148267738274894e-55,2.7503981736921796e-80,1.6395544884784105e-79,1.1919468743517399e-22,5.234973406368154e-81,1.209513596278634e-51,2.3697601434309044e-84,1.5680537896810385e-86,1.648475453825855e-69,3.954616318452533e-83,1.0906235912747594e-83,4.745243118444864e-53,1.7937445090795156e-98,1.3995924780550072e-99,3.3745969832500493e-99,3.76,0.0,0.7907599682251565,0.9999999999998753,2.5518042561770555e-46,5.48744495807538e-49,1.983999320845027e-15,1.2402677830794272e-15,3.6272284818989647e-16,3.8100868957570144e-16,1.2468165839969954e-13,1.1791208135093887e-31,2.460268137893433e-49,2.1982496175326815e-30,9.905550676154314e-39,5.819916351772831e-33,3.794468224485467e-81,3.3341059563303155e-79,9.715929010268427e-36,3.289039278811888e-81,2.5383064657761356e-37,3.6555002108743124e-97,2.710252750951221e-79,1.8169059456554165e-82,3.353577042090947e-81,1.675864961165692e-79,2.4754270144268258e-98,2.2446795295661186e-97,7.150618571604452e-66,2.4109180501880754e-38,9.818702683921925e-34,5.49185581123548e-39,1.77506948882579e-19,5.424415237335883e-20,1.9559104867533362e-31,3.964351254521763e-45,9.593716195590358e-32,4.309432754003934e-23,1.9180472904211435e-21,1.4996161605768524e-33,1.6731811846362106e-32,1.968583536238193e-45,1.8651028873980834e-32,7.111027478359873e-38,1.2170724496721102e-18,5.443752239796046e-43,3.9844767656842796e-33,1.265439753674954e-54,8.814253085193141e-60,6.475268737366857e-64,2.2369396471383302e-34,5.595247221300744e-34,4.559973759990869e-48,1.961141617928812e-21,4.197238903427456e-64,9.095314520646449e-46,3.6877842879416153e-37,1.2170724496720885e-18,1.2046199533894703e-51,3.449519344964699e-34,1.1919468743440232e-22,2.393181143342352e-36,4.801458308623764e-65,1.5339499409746296e-33,8.590370872640541e-45,7.019990432935503e-51,1.5082773655644243e-63,4.680907335988353e-50,3.593384454115756e-49,1.620408205587363e-23,2.4864972144043517e-51,1.245142616725433e-50,1.1345333571455433e-55,2.073440723004422e-59,1.7226826664084292e-47,5.114570388322165e-51,4.441225539193456e-54,1.5800500285813614e-67,3.951096390566282e-69,4.3706645175450946e-95,2.46417631716825e-78,9.105054862251656e-65,9.206452918527569e-64,1.1581249790016973e-104,6.493906000182667e-65,5.225583892070218e-78
1.0017020123614008e-19,0.7539714091496452,5.6151070152194016e-24,6.864891334403763e-25,6.274919493212712e-33,3.246462432805423e-23,0.0,0.0,4.643040825321729e-19,3.035208571000672e-34,3.626287454769205e-46,3.060699878125695e-46,1.4761015371800914e-49,7.789054852472677e-58,2.907208142820238e-39,1.4887893302658834e-33,9.584428828743642e-35,3.937738928735472e-33,6.496142361580745e-76,1.7772590012865528e-54,8.85672035926904e-79,5.279626694176581e-78,2.388046873716734e-22,1.685500184450162e-79,9.705584885284783e-51,7.631006465196654e-83,5.0493563299116875e-85,2.649876146569907e-68,1.2734494493538214e-81,3.511981723061732e-82,3.8077587579183945e-52,1.1561162023942732e-96,9.017091562763561e-98,2.1750206267237086e-97,3.76,0.0,0.7907599682251545,0.9999999999997502,2.0476622085684378e-45,4.4033289917467425e-48,3.974911531309718e-15,2.4848570567081056e-15,7.267095390572305e-16,7.633449355443715e-16,2.4979774764329374e-13,4.728801836871498e-31,1.9742102383934396e-48,8.815964156540463e-30,3.972568857511715e-38,2.334046759241056e-32,1.2218792283684917e-79,1.0736352425906087e-77,3.8965220888988686e-35,1.0591230545559689e-79,1.0179744213556629e-36,2.35449606450061e-95,8.72744570171177e-78,5.850726646012439e-81,1.0799052426333319e-79,5.3965522023009e-78,1.5944146702587046e-96,1.4457909488505782e-95,1.1478333553688645e-64,9.668859952677577e-38,3.937738928735357e-33,2.202479810237633e-38,3.5563238887607887e-19,1.0867730876155882e-19,7.844075854208018e-31,3.181142234717174e-44,3.8475092838692074e-31,8.633880956167705e-23,3.842777672464708e-21,6.0141315235229835e-33,6.710204898840945e-32,1.579664529758914e-44,7.479896766105226e-32,2.8518400672924787e-37,2.4383855699005968e-18,2.183574818798575e-42,1.5979533931183858e-32,1.015435707836195e-53,1.414883036534236e-58,1.0394241922463831e-62,8.971128480613233e-34,2.243944389291792e-33,3.659091865562561e-47,3.929116481896564e-21,6.73749898815627e-63,7.298417099545214e-45,1.478966440960076e-36,2.438385569900511e-18,9.666316490707164e-51,1.383411540836538e-33,2.3880468736857886e-22,9.597726762644565e-36,7.707404173420804e-64,6.151825339144383e-33,6.893231270431599e-44,5.633100219006845e-50,2.4245084264088658e-62,2.7317654314891794e-49,2.8834647208072786e-48,3.246462432788811e-23,1.9952585765977106e-50,1.0001662635153065e-49,9.113188910789729e-55,1.663805608504161e-58,6.908808701387493e-47,4.1041206321887106e-50,3.5638037977598046e-53,2.5363302977324426e-66,6.3423847869921665e-68,2.8151311175541845e-93,7.9350403755951e-77,1.4636108343065508e-63,1.4778433485822493e-62,7.459465024415004e-103,1.0438764233533833e-63,1.6802551546438102e-76
