Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782),S(5203),S(2642),S(2822),C2HF3(125),C2HFO(286),S(2949),S(195),S(2224),S(2641),S(2826),C2FO(289),S(1665),C2FO(7367),S(3464),S(6251),S(5206),CFO3(444),C2H2O(907),S(5104),CF3CCH(84),S(12199)
0.0,0.6097246193750253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5603293638236776,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.554090808022409e-22,0.6097246193750252,8.26793515157899e-28,7.782261177349833e-30,3.380366679169141e-38,3.13187842046377e-28,0.0,0.0,1.6920707834121425e-22,2.387534999259992e-40,2.269351682446901e-54,2.1694557645331538e-54,1.219720494684732e-58,1.2120872084009803e-68,2.6878764100629175e-47,6.855036597668683e-40,1.7214368034683783e-42,2.542975396750438e-39,1.1932634171788909e-90,3.986567597999778e-67,2.1073369066732156e-93,1.1896068511347732e-92,7.985086817183203e-27,1.5170924211110955e-93,5.6572019900434174e-61,9.859390313304956e-99,1.763273017580281e-102,2.858572542002778e-82,1.8746315993132937e-98,5.345449408768803e-99,4.967949152905754e-62,2.0436471381172755e-114,2.9755627322067155e-115,1.9758389400704463e-115,3.76,0.0,0.5603293638236776,0.9999999999999993,7.3245215117390475e-53,2.7224309212300328e-58,6.39840947749652e-19,4.095025634913723e-19,1.3917576903159137e-19,9.116261522668846e-20,5.454350513387449e-16,1.0213533024711914e-38,1.087306305144156e-59,1.2807305047582024e-36,4.1236090808123376e-44,4.261365459720791e-38,1.3142324460611574e-96,5.196347378493955e-95,3.222344881238409e-42,5.624335537264983e-97,2.0868436501580994e-44,5.968259358220776e-114,3.61844164512542e-95,3.284912356714146e-98,6.914348196193658e-97,2.2813963341746932e-95,4.548690038368463e-115,4.858275435511464e-114,1.141636448598012e-76,1.3261790862136793e-43,2.5429753967504368e-39,1.9180166319226218e-45,1.2985351219355937e-22,3.9354392941168635e-23,1.0291309959082814e-36,1.5461493915754595e-52,1.5763517375298964e-37,9.952621727166751e-28,8.576160043251657e-26,5.3913259722808555e-40,8.50469436252968e-39,4.0574286446521845e-53,2.1233695448384569e-38,7.133513051019445e-44,5.15465624050223e-22,9.595654452040132e-49,8.535149113218255e-39,6.6854957090159495e-65,8.191696235633048e-69,4.637438796313367e-73,1.0265381635535674e-38,1.4022372777399033e-40,7.782095240543569e-57,8.675686260521616e-26,3.9280293271666625e-73,5.174122435186016e-53,7.403946140346768e-44,5.15465624050223e-22,1.5150035651574625e-59,1.416659349563214e-38,7.985086817183744e-27,8.77275727305915e-43,4.1646513044447027e-75,3.8796801072536134e-38,1.7983936838315183e-51,2.2762489267962543e-59,3.96305638943982e-75,9.577575908045648e-58,2.837136654285975e-57,3.1318784204636964e-28,1.25655135187509e-60,1.7839037246524196e-59,8.816895024937282e-66,2.8656224000577216e-69,8.853927844110211e-55,3.2259966217106106e-58,3.269299615188253e-64,2.8338600672965833e-79,7.484705620780874e-82,5.200289930695842e-111,5.02311785402151e-93,3.769542267964001e-76,9.42923500685215e-74,2.4154590556187262e-122,9.718343605120248e-77,2.658450846763963e-92,1.3038879762284846e-95
2.1151454262462745e-21,0.6097246193750253,2.3150218428977284e-27,2.179033129659423e-29,2.0417414742181584e-37,8.769259577298611e-28,0.0,0.0,4.737798193553997e-22,1.442071139553034e-39,2.69417431758017e-53,2.5755778837365403e-53,1.4480712332262254e-57,1.438989933813251e-67,1.6234773516776218e-46,4.1404421049912754e-39,1.0397478292951664e-41,1.5359571396395528e-38,5.700363231263128e-89,4.7328530523555016e-66,1.0067001283644151e-91,5.682894680803019e-91,2.235824308811122e-26,8.390779050262211e-92,6.716230202580967e-60,4.709949150897569e-97,8.431188582463734e-101,8.987809443667967e-81,8.955396098448149e-97,2.5535858187133294e-97,5.897949234349969e-61,1.5769862837453078e-112,2.2994426848828696e-113,1.5249518169625246e-113,3.76,0.0,0.5603293638236776,0.9999999999999984,8.695671938745745e-52,3.2320699896850763e-57,1.7915546536990253e-18,1.1466071777759292e-18,3.896921532884573e-19,2.552553226346392e-19,1.5272181437448706e-15,6.168973946926379e-38,1.2908500454672127e-58,7.735612248717167e-36,2.4906598848072095e-43,2.573864737671754e-37,6.278246102740519e-95,2.4823574988750335e-93,1.946296308270897e-41,2.686812578190687e-95,1.2604535646965704e-43,5.191678999744547e-112,1.7285729951761067e-93,1.5692420517539464e-96,3.3030671055127326e-95,1.0898504055914101e-93,3.956821768476683e-113,4.226124409081278e-112,2.5538914886665894e-75,8.010121681697322e-43,1.5359571396395515e-38,1.158482045685675e-44,3.635898341419653e-22,1.10192300235269e-22,6.21595121528589e-36,1.835588599130206e-51,9.521164494680452e-37,2.7867340836191983e-27,2.401324812110672e-25,3.256360887256691e-39,5.136835394966425e-38,4.81699223098148e-52,1.282515205082415e-37,4.308641882815693e-43,1.4433037473406244e-21,5.795948533666601e-48,5.155230064383823e-38,7.937020505745645e-64,1.8324543851081114e-67,1.0373791719725472e-71,6.200290507862696e-38,8.469513157549074e-40,9.238910531840104e-56,2.4291921529458312e-25,8.786867039909718e-72,6.142718155043691e-52,4.471983468996761e-43,1.443303747340624e-21,1.7986122326384758e-58,8.556622471360948e-38,2.235824308811448e-26,5.2987453929458426e-42,9.316165184938865e-74,2.3433267847810524e-37,2.1350529772090856e-50,2.702362725894308e-58,1.2458481345098871e-73,6.676417490513806e-57,3.3682486359617625e-56,8.769259577298168e-28,1.4918367260812467e-59,2.6958353086947476e-58,1.3324091761761237e-64,3.4020669148020884e-68,5.347827952877312e-54,3.829903189293018e-57,3.8813125031812336e-63,6.33926494046824e-78,1.6743017454838292e-80,4.523637071182005e-109,2.3996036762795203e-91,1.1851980876692849e-74,2.109801202209409e-72,2.1011647569982866e-120,3.055602722947669e-75,1.5307264500820162e-90,6.22882932898898e-94
4.834618117134342e-21,0.6097246193750252,5.291478500199833e-27,4.980647153514183e-29,9.830106303023827e-37,2.004402189096853e-27,0.0,0.0,1.0829253013837696e-21,6.942951777848045e-39,2.6451563213141958e-52,2.528717639396465e-52,1.421733276691579e-56,1.412808850110966e-66,7.816344600457261e-46,1.9934446426011402e-38,5.005938224490036e-41,7.394972453783942e-38,2.968167092056041e-87,4.646743192258991e-65,5.241866697313458e-90,2.959071478379081e-89,5.1104555629960253e-26,4.000318463797039e-90,6.594034639599015e-59,2.4524608565565648e-95,4.3867888984717255e-99,2.005130845014692e-79,4.663038125258226e-95,1.3296466337750666e-95,5.790641532687915e-60,1.718677525452088e-110,2.504760890118834e-111,1.6619841683935873e-111,3.76,0.0,0.5603293638236776,0.9999999999999964,8.537462274096005e-51,3.1732654817881106e-56,4.094982065597773e-18,2.6208164063453918e-18,8.907249218021948e-19,5.834407374501867e-19,3.4907843285426602e-15,2.9700954035868006e-37,1.2673642292762475e-57,3.7243643078032876e-35,1.1991455206950283e-42,1.239205075687391e-36,3.2690697295537966e-93,1.292558403201775e-91,9.370578914683988e-41,1.399017739136729e-93,6.068541334675211e-43,5.396356567905685e-110,9.00064374883588e-92,8.171010829749438e-95,1.719900193884695e-93,5.674828466967204e-92,4.112816131227959e-111,4.392735801428414e-110,5.046152177877015e-74,3.856528784131229e-42,7.394972453783931e-38,5.577592365697156e-44,8.310624780387729e-22,2.5186811482345714e-22,2.992712936101089e-35,1.8021917896818832e-50,4.584030852736756e-36,6.369677905474275e-27,5.48874242768252e-25,1.567797592737854e-38,2.473165120621377e-37,4.729357208755985e-51,6.174758636390042e-37,2.0744255952363782e-42,3.2989799939214267e-21,2.790676181604818e-47,2.4820213621238667e-37,7.79261379843474e-63,3.620625605429216e-66,2.0496889980472866e-70,2.985172979612496e-37,4.0777060036677273e-39,9.070820240807611e-55,5.552439206732287e-25,1.7361390305039366e-70,6.03095711042447e-51,2.1530675379536047e-42,3.2989799939214264e-21,1.7658881558063496e-57,4.119645388528534e-37,5.1104555629975975e-26,2.5511178150322575e-41,1.8407179056465024e-72,1.1282109751891562e-36,2.096207664743371e-49,2.6531957490790737e-57,2.7793215444868147e-72,4.122501537232313e-56,3.3069664842154396e-55,2.0044021890966384e-27,1.4647199805594938e-58,2.900056607092983e-57,1.4333449904387482e-63,3.340169474013019e-67,2.574805519618694e-53,3.760221662260251e-56,3.8106956315523396e-62,1.2525351395233805e-76,3.308141033167555e-79,4.701977303936605e-107,1.2494686593419283e-89,2.6441086732707888e-73,4.16907069281004e-71,2.184004572950872e-118,6.8168815864261225e-74,6.865843378738895e-89,3.243338517884722e-92
1.0273563498910476e-20,0.6097246193750253,1.1244391822093826e-26,1.0583875201247226e-28,4.293065682544775e-36,4.2593546518309276e-27,0.0,0.0,2.3012162654405058e-21,3.0321694490601784e-38,2.3396108107905492e-51,2.2366221155420046e-51,1.257510300184268e-55,1.24961342837052e-65,3.413603040774014e-45,8.705896479029797e-38,2.1862247404089655e-40,3.229578753907543e-37,1.1845175377983544e-85,4.109991730896935e-64,2.091891394918914e-88,1.1808877485788078e-87,1.0859718071363037e-25,1.5447563015287333e-88,5.832348963664416e-58,9.787128275911003e-94,1.7501824148387068e-97,3.7553881605940325e-78,1.8608935766280882e-93,5.306270375732911e-94,5.12175685880618e-59,1.4059851006021838e-108,2.0485832261395504e-109,1.3596106693507912e-109,3.76,0.0,0.5603293638236776,0.9999999999999926,7.551288697755503e-50,2.8067173825562824e-55,8.701836889395267e-18,5.569234863485708e-18,1.8927904588296934e-18,1.2398115670798664e-18,7.417916698080395e-15,1.2971186941390078e-36,1.1209693083518793e-56,1.6265277410082348e-34,5.236983532577773e-42,5.4119341338514e-36,1.3045999128944303e-91,5.158261278331882e-90,4.09237799921653e-40,5.583112541581134e-92,2.6502914357164236e-42,4.3196148031763696e-108,3.5919206447209704e-90,3.260835925396069e-93,6.863670183790266e-92,2.264675071535969e-90,3.292180792644565e-109,3.5162477415028165e-108,8.979433626217416e-73,1.684247440947457e-41,3.2295787539075343e-37,2.4358811226101064e-43,1.7660077658323706e-21,5.35219743999783e-22,1.3069963648033177e-34,1.5940182360145628e-49,2.0019667066627796e-35,1.3535565549384548e-26,1.1663577658829552e-24,6.84698398478203e-38,1.0800961840389408e-36,4.183065145476113e-50,2.6966793219446434e-36,9.059561574793897e-42,7.010332487083031e-21,1.218916644592363e-46,1.0839639373787175e-36,6.8924786561790174e-62,6.442713496092856e-65,3.6473141411495043e-69,1.3037034677117097e-36,1.780841342729768e-38,8.023039008266082e-54,1.1798933314301669e-24,3.0893684080557835e-69,5.334313265719843e-50,9.403011601760665e-42,7.010332487083028e-21,1.5619080760780896e-56,1.7991573739439462e-36,1.0859718071369904e-25,1.114140173705816e-40,3.2754596961722158e-71,4.9271937362100765e-36,1.8540719247085843e-48,2.346721593580952e-56,5.205289419442895e-71,2.5982726857900904e-55,2.924974405060054e-54,4.25935465182999e-27,1.2955384961584016e-57,2.665651657673699e-56,1.317490989839543e-62,2.9543420790252546e-66,1.124534915504844e-52,3.3258734771069345e-55,3.370517131458538e-61,2.22882196551872e-75,5.886662591466783e-78,3.763785799534572e-105,4.986301422046787e-88,4.952120637544424e-72,7.419013648293691e-70,1.7482325050901767e-116,1.2767264772477975e-72,2.583336261819924e-87,1.2943312617632834e-90
2.1151454262462746e-20,0.6097246193750253,2.3150218495040943e-26,2.179033129680739e-28,1.7922704132954487e-35,8.769259577299446e-27,0.0,0.0,4.737798193553965e-21,1.2658710566076389e-37,1.9665838586068976e-50,1.8800156552299258e-50,1.057014493747978e-54,1.0503753814003206e-64,1.4251120726100563e-44,3.63454040407545e-37,9.12705793202647e-40,1.348285555387991e-36,4.209960806189146e-84,3.454695695458811e-63,7.434909657486099e-87,4.1970600135462806e-86,2.2358243088085864e-25,5.413434687462336e-87,4.9024407293565766e-57,3.478499241836678e-92,6.2197146924834375e-96,6.486499148385659e-77,6.613903467312588e-92,1.885931555952723e-92,4.305145248949839e-58,1.0118977427440295e-106,1.4742156986969023e-107,9.785231212276274e-108,3.76,0.0,0.5603293638236776,0.9999999999999847,6.347313149740361e-49,2.3592150774521872e-54,1.7915546536990257e-17,1.1466071777771909e-17,3.896921532884783e-18,2.5525532263335634e-18,1.5272181436924486e-14,5.4152152097076114e-36,9.42242247137878e-56,6.790433135915847e-34,2.1863375345981243e-41,2.25937596674934e-35,4.636752421897405e-90,1.833326848963113e-88,1.7084872560718238e-39,1.984325642187916e-90,1.1064445033277538e-41,3.075354668142335e-106,1.2766248551569072e-88,1.1589521603565417e-91,2.4394558848079035e-90,8.049009906247212e-89,2.3438718566984615e-107,2.503396575584954e-106,1.5145187621698803e-71,7.031401528153291e-41,1.348285555387983e-36,1.0169324183069137e-42,3.6358983414194994e-21,1.1019230023522331e-21,5.456452540303912e-34,1.3398683770339256e-48,8.357816912381813e-35,2.7867340838005594e-26,2.401324812113696e-24,2.8584810304901193e-37,4.509188950992281e-36,3.516119196471674e-49,1.125810532673173e-35,3.782188619649792e-41,1.4433037473406238e-20,5.0900327531210755e-46,4.5253360598283096e-36,5.7935436135234215e-61,1.0866580942205052e-63,6.151730068448917e-68,5.4427053431491274e-36,7.434662046577788e-38,6.743848198142313e-53,2.4291921529426304e-24,5.210672783466952e-68,4.483811716265232e-49,3.925572246779687e-41,1.4433037473406217e-20,1.312877850494076e-55,7.511127871372147e-36,2.2358243088114544e-25,4.6513159064206656e-40,5.524541954558547e-70,2.0570063928640544e-35,1.5584591420816903e-47,1.9725608999987856e-55,8.99078323000456e-70,1.751531565908362e-54,2.4586172303404444e-53,8.76925957729553e-27,1.088982236328544e-56,2.2805211147511075e-55,1.1271412798116398e-61,2.483302539097663e-65,4.6951272566715574e-52,2.795597056406994e-54,2.833122738060126e-60,3.7592361022822265e-74,9.92871877443675e-77,2.679631547042653e-103,1.772209622733869e-86,8.553555010646757e-71,1.251355616689877e-68,1.244663370147109e-114,2.205227489994915e-71,8.945647759372132e-86,4.600256027300536e-89
4.2907235789567286e-20,0.6097246193750253,4.696187195757169e-26,4.420324348830409e-28,7.32200944174728e-35,1.7789069428237952e-26,0.0,0.0,9.61096204978083e-21,5.171496309797041e-37,1.6123242632806346e-49,1.5413504207796632e-49,8.666048683385458e-54,8.611611986754572e-64,5.822047819207792e-44,1.4848283471942436e-36,3.7287009738160826e-39,5.508186428638474e-36,1.4180307384937328e-82,2.832368255159151e-62,2.5042823369332084e-85,1.4136854034769637e-84,4.535529312148677e-25,1.811472157689593e-85,4.0193171029344535e-56,1.1716547249287541e-90,2.0948607946731202e-94,1.0777415348973515e-75,2.2277442570506854e-90,6.352336814223077e-91,3.5296181812090775e-57,6.858972566809452e-105,9.992164620904587e-106,6.632753043539953e-106,3.76,0.0,0.5603293638236776,0.999999999999969,5.203910808665152e-48,1.9342270582744372e-53,3.634296583218024e-17,2.3259745606366588e-17,7.905183680995335e-18,5.178036544818308e-18,3.0980710913687146e-14,2.2122921072892336e-35,7.725071220831247e-55,2.774113502262176e-33,8.93190221299118e-41,9.230288040419063e-35,1.5617859162116753e-88,6.175149742512709e-87,6.979727906889055e-39,6.683755265129795e-89,4.5201868201057917e-41,2.0733825427439594e-104,4.300024106485056e-87,3.903670062395692e-90,8.21675926935758e-89,2.71112821362446e-87,1.5802219628091026e-105,1.687772409177978e-104,2.4876064372650607e-70,2.872556958926581e-40,5.50818642863841e-36,4.154500745930709e-42,7.375679492593487e-21,2.2353295190563278e-21,2.2291389023756553e-33,1.0985050480678594e-47,3.4144409175578212e-34,5.653089141844961e-26,4.871258904580517e-24,1.1677827708887555e-36,1.8421508176836363e-35,2.882727307638173e-48,4.5993033689003954e-35,1.5451474609024088e-40,2.9278447446052643e-20,2.0805033293061894e-45,1.8487474385195206e-35,4.749897085547116e-60,1.7848394180566688e-62,1.0104236441742949e-66,2.2235227237735058e-35,3.0373020330764366e-37,5.5290143929638505e-52,4.9277897959619074e-24,8.558546821326364e-67,3.6760997453926896e-48,1.6037243524655987e-40,2.9278447446052565e-20,1.0763765834411718e-54,3.0685408175177357e-35,4.535529312160392e-25,1.9002143165804597e-39,9.07407708947657e-69,8.403542299500285e-35,1.277718918782562e-46,1.617224602946298e-54,1.493827142735171e-68,1.2604775817151572e-53,2.015722948761429e-52,1.778906942822196e-26,8.928150498098946e-56,1.885578958630669e-54,9.319422070097397e-61,2.0359614714804653e-64,1.9184521110317648e-51,2.291999369683477e-53,2.3227651910181926e-59,6.174558253601447e-73,1.6307951921449716e-75,1.8065887811789846e-101,5.969290092288063e-85,1.421185802217006e-69,2.055380044504474e-67,8.391530902457331e-113,3.6640184565971006e-70,2.976333319507763e-84,1.549492925257986e-87
8.641879884377637e-20,0.6097246193750253,9.458517934917931e-26,8.902906787280289e-28,2.9596732852129803e-34,3.5828689130120864e-26,0.0,0.0,1.9357289762234344e-20,2.0904014935320298e-36,1.3057019907321485e-48,1.2482255343494733e-48,7.017993007918798e-53,6.973906657925996e-63,2.3533648150408417e-43,6.001913582956529e-36,1.5072005504289915e-38,2.226497022888655e-35,4.6541188587888e-81,2.29372524729519e-61,8.219305381896534e-84,4.639857045560089e-83,9.134939318810954e-25,5.926624741702611e-84,3.2549471978132803e-55,3.8454906132971015e-89,6.875368228571634e-93,1.7569907098436325e-74,7.311678793313587e-89,2.0849005370142646e-89,2.8583763149977625e-56,4.516255588691163e-103,6.579110667642863e-104,4.3673039619154244e-104,3.76,0.0,0.5603293638236776,0.9999999999999376,4.2142618933557854e-47,1.5663872200263808e-52,7.319780442256019e-17,4.684709326364506e-17,1.5921707977217925e-17,1.04290031816972e-17,6.23977698635104e-14,8.942438412757769e-35,6.255962960637711e-54,1.121341031762643e-32,3.6104176831484083e-40,3.731030005564965e-34,5.125937757985681e-87,2.0267459768622678e-85,2.821317616350875e-38,2.193675402392382e-87,1.827131784304905e-40,1.3615564038693315e-102,1.4113109676079711e-85,1.2812236017685695e-88,2.69682266644647e-87,8.898194260658856e-86,1.0377059170557896e-103,1.108332536117462e-102,4.0325210881880857e-69,1.161133455635118e-39,2.226497022888603e-35,1.6793156264751797e-41,1.4855241794940382e-20,4.5021425524612915e-21,9.01053585204255e-33,8.895978690454602e-47,1.3801716110896456e-33,1.138579925921455e-25,9.811127089535513e-24,4.7203646722867026e-36,7.446268139578191e-35,2.334507455234591e-47,1.85911195824299e-34,6.245733084788977e-40,5.89692673913454e-20,8.418287646626528e-45,7.472932735779969e-35,3.8465898093048196e-59,2.8933017986692364e-61,1.6379403757515073e-65,8.987834360147211e-35,1.22772604405119e-36,4.4775392822665097e-51,9.924985081977861e-24,1.3873774110806714e-65,2.9770008829871514e-47,6.482510257348652e-40,5.896926739134509e-20,8.71677665623064e-54,1.2403532601830091e-34,9.134939318858305e-25,7.680970086611392e-39,1.4709470261562794e-67,3.3968461585330762e-34,1.0347298362128895e-45,1.3096704128735369e-53,2.4353112381047335e-67,9.500529894967471e-53,1.632384704943422e-51,3.582868913005622e-26,7.230254209606737e-55,1.5333214942558127e-53,7.578399255761383e-60,1.6487744099413919e-63,7.757434322278556e-51,1.8561205136356234e-52,1.8810354739111875e-58,1.0009226343024203e-71,2.643589404081511e-74,1.1863573012706127e-99,1.9591807783770127e-83,2.31689141939445e-68,3.331879492549256e-66,5.510709511366525e-111,5.973274834775056e-69,9.710399210224944e-83,5.0855909300714814e-86
1.7344192495219453e-19,0.6097246193750252,1.8983179599857895e-25,1.7868071664782207e-27,1.1900716108680488e-33,7.190792853391025e-26,0.0,0.0,3.884994518714052e-20,8.405412466294306e-36,1.0509425556416598e-47,1.0046805054554064e-47,5.648692180495916e-52,5.613206794359642e-62,9.462776416383397e-43,2.4133430543077224e-35,6.060387124292313e-38,8.952646605015565e-35,1.508194891801319e-79,1.8461896288694264e-60,2.663514788073202e-82,1.5035732681973675e-81,1.83337593320639e-24,1.9175686130819173e-82,2.6198646788449895e-54,1.2461557150511425e-87,2.227976166821921e-91,2.837544689694951e-73,2.3693928482388695e-87,6.756244159090134e-88,2.3006699319503014e-55,2.931540117632083e-101,4.2704991057894106e-102,2.8348548216554973e-102,3.76,0.0,0.5603293638236775,0.9999999999998748,3.3920046042710616e-46,1.2607647073060785e-51,1.4690748160332012e-16,9.402178857855841e-17,3.1954756569669045e-17,2.0930936455092597e-17,1.2523188774834855e-13,3.5957151555121863e-34,5.035343247217488e-53,4.5088629694581555e-32,1.4517330710615582e-39,1.5002307555868213e-33,1.6610906139889838e-85,6.5677908659021495e-84,1.1344394050403057e-37,7.108735598823009e-86,7.346816544907569e-40,8.826186245206711e-101,4.573437119314864e-84,4.1518812748239335e-87,8.739214229473503e-86,2.8835127665749394e-84,6.726849996845549e-102,7.184681704831717e-101,6.494253979851631e-68,4.668866593618276e-39,8.952646605015145e-35,6.752454276825222e-41,2.981436639962986e-20,9.035768619258322e-21,3.6230968363248115e-32,7.160257584536834e-46,5.549609346033929e-33,2.285121949907685e-25,1.9690863459530916e-23,1.8980378737708583e-35,2.9941116689876455e-34,1.8790147541289715e-46,7.4754074173755995e-34,2.5113818036595467e-39,1.1835090728193074e-19,3.391840816002576e-44,3.004833385904902e-34,3.096070124327977e-58,4.659573501535404e-60,2.637852565276947e-64,3.613968666249737e-34,4.9366324257790884e-36,3.603913182560601e-50,1.9919375653919362e-23,2.2343286218022927e-64,2.3961493036036514e-46,2.6065888723867332e-39,1.1835090728192953e-19,7.016020217980851e-53,4.987405906443439e-34,1.83337593322543e-24,3.0884842903869425e-38,2.368914860281485e-66,1.365856900468836e-33,8.328404768401184e-45,1.0541366870770437e-52,3.933030898927069e-66,7.363000207298042e-52,1.3138852246207842e-50,7.190792853365027e-26,5.819540185779118e-54,1.23667933350349e-52,6.11225354840197e-59,1.3270771246452593e-62,3.121437068279566e-50,1.493967268159855e-51,1.5140209965485608e-57,1.6119551529346485e-70,4.2574193365207814e-73,7.690471324438097e-98,6.348841822053651e-82,3.741785728411267e-67,5.365905151401177e-65,3.572442187743573e-109,9.646854813627601e-68,3.1374468224198512e-81,1.6480159840027427e-84
3.4748817716903085e-19,0.6097246193750253,3.803250367621159e-25,3.579840142219467e-27,4.772719432117514e-33,1.4406640734158328e-25,0.0,0.0,7.783525603694937e-20,3.370946340244812e-35,8.433152148423573e-47,8.06192836660707e-47,4.532720101529909e-51,4.504244944886877e-61,3.7949965758681156e-42,9.678585041642757e-35,2.4304862943651385e-37,3.590411706220618e-34,4.856627859995929e-78,1.4814509086228362e-59,8.57694201379183e-81,4.84174549828517e-80,3.673139935828334e-24,6.170108883329169e-81,2.102276411520602e-53,4.0128303506633205e-86,7.174393901790655e-90,4.561270215448434e-72,7.629822270296783e-86,2.1756182684678282e-86,1.8461427300946551e-54,1.8894546274350545e-99,2.7524302848175727e-100,1.8271385766799627e-100,3.76,0.0,0.5603293638236774,0.9999999999997491,2.7218700739386727e-45,1.011684277458229e-50,2.9432683596483987e-16,1.8837117920981075e-16,6.402085375459506e-17,4.1934803000433836e-17,2.5090012345879156e-13,1.4420425996636336e-33,4.040545841081737e-52,1.8082557138647288e-31,5.8220989173311274e-39,6.016596324630862e-33,5.348976451832479e-84,2.1149333080342437e-82,4.549609405529354e-37,2.289126132844926e-84,2.946402029224204e-39,5.684918500748424e-99,1.4727196241977553e-82,1.3369719257352107e-85,2.8141662314641677e-84,9.285370558883466e-83,4.332742696707518e-100,4.62763064448962e-99,1.0424718364667959e-66,1.8724243538916765e-38,3.590411706220282e-34,2.7080361773120024e-40,5.973261560899153e-20,1.8103020752800795e-20,1.4530238783287692e-31,5.745655775028961e-45,2.2256415601003263e-32,4.578205999929395e-25,3.9450336199863386e-23,7.611980791707356e-35,1.200772694133592e-33,1.507791026553608e-45,2.9979727201321083e-33,1.0071764275623403e-38,2.3711418706310075e-19,1.3658017703328564e-43,1.2050725822057875e-33,2.484401291166437e-57,7.479647529827753e-59,4.2343376311917484e-63,1.449363073838218e-33,1.9798103990210482e-35,2.8919133751200567e-49,3.9908156797440745e-23,3.58659232354599e-63,1.922758911532032e-45,1.0453587276008606e-38,2.371141870630958e-19,5.629914407706329e-52,2.0001728356375614e-33,3.673139935904692e-24,1.2386203368380685e-37,3.802633002613404e-65,5.4776970652683464e-33,6.683018479548529e-44,8.458783042427911e-52,6.322229681282438e-65,5.794604477755417e-51,1.0543101468722626e-49,1.440664073405407e-25,4.669815528907861e-53,9.933680941777869e-52,4.9096944523198625e-58,1.0648958793500059e-61,1.253605965637608e-49,1.1988146458470555e-50,1.2149065012334219e-56,2.5875451017294726e-69,6.834100993659425e-72,4.953408126957736e-96,2.0444282271532457e-80,6.014811192849843e-66,8.61347891376182e-64,2.3012131305859254e-107,1.5507037365811154e-66,1.0088292364841413e-79,5.306874057019663e-83
