Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126)
0.0,0.5297641357659086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124703835313,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8.95918198503099e-18,0.5297641357659086,0.0,2.8538369410399937e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.500612470383531,1.0,0.0,0.0,2.6575237654113074e-16,1.7052267155608547e-16,6.715128653547784e-17,2.807841844956746e-17
2.508570955808677e-17,0.5297641357659086,0.0,7.990743434911984e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124703835306,1.0,0.0,0.0,7.441066543151659e-16,4.774634805601787e-16,1.8802360230020228e-16,7.861957145478485e-17
5.733876470419834e-17,0.5297641357659088,0.0,1.8264556422655964e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124703835296,1.0,0.0,0.0,1.7008152098632342e-15,1.091345099380922e-15,4.297682338331085e-16,1.7970187664920355e-16
1.2184487499642146e-16,0.529764135765909,0.0,3.8812182398143924e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124703835277,1.0,0.0,0.0,3.614232320959364e-15,2.319108340272637e-15,9.132574969127503e-16,3.8186648377397636e-16
2.508570955808677e-16,0.5297641357659094,0.0,7.990743434911984e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.500612470383524,1.0,0.0,0.0,7.441066543151594e-15,4.774634835056978e-15,1.8802360231273506e-15,7.861956849672649e-16
5.088815367497602e-16,0.5297641357659102,0.0,1.6209793825107168e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124703835163,1.0,0.0,0.0,1.509473498753594e-14,9.6856878766293e-15,3.8141930757778184e-15,1.5948540351288158e-15
1.0249304190875453e-15,0.5297641357659117,0.0,3.2647894605497533e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.500612470383501,1.0,0.0,0.0,3.0402071876304156e-14,1.950779416778849e-14,7.682107181963824e-15,3.2121705265518403e-15
2.0570281837631156e-15,0.5297641357659147,0.0,6.552409616627828e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124703834703,1.0,0.0,0.0,6.101674565383872e-14,3.91520075821648e-14,1.5417935397876107e-14,6.446802673797796e-15
4.121223713114255e-15,0.5297641357659211,0.0,1.3127649928783977e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5006124703834091,1.0,0.0,0.0,1.2224609320890034e-13,7.844043773914749e-14,3.088959184386178e-14,1.291606362589106e-14
