Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58)
0.0,0.8446254533290299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368435431,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.2143139609164546e-23,0.8446254533290298,0.0,5.423587495779465e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368435431,0.9999999999999996,0.0,0.0,1.8966959307889534e-17,1.1497133691346767e-17,3.030815788046441e-18,4.4390098284963234e-18,3.3087638132521633e-16,5.522016323778501e-35
1.4600079090566074e-22,0.8446254533290299,0.0,1.5186044988182495e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368435431,0.9999999999999991,0.0,0.0,5.310748606209069e-17,3.2191974335771557e-17,8.486284206530069e-18,1.2429227519789064e-17,9.264538677104706e-16,3.3352978595622667e-34
3.337160934986531e-22,0.8446254533290298,0.0,3.471095997298854e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.560169536843543,0.9999999999999979,0.0,0.0,1.2138853957049297e-16,7.358165562462356e-17,1.9397221043497455e-17,2.8409662902371966e-17,2.1176088404804383e-15,1.605802346954865e-33
7.091466986846378e-22,0.8446254533290299,0.0,7.376078994260053e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368435429,0.9999999999999956,0.0,0.0,2.5795064658729756e-16,1.5636101820233727e-16,4.1219094717432795e-17,6.037053366752749e-17,4.4999187860182106e-15,7.012960731199491e-33
1.4600079090566074e-21,0.8446254533290299,0.0,1.5186044988182414e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368435426,0.9999999999999908,0.0,0.0,5.310748606209067e-16,3.2191974335780346e-16,8.486284206530567e-17,1.2429227519779743e-16,9.264538677085102e-15,2.927773054868075e-32
2.9617303298005463e-21,0.8446254533290302,0.0,3.080597697602699e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368435421,0.9999999999999812,0.0,0.0,1.0773232886881242e-15,6.530371936688911e-16,1.7215033676106027e-16,2.5213575825817275e-16,1.879377845918428e-14,1.1960908237963228e-31
5.965175171288424e-21,0.8446254533290304,0.0,6.2045840951715534e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.560169536843541,0.9999999999999621,0.0,0.0,2.1698201448225574e-15,1.3152720942916867e-15,3.4672532615260464e-16,5.078227243782651e-16,3.7852258023244186e-14,4.834790348256588e-31
1.1972064854264181e-20,0.8446254533290306,0.0,1.2452556890309026e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368435388,0.9999999999999241,0.0,0.0,4.354813857091416e-15,2.63974189553976e-15,6.958753049358346e-16,1.019196656615817e-15,7.596921715081025e-14,1.9440479348555465e-30
2.3985844220215692e-20,0.8446254533290313,0.0,2.4948502480583015e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5601695368435344,0.9999999999998478,0.0,0.0,8.724801281629102e-15,5.288681498045838e-15,1.3941752625028586e-15,2.0419445210803905e-15,1.522031354037273e-13,7.796501715477384e-30
