Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307)
0.0,0.658627745444905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748658749,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.851194958927328e-22,0.658627745444905,0.0,4.668411260024979e-29,0.0,0.0,0.0,0.0,0.0,0.0,8.219367298053975e-56,4.7364657709161e-78,0.0,2.0990968511102834e-118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748658749,0.9999999999999998,0.0,0.0,1.1843073726784598e-18,7.522928858226057e-19,2.3933594089060446e-19,1.9267854596525003e-19,3.4999705293696396e-16,4.6959835186422127e-38,1.0233937088652232e-58,2.618393707170785e-36,3.788429500654186e-44,1.0652109385540231e-38,3.1718024794920948e-96
7.983345884996518e-22,0.658627745444905,0.0,1.3071551528069936e-28,0.0,0.0,0.0,0.0,0.0,0.0,9.758032856252421e-55,1.0595284470911315e-76,0.0,1.2769830504588756e-116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748658749,0.999999999999999,0.0,0.0,3.3160606434996882e-18,2.1064200803033813e-18,6.701406344936948e-19,5.394999287026126e-19,9.799917482226365e-16,2.8363740452599914e-37,1.2149730111648283e-57,1.5815097991294778e-35,2.288211418393936e-43,6.433874068868272e-38,1.515208106083193e-94
1.82476477371349e-21,0.658627745444905,0.0,2.987783206415983e-28,0.0,0.0,0.0,0.0,0.0,0.0,9.580494522620078e-54,2.0934496656395747e-75,0.0,5.764911900421813e-115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748658749,0.9999999999999978,0.0,0.0,7.579567185142146e-18,4.814674469265274e-18,1.5317500216998846e-18,1.2331426941769877e-18,2.239981138790532e-15,1.3655920072212968e-36,1.192867707053413e-56,7.614288900427503e-35,1.1016752987884364e-42,3.0976334093180107e-37,7.889657194844383e-93
3.877625144141166e-21,0.658627745444905,0.0,6.349039313633952e-28,0.0,0.0,0.0,0.0,0.0,0.0,8.473838909619148e-53,3.725181827423406e-74,0.0,2.1767210429278896e-113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748658749,0.9999999999999952,0.0,0.0,1.610658026842706e-17,1.0231183247190422e-17,3.254968796112301e-18,2.6204282251243376e-18,4.7599599199125226e-15,5.963899068677069e-36,1.0550779780919188e-55,3.325360008080918e-34,4.8113054658121415e-42,1.3528178919665944e-36,3.148555075475073e-91
7.983345884996519e-21,0.658627745444905,0.0,1.3071551528069858e-27,0.0,0.0,0.0,0.0,0.0,0.0,7.122772190648286e-52,6.28306363598633e-73,0.0,7.55205648668364e-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748658749,0.9999999999999902,0.0,0.0,3.316060643499689e-17,2.106420080304617e-17,6.7014063449372776e-18,5.394999287013436e-18,9.799917482101304e-15,2.4898104615854124e-35,8.868566138036744e-55,1.3882723435185691e-33,2.0086253212300156e-41,5.647748396240193e-36,1.1190457876878377e-89
1.6194787366707225e-20,0.658627745444905,0.0,2.6516575956941534e-27,0.0,0.0,0.0,0.0,0.0,0.0,5.839678981690821e-51,1.0319950889013489e-71,0.0,2.5151501211529254e-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748658749,0.9999999999999801,0.0,0.0,6.726865876813654e-17,4.273023591477949e-17,1.3594281442587818e-17,1.0944141410769232e-17,1.987983260625807e-14,1.017168814073088e-34,7.27098633616353e-54,5.671545505282248e-33,8.205889835454358e-41,2.3072895013681747e-35,3.769254408517527e-88
3.2617670330128634e-20,0.658627745444905,0.0,5.340662481468435e-27,0.0,0.0,0.0,0.0,0.0,0.0,4.7291234433198005e-50,1.6729085108116752e-70,0.0,8.209868901981523e-109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748658748,0.9999999999999599,0.0,0.0,1.3548476343441584e-16,8.606230613833339e-17,2.7380031637891222e-17,2.2042425658191215e-17,4.003966285368841e-14,4.111558977789283e-34,5.888233248082132e-53,2.2925293733631304e-32,3.316951872321399e-40,9.326433068476867e-35,1.2371070381753783e-86
6.546343625697145e-20,0.6586277454449052,0.0,1.0718672253016781e-26,0.0,0.0,0.0,0.0,0.0,0.0,3.806409971696902e-49,2.6941675838153567e-69,0.0,2.6532877647002946e-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748658746,0.9999999999999196,0.0,0.0,2.7191697276697443e-16,1.7272644658579023e-16,5.495153202850737e-17,4.423899415267674e-17,8.035932334501631e-14,1.6532397816794708e-33,4.7393623827811315e-52,9.218159780522255e-32,1.3337317593280888e-39,3.750117717767688e-34,4.008918926329701e-85
1.3115496811065708e-19,0.6586277454449052,0.0,2.1474691796112602e-26,0.0,0.0,0.0,0.0,0.0,0.0,3.054404283075512e-48,4.324735640296825e-68,0.0,8.53257581930979e-106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748658744,0.999999999999839,0.0,0.0,5.447813914320916e-16,3.460547274821001e-16,1.1009453280977697e-16,8.863213114021403e-17,1.6099864431354107e-13,6.630230954129475e-33,3.8030398375798e-51,3.696894363728284e-31,5.348860880629561e-39,1.5039649330001634e-33,1.2909357712032382e-83
2.6253803181802836e-19,0.6586277454449052,0.0,4.2986730882300775e-26,0.0,0.0,0.0,0.0,0.0,0.0,2.447240312255025e-47,6.930853560326404e-67,0.0,2.7371729073353513e-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748658739,0.9999999999996777,0.0,0.0,1.090510228762325e-15,6.927112892803047e-16,2.203805343724654e-16,1.7741840510955355e-16,3.2227728619406636e-13,2.6555506917782805e-32,3.0470597656563667e-50,1.48068603492454e-30,2.1423343029643207e-38,6.023704371925242e-33,4.143968171797241e-82
5.253041592327709e-19,0.6586277454449053,0.0,8.601080905466326e-26,0.0,0.0,0.0,0.0,0.0,0.0,1.9592802769785126e-46,1.1098395938154947e-65,0.0,8.769767038329675e-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748658728,0.9999999999993552,0.0,0.0,2.18196790342279e-15,1.3860244128990526e-15,4.4095253749843917e-16,3.549909530252923e-16,6.4483456972902e-13,1.0629123332136386e-31,2.4395005553487797e-49,5.926602915444414e-30,8.574920293709243e-38,2.4110515718254238e-32,1.3281490512014993e-80
1.050836414062256e-18,0.6586277454449055,0.0,1.7205896539933267e-25,0.0,0.0,0.0,0.0,0.0,0.0,1.5680196873313764e-45,1.7764661302852366e-64,0.0,2.8080569234450458e-101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748658705,0.99999999999871,0.0,0.0,4.364883252743712e-15,2.7726506602259042e-15,8.820965437527745e-16,7.101360487650089e-16,1.2899491358945394e-12,4.253033840437127e-31,1.9523418583620176e-48,2.371413139215358e-29,3.4310850505991197e-37,9.647346830535314e-32,4.253406499557697e-79
2.1019009237212264e-18,0.658627745444906,0.0,3.4415527808844956e-25,0.0,0.0,0.0,0.0,0.0,0.0,1.2546539876381046e-44,2.8429241780291165e-63,0.0,8.988553531402002e-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748658662,0.9999999999974198,0.0,0.0,8.730713951385529e-15,5.5459031552370344e-15,1.7643845562709968e-15,1.4204262398773982e-15,2.580178264608027e-12,1.7014904772298703e-30,1.5621701157787782e-47,9.487196706427847e-29,1.3726574374991024e-36,3.85956693221519e-31,1.3616230264122127e-77
4.204029943039167e-18,0.6586277454449072,0.0,6.883479034657951e-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0038184963115072e-43,4.549141442164353e-62,0.0,2.8767806341653134e-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748658574,0.9999999999948394,0.0,0.0,1.7462375348669033e-14,1.1092408146688993e-14,3.528960581345646e-15,2.8410066206340014e-15,5.160636507564796e-12,6.806515831213727e-30,1.2498547570550383e-46,3.79518752131586e-28,5.4910766068466174e-36,1.5439524233353562e-30,4.358046576433992e-76
8.408287981675048e-18,0.6586277454449094,0.0,1.3767331542169332e-24,0.0,0.0,0.0,0.0,0.0,0.0,8.030929230234108e-43,7.278996549144366e-61,0.0,9.206407716368269e-97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.60575847486584,0.9999999999896785,0.0,0.0,3.492569814323555e-14,2.2185418135311708e-14,7.058112631647764e-15,5.682167376274506e-15,1.0321552935597517e-11,2.7227171214793216e-29,9.999312741444315e-46,1.5181367679442825e-27,2.1965200096977652e-35,6.176061015198126e-30,1.3947113818182169e-74
1.6816804058946808e-17,0.6586277454449138,0.0,2.7535036557049986e-24,0.0,0.0,0.0,0.0,0.0,0.0,6.424895915478654e-42,1.1646690722029912e-59,0.0,2.9461640341317312e-95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.605758474865805,0.9999999999793566,0.0,0.0,6.98523437323666e-14,4.437143813543232e-14,1.4116416732863278e-14,1.1364488864064713e-14,2.0643385560139677e-11,1.089109007257242e-28,7.999640075305513e-45,6.0726705085688104e-27,8.78625871514594e-35,2.4704746809536625e-29,4.4632948002405186e-73
3.363383621349033e-17,0.6586277454449222,0.0,5.5070446586242865e-24,0.0,0.0,0.0,0.0,0.0,0.0,5.139977783029516e-41,1.8634942284301957e-58,0.0,9.427906679625407e-94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748657352,0.9999999999587129,0.0,0.0,1.3970563491062085e-13,8.874347822717432e-14,2.823302493773943e-14,2.2729131745681894e-14,4.128704988313095e-11,4.356480350532738e-28,6.399788019043364e-44,2.42909282361089e-26,3.514539173051073e-34,9.881999351324613e-29,1.4282892796678397e-71
6.726790052257737e-17,0.6586277454449392,0.0,1.1014126664235491e-23,0.0,0.0,0.0,0.0,0.0,0.0,4.112006706550069e-40,2.981609777766331e-57,0.0,3.0169592609747115e-92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748655955,0.9999999999174256,0.0,0.0,2.7941221726709774e-13,1.774875587766613e-13,5.64662413572722e-14,4.5458417133063376e-14,8.257437482474158e-11,1.742601007575918e-27,5.119860806836839e-43,9.716419995870976e-26,1.405822767773587e-33,3.952819927614394e-28,5.2951315509524846e-70
1.3453602914075146e-16,0.6586277454449737,0.0,2.202829067454841e-23,0.0,0.0,0.0,0.0,0.0,0.0,3.2896152528510835e-39,4.770590988086935e-56,0.0,9.654316488498112e-91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748653161,0.999999999834851,0.0,0.0,5.588253819799253e-13,3.5497572133964746e-13,1.1293267423545967e-13,9.091698640441479e-14,1.6514900989047783e-10,6.970421789249746e-27,4.095900814758492e-42,3.8865773073285506e-25,5.6233049572148834e-33,1.58113205766607e-27,1.7016965560607414e-68
2.6907228637709963e-16,0.6586277454450424,0.0,4.405661869153628e-23,0.0,0.0,0.0,0.0,0.0,0.0,2.6316963101763323e-38,7.632958283985098e-55,0.0,3.0893889363961028e-89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748647573,0.9999999996697019,0.0,0.0,1.1176517114050756e-12,7.099520523216677e-13,2.2586554014832225e-13,1.8183411893347203e-13,3.302982207520317e-10,2.788172286837843e-26,3.2767255397026705e-41,1.5546324396679468e-24,2.2493245112992116e-32,6.3245367974693606e-27,5.4461679405333535e-67
5.38144800849796e-16,0.6586277454451794,0.0,8.81132747109602e-23,0.0,0.0,0.0,0.0,0.0,0.0,2.1053589358516582e-37,1.2212744786721492e-53,0.0,9.886057899098776e-88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6057584748636397,0.9999999993394035,0.0,0.0,2.2353043702533554e-12,1.4199047377098962e-12,4.5173127259999777e-13,3.636683599370071e-13,6.605964053956351e-10,1.1152696444389461e-25,2.6213824191975535e-40,6.2185300316557706e-24,8.997301111515104e-32,2.5298167471938499e-26,1.7427833398655814e-65
