Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863)
0.0,0.6790127296935681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323045867,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.275859863375644e-22,0.6790127296935681,0.0,1.420104145250659e-28,0.0,0.0,0.0,0.0,0.0,0.0,1.559052881164717e-55,1.2180766853591399e-77,0.0,4.809473698313252e-117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323045867,0.9999999999999998,0.0,0.0,1.864211085545252e-18,1.178293319313349e-18,3.6348221737715312e-19,3.2243554885474983e-19,3.6054805540693244e-16,1.4694851751296218e-37,5.755293409249945e-58,5.53583316926969e-36,5.408815623951932e-44,1.7575672266997596e-38,6.851181664713973e-95,4.1625810468609755e-93,2.0359633402472346e-41,4.528311201870315e-95
6.372407617451804e-22,0.6790127296935681,0.0,3.976291606702503e-28,0.0,0.0,0.0,0.0,0.0,0.0,1.8509075805191852e-54,2.7247888220815886e-76,0.0,2.9258375530045963e-115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323045867,0.999999999999999,0.0,0.0,5.219791039526705e-18,3.2992212940775023e-18,1.017750208656033e-18,9.0281953679317e-19,1.0095345551387082e-15,8.875690457783193e-37,6.832684335461719e-57,3.343643234236104e-35,3.2669246368656236e-43,1.0615706049269258e-37,3.272891695416397e-93,1.9885149170580736e-91,1.2297218575099002e-40,2.1632286008708386e-93
1.4565503125604122e-21,0.6790127296935681,0.0,9.088666529608824e-28,0.0,0.0,0.0,0.0,0.0,0.0,1.8172320382869133e-53,5.383723546248467e-75,0.0,1.3208629293833513e-113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323045867,0.9999999999999977,0.0,0.0,1.1930950947489612e-17,7.54107724360631e-18,2.3262861912138094e-18,2.063587512669492e-18,2.30750755459945e-15,4.2732628892773543e-36,6.7083699978223045e-56,1.6098202856194424e-34,1.5728835834431898e-42,5.111005495246895e-37,1.7041879203959835e-91,1.0354155946919238e-89,5.920581393447362e-40,1.126388647637474e-91
3.0951694141908758e-21,0.6790127296935681,0.0,1.931341637543199e-27,0.0,0.0,0.0,0.0,0.0,0.0,1.6073211583683247e-52,9.580048399312847e-74,0.0,4.987327096885395e-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323045867,0.9999999999999951,0.0,0.0,2.5353270763415425e-17,1.602478914266593e-17,4.94335815632943e-18,4.385123464420066e-18,4.903453553509694e-15,1.866246172415047e-35,5.9334772932015195e-55,7.030508124929281e-34,6.869195842397889e-42,2.2321103779127905e-36,6.800966624823749e-90,4.132071831996937e-88,2.5856734421226017e-39,4.495121405040219e-90
6.372407617451804e-21,0.6790127296935681,0.0,3.976291606712044e-27,0.0,0.0,0.0,0.0,0.0,0.0,1.351050281976211e-51,1.6158151874782818e-72,0.0,1.7303354545885797e-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323045867,0.9999999999999899,0.0,0.0,5.219791039526705e-17,3.2992212940793185e-17,1.0177502086560942e-17,9.028195367912921e-18,1.0095345551285224e-14,7.791210398541103e-35,4.9874451837636246e-54,2.9350987463078868e-33,2.8677540438003254e-41,9.318621435998849e-36,2.4171700577974806e-88,1.4686030471678374e-86,1.0794677630068055e-38,1.5976365516668742e-88
1.292688402397366e-20,0.6790127296935681,0.0,8.066191545066578e-27,0.0,0.0,0.0,0.0,0.0,0.0,1.107672648188341e-50,2.6539812974323704e-71,0.0,5.762739508004666e-109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323045867,0.9999999999999795,0.0,0.0,1.058871896589703e-16,6.692706053707977e-17,2.0645789947025048e-17,1.8314339174865477e-17,2.0479129546656447e-14,3.1829636687410236e-34,4.089008890397298e-53,1.1990836077635549e-32,1.1715710993943947e-40,3.8069609157517846e-35,8.141694465813116e-87,4.946659529753506e-85,4.4099780335743753e-38,5.3812799100598455e-87
2.6035836837017368e-20,0.6790127296935681,0.0,1.6245991421843027e-26,0.0,0.0,0.0,0.0,0.0,0.0,8.970220288627186e-50,4.302218050988422e-70,0.0,1.881054155742673e-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323045866,0.9999999999999587,0.0,0.0,2.1326574818637682e-16,1.347967557297812e-16,4.1582365667957576e-17,3.6886626788637946e-17,4.124669753667956e-14,1.2866048061170692e-33,3.3113854141614558e-52,4.8468876594168026e-32,4.735677701787465e-40,1.538834470228029e-34,2.672185646008786e-85,1.6235431882443333e-83,1.7825836306804129e-37,1.766189948971982e-85
5.225374246310479e-20,0.6790127296935683,0.0,3.2605591175665434e-26,0.0,0.0,0.0,0.0,0.0,0.0,7.220013679928539e-49,6.928589541228896e-69,0.0,6.079241990079378e-106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323045863,0.9999999999999172,0.0,0.0,4.2802286524118966e-16,2.705361461156972e-16,8.345551710983993e-17,7.403120201565234e-17,8.278183351384844e-14,5.173381338472571e-33,2.665291065342304e-51,1.948912210354312e-31,1.9041951755673613e-39,6.187585724492376e-34,8.659376497699696e-84,5.261188251464125e-82,7.16769037830877e-37,5.723443563170287e-84
1.0468955371527963e-19,0.6790127296935683,0.0,6.53247906843883e-26,0.0,0.0,0.0,0.0,0.0,0.0,5.793606277745741e-48,1.112192066512867e-67,0.0,1.9549931181586943e-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5812178323045859,0.9999999999998341,0.0,0.0,8.575370993508152e-16,5.420149268895815e-16,1.6720181999367388e-16,1.48320352467559e-16,1.6585210545667684e-13,2.0747573018719685e-32,2.138728225776957e-50,7.81600963492267e-31,7.636674325698688e-39,2.481498622140577e-33,2.7884572084893286e-82,1.694186447176965e-80,2.87456442466516e-36,1.8430400233419594e-82
