Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939)
0.0,0.8705840396285432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6064403113960647,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.1366771221372784e-23,0.8705840396285432,0.0,1.0057236069345569e-25,0.0,0.0,0.0,0.0,0.0,0.0,4.628294800378597e-54,1.9011737265967925e-75,0.0,3.610619381179709e-109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6064403113960647,0.9999999999999997,0.0,0.0,2.7609772408419626e-17,1.66608893475337e-17,4.338379133532065e-18,6.610503927353852e-18,3.659202029650614e-16,1.2246350985309027e-34,1.2983839277641313e-53,4.270285949951028e-34,3.0789661796577972e-43,2.8684869267078386e-37,6.696961698425658e-90,9.61584261303002e-88,3.3053769988819406e-39,1.1136786090562405e-89,2.9529876987551316e-40,6.560886587669832e-109
1.4382695941984378e-22,0.8705840396285432,0.0,2.8160260994168745e-25,0.0,0.0,0.0,0.0,0.0,0.0,5.494711587009845e-53,4.2528495794482354e-74,0.0,2.1965159677982275e-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6064403113960647,0.999999999999999,0.0,0.0,7.730736274357493e-17,4.665049017309535e-17,1.2147461573889922e-17,1.850941099658966e-17,1.024576568302026e-15,7.396795995126783e-34,1.5414413990415988e-52,2.5792527137699564e-33,1.859695572513175e-42,1.7325661037316638e-36,3.1992189668790013e-88,4.593603406355877e-86,1.9964477073249196e-38,5.320176356895973e-88,1.7836045700483426e-39,5.70719452230197e-107
3.287473358167858e-22,0.8705840396285432,0.0,6.436631084381973e-25,0.0,0.0,0.0,0.0,0.0,0.0,5.394740419322432e-52,8.402914102542889e-73,0.0,9.916123035205284e-106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6064403113960646,0.9999999999999977,0.0,0.0,1.7670254341388553e-16,1.0662969182422254e-16,2.7765626454606204e-17,4.230722513505678e-17,2.3418892989753726e-15,3.5612388665280576e-33,1.5133963062019396e-51,1.241799154245063e-32,8.953633650442837e-42,8.341559982868293e-36,1.665826683383841e-86,2.3918797701591103e-84,9.612036312752033e-38,2.7702047991642406e-86,8.587288227983501e-39,5.932195855379675e-105
6.985880886106698e-22,0.8705840396285434,0.0,1.3677841054314013e-24,0.0,0.0,0.0,0.0,0.0,0.0,4.7715868074006917e-51,1.4952536679501288e-71,0.0,3.744139381106455e-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6064403113960644,0.999999999999995,0.0,0.0,3.7549290475450667e-16,2.2658809512649256e-16,5.900195621604104e-17,8.990285341197299e-17,4.9765147603197356e-15,1.555286575134444e-32,1.3385818941678513e-50,5.423263156430615e-32,3.910287048163285e-41,3.642978396920901e-35,6.647876998079527e-85,9.545364271569137e-83,4.197828788583498e-37,1.1055160148429096e-84,3.7502943774226837e-38,4.748537408489988e-103
1.438269594198438e-21,0.8705840396285432,0.0,2.816026099418549e-24,0.0,0.0,0.0,0.0,0.0,0.0,4.0108062212955768e-50,2.5219638618699102e-70,0.0,1.2990158840960337e-102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6064403113960639,0.9999999999999898,0.0,0.0,7.730736274357487e-16,4.665049017310952e-16,1.2147461573891986e-16,1.8509410996573335e-16,1.0245765682999138e-14,6.493015292412626e-32,1.1251587376578103e-49,2.264105610657564e-31,1.6324678684526544e-40,1.5208717685422408e-34,2.3627596066923627e-83,3.3925719652310087e-81,1.7525108848102837e-36,3.9291770668701026e-83,1.5656740778832585e-37,3.380726604446899e-101
2.917632605373974e-21,0.8705840396285436,0.0,5.7125100873958004e-24,0.0,0.0,0.0,0.0,0.0,0.0,3.288301262927082e-49,4.1423332161092e-69,0.0,4.326265255054454e-101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6064403113960631,0.9999999999999792,0.0,0.0,1.568235072798232e-15,9.463385149405506e-16,2.4641993478471387e-16,3.7547662307296585e-16,2.0784267528320645e-14,2.6526086088233834e-31,9.224731123597294e-49,9.249610178977136e-31,6.669163903769787e-40,6.213257422740993e-34,7.958425081264762e-82,1.1427116724664469e-79,7.159578794684259e-36,1.3234550493054106e-81,6.396289475039347e-37,2.2792621599305357e-99
5.8763586277250464e-21,0.8705840396285438,0.0,1.1505478063362128e-23,0.0,0.0,0.0,0.0,0.0,0.0,2.6629516176919338e-48,6.71490064858376e-68,0.0,1.4121650346151028e-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6064403113960616,0.9999999999999581,0.0,0.0,3.1585579635231946e-15,1.906005741360463e-15,4.9631057287644745e-16,7.56241649286278e-16,4.186127121881449e-14,1.0722268112497742e-30,7.470426431198062e-48,3.7388403228626554e-30,2.695782680653702e-39,2.5114979917173137e-33,2.612034798880663e-80,3.750494128009435e-78,2.894016220638471e-35,4.3437119885442944e-80,2.5854824736924893e-36,1.496754181143205e-97
1.1793810672427191e-20,0.8705840396285441,0.0,2.309141401534208e-23,0.0,0.0,0.0,0.0,0.0,0.0,2.143375133483122e-47,1.0814140485738e-66,0.0,4.5638733733453623e-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6064403113960584,0.999999999999916,0.0,0.0,6.339203744973105e-15,3.8253401942042925e-15,9.96091849060497e-16,1.5177717017082912e-15,8.401527859920547e-14,4.311376849792037e-30,6.012849104245285e-47,1.5033712497875046e-29,1.0839623594024372e-38,1.0098622965050279e-32,8.464454100133787e-79,1.2153699258722788e-76,1.1636711939817224e-34,1.407605701387826e-78,1.0396111313160495e-35,9.702595594726674e-96
2.362871476183148e-20,0.8705840396285452,0.0,4.626328591949117e-23,0.0,0.0,0.0,0.0,0.0,0.0,1.7199235595850047e-46,1.7359090450609473e-65,0.0,1.4676732808643459e-96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.606440311396052,0.9999999999998317,0.0,0.0,1.2700495307872865e-14,7.664009099907971e-15,1.9956544014309262e-15,3.0408318065338716e-15,1.683232933576006e-13,1.7290549478132886e-29,4.824932730156734e-46,6.029191110725707e-29,4.3471738751746873e-38,4.0499994809763734e-32,2.7256890904083143e-77,3.91368481473081e-75,4.666841952599065e-34,4.5327146423038975e-77,4.169305614095247e-35,6.249410976623236e-94
