Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864)
0.0,0.7263827482631106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794542538,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8683433122089644e-22,0.7263827482631106,0.0,4.0071434197775343e-28,0.0,0.0,0.0,0.0,0.0,0.0,3.782025635178946e-55,3.806248207596658e-77,0.0,1.1454201768165867e-115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794542538,0.9999999999999997,0.0,0.0,3.890224491337639e-18,2.4457368300896336e-18,7.3378637001938705e-19,7.107012912286185e-19,3.741361262774099e-16,5.848226770162769e-37,3.961498690818862e-57,1.533737739039521e-35,9.9576882901382e-44,3.7236702564921523e-38,8.083535169242767e-94,5.596445805550101e-92,6.115512233979956e-41,6.116542547784089e-94,1.243807877213687e-42,5.756190604889932e-112,4.201628702299659e-95,1.690454098605543e-98
5.231361274185101e-22,0.7263827482631106,0.0,1.1220001575379112e-27,0.0,0.0,0.0,0.0,0.0,0.0,4.4900208340853407e-54,8.514424990467038e-76,0.0,6.968149900630004e-114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794542538,0.999999999999999,0.0,0.0,1.0892628575745391e-17,6.8480631242512226e-18,2.0546018360542944e-18,1.989963615439874e-18,1.0475811535761555e-15,3.5323289691784175e-36,4.703091245740273e-56,9.26377594379244e-35,6.014443727241476e-43,2.24909683492175e-37,3.8616017527719105e-92,2.6734893186609718e-90,3.693769389325325e-40,2.921945773590236e-92,7.512599578373815e-42,5.007204293289961e-110,2.0071684506519675e-93,8.075502083630869e-97
1.1957397198137374e-21,0.7263827482631106,0.0,2.5645717886590334e-27,0.0,0.0,0.0,0.0,0.0,0.0,4.40832908036731e-53,1.6823068977845362e-74,0.0,3.145755949668608e-112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794542538,0.9999999999999977,0.0,0.0,2.4897436744560895e-17,1.5652715712575387e-17,4.6962327681241505e-18,4.5484882638613554e-18,2.3944712081712775e-15,1.7006643447634902e-35,4.617522874018837e-55,4.460109345117529e-34,2.895695754769168e-42,1.0828433105886402e-36,2.0107280267381594e-90,1.3920803455069038e-88,1.7783909576434807e-39,1.5214511064884234e-90,3.6169933069420154e-41,5.204609101661339e-108,1.045128450983294e-91,4.204897192804784e-95
2.540946904604192e-21,0.7263827482631106,0.0,5.4497150509045054e-27,0.0,0.0,0.0,0.0,0.0,0.0,3.899117148849774e-52,2.993575239297334e-73,0.0,1.1877775913730729e-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794542538,0.999999999999995,0.0,0.0,5.29070530821919e-17,3.326202088922768e-17,9.979494632264028e-18,9.665537560700197e-18,5.088251317352044e-15,7.427247998108336e-35,4.084146690287393e-54,1.9478469285704815e-33,1.2646264128444188e-41,4.7290612257524364e-36,8.024287719549175e-89,5.555427224617999e-87,7.766700537176156e-39,6.071711970672323e-89,1.5796360040661004e-40,4.1661269483280837e-106,4.170833291914412e-90,1.6780640871998947e-93
5.231361274185101e-21,0.7263827482631106,0.0,1.1220001575408357e-26,0.0,0.0,0.0,0.0,0.0,0.0,3.277442903046188e-51,5.049102191238576e-72,0.0,4.120952242739053e-109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794542537,0.9999999999999896,0.0,0.0,1.0892628575745392e-16,6.848063124254805e-17,2.0546018360544447e-17,1.9899636154361405e-17,1.0475811535675671e-14,3.1007298335417555e-34,3.4329713814859837e-53,8.131877492300154e-33,5.279566331403029e-41,1.9742899699987762e-35,2.851957534982137e-87,1.974485846837267e-85,3.242444586475546e-38,2.1579815318533864e-87,6.594669365029217e-40,2.9660788154668765e-104,1.4823794772440135e-88,5.9641025913295704e-92
1.0612190013346918e-20,0.7263827482631106,0.0,2.276057462446769e-26,0.0,0.0,0.0,0.0,0.0,0.0,2.6870457066860513e-50,8.293165510640796e-71,0.0,1.372449153535457e-107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794542536,0.9999999999999788,0.0,0.0,2.2096475110797792e-16,1.389178519492521e-16,4.1679065817107933e-17,4.0367833341617863e-17,2.1250931972171294e-14,1.2667493113255681e-33,2.814557349938107e-52,3.322137292195174e-32,2.156875114373161e-40,8.065618722428352e-35,9.606178433474543e-86,6.65061212385196e-84,1.3246444119453652e-37,7.268676127539717e-86,2.6941376143956166e-39,1.9997095294924537e-102,4.993062341247487e-87,2.00887401011796e-90
2.1373847491670556e-20,0.7263827482631107,0.0,4.584172072279288e-26,0.0,0.0,0.0,0.0,0.0,0.0,2.1760392796534553e-49,1.3443578669597868e-69,0.0,4.479902623076493e-106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794542534,0.9999999999999573,0.0,0.0,4.450416818090258e-16,2.797922933629132e-16,8.394516073024549e-17,8.130422771586708e-17,4.280117284455603e-14,5.120403252172603e-33,2.2793015143089892e-51,1.3428610098797122e-31,8.718434066856965e-40,3.2602520457772886e-34,3.152843947979081e-84,2.1827974911933494e-82,5.354424505571216e-37,2.3856522859307294e-84,1.0890134993080049e-38,1.3131765410787354e-100,1.6387730561569558e-85,6.593325651368945e-89
4.2897162448317824e-20,0.7263827482631107,0.0,9.200401292026937e-26,0.0,0.0,0.0,0.0,0.0,0.0,1.7514657234273914e-48,2.165046900522753e-68,0.0,1.447827116220611e-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7653300794542529,0.9999999999999142,0.0,0.0,8.931955432111214e-16,5.6154117619124735e-16,1.6847735055656303e-16,1.6317701646331054e-16,8.590165458689945e-14,2.0588916273510993e-32,1.834580153469291e-50,5.3995850593045325e-31,3.505643993136528e-39,1.3109330085164619e-33,1.0216978309354493e-82,7.073485078279624e-81,2.1529905441306486e-36,7.730848104731004e-83,4.378875384283512e-38,8.512567449959383e-99,5.310541547712411e-84,2.136606388849396e-87
8.594379236161236e-20,0.7263827482631109,0.0,1.843285973185268e-25,0.0,0.0,0.0,0.0,0.0,0.0,1.4054409396297624e-47,3.475379760989288e-67,0.0,4.655995028831446e-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.765330079454252,0.999999999999828,0.0,0.0,1.7895032660153115e-15,1.1250389418519638e-15,3.375417302093677e-16,3.269225939539778e-16,1.7210261806188205e-13,8.257076287498369e-32,1.4721350353419114e-49,2.1654751109258147e-30,1.4059200349429148e-38,5.257427693420709e-33,3.290029810210894e-81,2.2777749020078567e-79,8.63445503096125e-36,2.489456271137849e-81,1.756124879182104e-37,5.482917632211039e-97,1.7100789972535887e-82,6.88021302476644e-86
