Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304)
0.0,0.5127804198391197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5544245942292276,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.424751982759962e-21,0.5127804198391197,0.0,9.565721705540354e-33,0.0,0.0,0.0,0.0,0.0,0.0,6.835209282122568e-58,5.153185000165141e-81,0.0,9.717484301373114e-129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5544245942292276,0.9999999999999997,0.0,0.0,2.4178072926772523e-20,1.547281062955247e-20,6.444051828832805e-21,2.261210468387248e-21,3.8078865414745876e-16,5.873465268568983e-42,1.5029779190887737e-64,7.457554202230074e-39,1.8747727888127136e-45,2.147191458417635e-40,1.7145862175735037e-102,2.715724926796927e-101,8.843071900734657e-45,3.3792051303945443e-103,1.0752773026819615e-47,2.5370659060485905e-119,1.7416938266124924e-101,1.8051267620851378e-104,4.686494803117864e-103,1.3224151621373722e-101
6.789305551727893e-21,0.5127804198391197,0.0,2.678402077554167e-32,0.0,0.0,0.0,0.0,0.0,0.0,8.114760459750333e-57,1.1527468717988974e-79,0.0,5.911619913827715e-127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5544245942292276,0.999999999999999,0.0,0.0,6.769860419496307e-20,4.33238697627506e-20,1.804334512073187e-20,6.331389311480599e-21,1.0662082316046257e-15,3.5475730222159136e-41,1.7843353855423046e-63,4.5043627381022074e-38,1.1323627644384467e-44,1.2969036408867678e-39,8.19078411171944e-101,1.297334386229684e-99,5.34121542806744e-44,1.6142868412712833e-101,6.494674908204703e-47,2.206946949665575e-117,8.320280412984451e-100,8.623307157728702e-103,2.238794805409101e-101,6.317335919351398e-100
1.5518412689663756e-20,0.5127804198391197,0.0,6.1220618915659e-32,0.0,0.0,0.0,0.0,0.0,0.0,7.967119939285974e-56,2.2776335642210987e-78,0.0,2.668787810449246e-125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5544245942292276,0.9999999999999977,0.0,0.0,1.5473966673134417e-19,9.902598802916157e-20,4.1241931704530067e-20,1.4471746997652516e-20,2.4370473864859253e-15,1.7080037001002328e-40,1.7518710624902225e-62,2.168656761941369e-37,5.45183926980043e-44,6.244032761115537e-39,4.2649243057390846e-99,6.755193252554881e-98,2.571565308768533e-43,8.405558115085377e-100,3.126906396206455e-46,2.293953972791801e-115,4.332352761302579e-98,4.4901381590961925e-101,1.165735813697515e-99,3.289423716008672e-98
3.297662696553548e-20,0.5127804198391197,0.0,1.3009381519635246e-31,0.0,0.0,0.0,0.0,0.0,0.0,7.046827361588499e-55,4.052927234066296e-77,0.0,1.0076834974251449e-123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5544245942292276,0.9999999999999949,0.0,0.0,3.2882179180410634e-19,2.1043022456204236e-19,8.763910487212673e-20,3.0752462369937215e-20,5.178725696116388e-15,7.459300891086456e-40,1.549510115464492e-61,9.471093836138443e-37,2.3809614417227608e-43,2.726933152228365e-38,1.7020193321333908e-97,2.695820296858832e-96,1.1230701314290488e-42,3.354437590041512e-98,1.3656021744130975e-45,1.8362384720345266e-113,1.7289282586625538e-96,1.7918962689418185e-99,4.6521456159583643e-98,1.3127226545668265e-96
6.789305551727892e-20,0.5127804198391197,0.0,2.678402077595746e-31,0.0,0.0,0.0,0.0,0.0,0.0,5.923283000704054e-54,6.835854168649534e-76,0.0,3.4961221687596653e-122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5544245942292276,0.9999999999999895,0.0,0.0,6.769860419496307e-19,4.3323869762803944e-19,1.804334512073212e-19,6.331389311427004e-20,1.066208231484876e-14,3.114111285398737e-39,1.3024566170369498e-60,3.9539952373980076e-36,9.940045325659629e-43,1.1384409112870631e-37,6.049243283287474e-96,9.58136756461359e-95,4.688596722089909e-42,1.1922196581076962e-96,5.701120258880468e-45,1.3073120669896846e-111,6.144881822570446e-95,6.36867999364925e-98,1.6534454157257563e-96,4.665621917942564e-95
1.3772591262076581e-19,0.5127804198391197,0.0,5.433329928933594e-31,0.0,0.0,0.0,0.0,0.0,0.0,4.856265273807299e-53,1.1227910999115529e-74,0.0,1.1643546512306535e-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5544245942292276,0.9999999999999785,0.0,0.0,1.3733145422406793e-18,8.788556437609754e-19,3.660221438777144e-19,1.284367546019895e-19,2.162879555019931e-14,1.2722160710360472e-38,1.0678326257623702e-59,1.6153360698912024e-35,4.060832850950025e-42,4.650902586878508e-37,2.0375517396881059e-94,3.227268475491424e-93,1.9154447462574466e-41,4.0157241577492515e-95,2.3290936487516634e-44,8.813806244312684e-110,2.0697654335715118e-93,2.145146821373548e-96,5.5692595353363194e-95,1.571509957523091e-93
2.773916268277396e-19,0.5127804198391197,0.0,1.094318563190292e-30,0.0,0.0,0.0,0.0,0.0,0.0,3.932729526143304e-52,1.8200927574146336e-73,0.0,3.800647508983759e-119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5544245942292276,0.9999999999999565,0.0,0.0,2.7659715428227767e-18,1.7700895360306145e-18,7.371995292185186e-19,2.586824775736435e-19,4.35622220124436e-14,5.14250076898915e-38,8.647585457746675e-59,6.529446662305643e-35,1.6414535652633837e-41,1.879969187270963e-36,6.6874488291024676e-93,1.0592218280755213e-91,7.742533918769056e-41,1.3180008783465507e-93,9.414568918496723e-44,5.78788240387379e-108,6.793177397168885e-92,7.040586660964032e-95,1.8278867447718887e-93,5.157853034908208e-92
5.567230552416872e-19,0.5127804198391197,0.0,2.196289703901608e-30,0.0,0.0,0.0,0.0,0.0,0.0,3.165402862753772e-51,2.9312032758207955e-72,0.0,1.2283036008641033e-117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5544245942292276,0.9999999999999126,0.0,0.0,5.551285543986971e-18,3.552557320584962e-18,1.4795542999001974e-18,5.191739235018122e-19,8.742907490310498e-14,2.067776941680343e-37,6.96032909935683e-58,2.6254617835847933e-34,6.600212590389569e-41,7.559273418933498e-36,2.1671075629074044e-91,3.4324713243331912e-90,3.113238836744759e-40,4.271060229863272e-92,3.785556755515618e-43,3.7519509237606e-106,2.2013695336277867e-90,2.281543977609288e-93,5.923375702592795e-92,1.671432949062011e-90
1.1153859120695824e-18,0.5127804198391197,0.0,4.400231985794045e-30,0.0,0.0,0.0,0.0,0.0,0.0,2.540036447856485e-50,4.705230422380112e-71,0.0,3.9500403031481494e-116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5544245942292276,0.9999999999998249,0.0,0.0,1.1121913546315361e-17,7.117492889753932e-18,2.9642638412638367e-18,1.0401568152975914e-18,1.7516278054911902e-13,8.292710372058481e-37,5.585225756067129e-57,1.0529276004392113e-33,2.646980449038481e-40,3.0316067385339933e-35,6.9784316560246075e-90,1.1053104583706118e-88,1.24854801727398e-39,1.3753494502759428e-90,1.518177572259366e-42,2.41661966296962e-104,7.088760657625838e-89,7.34693514676025e-92,1.9074213602177357e-90,5.382280417334362e-89
