Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(964),S(1465),S(335),S(923)
0.0,0.8526159185611605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9543954756473246,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.645085226417444e-23,0.8526159185611605,0.0,1.3453003261661835e-26,0.0,0.0,0.0,0.0,0.0,0.0,2.985225121222023e-54,7.201175299323497e-76,0.0,2.3258010607774303e-111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9543954756473246,0.9999999999999997,0.0,0.0,2.0709287652961507e-17,1.2714502541177224e-17,3.481503072747038e-18,4.5132820390372426e-18,3.864931774967878e-16,2.7068549948456915e-35,1.0925690662516644e-54,2.0081240496066057e-34,3.210665879617262e-43,2.070752236749021e-37,6.066969933852484e-91,6.626472397890487e-89,1.1518158279474562e-39,7.467750931304407e-91,5.919864188922734e-41,1.3927433910291063e-109,1.2397568107180344e-91,4.900389989257486e-95,9.225829975926505e-111,7.635440180765911e-110,1.0906931449655044e-106,7.375074567302708e-94
2.4206238633968844e-22,0.8526159185611605,0.0,3.766840913265704e-26,0.0,0.0,0.0,0.0,0.0,0.0,3.5440592639151584e-53,1.6108741097576298e-74,0.0,1.4148982843635358e-109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9543954756473246,0.999999999999999,0.0,0.0,5.798600542829222e-17,3.560060711529719e-17,9.748208603691797e-18,1.2637189709303226e-17,1.0821808969907366e-15,1.6349404168868338e-34,1.2970979954540003e-53,1.2129069259620224e-33,1.9392421912885604e-42,1.2507343509965522e-36,2.898264341041559e-89,3.1655453821410925e-87,6.956967600803935e-39,3.567434232896858e-89,3.575597970110118e-40,1.2115218493779655e-107,5.922467055648211e-90,2.3409751025609574e-93,8.025379740787716e-109,6.641928921149697e-108,9.487738980438164e-105,3.52316162171542e-92
5.532854544907164e-22,0.8526159185611605,0.0,8.609922087466309e-26,0.0,0.0,0.0,0.0,0.0,0.0,3.47957840129753e-52,3.182815785377675e-73,0.0,6.3875271911253225e-108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9543954756473245,0.9999999999999976,0.0,0.0,1.3253944097895364e-16,8.137281626354098e-17,2.2281619665581663e-17,2.888500504983098e-17,2.473556335977555e-15,7.871534325011812e-34,1.2734985036230144e-52,5.839624736250493e-33,9.33661637792297e-42,6.021747504468277e-36,1.5091202336545195e-87,1.6482929176226716e-85,3.349480427673119e-38,1.8575556090107094e-87,1.7214965061398876e-39,1.2592850770191704e-105,3.083816317360149e-88,1.2189408825719784e-91,8.341773571953691e-107,6.903781369952334e-106,9.8617850919473e-103,1.834502952176538e-90
1.1757315907927724e-21,0.8526159185611605,0.0,1.829608443587377e-25,0.0,0.0,0.0,0.0,0.0,0.0,3.077647690977434e-51,5.663650632887068e-72,0.0,2.4118087300127663e-106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9543954756473244,0.9999999999999948,0.0,0.0,2.8164631208027647e-16,1.7291723456004398e-16,4.73484417893628e-17,6.138063573086964e-17,5.256307213946879e-15,3.43770584345459e-33,1.126395004542973e-51,2.5503175429946894e-32,4.0775456671097424e-41,2.6298553406734365e-35,6.0225026941430536e-86,6.577904341700628e-84,1.4628061014952345e-37,7.413016809602281e-86,7.518227519943719e-39,1.0080183530612001e-103,1.2306701391824026e-86,4.864473078914711e-90,6.677329074297906e-105,5.526261252064308e-104,7.894050797603918e-101,7.321019707889854e-89
2.4206238633968847e-21,0.8526159185611605,0.0,3.7668409132713686e-25,0.0,0.0,0.0,0.0,0.0,0.0,2.5869483264533625e-50,9.55257460895163e-71,0.0,8.367684882405073e-105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9543954756473241,0.9999999999999892,0.0,0.0,5.798600542829218e-16,3.5600607115311157e-16,9.748208603693066e-17,1.2637189709287956e-16,1.0821808969868269e-14,1.4351745182676914e-32,9.468028717089174e-51,1.0647073710962922e-31,1.7022950493693024e-40,1.0979128359262862e-34,2.1404917842261084e-84,2.3378902286727806e-82,6.106927519795033e-37,2.634702279623277e-84,3.138711992977451e-38,7.176598120231815e-102,4.373994427081356e-85,1.7289099215524024e-88,4.753932022888385e-103,3.934427978720118e-102,5.620178436554768e-99,2.6020050689031856e-87
4.910408408605109e-21,0.8526159185611607,0.0,7.641305852649355e-25,0.0,0.0,0.0,0.0,0.0,0.0,2.120936534864862e-49,1.5690132479815454e-69,0.0,2.786788430784615e-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9543954756473235,0.9999999999999781,0.0,0.0,1.1762875386882125e-15,7.221837443394934e-16,1.9774937453208873e-16,2.563544198166299e-16,2.195281248164203e-14,5.863156193039839e-32,7.762461976473087e-50,4.349677016366458e-31,6.954430721854224e-40,4.485332174904377e-34,7.20976584059525e-83,7.874658166809002e-81,2.4948791559822e-36,8.874402899268143e-83,1.28226626278639e-37,4.838412106714099e-100,1.473281787038406e-83,5.8234447741719735e-87,3.205067619599301e-101,2.6525637420837225e-100,3.7890848747379174e-97,8.764269689269849e-86
9.889977499021558e-21,0.8526159185611608,0.0,1.5390235731445335e-24,0.0,0.0,0.0,0.0,0.0,0.0,1.71758939493273e-48,2.5434380883575316e-68,0.0,9.096541586849847e-102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9543954756473223,0.9999999999999558,0.0,0.0,2.3691425074987923e-15,1.454539090713244e-15,3.9828395152249446e-16,5.163194652630521e-16,4.4214819504913444e-14,2.369981477030675e-31,6.286242963969432e-49,1.758208995349236e-30,2.81109208954084e-39,1.813042979394717e-33,2.36631733982691e-81,2.5845416587848768e-79,1.0084700445399788e-35,2.912667890401252e-81,5.183125250956636e-37,3.1773060940981616e-98,4.835458344700229e-82,1.9113128850269301e-85,2.104715484158998e-99,1.7418952244705048e-98,2.4882300635275307e-95,2.8765210686626723e-84
1.9849115679854454e-20,0.8526159185611614,0.0,3.0888095489197315e-24,0.0,0.0,0.0,0.0,0.0,0.0,1.3824653719519216e-47,4.0961286315000994e-67,0.0,2.9398450549580527e-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.95439547564732,0.9999999999999113,0.0,0.0,4.754852445119946e-15,2.9192497834646908e-15,7.99353105503664e-16,1.036249556151583e-15,8.87388335503519e-14,9.5295912835826e-31,5.05971522818698e-48,7.069681041312244e-30,1.1303277655614425e-38,7.290166079674544e-33,7.6681920616446e-80,8.375360944551283e-78,4.05501369502137e-35,9.438673511623911e-80,2.084111867226764e-36,2.0596646062446848e-96,1.5669590330096029e-80,6.19372306957445e-84,1.3643658686157334e-97,1.1291703837700685e-96,1.6129762894567114e-93,9.321537589673166e-83
3.976739204152025e-20,0.8526159185611619,0.0,6.188381500534139e-24,0.0,0.0,0.0,0.0,0.0,0.0,1.1093413963791863e-46,6.575193609299306e-66,0.0,9.45410112009166e-99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9543954756473152,0.9999999999998223,0.0,0.0,9.526272320362233e-15,5.848671168983369e-15,1.6014914134674352e-15,2.0761097379113923e-15,1.7778686163681123e-13,3.821792326115659e-30,4.060102820895736e-47,2.835258296661836e-29,4.5331198912644757e-38,2.92368265864123e-32,2.4692800266550673e-78,2.6969996746486722e-76,1.6262418566639604e-34,3.0394032639372734e-78,8.358220729636127e-36,1.3266234248963036e-94,5.045857764611968e-79,1.9944775188888722e-82,8.787837184474651e-96,7.272950543822391e-95,1.0389129001773382e-91,3.0016836329122055e-81
