Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(964),S(1465),S(335),S(923),S(304)
0.0,0.4630434845653698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362771,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0926192661289173e-20,0.4630434845653698,0.0,2.166904574866494e-35,0.0,0.0,0.0,0.0,0.0,0.0,2.2004001503863904e-59,3.588291435230448e-83,0.0,3.768130668473978e-136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362771,0.9999999999999997,0.0,0.0,1.8582489125022186e-21,1.1539584522403101e-21,5.949782305419626e-22,1.0931222971994557e-22,3.9051248377692486e-16,1.1612744225214072e-44,1.0753975575683348e-68,1.417517489960756e-40,1.959354538642974e-46,1.4762157091185653e-41,3.143648353852826e-107,2.194441631081214e-106,7.587238053922857e-47,3.1856325616740583e-108,1.8508056388563923e-50,2.270776902686869e-123,1.406686244283019e-106,1.4081639823029349e-109,2.750655820129973e-124,3.9040907255714205e-123,3.731068130980122e-120,4.6237377070156195e-108,1.3510866747716929e-106
3.059333945160968e-20,0.4630434845653698,0.0,6.067332809650768e-35,0.0,0.0,0.0,0.0,0.0,0.0,2.6123150585561907e-58,8.026864409004374e-82,0.0,2.2923377705108585e-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362771,0.9999999999999989,0.0,0.0,5.2030969550062114e-21,3.2310836662732767e-21,1.6659390455174959e-21,3.060742432154388e-22,1.0934349545371153e-15,7.01409751203003e-44,1.2767119803452474e-67,8.561805638971656e-40,1.1834501413244394e-45,8.91634288314124e-41,1.5017585424234472e-105,1.0483111004658224e-104,4.582691784655716e-46,1.5218149023641754e-106,1.1178866058577037e-49,1.9753070453366454e-121,6.719908991281499e-105,6.7269683231916926e-108,2.3927448857479216e-122,3.396096686765045e-121,3.2455875154819115e-118,2.208814987556116e-106,6.4543031757886405e-105
6.992763303225071e-20,0.4630434845653698,0.0,1.3868189279317658e-34,0.0,0.0,0.0,0.0,0.0,0.0,2.5647864153435424e-57,1.5859731430069124e-80,0.0,1.0348708456619565e-132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362771,0.9999999999999974,0.0,0.0,1.1892793040014199e-20,7.385334094340842e-21,3.8078606754685645e-21,6.995982702047901e-22,2.4992798959043985e-15,3.37698602069335e-43,1.2534833931020252e-66,4.122140860218911e-39,5.697802998133138e-45,4.29283528221261e-40,7.819625595794934e-104,5.45853416636176e-103,2.2063688262077806e-45,7.924058646816408e-105,5.382142797612073e-49,2.0531818604477288e-119,3.4990426799310474e-103,3.502718459490772e-106,2.4870768355994018e-120,3.5299849355251465e-119,3.37354206740918e-116,1.1501253847423921e-104,3.3607422824747965e-103
1.4859622019353278e-19,0.4630434845653698,0.0,2.9469902219044815e-34,0.0,0.0,0.0,0.0,0.0,0.0,2.2685245391530177e-56,2.8221544698375454e-79,0.0,3.9074754054416007e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362771,0.9999999999999947,0.0,0.0,2.5272185210030173e-20,1.5693834950482505e-20,8.091703935370714e-21,1.4866463241769515e-21,5.310969778026574e-15,1.4748185166033222e-42,1.108691865951437e-65,1.8002472116436251e-38,2.488380263827054e-44,1.87479395067874e-39,3.1206073027614587e-102,2.1783576940821957e-101,9.635792329783064e-45,3.16228379245748e-103,2.350523161155046e-48,1.643507919849693e-117,1.3963760803628181e-101,1.3978429875483867e-104,1.9908272884066334e-118,2.825642632725917e-117,2.7004150060307067e-114,4.589848492256599e-103,1.3411840222649502e-101
3.059333945160969e-19,0.4630434845653698,0.0,6.067332810007263e-34,0.0,0.0,0.0,0.0,0.0,0.0,1.906831564122345e-55,4.75997600840829e-78,0.0,1.3556847387566334e-129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362771,0.999999999999989,0.0,0.0,5.203096955006212e-20,3.231083666279195e-20,1.6659390455175046e-20,3.06074243209511e-21,1.093434953982136e-14,6.157076988218717e-42,9.319223170292253e-65,7.515677726313111e-38,1.038849776163559e-43,7.826895690626421e-39,1.1091127115873507e-100,7.742224427330686e-100,4.0227536173559316e-44,1.1239251891338346e-101,9.812971495465537e-48,1.1700973312157983e-115,4.962939295276324e-100,4.968152913564446e-103,1.417371749838581e-116,2.0117194828233129e-115,1.9225635325148447e-112,1.631304042505751e-101,4.76677807647997e-100
6.206077431612251e-19,0.4630434845653698,0.0,1.2308017986842223e-33,0.0,0.0,0.0,0.0,0.0,0.0,1.5633357223533178e-54,7.818274887971573e-77,0.0,4.514996201916742e-128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362771,0.9999999999999778,0.0,0.0,1.0554853823012601e-19,6.554484008751536e-20,3.3794763494783874e-20,6.2089346478267715e-21,2.2181109053612677e-14,2.5153668501669195e-41,7.640462198766575e-64,3.0703995793327964e-37,4.244040302976138e-43,3.197542275322549e-38,3.735797072890377e-99,2.6077944151077447e-98,1.6434261124171216e-43,3.7856895791556584e-100,4.0089190444985376e-47,7.888714120158165e-114,1.671654638563498e-98,1.6734107290589725e-101,9.555820896311645e-115,1.356287161512363e-113,1.2961788463903002e-110,5.494681294175673e-100,1.6055821376602198e-98
1.2499564404514814e-18,0.4630434845653698,0.0,2.4789388343029738e-33,0.0,0.0,0.0,0.0,0.0,0.0,1.2660298004612116e-53,1.2673760508486706e-75,0.0,1.4737699594651502e-126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362771,0.9999999999999553,0.0,0.0,2.125836755902538e-19,1.3201284693738018e-19,6.806550957400217e-20,1.2505319078871467e-20,4.4674628042002293e-14,1.0167514980968894e-40,6.187444380941156e-63,1.2411045994983568e-36,1.715508946031237e-42,1.292497712298208e-37,1.2261260058399558e-97,8.559042386779621e-97,6.642991111732001e-43,1.2425012275388354e-98,1.6204691742608135e-46,5.180389534536231e-112,5.486537905230238e-97,5.492301571832804e-100,6.275151278052905e-113,8.906515944072565e-112,8.511794484611769e-109,1.803409420446795e-98,5.26968134179175e-97
2.5086538350319944e-18,0.4630434845653698,0.0,4.975212906547517e-33,0.0,0.0,0.0,0.0,0.0,0.0,1.019010925971339e-52,2.0410700597502913e-74,0.0,4.762969847990755e-125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362771,0.9999999999999103,0.0,0.0,4.2665395031050937e-19,2.6494886063878174e-19,1.366070017324412e-19,2.509808793928636e-20,8.966166586200947e-14,4.088313055521237e-40,4.980193533309587e-62,4.990426993269591e-36,6.897986014748982e-42,5.197076457532593e-37,3.9733342394680565e-96,2.773608584692954e-95,2.6711175123991535e-42,4.026399129385625e-97,6.515835273841851e-46,3.358148270495439e-110,1.777945235757459e-95,1.779812987336603e-98,4.067819265294802e-111,5.773581473547848e-110,5.51770629668844e-107,5.844055485072067e-97,1.707671576967028e-95
5.02604862419302e-18,0.4630434845653698,0.0,9.967761055064755e-33,0.0,0.0,0.0,0.0,0.0,0.0,8.176920937585627e-52,3.276369477573348e-73,0.0,1.5316997251116148e-123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7671343263362771,0.9999999999998204,0.0,0.0,8.547944997510205e-19,5.308208880482727e-19,2.736899860493294e-19,5.028362565341814e-20,1.7963574087493557e-13,1.639596389557936e-39,3.996291668900136e-61,2.0013844141312057e-35,2.766400906731503e-41,2.0842601063984014e-36,1.2794769359710076e-94,8.931461579742676e-94,1.0712375937760954e-41,1.2965646826070676e-95,2.6131413686255354e-45,2.1629726224849193e-108,5.725266950699558e-94,5.731281415733638e-97,2.6200694383480634e-109,3.7187454500129006e-108,3.5539370866379355e-105,1.8818789911987384e-95,5.498974573545118e-94
