Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879)
0.0,0.6006790080712034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9574414901961177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1548473680476279e-21,0.6006790080712034,1.3069434340405838e-62,2.662887209221937e-31,5.562801441645485e-78,2.6013918695516147e-60,0.0,0.0,1.0685260896139277e-59,8.540299647277735e-115,8.979404371598544e-57,1.48825611642324e-79,1.0698330330479501e-59,1.9807851647988017e-124,6.715224648647552e-117,5.308792098542231e-94,1.1152586481340668e-124,6.0081295379333046e-40,-1.3280388881538924e-174,1.5880994430410542e-155,9.877745287438398e-144,6.165571857550956e-147,8.79069958671672e-109,1.0713315646070765e-231,2.492698759383435e-102,1.5682709793487656e-128,3.163127954005096e-128,-3.011240711288543e-150,0.0,0.0,9.441583337132613e-100,0.0,7.492558936440523e-143,0.0,3.76,0.0,0.9574414901961177,0.9999999999999997,3.5638986371744955e-109,0.0,2.0073949451817277e-19,1.2898503223279725e-19,4.823099144550342e-20,2.3523470839872058e-20,3.999999252323943e-16,3.692639562364544e-40,5.737624345644284e-62,1.4125055349325467e-37,1.1813293562475888e-44,1.817631917565569e-39,2.740677754160617e-99,6.912454343276524e-98,2.3063566188987124e-43,7.977760109552694e-100,6.649225587737279e-46,2.0014101482324333e-116,4.569141979469254e-98,4.541238647649652e-101,1.0519151844419564e-99,3.112268739571528e-98,1.6855738329122503e-117,1.9536540390668508e-116,2.1936224277049786e-113,4.465824946583647e-44,6.0081295379333046e-40,6.522154727175242e-60
3.2335726305333582e-21,0.6006790080712034,1.5516032448970667e-61,7.4560841858289155e-31,1.2443766623211262e-76,3.0883724275373955e-59,0.0,0.0,1.268554173592011e-58,6.590077813348427e-113,1.0660348869971842e-55,3.3291694021971268e-78,1.2701057768368675e-58,1.2050082780705816e-122,4.0851989414638005e-115,1.669169176476218e-92,8.60591095670516e-123,3.628910240919053e-39,5.1515820024406414e-172,1.6922431930929854e-153,1.3818576869247945e-141,6.569895262680172e-145,5.062992878193265e-107,2.2582691131475907e-171,1.1907921097581662e-100,1.210148146217268e-126,2.4408112374740086e-126,5.233393743923168e-148,3.389122927713918e-242,2.102233555233704e-188,4.5103576592073094e-98,4.869423761982446e-196,1.0481795045094146e-140,1.6201820728257998e-194,3.76,0.0,0.9574414901961177,0.9999999999999989,2.052623143427615e-107,7.953875715045361e-177,5.620705846508838e-19,3.611580902518578e-19,1.3504677604740981e-19,6.586571835161601e-20,1.1199997906465988e-15,2.2303542956683144e-39,6.811707623149249e-61,8.531533430953417e-37,7.135229311720932e-44,1.0978496782107338e-38,1.3092546512984687e-97,3.302162389235009e-96,1.3930393978178764e-42,3.811071737480381e-98,4.016132254998175e-45,1.7409898619999402e-114,2.1827339532959603e-96,2.1694041968517656e-99,5.025125065928295e-98,1.4867681241184544e-96,1.46624966268807e-115,1.6994477013466197e-114,1.9081917871984066e-111,2.6973582679271325e-43,3.628910240919053e-39,7.743102096443168e-59
7.39102315550482e-21,0.6006790080712034,1.5233732667302067e-60,1.7042478139072835e-30,2.458678793625141e-75,3.0321823631667622e-58,0.0,0.0,1.245474010061164e-57,7.182189167969045e-111,1.0466393735565881e-54,6.577877725728513e-77,1.246997383327814e-57,5.439983373216592e-121,1.8442543342224184e-113,3.723824611869289e-91,9.37910898380793e-121,1.7471640696418004e-38,2.5783723500748482e-169,3.851149571183918e-151,3.004320284008103e-139,1.4951544451118785e-142,2.270458513671574e-105,2.707703398983852e-168,6.20042982786817e-99,1.3188786465910547e-124,2.660115483816263e-124,1.3607057745780792e-145,4.816388217630248e-238,2.589393099194643e-185,2.3485338822224733e-96,1.21747691453572e-192,2.2788648762284417e-138,4.050857693698684e-191,3.76,0.0,0.9574414901961177,0.9999999999999974,9.20482371488496e-106,9.797061243321635e-174,1.2847327649163056e-18,8.255042062900811e-19,3.086783452512235e-19,1.5055021337500101e-19,2.5599995214585875e-15,1.0738195847358039e-38,6.687774937284071e-60,4.1075660955250995e-36,3.435305767946086e-43,5.285673616297322e-38,6.8172618256722625e-96,1.7194291099796194e-94,6.70688504780242e-42,1.984417152562141e-96,1.9335948009209391e-44,1.8096269197136662e-112,1.1365450442027516e-94,1.1296042676646353e-97,2.616572203691997e-96,7.741570798378568e-95,1.5240553196333227e-113,1.7664469943891974e-112,1.9834206398844223e-109,1.2986618947467125e-42,1.7471640696418004e-38,7.602223556172499e-58
1.570592420544774e-20,0.6006790080712034,1.3474064027845699e-59,3.6215266045680524e-30,4.37508771351609e-74,2.6819309618691434e-57,0.0,0.0,1.101607657363297e-56,5.875476682933571e-109,9.257406731006988e-54,1.170498195832034e-75,1.1029550637659393e-56,2.054034213577114e-119,6.963555375289679e-112,6.974311374443471e-90,7.672681258917486e-119,7.630324513285869e-38,8.972267195704077e-167,6.508272521994588e-149,4.922875357394533e-137,2.5267449138045e-140,8.542032384085896e-104,2.1337458330424627e-165,2.47442877717078e-97,1.07892462234546e-122,2.1761396328539296e-122,2.3838255429038657e-143,3.4413999831302906e-234,1.9824751336801314e-182,9.372382211653553e-95,1.9526148807779424e-189,3.7341450582792246e-136,6.496850098923385e-188,3.76,0.0,0.9574414901961177,0.9999999999999946,3.4630847376728015e-104,7.500765451204528e-171,2.73005712544715e-18,1.7541964383669358e-18,6.559414836588546e-19,3.199192034213591e-19,5.4399989830168836e-15,4.68965224420498e-38,5.915261195387725e-59,1.79388202930363e-35,1.5002882824117372e-42,2.308392535325331e-37,2.720590235060811e-94,6.86179021146897e-93,2.9290729060474327e-41,7.919287927781273e-95,8.444516496496415e-44,1.448549800636578e-110,4.5356529175521515e-93,4.507954100463863e-96,1.0442052790152177e-94,3.0894576820559373e-93,1.2199586585184194e-111,1.413985619723696e-110,1.5876662428158657e-107,5.671597685029778e-42,7.630324513285869e-38,6.724080643775684e-57
3.2335726305333585e-20,0.6006790080712034,1.132576268891814e-58,7.45608418593753e-30,7.379225041114105e-73,2.254324571948923e-56,0.0,0.0,9.259676128689504e-56,4.2286232407270775e-107,7.781408158072536e-53,1.9742162908987784e-74,9.271001891376018e-56,7.126398881972524e-118,2.4159821792756972e-110,1.204638851083075e-88,5.522080107098196e-117,3.185510281111334e-37,2.660264537237065e-164,9.529544596490378e-147,7.092042427507788e-135,3.699711138221105e-138,2.9578346127413396e-102,1.3403685330369914e-162,8.794507428733249e-96,7.76509886643751e-121,1.5661834984863363e-120,3.542152022804522e-141,1.8318198261234207e-230,1.2277998174998142e-179,3.331091431920495e-93,2.4781014780462625e-186,5.379521775623585e-134,8.245278672880424e-185,3.76,0.0,0.9574414901961177,0.9999999999999888,1.1991562948154303e-102,4.645424447267672e-168,5.6207058465088375e-18,3.611580902522278e-18,1.3504677604741311e-18,6.586571835124281e-19,1.119999790587075e-14,1.957837495967489e-37,4.9721334559499666e-58,7.489104345666022e-35,6.263408246620114e-42,9.637084427085555e-37,9.66940380475679e-93,2.4387877131146579e-91,1.2228302793813887e-40,2.81463896459375e-93,3.525419406680673e-43,1.0312966767611131e-108,1.6120420860124764e-91,1.602197492629476e-94,3.7112691091882334e-93,1.0980416484622736e-91,8.685509533319827e-110,1.0066886688660733e-108,1.1303407858959917e-105,2.367780389248886e-41,3.185510281111334e-37,5.651994937694109e-56
6.559533050510528e-20,0.6006790080712034,9.285544526549096e-58,1.5125199348868247e-29,1.2120399398840645e-71,1.8482314846948894e-55,0.0,0.0,7.591641936603592e-55,2.8662985239419692e-105,6.379668540967646e-52,3.242656186051229e-73,7.600927481126192e-55,2.3733883669143522e-116,8.046238223204313e-109,2.0015254680484783e-87,3.743044262088721e-115,1.3013848905182329e-36,7.317832827690401e-162,1.3030846168808384e-144,9.618617293347154e-133,5.059042037489175e-136,9.840902064928428e-101,7.581520074457224e-160,2.9622323110515204e-94,5.263436856887531e-119,1.0616101729508053e-118,4.8764290370717036e-139,8.52200563144455e-227,6.896730248625955e-177,1.1220033356799614e-91,2.818210472501751e-183,7.296002767870231e-132,9.376908456165116e-182,3.76,0.0,0.9574414901961177,0.9999999999999772,3.9896685253698385e-101,2.609402513873808e-165,1.1402003288632214e-17,7.326349830839493e-18,2.7395203141047427e-18,1.3361331436879771e-18,2.2719995750527583e-14,7.998404997679396e-37,4.076455410841781e-57,3.059543488422724e-34,2.558806638633177e-41,3.937063438852935e-36,3.256921505913923e-91,8.21450868249861e-90,4.995660691148265e-40,9.480479211553486e-92,1.4402488592587613e-42,6.952929846164179e-107,5.429801717011652e-90,5.396642415471907e-93,1.250057647885346e-91,3.698506682880516e-90,5.8557095956806394e-108,6.78702438307532e-107,7.620678282067456e-104,9.67315548901203e-41,1.3013848905182329e-36,4.63384692927296e-55
1.3211453890464866e-19,0.6006790080712034,7.519674702269362e-57,3.046342967549672e-29,1.9647689819102834e-70,1.4967457750359325e-54,0.0,0.0,6.147908467253041e-54,1.887299656177582e-103,5.1664209887157497e-51,5.256485413290863e-72,6.155428141948909e-54,7.747134925603443e-115,2.626431947487734e-107,3.262991672111457e-86,2.464587948674585e-113,5.2604058013664485e-36,1.9411949994020517e-159,1.7234541500876987e-142,1.2669450867981995e-130,6.691067396729356e-134,3.2105994984490404e-99,4.0773917502310434e-157,9.722343052360438e-93,3.465683175475873e-117,6.990118083191764e-117,6.470549720579648e-137,3.716823553411856e-223,3.696394339691148e-174,3.682527293579871e-90,3.0394369989156053e-180,9.610149336550148e-130,1.0112985802692833e-178,3.76,0.0,0.9574414901961177,0.9999999999999541,1.3016314644493395e-99,1.3985439961467357e-162,2.2964598172878966e-17,1.475588768750005e-17,5.517625421366198e-18,2.691085064012719e-18,4.5759991435637644e-14,3.2330831835617354e-36,3.301219280949295e-56,1.236716395718621e-33,1.0343105550612203e-40,1.5914239902668812e-35,1.0689542496676591e-89,2.6960840009266416e-88,2.0193259252502423e-39,3.1115882054007794e-90,5.821716165323015e-42,4.565875308758318e-105,1.7821152917661266e-88,1.7712320771537758e-91,4.102814368600203e-90,1.2138869262350722e-88,3.8453487159613857e-106,4.4569279044315806e-105,5.0043747854765475e-102,3.910044118173682e-40,5.2604058013664485e-36,3.752609384099247e-54
2.651529557037354e-19,0.6006790080712034,6.052488398379909e-56,6.113989033182185e-29,3.164199882555511e-69,1.2047112138378868e-53,0.0,0.0,4.948371591009749e-53,1.2250623361979025e-101,4.1583850804494707e-50,8.465407710206307e-71,4.954424079397822e-53,2.5037401396810474e-113,8.488211563745227e-106,5.269740267153407e-85,1.599784948487734e-111,2.1151860369053482e-35,5.058175404391757e-157,2.242261099834938e-140,1.6449521644806222e-128,8.70526212723821e-132,1.0373451821237245e-97,2.139258058978407e-154,3.150583084313996e-91,2.249604567866997e-115,4.53734538723206e-115,8.431814875814942e-135,1.570631901854355e-219,1.936055466662082e-171,1.1933448692552021e-88,3.1936641328963194e-177,1.2477443668919863e-127,1.0626139000988885e-175,3.76,0.0,0.9574414901961177,0.9999999999999081,4.2055732243952513e-98,7.325134983660305e-160,4.608978794137247e-17,2.961496340092565e-17,1.107383563589004e-17,5.4009889045567775e-18,9.183998278904336e-14,1.3000085284988933e-35,2.657108476904115e-55,4.972782232865147e-33,4.158917250686688e-40,6.399045871927129e-35,3.464009815883433e-88,8.736820537480904e-87,8.119620733422078e-39,1.0083286626475497e-88,2.340886465414227e-41,2.959794080618853e-103,5.775050582950145e-87,5.739782879922156e-90,1.329541395545177e-88,3.9336727727575933e-87,2.492718174723616e-104,2.889169750766081e-103,3.2440480452021187e-100,1.5722115502088567e-39,2.1151860369053482e-35,3.020426502192291e-53
5.312297893019089e-19,0.6006790080712034,4.8567407690273534e-55,1.2249281165674489e-28,5.079241583507614e-68,9.66704879282595e-53,0.0,0.0,3.970756565216261e-52,7.895848599196819e-100,3.336842141538339e-49,1.3588854181547218e-69,3.975613305968744e-52,8.051653070462591e-112,2.7297056535648343e-104,8.470953573343724e-84,1.0311033792152348e-109,8.482842050322623e-35,1.3063788953405697e-154,2.893519168367826e-138,2.120547704555992e-126,1.1233679625952266e-129,3.3355197878312993e-96,1.1087199661948165e-151,1.0145379540601268e-89,1.4499292445046254e-113,2.924438304987576e-113,1.0889424606262034e-132,6.534054573135132e-216,1.0025520904429606e-168,3.842760624753026e-87,3.3126184060538102e-174,1.6084975054095878e-125,1.1021930352304476e-172,3.76,0.0,0.9574414901961177,0.9999999999998159,1.3522762673180963e-96,3.793191629632463e-157,9.234016747835948e-17,5.933311482819482e-17,2.218625606494145e-17,1.0820796585223193e-17,1.8399996542859712e-13,5.213615642347334e-35,2.1321622138840473e-54,1.994308087252017e-32,1.6679118291776162e-39,2.5663035993125722e-34,1.1154663555654642e-86,2.813395422925493e-85,3.256331073955252e-38,3.2469789609350004e-87,9.388001714781813e-41,1.906393957550763e-101,1.8596583056132248e-85,1.8483015440232594e-88,4.281335142089336e-87,1.2667053108287944e-85,1.6055518509962159e-102,1.8609050508130902e-101,2.0894810332178732e-98,6.305271563612242e-39,8.482842050322623e-35,2.423702048540661e-52
