Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149)
0.0,0.5032731049526813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6343828714584391,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.663532607325734e-21,0.5032731049526813,1.028480519931319e-29,2.6143991315512462e-33,7.87385584916902e-45,4.691646172133861e-44,0.0,0.0,1.6009956177343326e-23,1.9408356711243696e-41,4.2271688062837795e-58,2.4173019257197426e-81,4.7633093602490846e-61,6.068527350047928e-119,8.850875674030524e-93,2.2751289481701477e-94,1.7324407098810532e-94,5.939426486703958e-41,-8.544256287834829e-135,4.5148716677960024e-86,-1.6834991118452548e-127,-3.6916894595532418e-149,3.8764220988219235e-97,9.540761181973982e-103,3.883128094803779e-67,1.478484123775807e-132,7.03782159070489e-132,-7.0833345037078e-153,4.4738973398071517e-200,-4.477018317515759e-163,2.054392155201174e-65,-2.05358036429336e-169,8.412081929737547e-141,-1.032811609529078e-167,3.76,0.0,0.6343828714584391,0.9999999999999997,5.9254605434858345e-59,-1.6637210634575588e-130,1.5655374451910478e-20,9.976193568684686e-21,4.353903268994781e-21,1.3252776142310133e-21,4.123105621145648e-16,1.796656448276332e-42,2.3627670734969386e-65,3.785971897838307e-39,1.414852740916017e-45,1.4540102643007143e-40,2.455963529974902e-103,3.216192532496129e-102,3.7403093868257184e-45,4.137569899619383e-104,3.16634144040648e-48,6.40303660351536e-120,2.050593134552604e-102,2.132641456819629e-105,5.825208713842269e-104,1.6372504707403507e-102,6.425222758406268e-121,8.299341674099507e-120,8.565966174900245e-117,6.833636533595332e-45,5.939426486703958e-41,1.0014185355114761e-61,1.2320534858670167e-23,3.6894316034782876e-24,7.417547705427157e-38,1.7294183707663543e-53
1.0257891300512056e-20,0.5032731049526813,2.879745455809437e-29,7.320317568380954e-33,4.755808932900601e-44,2.8337542879702844e-43,0.0,0.0,4.4827877296561296e-23,1.1722647453591188e-40,5.0184948068330114e-57,5.4074077157713166e-80,5.655000872515261e-60,3.495161045189001e-117,2.7828569260176663e-91,6.146371018942727e-93,5.322049400691607e-93,3.587413597988378e-40,4.427794987058672e-133,1.4195478903017853e-84,8.724210242218952e-126,3.58240165682076e-147,1.21880913068456e-95,5.80411061633053e-101,4.6100496741734745e-66,1.1408645861165354e-130,5.430698433979619e-130,3.966744528471237e-149,4.511024568069615e-197,9.067757004982957e-161,2.4389743666665714e-64,4.878101494626472e-167,8.963744719449431e-139,2.4528694952878565e-165,3.76,0.0,0.6343828714584391,0.9999999999999988,7.034706820609129e-58,9.43875534769895e-129,4.383504846534933e-20,2.7933341992319935e-20,1.2190929153185396e-20,3.710777319844014e-21,1.154469573907253e-15,1.0851804947589948e-41,2.805077069655776e-64,2.2867270262596967e-38,8.545710555084617e-45,8.78222199640098e-40,1.1732432498357167e-101,1.536413767083173e-100,2.2591468696576654e-44,1.9765667919221008e-102,1.912470230005854e-47,5.569883725510029e-118,9.795929474929155e-101,1.0187884156259373e-103,2.7827721051457995e-102,7.821341968785904e-101,5.589183053366173e-119,7.219444614335138e-118,7.451376361743414e-115,4.1275164665235846e-44,3.587413597988378e-40,1.1898397774185135e-60,3.4497497604276437e-23,1.0330408489738977e-23,4.480198814077926e-37,2.0531654898562686e-52
2.34466086868847e-20,0.5032731049526813,6.582275327572645e-29,1.6732154442190226e-32,2.289717280942121e-43,1.3643307068586744e-42,0.0,0.0,1.0246371953499714e-22,5.6439501316296605e-40,4.927187960643672e-56,1.0684126420286165e-78,5.5521133903901515e-59,1.5673769137500839e-115,6.20840071727689e-90,1.3078758234153392e-91,1.1794554120974342e-91,1.727185222361743e-39,4.64715109681238e-131,3.1669332540432258e-83,9.15641354160558e-124,7.650620993561132e-145,2.7190961240959615e-94,2.6202529745210097e-99,4.526174107371521e-65,1.243370034054307e-128,5.918640807011625e-128,9.680968737633993e-147,5.3219776672361233e-194,2.336472086011142e-158,2.3945994961381913e-63,2.6747757364332886e-164,2.0399377769804463e-136,1.3450247948400362e-162,3.76,0.0,0.6343828714584391,0.9999999999999973,6.906716899496309e-57,9.825392569776781e-127,1.0019439649222704e-19,6.384763883960168e-20,2.7864980921566665e-20,8.481776731058723e-21,2.638787597438516e-15,5.224676951588927e-41,2.7540413008686826e-63,1.1009606278394187e-37,4.1143917705110874e-44,4.228261848622791e-39,6.109053278082193e-100,8.000074632024665e-99,1.0876819697108955e-43,1.0291942307450947e-100,9.207720908701939e-47,5.789471696136487e-116,5.10072016851605e-99,5.30481015854942e-102,1.4489836659074268e-100,4.072556547821606e-99,5.8095318835900594e-117,7.504065132335926e-116,7.745140593638076e-113,1.9872215043097314e-43,1.727185222361743e-39,1.1686105277161087e-59,7.885142309548882e-23,2.3612362262259454e-23,2.1570228727381016e-36,2.0158100530822912e-51
4.9824043459629986e-20,0.5032731049526813,1.3987335071126951e-28,3.5555828190408203e-32,9.999796928483605e-43,5.958390638632191e-42,0.0,0.0,2.1773540401186853e-22,2.4648613023279425e-39,4.35804195260814e-55,1.901183211441356e-77,4.910781418216837e-58,5.896863684072327e-114,1.1627647446709152e-88,2.403662987680175e-90,2.2032978455461333e-90,7.5430716384032e-39,3.710257330576347e-129,5.931315493530578e-82,7.310424755831659e-122,1.2255049759529583e-142,5.092566112733609e-93,9.893576668750258e-98,4.003349740760911e-64,1.01715388962512e-126,4.841815669809533e-126,1.6599192198363613e-144,3.9567947010836596e-191,4.081189585505187e-156,2.1179961364004938e-62,9.772343200777035e-162,3.4474037871042966e-134,4.914181945553908e-160,3.76,0.0,0.6343828714584391,0.9999999999999943,6.108912892566774e-56,7.823962266334319e-125,2.1291309254598246e-19,1.3567623253421017e-19,5.921308445832937e-20,1.8023775553442963e-20,5.6074236442845884e-15,2.2817536893123384e-40,2.4359183420937693e-62,4.808184309717715e-37,1.7968629808879938e-43,1.8465930356991126e-38,2.437962794877544e-98,3.1926197760851653e-97,4.750192921493794e-43,4.1072440019774055e-99,4.021253629313691e-46,4.6342911789105445e-114,2.0355635205059597e-97,2.1170104780297308e-100,5.782513439034094e-99,1.6252504097644287e-97,4.650348731894711e-115,6.0067696454415745e-114,6.199743019302566e-111,8.678718401145172e-43,7.5430716384032e-39,1.0337890930148684e-58,1.6755927407791303e-22,5.017626980729678e-23,9.420285585891297e-36,1.782961163643024e-50
1.0257891300512056e-19,0.5032731049526813,2.8797454558347136e-28,7.32031756892419e-32,4.174718371264465e-42,2.4875108004853414e-41,0.0,0.0,4.482787729656099e-22,1.0290310728301345e-38,3.663196852972428e-54,3.2066233689428144e-76,4.1278076789571795e-57,2.0418966737005533e-112,2.0083869373411137e-87,4.116281389395429e-89,3.801248065108541e-89,3.149083923509599e-38,2.642864781844698e-127,1.0244872501086278e-80,5.207310460839679e-120,1.748619208449773e-140,8.796141529722988e-92,3.4325413494435712e-96,3.3650566771639365e-63,7.32053042660728e-125,3.4846899025282193e-124,2.443100862154495e-142,2.4197419934746965e-188,6.056451851788363e-154,1.7803033715570353e-61,2.9679440533465044e-159,5.04775787159973e-132,1.4924947072080757e-157,3.76,0.0,0.6343828714584391,0.9999999999999885,5.134909380211471e-55,5.566572315714028e-123,4.383504846534933e-19,2.7933341992360725e-19,1.2190929153185542e-19,3.7107773198030744e-20,1.1544695737110918e-14,9.525872488773686e-40,2.047536141621748e-61,2.0073222997506284e-36,7.501549231657587e-43,7.709162421655875e-38,8.664901616260217e-97,1.1347070724384079e-95,1.983112037096774e-42,1.4597788477472221e-97,1.678794231700189e-45,3.299388871380569e-112,7.2347115695256255e-96,7.524186813504245e-99,2.055195844406529e-97,5.776394509204241e-96,3.3108210641679056e-113,4.276526475045673e-112,4.413914088427382e-109,3.6231940932278416e-42,3.149083923509599e-38,8.690279647832727e-58,3.449749760427592e-22,1.0330408489735694e-22,3.932783793416404e-35,1.4986862895166471e-49
2.0808865209610172e-19,0.5032731049526813,5.841769353323376e-28,1.484978706965002e-31,1.7055086723830828e-41,1.016229327485789e-40,0.0,0.0,9.093655108730871e-22,4.203927697082175e-38,3.00331010122812e-53,5.266888512595502e-75,3.38422612712077e-56,6.79351884882308e-111,3.336964934666883e-86,6.811268797746158e-88,6.312354951235386e-88,1.2865035349449937e-37,1.782974298730954e-125,1.702200888559627e-79,3.51304332890066e-118,2.361237041764879e-138,1.461492071479898e-90,1.1431795838372843e-94,2.7588767723248413e-62,4.962093905736308e-123,2.3620362837428782e-122,3.348222261705313e-140,1.351250383128011e-185,8.332753452398941e-152,1.459600265519247e-60,8.261324786422751e-157,6.9023814718164596e-130,4.154406555606662e-155,3.76,0.0,0.6343828714584391,0.9999999999999766,4.209908949830429e-54,3.7533168184190304e-121,8.89225268868515e-19,5.666477947031217e-19,2.473017056789101e-19,7.527576848648349e-20,2.341923991930031e-14,3.891629733235111e-39,1.6786938358268027e-60,8.200566565502238e-36,3.064627630358314e-42,3.14944439316771e-37,2.9185775039717782e-95,3.8220059287914094e-94,8.101659745944893e-42,4.916937197396199e-96,6.858422213545582e-45,2.2244248307944213e-110,2.4368501072580816e-94,2.53435334212132e-97,6.92246562566705e-96,1.9456487579715983e-94,2.232132334555698e-111,2.8832041478285393e-110,2.975829913704195e-107,1.4801930103543094e-41,1.2865035349449937e-37,7.125078708138324e-57,6.998063799724425e-22,2.0955971507741932e-22,1.6066705031854342e-34,1.2287135669594369e-48
4.19108130278064e-19,0.5032731049526813,1.1765817148479204e-27,2.990872607493805e-31,6.893938741272349e-41,4.107761422858523e-40,0.0,0.0,1.8315389866880203e-21,1.699294790181554e-37,2.4321583862570065e-52,8.53785324526337e-74,2.740634060177161e-55,2.216389114177743e-109,5.440095050971613e-85,1.1081814392342064e-86,1.0287966501621116e-86,5.200252983380038e-37,1.1713419113184048e-123,2.7750170616779166e-78,2.3079260970487935e-116,3.103710585640182e-136,2.382600939936778e-89,3.7315285625300356e-93,2.234209939303359e-61,3.2672654624668275e-121,1.5552707541526052e-120,4.432991484260432e-138,7.221762296882301e-183,1.1053484912628237e-149,1.1820221379003174e-59,2.204347961160618e-154,9.129059968076616e-128,1.10851234262732e-152,3.76,0.0,0.6343828714584391,0.9999999999999528,3.4092934175845397e-53,2.465103065772379e-119,1.7909748372985582e-18,1.141276544265031e-18,4.980865339730298e-19,1.5161175906049774e-19,4.7168328269826036e-14,1.5730589599842016e-38,1.359449791332872e-59,3.3148001198429863e-35,1.238771487130042e-41,1.2730557791195282e-36,9.579063604564143e-94,1.254420615307745e-92,3.2748204044175e-41,1.6137880221793618e-94,2.772283915436552e-44,1.4607434038654146e-108,7.997986052095643e-93,8.318001433655272e-96,2.2720225336697218e-94,6.385814040285726e-93,1.4658047949765737e-109,1.8933530058707566e-108,1.9541788323291756e-105,5.983176821335731e-41,5.200252983380038e-37,5.770178146550612e-56,1.409469187831773e-21,4.220709754373122e-22,6.494419058383853e-34,9.950441030745999e-48
8.411470866419886e-19,0.5032731049526813,2.361391273950488e-27,6.0026604100859575e-31,2.772022447321352e-40,1.6517128015972114e-39,0.0,0.0,3.6758859383177976e-21,6.832789613619818e-37,1.9576126625948935e-51,1.3749949446440797e-72,2.2059007221250888e-54,7.161156571425837e-108,8.785768041786082e-84,1.787938618152916e-85,1.6612886742032314e-85,2.090998853808813e-36,7.594897249297319e-122,4.481659967070134e-77,1.4964413540164466e-114,4.025648856884223e-134,3.8479068882932016e-88,1.2059655519188267e-91,1.7982865316092058e-60,2.1208099573483456e-119,1.0095395386338524e-118,5.770377548032618e-136,3.7772889956973976e-180,1.4401763798051006e-147,9.513942504906392e-59,5.760618069601639e-152,1.1877157115816651e-125,2.896876647567511e-150,3.76,0.0,0.6343828714584391,0.9999999999999053,2.74409594466556e-52,1.5981380381635613e-117,3.594473974158645e-18,2.290534043400374e-18,9.996561905613104e-19,3.042837401969615e-19,9.466650491546524e-14,6.325200892485776e-38,1.0942034615292737e-58,1.3328665477917345e-34,4.981045664663227e-41,5.1189012977585725e-36,3.104152527299859e-92,4.065024602519093e-91,1.3167908820053518e-40,5.2295760623305745e-93,1.1147231694370723e-43,9.469158457082761e-107,2.591794943054082e-91,2.6954978317061303e-94,7.362624141838154e-93,2.069361015396087e-91,9.501968534462721e-108,1.2273517422674608e-106,1.2667816247637861e-103,2.405809093723547e-40,2.090998853808813e-36,4.6443831798873095e-55,2.82879480355029e-21,8.470934961561708e-22,2.6113773398803833e-33,8.008980610344339e-47
1.6852249993698379e-18,0.5032731049526813,4.731010392441229e-27,1.2026236021408455e-30,1.1117049831901567e-39,6.624107081467358e-39,0.0,0.0,7.364579841577e-21,2.74025423904617e-36,1.570860876135297e-50,2.207171402336145e-71,1.770096407885767e-53,2.3026259596744696e-106,1.412286553935802e-82,2.8726389149040627e-84,2.6702967052190473e-84,8.38584063176572e-36,4.8924490767207724e-120,7.204137505200019e-76,9.639694705327269e-113,5.186960752937212e-132,6.185397959927428e-87,3.8782044866348316e-90,1.4430116904269949e-59,1.366917763692474e-117,6.506747552298637e-117,7.448232625095845e-134,1.9546586870540381e-177,1.859807751133855e-145,7.634339697936884e-58,1.4899510860718987e-149,1.532684196873845e-123,7.492611231874807e-148,3.76,0.0,0.6343828714584391,0.9999999999998103,2.2019641787268223e-51,1.0294108300079523e-115,7.201472247878818e-18,4.589049041717153e-18,2.002795503738038e-18,6.096277024236292e-19,1.896628579850947e-13,2.5366884594398698e-37,8.780293673593665e-58,5.345390984737388e-34,1.9976220926884345e-40,2.0529083696164383e-35,9.995865749605481e-91,1.3090026928278124e-89,5.280920390549711e-40,1.6840068228446127e-91,4.470538481466796e-43,6.099054855965976e-105,8.345992684942835e-90,8.679932517638137e-93,2.3708822922430357e-91,6.663672195733474e-90,6.120187713378736e-106,7.90533354036696e-105,8.159300176381516e-102,9.648370561088992e-40,8.38584063176572e-36,3.726841722429989e-54,5.6674460349867456e-21,1.697138537590178e-21,1.0472791099957482e-32,6.426702551807891e-46
