Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55)
0.0,0.7460115415196847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8975829871296377,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0316008338827874e-22,0.7460115415196849,7.477314516083951e-27,4.857474626825354e-28,4.6742235306724535e-42,1.178377730980768e-41,0.0,0.0,6.74955377949218e-22,1.1907761864852153e-39,6.2245644127087034e-55,6.942245538516188e-77,1.1386084861285488e-57,8.69555419686414e-109,8.621864539874104e-86,5.862261025257021e-85,3.855050556660171e-86,1.3048623546619015e-38,-1.8652345433629195e-120,1.964902396670168e-75,-6.441528485877921e-116,-3.082008941964971e-136,1.4651819613931957e-88,2.1996242251632715e-97,1.792269631848692e-61,1.596797585161895e-122,1.0598140316219964e-122,3.0175329963970504e-140,-6.099599278297991e-186,2.3485536905779903e-149,2.660141722957219e-60,4.789877484438585e-159,2.395436748411579e-133,4.809508297290296e-158,3.76,0.0,0.8975829871296377,0.9999999999999997,5.527852496274055e-57,7.238310105843965e-123,5.255032408518801e-18,3.302108765137372e-18,9.883308467761312e-19,9.645927966052982e-19,4.1528252247600256e-16,9.252191413928285e-37,7.275574230802795e-57,2.350267032956379e-35,1.441094180305181e-43,5.458480281355789e-38,2.200728837567717e-93,1.6952747709135214e-91,9.24407185377858e-41,1.6948617967633825e-93,1.9244608958780016e-42,1.814345627301079e-111,1.3354240718837012e-91,9.54271652143322e-95,1.7933509174778912e-93,8.169382874865177e-92,1.2450106179894957e-112,1.1619611136359233e-111,1.5277193346365214e-108,3.670501027578232e-43,1.3048623546619015e-38,2.201255585831267e-57,5.171326575809675e-22,1.5783019768276153e-22,2.8318975870029925e-36,3.843736623436696e-52,1.16023386223474e-36
5.688482334871805e-22,0.7460115415196847,2.0936480648738965e-26,1.3600928955114105e-27,2.823231012665171e-41,7.117401496174521e-41,0.0,0.0,1.88987505825781e-21,7.192288166370699e-39,7.389802870769385e-54,1.552952557984239e-75,1.3517559947323966e-56,5.0081942094776507e-107,2.7108521613920894e-84,1.3268581399991782e-83,9.298034102753737e-85,7.881368622161618e-38,9.665997560600701e-119,6.177967519514747e-74,3.3381216778411065e-114,2.844175252481889e-134,4.606766516116865e-87,1.3381387578328575e-95,2.1277825069316613e-60,1.232160553247695e-120,8.177999864705894e-121,4.209856501332726e-138,7.276514533371339e-183,5.295133981476435e-147,3.158120253496161e-59,1.3106240281173383e-156,2.5525386321178855e-131,1.3144933545848443e-155,3.76,0.0,0.8975829871296377,0.9999999999999988,6.562667210611878e-56,3.856001089181818e-120,1.471409074385264e-17,9.245904542385009e-18,2.767326370973183e-18,2.7008598304944516e-18,1.1627910629320932e-15,5.5883236140128644e-36,8.637561726809317e-56,1.4195612879046102e-34,8.704208849040155e-43,3.2969220899396803e-37,1.051314574453e-91,8.098531013626512e-90,5.583419399684617e-40,8.096558186564818e-92,1.162374381110843e-41,1.5782658772300414e-109,6.379481042277294e-90,4.55867019489004e-93,8.567052534911474e-92,3.9026122319177336e-90,1.0830118283938351e-110,1.0107685926675933e-109,1.328934939154875e-106,2.2169826209725268e-42,7.881368622161618e-38,2.614340065180162e-56,1.4479714412267043e-21,4.419245535117232e-22,1.7104661425497829e-35,4.5632869774761815e-51,7.007812527897763e-36
1.300224533684984e-21,0.7460115415196847,4.7854812928864605e-26,3.1087837611704053e-27,1.359264202928063e-40,3.426722443268097e-40,0.0,0.0,4.3197144188749896e-21,3.462777150299002e-38,7.255352279458177e-53,3.068372559690397e-74,1.3271620514332125e-55,2.2458845027632664e-105,6.0477620501767766e-83,2.6353472180376444e-82,1.8967667333915774e-83,3.794539727362303e-37,1.0144857644582171e-116,1.3782705686520502e-72,3.5034944933239536e-112,6.06330246145398e-132,1.027744268280471e-85,6.040997996549003e-94,2.089069482885553e-59,1.3428688445567994e-118,8.912784295909943e-119,9.389456062413263e-136,7.687337514606752e-180,1.2223963910342542e-144,3.100661192283045e-58,6.301232922454784e-154,5.808974354369869e-129,6.319662217503584e-153,3.76,0.0,0.8975829871296377,0.9999999999999973,6.4432659025443265e-55,3.627745238474485e-118,3.363220741452032e-17,2.113349609688175e-17,6.3253174193673496e-18,6.173393898271226e-18,2.657808143841417e-15,2.690537263170617e-35,8.480409323424484e-55,6.8345765318215095e-34,4.19070187632272e-42,1.5873260658194177e-36,5.474173193168296e-90,4.216888308794229e-88,2.68817609508228e-39,4.215861061845284e-90,5.596332285221005e-41,1.6404876790173865e-107,3.3217825526741277e-88,2.3736901193764663e-91,4.460846493591955e-90,2.0320820982029762e-88,1.1257086567872403e-108,1.0506172923911466e-107,1.3813270788917727e-104,1.0673816992836104e-41,3.794539727362303e-37,2.5672169066740998e-55,3.3096490085181594e-21,1.01011326516961e-21,8.235158183004334e-35,4.480263466825346e-50,3.37396007137852e-35
2.7629771340805908e-21,0.7460115415196847,1.0169147754837829e-25,6.606165492493375e-27,5.936263886108654e-40,1.4965397199741325e-39,0.0,0.0,9.179393140109336e-21,1.5122857568362187e-37,6.417276926936404e-52,5.460005027457063e-73,1.173859804862786e-54,8.449578841734825e-104,1.1326789008153119e-81,4.700653792380846e-81,3.4239231680313205e-82,1.6571751904262443e-36,8.099592504423087e-115,2.5813482389268833e-71,2.7971686482337804e-110,9.697037786988927e-130,1.9248512730208645e-84,2.280965899655885e-92,1.8477582996563827e-58,1.098550093842216e-116,7.291210950505771e-117,1.556163720370539e-133,5.492279235767537e-177,2.053468812092258e-142,2.742499710708531e-57,2.1991540894055743e-151,9.816902876235273e-127,2.2055904886712872e-150,3.76,0.0,0.8975829871296377,0.9999999999999943,5.698995850722442e-54,2.789839633469827e-116,7.146844075585568e-17,4.490867920588112e-17,1.3441299516155933e-17,1.3118462033818641e-17,5.647842305648639e-15,1.1750283095691734e-34,7.50082600899002e-54,2.9848391318384384e-33,1.8301896089826578e-41,6.932269957333692e-36,2.1845988191605353e-88,1.6828494267203347e-86,1.1739971254334356e-38,1.6824394794388562e-88,2.4440653377730163e-40,1.3131591238542423e-105,1.3256362168283814e-86,9.472774150280001e-90,1.7802067341479436e-88,8.109506213096e-87,9.010946027626401e-107,8.409863120755405e-106,1.1057091619044376e-102,4.661536309775342e-41,1.6571751904262443e-36,2.2708499489381385e-54,7.033004143100994e-21,2.146490688485237e-21,3.5965099354934203e-34,3.962742796426946e-49,1.4734970050380116e-34
5.688482334871805e-21,0.7460115415196847,2.093648070244552e-25,1.360092895515923e-26,2.4782733179017077e-39,6.247758744317042e-39,0.0,0.0,1.8898750582577974e-20,6.313495340744568e-37,5.394107927041263e-51,9.209096529934626e-72,9.866998963499005e-54,2.9258208942311653e-102,1.956421126206819e-80,7.937450170878543e-80,5.8146045461877385e-81,6.918380204467852e-36,5.769444896545676e-113,4.4586371467774105e-70,1.992459544259824e-108,1.3825251910952976e-127,3.324701901546356e-83,7.913730321297263e-91,1.5531521866561795e-57,7.906344810213216e-115,5.247537475091899e-115,2.2547857418103066e-131,3.2990771834841715e-174,2.994207616177628e-140,2.305236254862613e-56,6.545495940772415e-149,1.4374102999573487e-124,6.564670511947736e-148,3.76,0.0,0.8975829871296376,0.9999999999999883,4.79034945481196e-53,1.9533835735323712e-114,1.471409074385264e-16,9.245904542390336e-17,2.7673263709734104e-17,2.7008598304888944e-17,1.1627910629217372e-14,4.905511887667309e-34,6.304896219228858e-53,1.246111580858926e-32,7.640681343933695e-41,2.8940862451854545e-35,7.764406363503891e-87,5.981110436823606e-85,4.901206896905284e-38,5.979653420046266e-87,1.0203491670016404e-39,9.349051305671933e-104,4.71151874078084e-85,3.3667722992110757e-88,6.327133555953745e-87,2.8822455222967764e-85,6.415353264848659e-105,5.987411606205001e-104,7.872108944051431e-101,1.9460996490797636e-40,6.918380204467852e-36,1.908855860811908e-53,1.4479714412266364e-20,4.419245535115903e-21,1.5014721006286437e-33,3.3309242907695764e-48,6.151559937567616e-34
1.1539492736454233e-20,0.7460115415196849,4.247114669248078e-25,2.759045588057061e-26,1.0124555152796089e-38,2.5524133128231836e-38,0.0,0.0,3.833746546751503e-20,2.579268850974398e-36,4.4224155768787e-50,1.512596870365666e-70,8.089561889302877e-53,9.734390437564541e-101,3.2506229699072167e-79,1.3044653624877147e-78,9.582577601138707e-80,2.826384054734492e-35,3.892279916687531e-111,7.408092303936501e-69,1.3441865578777907e-106,1.8661466807529871e-125,5.524041948183607e-82,2.6356026085787425e-89,1.2733680001323462e-56,5.359177956886173e-113,3.5569517694807705e-113,3.066843943810003e-129,1.8265826911563457e-171,4.085100427660679e-138,1.889971958258074e-55,1.8046198738275848e-146,1.9655366423194866e-122,1.809909225021873e-145,3.76,0.0,0.8975829871296375,0.9999999999999764,3.927417926808921e-52,1.3069609192828151e-112,2.9848584080386785e-16,1.875597778600419e-16,5.613719209689447e-17,5.478887084693143e-17,2.358804727617201e-14,2.0040616690246664e-33,5.169134846311214e-52,5.090772403941677e-32,3.121467638270633e-40,1.1823286628717606e-34,2.6152659022136535e-85,2.0146027204478056e-83,2.002302939842797e-37,2.0141119571157715e-85,4.16845927896776e-39,6.303064803953909e-102,1.586969271489069e-83,1.1340216344178486e-86,2.1311528368098405e-85,9.708196716233127e-84,4.3251861655728227e-103,4.036670901456028e-102,5.307320624987454e-99,7.950452081749973e-40,2.826384054734492e-35,1.5650230793517376e-52,2.93731349505959e-20,8.964755228374891e-21,6.134003449349057e-33,2.730893058018303e-47,2.5131129549541083e-33
2.3241513539619086e-20,0.7460115415196847,8.554047905183072e-25,5.55695097317121e-26,4.092507077338603e-38,1.0317262758126469e-37,0.0,0.0,7.721489523738827e-20,1.0425817085247264e-35,3.5813867930493686e-49,2.451984709104107e-69,6.5511369541076644e-52,3.175850040001667e-99,5.299335881779206e-78,2.1151875551974366e-77,1.555958387940916e-78,1.1424696249345475e-34,2.5570690636860707e-109,1.2077060161395727e-67,8.830757147784981e-105,2.4524610411882593e-123,9.005582616208895e-81,8.603045882745552e-88,1.0312064208165182e-55,3.528723414986308e-111,2.3420567658809764e-111,4.0453601991711256e-127,9.721331725334356e-169,5.396684876466184e-136,1.530548292651355e-54,4.792844329475216e-144,2.5996101345658374e-120,4.806896174315012e-143,3.76,0.0,0.8975829871296371,0.9999999999999525,3.1805248752582805e-51,8.551352728567792e-111,6.0117570753455065e-16,3.777612427326952e-16,1.1306504887123127e-16,1.1034941593062395e-16,4.7508320569349955e-14,8.100737688099727e-33,4.186099417418037e-51,2.0577716000695844e-31,1.2617471273468983e-39,4.77916149345423e-34,8.583564556178235e-84,6.612127849366547e-82,8.093628623653538e-37,6.610517115274049e-84,1.6849578885136322e-38,4.139119564742536e-100,5.208592051229639e-82,3.721972553095586e-85,6.994657001626702e-84,3.1863273698109304e-82,2.8402790128032712e-101,2.6508157577779355e-100,3.4852306487333837e-97,3.213699863255516e-39,1.1424696249345475e-34,1.2674073221400676e-51,5.91599760272502e-20,1.805577461488348e-20,2.479462268502907e-32,2.211548032871672e-46,1.0158404376112215e-32
4.6645555145948797e-20,0.7460115415196849,1.716791452876483e-24,1.1152761743526977e-25,1.6455791018217375e-37,4.148526019824421e-37,0.0,0.0,1.5496975477713112e-19,4.1921751955684054e-35,2.882611664697708e-48,3.948845783590972e-68,5.272924956852584e-51,1.0261176367583874e-97,8.558441688146762e-77,3.4069202437735825e-76,2.507894567851883e-77,4.593820114365388e-34,1.657983725318114e-107,1.9504484420191582e-66,5.725794385924805e-103,3.1806383699019684e-121,1.4544040123941742e-79,2.7803557709170108e-86,8.30004640427516e-55,2.2905245262498706e-109,1.5202490623352045e-109,5.256082754596421e-125,5.074130059784906e-166,7.017129098773465e-134,1.2319184206532127e-53,1.2496352659035022e-141,3.3821639034103665e-118,1.253299526624813e-140,3.76,0.0,0.8975829871296366,0.9999999999999046,2.559963130218563e-50,5.5334634925468975e-109,1.2065554409959157e-15,7.581641724795066e-16,2.2692076241996913e-16,2.2147050609643906e-16,9.534886715278055e-14,3.257270996053421e-32,3.369336993563182e-50,8.274209099382534e-31,5.073429705280574e-39,1.9216798170322094e-33,2.7815551399067535e-82,2.142699351034162e-80,3.254412472589669e-36,2.1421773832690778e-82,6.775141562775113e-38,2.6831529025253417e-98,1.687875229009396e-80,1.2061273399654233e-83,2.2666601978509758e-82,1.0325483328549072e-80,1.8411893539011487e-99,1.718371234091472e-98,2.259274366257118e-95,1.2922145927283854e-38,4.593820114365388e-34,1.0201240913056042e-50,1.1873365818053957e-19,3.6237813387863096e-20,9.969808730928131e-32,1.780046269688902e-45,4.084649721346368e-32
9.345363835860822e-20,0.7460115415196851,3.439564838277543e-24,2.2344383284748427e-25,6.599508245854055e-37,1.6637445147996336e-36,0.0,0.0,3.104794738566025e-19,1.68124975304115e-34,2.313114320446284e-47,6.338772020264241e-67,4.2311902009045775e-50,3.2994183672447243e-96,1.375744532430375e-75,5.469242844961036e-75,4.027386137407341e-76,1.8423273296016996e-33,1.0680309676439516e-105,3.1352889055335555e-65,3.6884112141362714e-101,4.09798308179981e-119,2.3379120185987685e-78,8.941207484597624e-85,6.660264521140989e-54,1.4763032329148903e-107,9.798404595967085e-108,6.778155750952361e-123,2.6230343746336623e-163,9.052573056133982e-132,9.885369491186862e-53,3.2284178672009956e-139,4.36450325217044e-116,3.2378851356945636e-138,3.76,0.0,0.8975829871296354,0.9999999999998089,2.0542092052966436e-49,3.560940202976559e-107,2.4173149079186443e-15,1.518970031979149e-15,4.546321895177018e-16,4.437126864217899e-16,1.9102996030794043e-13,1.3063113544292154e-31,2.7036807439129057e-49,3.3183279215670125e-30,2.034672226405577e-38,7.706795558845964e-33,8.957050756223843e-81,6.89983332166018e-79,1.305164958736444e-35,6.898152503552767e-81,2.717134792447507e-37,1.7282102543976437e-96,5.435227178437092e-79,3.883922215798165e-82,7.299007001100955e-81,3.324970154977946e-79,1.1859042094311226e-97,1.1067974489282988e-96,1.4551914368736104e-93,5.182358570826091e-38,1.8423273296016996e-33,8.185871035013622e-50,2.378810224870416e-19,7.260189093367211e-20,3.9983392116883875e-31,1.4283750330228388e-44,1.6381272286816057e-31
