Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(964),S(1465),S(335),S(923),S(304),S(220),CF2O(49),S(879),CFO(51),CH2F(46),CFO3(3228),C2H3F2(66),C2H3F2(64),F(37),CF2CH(73)
0.0,0.8265028600576028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7694516777263671,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.312220855306221e-23,0.8265028600576028,3.423997459115695e-36,1.533638356358304e-26,6.367367052181744e-43,2.7422385989373575e-56,0.0,0.0,2.905756457234951e-39,8.673978158600397e-75,3.3094755864763965e-54,9.086384837734604e-76,8.891463978087705e-57,3.50315545315612e-111,4.3215049919442506e-94,2.2168637634039765e-77,5.950496896076379e-95,4.3237658876077064e-38,7.732335385793778e-117,5.389046051431772e-60,7.103140899357898e-111,8.132516929241706e-131,6.363587713076009e-93,-3.1371790378170223e-130,1.6811749486369617e-79,5.955936521690825e-120,2.7428998982695254e-120,3.046559363381092e-132,1.123727164576933e-221,-1.1002454969236847e-164,2.8269094277187065e-78,-3.000533997627423e-175,5.41496124954087e-136,-1.1464992494864144e-174,3.76,0.0,0.7694516777263671,0.9999999999999996,3.6030121948199625e-75,-2.690172113713119e-154,1.8508286234720896e-17,1.135907212507763e-17,3.1067628441009143e-18,4.042451265542351e-18,4.207165571182345e-16,2.7092838490572947e-35,1.2180421501441586e-54,1.9764249417957474e-34,3.2048137613488767e-43,2.083256152994289e-37,7.192586130731939e-91,9.445481975971882e-89,1.1777443868205139e-39,8.98897189991481e-91,6.128237641975648e-41,1.8256716879949966e-109,8.58690156765786e-89,4.5602098801597654e-92,1.2091991161368893e-110,9.990073022117436e-110,1.4287346268397084e-106,8.044476805041541e-91,5.719478685488214e-89,6.792385689739695e-43,4.3237658876077064e-38,6.367367046955605e-43,3.802169290658715e-54,3.801859180478177e-54,1.0152441724769689e-73,1.4036211405042516e-24,4.6358479585796006e-23,4.776210072630203e-23,1.65683330210924e-36
2.607421839485742e-22,0.8265028600576028,2.068094465305764e-35,4.294187397803651e-26,3.845889702566029e-42,3.255585664659824e-55,0.0,0.0,1.755076900169863e-38,2.7272375167144364e-73,3.929009416265229e-53,2.032587942662101e-74,1.0555946034788112e-55,2.131140435534424e-109,2.0644354496191978e-92,4.9590960314262793e-76,2.8426237770172418e-93,2.611554596115704e-37,5.9666163941696815e-115,6.397875472260175e-59,5.481101738656996e-109,1.1377070995002765e-128,2.6261190204496774e-91,5.452268590935189e-128,5.285883026520613e-78,4.595867446097795e-118,2.1165444434234544e-118,3.963507804014519e-130,1.2566951916346515e-202,4.355217276398427e-154,8.888255546271693e-77,1.323523805031134e-164,7.5753176552444525e-134,5.057163325701557e-164,3.76,0.0,0.7694516777263671,0.9999999999999988,1.1328446831158501e-73,1.0648790746137876e-143,5.182320145721851e-17,3.1805401950218296e-17,8.698935963482646e-18,1.1318863543517562e-17,1.1780063599307406e-15,1.6364074448306454e-34,1.4460596406511742e-53,1.1937606648442415e-33,1.9357075118544363e-42,1.2582867164087067e-36,3.4359847056857636e-89,4.512220085705555e-87,7.113576096397336e-39,4.294139744254498e-89,3.701455535753948e-40,1.5881182090280988e-107,4.1020659216891625e-87,2.1784669822716396e-90,1.0518600618639303e-108,8.690180704598023e-108,1.2428299631608638e-104,3.842943103491958e-89,2.7322636018019575e-87,4.1026009575335626e-42,2.611554596115704e-37,3.845889696361558e-42,4.513992732174099e-53,4.513624569367763e-53,2.271088168383673e-72,3.930139193412203e-24,1.298037428402228e-22,1.3373388203364568e-22,1.0007273144739066e-35
5.959821347395982e-22,0.8265028600576027,9.956984611106707e-35,9.815285480695943e-26,1.851630343346835e-41,3.196353310925587e-54,0.0,0.0,8.449939777638531e-38,6.084316874663441e-72,3.857524743598265e-52,4.016051254338407e-73,1.0363890412866298e-54,9.620987217415366e-108,1.074947046755752e-90,9.798396357675779e-75,1.480148305712898e-91,1.2573511201172767e-36,6.502710423449456e-113,6.281472077550032e-58,5.973572793922723e-107,2.4735083451709632e-126,1.0389973627363825e-89,1.417614213491953e-125,1.179251425621069e-76,5.0088011588757654e-116,2.3067136694803815e-116,8.781091099864511e-128,6.630151002024642e-199,2.561349295562799e-151,1.982920918151005e-75,1.5869277412800608e-161,1.646962686871684e-131,6.063625560203177e-161,3.76,0.0,0.769451677726367,0.9999999999999972,2.52731417444119e-72,6.262666348247399e-141,1.1845303190221373e-16,7.269806160050337e-17,1.9883282202246448e-17,2.5871688099463904e-17,2.6925859655544893e-15,7.878597433059205e-34,1.419749930208122e-52,5.747443730736187e-33,9.319598417998211e-42,6.0581088929097e-36,1.7891101127150896e-87,2.3495036438216705e-85,3.4248806768761663e-38,2.2359496621583473e-87,1.7820915062874785e-39,1.650728430691253e-105,2.1359372209564963e-85,1.1343232412378718e-88,1.0933287581218463e-106,9.032783753360132e-106,1.2918274868013845e-102,2.0010125067407188e-87,1.4226839928866322e-85,1.9752257599458565e-41,1.2573511201172767e-36,1.8516303372552485e-41,4.4318899626247566e-52,4.431528498198323e-52,4.48731408628622e-71,8.983175299229303e-24,2.966942693490522e-22,3.05677444648333e-22,4.818071242532555e-35
1.2664620363216461e-21,0.8265028600576027,4.348476773075144e-34,2.085748164648692e-25,8.086556203518778e-41,2.827138305969182e-53,0.0,0.0,3.6903107006876568e-37,1.139525214184969e-70,3.4119369506365777e-51,7.146348630303308e-72,9.16674370286443e-54,3.6327021518513388e-106,4.289831182986698e-89,1.7435770087001496e-73,5.906883332847615e-90,5.491182677271576e-36,5.319620894298509e-111,5.55589091718653e-57,4.886753445670958e-105,4.053087599834708e-124,3.70833664990076e-88,2.483523650154504e-123,2.2086074099274708e-75,4.097510345357648e-114,1.8870350059172772e-114,1.4514176323699757e-125,2.729186422173985e-195,9.591333996785203e-149,3.7137914255989995e-74,1.2505433404958704e-158,2.69871094264237e-129,4.7783061360272395e-158,3.76,0.0,0.7694516777263669,0.9999999999999942,4.7333797609067866e-71,2.3451438177714023e-138,2.5171269279220415e-16,1.544833809010884e-16,4.225197467977542e-17,5.497733721134025e-17,5.721745176796933e-15,3.4407904883033746e-33,1.2557527351128117e-51,2.510059676074557e-32,4.070113476908588e-41,2.6457353143051143e-35,7.139868801478552e-86,9.376252275491761e-84,1.4957353712642185e-37,8.923088143692592e-86,7.782861805318873e-39,1.3213565255581587e-103,8.523964745050458e-84,4.526786285172794e-87,8.751755057127224e-105,7.230461131307884e-104,1.0340675351851095e-100,7.985515629649377e-86,5.677558347562493e-84,8.626329839997196e-41,5.491182677271576e-36,8.086556149639386e-41,3.919966462835883e-51,3.919646751644159e-51,7.984957227341525e-70,1.9089247510868282e-23,6.304753223666143e-22,6.495645698777075e-22,2.104178293677583e-34
2.6074218394857417e-21,0.8265028600576028,1.8154034528215295e-33,4.294187397809442e-25,3.3759780535899256e-40,2.376380094037276e-52,0.0,0.0,1.5406320736253135e-36,1.968246427596907e-69,2.867938591636253e-50,1.2053361497292429e-70,7.705200420014486e-53,1.2603534370304303e-104,1.5246731472358854e-87,2.940801255418013e-72,2.0993988519998688e-88,2.2924606736183799e-35,3.8285698118801213e-109,4.670061083438358e-56,3.5170319459427824e-103,5.839000004295969e-122,1.2530010620759006e-86,3.690294512977594e-121,3.814820058855553e-74,2.949007954607131e-112,1.3581127987587639e-112,2.100330647230059e-123,7.672108232042853e-192,2.936177899550948e-146,6.414651133060587e-73,7.855616711516784e-156,3.887844220067071e-127,3.00161860204586e-155,3.76,0.0,0.7694516777263667,0.9999999999999881,8.175736481985917e-70,7.179146770727011e-136,5.182320145721848e-16,3.1805401950231823e-16,8.698935963483886e-17,1.1318863543502765e-16,1.1780063599261602e-14,1.4364622967707264e-32,1.0555358386408696e-50,1.0479005041346674e-31,1.6991922562631297e-40,1.1045424123196951e-34,2.5376211993882976e-84,3.3324669131289414e-82,6.244400738941783e-37,3.1714052830742855e-84,3.249191597784258e-38,9.407412800258556e-102,3.029550575960353e-82,1.6088907459987727e-85,6.230821958846826e-103,5.147735019487145e-102,7.362055568425844e-99,2.838177326964161e-84,2.0178931607955854e-82,3.6013229052717355e-40,2.2924606736183799e-35,3.3759780083010508e-40,3.2949719648200324e-50,3.294703228299347e-50,1.3467814722566618e-68,3.930139193416535e-23,1.2980374284013523e-21,1.3373388203364563e-21,8.784530167772827e-34
5.2893414458139335e-21,0.826502860057603,7.41651545632931e-33,8.711065864141166e-25,1.3791972089737201e-39,1.9482999759434275e-51,0.0,0.0,6.293984716623627e-36,3.2702708770664666e-68,2.351309330979339e-49,1.979768245331813e-69,6.317188832953043e-52,4.197505191462865e-103,5.135519000529538e-86,4.8302779164150485e-71,7.071353526919787e-87,9.365449863267936e-35,2.5951293095578284e-107,3.828798229412949e-55,2.3839587735521932e-101,7.919172368408003e-120,4.1196551595347373e-85,5.080374642799574e-119,6.338380583510656e-73,1.998933616398835e-110,9.205730774864769e-111,2.854977911068352e-121,1.8284803127703224e-188,8.198836426540759e-144,1.0658038796937642e-71,4.443368694380056e-153,5.272907773676507e-125,1.6978040831932558e-152,3.76,0.0,0.7694516777263661,0.999999999999976,1.358410862088697e-68,2.004669065322722e-133,1.0512706581321459e-15,6.451952967050166e-16,1.7646412954498763e-16,2.2961123188214114e-16,2.389670044411007e-14,5.868417188416705e-32,8.653920533073341e-50,4.2810154808812215e-31,6.941754799597842e-40,4.512416157649694e-34,8.547407084006613e-83,1.1224666355696575e-80,2.5510414516451166e-36,1.0682166427909459e-82,1.327400786209897e-37,6.342411714176199e-100,1.0204360706150946e-80,5.419187135980903e-84,4.2007764536109074e-101,3.470566837268074e-100,4.963446217278991e-97,9.559762897643259e-83,6.796819912039396e-81,1.4712579205624443e-39,9.365449863267936e-35,1.3791971718431642e-39,2.7014186652785626e-49,2.701198338842535e-49,2.212093990988813e-67,7.972568078083594e-23,2.6331616404692824e-21,2.7128873212539525e-21,3.5887672056919246e-33
1.0653180658470316e-20,0.8265028600576031,2.997874127322602e-32,1.754482279684551e-24,5.5749357839568813e-39,1.5777838336293354e-50,0.0,0.0,2.544129254614568e-35,5.331366903366761e-67,1.904151258045585e-48,3.2092896397000077e-68,5.115823301144973e-51,1.3701369286613462e-101,1.6855287467928635e-84,7.830091070503364e-70,2.3208890324625696e-85,3.7856645754240763e-34,1.7087497032795923e-105,3.1006600744825464e-54,1.5697055054132233e-99,1.04309759062181e-117,1.336210261394047e-83,6.741165814668294e-117,1.0333160076635977e-71,1.3161876528471585e-108,6.061466514920894e-109,3.7647310320750004e-119,4.033473593762013e-185,2.1907733160912582e-141,1.7375293189547067e-70,2.3896731363288006e-150,6.945368957555861e-123,9.130902896925424e-150,3.76,0.0,0.769451677726365,0.9999999999999518,2.214552608307095e-67,5.356583870437006e-131,2.1173479452520667e-15,1.2994778511113687e-15,3.554136693653727e-16,4.624564247753231e-16,4.812997413348353e-14,2.372108055478235e-31,7.008169215729031e-49,1.7304549049015125e-30,2.8059682790932757e-39,1.8239907582565925e-33,2.8053445896441585e-81,3.6840478897920644e-79,1.031171742405414e-35,3.5059939815434394e-81,5.365566211017311e-37,4.1649580371265126e-98,3.349173359360731e-79,1.7786314800173815e-82,2.7585811897895813e-99,2.279064477942099e-98,3.2594139495048216e-95,3.1376099043440146e-81,2.2307843512449833e-79,5.947059793165808e-39,3.7856645754240763e-34,5.574935483264015e-39,2.187679502330651e-48,2.1875010762704174e-48,3.5859007870650337e-66,1.6057425847448296e-22,5.303410064598961e-21,5.46398432308894e-21,1.4506370839879246e-32
2.138085908378308e-20,0.8265028600576034,1.2054320014624106e-31,3.521233666241778e-24,2.2416572804019924e-38,1.2699376934321285e-49,0.0,0.0,1.0229831837916794e-34,8.610171789729944e-66,1.5326265899024642e-47,5.168462027887986e-67,4.1176596593923917e-50,4.428054350593976e-100,5.462056123014591e-83,1.2610122213814582e-68,7.520978929818998e-84,1.5221990758452352e-33,1.109164080509077e-103,2.495680979283622e-53,1.0189092584752174e-97,1.354317292106465e-115,4.304795403306595e-82,8.7844564434998e-115,1.668808112779945e-70,8.543486537933038e-107,3.934549717030878e-107,4.890712189844175e-117,8.56999304075365e-182,5.728975689698807e-139,2.8061144914302506e-69,1.2537739385549292e-147,9.017596592611403e-121,4.790650199657726e-147,3.76,0.0,0.7694516777263629,0.9999999999999033,3.5765085648158604e-66,1.400771980733556e-128,4.249502519491902e-15,2.6080429599278937e-15,7.133127490064931e-16,9.281468105575066e-16,9.659652151093654e-14,9.53814216199114e-31,5.640784281768913e-48,6.958083064282426e-30,1.1282675039150301e-38,7.334186616982097e-33,9.090885973143157e-80,1.1938376272311303e-77,4.146296223686436e-35,1.1361381994439532e-79,2.1574705748573897e-36,2.699902496503929e-96,1.0853195441927208e-77,5.763761083986394e-81,1.7882293590287325e-97,1.4773862830880318e-96,2.1128904015648042e-93,1.0167611484880286e-79,7.228989351988389e-78,2.3912866223778637e-38,1.5221990758452352e-33,2.2416570383782137e-38,1.7608350382289526e-47,1.7606914254129765e-47,5.7749835516444735e-65,3.2227141386300036e-22,1.0643906912833588e-20,1.0966178326758902e-20,5.832947913349129e-32
4.2836215934408615e-20,0.826502860057604,4.834321468467347e-31,7.05473643942166e-24,8.990049271718794e-38,1.0190450211546385e-48,0.0,0.0,4.1026201074013695e-34,1.384059968222555e-64,1.2298363169645919e-46,8.296526196559231e-66,3.3041625556152368e-49,1.4240014197905277e-98,1.7588690996775716e-81,2.0242040420364213e-67,2.4218750524612075e-82,6.1046991145157556e-33,7.148854468923872e-102,2.0026268133932116e-52,6.5671378509578026e-96,1.7458832456710506e-113,1.382182099591639e-80,1.1344850132732339e-112,2.682560302767696e-69,5.506501521878566e-105,2.5359206582490994e-105,6.3064957755522065e-115,1.7875468720054577e-178,1.4822490890739566e-136,4.510747089707996e-68,6.497973407956312e-145,1.1624802326118577e-118,2.482865263592107e-144,3.76,0.0,0.7694516777263587,0.9999999999998064,5.749133663285595e-65,3.624195850796797e-126,8.513811667971551e-15,5.225173177576227e-15,1.4291109082901358e-15,1.8595275821051535e-15,1.9352961626066693e-13,3.825221610805848e-30,4.526374141946647e-47,2.7905025165243346e-29,4.524857320581527e-38,2.941336862972023e-32,2.9274101350014562e-78,3.8443473822149904e-76,1.6628502333736209e-34,3.658546031367173e-78,8.652421957676504e-36,1.7389986146188612e-94,3.4949018638978594e-76,1.856022907182998e-79,1.1517928451085436e-95,9.515798081125784e-95,1.360905990513018e-91,3.2741329060525167e-78,2.327849755898622e-76,9.590129170882726e-38,6.104699114515757e-33,8.990047329630391e-38,1.4129593249892973e-46,1.4128440847489223e-46,9.270128271050759e-64,6.456657246449286e-22,2.132490060920393e-20,2.1970566334098765e-20,2.3392729982010742e-31
