Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43)
0.0,0.7005931651503076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5579142721677358,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.131266572381048e-22,0.7005931651503076,4.793243959909382e-27,4.933383672266186e-28,3.304095184332749e-42,5.220871894447865e-42,0.0,0.0,4.619221665877857e-22,5.6143767925624395e-40,4.6011760650106536e-55,1.1092282607033412e-67,8.920809207631834e-58,2.719315265051983e-84,2.627113184574385e-61,1.361221828870147e-52,1.9089727758941676e-86,9.28488471115095e-39,6.145577431013752e-110,9.078240641490483e-76,-2.1345775099244995e-116,2.031147634638132e-118,6.378543562316013e-39,8.1368693662579e-98,8.653008618138636e-62,8.429713605099307e-113,6.441401843728692e-123,5.885224824712168e-108,2.222491754104805e-184,-1.0850383725761497e-147,1.2880114070971175e-60,-9.116518201724659e-153,1.0130301184731353e-133,2.0827358579076905e-158,3.76,0.0,0.5579142721677358,0.9999999999999996,2.70544543260449e-57,2.462125146002863e-98,3.368384079680219e-18,2.1169135261646972e-18,6.340543384569557e-19,6.17416215058566e-19,4.3299352124202567e-16,6.085301699211647e-37,4.923113665236179e-57,1.560571465528731e-35,1.0281932188680213e-43,3.8797742792349667e-38,1.0640456236053735e-93,8.163595780791447e-92,6.510512778827148e-41,8.165051929182858e-94,1.3459579039059476e-42,9.81609129849126e-112,6.424789803970427e-92,4.599620040571835e-95,8.648986402302724e-94,3.929428716582203e-92,6.738862187271076e-113,6.294821905323993e-112,8.271224291361399e-109,2.622488019007102e-43,9.28488471115095e-39,1.618140898425895e-57,3.539156436760084e-22,1.080113161557336e-22,2.053343146437441e-36,1.923709105026773e-52,8.241523413437922e-37,6.918897084835257e-38,1.056670766110292e-37,9.982760796794492e-39,1.2333682150332894e-37,1.2104379096545102e-52,6.378543562316149e-39
5.967546402666933e-22,0.7005931651503076,1.342108309080534e-26,1.3813474282347515e-27,1.9956734914645722e-41,3.1534066248462685e-41,0.0,0.0,1.2933820664457993e-21,3.3910835827077125e-39,5.462516224382895e-54,2.481299250062628e-66,1.0590784691781902e-56,6.082999475309801e-83,3.1189087727262815e-60,1.6160425552344228e-51,4.6074072986385e-85,5.60807036553796e-38,4.742202867769284e-108,2.8543441095350018e-74,1.1116242936298022e-114,2.164345422268473e-116,3.852640311638321e-38,4.950054714734742e-96,1.0272851831458712e-60,6.504744668896229e-111,4.970474753685901e-121,4.541303132826342e-106,4.403579017419249e-181,4.264173732197494e-145,1.5291271425063834e-59,3.536380620912824e-150,1.0794723032896246e-131,5.728182110825072e-156,3.76,0.0,0.5579142721677358,0.9999999999999988,3.2119051739445515e-56,1.1761867278897626e-96,9.431475423104614e-18,5.9273578732613984e-18,1.7753521476794867e-18,1.7287654021637282e-18,1.2123818594768908e-15,3.67552222632396e-36,5.844720543368563e-56,9.42585165178627e-35,6.210287041960495e-43,2.3433836646585017e-37,5.0830736294420094e-92,3.899847667633498e-90,3.932349718413335e-40,3.900543287199121e-92,8.129585739595809e-42,8.53883720447977e-110,3.0691991868344326e-90,2.1972936888232343e-93,4.131724592221639e-92,1.8771352510559876e-90,5.862012221643666e-111,5.475749750719377e-110,7.194985820472502e-107,1.5839827637144355e-42,5.60807036553796e-38,1.9215479669523259e-56,9.909638022928206e-22,3.024316852360476e-22,1.2402192604481967e-35,2.2838287496561213e-51,4.9778801417164536e-36,4.1790138392406e-37,6.382291427306201e-37,6.029587521263145e-38,7.449544018800146e-37,1.4370548595003807e-51,3.8526403116384827e-38
1.3640106063238707e-21,0.7005931651503076,3.0676761364833505e-26,3.1573655502518927e-27,9.608308797953507e-41,1.5182295478050747e-40,0.0,0.0,2.956301866161824e-21,1.6326607712771554e-38,5.363130821383327e-53,4.902629183437225e-65,1.039809521390769e-55,1.2018981890126034e-81,3.062163127938575e-59,1.5866401637303754e-50,9.401901857924406e-84,2.700044474006794e-37,5.168284659703187e-106,6.36788469112324e-73,1.1711878273198106e-112,4.9255437861862226e-114,1.85488046792067e-37,2.234691315790966e-94,1.0085946845316145e-59,7.089188932956437e-109,5.417067775706154e-119,4.949334301148656e-104,1.0048382014191668e-177,2.1287305178682298e-142,1.5013060961144848e-58,1.7699620707953218e-147,2.4566220884943384e-129,2.755153759279023e-153,3.76,0.0,0.5579142721677358,0.9999999999999972,3.153467702613595e-55,6.124379909362894e-95,2.1557658109953405e-17,1.3548246567455785e-17,4.0579477661245896e-18,3.9514637763730265e-18,2.7711585359434947e-15,1.7696057341309348e-35,5.73838128819982e-55,4.538141821746652e-34,2.98998588046465e-42,1.1282383604023881e-36,2.646745900547628e-90,2.0306425953116215e-88,1.893257116085497e-39,2.0310048029833295e-90,3.914045584564196e-41,8.87547366332811e-108,1.5981256534730422e-88,1.1441262683084223e-91,2.151380429219258e-90,9.774204335187589e-89,6.093117112011145e-109,5.691626568777181e-108,7.478642071359931e-105,7.626195162717612e-42,2.700044474006794e-37,1.8868023823309425e-55,2.2650601195264334e-21,6.912724233966493e-22,5.971121869839809e-35,2.2422771790581925e-50,2.396635008627671e-35,2.0120152722702514e-36,3.072798587848781e-36,2.9029868397067465e-37,3.5866347693154214e-36,1.4109190493781562e-50,1.854880467920829e-37
2.8985225384382253e-21,0.7005931651503076,6.518811796183488e-26,6.709401794289679e-27,4.196200886080257e-40,6.630507315245022e-40,0.0,0.0,6.282141465593863e-21,7.130258526554276e-38,4.7436284759978305e-52,8.723966685449401e-64,9.196997463833094e-55,2.138713610172716e-80,2.7084486087660187e-58,1.403365256690563e-49,1.697526816260287e-82,1.1791803583203684e-36,4.227977751393389e-104,1.1926343279024453e-71,9.425034634793542e-111,8.323951247736115e-112,8.100750324132797e-37,8.43776920715642e-93,8.920905764984822e-59,5.799396716385047e-107,4.4314998411790814e-117,4.048862763427701e-102,1.4847074688887108e-174,7.399124693450734e-140,1.3278882402651827e-57,6.1591446660539336e-145,4.151577994174197e-127,9.617878370316796e-151,3.76,0.0,0.5579142721677358,0.9999999999999941,2.7892065338266157e-54,2.444079252750101e-93,4.581002348365098e-17,2.87900239558485e-17,8.623139003014964e-18,8.396860524787514e-18,5.888711888864201e-15,7.728333158000728e-35,5.0755332643130034e-54,1.981925761210227e-33,1.3058053879587007e-41,4.927313334637225e-36,1.0562468093211397e-88,8.10376153493901e-87,8.268351229136744e-39,8.105207010722574e-89,1.7093665379663828e-40,7.104539319983744e-106,6.3776999598632e-87,4.565907592831435e-90,8.58559453528122e-89,3.9006283680354093e-87,4.877349845832931e-107,4.555969212055574e-106,5.986419279887824e-103,3.330559787667438e-41,1.1791803583203684e-36,1.668940802693024e-54,4.8132527539936146e-21,1.4689538997177478e-21,2.6077457959752703e-34,1.9832689981589672e-49,1.0466734735065372e-34,8.786999297742416e-36,1.341971872960124e-35,1.2678106211917722e-36,1.566377633090847e-35,1.2479459189532993e-49,8.1007503241342e-37
5.9675464026669346e-21,0.7005931651503076,1.3421083135161768e-25,1.3813474282379265e-26,1.7518312685131216e-39,2.7681062868028657e-39,0.0,0.0,1.2933820664457907e-20,2.9767425754165846e-37,3.9873055591473485e-51,1.4714244936771053e-62,7.7306305320703e-54,3.607253104504654e-79,2.2766142519361484e-57,1.179613057347061e-48,2.8834766487202125e-81,4.9228458738898566e-36,3.0429062942779547e-102,2.0599792142413362e-70,6.819530349114628e-109,1.2188098203240238e-109,3.381903796732263e-36,2.927454111825434e-91,7.49855882039273e-58,4.173867936390544e-105,3.1893855773679365e-115,2.913995936577299e-100,1.8119027086783526e-171,2.1926375992351537e-137,1.1161700772156843e-56,1.8261766881942236e-142,6.078821121525423e-125,2.86330873632864e-148,3.76,0.0,0.5579142721677358,0.9999999999999879,2.344496179852743e-53,8.686640477379353e-92,9.431475423104614e-17,5.927357873264968e-17,1.7753521476796382e-17,1.728765402160006e-17,1.2123818594655603e-14,3.226426960923758e-34,4.266291532477046e-53,8.274149910131977e-33,5.451480446405018e-41,2.057056322858286e-35,3.754066593736404e-87,2.88020377370392e-85,3.4518738753577016e-38,2.8807175184716363e-87,7.1362688065615386e-40,5.058084842813804e-104,2.266734455691423e-85,1.6227950714788893e-88,3.0514547687079394e-87,1.386344415120925e-85,3.472434765599958e-105,3.243627458151293e-104,4.262038009606191e-101,1.3904431508396968e-40,4.9228458738898566e-36,1.4028791906955206e-53,9.90963802292779e-21,3.024316852359527e-21,1.0886825362408794e-33,1.6670571835841544e-48,4.369655713804075e-34,3.6683992343811285e-35,5.602468401917246e-35,5.292859774450283e-36,6.539318276093628e-35,1.0489753243828223e-48,3.381903796733443e-36
1.2105594131124353e-20,0.7005931651503076,2.7225625891430364e-25,2.8021619258614507e-26,7.156802348141909e-39,1.1308617429087123e-38,0.0,0.0,2.6237179062185832e-20,1.2160964707761769e-36,3.269034000266972e-50,2.416819149270311e-61,6.338037980217494e-53,5.924924056036644e-78,1.8665059109723812e-56,9.671180536299286e-48,4.7538918117334705e-80,2.011143168005929e-35,2.0625809685182494e-100,3.4226862740604286e-69,4.743648721800083e-107,1.6666193348583674e-107,1.381618049765389e-35,9.749644453848206e-90,6.147771564844867e-57,2.829183595919903e-103,2.1618734049503127e-113,1.9752013305250035e-98,2.021756411595251e-168,6.02988378495768e-135,9.151036654639245e-56,5.023425651009489e-140,8.312271277766788e-123,7.897089168065568e-146,3.76,0.0,0.5579142721677357,0.9999999999999755,1.922159628641126e-52,2.925899759093341e-90,1.9132421572583642e-16,1.2024068828631504e-16,3.60142864243619e-17,3.5069241015159434e-17,2.459403200603837e-14,1.3181006892575144e-33,3.497763556804004e-52,3.3802602171080376e-32,2.2271076397687296e-40,8.403746279860931e-35,1.2644730192630417e-85,9.701319544652286e-84,1.4102031099649747e-37,9.703049978753429e-86,2.9153986582205308e-39,3.410125317080733e-102,7.634985926452539e-84,5.466020733614952e-87,1.0278140060147495e-85,4.669589802231927e-84,2.3410911588175267e-103,2.186830877288557e-102,2.87343612666492e-99,5.680413975407281e-40,2.011143168005929e-35,1.1501786030546474e-52,2.0102408560795408e-20,6.1350427576414124e-21,4.447623388907222e-33,1.3667542341539386e-47,1.7851469374437065e-33,1.4986607841649047e-34,2.2887911462259398e-34,2.1623059196202738e-35,2.6715248884798056e-34,8.600139781304217e-48,1.3816180497663563e-35
2.4381689588039187e-20,0.7005931651503078,5.483471171721566e-25,5.643790921130921e-26,2.892893942848293e-38,4.5711240037094003e-38,0.0,0.0,5.284389585764105e-20,4.915656371974307e-36,2.6473484888833747e-49,3.9177679887566606e-60,5.132707489213896e-52,9.604557217096336e-77,1.511544879131891e-55,7.831972740546823e-47,7.724821064620813e-79,8.129362239340006e-35,1.3580959274926798e-98,5.5798424681411305e-68,3.304187496265356e-105,2.2042636155944237e-105,5.58472105884512e-35,3.1824463332995923e-88,4.978624805026213e-56,1.862861521207181e-101,1.4234798053475548e-111,1.3005612501545828e-96,2.1601392368647777e-165,1.599328960934978e-132,7.41074673968522e-55,1.3325567370262342e-137,1.0993772915355658e-120,2.0987591785450305e-143,3.76,0.0,0.5579142721677355,0.9999999999999505,1.5566147099716442e-51,9.603096031482546e-89,3.853431387154169e-16,2.4217490739389787e-16,7.253581631950363e-17,7.06324150020153e-17,4.953445882800374e-14,5.327973732153489e-33,2.832579613946946e-51,1.366355225430159e-31,9.002325163702861e-40,3.396928610690538e-34,4.150127060203668e-84,3.184070213235055e-82,5.700266442640084e-37,3.184638159186984e-84,1.1784507508852698e-38,2.239373520212546e-100,2.505878829680128e-82,1.7940027357268545e-85,3.373388482224801e-84,1.5326061293920682e-82,1.537356273442444e-101,1.4360560696247373e-100,1.8869385069170908e-97,2.2961141620200404e-39,8.129362239340006e-35,9.314498321797758e-52,4.0487949636527706e-20,1.2356494568198484e-20,1.7978004851752536e-32,1.1068330285547836e-46,7.215849341583799e-33,6.057826504843607e-34,9.251659759266646e-34,8.740386250041079e-35,1.0798730739269997e-33,6.964618684843072e-47,5.584721058852952e-35
4.8933880501868855e-20,0.7005931651503078,1.100528846217788e-24,1.132704891175956e-25,1.1632199360797152e-37,1.838028881190874e-37,0.0,0.0,1.0605732944854895e-19,1.9765638073286535e-35,2.1308163780265556e-48,6.309444567777678e-59,4.1312495358219565e-51,1.546784330597324e-75,1.2166228201462146e-54,6.303853027762834e-46,1.2469162931215854e-77,3.268780802311304e-34,8.815516730187684e-97,9.011460490598515e-67,2.385946533730906e-103,2.8678073959524204e-103,2.2455917752441737e-34,1.0285116630845176e-86,4.007230373772214e-55,1.20919933425147e-99,9.239997603363762e-110,8.442054222570688e-95,2.259230203811557e-162,4.1670849560395e-130,5.964813696673018e-54,3.472230373888422e-135,1.4303198972625377e-118,5.479192404568083e-141,3.76,0.0,0.5579142721677351,0.9999999999999006,1.2528989481055718e-50,3.11194041214535e-87,7.733809846945778e-16,4.860433456100717e-16,1.455788761098299e-16,1.4175876297467551e-16,9.941531246873383e-14,2.1423548044240959e-32,2.2799065021661225e-50,5.494054266679951e-31,3.6197953545656365e-39,1.3658900541463155e-33,1.3448733541939117e-82,1.0318168878419479e-80,2.292052065969794e-36,1.0320009342044679e-82,4.7384986393107e-38,1.4516569204192647e-98,8.120449368881154e-81,5.813572552378082e-84,1.0931665988481428e-82,4.96650130435643e-81,9.96579558225396e-100,9.309124684906658e-99,1.2231935929239741e-95,9.232574148418855e-39,3.268780802311304e-34,7.49714007891117e-51,8.12590317879805e-20,2.4799398189285857e-20,7.228876680744634e-32,8.90875519365788e-46,2.9014612837904616e-32,2.4358253943129195e-33,3.720051698924609e-33,3.514470869497306e-34,4.342122135680564e-33,5.6057320307704244e-46,2.2455917752504775e-34
9.80382623295282e-20,0.700593165150308,2.20489235442875e-24,2.2693564893375615e-25,4.665032247179562e-37,7.37131808324801e-37,0.0,0.0,2.1248419663035466e-19,7.926904907157154e-35,1.7098459493342865e-47,1.012805586229143e-57,3.3150675964215757e-50,2.4829314116134956e-74,9.7626319291979e-54,5.0584450518892923e-45,2.008257206272196e-76,1.3109273016071143e-33,5.6818321273489516e-95,1.4485659548932964e-65,1.8507253920216854e-101,3.700753524755416e-101,9.005827384022783e-34,3.3075393718410256e-85,3.215550008587763e-54,7.793607388297734e-98,5.9555095460001466e-108,5.441125729834031e-93,2.337965022248634e-159,1.0761919340840504e-127,4.786387341022073e-53,8.967677961223221e-133,1.845752001183762e-116,1.419198625020748e-138,3.76,0.0,0.5579142721677344,0.9999999999998008,1.0053725105537714e-49,1.0020944198580068e-85,1.5494566766528982e-15,9.737802220464523e-16,2.916649956906537e-16,2.840114589157898e-16,1.9917701973739148e-13,8.591800957385978e-32,1.8294813844995304e-49,2.203361488290011e-30,1.4516998364090052e-38,5.477830026564772e-33,4.330706489132555e-81,3.322614785480057e-79,9.192153930417083e-36,3.323207444732279e-81,1.9003498890138553e-37,9.350076074227809e-97,2.6149140856093074e-79,1.8720629937873038e-82,3.5201706307761987e-81,1.599292554760261e-79,6.418937251778033e-98,5.995977614505039e-97,7.87855104566258e-94,3.7026752424393266e-38,1.3109273016071143e-33,6.015991348785049e-50,1.6280119609083897e-19,4.968520543135346e-20,2.8991028683846776e-31,7.148715011830487e-45,1.1636157458260195e-31,9.76874928076347e-33,1.4919071146486832e-32,1.4094600071967138e-33,1.741385182537622e-32,4.498247319717318e-45,9.005827384073368e-34
