Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46)
0.0,0.45450778342091464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.658680183040346,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2109750989027445e-20,0.45450778342091464,6.036826570181072e-31,2.5756148571271134e-35,7.700459945674107e-46,5.596997551119089e-45,0.0,0.0,4.6312958689634265e-24,6.69048347069061e-42,2.8325335866689676e-59,2.8422972572480433e-71,3.0588483008454417e-62,3.980627663297097e-101,9.128973846958951e-74,4.773781848521789e-58,1.626453128967118e-97,8.527248984520257e-42,2.714294101896466e-121,4.915267271538508e-90,5.050090811210088e-129,2.511615773060245e-128,2.675296182910719e-46,1.5577334313139737e-104,3.6809730050830846e-69,2.5876767092496513e-126,3.1085830591804294e-135,1.6046237776390868e-115,1.8271042281356039e-193,-2.0274699311250197e-156,3.111180688628468e-67,-8.97934221890918e-167,2.1551943964608494e-143,-2.8429136783798526e-171,3.76,0.0,0.658680183040346,0.9999999999999996,1.5796647497103599e-59,9.457488796158193e-107,1.8420242356496904e-21,1.1443484880712646e-21,5.888282799455759e-22,1.0884746763284963e-22,4.3874821934912857e-16,1.33801401265675e-44,1.4362087684177861e-68,1.5993063344039614e-40,2.220810048986237e-46,1.678665607351881e-41,4.717066085647321e-107,3.316689072916625e-106,8.792809099340688e-47,4.807649126980743e-108,2.1764999607239924e-50,3.856097610351316e-123,2.1255027768317059e-106,2.1295127482563373e-109,6.976565812962044e-108,2.0368600112608082e-106,4.6606581114932115e-124,6.608094453298141e-123,6.320724766414664e-120,1.3713976689967889e-45,8.527248984520257e-42,1.759079793934817e-60,3.570004706220593e-24,1.0612917664253974e-24,2.1059112104513159e-38,8.443819460803574e-54,3.6022625245307644e-38,1.381473625596779e-43,7.990073309642292e-43,9.959332730948692e-45,2.99311121180733e-43,4.181562983965483e-56,1.1210108015527372e-41,1.4020859519938496e-46,1.1209840485909037e-41
3.390730276927685e-20,0.45450778342091464,1.69031143999376e-30,7.211721600233532e-35,4.651077808221297e-45,3.380586521448448e-44,0.0,0.0,1.2967628433097705e-23,4.0410520162971565e-41,3.362783874120936e-58,6.358105272556307e-70,3.6314647028515426e-61,8.904504857654392e-100,1.0837917751077706e-72,5.667433810548951e-57,5.0840282253996725e-96,5.150458386726414e-41,2.094470929453856e-119,1.545438674447788e-88,5.389559955306052e-127,2.6763215075925364e-126,1.6158788944732844e-45,9.47645263745555e-103,4.370051151693631e-68,1.996781299925269e-124,2.398740985566034e-133,1.2381995940241766e-113,3.573927789959921e-190,7.864737913744907e-154,3.69359371358879e-66,3.4831912802741605e-164,2.2965295742804077e-141,6.206351762385914e-169,3.76,0.0,0.658680183040346,0.9999999999999988,1.8753779951772736e-58,4.51795588826936e-105,5.157667859819133e-21,3.204175766599995e-21,1.6487191838476133e-21,3.0477290937152483e-22,1.2284950141299003e-15,8.081604636447717e-44,1.705067049865777e-67,9.659810259310582e-40,1.3413692695676305e-45,1.013914026848758e-40,2.2533990739196872e-105,1.5844221703990557e-104,5.310856696112732e-46,2.296671679851855e-106,1.3146059762623095e-49,3.354348359019067e-121,1.0153781825243156e-104,1.0172937940064187e-107,3.3327892077598675e-106,9.730324697000411e-105,4.054220734861146e-122,5.748259775723691e-121,5.498282172964108e-118,8.283241921133811e-45,5.150458386726414e-41,2.088383831069687e-59,9.99601317741757e-24,2.9716169459910127e-24,1.2719703711125598e-37,1.0024502463872553e-52,2.175766564816552e-37,8.344100698605142e-43,4.826004279023968e-42,6.015436969485751e-44,1.8078391719291367e-42,4.964351826428284e-55,6.770905241378442e-41,8.468599150043542e-46,6.770743653488943e-41
7.750240632977566e-20,0.45450778342091464,3.863569007317303e-30,1.6483935087556828e-34,2.2392937537532327e-44,1.6276068887242068e-43,0.0,0.0,2.96402935613667e-23,1.9455925932768717e-40,3.3016011487053044e-57,1.2562544586122467e-68,3.565393579734922e-60,1.759380106117113e-98,1.064073191591628e-71,5.564320122587036e-56,1.1471433142253211e-94,2.4797240048105827e-40,2.2826568742099905e-117,3.447788668229147e-87,1.2262048798757344e-124,6.090681568826805e-124,7.779761299832524e-45,4.278123704567791e-101,4.2905421349043416e-67,2.1762502257619647e-122,2.614311285650302e-131,1.349450486618943e-111,8.176556832279661e-187,3.936309289749222e-151,3.626392210814608e-65,1.743388985283182e-161,5.226362837555964e-139,3.465693752739449e-166,3.76,0.0,0.658680183040346,0.9999999999999972,1.8412572390406297e-57,2.3524902650407123e-103,1.1788955108158018e-20,7.323830323659268e-21,3.768500991651691e-21,6.966237928470589e-22,2.807988603500805e-15,3.8909447488072466e-43,1.6740449404683318e-66,4.650782819712706e-39,6.458115622148762e-45,4.881559586300277e-40,1.1733402260227287e-103,8.250053392756052e-103,2.5569488862515558e-45,1.1958721823225209e-104,6.329261885548958e-49,3.486590715406226e-119,5.287053145407732e-103,5.297027694828711e-106,1.7353764310258907e-104,5.066559896674177e-103,4.214054969262871e-120,5.97488007119167e-119,5.71504731285993e-116,3.9880244220150524e-44,2.4797240048105827e-40,2.0503895133991897e-58,2.2848030119811152e-23,6.792267305121846e-24,6.123989799991903e-37,9.842115963521523e-52,1.0475379421335007e-36,4.017325303236326e-42,2.323513318444013e-41,2.896173958148992e-43,8.703967403898356e-42,4.874030171747176e-54,3.2598994109152236e-40,4.0772659483991225e-45,3.2598216133021743e-40
1.6469261345077327e-19,0.45450778342091464,8.210084147453346e-30,3.5028362066645243e-34,9.779584147035208e-44,7.1081868987952616e-43,0.0,0.0,6.298562381790645e-23,8.496914007777515e-40,2.920228826687138e-56,2.2354376876555955e-67,3.1535502448027073e-59,3.1307228954633867e-97,9.411606877052753e-71,4.9215781344471064e-55,2.2056019213432056e-93,1.0829606211488858e-39,1.8673550537330404e-115,6.457326601424494e-86,2.071978029071075e-122,1.029298259147644e-121,3.3976261522223725e-44,1.6153381098160058e-99,3.794935929694023e-66,1.7804086806429966e-120,2.1387446718267265e-129,1.103934285723007e-109,1.2095383717433836e-183,1.369763722870568e-148,3.2075028430590053e-64,6.067018403636841e-159,8.832320882841448e-137,1.300230888292076e-163,3.76,0.0,0.658680183040346,0.9999999999999941,1.6285711784825769e-56,9.388171102502057e-102,2.5051529604835788e-20,1.5563139437785074e-20,8.008064607259856e-21,1.4803255597908611e-21,5.966975781480058e-15,1.699277796075538e-42,1.480673791889178e-65,2.0311190439345505e-38,2.8204287618980977e-44,2.1319053214608487e-39,4.682492829233844e-102,3.2923797372999625e-101,1.1166867557835237e-44,4.772411952813332e-103,2.764154949869727e-48,2.7909069159478736e-117,2.1099241201565445e-101,2.113904701108449e-104,6.925431784538432e-103,2.021931052763692e-101,3.373219318107227e-118,4.7827047884390774e-117,4.574716785944036e-114,1.7416750402092647e-43,1.0829606211488858e-39,1.8135470529412762e-57,4.8552064004596855e-23,1.4433568023381923e-23,2.674507237272631e-36,8.705240111318143e-51,4.5748734061536e-36,1.754471504508832e-41,1.0147393103246067e-40,1.2648352568192337e-42,3.801251238956705e-41,4.311024534083403e-53,1.4236837179718356e-39,1.7806491590332196e-44,1.4236497417102682e-39
3.390730276927685e-19,0.45450778342091464,1.6903114449681245e-29,7.211721604258939e-34,4.0827838776225906e-43,2.967528109589956e-42,0.0,0.0,1.2967628433099298e-22,3.547294336160559e-39,2.4546282859860114e-55,3.770392398582372e-66,2.650748996958962e-58,5.280421759096331e-96,7.911022671815616e-70,4.136882969229056e-54,4.012296757749028e-92,4.521147412621606e-39,1.3439489942961524e-113,1.1153425880229986e-84,3.033661211120347e-120,1.5071193822763562e-119,1.4184420361124471e-43,5.6043583036836396e-98,3.1898723113116785e-65,1.2815186225822984e-118,1.5393790811486064e-127,7.94509523048414e-108,1.4769074866868488e-180,4.061327851740973e-146,2.696099406435396e-63,1.799065391951521e-156,1.2932462386163439e-134,4.1426053845304475e-161,3.76,0.0,0.658680183040346,0.9999999999999878,1.3689122069843537e-55,3.336703055009348e-100,5.157667859819133e-20,3.20417576660657e-20,1.6487191838476232e-20,3.047729093649403e-21,1.2284950134388346e-14,7.094150295119276e-42,1.2445955393726944e-64,8.479522178183479e-38,1.1774734876890499e-43,8.900285051290677e-39,1.6642312905736602e-100,1.1701633251229473e-99,4.661947385969437e-44,1.696189956038012e-101,1.153980278948755e-47,1.9869893503741818e-115,7.499000787255862e-100,7.513148396261417e-103,2.4614069257418967e-101,7.186259644073857e-100,2.4015673258634453e-116,3.4050521080358573e-115,3.256974814851056e-112,7.271150446236224e-43,4.521147412621606e-39,1.5243958690801008e-56,9.996013177416235e-23,2.9716169459895705e-23,1.1165541237808019e-35,7.317278843626681e-50,1.9099195905057862e-35,7.324573162922422e-41,4.236336868772666e-40,5.280438213847747e-42,1.5869475644655023e-40,3.623675896950427e-52,5.943599269831347e-39,7.433859717480612e-44,5.943457425627356e-39
6.87833856176759e-19,0.45450778342091464,3.428917514196031e-29,1.4629492406554691e-33,1.6679504382869595e-42,1.2123320643245998e-41,0.0,0.0,2.630576053571941e-22,1.4491854816858056e-38,2.0124525715229804e-54,6.192880836154939e-65,2.173244180110608e-57,8.673108594834985e-95,6.485934349880114e-69,3.39166659794792e-53,7.343832171239036e-91,1.8470362399124173e-38,9.109723896974414e-112,1.853158391354615e-83,4.14816285168639e-118,2.060858273679432e-117,5.794798543466226e-43,1.8664853069334562e-96,2.615250045372153e-64,8.688524640001377e-117,1.0435890479066606e-125,5.385444253886732e-106,1.648406213787974e-177,1.11718535406673e-143,2.210425185352466e-62,4.949970878047865e-154,1.7684047776821953e-132,1.259411002450145e-158,3.76,0.0,0.658680183040346,0.9999999999999751,1.1223169375597523e-54,1.123893487573486e-98,1.0462697658490241e-19,6.499899412274302e-20,3.344544630090916e-20,6.182536161250235e-21,2.4920898828004037e-14,2.8981918719861926e-41,1.0203946184748607e-63,3.464161486792734e-37,4.810363396104299e-43,3.636056853087201e-38,5.605589331951351e-99,3.9414323527492714e-98,1.904557623420142e-43,5.713234922968371e-100,4.71438597299411e-47,1.339614280494959e-113,2.525869994514471e-98,2.53063529943762e-101,8.290696425421932e-100,2.420530164404192e-98,1.6191198418399638e-114,2.2956622419182616e-113,2.1958295717593682e-110,2.9705022113549835e-42,1.8470362399124173e-38,1.249791951651022e-55,2.0277626731326973e-22,6.028137233289781e-23,4.561487918281856e-35,5.999147287369473e-49,7.802644718631011e-35,2.992327131994675e-40,1.730681839162031e-39,2.1572313067686861e-41,6.483198608928981e-40,2.9709084404467085e-51,2.4281542365942183e-38,3.0369742554645437e-43,2.4280962886084714e-38
1.3853555131447397e-18,0.45450778342091464,6.906129687781152e-29,2.9465034039573898e-33,6.742122404986436e-42,4.900440067510125e-41,0.0,0.0,5.298202474097089e-22,5.857839421798994e-38,1.629736269224522e-53,1.0038926703798623e-63,1.759949483663253e-56,1.405948277992112e-93,5.2524777951985975e-68,2.7466595456416447e-52,1.418374969954104e-89,7.466015801042877e-38,5.998251276407846e-110,3.0211158909198097e-82,5.486269713529146e-116,2.7256823521952817e-115,2.342350221889773e-42,6.092518913728393e-95,2.1178972926363803e-63,5.723514672379582e-115,6.8734050390963074e-124,3.5460183248640887e-104,1.761468905963814e-174,2.963541163229632e-141,1.790059625037615e-61,1.3136671478732175e-151,2.3388845702463674e-130,3.9259094651339493e-156,3.76,0.0,0.658680183040346,0.9999999999999498,9.088813605470858e-54,3.6887309789981524e-97,2.1072757255832457e-19,1.3091346703656198e-19,6.736195522577571e-20,1.2452150295986888e-20,5.019279616643189e-14,1.1714954927627765e-40,8.263420175610047e-63,1.4002694577205144e-36,1.944425794793294e-42,1.4697523159571296e-37,1.8398105475245364e-97,1.2936175634174915e-96,7.698526431717365e-43,1.875140910983671e-98,1.905630186018418e-46,8.797027871808166e-112,8.29015823527773e-97,8.305798446935893e-100,2.7210895844657997e-98,7.944422365866954e-97,1.0632495159983868e-112,1.5075238442761717e-111,1.441965365389941e-108,1.2007244899092726e-41,7.466015801042877e-38,1.0121139725887904e-54,4.0840853839139023e-22,1.214117780788002e-22,1.843826348484846e-34,4.858265011704538e-48,3.153953748824895e-34,1.2095464699497893e-39,6.995692706112928e-39,8.719873853211515e-41,2.6206125350335074e-39,2.40591868372988e-50,9.814987652770134e-38,1.227593551102707e-42,9.814753417745421e-38
2.780398827080701e-18,0.45450778342091464,1.3860554175468615e-28,5.913611741932312e-33,2.710977807207788e-41,1.9704454209780393e-40,0.0,0.0,1.0633455315151879e-21,2.3554114677927603e-37,1.3117535340454465e-52,1.616738197050782e-62,1.4165604589299381e-55,2.264236358114871e-92,4.227651083950382e-67,2.2107505558755606e-51,3.0052125970150053e-88,3.002052119788036e-37,3.893516166722301e-108,4.879110233593254e-81,7.137740439932142e-114,3.5461874663410566e-113,9.418487220010072e-42,1.9689968374533904e-93,1.704667995555713e-62,3.7185575755406863e-113,4.4641124626955714e-122,2.3017508006727192e-102,1.8423938149988736e-171,7.722070928279427e-139,1.4407957191796883e-60,3.4261141495394815e-149,3.042952934895314e-128,1.3212628037152743e-153,3.76,0.0,0.658680183040346,0.9999999999998993,7.315468002381644e-53,1.1953552218428257e-95,4.229287645051689e-19,2.6274241286605706e-19,1.3519497307551163e-19,2.4991378563600164e-20,1.0073659064807347e-13,4.7105318521930905e-40,6.651119458687706e-62,5.6304218839606375e-36,7.818450593823135e-42,5.909809423560405e-37,5.962015492792581e-96,4.192044643585588e-95,3.09554362309692e-42,6.076505653735862e-97,7.662455158785942e-46,5.702606673577518e-110,2.686475076331178e-95,2.6915433823619673e-98,8.81785264034066e-97,2.5744373122048867e-95,6.892434415926375e-111,9.772409088109125e-110,9.347431250780276e-107,4.828060378903746e-41,3.002052119788036e-37,8.146373958800661e-54,8.196730805472543e-22,2.436725895701976e-22,7.413944652814841e-34,3.910354340916726e-47,1.2681909308087473e-33,4.863533157905371e-39,2.812937268954625e-38,3.5062229246894566e-40,1.0537367743653474e-38,1.936492667792904e-49,3.946563367291315e-37,4.936099677484272e-42,3.946469182417083e-37
5.570485454952625e-18,0.45450778342091464,2.776940371291245e-28,1.1847828463366479e-32,1.0872233850976858e-40,7.902367623857341e-40,0.0,0.0,2.1303960997279446e-21,9.446253469385359e-37,1.0525996008790139e-51,2.595222858773731e-61,1.1367005601740003e-54,3.6346008054927413e-91,3.392423745314676e-66,1.7739880921822545e-50,7.128159472680651e-87,1.2039571724391574e-36,2.5094734586921225e-106,7.843027200443094e-80,9.210845824609287e-112,4.576167066018761e-111,3.777234625834199e-41,6.331998758664206e-92,1.3678887126672298e-61,2.4010589870415354e-111,2.8804945662788035e-120,1.4835388625033527e-100,1.9066646876266557e-168,1.9943678214106457e-136,1.1561478285536254e-59,8.864608644956047e-147,3.926769582549789e-126,4.9446552901817543e-151,3.76,0.0,0.658680183040346,0.9999999999997982,5.870202526184031e-52,3.849234354055972e-94,8.473311483988576e-19,5.264003045324762e-19,2.708610087749948e-19,5.006983509138659e-20,2.0182417883050017e-13,1.889133956445996e-39,5.3371044928030365e-61,2.2580509866448935e-35,3.1355483703858117e-41,2.370097904062737e-36,1.9198639872338071e-94,1.349905169774482e-93,1.241451447845351e-41,1.9567316543252577e-95,3.072987225115712e-45,3.673030824334507e-108,8.650877798907167e-94,8.667198567562447e-97,2.839489065583279e-95,8.290098349243502e-94,4.439395061070282e-109,6.2943775844950286e-108,6.020650756601555e-105,1.936268164057571e-40,1.2039571724391574e-36,6.536952136468488e-53,1.6422021648574735e-21,4.881942125513629e-22,2.973323402546851e-33,3.1378130930602936e-46,5.086012844790454e-33,1.9504943231761068e-38,1.1281136565458737e-37,1.4061522122222909e-39,4.225955759702519e-38,1.553913410023343e-48,1.5827484246417335e-36,1.9795967431461519e-41,1.5827106522938452e-36
