Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41)
0.0,0.8831175166023214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8295898331796276,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.156186327435344e-23,0.8831175166023213,4.377398129123848e-26,6.448091930550706e-26,1.860776534113271e-40,4.67464143909233e-41,0.0,0.0,2.639577966198834e-21,5.7535698304343085e-39,8.070745898590945e-54,1.0974863892384489e-66,2.614013239888572e-56,1.913974429889255e-79,9.776811225132318e-58,4.796211774397112e-51,1.341335013222592e-82,8.41910781984561e-38,1.274394087162115e-106,1.8819161584426256e-71,-5.543886457234257e-112,1.2615213763715214e-115,8.321251469267477e-37,2.1722228890300203e-95,2.2332557620489626e-59,7.373333805607047e-109,4.0691941369452624e-119,1.2024886816387074e-105,-6.733749961634868e-180,1.6777029132732796e-143,1.9241239131384766e-58,-1.6304867589849978e-148,1.7447276907347978e-130,5.3873217110238264e-154,3.76,0.0,0.8295898331796275,0.9999999999999996,1.0729229129177346e-55,6.953589097308277e-96,3.5908448393123286e-17,2.1788394496257278e-17,5.759938147370788e-18,8.360115749495225e-18,4.4230394613316777e-16,1.2996984347314422e-34,1.2198128388617807e-53,5.7176440559974394e-34,5.170913714123974e-43,4.287880618474166e-37,1.1461948230532853e-89,1.8704274901894877e-87,3.949684664494304e-39,1.751308796429914e-89,2.9770517436996262e-40,1.7781536972300684e-108,1.8257040191194944e-87,8.331367115132962e-91,1.4434260657747427e-89,1.300323598083347e-87,1.178669255047042e-109,9.227450283330275e-109,1.3684437930156092e-105,1.017139655729507e-42,8.41910781984561e-38,2.2690724705853668e-54,2.018459202380717e-21,6.211625377993747e-22,1.126314026184182e-35,1.3467513702680278e-51,1.2458250423370298e-35,5.557619447177824e-36,5.719213205712973e-36,4.783777743169673e-37,4.7729828854494924e-36,9.71193436396622e-52,3.535508776512352e-36,1.2946336401649833e-41,2.7033836295855997e-36,8.434355622007416e-47,3.7894088285120177e-56
2.0037321716818964e-22,0.8831175166023213,1.2256714767289034e-25,1.8054657405543326e-25,1.123909026618812e-39,2.8234834303155657e-40,0.0,0.0,7.390818305356731e-21,3.475156177582319e-38,9.58159026806422e-53,2.455033153270685e-65,3.1033565184760597e-55,4.281484240684777e-78,1.1607030286476307e-56,5.694062618563877e-50,3.027485722471468e-81,5.0851411231877795e-37,9.833807311455539e-105,5.917045508729156e-70,2.8732682488822303e-110,1.3442489216411534e-113,5.0260358874372015e-36,1.3214691878755427e-93,2.6513212407049938e-58,5.689594689764127e-107,3.1399726543403883e-117,9.278941382458597e-104,6.137873978297272e-177,2.698357192296487e-141,2.284319909678416e-57,6.324817245348001e-146,1.859163087470614e-128,9.044056038545364e-152,3.76,0.0,0.8295898331796275,0.9999999999999988,1.2737741317408993e-54,3.3218129556807055e-94,1.0054365550074521e-16,6.100750458952202e-17,1.6127826812638413e-17,2.340832409858477e-17,1.2384510491726208e-15,7.850178545778085e-34,1.4481618022967324e-52,3.45345700982159e-33,3.123231883330553e-42,2.5898798935586567e-36,5.475510213106304e-88,8.935256571934162e-86,2.3856095373549347e-38,8.366212277604694e-88,1.7981392531949132e-39,1.54678318319268e-106,8.72160718381656e-86,3.9799940473055595e-89,6.895419527336771e-88,6.2118018668758925e-86,1.0253026974512999e-107,8.026789216385191e-107,1.1903840761690931e-103,6.143523522422528e-42,5.0851411231877795e-37,2.6953721988965084e-53,5.651685766666e-21,1.7392551058382043e-21,6.802936718152375e-35,1.5988821674303756e-50,7.524783255715577e-35,3.3568021460954485e-35,3.4544047762505576e-35,2.8894017568743e-36,2.8828816628113036e-35,1.1531679006353376e-50,2.1354473010134175e-35,7.819587186596349e-41,1.6328437122696915e-35,5.094351233959839e-46,4.498859886726388e-55
4.5799592495586205e-22,0.8831175166023213,2.801534806658845e-25,4.1267788355533984e-25,5.411138161417334e-39,1.3593857321437477e-39,0.0,0.0,1.6893298983672508e-20,1.6731381066902934e-37,9.407262466305744e-52,4.850731802392913e-64,3.046893832663161e-54,8.459491367790773e-77,1.139585116401182e-55,5.590464444236115e-49,6.005661804345384e-80,2.4482765540126225e-36,1.0717364891222352e-102,1.3200603033757129e-68,3.01587724646785e-108,3.0591960295559025e-111,2.4198199272624506e-35,5.965743589538448e-92,2.603082916245688e-57,6.200798610893876e-105,3.422096179755949e-115,1.011264421671699e-101,7.074974627135942e-174,6.825370047324341e-139,2.2427588331554784e-56,3.165577284395931e-143,4.2310115196920534e-126,4.169628094433078e-149,3.76,0.0,0.8295898331796274,0.9999999999999972,1.2505990176501984e-53,1.7296611204245304e-92,2.29814069715989e-16,1.3944572477605808e-16,3.686360414317449e-17,5.3504740796756427e-17,2.830745255250533e-15,3.779523048199294e-33,1.4218138449773735e-51,1.6626908914827598e-32,1.5037017080667543e-41,1.2469156838526724e-35,2.8510868160532672e-86,4.652569572292509e-84,1.1485683004354976e-37,4.356269387990456e-86,8.657266470683507e-39,1.6077638063061695e-104,4.5413227788412665e-84,2.0723746490473855e-87,3.590430652195934e-86,3.2344723536773846e-84,1.0657243920041432e-105,8.34323861493983e-105,1.237313964924496e-101,2.957842121533934e-41,2.4482765540126225e-36,2.6470025654953124e-52,1.2918138895236531e-20,3.975440241915685e-21,3.2753211881434753e-34,1.5698002929047882e-49,3.622859223115956e-34,1.616155735239376e-34,1.6631472002212155e-34,1.3911225677134668e-35,1.387983423088428e-34,1.1322602846460637e-49,1.028125952209727e-34,3.764794625599546e-40,7.861439594834762e-35,2.4527112722807966e-45,4.417039620747945e-54
9.73241340531207e-22,0.8831175166023214,5.953261475706341e-25,8.769405025553692e-25,2.363186198546993e-38,5.936794644756138e-39,0.0,0.0,3.589826034030399e-20,7.307033684651536e-37,8.320617245898355e-51,8.63161806874999e-63,2.694943090318476e-53,1.5053212900089625e-75,1.0079501300657354e-54,4.944702490930014e-48,1.0706288768841173e-78,1.0692266931219491e-35,8.767470090437702e-101,2.4723268543189937e-67,2.4082970526465994e-106,5.169906047125385e-109,1.05679893659642e-34,2.252551267454743e-90,2.302397360444948e-56,5.072638272449476e-103,2.7994877837209075e-113,8.272770865231171e-100,6.139576914787804e-171,1.3987844895566788e-136,1.983694789491888e-55,1.1015630567512567e-140,7.150212891471259e-124,1.4315399570395266e-146,3.76,0.0,0.8295898331796272,0.999999999999994,1.10614067720654e-52,6.902623489075308e-91,4.883548981464766e-16,2.963221651491566e-16,7.833515880424996e-17,1.1369757419306996e-16,6.015333667402378e-15,1.650617012109201e-32,1.2575782443531143e-50,7.261407951103359e-32,6.567060416932286e-41,5.445608385466142e-35,1.1377939045543429e-84,1.856718381935917e-82,5.01609952391345e-37,1.7384727565449946e-84,3.780855714503643e-38,1.286964686328849e-102,1.8123227070036865e-82,8.270303206348422e-86,1.4328466210824759e-84,1.2907930083840967e-82,8.530790732375605e-104,6.678501795429729e-103,9.904311644018907e-100,1.2917673655138512e-40,1.0692266931219491e-35,2.34150994167402e-51,2.745104515237746e-20,8.447810514069926e-21,1.4304188132537805e-33,1.3884738778183206e-48,1.5821978037678956e-33,7.058176697916507e-34,7.26340077125427e-34,6.075397733822648e-35,6.061688264517917e-34,1.001500470898833e-48,4.490096146170016e-34,1.6441847230092955e-39,3.433297209573546e-34,1.0711638433093495e-44,3.906834353332882e-53
2.0037321716818963e-21,0.8831175166023215,1.2256714850551793e-24,1.8054657405562937e-24,9.865837185876804e-38,2.4784949064047435e-38,0.0,0.0,7.390818305356668e-20,3.0505427240962385e-36,6.993980200857857e-50,1.4558485496758386e-61,2.2652620504243556e-52,2.5389443779838084e-74,8.47242817871088e-54,4.1563203842997333e-47,1.8073742338180006e-77,4.4638109660960985e-35,6.310011954106317e-99,4.270329816570276e-66,1.716086998464122e-104,7.569881265090595e-107,4.411927529000668e-34,7.815146762253963e-89,1.9353037113047662e-55,3.6508146058079896e-101,2.01481259695251e-111,5.953973274480565e-98,5.042999054178003e-168,2.802592485573178e-134,1.6674149971479717e-54,3.2661170964314615e-138,1.0469479530449262e-121,4.228702717536833e-144,3.76,0.0,0.8295898331796266,0.9999999999999877,9.297778926887736e-52,2.453300506578387e-89,1.005436555007451e-15,6.100750458954588e-16,1.6127826812641413e-16,2.340832409855781e-16,1.2384510491690157e-14,6.89100110094853e-32,1.0570702891525108e-49,3.031494878477791e-31,2.741618451223875e-40,2.2734343039185475e-34,4.0438977423951106e-83,6.599067935674938e-81,2.0941228091199768e-36,6.1788044629788734e-83,1.57843283451413e-37,9.16255971001796e-101,6.441278753548748e-81,2.939395292168802e-84,5.092561309217567e-83,4.587680520692582e-81,6.073506156724509e-102,4.75476694303405e-101,7.051385930723014e-98,5.392874479210379e-40,4.4638109660960985e-35,1.9682857167203217e-50,5.651685766665878e-20,1.7392551058375537e-20,5.9717169668273546e-33,1.167097263015983e-47,6.605364374469736e-33,2.946649830894287e-33,3.032326841667932e-33,2.5363589594260083e-34,2.5306355258626763e-33,8.41833017179016e-48,1.8745267533062446e-33,6.864147560152638e-39,1.4333340004061365e-33,4.471901464618001e-44,3.2839347653812063e-52
4.064713833983275e-21,0.8831175166023219,2.4863621747244535e-24,3.662516216561604e-24,4.030516405651018e-37,1.0125460473101197e-37,0.0,0.0,1.4992802848009094e-19,1.2462462395513654e-35,5.734087547411205e-49,2.391235614479381e-60,1.857198691141354e-51,4.1702237648060544e-73,6.946208503449048e-53,3.4076025653456663e-46,2.969953519111981e-76,1.823612430221631e-34,4.2771315849654844e-97,7.095216858420964e-65,1.158579636106896e-102,1.0351172322712714e-104,1.802416353245023e-33,2.602770167379949e-87,1.5866789086575992e-54,2.4746410166075822e-99,1.3657068137636864e-109,4.035796957029309e-96,4.3057436476447836e-165,5.92281741452334e-132,1.3670475556369906e-53,8.98439701187087e-136,1.4316122801471936e-119,1.161635926027825e-141,3.76,0.0,0.8295898331796256,0.9999999999999749,7.622880927720532e-51,8.263391815379731e-88,2.0395998687293994e-15,1.2375808073884846e-15,3.2716448677079538e-16,4.748545745701181e-16,2.512286414020207e-14,2.8151987975677465e-31,8.666500885443461e-49,1.238464573095065e-30,1.1200405941301632e-39,9.287720934869746e-34,1.3620961323393943e-81,2.2227478251832535e-79,8.555174970724321e-36,2.0811915131481518e-81,6.448413158961909e-37,6.177333478449882e-99,2.1696000829841168e-79,9.900692880783088e-83,1.7153149028159294e-81,1.5452571483427457e-79,4.09471524343563e-100,3.2056305169085186e-99,4.753994926969918e-96,2.2031652006242895e-39,1.823612430221631e-34,1.6137615416954487e-49,1.1464848269521928e-19,3.5282032146975253e-20,2.4396412332749862e-32,9.568573693280496e-47,2.6985068747026873e-32,1.2038026027370175e-32,1.2388044572093326e-32,1.0361853942793628e-33,1.0338471849176635e-32,6.901901557323362e-47,7.658053430271698e-33,2.804228249941178e-38,5.855637077026333e-33,1.8269203415250805e-43,2.692370151954703e-51
8.186677158586034e-21,0.883117516602322,5.007743612863735e-24,7.376617168586074e-24,1.629199174288447e-36,4.092873069953961e-37,0.0,0.0,3.0196771933313516e-19,5.037526557896875e-35,4.643612770259258e-48,3.876295976400233e-59,1.5040076525664326e-50,6.760112429875823e-72,5.62521973869701e-52,2.759564905473259e-45,4.815627850316168e-75,7.371333013547099e-34,2.816255500879916e-95,1.1566994219513596e-63,7.622486499293155e-101,1.3690416313053966e-102,7.285655081379738e-33,8.495875326271693e-86,1.2849337176671955e-53,1.6294147662297066e-97,8.992443111789009e-108,2.657349939300779e-94,3.9060532737930563e-162,1.3381582308201306e-129,1.1070705536629625e-52,2.3832777845467053e-133,1.8934439683106212e-117,3.079718823915203e-139,3.76,0.0,0.8295898331796235,0.9999999999999495,6.173206620015048e-50,2.7121279658065765e-86,4.107926496173291e-15,2.49259233037622e-15,6.589369240597698e-16,9.563972417372944e-16,5.05995714369713e-14,1.1379483651339337e-30,7.018357111245585e-48,5.006071817856506e-30,4.5273831605413425e-39,3.754245299768447e-33,4.4705358921907044e-80,7.295280924541801e-78,3.4581385086640663e-35,6.830678934596779e-80,2.6065517001245832e-36,4.0565538597178785e-97,7.120844713004021e-78,3.2495065384970535e-81,5.6298352644864165e-80,5.071688686447667e-78,2.688932527788219e-98,2.1050851296208316e-97,3.121870712903096e-94,8.905546083276193e-39,7.3713330135471e-34,1.3068826874211105e-48,2.309117327523317e-19,7.106099432412872e-20,9.861419929966857e-32,7.748881133443017e-46,1.0907796241672688e-31,4.865962591741863e-32,5.007445683828014e-32,4.188427035458946e-33,4.17897561937112e-32,5.589357122585726e-46,3.095507638253627e-32,1.1335138943777047e-37,2.366942130115377e-32,7.38472577600269e-43,2.1803519609943005e-50
1.643060380779155e-20,0.8831175166023227,1.0050506724345236e-23,1.4804819072690413e-23,6.550938230751663e-36,1.645726304181401e-36,0.0,0.0,6.060471010392062e-19,2.0255672730835394e-34,3.737583545961448e-47,6.242655170417619e-58,1.2105562066712273e-49,1.0886952665607872e-70,4.5276662287392345e-51,2.2211379126356695e-44,7.756805724019346e-74,2.963980584486498e-33,1.8280555155557984e-93,1.8680726561575122e-62,4.95674357949779e-99,1.7811606959630112e-100,2.929529864733539e-32,2.745720098912121e-84,1.034226442697734e-52,1.057667049964539e-95,5.837092699322781e-106,1.724908555673771e-92,3.725031916363563e-159,3.1858177112208467e-127,8.910666945603178e-52,6.210084175591369e-131,2.4634223087420216e-115,8.023113121241759e-137,3.76,0.0,0.8295898331796194,0.9999999999998985,4.9687337512833884e-49,8.788812162029238e-85,8.244579751061058e-15,5.002615376358432e-15,1.322481798638566e-15,1.9194825760640295e-15,1.0155298602949138e-13,4.575640327423132e-30,5.648984386406823e-47,2.0129194604220356e-29,1.8204408566858549e-38,1.509565523276273e-32,1.448703741583907e-78,2.364079167665324e-76,1.3905022849025857e-34,2.2135221299590914e-78,1.0480829746022608e-35,2.6296303096957124e-95,2.3075520759730502e-76,1.0530219182047564e-79,1.82438159739307e-78,1.6435108795004406e-76,1.7430801414986674e-96,1.3646054884933514e-95,2.0237290403633823e-92,3.5808809816678455e-38,2.963980584486498e-33,1.0518995743252951e-47,4.634382328665225e-19,1.426189186782517e-19,3.96523358173579e-31,6.2369745023039e-45,4.385976894542452e-31,1.9565821568601595e-31,2.0134718859179373e-31,1.6841480895794377e-32,1.6803477167391012e-31,4.4988081842175954e-45,1.2446900068028653e-31,4.557809515534539e-37,9.517370203292892e-32,2.9693831711520866e-42,1.754937267110663e-49
3.291845710620258e-20,0.8831175166023241,2.0136033888119985e-23,2.966122288112067e-23,2.6272192329934727e-35,6.600098900665692e-36,0.0,0.0,1.214205864451278e-18,8.123430722169761e-34,2.9991754122144792e-46,1.0020844088001563e-56,9.713951211808109e-49,1.747597012444679e-69,3.6331670060702097e-50,1.782323292494155e-43,1.2453843464171087e-72,1.188688781682584e-32,1.1782298056628991e-91,3.002872235631301e-61,3.2115378324972427e-97,2.298493522658729e-98,1.1748725021724766e-31,8.829824353858861e-83,8.299015869781829e-52,6.81694199938837e-94,3.7621866945143056e-104,1.1117488796273948e-90,3.6692211101321273e-156,7.840871366373329e-125,7.150249049819087e-51,1.603869240391057e-128,3.1789158676000955e-113,2.0721228464980273e-134,3.76,0.0,0.8295898331796111,0.9999999999997966,3.9870959235567384e-48,2.8301376846991416e-83,1.6517886260836515e-14,1.0022661468349813e-14,2.649571547799546e-15,3.845653244687033e-15,2.03459815210458e-13,1.835036421817751e-29,4.532954209492907e-46,8.072707336249999e-29,7.300782047277098e-38,6.054032918100786e-32,4.665056880268156e-77,7.612711605212434e-75,5.5765360799227165e-34,7.127893954886833e-77,4.203281494827077e-35,1.6937365224960536e-93,7.430685363140679e-75,3.3908983621267726e-78,5.874799435474623e-77,5.292366904101421e-75,1.1227123776313883e-94,8.789380568581034e-94,1.3034774412018374e-90,1.4360934882881186e-37,1.1886887816825843e-32,8.440858367107599e-47,9.284912330947668e-19,2.857347673857618e-19,1.5902360156799158e-30,5.00477957840144e-44,1.7589729023199567e-30,7.846769551781222e-31,8.074922809817464e-31,6.754187092798662e-32,6.7389458979485266e-31,3.6100131642766385e-44,4.99176362847763e-31,1.8278854687375187e-36,3.8168911263033684e-31,1.1908694296207913e-41,1.4082267637110528e-48
