Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51)
0.0,0.9070969455924994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7941744199401556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.198043631965738e-23,0.9070969455924994,5.548748601437131e-26,1.4721016423298685e-25,3.734645460798308e-40,5.615818467638358e-41,0.0,0.0,3.2930876566299837e-21,7.522607067469363e-39,1.2531202266985608e-53,1.6142343188332827e-66,4.650347565699329e-56,1.1601721243625824e-78,3.555617439934877e-57,8.294263792976899e-51,6.501345333351836e-51,1.1475544756711154e-37,4.1928314833284216e-106,8.506505246153842e-71,-2.3690103618641834e-111,3.5268311197660852e-115,1.7027093046366384e-36,4.940044972689451e-95,4.949714060469237e-59,3.068231190154308e-108,1.7308417947390108e-118,1.2030159173154202e-101,2.5071416151905057e-117,2.071981251180048e-111,3.887659924007271e-58,1.9507851289030415e-122,5.786473593582551e-124,2.1890029529479803e-123,3.76,0.0,0.7941744199401555,0.9999999999999996,1.9311031107752663e-55,9.408921473054875e-67,4.7948630606213636e-17,2.889376043240721e-17,7.495798111812523e-18,1.1559072061993912e-17,4.573579345293476e-16,2.932013505711424e-34,4.197840473266544e-53,9.64772627989405e-34,6.28395931282306e-43,6.030606914201399e-37,4.808212854834556e-89,8.8870487898844e-87,7.347494152753892e-39,8.252375822902794e-89,6.847698914994319e-40,5.6597258156045784e-108,9.067964385344821e-87,3.7602636905211377e-90,6.461668342978258e-89,6.765728350695437e-87,3.770258184589492e-109,2.8584566731239065e-108,4.330842604643348e-105,1.1841098854974308e-42,1.1475544756711154e-37,3.745299103661212e-54,2.5173206834158067e-21,7.758224607001474e-22,1.4527615433624115e-35,1.72637754483131e-51,1.8297992163564112e-35,9.670507433966923e-36,9.324322781304197e-36,8.26060243283391e-37,6.57484340384415e-36,1.0764921252645574e-51,5.858202600449064e-36,2.0166395711819177e-41,4.1554932958124116e-36,1.349350292193204e-46,7.723013831235433e-56,1.841894950810322e-58,6.799715813955584e-69,6.837000943379587e-73,2.2462975986116618e-39,3.5937349779368266e-37,2.876923598874624e-53
1.7354522169504065e-22,0.9070969455924994,1.5536496092360089e-25,4.1218845985238866e-25,2.2557258583423095e-39,3.391954355972218e-40,0.0,0.0,9.220645438563949e-21,4.5436546687514933e-38,1.4877045506599578e-52,3.6109776018570894e-65,5.5208926301014145e-55,2.595258635313967e-77,4.221229024690437e-56,9.846949975021575e-50,7.718397179755301e-50,6.931229033054801e-37,3.235383882874848e-104,2.6745813534747893e-69,1.2277550718058397e-109,3.758128204172137e-113,1.0284364200004622e-35,3.0052704310937824e-93,5.876300532858566e-58,2.3675846430815454e-106,1.3361654494579995e-116,9.283009769136604e-100,2.6715583086867437e-115,1.5988344743800368e-109,4.615429861782189e-57,2.0787135551261788e-120,6.165936888737678e-122,2.3325525130209265e-121,3.76,0.0,0.7941744199401555,0.9999999999999988,2.2926056791518424e-54,2.1047380978364834e-65,1.3425616569739816e-16,8.090252921074227e-17,2.0988234713075376e-17,3.236540177358054e-17,1.2806022166819543e-15,1.7709361574497375e-33,4.983676209862127e-52,5.8272266730547396e-33,3.7955114249448e-42,3.6424865761779725e-36,2.2969409793094646e-87,4.245449851513328e-85,4.437886468263961e-38,3.9422589591118896e-87,4.1360101446570865e-39,4.923291348040219e-106,4.331875402452071e-85,1.7963230881267113e-88,3.0868165074620084e-87,3.2320696218673876e-85,3.2796782220243156e-107,2.486518864348101e-106,3.767320294245442e-103,7.152023710897957e-42,6.931229033054801e-37,4.449298653160438e-53,7.048497913564257e-21,2.172302889960353e-21,8.774679721908863e-35,2.0495916980271355e-50,1.1051987266792591e-34,5.840986490116084e-35,5.631890959907575e-35,4.989403869431382e-36,3.971205415921621e-35,1.2783430605243633e-50,3.53835437067116e-35,1.2180503009938532e-40,2.50991795067068e-35,8.150076199926921e-46,9.168979543600075e-55,2.186697685602059e-57,1.5214462616254364e-67,1.529788863335371e-71,1.3567637495613656e-38,2.1706159266738556e-36,3.41558229027135e-52
3.9667479244580717e-22,0.9070969455924995,3.5511991107550495e-25,9.421450510912938e-25,1.0860349000303445e-38,1.6330800126672102e-39,0.0,0.0,2.1075761002431855e-20,2.187574135220086e-37,1.4606372451235562e-51,7.134683239499858e-64,5.420445122898916e-54,5.127793724895729e-76,4.1444276879873195e-55,9.667793877092007e-49,7.577968120554905e-49,3.337088415253466e-36,3.5260800224404435e-102,5.966843871088022e-68,1.288652462392577e-107,8.552613689253803e-111,4.951478657882331e-35,1.3567227275415288e-91,5.769386709718305e-57,2.5803095592036043e-104,1.4578651763712217e-114,1.0117078143529538e-97,6.07984018718444e-113,1.7424919593871625e-107,4.5314564074251795e-56,4.730665772481354e-118,1.403222973862117e-119,5.308343769497805e-119,3.76,0.0,0.7941744199401553,0.9999999999999971,2.2508938797311643e-53,4.158607802621042e-64,3.068712358797672e-16,1.849200667674207e-16,4.797310791560234e-17,7.397806119674414e-17,2.9270907809862917e-15,8.526295274609385e-33,4.893002855639751e-51,2.805558802191291e-32,1.8273753681684483e-41,1.7537004906502496e-35,1.1960124058732968e-85,2.2105969359499888e-83,2.1366512996217314e-37,2.0527260668581357e-85,1.9913108444811068e-38,5.117387959274919e-104,2.2555985411451668e-83,9.353417078229862e-87,1.6072989558005257e-85,1.6829319513289825e-83,3.4089767712739583e-105,2.5845477745268907e-104,3.9158437211409436e-101,3.443391550695463e-41,3.337088415253466e-36,4.369609606584866e-52,1.6110852373861145e-20,4.965263748480523e-21,4.224630568097739e-34,2.0123171793161716e-49,5.32105612116425e-34,2.812183561797674e-34,2.7115130648030232e-34,2.4021831874676514e-35,1.911964461837512e-34,1.2552301065708426e-49,1.7035653162104756e-34,5.864387872996636e-40,1.2084174504222253e-34,3.923911302317789e-45,9.002253804571934e-54,2.1469127546646507e-56,3.0064849506063164e-66,3.0229705190569714e-70,6.53223341676155e-38,1.0450581315840473e-35,3.353482149884997e-51
8.429339339473403e-22,0.9070969455924995,7.546298127130931e-25,2.002058233569511e-24,4.74299973552588e-38,7.132089477439801e-39,0.0,0.0,4.478599213016757e-20,9.553710975686038e-37,1.2919171399770031e-50,1.2695787620023843e-62,4.794322327004856e-53,9.124634956482043e-75,3.6656993558736374e-54,8.551054200003549e-48,6.702626984872422e-48,1.457394184104226e-35,2.8845524971251224e-100,1.117523820714488e-66,1.0289740049573732e-105,1.4453531557275772e-108,2.162440816887484e-34,5.122726871715934e-90,5.102957209535579e-56,2.11085343132831e-102,1.1953505911628554e-112,8.276398092663186e-96,1.027465915364744e-110,1.4254732049918848e-105,4.008021875259338e-55,7.994616067130689e-116,2.3713847934963866e-117,8.970866297368636e-117,3.76,0.0,0.7941744199401549,0.9999999999999938,1.9908901576286228e-52,7.40002039120178e-63,6.521013762445051e-16,3.92955141880811e-16,1.019428543206613e-16,1.5720338004303269e-16,6.220067909591465e-15,3.7236571522540907e-32,4.32780561431944e-50,1.2252612375445825e-31,7.980628327280127e-41,7.658870781040738e-35,4.772971547241482e-84,8.821912068704694e-82,9.331317574006683e-37,8.191890872772159e-84,8.696577622050546e-38,4.096309149390535e-102,9.0015016616917e-82,3.732703219852065e-85,6.4143082013830145e-84,6.716139632146855e-82,2.728779379120492e-103,2.0688497296052985e-102,3.134510533534142e-99,1.5038195583397067e-40,1.457394184104226e-35,3.865371330841053e-51,3.423556129445488e-20,1.0551185465519905e-20,1.8450071600701038e-33,1.779878069448042e-48,2.323845004772442e-33,1.2281544441138954e-33,1.1841889932253886e-33,1.0490965089694424e-34,8.35005112287828e-34,1.1102945229190731e-48,7.4399173025691535e-34,2.5611322554006422e-39,5.277476485681517e-34,1.7136755454593202e-44,7.962429397566873e-53,1.898920018487704e-55,5.3501743344853005e-65,5.379511140311558e-69,2.8527979502356104e-37,4.564043421979958e-35,2.9661341424706695e-50
1.7354522169504066e-21,0.9070969455924995,1.553649621323389e-24,4.121884598527573e-24,1.9801090235960876e-37,2.9775069727270365e-38,0.0,0.0,9.220645438563864e-20,3.98848626717221e-36,1.085934215008432e-49,2.1413301476488488e-61,4.029916796092189e-52,1.539003053878176e-73,3.081241183565581e-53,7.187676294765994e-47,5.6339618443573955e-47,6.084333830025376e-35,2.0760334158247688e-98,1.9302444917377543e-65,7.331250430818692e-104,2.11631483536827e-106,9.027764733174036e-34,1.7773119265234004e-88,4.289343012560276e-55,1.5191965450533454e-100,8.642310269616747e-111,5.956583816401168e-94,1.504436275982614e-108,1.0259329290105564e-103,3.368983887594597e-54,1.170587898589511e-113,3.4722297013550185e-115,1.3135324338466776e-114,3.76,0.0,0.7941744199401543,0.9999999999999872,1.6734631423069323e-51,1.2481215999480547e-61,1.3425616569739806e-15,8.090252921077252e-16,2.0988234713079938e-16,3.236540177354553e-16,1.2806022166787796e-14,1.554553560728721e-31,3.637781388686239e-49,5.1152244735821715e-31,3.331755227654134e-40,3.1974277859140335e-34,1.6963888439847738e-82,3.1354457213502177e-80,3.8956413997983986e-36,2.9115263206933445e-82,3.630649964736941e-37,2.9163719541554714e-100,3.1992746754991335e-80,1.3266611873518479e-83,2.2797455981066476e-82,2.3870212159904703e-80,1.9427575800836085e-101,1.4729199161348897e-100,2.2316183365660706e-97,6.278150646586547e-40,6.084333830025376e-35,3.2492761957682275e-50,7.048497913564219e-20,2.1723028899594822e-20,7.702541702906075e-33,1.4960972661269885e-47,9.701595445119892e-33,5.1273030414901304e-33,4.943755938645292e-33,4.379771409884365e-34,3.485981972714757e-33,9.332923274399464e-48,3.1060190187570513e-33,1.0692223006402994e-38,2.20324254543952e-33,7.154261318573925e-44,6.692916689863148e-52,1.5961566940535465e-54,9.02408700168104e-64,9.07356910667145e-68,1.1909869867828239e-36,1.905398285302276e-34,2.4932212725878088e-49
3.520488782956539e-21,0.9070969455924999,3.15168925988446e-24,8.361537328450204e-24,8.089391456285207e-37,1.2164087613011252e-37,0.0,0.0,1.8704737889657931e-19,1.6294267812420948e-35,8.903144848210962e-49,3.5171411975214244e-60,3.303969267826023e-51,2.5278171373290736e-72,2.5261876830356486e-52,5.892891287553466e-46,4.6190623096415675e-46,2.4856488964971325e-34,1.407203059481559e-96,3.2071300922726384e-64,4.948272077090758e-102,2.8938811427585336e-104,3.688136462207167e-33,5.919190773636093e-87,3.516662555687327e-54,1.029760885883952e-98,5.911305576639055e-109,4.037566467339042e-92,2.0571892491299355e-106,6.9542364356488525e-102,2.76209653649077e-53,1.600679938154575e-111,4.747980416103992e-113,1.79614449711975e-112,3.76,0.0,0.7941744199401529,0.999999999999974,1.3720061924800155e-50,2.0500434757891952e-60,2.7234822184329292e-15,1.6411655925620875e-15,4.257613327511562e-16,6.565552931196825e-16,2.5977930681124414e-14,6.350858533915612e-31,2.982472967939974e-48,2.0897361031152238e-30,1.3611307229907825e-39,1.3062535800474433e-33,5.713904827783975e-81,1.0561044720323044e-78,1.5914966234701054e-35,9.806822509489128e-81,1.4832389757893015e-36,1.9661975122864024e-98,1.0776038216989076e-78,4.4685602538093076e-82,7.678811037542866e-81,8.040144863221329e-79,1.3097935314775839e-99,9.930322744925819e-99,1.5045414270599118e-95,2.564829404838962e-39,2.4856488964971325e-34,2.6640320034739347e-49,1.4298381481801614e-19,4.406671576772929e-20,3.1467396133835065e-32,1.2265919252272738e-46,3.963418294595115e-32,2.0946705922277065e-32,2.019685611719757e-32,1.7892795293580223e-33,1.4241373806433701e-32,7.651785423172274e-47,1.2689101160667867e-32,4.3681219767598853e-38,9.00096469845965e-33,2.9227518456316724e-43,5.487263443969242e-51,1.3086256935111294e-53,1.482227857773295e-62,1.4903554117817017e-66,4.865570450487667e-36,7.784173711611728e-34,2.0440961404831682e-48
7.090561914968804e-21,0.9070969455925003,6.347768622368516e-24,1.6840842788321494e-23,3.2698613658668346e-36,4.916918775248362e-37,0.0,0.0,3.767292279184548e-19,6.586403572708342e-35,7.209997551569877e-48,5.7014374450734125e-59,2.6756399760100045e-50,4.097700510636994e-71,2.04577228155667e-51,4.7722161481747385e-45,3.740636415625339e-45,1.0047390260767853e-33,9.265656867423151e-95,5.228431488251943e-63,3.2538880664133107e-100,3.827434589654441e-102,1.4908037262494374e-32,1.9321224549966288e-85,2.8478845177663314e-53,6.780408074876834e-97,3.9624169972482746e-107,2.6585150643362773e-90,2.7208296479338168e-104,4.579151407769329e-100,2.2368173874512122e-52,2.1170524533421372e-109,6.279658627632403e-111,2.3755730433834552e-110,3.76,0.0,0.7941744199401501,0.9999999999999477,1.111086187411902e-49,3.3232088166247544e-59,5.485323341350818e-15,3.3054461934729483e-15,8.57519303992192e-16,1.3223578438856642e-15,5.232174770957344e-14,2.5671185609022784e-30,2.415283935272743e-47,8.447047448785726e-30,5.5019080083911495e-39,5.2800858225461394e-33,1.875360777455507e-79,3.466240624262116e-77,6.433083810512909e-35,3.218697342726015e-79,5.9954890896736884e-36,1.2911697474734733e-96,3.536803642588268e-77,1.4666262187156844e-80,2.5202626699885555e-79,2.6388560495529462e-77,8.601199893256456e-98,6.521080527655125e-97,9.880077470916573e-94,1.0367450654109978e-38,1.0047390260767853e-33,2.1574337263925233e-48,2.879814861827613e-19,8.875408950393673e-20,1.271962463766876e-31,9.933263399379274e-46,1.6020770442811678e-31,8.466993442800916e-32,8.163892162510052e-32,7.232553938833795e-33,5.756590992525181e-32,6.19665054335336e-46,5.129137570410719e-32,1.765664743266721e-37,3.6383338441604315e-32,1.1814251766486062e-42,4.443730586411209e-50,1.0597590150183582e-52,2.4027703056000858e-61,2.4159455035486576e-65,1.9667413698617274e-35,3.146487472463822e-33,1.6553631312544398e-47
1.4230708178993335e-20,0.9070969455925013,1.2739927688784292e-23,3.37994537081682e-23,1.314796874642256e-35,1.977071474480965e-36,0.0,0.0,7.560929259621823e-19,2.6483639085305964e-34,5.803233294703472e-47,9.181989239728806e-58,2.1535878309053755e-49,6.599220347284538e-70,1.6466155103561437e-50,3.8410947294564904e-44,3.010789615308657e-44,4.040011433875596e-33,6.014417069632341e-93,8.443930819398549e-62,2.1137836218556422e-98,4.979597170327314e-100,5.994456215292245e-32,6.244285911411995e-84,2.2922252275553153e-52,4.401220827699101e-95,2.66310662770031e-105,1.7256648482783332e-88,3.5398739217572127e-102,2.972586839919114e-98,1.8003852321552502e-51,2.754343286241619e-107,8.170008046477838e-109,3.090685661416202e-108,3.76,0.0,0.7941744199401446,0.999999999999895,8.942988268043733e-49,5.351925350354309e-58,1.100900558718656e-14,6.634007395303216e-15,1.7210352464755528e-15,2.653962945407738e-15,1.0500938176557472e-13,1.0322270827426926e-29,1.9440306360632956e-46,3.396520627642094e-29,2.212293011890278e-38,2.1230992865973403e-32,6.077218124693225e-78,1.1232558875651215e-75,2.586714706500273e-34,1.043038015100546e-77,2.410759793858517e-35,8.369910077199206e-95,1.1461222532855316e-75,4.7526894801475674e-79,8.167061058986848e-78,8.551369957827267e-76,5.57566267358785e-96,4.227241052498373e-95,6.404685375417222e-92,4.1687064058586775e-38,4.040011433875597e-33,1.7365029541327905e-47,5.779768289122405e-19,1.7812883697610569e-19,5.114505123861019e-31,7.995156145381974e-45,6.441881333141215e-31,3.404540824162693e-31,3.282665132436881e-31,2.9081781288653307e-32,2.314699919677679e-31,4.987617962258113e-45,2.062403658292607e-31,7.0996602759088005e-37,1.4629580367626982e-31,4.750475963502134e-42,3.576701923481951e-49,8.529862522386115e-52,3.869599558251747e-60,3.890817874482743e-64,7.908180547755334e-35,1.2651887739235356e-32,1.332380692748467e-46
2.8511000707042393e-20,0.907096945592503,2.552424718740649e-23,6.771667554827809e-23,5.272923531006747e-35,7.928941363544139e-36,0.0,0.0,1.5148203220495432e-18,1.0621123782915475e-33,4.6567292480526484e-46,1.4739126233514381e-56,1.7281186105637578e-48,1.059321016414823e-68,1.3213052468273098e-49,3.0822366166661947e-43,2.415969053378415e-43,1.620225278950832e-32,3.876449811278967e-91,1.3573372177779564e-60,1.3667834143744862e-96,6.425906252901619e-98,2.404045050917768e-31,2.008068771528727e-82,1.8393663975318207e-51,2.836702449013872e-93,1.8338336615307792e-103,1.1122363300626448e-86,4.568019745601412e-100,1.916194583878871e-96,1.4446957645349614e-50,3.554334108912759e-105,1.0542962606847723e-106,3.9883661280332653e-106,3.76,0.0,0.7941744199401335,0.9999999999997896,7.176184885723015e-48,8.591025459991266e-57,2.2056370078857906e-14,1.3291129798997928e-14,3.4480671314474305e-15,5.317173148412326e-15,2.1038464987399005e-13,4.1396922766567944e-29,1.5599621546715627e-45,1.3621566847421427e-28,8.872284449806872e-38,8.514577718721457e-32,1.9569610688188657e-76,3.6170629342055585e-74,1.0373882909684026e-33,3.3587486033489985e-76,9.668225012201904e-35,5.391032471547463e-93,3.690696275302627e-74,1.5304417405998616e-77,2.6299237926478643e-76,2.7536773813905423e-74,3.5912666022018325e-94,2.7227525228914783e-93,4.1252374889587434e-90,1.6718377953362472e-37,1.6202252789508332e-32,1.3934392954899044e-46,1.1579675143711552e-18,3.568783319194599e-19,2.051145306497616e-30,6.415609923742101e-44,2.583482534770116e-30,1.3653731423012782e-30,1.3164955388886934e-30,1.166309501111368e-31,9.282981952671917e-31,4.002255104844418e-44,8.271161102311001e-31,2.847281310698222e-36,5.867116051387746e-31,1.9051671990822326e-41,2.870078421203397e-48,6.844677482256771e-51,6.211573919222642e-59,6.245634068804897e-63,3.1715341016451053e-34,5.073972852946903e-32,1.0691517679680901e-45
