Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(964),S(1465),S(335),S(923),S(304),S(220),CF2O(49),S(879),CFO(51),CH2F(46),CFO3(3228),C2H3F2(66),C2H3F2(64),F(37),CF2CH(73),C2HF2(72),S(234),C2H2F3(67),C2H2F3(68),S(133),S(3636),S(149),CHFCF2(55),CF2(43),CH2F2(41),C2F(235),S(3631),S(3559),S(3935),S(3617),C2H3F2(65),S(3632),S(4348),CHO2(339)
0.0,0.7439561594408478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7135130151315688,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8938313183023533e-22,0.7439561594408478,9.68972720051549e-27,1.327305541832222e-27,9.059441243645532e-42,1.3242897296338197e-41,0.0,0.0,8.1080911729274315e-22,1.3809351888446735e-39,1.2047811305037381e-54,2.8053232925927293e-67,2.4587113732499892e-57,3.744597149021259e-83,1.9244996807189208e-60,4.0740829727889306e-52,4.760425723527832e-40,1.9602655912105664e-38,2.39236976237152e-107,2.989075023185993e-62,3.5472561264500236e-103,1.9468277948999497e-111,2.275587579555833e-38,1.0081699625684919e-95,1.622944225180011e-58,1.1046067217109313e-111,1.8753834783162666e-113,4.498931065602319e-92,1.3306128375874015e-94,3.5264816382387894e-95,5.808325750427606e-60,2.289903082602872e-112,3.6759425038022216e-114,8.968206492108064e-113,3.76,0.0,0.7135130151315688,0.9999999999999994,8.76196665357921e-57,6.637994851419701e-56,6.86101536163736e-18,4.288568008818271e-18,1.2536030228243303e-18,1.3188443299947596e-18,4.74269146983478e-16,2.3484710110328214e-36,3.2834745144503616e-56,4.3495294629810326e-35,1.9739217991321834e-43,8.503677015307939e-38,1.3004461581230017e-92,1.145885269110139e-90,1.9537811696071446e-40,1.130083573658949e-92,5.1294946851792217e-42,9.424469773778549e-111,9.321262540936926e-91,6.239896362505695e-94,6.3804241613235e-112,5.7820819027431714e-111,7.760188794815157e-108,1.1513134587331165e-92,5.765460276780495e-91,4.799095887693268e-43,1.9602655912105664e-38,1.1039595137651931e-43,6.096551552236783e-55,3.4979532120512555e-37,4.599661774263181e-74,1.5036026933951465e-25,6.677749937384542e-24,6.828110206723488e-24,3.3106951763133943e-37,2.971229179671771e-38,2.6075610631697567e-52,6.210323794402468e-22,1.8978642757968905e-22,3.8713600173058234e-36,1.1043342744396668e-47,4.7639297293292655e-52,1.918672137002944e-36,3.7302723957303705e-37,1.3099372190783944e-57,1.7117881797150137e-61,1.3026866812544809e-42,8.369336760345423e-69,6.153344639458949e-73,4.4856584741782043e-39,1.0215400641028724e-38,6.9194723086342e-39,3.9842126929685294e-73,4.1604071851486373e-69
5.30272769124659e-22,0.7439561594408478,2.713123616945494e-26,3.716455517130878e-27,5.471902511488439e-41,7.998709968959161e-41,0.0,0.0,2.27026552841968e-21,8.340848540621825e-39,1.4303161629318497e-53,6.275395992597501e-66,2.9189821424459327e-56,8.37651403847348e-82,2.2847660209492125e-59,4.8367513052944085e-51,2.8752971370112283e-39,1.184000417091723e-37,1.465198182221091e-105,3.548629867528952e-61,2.157969007971362e-101,1.6935100119465405e-109,1.3744548980515369e-37,5.534720961712621e-94,1.926759384133937e-57,8.523640336103438e-110,1.560788874104374e-111,2.1491933572111727e-90,6.356497198696708e-93,1.6846425963666387e-93,6.895644330910514e-59,1.7669918307544213e-110,2.8365219215978874e-112,6.92026990519725e-111,3.76,0.0,0.7135130151315688,0.9999999999999987,1.0402207869261024e-55,7.880627487606517e-55,1.9210843012584607e-17,1.2007990424691662e-17,3.510088463908151e-18,3.692764123984796e-18,1.327953611552986e-15,1.418476490663873e-35,3.898140943555585e-55,2.6271157956387622e-34,1.192248766675446e-42,5.13622091724717e-37,6.212387350897525e-91,5.474031436771529e-89,1.180083826443185e-39,5.398544841404119e-91,3.098214789849278e-41,8.198172845968312e-109,4.452878970956263e-89,2.9808733711272328e-92,5.550213578131794e-110,5.029726656890472e-109,6.750445445084434e-106,5.499962549988512e-91,2.754229559741445e-89,2.898653916689659e-42,1.184000417091723e-37,6.667915463153828e-43,7.237861744819461e-54,2.1127637400789436e-36,1.028930794179947e-72,4.2100875415153015e-25,1.8697699824677183e-23,1.9118708578825286e-23,1.999659886493051e-36,1.7946224245215397e-37,3.0957739600296335e-51,1.7388906624326853e-21,5.314019972231165e-22,2.3383014504526812e-35,6.670186453463751e-47,5.655743477558736e-51,1.1588779707497654e-35,2.2530845270211134e-36,1.5551622676212725e-56,2.0322349269591728e-60,7.868227554776938e-42,1.8722319107054762e-67,1.3765114872838185e-71,2.7093377184034007e-38,6.170101987181379e-38,4.179361274414712e-38,8.912737480170493e-72,9.306886941448046e-68
1.2120520437135061e-21,0.7439561594408478,6.201425413938013e-26,8.494755467730812e-27,2.6344855141419243e-40,3.851034536731481e-40,0.0,0.0,5.189178350673548e-21,4.015759529160305e-38,1.4042928925289662e-52,1.2399124986701118e-64,2.865873977043105e-55,1.6550580176677475e-80,2.243196827845073e-58,4.748751113080884e-50,1.38433180040252e-38,5.7004523392482836e-37,6.910331564448479e-104,3.484065847033216e-60,9.742103637194126e-100,1.7602774704168952e-107,6.617408681345568e-37,2.650189992700087e-92,1.891703788870527e-56,9.289480189809386e-108,1.6502743647205657e-109,1.1190805253587653e-88,3.30981491297359e-91,8.771899073011592e-92,6.77018449470711e-58,1.92575413460757e-108,3.091380344781746e-110,7.542048662258597e-109,3.76,0.0,0.7135130151315688,0.999999999999997,1.0212949834983991e-54,7.737246798818054e-54,4.3910498314479106e-17,2.744683525644046e-17,8.023059346075897e-18,8.44060371196275e-18,3.0353225406889924e-15,6.829353700084177e-35,3.827217894043698e-54,1.2648431678322124e-33,5.740164591870448e-42,2.4728692760532827e-36,3.2347772139993986e-89,2.8503168202794235e-87,5.6815956412244995e-39,2.811011106578943e-89,1.491657054451615e-40,8.521378899650719e-107,2.3186048483988044e-87,1.552134584354836e-90,5.769026069814807e-108,5.228019390456283e-107,7.016576066400682e-104,2.863819097176779e-89,1.4341216216456474e-87,1.3955770849105942e-41,5.7004523392482836e-37,3.210314266047269e-42,7.10619124293631e-53,1.0172047940644828e-35,2.032998539631658e-71,9.623057237791177e-25,4.273759959926434e-23,4.3699905323026966e-23,9.627501572715762e-36,8.640334454482367e-37,3.0394831767150795e-50,3.97460722841754e-21,1.2146331365099201e-21,1.125791493032478e-34,3.211415223842792e-46,5.552845158622676e-50,5.579498574404363e-35,1.0847632126783455e-35,1.5268696401645092e-55,1.9952603022803344e-59,3.7882128690878374e-41,3.699257908626463e-66,2.7197864626342296e-70,1.3044294842906686e-37,2.9706385064111956e-37,2.012182547350307e-37,1.7610272756527422e-70,1.8389054763501314e-66
2.5756105928912006e-21,0.7439561594408478,1.317802902074156e-25,1.8051355368941168e-26,1.1505490384491104e-39,1.681847959689829e-39,0.0,0.0,1.1027003995181267e-20,1.7537876898327293e-37,1.2420811611677738e-51,2.206358043111713e-63,2.534833078169866e-54,2.945087313027438e-79,1.9840821908320866e-57,4.200216581622499e-49,6.04574066888682e-38,2.48953730084557e-36,2.831586951603916e-102,3.0816167859196335e-59,3.678432970903653e-98,1.409050798768558e-105,2.8899962260330205e-36,1.025153108244379e-90,1.673190578393067e-55,7.599371581025339e-106,1.3316221128068495e-107,4.465956607451529e-87,1.3208602459869264e-89,3.5006346493680797e-90,5.988151515678938e-57,1.5753864530876673e-106,2.528941066874315e-108,6.169864093961996e-107,3.76,0.0,0.7135130151315688,0.9999999999999936,9.033238657401656e-54,6.84350717202648e-53,9.330980891826809e-17,5.832452491994613e-17,1.7049001110411804e-17,1.793628288791017e-17,6.450060398948965e-15,2.982558184012438e-34,3.3851308854184904e-53,5.523902417958302e-33,2.506880684891712e-41,1.0799669809458864e-35,1.290914670140389e-87,1.1374866194523939e-85,2.481302085408169e-38,1.1218007409327152e-87,6.514458250192877e-40,6.8210975266814175e-105,9.252943294187394e-86,6.194161676121151e-89,4.617925093997842e-106,4.18486615295806e-105,5.616549881902845e-102,1.1428750237194206e-87,5.723202921454378e-86,6.094851785250861e-41,2.48953730084557e-36,1.402028582500485e-41,6.285351899370268e-52,4.442400579304862e-35,3.6176160764178593e-70,2.0448996630485188e-24,9.081739914844608e-23,9.28622988114226e-23,4.2045828739143047e-35,3.7734610581799e-36,2.6884019298270836e-49,8.446040360387158e-21,2.5810954150833223e-21,4.916627221977823e-34,1.402516054103026e-45,4.911429720894498e-49,2.4367136139935346e-34,4.7374459425770924e-35,1.350499740999394e-54,1.7647851417683378e-58,1.6544120851929913e-40,6.582666815144445e-65,4.839740438238338e-69,5.696786262202666e-37,1.2973558814106928e-36,8.787729831960075e-37,3.133670615651545e-69,3.2722514505505164e-65
5.302727691246589e-21,0.7439561594408478,2.7131236285622683e-25,3.716455517140383e-26,4.803315751936e-39,7.02138417401241e-39,0.0,0.0,2.270265528419663e-20,7.321718371254402e-37,1.0440440573002143e-50,3.7213453277752307e-62,2.130679938135195e-53,4.96732021642611e-78,1.6677406313126918e-56,3.530535118884108e-48,2.5239777186202826e-37,1.039332816467147e-35,1.1363590023302961e-100,2.5902845899211183e-58,1.2762192803582437e-96,1.0031805916990619e-103,1.2065165346779036e-35,3.5952468416137324e-89,1.406417498436083e-54,5.4693229191146367e-104,9.51883217369886e-106,1.5872709257953844e-85,4.694544192387692e-88,1.2441803826553051e-88,5.033402162141234e-56,1.133817072262317e-104,1.8200972534200911e-106,4.4404959998740435e-105,3.76,0.0,0.7135130151315687,0.9999999999999867,7.592981461840964e-53,5.752380130335071e-52,1.9210843012584606e-16,1.200799042469897e-16,3.510088463908529e-17,3.692764123977107e-17,1.3279536115420752e-14,1.2451593300502811e-33,2.845406478631804e-52,2.306120521247695e-32,1.0465733378943288e-40,4.508649553532216e-35,4.588112925662634e-86,4.0428056030023383e-84,1.0358947761320692e-37,3.9870555340035876e-86,2.7196580820956744e-39,4.856288135955698e-103,3.288640969862274e-84,2.201502075015141e-87,3.287737018709496e-104,2.979420213487998e-103,3.9987090713694804e-100,4.061956835754315e-86,2.0341159572599133e-84,2.5444806467173516e-40,1.039332816467147e-35,5.853193342151259e-41,5.28321945845253e-51,1.8546147930293648e-34,6.101641312868312e-69,4.210087541644226e-24,1.8697699824683937e-22,1.9118708578818308e-22,1.7553305824780262e-34,1.5753457110590487e-35,2.2597691554379348e-48,1.7388906624326018e-20,5.3140199722293055e-21,2.0525950811750324e-33,5.855284053160956e-45,4.1283530373448756e-48,1.0172799670387763e-33,1.977790424215811e-34,1.135176737296728e-53,1.48340824794701e-57,6.906844784009461e-40,1.1102657738989995e-63,8.162950235857684e-68,2.3782961230059935e-36,5.4162054198738335e-36,3.668704218033026e-36,5.285406855488912e-68,5.519144279152132e-64
1.0756961887957367e-20,0.743956159440848,5.503765102048105e-25,7.539095477649698e-26,1.962311214995277e-38,2.8684645492542025e-38,0.0,0.0,4.605395786222703e-20,2.991160856445065e-36,8.55970396797162e-50,6.112320875358645e-61,1.746860144826778e-52,8.158838371389477e-77,1.3673145301920066e-55,2.8945459964022305e-47,1.0311272534239549e-36,4.246013681247455e-35,4.809401259176157e-99,2.1236718052454704e-57,4.250343062164712e-95,6.763444337520482e-102,4.929013720799114e-35,1.2034862184478503e-87,1.1530660373864753e-53,3.7072851653275456e-102,6.430475986211005e-104,5.346365627211616e-84,1.581251776100882e-86,4.1907421876093425e-87,4.126687197901671e-55,7.685381310219327e-103,1.2337211846732211e-104,3.0099127809007344e-103,3.76,0.0,0.7135130151315685,0.999999999999973,6.22518498641327e-52,4.7161487750284215e-51,3.897056725410019e-16,2.4359066290120584e-16,7.120465169643893e-17,7.491035794335714e-17,2.6938487548171688e-14,5.086882148743283e-33,2.3328361434019995e-51,9.421254797785058e-32,4.275593573745203e-40,1.8419304562372375e-34,1.5454027942677664e-84,1.361728269705101e-82,4.231968164669615e-37,1.3429501110860163e-84,1.1110690668000812e-38,3.2740753929810114e-101,1.10770485087097e-82,7.41526530281234e-86,2.2165692335749807e-102,2.008704206429174e-101,2.6959016038310017e-98,1.368178932362012e-84,6.851462758443298e-83,1.0395033716250002e-39,4.246013681247455e-35,2.3912204653383727e-40,4.331503492118758e-50,7.576706575429712e-34,1.0021966606207164e-67,8.54046329906326e-24,3.7929619644374517e-22,3.878366597415807e-22,7.171098179673627e-34,6.435801252311488e-35,1.852697410137317e-47,3.527463915220225e-20,1.077986908651798e-20,8.385520651880739e-33,2.3921200366099203e-44,3.3846734121689723e-47,4.155920595632288e-33,8.079919220044154e-34,9.30686605553031e-53,1.2161877054330797e-56,2.8216714590629328e-39,1.823617106035144e-62,1.3407686732085146e-66,9.716115681381083e-36,2.212696640449727e-35,1.4987853799353143e-35,8.681307287439873e-67,9.065222179337275e-63
2.1665430281378923e-20,0.7439561594408478,1.1085048131058234e-24,1.518437539873546e-25,7.931975693715648e-38,1.1594792433495984e-37,0.0,0.0,9.27565630182866e-20,1.2090750427225337e-35,6.931870199192535e-49,9.908335536702823e-60,1.4146526377678366e-51,1.3225828588173115e-75,1.1072867565677183e-54,2.3440783940490483e-46,4.16798122142392e-36,1.7163066179039476e-34,2.238832524372235e-97,1.719804487837945e-56,1.387382776480724e-93,4.441536752054773e-100,1.992386154086851e-34,3.938142666758164e-86,9.337827723352384e-53,2.4410430244707116e-100,4.2270349349764e-102,1.7547307316656188e-82,5.189826658912116e-85,1.3754435476121518e-85,3.341898284497873e-54,5.060400162869615e-101,8.123374278797955e-103,1.981861734251727e-101,3.76,0.0,0.7135130151315681,0.9999999999999457,5.041316222672618e-51,3.8192595524498174e-50,7.849001573713135e-16,4.90612180210154e-16,1.4341218581117292e-16,1.5087579134998621e-16,5.4256390412903013e-14,2.056199096772495e-32,1.8891911917902752e-50,3.808221822081064e-31,1.728263283347849e-39,7.445377403509597e-34,5.072166711103228e-83,4.46932853013678e-81,1.710629195531374e-36,4.407696733489757e-83,4.491118812713923e-38,2.1500317602705105e-99,3.6355982343272233e-81,2.433764321005538e-84,1.4555847618012098e-100,1.3190831982873444e-99,1.7703544894954587e-96,4.490500251030636e-83,2.2487186805723192e-81,4.2018388553117946e-39,1.7163066179039476e-34,9.665695444752341e-40,3.507764221252829e-49,3.0626259389035793e-33,1.6246041685101174e-66,1.7201214814811804e-23,7.639345928380337e-22,7.8113580764788275e-22,2.8986725402076134e-33,2.6014537657828964e-34,1.500363245644102e-46,7.104610420794877e-20,2.1711567315082182e-20,3.3895615204284864e-32,9.669699082999053e-44,2.7409963496033406e-46,1.6798895522073625e-32,3.266032535533924e-33,7.536941954455907e-52,9.849003356791993e-56,1.1405647183977446e-38,2.9561637032613128e-61,2.1734451125051973e-65,3.9274093057268503e-35,8.944073600454227e-35,6.05833014084643e-35,1.4072781733965691e-65,1.4695124694845097e-61
4.348236706822203e-20,0.7439561594408481,2.2247614517232293e-24,3.047493524117549e-25,3.1894125533222993e-37,4.662215120077954e-37,0.0,0.0,1.8616177333040068e-19,4.861637569734876e-35,5.579372195745601e-48,1.595706892476264e-58,1.1386355182209415e-50,2.129978921147411e-74,8.912407134484937e-54,1.8867182217254705e-45,1.6759269177037768e-35,6.901193424891622e-34,1.1559322185821853e-95,1.3842482714860202e-55,4.48378146288091e-92,2.8793137490793097e-98,8.011297097182682e-34,1.2742999476708162e-84,7.515896124467572e-52,1.5845018890139217e-98,2.7415183956612616e-100,5.686309287498709e-81,1.6817941920566703e-83,4.4572066119077705e-84,2.6898504780184536e-53,3.2847489990441837e-99,5.272951681685198e-101,1.286443392410413e-99,3.76,0.0,0.7135130151315673,0.9999999999998911,4.057689901768512e-50,3.0740723559116506e-49,1.575289127031936e-15,9.846552148301144e-16,2.878272540407476e-16,3.0280665816107224e-16,1.088921961392835e-13,8.267886133219849e-32,1.5205854270750686e-49,1.531269245419959e-30,6.94927065040256e-39,2.993753508037024e-33,1.643665786327582e-81,1.4483124886950953e-79,6.8783647592069e-36,1.4283403385957951e-81,1.8058591219727776e-37,1.393741801334631e-97,1.1781372282567494e-79,7.886758015306612e-83,9.435717952564416e-99,8.550856907603004e-98,1.1476188867891303e-94,1.4551733108554747e-81,7.287106612719387e-80,1.689540943397456e-38,6.901193424891622e-34,3.8865336275411006e-39,2.823353970289362e-48,1.231468420114297e-32,2.6163750847766513e-65,3.452271784995079e-23,1.5332113856285184e-21,1.5677341034585142e-21,1.1655434795829964e-32,1.0460331176036487e-33,1.207623207665939e-45,1.4258903431941804e-19,4.357496377215799e-20,1.3629277795296696e-31,3.888438957396337e-43,2.2061923501530126e-45,6.75476200519387e-32,1.313257318004017e-32,6.066386794158819e-51,7.927334745857734e-55,4.5861605688134815e-38,4.760811941496037e-60,3.500267402073354e-64,1.579194008449735e-34,3.5963726572790048e-34,2.436027904116629e-34,2.2663787953616364e-64,2.3666052408090057e-60
8.711624064190826e-20,0.7439561594408481,4.457274860219564e-24,6.105605492712962e-25,1.2790970942529258e-36,1.8697568486379918e-36,0.0,0.0,3.72972193954609e-19,1.949734107518379e-34,4.477094810819255e-47,2.561462958150947e-57,9.136832999842682e-50,3.419087887551901e-73,7.151645441501731e-53,1.5139725515448832e-44,6.721216516759693e-35,2.7676872269677743e-33,6.498221071827402e-94,1.1107720610608859e-54,1.4419169649042302e-90,1.854712956784599e-96,3.2128884499311456e-33,4.100452807672102e-83,6.031033305379643e-51,1.0212530947502392e-96,1.7662458312269316e-98,1.8310821945505543e-79,5.415645270663572e-82,1.4352915488801398e-82,2.158435607863604e-52,2.117107032617607e-97,3.3985559037102145e-99,8.291465673229391e-98,3.76,0.0,0.7135130151315657,0.9999999999997818,3.25604063017228e-49,2.4667494673500057e-48,3.1560670663531774e-15,1.9727412840782905e-15,5.7665739050032385e-16,6.066683917745558e-16,2.1816380757971583e-13,3.3157921296820733e-31,1.220174042107476e-48,6.141074550475478e-30,2.786968344410772e-38,1.2006290556574396e-32,5.2928657293774876e-80,4.663796983398329e-78,2.758531910969749e-35,4.59948347855036e-80,7.242302769653957e-37,8.977046633430094e-96,3.793789595879907e-78,2.539661746408632e-81,6.077515935735934e-97,5.5075797498159666e-96,7.391776765982181e-93,4.6858899245773e-80,2.34656443988678e-78,6.77581500938018e-38,2.7676872269677743e-33,1.55867381449338e-38,2.265563815133084e-47,4.938739152366263e-32,4.1998615747321375e-64,6.916572393479636e-23,3.071764971217118e-21,3.140930695071885e-21,4.67435065511407e-32,4.19506065127045e-33,9.69041706160512e-45,2.8567489454226154e-19,8.730175668609922e-20,5.465949980250508e-31,1.5596749425247727e-42,1.7703304305262477e-44,2.7089616781931967e-31,5.266749213877657e-32,4.86789343861825e-50,6.361186888064217e-54,1.8392555091349222e-37,7.6421586712057945e-59,5.618705213854617e-63,6.333274285591546e-34,1.4423062872682965e-33,9.769561435507067e-34,3.6380404382470396e-63,3.798926104195895e-59
