Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42)
0.0,0.7347283421342172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.981577599460425,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9045770308082556e-22,0.7347283421342172,6.510222725523353e-27,2.3170414762053686e-28,4.524114813101429e-38,1.3960015083236835e-41,0.0,0.0,6.565583766612101e-22,1.4137652568048698e-39,5.529827447463725e-54,5.035993995284132e-54,1.1007717190836319e-57,1.4637601949880737e-68,2.133365063537505e-45,4.800408532870264e-39,1.0746688878635494e-40,1.336891738224533e-38,2.1109823993008152e-95,9.794778243488653e-64,5.013422757631957e-92,2.935049202241965e-91,1.7351901470181918e-25,1.4372646030734874e-92,3.3157440264435313e-59,1.2870849742653219e-96,2.7878026746237743e-99,1.2141675023714296e-79,1.4152672577570095e-95,2.7900059845254408e-96,2.1830555941114988e-60,1.205183809391e-112,7.355020205927443e-114,1.967183336457221e-113,3.76,0.0,0.981577599460425,0.9999999999999994,7.797349613119077e-53,2.0983008890893087e-56,4.5823877964327525e-18,2.893427066508875e-18,8.876031640926633e-19,8.013575658312137e-19,4.821505986382624e-16,5.451279478424796e-37,3.161185725986446e-57,1.9108969679046028e-35,1.6130744302190008e-43,9.910768261911883e-38,1.129169411718709e-93,7.589766272971371e-92,6.688741298009295e-41,7.699947701324216e-94,1.0995499109524519e-42,1.4263906311721902e-111,5.802043345094575e-92,4.4027486457174186e-95,8.443017073437176e-94,3.533024378038698e-92,9.951052819682523e-113,9.560905981784946e-112,1.2315666724633279e-108,4.307158311956722e-43,1.3368917382245325e-38,3.870104818935163e-44,5.03207822979909e-22,1.5335706390402125e-22,3.342379284907315e-36,5.906449770758517e-52,1.079807613370237e-36,4.2113032798157e-26,2.317036132586199e-24,1.1391635703565298e-38,1.4294538400480833e-37,1.8942978919008684e-52,1.908146005840916e-37,9.07532073325619e-43,3.1835521532175298e-21,5.968321210257668e-48,7.20342063210411e-38,1.6498588266838433e-62,1.038840113019404e-68,7.008645767017785e-73,7.447621455736829e-39,4.8217487633759655e-39,1.8806514222127463e-55,2.359149165383971e-24,5.028773071622502e-73,4.310026910849501e-69,2.1479501326674873e-42,3.1835521532175298e-21,9.113580290957959e-59,1.1109818439218839e-38,1.7351901470181784e-25
8.1328156862631165e-22,0.7347283421342172,1.8228623635564492e-26,6.4877161333773e-28,2.7325653471132773e-37,8.431849111858677e-41,0.0,0.0,1.838363454651387e-21,8.53914215110141e-39,6.565011146294038e-53,5.978732071201341e-53,1.3068361849626795e-56,1.737776103489558e-67,1.28855249837645e-44,2.899446753853652e-38,6.491000082697453e-40,8.074826098881469e-38,1.284213613313631e-93,1.1628360730685873e-62,2.394972212394094e-90,1.4021082267685319e-89,4.858532411650979e-25,7.359709340075751e-91,3.936451308194593e-58,6.148559372276123e-95,1.3330005314290382e-97,3.817536894257422e-78,6.760933838864838e-94,1.332819338879998e-94,2.5917236013307085e-59,9.299738207289222e-111,5.839403995217415e-112,1.517966792286591e-111,3.76,0.0,0.981577599460425,0.9999999999999987,9.257013460784362e-52,2.4911028155273956e-55,1.2830685830011707e-17,8.101595786225256e-18,2.485288859459472e-18,2.2438011843269796e-18,1.350021676185938e-15,3.292572804968712e-36,3.7529596938912425e-56,1.1541817686131548e-34,9.742969558517662e-43,5.986104030195844e-37,5.394177780115522e-92,3.625722425793745e-90,4.039999744000032e-40,3.678357416301868e-92,6.641281462155793e-42,1.2407909644694117e-109,2.771705730471914e-90,2.103245861044963e-93,4.033330572192145e-92,1.6877681416817134e-90,8.656237748470694e-111,8.316856192886168e-110,1.071317187418539e-106,2.6015236208103428e-42,8.074826098881468e-38,2.3375433106440176e-43,1.408981904343741e-21,4.2939977893124915e-22,2.0187970880839853e-35,7.012139498776282e-51,6.522037984756159e-36,1.1791649183526616e-25,6.487701171241829e-24,6.88054796495238e-38,8.633901193889077e-37,2.2489361419244987e-51,1.1525201875278993e-36,5.481493722886655e-42,8.913946029009085e-21,3.6048781803138263e-47,4.350866061790884e-37,1.9587123990404283e-61,2.3238691332356885e-67,1.5678231288560843e-71,4.4983633592646e-38,2.9123362530791034e-38,2.2327152095702704e-54,6.605617663074767e-24,1.1249286942930136e-71,9.641462992421222e-68,1.2973618801462565e-41,8.913946029009084e-21,1.0819642521539773e-57,6.710330337287602e-38,4.858532411650901e-25
1.8589292997172836e-21,0.7347283421342172,4.166542547204317e-26,1.482906544773023e-27,1.3156125876499159e-36,4.059572388580717e-40,0.0,0.0,4.201973610631738e-21,4.111229366788556e-38,6.44556687370858e-52,5.869954600903239e-52,1.2830595159702704e-55,1.7061588832772193e-66,6.203825604764014e-44,1.3959588013586904e-37,3.1251371259096236e-39,3.887681174764727e-37,5.797554117969032e-92,1.1416793520658742e-61,1.247057065699674e-88,7.300748458452309e-88,1.1105216940916729e-24,3.672967527415222e-89,3.864831237225155e-57,3.2015421178596213e-93,6.935679678745269e-96,8.516714808684471e-77,3.520393811487962e-92,6.939962665334552e-93,2.5445696005010415e-58,1.0135309614579018e-108,6.29028798671762e-110,1.654354464804381e-109,3.76,0.0,0.981577599460425,0.9999999999999969,9.088590709178603e-51,2.4457795163242572e-54,2.9327281897169614e-17,1.851793322565963e-17,5.6806602501931476e-18,5.128688421316838e-18,3.085763831276503e-15,1.5852320723261326e-35,3.6846780822102125e-55,5.5568883826482044e-34,4.690820443069142e-42,2.882051410565548e-36,2.8087371868191145e-90,1.8879061502063986e-88,1.9450859694646636e-39,1.9153130806481495e-90,3.197491141054057e-41,1.2897081023007197e-107,1.4432214275131538e-88,1.0951557593661947e-91,2.100146866983687e-90,8.78817372266457e-89,8.997502624798183e-109,8.644741237473349e-108,1.1135529645041552e-104,1.252521637688565e-41,3.887681174764725e-37,1.1254264813571136e-42,3.2205300670713893e-21,9.814852089856635e-22,9.719638960509974e-35,6.884561162719065e-50,3.1400805396805386e-35,2.695234099111908e-25,1.4829031248554966e-23,3.312687662595197e-37,4.156851766857807e-36,2.208030095016006e-50,5.548888584985183e-36,2.639103269230775e-41,2.0374733780592197e-20,1.7356060619202223e-46,2.0947547198158753e-36,1.9230754483867875e-60,4.591598247374709e-66,3.097770794271494e-70,2.165768319327603e-37,1.4021645403897604e-37,2.192095592122033e-53,1.5098554658454956e-23,2.222681366715607e-70,1.9050007571927238e-66,6.246238986023232e-41,2.037473378059219e-20,1.0622789187495139e-56,3.2307352021239732e-37,1.1105216940916349e-24
3.950224761899228e-21,0.7347283421342172,8.853902921058618e-26,3.1511764076472355e-27,5.745625812639023e-36,1.7729219180257038e-39,0.0,0.0,8.929193922592425e-21,1.7954818761421785e-37,5.701030906189565e-51,5.191908369378246e-51,1.1348516119398334e-54,1.5090782106230568e-65,2.7093736306894773e-43,6.09651883674542e-37,1.3648294875892098e-38,1.697852507553131e-36,2.189046123226478e-90,1.0098024578007277e-60,4.976677384894138e-87,2.9135370568314982e-86,2.3598585999448916e-24,1.4434763736201461e-87,3.4183994615076304e-56,1.277651415723056e-91,2.7671065483322674e-94,1.595086427360482e-75,1.4048952962926992e-90,2.76955691913408e-91,2.2506429953149252e-57,8.291312568469488e-107,5.11918269424693e-108,1.3533646716590008e-107,3.76,0.0,0.981577599460425,0.9999999999999934,8.038755557269284e-50,2.163264284619207e-53,6.232047403148545e-17,3.9350608104534855e-17,1.2071403031660725e-17,1.0898462895289855e-17,6.557248141438487e-15,6.923124937601577e-35,3.2590560360638493e-54,2.426839149219851e-33,2.048604526370135e-41,1.2586675692644213e-35,1.1208932792485446e-88,7.534137852195333e-87,8.494701448508298e-39,7.643511717072247e-89,1.396428386914018e-40,1.0323710341181172e-105,5.75951785788639e-87,4.370479146870234e-90,8.381134837709506e-89,3.5071294348169335e-87,7.20221969038219e-107,6.919845223186289e-106,8.913643509638789e-103,5.470091062038912e-41,1.6978525075531287e-36,4.915033120158926e-42,6.843626392526624e-21,2.0856560690943264e-21,4.244821691831777e-34,6.089316788893097e-49,1.3713556689800876e-34,5.727372460698652e-25,3.151169140318877e-23,1.4467377343511476e-36,1.815406376858979e-35,1.9529820836959708e-49,2.423345427417757e-35,1.1525657331234074e-40,4.3296309283758424e-20,7.57995656145926e-46,9.148344202772219e-36,1.700938455966468e-59,8.170523590713454e-65,5.512330998834986e-69,9.458479248778881e-37,6.123620929487781e-37,1.938884743049438e-52,3.20844286492097e-23,3.955152337578814e-69,3.389855294252567e-65,2.7278966687213195e-40,4.32963092837584e-20,9.395736737510204e-56,1.4109469417798987e-36,2.3598585999447256e-24
8.132815686263117e-21,0.7347283421342172,1.8228623695001472e-25,6.487716133410166e-27,2.398685673906564e-35,7.4016000192238e-39,0.0,0.0,1.8383634546513734e-20,7.4957833915793615e-37,4.792059989580882e-50,4.364111820409519e-50,9.53911160196591e-54,1.2684711648101922e-64,1.1311101566847462e-42,2.545176604127981e-36,5.697894443475056e-38,7.088199996137935e-36,7.594817915877374e-89,8.487998109536115e-60,1.768789089199792e-85,1.0355167027149328e-84,4.858532411651604e-24,5.097149248984535e-86,2.873370721421351e-55,4.540973242116791e-90,9.833613755804175e-93,2.7551151332947178e-74,4.9932157505113286e-89,9.843439069141113e-90,1.8918010489851004e-56,5.9673178734807665e-105,3.6749226525104807e-106,9.740263836877677e-106,3.76,0.0,0.9815775994604249,0.9999999999999865,6.757058417249234e-49,1.818353977677269e-52,1.2830685830011707e-16,8.101595786231118e-17,2.4852888594596787e-17,2.24380118432091e-17,1.3500216761685873e-14,2.8902683794627033e-34,2.7394329711698037e-53,1.0131575723659254e-32,8.552520628949061e-41,5.254689332480133e-35,3.983830273043867e-87,2.677750595194679e-85,3.5463706362372424e-38,2.716623779871815e-87,5.829813627909246e-40,7.34997730978289e-104,2.0470228544462865e-85,1.5533367409126552e-88,2.9787865898757356e-87,1.2464887311257314e-85,5.127628493520525e-105,4.9265916707004864e-104,6.346078626712953e-101,2.283655342245593e-40,7.088199996137915e-36,2.0519295750995646e-41,1.4089819043436834e-20,4.293997789310988e-21,1.7721294968573957e-33,5.1184378307561654e-48,5.725139966087975e-34,1.1791649184145146e-24,6.487701171248646e-23,6.03984525001551e-36,7.578964259916159e-35,1.6416008895542e-48,1.0116990122966686e-34,4.8117350527712725e-40,8.913946029009091e-20,3.1645736676674363e-45,3.819253619141598e-35,1.4297412614783063e-58,1.3780798133884547e-63,9.29736263515952e-68,3.9487288958254604e-36,2.556491194342209e-36,1.6297498561385367e-51,6.605617663069669e-23,6.670950196449051e-68,5.7174930095713686e-64,1.1388431605505054e-39,8.91394602900908e-20,7.897682864209365e-55,5.890425736465779e-36,4.8585324116509115e-24
1.6497997534990894e-20,0.7347283421342172,3.6978065347824196e-25,1.3160795584994052e-26,9.79941364977179e-35,3.0237951257936773e-38,0.0,0.0,3.7292515794356113e-20,3.0622720968495706e-36,3.928820303549012e-49,3.577962538902324e-49,7.82074002705905e-53,1.0399692987082203e-63,4.620954062200738e-42,1.0397876898539718e-35,2.3277757978870253e-37,2.895760980724246e-35,2.529391462439305e-87,6.958973673601482e-59,5.957768793334373e-84,3.487905445321084e-83,9.855880035066132e-24,1.711712612023525e-84,2.3557629191766998e-54,1.5295248505752794e-88,3.312057787957513e-91,4.5776650002329156e-73,1.6818522456376994e-87,3.315541375943389e-88,1.5510127977785243e-55,4.0448423613982874e-103,2.4878475792700913e-104,6.602267993673693e-104,3.76,0.0,0.9815775994604248,0.9999999999999726,5.539844734738032e-48,1.4907964512257122e-51,2.602796268373803e-16,1.6434665737796732e-16,5.0415859720472556e-17,4.5517109738940425e-17,2.7386154001874317e-14,1.1807689401463128e-33,2.2459526593352007e-52,4.139079268215348e-32,3.4939837387704867e-40,2.146712048615375e-34,1.3418637543653524e-85,9.019401481951269e-84,1.4488081201416502e-37,9.150337074281923e-86,2.3816690891526427e-39,4.955303140017734e-102,6.8949367428469935e-84,5.232065946818752e-87,1.0033373620418678e-85,4.198517340985576e-84,3.4570111585083415e-103,3.3214735429011833e-102,4.278481690619817e-99,9.329477234355677e-40,2.8957609807242304e-35,8.38280184285418e-41,2.858220434525624e-20,8.71068122974166e-21,7.239727226276726e-33,4.196404640642512e-47,2.3389064828636035e-33,2.392020263213016e-24,1.316076523312022e-22,2.4674738599225166e-35,3.096254195681851e-34,1.345884295835603e-47,4.1331205744900935e-34,1.9657507721052423e-39,1.80825762302756e-19,1.2929059792438529e-44,1.5602897225962778e-34,1.1721882675019398e-57,2.2635014997259747e-62,1.527095460194984e-66,1.613184597793165e-35,1.0444100691425178e-35,1.3361675577922462e-50,1.3399967259358067e-22,1.0957061867792063e-66,9.391004698130891e-63,4.6525459071426155e-39,1.8082576230275555e-19,6.47499757116729e-54,2.4064311132017437e-35,9.855880035063301e-24
3.3228361232446444e-20,0.7347283421342172,7.44769490732177e-25,2.6506954488393934e-26,3.961079676382619e-34,1.2222663439955356e-37,0.0,0.0,7.51102782900399e-20,1.237819343064949e-35,3.181660543370534e-48,2.8975268289466225e-48,6.3334380514978395e-52,8.421941011140113e-63,1.8678635146303598e-41,4.202988090138657e-35,9.409241954468354e-37,1.1705128876686293e-34,8.256355011843355e-86,5.6355573047151935e-58,1.9553993727218597e-82,1.144765491272625e-81,1.9850575281899605e-23,5.609891046890032e-83,1.907757889241486e-53,5.02005371003226e-87,1.0870229806206356e-89,7.462749293473394e-72,5.520006941461803e-86,1.0881938778975824e-86,1.2560503763883398e-54,2.6633058405405625e-101,1.6370882182117076e-102,4.347229721264008e-102,3.76,0.0,0.9815775994604246,0.9999999999999448,4.486309896366586e-47,1.2072856177202566e-50,5.242251639119067e-16,3.3100805640969353e-16,1.0154180197223867e-16,9.167530552997436e-17,5.5158028481025876e-14,4.772856844788937e-33,1.818830693786844e-51,1.6730820183358803e-31,1.412324091179125e-39,8.677353330280798e-34,4.404131201938268e-84,2.960257877055549e-82,5.856314066216626e-37,3.0032322497066945e-84,9.627087254618532e-39,3.2540665238342977e-100,2.2629872775563472e-82,1.717216432138762e-85,3.2930536859201015e-84,1.3779954307939778e-82,2.2701626854071575e-101,2.1811573500793802e-100,2.8096089480958386e-97,3.771123882140376e-39,1.170512887668617e-34,3.3884625347064766e-40,5.756697494889099e-20,1.75440481105924e-20,2.92641349813881e-32,3.3983573026591138e-46,9.45423396270373e-33,4.81773095324683e-24,2.650689335691152e-22,9.973923856882028e-35,1.2515554507333406e-33,1.0899322784974847e-46,1.6706734191207165e-33,7.945878917352924e-39,3.6419836632808657e-19,5.226734009107913e-44,6.306940527597479e-34,9.49268450077917e-57,3.6692344856469256e-61,2.4754882318690973e-65,6.520750070284239e-35,4.2216724862781905e-35,1.0820631947767897e-49,2.698866645189885e-22,1.7761874366080208e-65,1.5223227507081849e-61,1.880633444220484e-38,3.641983663280847e-19,5.243620910703753e-53,9.727179314765132e-35,1.985057528188815e-23
6.668908862735755e-20,0.7347283421342173,1.4947471820299695e-24,5.319927229612211e-26,1.5927327164126557e-33,4.914679274909397e-37,0.0,0.0,1.5074580328140355e-19,4.977217137191484e-35,2.560877203525777e-47,2.3321816710737335e-47,5.097701958544689e-51,6.778710817997341e-62,7.510597040625919e-41,1.690003025632052e-34,3.7834148066063274e-36,4.706580840491232e-34,2.66831127210481e-84,4.535986801652188e-57,6.336587952305028e-81,3.7096806520670325e-80,3.983996577558419e-23,1.8166277837700547e-81,1.535529520469384e-52,1.6267782584058277e-85,3.5225187718312925e-88,1.2052360043306894e-70,1.7887909916917478e-84,3.526356974859555e-85,1.0109786168706032e-53,1.7287745831401439e-99,1.0623178607552056e-100,2.8218239732073156e-100,3.76,0.0,0.981577599460424,0.9999999999998893,3.610972504737329e-46,9.717284966316123e-50,1.0521162380609591e-15,6.643308544748021e-16,2.037936864758292e-16,1.8399169711032758e-16,1.107017774344277e-13,1.9191447455079585e-32,1.4639531770574157e-50,6.72738921042117e-31,5.6788930541554514e-39,3.4891256097605015e-33,1.4271849068810756e-82,9.592891693207564e-81,2.354798129113548e-36,9.732152704700164e-83,3.8710094437254227e-38,2.1094239733571733e-98,7.333344849784327e-81,5.564741969301947e-84,1.0671336303941997e-82,4.4654761410614255e-81,1.4716157635009766e-99,1.4139187291323481e-98,1.8213077169166152e-95,1.5163523418858118e-38,4.706580840491131e-34,1.362485882491095e-39,1.155365161561442e-19,3.521078187225144e-20,1.176697996766149e-31,2.735293617778968e-45,3.8015058951686855e-32,9.669152335061703e-24,5.319914960468669e-22,4.0104709158993015e-34,5.0324494219367965e-33,8.772724320667238e-46,6.717704339392752e-33,3.1950029654192305e-38,7.309435743787494e-19,2.1021303402224246e-43,2.5359930472147706e-33,7.640538331463633e-56,5.909189833482602e-60,3.986698029171447e-64,2.6219649239429096e-34,1.697515939143095e-34,8.709386221061921e-49,5.416606483683642e-22,2.860495502057666e-64,2.4516541956340676e-60,7.561944371933369e-38,7.309435743787419e-19,4.220522296740575e-52,3.911256020755293e-34,3.9839965775538134e-23
1.3361054341717978e-19,0.7347283421342177,2.994702631785243e-24,1.0658390791529213e-25,6.387570559937443e-33,1.971006254117436e-36,0.0,0.0,3.0201685326411523e-19,1.9960866834909858e-34,2.0549426774285614e-46,1.871428915366108e-46,4.090584808631061e-50,5.439488523023723e-61,3.0120853328890105e-40,6.777668005115929e-34,1.517318554863668e-35,1.8875494241727116e-33,8.580889167402695e-83,3.6398437425173494e-56,2.0404822859426248e-79,1.194576278894979e-78,7.981874676302396e-23,5.847772342467954e-80,1.2321657359414332e-51,5.238485198560551e-84,1.1343001752178505e-86,1.9373816767983793e-69,5.760191879447215e-83,1.1355431338817948e-83,8.112466708937668e-53,1.1142406372745043e-97,6.845856823621454e-99,1.818739695316545e-98,3.76,0.0,0.9815775994604229,0.9999999999997782,2.897578023948651e-45,7.797509212484152e-49,2.1078983863590635e-15,1.3309764506116423e-15,4.0829745548324334e-16,3.686244802641751e-16,2.2178927532162613e-13,7.69662878799644e-32,1.1747302280436253e-49,2.6979839628248168e-30,2.277490109251146e-38,1.399295424503914e-32,4.595762804250456e-81,3.0890639754915254e-79,9.443793707694801e-36,3.133908240964892e-81,1.5524479221521408e-37,1.3586732750922396e-96,2.361453888970342e-79,1.7919355812963661e-82,3.436340324525448e-81,1.4379544689969493e-79,9.478630347782446e-98,9.10700558381485e-97,1.1730985104148162e-93,6.081251215494176e-38,1.8875494241726302e-33,5.4641777777823806e-39,2.3147559857058556e-19,7.054424939539983e-20,4.7190852580639e-31,2.1949008695645023e-44,1.524573890467111e-31,1.9371995105680415e-23,1.0658366210100735e-21,1.6083782099375602e-33,2.018237299955397e-32,7.039559229502824e-45,2.694099896762356e-32,1.2813390891307298e-37,1.4644339904800817e-18,8.434361643199997e-43,1.0170466369943916e-32,6.131050827263896e-55,9.485559019004739e-59,6.399533694365796e-63,1.0515252047343644e-33,6.807798148530288e-34,6.988734046944723e-48,1.0852086160613549e-21,4.591729098233702e-63,3.9354482121419636e-59,3.0326779141754745e-37,1.4644339904800519e-18,3.3867033488945453e-51,1.5685885995056292e-33,7.981874676283924e-23
