Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(923),S(304),S(964),S(1434),S(335),S(220),CF2O(49),S(879),C2H2F3(67),C2H2F3(68),S(133),S(149),CHFCF2(55),C2H3F2(66),C2H3F2(64),C2HF2(72),CF2CH(73),S(234),CF2(43),S(3455),CH2F(46),S(3466),CH2F2(41),C2F(235),S(3986),S(4065),S(3435),C2H3F2(65),CFO(51),F(37),S(4439),CHO2(339),S(215),CHF2(82),S(4798),S(3456),CHF3(42),S(221),CFO3(4550),S(2885),S(4664),S(3782)
0.0,0.7437051524753315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.898910037657541,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.47694670163132e-22,0.7437051524753315,8.568908608649766e-27,5.251188267003677e-28,4.3216226653061606e-38,1.6259935579467792e-41,0.0,0.0,7.834768581916416e-22,1.6445586714776432e-39,6.654577684199507e-54,5.899987597601876e-54,1.8260389805098495e-57,6.246681517058813e-68,5.510714546284268e-45,6.618355430163388e-39,2.386773832704395e-40,1.7863640032850944e-38,4.246973669744953e-95,5.335757619698412e-63,8.824077018935136e-92,5.208529378383802e-91,2.8332585096959993e-25,2.043138129926295e-92,7.908566793211479e-59,3.726087773863628e-96,1.3471771601277735e-98,3.693672668189877e-79,5.1711351972444713e-95,1.1666160727532188e-95,4.1382099385783786e-60,2.9761307628092743e-112,1.837857270490649e-113,5.270637501453831e-113,3.76,0.0,0.898910037657541,0.9999999999999994,6.277591901211908e-53,4.337413291299833e-56,6.020505695666227e-18,3.785221323154781e-18,1.1359606365994326e-18,1.0993237359120133e-18,4.94921131755971e-16,1.1904241953698877e-36,1.061608389405392e-56,3.1326117857350795e-35,1.9926599284349677e-43,1.1762826578618697e-37,4.464688395015945e-93,3.388122193496512e-91,1.2181687433694216e-40,3.3926201191192082e-93,2.4711780083142815e-42,4.530233380910232e-111,2.659818020943216e-91,1.9138192684827063e-94,3.604336993577025e-93,1.6257920649902385e-91,3.1138870833732753e-112,2.915576368390105e-111,3.824643656654309e-108,5.101707241584114e-43,1.7863640032850941e-38,6.978926580793465e-44,6.003013783074497e-22,1.831840487927935e-22,4.023372844217797e-36,6.543290424672012e-52,1.57157654039959e-36,8.191516776229927e-26,4.089171344444102e-24,1.9919232089672756e-38,2.370439389219453e-37,2.5552100264241463e-52,2.8956914627437012e-37,1.2550071865843696e-42,3.970054361996837e-21,8.743160673460676e-48,8.565607710463874e-38,5.502048234601955e-62,1.1323967572332566e-68,7.942499071339701e-73,6.613377708845076e-39,8.00311508462056e-39,3.7169073999061654e-55,4.171086512205842e-24,5.450834910841595e-73,5.091411586313395e-69,4.220049794364705e-42,3.970054361996837e-21,1.36478330170159e-58,1.0020792256934879e-38,2.8332585096959405e-25,3.0460048728461297e-41,3.9634128115421235e-74,4.3551145961218474e-38,1.7051058608775118e-51,6.043070199517242e-58
6.935450764567696e-22,0.7437051524753315,2.399294411044415e-26,1.4703327147615394e-27,2.6102600898449445e-37,9.821001092126403e-41,0.0,0.0,2.193735202936595e-21,9.93313437572496e-39,7.900314628558524e-53,7.004465275873052e-53,2.167873477767773e-56,7.416060297051127e-67,3.328471585955218e-44,3.997486679818755e-38,1.4416113949537633e-39,1.078963857984818e-37,2.583641353917904e-93,6.334611446113006e-62,4.215367480870727e-90,2.488176996734261e-89,7.93312382714899e-25,1.0239139107140758e-90,9.389050496902357e-58,1.7799968426312548e-94,6.441357053270047e-97,1.1613497856419277e-77,2.4703226146879143e-93,5.573069807703731e-94,4.912882839082812e-59,2.2965247225721006e-110,1.4866903981806375e-111,4.067060020843198e-111,3.76,0.0,0.898910037657541,0.9999999999999987,7.452757105237069e-52,5.149377059432171e-55,1.685741594786544e-17,1.0598619704833893e-17,3.1806897824784326e-18,3.07810646055311e-18,1.3857791689156799e-15,7.190162140034403e-36,1.2603414799021235e-55,1.8920975185822923e-34,1.2035665967741904e-42,7.104747253486988e-37,2.132835222561946e-91,1.6185466292996304e-89,7.357739209955094e-40,1.6206953423472446e-91,1.492591517022422e-41,3.940766661760715e-109,1.2706269864208784e-89,9.142544303861733e-93,1.7218350338779898e-91,7.766603789506501e-90,2.708713078304489e-110,2.536206236257945e-109,3.326987143201565e-106,3.081431174433161e-42,1.078963857984818e-37,4.2152716548102706e-43,1.680843859260854e-21,5.129153366198091e-22,2.4301171979075084e-35,7.768198831325895e-51,9.492322304013412e-36,2.2936246973514205e-25,1.1449679764444113e-23,1.2031216182160646e-37,1.4317453910883455e-36,3.033594380102439e-51,1.7489976434971727e-36,7.58024340696947e-42,1.1116152213591144e-20,5.280880333521074e-47,5.17362705712018e-37,6.532031664124555e-61,2.5331653671051076e-67,1.776732708502003e-71,3.9944801361420404e-38,4.833881511110849e-38,4.412727791285522e-54,1.1679042234175875e-23,1.2193487953532042e-71,1.1389459943451648e-67,2.5489100758185026e-41,1.1116152213591144e-20,1.6202707357929473e-57,6.052558523188138e-38,7.9331238271486345e-25,1.839786943201356e-40,8.866025339483415e-73,2.6304892160574703e-37,2.0243016771102752e-50,7.174332940868376e-57
1.585245889044045e-21,0.7437051524753315,5.484101513893214e-26,3.3607604908859185e-27,1.2567278710710662e-36,4.72838926970102e-40,0.0,0.0,5.014251892426499e-21,4.78237661665698e-38,7.756575751368791e-52,6.877025543765076e-52,2.1284310360123027e-55,7.281131976280349e-66,1.6025157900587444e-43,1.9246177590916174e-37,6.940738305509016e-39,5.194746521562195e-37,1.1663792080507686e-91,6.219359081541608e-61,2.1949331079233198e-88,1.2955885992969787e-87,1.813285446205574e-24,5.177085893901523e-89,9.218225454172534e-57,9.268406656417698e-93,3.351573840851762e-95,2.590907486006664e-76,1.286288872166707e-91,2.9018838467884074e-92,4.823497504414753e-58,2.502861013136978e-108,1.5894416291553623e-109,4.432480959579723e-109,3.76,0.0,0.898910037657541,0.9999999999999969,7.317161120220679e-51,5.0556889323422196e-54,3.8531236452263856e-17,2.4225416468194145e-17,7.270148074236517e-18,7.035671909833191e-18,3.1674952432309423e-15,3.461753560136055e-35,1.2374107386910562e-54,9.109635072892166e-34,5.79465507188087e-42,3.4206299690642256e-36,1.1105628785630584e-89,8.427738742801534e-88,3.542434705723861e-39,8.43892704712229e-90,7.186185648186592e-41,4.096128065473818e-107,6.616128375456651e-88,4.760503864563704e-91,8.965559324076124e-90,4.0440544913519425e-88,2.8155018080665745e-108,2.636194029189989e-107,3.458150806906833e-104,1.4835764666123674e-41,5.194746521562192e-37,2.029471849711266e-42,3.841928821167643e-21,1.1723779122737896e-21,1.1699968230984752e-34,7.626865622598004e-50,4.570144579481843e-35,5.242570736836442e-25,2.6170696604446643e-23,5.792512691674284e-37,6.8932377438471e-36,2.9784224389583133e-50,8.420670773658348e-36,3.6495608985871624e-41,2.540834791677976e-20,2.542528053968603e-46,2.490878722202895e-36,6.413187422267347e-60,5.005145605947815e-66,3.5105508800881856e-70,1.92317023773157e-37,2.3273058666077043e-37,4.332449028419219e-53,2.669495367811401e-23,2.4092458962305062e-70,2.250382313879509e-66,1.2271904802345483e-40,2.5408347916779758e-20,1.590791416503069e-56,2.914046388315869e-37,1.8132854462054024e-24,8.857782170270292e-40,1.7517800380295924e-71,1.2664673245520457e-36,1.9874713885759576e-49,7.043802624561781e-56
3.3686475142185954e-21,0.7437051524753315,1.1653715729550506e-25,7.141616043142821e-27,5.488460784939184e-36,2.0650118218905885e-39,0.0,0.0,1.0655285271406285e-20,2.0885895127765993e-37,6.860603411988334e-51,6.08265121362432e-51,1.8825731480394162e-54,6.440078776819802e-65,6.9986074737735716e-43,8.405311396308578e-37,3.031202767539372e-38,2.2686822841814328e-36,4.4040259594250635e-90,5.500952675648082e-60,8.759401842953583e-87,5.1703539892891154e-86,3.853231573187232e-24,2.044403809695541e-87,8.153416021140292e-56,3.6987777921142735e-91,1.3371809143703727e-93,4.85248298001123e-75,5.133237033892455e-90,1.1580653756440786e-90,4.2663289182929907e-57,2.047494272629341e-106,1.289120114225888e-107,3.626044639207042e-107,3.76,0.0,0.898910037657541,0.9999999999999933,6.471946146642899e-50,4.471699606805057e-53,8.18788774610607e-17,5.147900999492275e-17,1.5449064657753025e-17,1.4950802808384915e-17,6.730927391844846e-15,1.511838728120193e-34,1.0944757851416588e-53,3.978416967857256e-33,2.530678109104096e-41,1.493878975486532e-35,4.4319649150707144e-88,3.363289296113218e-86,1.5470743040848873e-38,3.3677542546875796e-88,3.1383960705679592e-40,3.2788225175060983e-105,2.640323154997316e-86,1.8997921246107354e-89,3.577919371820574e-88,1.613875987231057e-86,2.253721216427489e-106,2.110190942582554e-105,2.768141658069736e-102,6.479168204592934e-41,2.2686822841814305e-36,8.863236757778471e-42,8.16409874498114e-21,2.4913030635815462e-21,5.1096835121559786e-34,6.745877044211314e-49,1.995902206307309e-34,1.1140462815919145e-24,5.561273028446173e-23,2.5297424753858032e-36,3.0104580243055323e-35,2.6343894513665198e-49,3.6775281576841544e-35,1.5938591269619591e-40,5.399273932315701e-20,1.1103988999932847e-45,1.0878321792289118e-35,5.6723916479769335e-59,8.906419788110068e-65,6.246859189952358e-69,8.398989690227267e-37,1.016395615746858e-36,3.8320047693621955e-52,5.672677656598256e-23,4.2871390792408345e-69,4.004448851465354e-65,5.3594632391870145e-40,5.399273932315697e-20,1.4070369928055865e-55,1.2726406166299098e-36,3.853231573186482e-24,3.8684261885491496e-39,3.117201282053875e-70,5.530995537072806e-36,1.7578959323182514e-48,6.23016365290356e-55
6.935450764567697e-21,0.7437051524753315,2.3992944200703857e-25,1.4703327147689204e-26,2.29132433714565e-35,8.621017873917436e-39,0.0,0.0,2.1937352029365786e-20,8.719450076174392e-37,5.766750550274172e-50,5.112834852281475e-50,1.5824161651433572e-53,5.413274255765922e-64,2.9217808524332154e-42,3.5090520490735956e-36,1.2654674861041817e-37,9.471301945501485e-36,1.5279611929684986e-88,4.6238821811877485e-59,3.11322860805957e-85,1.837624786903944e-84,7.933123827151777e-24,7.233941219596204e-86,6.85343744594831e-55,1.31460355898319e-89,4.752031933772331e-92,8.38145762070199e-74,1.8244322168626653e-88,4.115945288230965e-89,3.5861065214423125e-56,1.4735959905969242e-104,9.23864883373597e-106,2.6096906627802476e-105,3.76,0.0,0.8989100376575409,0.9999999999999862,5.440060700270818e-49,3.758732959639715e-52,1.6857415947865439e-16,1.0598619704841236e-16,3.1806897824787393e-17,3.0781064605454587e-17,1.3857791689006168e-14,6.311629083855064e-34,9.199728445249827e-53,1.6609107687730732e-32,1.056508294048725e-40,6.236650652001189e-35,1.575189745945081e-86,1.1953656929511947e-84,6.458730677395968e-38,1.1969526091771434e-86,1.310218580016116e-39,2.3343614175560216e-103,9.384122030289164e-85,6.752158763563771e-88,1.2716485834903463e-86,5.735968029998696e-85,1.60453938127495e-104,1.5023528396971865e-103,1.970781599344474e-100,2.7049251864612407e-40,9.471301945501465e-36,3.7002268732903865e-41,1.6808438592607807e-20,5.129153366196246e-21,2.133192282003714e-33,5.670316431539093e-48,8.332498817197089e-34,2.293624697453519e-24,1.14496797644532e-22,1.056117685392076e-35,1.256806964161298e-34,2.214366451220496e-48,1.5352956135463984e-34,6.654048103268617e-40,1.1116152213591155e-19,4.6357812392428614e-45,4.541485208087944e-35,4.767986967391468e-58,1.502200324605996e-63,1.0536258256578012e-67,3.506412861224279e-36,4.2432516178662434e-36,3.22103196175093e-51,1.1679042234168876e-22,7.230898463855842e-68,6.75409929907581e-64,2.2374704012815446e-39,1.1116152213591136e-19,1.1826993728728892e-54,5.313024054619494e-36,7.933123827148648e-24,1.614991783613996e-38,5.25761742310017e-69,2.3090817588620568e-35,1.4776174464351405e-47,5.236827945795137e-54
1.40690572652659e-20,0.7437051524753315,4.8671401302365625e-25,2.9826749356912273e-26,9.360807557962493e-35,3.521967111387169e-38,0.0,0.0,4.450148554528447e-20,3.5621798647673726e-36,4.727930513563594e-49,4.191810916372105e-49,1.2973603788487671e-52,4.438129291120337e-63,1.1936428135776814e-41,1.4335622595959295e-35,5.16984759262753e-37,3.8693358857465495e-35,5.088748722178134e-87,3.790937975401447e-58,1.0486211363962647e-83,6.189626379734755e-83,1.609290833508579e-23,2.431598354569456e-84,5.618862085455847e-54,4.427946840696316e-88,1.6005343459506829e-90,1.3925917192183318e-72,6.145189204704737e-87,1.3863636617934108e-87,2.940106789734207e-55,9.98851175747773e-103,6.249156825007176e-104,1.7689333086153821e-103,3.76,0.0,0.8989100376575406,0.999999999999972,4.4600904367095606e-48,3.081636373403357e-51,3.4196472351384165e-16,2.1500057115552118e-16,6.452256415886155e-17,6.244158819945885e-17,2.811152028306287e-14,2.5785064241423102e-33,7.542493203601436e-52,6.785362432173242e-32,4.31618111132377e-40,2.5478752882499607e-34,5.305672886291864e-85,4.026320868652232e-83,2.638602224931248e-37,4.0316660396654793e-85,5.352670413195586e-39,1.573810091489331e-101,3.1608307472224302e-83,2.2743130323129238e-86,4.2832626531050536e-85,1.9320320063811753e-83,1.081769194540786e-102,1.0128757450789719e-101,1.3286871286911407e-98,1.1050502012479259e-39,3.8693358857465313e-35,1.5116634132363127e-40,3.409711828785982e-20,1.0404853971422383e-20,8.714786515484757e-33,4.648868118551219e-47,3.404097649565826e-33,4.6527815293569834e-24,2.3226493236483295e-22,4.314585347531382e-35,5.13446653460072e-34,1.815472749513895e-47,6.272183535958722e-34,2.7183957664277574e-39,2.254990877614208e-19,1.8939368823282715e-44,1.8553448925173146e-34,3.909083785556576e-57,2.467370500494083e-62,1.7305849547476492e-66,1.432484065242123e-35,1.7335067397895088e-35,2.6407970296289017e-50,2.3691771389297756e-22,1.1876781857481374e-66,1.1093637176924533e-62,9.140796659204801e-39,2.2549908776142e-19,9.696484017005457e-54,2.1705436860148741e-35,1.6092908335073001e-23,6.597768395041371e-38,8.635653876354846e-68,9.433352419768974e-35,1.21144004687325e-46,4.293467945795267e-53
2.83362702666623e-20,0.7437051524753315,9.80283161431095e-25,6.007359377587968e-26,3.783788081365731e-34,1.4236354283463888e-37,0.0,0.0,8.962975257712063e-20,1.4398900556948566e-35,3.828800709787612e-48,3.394637160117057e-48,1.0506360729231472e-51,3.5941121662030247e-62,4.824895099523407e-41,5.794687860175432e-35,2.089735055706695e-36,1.5640474304065219e-34,1.6610523377041125e-85,3.0699998592964304e-57,3.441679567404123e-82,2.0314973539236651e-81,3.24124773509735e-23,7.9728732347072e-83,4.55030019566778e-53,1.4532964898825604e-86,5.252986033617219e-89,2.2702759743556322e-71,2.0169124757859243e-85,4.550184245799245e-86,2.3809747057844997e-54,6.576884112668205e-101,4.110452890438293e-102,1.164745124109083e-101,3.76,0.0,0.8989100376575403,0.9999999999999435,3.6118968713031506e-47,2.495589032017453e-50,6.887458515842162e-16,4.3302931937025725e-16,1.2995389682703152e-16,1.2576263538692702e-16,5.661897747011248e-14,1.0422735234104441e-32,6.10810654862548e-51,2.742751983611955e-31,1.744669414969117e-39,1.029891928537838e-33,1.7413749666977816e-83,1.321478824380218e-81,1.0665652069552322e-36,1.3232331631016677e-83,2.1636349628781765e-38,1.033495346073166e-99,1.0374163004317123e-81,7.464523097751234e-85,1.4058096908457934e-83,6.341122498055434e-82,7.103801367927465e-101,6.651389353443207e-100,8.725271056220309e-97,4.466789620369806e-39,1.5640474304065073e-34,6.110385211030938e-40,6.867447767835864e-20,2.095625518186162e-20,3.522656047005288e-32,3.764773981068956e-46,1.375990696792709e-32,9.37109519388494e-24,4.678012018060767e-22,1.744024381748349e-34,2.0754334663324205e-33,1.4702174389669382e-46,2.535316868820146e-33,1.0988190321983781e-38,4.5417421901244e-19,7.656153405603554e-44,7.4996006996812024e-34,3.165677399466027e-56,3.999715471479977e-61,2.8053538845476866e-65,5.790329626186407e-35,7.007111406112298e-35,2.138586069775224e-49,4.7717229699506095e-22,1.9252782724024903e-65,1.798327095284919e-61,3.694856159510698e-38,4.541742190124368e-19,7.852464157449738e-53,8.773684618923417e-35,3.24124773509218e-23,2.6669234746257657e-37,1.3998768245145951e-66,3.8131118743931234e-34,9.810555431129123e-46,3.476961658202251e-52
5.687069626945511e-20,0.7437051524753318,1.967421483742784e-24,1.205672826158994e-25,1.521444545813521e-33,5.724375528176596e-37,0.0,0.0,1.7988628664078804e-19,5.789734585283488e-35,3.081751909389958e-47,2.732299313223469e-47,8.45643317646088e-51,2.8928541520221367e-61,1.9400690988396887e-40,2.330018502616206e-34,8.402732749232689e-36,6.288965928597653e-34,5.368234129841444e-84,2.471002970893663e-56,1.115296731029603e-80,6.5831879854743784e-80,6.505161538282765e-23,2.5824051700537607e-81,3.662477464689388e-52,4.709493701227469e-85,1.7022410012252286e-87,3.666501762889015e-70,6.535924578503079e-84,1.4745142470470769e-84,1.9164155834002535e-53,4.269111509078136e-99,2.66675056335057e-100,7.560460164832983e-100,3.76,0.0,0.8989100376575396,0.9999999999998864,2.9071688299530407e-46,2.008667164334004e-49,1.3823081077249645e-15,8.690868158018033e-16,2.608165621634582e-16,2.52404729759702e-16,1.1363389183995657e-13,4.190935996789645e-32,4.916335543605235e-50,1.1028485094814882e-30,7.015238984028449e-39,4.141150148407885e-33,5.643029137232379e-82,4.282330716997686e-80,4.2886117880705785e-36,4.2880157564326926e-82,8.699881025833445e-38,6.699555289953756e-98,3.361809215327084e-80,2.418923100496703e-83,4.555609905257214e-82,2.054878455313683e-80,4.604985422882128e-99,4.311712761700727e-98,5.656090865431372e-95,1.79607648047877e-38,6.2889659285975335e-34,2.4569590193428586e-39,1.3782919645933527e-19,4.205905760268794e-20,1.4164445032950757e-31,3.030217647317337e-45,5.532798073529681e-32,1.8807722525824944e-23,9.38873740691131e-22,7.012645333963564e-34,8.345226687161295e-33,1.1833591154416673e-45,1.0194397622230057e-32,4.4183030006480535e-38,9.115244815144813e-19,3.0789541232031585e-43,3.015556456899631e-33,2.5480125789301108e-55,6.441419713031605e-60,4.517936823912384e-64,2.3282660758793406e-34,2.8175286780033882e-34,1.7213201888343063e-48,9.576814631972507e-22,3.1006019065081745e-64,2.8961509098320534e-60,1.4856854120525699e-37,9.115244815144682e-19,6.3203463063247255e-52,3.5278599971812567e-34,6.505161538261979e-23,1.0723581996793385e-36,2.254458564082927e-65,1.5332355140132105e-33,7.896388259696034e-45,2.798561231387068e-51
1.1393954827504072e-19,0.7437051524753319,3.9416982303534096e-24,2.415546603042788e-25,6.101673111424485e-33,2.2957306835740577e-36,0.0,0.0,3.603993547681032e-19,2.3219425209069215e-34,2.4729118253504975e-46,2.192498124666158e-46,6.785755102850688e-50,2.3213332713591403e-60,7.780544803306402e-40,9.344416321759125e-34,3.369871653948526e-35,2.5221566184345902e-33,1.7263436456832603e-82,1.982824266100202e-55,3.5914331819771663e-79,2.1198914258198632e-78,1.3032989144685088e-22,8.313759671691706e-80,2.938907510712569e-51,1.5165320115607301e-83,5.4814547607108974e-86,5.893794499834107e-69,2.1046718171696078e-82,4.7481707929927415e-83,1.5378028141484204e-52,2.751554469373035e-97,1.718347425423517e-98,4.872915229282235e-98,3.76,0.0,0.8989100376575382,0.9999999999997724,2.3328198989424167e-45,1.6118288979826337e-48,2.7694326200064592e-15,1.7412018086731896e-15,5.225418928366583e-16,5.056889184966062e-16,2.2766372056262423e-13,1.6807527789154057e-31,3.945049653763961e-49,4.422915783531755e-30,2.813424596656195e-38,1.66078642701884e-32,1.8171452967846355e-80,1.3789787242558471e-78,1.7199251399833987e-35,1.380809397846747e-80,3.4890414032273195e-37,4.3151622634641975e-96,1.0825561334063817e-78,7.789317808513601e-82,1.4669789775035058e-80,6.617036044350978e-79,2.96605647094965e-97,2.7771604822689332e-96,3.643070145303112e-93,7.203070160232825e-38,2.522156618434495e-33,9.853504572856229e-39,2.7613863402120477e-19,8.426466244413194e-20,5.680575978488455e-31,2.4315588332888615e-44,2.2188994879239383e-31,3.7680977201241344e-23,1.881018818471507e-21,2.8123844270936316e-33,3.3468091508726316e-32,9.495712505287354e-45,4.088409402084837e-32,1.771937116687551e-37,1.8262250065185746e-18,1.2351580603646278e-42,1.2093730132757531e-32,2.044619626573633e-54,1.0339906198754353e-58,7.252289875738574e-63,9.337388306607204e-34,1.1299550169304447e-33,1.3812510734498772e-47,1.918699795593722e-21,4.9771532206166e-63,4.648964060352737e-59,5.958262998439236e-37,1.826225006518523e-18,5.0716798748827134e-51,1.414829646247696e-33,1.3032989144601725e-22,4.3006360053464085e-36,3.6189053576732116e-64,6.148960167497354e-33,6.336353879527833e-44,2.245669141019042e-50
