Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C2H3F3(1),O2(2),H2O(3),CH4(4),HF(38),C2H2F2(59),CH2CF2(57),S(126),O2(207),C2HF(58),C2HF(236),S(130),S(210),CHFO(47),S(307),S(577),S(211),S(863),S(208),S(939),S(578),S(864),S(964),S(1465),S(335),S(923),S(304),S(220),CF2O(49),S(879),CFO(51),CH2F(46),CFO3(3228),C2H3F2(66),C2H3F2(64),F(37),CF2CH(73),C2HF2(72),S(234),C2H2F3(67),C2H2F3(68),S(133),S(3636),S(149),CHFCF2(55),CF2(43),CH2F2(41),C2F(235),S(3631),S(3559),S(3935),S(3617),C2H3F2(65),S(3632),S(4348),CHO2(339),S(215),CHF2(82),S(4704),S(2774),S(4610),CHF3(42),S(221),S(3742),S(2509)
0.0,0.47475553156603345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6069860317275058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.674677713934312e-21,0.4747555315660334,2.9352251579921177e-30,3.23211899899267e-34,7.773090043375607e-39,2.0869733572842318e-44,0.0,0.0,9.709252014016211e-24,1.41300434849137e-41,5.966900527146828e-56,4.547978196064968e-56,1.9231855604846283e-61,6.5519790417610734e-80,3.118393767402701e-53,1.2268669262302425e-42,1.2338758988737048e-47,3.016681261232754e-41,2.5115252880415364e-102,9.396787413054827e-77,2.6908372178392787e-98,1.3702637260540273e-97,1.1258700716539503e-30,6.771723441408515e-96,2.546317469510479e-66,1.8720961824332497e-105,1.926073070468179e-112,3.977133441535481e-90,2.963452321924457e-107,9.392805669808292e-106,3.870091505443877e-66,4.8393984135996804e-120,1.5826913912071362e-119,9.815227251389158e-122,3.76,0.0,0.6069860317275058,0.9999999999999994,1.0524565018902407e-52,3.826242983704753e-63,6.1120743245371046e-21,3.855074871053267e-21,1.8209493143998438e-21,4.360501390839948e-22,4.974937184867385e-16,2.1447268416486698e-43,9.816415623826271e-67,1.0489092885037911e-39,7.594991222868821e-46,7.839541570907593e-39,7.619121262578521e-105,7.335962559263274e-104,7.867398604869189e-46,9.991438824514766e-106,3.6605241054298194e-49,4.129866896208644e-121,4.6680212421788495e-104,4.8081728196203716e-107,4.5364951806710325e-122,6.142410792450038e-121,6.1033462576320136e-118,1.432660439481347e-105,4.0660261702117466e-104,4.1340480932922376e-45,3.016681261232752e-41,4.3374664153434054e-49,6.411688759454432e-61,3.888343835268376e-24,7.195687540621095e-78,4.573942516756641e-32,1.5405253893139948e-29,1.5450993318286202e-29,2.994253505992477e-42,1.0149547057482774e-43,2.4343017283298952e-55,7.477906503471697e-24,2.231348445769479e-24,5.271289376081191e-38,1.0955050251493087e-50,1.7627598433942375e-53,3.8910635855157703e-38,5.731633718372108e-41,9.842004759631837e-41,7.388095286209281e-72,4.933349896478241e-46,8.459836722091387e-70,2.8659368452913662e-74,2.969066424557512e-38,3.9708287674968345e-44,3.136097453073045e-38,3.049082080703784e-74,1.0529795524050566e-70,7.075834095358962e-48,3.888343835268373e-24,5.592586898289841e-62,1.1934261122697417e-38,6.781668973993132e-52,1.1258700716551743e-30,2.839413951789704e-46,4.095598211354796e-61,1.2633623183429232e-63
2.1489097599016074e-20,0.47475553156603345,8.218630443947061e-30,9.049933197323754e-34,4.6949463861987914e-38,1.2605319080018193e-43,0.0,0.0,2.7185905639245496e-23,8.534546264887899e-41,7.083904305823974e-55,5.399359714362699e-55,2.283205897470503e-60,7.778509518364794e-79,1.883509835508975e-52,7.410276234422232e-42,7.452610429203657e-47,1.8220754818032848e-40,1.5278833951483766e-100,1.115586601695694e-75,1.2854452290066726e-96,6.545914250996643e-96,3.1524362006270997e-30,4.11519557898829e-94,3.022988099805704e-65,8.943228534841426e-104,9.222202687000321e-111,1.2504743883513877e-88,1.4157667334718367e-105,4.4870559833179117e-104,4.59457263549575e-65,3.73429662324964e-118,1.2212756143379878e-117,7.573869069722043e-120,3.76,0.0,0.6069860317275058,0.9999999999999987,1.2494763590440774e-51,4.542515670257899e-62,1.7113808108703892e-20,1.0794209638950657e-20,5.0986580803195665e-21,1.2209403894336709e-21,1.3929824117286354e-15,1.2954150123559455e-42,1.165404862860776e-65,6.33541210235995e-39,4.5873746985636333e-45,4.735083108828393e-38,3.639745656608714e-103,3.504477346107758e-102,4.751908757405483e-45,4.7730302238941653e-104,2.2109565596687952e-48,3.5924952234403984e-119,2.2299697636417923e-102,2.2969218540241224e-105,3.946213686032357e-120,5.343170127855251e-119,5.309187153618336e-116,6.843990838811852e-104,1.9423894938251856e-102,2.4969650485001887e-44,1.8220754818032824e-40,2.6198297149294314e-48,7.611957109887032e-60,1.088736273875143e-23,1.609646563436805e-76,1.2807039047281078e-31,4.3134710900807186e-29,4.326278129115125e-29,1.8085291176174442e-41,6.1303264227128144e-43,2.8900032695032974e-54,2.0938138209720545e-23,6.2477756481542364e-24,3.183858783152912e-37,6.64826433969316e-50,2.0927484860891598e-52,2.350202405651483e-37,3.4619067658966937e-40,5.94457087481761e-40,8.771146723788622e-71,2.9797433374729776e-45,1.8924317965446896e-68,6.410986631384157e-73,1.7933161204323975e-37,2.39838057556801e-43,1.894202861655931e-37,6.820675231912073e-73,2.3554733401120407e-69,4.273803799606599e-47,1.0887362738751403e-23,6.639519174198724e-61,7.208293718108773e-38,8.051197099607846e-51,3.1524362006344923e-30,1.715006026926876e-45,4.8622941965502066e-60,7.652720699820911e-63
4.91179373691796e-20,0.47475553156603345,1.8785441022133473e-29,2.0685561594563046e-33,2.2604145846135157e-37,6.068918526014698e-43,0.0,0.0,6.213921288970451e-23,4.109016645412946e-40,6.955019254427643e-54,5.301123385315872e-54,2.241665089495432e-59,7.636986771033457e-78,9.06828907557321e-52,3.5677290214648965e-41,3.588111113934456e-46,8.772509107940032e-40,6.897595989193199e-99,1.095289540918947e-74,6.693286657359232e-95,3.408443979386586e-94,7.205568458557552e-30,1.8589037016456345e-92,2.967987642470255e-64,4.65672118376547e-102,4.793034611849294e-109,2.789739573627797e-87,7.37157780094077e-104,2.3364007473764985e-102,4.5109786594433574e-64,4.0698191296520123e-116,1.3310058910539613e-115,8.254373003707429e-118,3.76,0.0,0.6069860317275058,0.9999999999999969,1.2267432986032115e-50,4.459868821817475e-61,3.911727567703746e-20,2.4672479174751476e-20,1.1654075612159025e-20,2.790720890126965e-21,3.183959798075498e-15,6.236865655516572e-42,1.1442014051135665e-64,3.0502282106646046e-38,2.2086234475360142e-44,2.279738688820234e-37,1.895208017441421e-101,1.8247740885776867e-100,2.287839514390876e-44,2.4853069422422098e-102,1.0644804098414984e-47,3.734126319228417e-117,1.1611406327179076e-100,1.1960024473964026e-103,4.101789833801066e-118,5.553820105719219e-117,5.518497957802079e-114,3.563651840880995e-102,1.011398182443692e-100,1.2021811857512279e-43,8.772509107940009e-40,1.2613352336748847e-47,7.473464722777329e-59,2.4885400545717434e-23,3.180390402430399e-75,2.927323210977988e-31,9.859362491620306e-29,9.888635723668097e-29,8.707289195395943e-41,2.9514882843058226e-42,2.8374224603710237e-53,4.785860162221741e-23,1.428063005292254e-23,1.53289095056422e-36,3.2328495948211725e-49,2.0546728734765545e-51,1.1315212906679234e-36,1.6667590853025196e-39,2.8620549841009106e-39,8.611563865608502e-70,1.434618149896046e-44,3.739126483318946e-67,1.2667029766263232e-71,8.634045162608149e-37,1.1547170055879633e-42,9.119771393533596e-37,1.347650543537782e-71,4.6540185821281606e-68,2.0576525639431547e-46,2.488540054571731e-23,6.518719315143176e-60,3.4704831344797094e-37,7.904712406504393e-50,7.205568458593144e-30,8.25701577247977e-45,4.773829275244184e-59,3.7068760672746e-62
1.0437561690950665e-19,0.47475553156603345,3.9919062203612417e-29,4.3956818391350116e-33,9.87182435508588e-37,2.6504561668841984e-42,0.0,0.0,1.3204582739062426e-22,1.7945155225840833e-39,6.151635767436415e-53,4.688783600978486e-53,1.982727385844561e-58,6.754828312803172e-77,3.960360084566458e-51,1.5581209962993388e-40,1.5670223915796526e-45,3.8311852020474633e-39,2.6044010029147116e-97,9.687711952465783e-74,2.6711149998044406e-93,1.3602205172719823e-92,1.5311832974355078e-29,7.020656800344861e-91,2.6251514583850525e-63,1.8583756840664609e-100,1.9115055225109243e-107,5.2248734813030755e-86,2.941762524594373e-102,9.323962054692587e-101,3.989909539898551e-63,3.329364743516822e-114,1.0888454561201113e-113,6.752589633331396e-116,3.76,0.0,0.6069860317275058,0.9999999999999933,1.0850405551886484e-49,3.944703466503806e-60,8.312421081370461e-20,5.242901824637729e-20,2.4764910675838e-20,5.93028189148932e-21,6.765914570221501e-15,2.7238030888961287e-41,1.0120331851547845e-63,1.3321147960852473e-37,9.645638852273754e-44,9.956217795055777e-37,7.563277687704648e-100,7.282194366972913e-99,9.991596229156144e-44,9.918207591292593e-101,4.648865613709187e-47,2.9890514316607534e-115,4.633807454725505e-99,4.772931805731487e-102,3.28335458567113e-116,4.445659444139865e-115,4.417385388169553e-112,1.4221599005984347e-100,4.036224644522375e-99,5.250241080747079e-43,3.831185202047443e-39,5.508582348447355e-47,6.610194950221234e-58,5.2881476159649045e-23,5.659334827118197e-74,6.22056182405772e-31,2.095114529472402e-28,2.1013350912693883e-28,3.802701952579257e-40,1.2889924762898056e-41,2.5096680782349325e-52,1.0169952844720782e-22,3.0346338862454305e-23,6.694537507621148e-36,1.4399830630161304e-48,1.8173348881618106e-50,4.941650753604382e-36,7.279174822331651e-39,1.2499346044732152e-38,7.616830716276532e-69,6.265354368529132e-44,6.653575922372936e-66,2.2540303099045428e-70,3.770714359182772e-36,5.0429525347197826e-42,3.9828437653998555e-36,2.3980721826789522e-70,8.281577560107041e-67,8.986309394228912e-46,5.2881476159648504e-23,5.765733444298187e-59,1.5156511625818494e-36,6.991627451306077e-49,1.531183297451051e-29,3.606055719464627e-44,4.222397932162616e-58,1.6385892046748213e-61
2.1489097599016075e-19,0.47475553156603345,8.218630466699478e-29,9.04993319941582e-33,4.1212923409967216e-36,1.1065132768520024e-41,0.0,0.0,2.7185905639247075e-22,7.491749055701637e-39,5.170820526360978e-52,3.941205136992266e-52,1.6666018364849366e-57,5.677840205760694e-76,1.653372375445437e-50,6.504848442755125e-40,6.542010015918811e-45,1.599444404958217e-38,9.035876945086968e-96,8.143105625542771e-73,9.493561069312136e-92,4.834436761191664e-91,3.1524362005696604e-29,2.4360734913387878e-89,2.206597978031854e-62,6.604961824523681e-99,6.791878991056474e-106,9.02466962656954e-85,1.0455424259150726e-100,3.3138821495532357e-99,3.3537593797615128e-62,2.396167986009529e-112,7.836499810531179e-112,4.8598878023143875e-114,3.76,0.0,0.6069860317275058,0.9999999999999861,9.120419652338426e-49,3.315760949833535e-59,1.7113808108703891e-19,1.0794209638972564e-19,5.0986580803196177e-20,1.22094038941171e-20,1.392982411232262e-14,1.1371341714442123e-40,8.506748716972233e-63,5.5613170448159926e-37,4.026864345671292e-43,4.156524940898014e-36,2.6881073492645132e-98,2.5882059344926925e-97,4.1712947411730424e-43,3.5250863217115615e-99,1.940809880528335e-46,2.1280585635640705e-113,1.64692774584662e-97,1.696374719341374e-100,2.337588027984751e-114,3.1650922927840305e-113,3.1449626263867315e-110,5.054579031836101e-99,1.4345374555511472e-97,2.1918723010915446e-42,1.5994444049582002e-38,2.299724694280179e-46,5.556267164357071e-57,1.0887362738751067e-22,9.545295397719676e-73,1.2807039052537066e-30,4.313471090102965e-28,4.326278129042483e-28,1.5875532088491415e-39,5.381289849782806e-41,2.109527256359656e-51,2.093813820971754e-22,6.247775648149842e-23,2.7948376271964783e-35,6.246592773029471e-48,1.5275794761417905e-49,2.0630419130398803e-35,3.0389121974800583e-38,5.21823092355655e-38,6.4024051655156464e-68,2.6156621151143393e-43,1.122222840095876e-64,3.801751607689278e-69,1.5741990182956514e-35,2.1053334125257445e-41,1.6627588696167074e-35,4.0446992810240186e-69,1.3968091139870508e-65,3.751607321166232e-45,1.0887362738750836e-22,4.846446425604738e-58,6.327545247247668e-36,5.876882208253177e-48,3.152436200634551e-29,1.5054572778588108e-43,3.5491798807208794e-57,7.00541855524571e-61
4.359216941514689e-19,0.47475553156603345,1.6672078999545733e-28,1.8358435923671004e-32,1.683682395754462e-35,4.5204677946871137e-41,0.0,0.0,5.514855143961916e-22,3.060623939006582e-38,4.239351075278926e-51,3.231238088832545e-51,1.3663808780407136e-56,4.655036441193867e-75,6.754565635678458e-50,2.6574428367921696e-39,2.672624552072964e-44,6.534252281214947e-38,3.009324285711615e-94,6.676209979279036e-72,3.197692829512131e-90,1.628371445979e-89,6.394942006736555e-29,8.113589063244648e-88,1.809102339454536e-61,2.224735459440146e-97,2.2873937669395217e-104,1.4994623632576895e-83,3.5216654593413136e-99,1.1162067753340883e-97,2.749614567418332e-61,1.624200684220594e-110,5.311834737490764e-110,3.294190200151259e-112,3.76,0.0,0.6069860317275058,0.9999999999999718,7.477471063530954e-48,2.7184611565497983e-58,3.471658216337075e-19,2.1896825267680915e-19,1.0342992105791342e-19,2.4767647898984938e-20,2.82576431877613e-14,4.645564128102363e-40,6.974346554296023e-62,2.2719794728737468e-36,1.6451054782504536e-42,1.6980760624272408e-35,9.05428588288481e-97,8.71779040314588e-96,1.704110008145361e-42,1.1873461579961484e-97,7.928841631870684e-46,1.4347221544489514e-111,5.547306227094031e-96,5.713857252847426e-99,1.5759854487258293e-112,2.1338830187497464e-111,2.120311766753791e-108,1.7025214264094952e-97,4.831917235254403e-96,8.95451354911824e-42,6.534252281214814e-38,9.395125761614988e-46,4.555363522360217e-56,2.2085792984322747e-22,1.5678176371462635e-71,2.5979993518775297e-30,8.750184211403368e-28,8.776164204460422e-28,6.485672863882287e-39,2.1984324907589368e-40,1.7295179040753555e-50,4.247450893970578e-22,1.267405917195091e-22,1.1417823640151923e-34,2.7439383144755244e-47,1.2524019470051346e-48,8.428199368765662e-35,1.2414947899335665e-37,2.131817598955084e-37,5.249078571726917e-67,1.0685833209781019e-42,1.8432543927104821e-63,6.244388458443964e-68,6.431116638208408e-35,8.600973943539723e-41,6.792912527232146e-35,6.6434307402574675e-68,2.29426317357723e-64,1.5326540393460705e-44,2.208579298432182e-22,3.973409678505301e-57,2.585008696215246e-35,4.818219916335439e-47,6.394942007001653e-29,6.150284201372297e-43,2.9098320989221167e-56,2.996480556085749e-60
8.779831304740853e-19,0.47475553156603345,3.3578976225917373e-28,3.697544138695567e-32,6.805713441290291e-35,1.8272453686627518e-40,0.0,0.0,1.1107384304037446e-21,1.2371531313131979e-37,3.4331364132799905e-50,2.6167403797465916e-50,1.1065306619043707e-55,3.7697691998137854e-74,2.7303034260426922e-49,1.0741808834451203e-38,1.0803175755700548e-43,2.6412492466636996e-37,9.82293568081778e-93,5.4065679364704365e-71,1.0495148048673599e-88,5.344478133080172e-88,1.2879953618664705e-28,2.648481964553322e-86,1.4650579786836899e-60,7.301820360129888e-96,7.506983768647116e-103,2.4445021205630508e-82,1.1558443856686172e-97,3.66350240164427e-96,2.2267091689642594e-60,1.0694466633361098e-108,3.49755051385535e-108,2.1690427514969596e-110,3.76,0.0,0.6069860317275058,0.9999999999999432,6.055449933773422e-47,2.2014803254999886e-57,6.992213027270447e-19,4.410205652525235e-19,2.0831660156735156e-19,4.9884135907169724e-20,5.691328130358444e-14,1.8778112967663535e-39,5.648006661834707e-61,9.183704277591875e-36,6.649779370363217e-42,6.863894943344501e-35,2.9717072873150015e-95,2.8612661008932304e-94,6.888285119746335e-42,3.896988983327197e-96,3.2049645582601406e-45,9.421585725187738e-110,1.82068144849217e-94,1.8753451633789135e-97,1.0349238664361803e-110,1.401286075622516e-109,1.392374066726116e-106,5.587845798399915e-96,1.585883618312554e-94,3.6195575540522555e-41,2.6412492466635965e-37,3.7976600510461254e-45,3.689051487890301e-55,4.448265347546356e-22,2.5414999521928713e-70,5.2325902488369925e-30,1.7623610454161267e-27,1.7675936354783307e-27,2.6216126684692083e-38,8.886415626426356e-40,1.4006084422720856e-49,8.554725039966103e-22,2.5526626219522005e-22,4.6152668706368115e-34,1.2643698321421555e-46,1.0142275673968147e-47,3.4068129401671165e-34,5.0183204388474575e-37,8.617147583284408e-37,4.250839918952703e-66,4.319384635172639e-42,2.987994808147511e-62,1.012242280051054e-66,2.5995601698554567e-34,3.4766511857168176e-40,2.7458038528249425e-34,1.0769287527189678e-66,3.719099477166715e-63,6.195232974178524e-44,4.448265347545979e-22,3.217770319140893e-56,1.0449018457410195e-34,3.901914251532023e-46,1.2879953619736277e-28,2.4860432109656182e-42,2.356457476669707e-55,1.31999482276076e-59
1.762106003119318e-18,0.47475553156603345,6.7392771321377215e-28,7.420945237262219e-32,2.7365474421247696e-34,7.347273342549632e-40,0.0,0.0,2.2292442624192965e-21,4.974538329040049e-37,2.763286861396864e-49,2.1061803087354582e-49,8.906321443835294e-55,3.0342382141402423e-73,1.0978429992113885e-48,4.31923408780619e-38,4.343909457531676e-43,1.062034706163908e-36,3.1746030738420016e-91,4.3516762405872676e-70,3.401015137982635e-87,1.7319099216715077e-86,2.584997684089845e-28,8.559550100261273e-85,1.1792061184851793e-59,2.3662085643970433e-94,2.4326076824319378e-101,3.947877530831727e-81,3.745580115800846e-96,1.1871797395902704e-94,1.7922492644534783e-59,6.94186968812423e-107,2.270289932217161e-106,1.407944189420724e-108,3.76,0.0,0.6069860317275058,0.9999999999998859,4.873952918933988e-46,1.771942890520232e-56,1.403332264913719e-18,8.851251904101408e-19,4.180899625862424e-19,1.0011711191733573e-19,1.1422455739501383e-13,7.550596635215779e-39,4.546007126952024e-60,3.692727090556216e-35,2.673847036051678e-41,2.7599419682201096e-34,9.629994191779558e-94,9.272102955084528e-93,2.769749153343631e-41,1.2628424578965822e-94,1.2887021524373468e-44,6.1074715718561566e-108,5.900026506988013e-93,6.077167529550803e-96,6.708815550025247e-109,9.083730815790578e-108,9.025959441910826e-105,1.8107746641067084e-94,5.139150175729582e-93,1.4554081788376551e-40,1.0620347061638328e-36,1.5270224062742822e-44,2.969269577583373e-54,8.927637445773494e-22,4.093007320437889e-69,1.0501772057603185e-29,3.5370462940305484e-27,3.5475480653377096e-27,1.0541389236401093e-37,3.5731886392408645e-39,1.1273315255682272e-48,1.7169273331948674e-21,5.123176031454004e-22,1.8557785099968927e-33,6.332301448087863e-46,8.163385820431264e-47,1.3698644995318875e-33,2.0178445770830645e-36,3.464917143646027e-36,3.4214457815139103e-65,1.736805564463588e-41,4.812073528592323e-61,1.6301849876189539e-65,1.0452717110043836e-33,1.3979461509062467e-39,1.1040756527293696e-33,1.7343605547504362e-65,5.989495055356638e-62,2.4910761700141146e-43,8.927637445771977e-22,2.5899417241585117e-55,4.201504365253387e-34,3.1405917460723005e-45,2.5849976845207184e-28,9.996270428726561e-42,1.8966819851488573e-54,6.182363624112877e-59
3.530351748409784e-18,0.47475553156603345,1.3502036408316302e-27,1.48677474580344e-31,1.0974779193655158e-33,2.946585289624437e-39,0.0,0.0,4.466255926452183e-21,1.9950123616106808e-36,2.2173636803367084e-48,1.6900770549125964e-48,7.14676208528314e-54,2.434785076592592e-72,4.402841448401053e-48,1.7322060514077176e-37,1.742101978775882e-42,4.2592341840974e-36,1.0209047724610387e-89,3.491946131353746e-69,1.0951810649070364e-85,5.577025903503891e-85,5.17900232788757e-28,2.7526412721874617e-83,9.462386464005842e-59,7.619634639329891e-93,7.833264578048283e-100,6.346098074641791e-80,1.20613610324268e-94,3.822907923021023e-93,1.4381671723591848e-58,4.474217385658525e-105,1.463261509323801e-104,9.074570217384288e-107,3.76,0.0,0.6069860317275058,0.9999999999997713,3.9110402666035123e-45,1.4218725767345278e-55,2.8115541892870678e-18,1.773334440750132e-18,8.376366846240821e-19,2.0058306391285347e-19,2.288471090170051e-13,3.0281269594577374e-38,3.647884421903314e-59,1.4809487181002847e-34,1.0723322506008487e-40,1.1068601706842313e-33,3.1010115736237723e-92,2.985764890103424e-91,1.1107932925323717e-40,4.066553951128704e-93,5.168272013445908e-44,3.9338030195792e-106,1.8999025442822376e-91,1.956944778438595e-94,4.321126748257225e-107,5.850802118132795e-106,5.813591795199661e-103,5.8309829609118714e-93,1.6548882423970748e-91,5.836837790442341e-40,4.259234184096931e-36,6.124042846390025e-44,2.3826518366570176e-53,1.7886381642223673e-21,6.5701832023502646e-68,2.104013573452463e-29,7.086416791510756e-27,7.10745692423567e-27,4.227568558312474e-37,1.4330084588874737e-38,9.046125527308491e-48,3.4398369915879904e-21,1.0264202850407956e-21,7.442501842272266e-33,3.540807387000106e-45,6.550603008781787e-46,5.493769329981771e-33,8.092459257129332e-36,1.3895867468084357e-35,2.7454947645774862e-64,6.965367118809401e-41,7.724443729968152e-60,2.6168079365692407e-64,4.192007070218433e-33,5.606389311807169e-39,4.427837177289834e-33,2.7840327835561977e-64,9.61446602411014e-61,9.99033151756852e-43,1.788638164221758e-21,2.0782654965308264e-54,1.6849911673273884e-33,2.5201137643962616e-44,5.179002329615566e-28,4.008951550147632e-41,1.5219678454391147e-53,3.1810115566091742e-58
