Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180),CH2O2(318),C2H2O(623),S(3850),S(970),S(2764),CHF2O(206),CF3(45),S(1375),C3HF3(994),CH2F(46),S(2131),CF3O2(511)
0.0,0.7857728132156185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8214253334613187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.599650602178814e-22,0.7857728132156185,1.5870004543609206e-25,3.740805411505579e-27,5.333983203612055e-40,7.568494660338364e-41,0.0,0.0,3.9688089884259313e-22,1.2864451868648827e-40,6.66843594932866e-53,7.752085318280616e-53,2.3518724562064558e-56,7.063932447815134e-65,6.316853538615874e-44,1.39287342343902e-37,2.5978260347062183e-22,1.4262614867842341e-37,5.738049857438383e-84,3.3689565946162314e-62,3.014696432558106e-89,6.076362302475065e-79,9.701352472996518e-24,4.55433430655908e-74,9.544516947346834e-41,2.5061274571008205e-92,1.0620627962931969e-79,8.326186450503651e-60,2.695124475698469e-59,9.433953570712e-60,7.80458018201214e-57,2.2648388038918068e-93,5.537428649236709e-95,3.017215976003209e-94,3.76,0.0,0.8214253334613187,0.9999999999999994,1.2270137181982853e-53,2.8265612953668363e-38,8.711582870882558e-18,8.711582870882558e-18,5.023427282713579e-16,2.9566866408133973e-42,1.4212987972472003e-37,3.9703959888802923e-22,8.36181671735854e-37,9.352689846563629e-40,2.0285831486206045e-56,1.3361067531555248e-37,5.045607588212825e-40,1.0122512129450202e-43,5.607753515484901e-39,1.1841372208317134e-37,1.5568083671229643e-25,4.6259107522712254e-38,2.1769496912313464e-38,2.2414572514997434e-46,2.541548535346504e-40,7.397048929379299e-45,4.3008991396538836e-55,4.1787418756371855e-40,4.98901593606771e-48,9.701352472996658e-24,1.0421018974902019e-71,8.032406781587235e-76,8.271469782603073e-54,2.9655932387886967e-57,1.5460001819516245e-59,3.42685571196234e-42,4.882868323779121e-76,1.8495775721358286e-51,1.0074164790852856e-61,2.870599932740237e-55,2.742843001206373e-50,1.0733854411327603e-63,5.972388193374981e-42,5.096891362540926e-65,1.1080597294140735e-55,3.228654920201926e-82,3.04594997065101e-48,2.931709829406398e-79,1.6771782824284993e-55,2.197261651630924e-66,3.8049557703788144e-59,7.723510795012126e-78,7.401187755722826e-76,1.5568083671218505e-25,1.3929631601784872e-73,6.989666515998846e-61,5.277135313136069e-51,1.0167978513224184e-56,1.35144642041924e-100,1.6476527013578185e-114,2.284549415372678e-55,3.0397539601083152e-83,1.2832235056109156e-60,2.597826034706219e-22,8.690030478862187e-76,5.58268710118177e-93,2.1362563590566632e-38,6.113418613818685e-96,1.6299237272534853e-39
4.479021686100679e-22,0.7857728132156185,4.44360127221074e-25,1.0474255152217679e-26,3.2217258549820076e-39,4.571370774846771e-40,0.0,0.0,1.1112665167592603e-21,7.770128928663888e-40,7.916767217796042e-52,9.203275689924201e-52,2.7938361751144153e-55,8.386300602045929e-64,3.815379537323934e-43,8.412955477571437e-37,7.273912897177412e-22,8.614619380180149e-37,1.2865764772910412e-82,3.9996252691303344e-61,1.4401595979299632e-87,1.7136313914502828e-77,2.71637869243898e-23,1.0197151668630329e-72,5.764888236197392e-40,1.5219065647161503e-90,3.326615021732354e-78,1.2582532964002155e-58,4.072872107675524e-58,1.4256590636059918e-58,9.265597592087768e-56,1.386071233200955e-91,3.264413955262556e-93,1.8693285652843737e-92,3.76,0.0,0.8214253334613187,0.9999999999999986,1.4567106869229849e-52,1.7072430224015693e-37,2.4392432038471162e-17,2.4392432038471162e-17,1.4065596391591376e-15,1.7858387314382945e-41,8.584644735376463e-37,1.1117108768864808e-21,5.050537297284559e-36,5.649024667324048e-39,2.408333914042377e-55,8.07008478905918e-37,3.047546983283091e-39,6.113997326188091e-43,3.3870831233525276e-38,7.152188813823583e-37,4.35906342794789e-25,2.7940500943718176e-37,1.314877613503741e-37,1.3538458238365143e-45,1.5350953153492884e-39,4.46781755341006e-44,6.005140365537479e-54,2.5239600928847846e-39,3.0133656254353264e-47,2.7163786924390645e-23,2.7232771196061738e-70,2.0990720443313957e-74,4.996073429999899e-53,3.520752293088953e-56,1.894004756087777e-58,2.06982085002658e-41,1.2760175963807072e-74,2.1958184936389786e-50,1.196004843970063e-60,4.3380470748152206e-54,1.6566771727297112e-49,1.2743231954048175e-62,3.607322468801546e-41,6.126725698751436e-64,1.3154885107603925e-54,7.3086823354082375e-81,1.839755754537363e-47,9.214027011667138e-78,1.0130158931056335e-54,2.608598991581383e-65,4.528286402051049e-58,1.7317532636284077e-76,1.6594825061914654e-74,4.359063427941166e-25,4.379699049706824e-72,8.298132087797355e-60,3.187389979802864e-50,1.2071424090898476e-55,8.220815954244638e-99,1.817516439669903e-112,2.7122170659302337e-54,6.79983282846186e-82,1.5234429458617937e-59,7.273912897177412e-22,2.7322846230419534e-74,2.666916620479758e-91,1.2902988408702303e-37,2.920453432844565e-94,9.844739312610947e-39
1.023776385394441e-21,0.7857728132156185,1.0156802907911033e-24,2.3941154633650089e-26,1.5511223156108735e-38,2.2009182472299942e-39,0.0,0.0,2.540037752592592e-21,3.7409826034030734e-39,7.77272902596647e-51,9.035830647178399e-51,2.7437468720065884e-54,8.23371966117271e-63,1.8369410090294154e-42,4.050475915360307e-36,1.6626086622119795e-21,4.1475684035735163e-36,2.5449490592914717e-81,3.926855806690512e-60,7.498859032685388e-86,3.7275225829526896e-76,6.208865582717456e-23,2.01560654857882e-71,2.775545528288314e-39,6.877434329607076e-89,7.415344454270936e-77,1.3535714788858223e-57,4.3814099576534826e-57,1.5336589640834887e-57,9.097018660157243e-55,6.2585432380995515e-90,1.4670170935261468e-91,8.44377118541185e-91,3.76,0.0,0.8214253334613187,0.9999999999999968,1.4302071908946188e-51,8.21964024692676e-37,5.575413037364837e-17,5.575413037364837e-17,3.214993460932039e-15,8.598044757179542e-41,4.13313690239982e-36,2.5410534328833816e-21,2.4316163014078636e-35,2.7197622073801305e-38,2.36451651803216e-54,3.885398438175983e-36,1.467262686656032e-38,2.943626527244367e-42,1.6307347223024804e-37,3.443471038178673e-36,9.963573549612104e-25,1.3452148467604684e-36,6.330569702100873e-37,6.518242346321299e-45,7.390823140787634e-39,2.151061828760945e-43,6.289868365032432e-53,1.215178137435179e-38,1.4508058342827333e-46,6.208865582717862e-23,5.758822689679849e-69,4.4388371749378973e-73,2.405501934742265e-52,3.456695479129044e-55,1.885220354989191e-57,9.96529641040639e-41,2.6983515682474036e-73,2.155867618079424e-49,1.1742446480218428e-59,4.666671866823818e-53,7.976187447524061e-49,1.2511380692290878e-61,1.7367704866380311e-40,6.048429447842659e-63,1.2915544206050584e-53,1.452395197524012e-79,8.857652098615433e-47,2.0553636255590814e-76,4.8772376028020907e-54,2.561159053312971e-64,4.450737380228782e-57,3.425542843754881e-75,3.282585656292549e-73,9.96357354957973e-25,9.770867652987858e-71,8.147155291058945e-59,1.5345913250628964e-49,1.185179575501016e-54,3.711187671889909e-97,1.6459397699663994e-110,2.6628707985577435e-53,1.3435431044812258e-80,1.4957253181416472e-58,1.6626086622119801e-21,6.095576691239511e-73,1.3886579551905197e-89,6.2122334921368676e-37,1.5206740477523863e-92,4.739818198852977e-38
2.175524818963187e-21,0.7857728132156185,2.1583206179314216e-24,5.0874953596547774e-26,6.774158668592345e-38,9.611988218666896e-39,0.0,0.0,5.3975802242592435e-21,1.6337853873183946e-38,6.874890810335671e-50,7.992089880134668e-50,2.4271076964573806e-53,7.282631796398206e-62,8.022403994041325e-42,1.768949247767181e-35,3.533043407200454e-21,1.8113520882210624e-35,4.530948310119228e-80,3.4732594907976403e-59,2.992594690011865e-84,6.91019867008512e-75,1.3193839363273682e-22,3.587335214924946e-70,1.2121536523128972e-38,2.59789059290537e-87,1.3883544010960986e-75,1.2441653889266044e-56,4.0272706015466985e-56,1.4096968141643076e-56,8.046209984450536e-54,2.363208583199608e-88,5.525790091171434e-90,3.188623803117068e-89,3.76,0.0,0.8214253334613186,0.9999999999999931,1.2650020638831113e-50,3.58973284511588e-36,1.1847752704400276e-16,1.1847752704400276e-16,6.8318611044672116e-15,3.754992039665274e-40,1.8050494725090266e-35,5.399738544877168e-21,1.0619507231045345e-34,1.1877916105129891e-37,2.0913880829018636e-53,1.6968555765072236e-35,6.407921637068615e-38,1.2855590404404302e-41,7.121846964660359e-37,1.5038542704563284e-35,2.117259379299797e-24,5.874906655384411e-36,2.764726107863931e-36,2.8467381903300546e-44,3.227766639890057e-38,9.39425214131864e-43,5.719786433931753e-52,5.30700218205804e-38,6.336050239566635e-46,1.3193839363275461e-22,1.0554335782510723e-67,8.135165910233974e-72,1.0506404684171793e-51,3.0574080054551654e-54,1.6776528238922758e-56,4.352106754212738e-40,4.945335191780525e-72,1.90684049376475e-48,1.0386060932778358e-58,4.289475000218344e-52,3.483410611548552e-48,1.1066174523838068e-60,7.584933005633622e-40,5.362949392359178e-62,1.1423652586367631e-52,2.5912169659327157e-78,3.8683870328211564e-46,3.8492984855490177e-75,2.130019681302483e-53,2.2653537039265475e-63,3.938548564431393e-56,6.0987273956056535e-74,5.844210971402216e-72,2.1172593792856593e-24,1.82997537511736e-69,7.206066591356399e-58,6.701965733045971e-49,1.0482779127985318e-53,1.4012618901400082e-95,1.2462068146745368e-108,2.35527906527125e-52,2.3908015080576252e-79,1.3229521053478822e-57,3.533043407200457e-21,1.1416340532149803e-71,5.541769363274872e-88,2.7130455760020558e-36,6.068610933212257e-91,2.0700031336117613e-37
4.479021686100679e-21,0.7857728132156186,4.443601272213099e-24,1.0474255152247461e-25,2.828077894559642e-37,4.0128158689448565e-38,0.0,0.0,1.1112665167592504e-20,6.820732380757546e-38,5.7787599733859305e-49,6.7178331041827526e-49,2.0402470915795242e-52,6.121490836355098e-61,3.349195746173384e-41,7.385014891070315e-35,7.273912897177398e-21,7.562038402975585e-35,7.64398969836064e-79,2.9194838816107244e-58,1.0636145556215803e-82,1.1876865983576624e-73,2.716378692438325e-22,6.051111318270323e-69,5.060502885481934e-38,9.015022646036751e-86,2.397658351693504e-74,1.0644096844100166e-55,3.445414788239199e-55,1.2060253037354535e-55,6.763324312450641e-53,8.199228117981401e-87,1.9146545905328456e-88,1.1063471050900549e-87,3.76,0.0,0.8214253334613185,0.9999999999999859,1.0633104568326373e-49,1.498642798803494e-35,2.4392432038471153e-16,2.4392432038471153e-16,1.4065596391495033e-14,1.5676352621861272e-39,7.535726223050204e-35,1.1117108768864686e-20,4.433435223543496e-34,4.958796156642708e-37,1.7579376992641743e-52,7.084038005227953e-35,2.6751811433047886e-37,5.366955931036779e-41,2.973230913905176e-36,6.278295544850218e-35,4.359063427999949e-24,2.452657880854161e-35,1.1542187262909686e-35,1.1884993675780065e-43,1.3475290334407135e-37,3.921915343263141e-42,4.869862884737096e-51,2.2155689424617694e-37,2.645176249984877e-45,2.716378692439068e-22,1.8046872323023275e-66,1.3910330648353787e-70,4.3870075329751565e-51,2.5699356512307985e-53,1.4142111569123894e-55,1.816918898500942e-39,8.456035002050636e-71,1.6028143307637646e-47,8.730110021117685e-58,3.669736002949492e-51,1.4542553592544313e-47,9.301786454780636e-60,3.1665602201700716e-39,4.513120615677292e-61,9.602268325546194e-52,4.375882989754363e-77,1.614990187524101e-45,6.6485744734092596e-74,8.892428616436103e-53,1.9042294140921252e-62,3.311349331816921e-55,1.0288920578542034e-72,9.859536035745826e-71,4.3590634279409275e-24,3.1608273777794063e-68,6.057133168140483e-57,2.7979406398514104e-48,8.811407491888828e-53,4.861609733827323e-94,8.65939107337216e-107,1.9797539705688372e-51,4.0325655727452393e-78,1.112020958392203e-56,7.27391289717741e-21,1.971888922590428e-70,1.969631629001052e-86,1.1326431215719267e-35,2.156879374549242e-89,8.641855601896498e-37
9.086015420375664e-21,0.7857728132156186,9.014162580780618e-24,2.1247774737485403e-25,1.1553620978390206e-36,1.6393662174362571e-37,0.0,0.0,2.2542835054258856e-20,2.786491732556757e-37,4.737776565764622e-48,5.50768545382852e-48,1.6727643229756678e-51,5.01876803254024e-60,1.368255743877716e-40,3.0170195501030044e-34,1.4755651877131257e-20,3.08933943087263e-34,1.2556797992333816e-77,2.3935692739502052e-57,3.582546019010692e-81,1.968503446926737e-72,5.510368204659083e-22,9.939410189830723e-68,2.067380548861964e-37,3.002654314132333e-84,3.983432469453245e-73,8.800745107365093e-55,2.848735574705395e-54,9.971650433710572e-55,5.544981894188896e-52,2.730711107593172e-85,6.372327709015726e-87,3.684703441483616e-86,3.76,0.0,0.8214253334613183,0.9999999999999715,8.717661550416897e-49,6.12244482821636e-35,4.94817907066129e-16,4.94817907066129e-16,2.853306696538058e-14,6.404301575629934e-39,3.07859004682781e-34,2.2551849216839502e-20,1.8112029482467286e-33,2.0258300315205573e-36,1.4412635359789097e-51,2.894060671602759e-34,1.0928987860662722e-36,2.192576617289359e-40,1.2146618424639266e-35,2.5648885858107268e-34,8.842671525492166e-24,1.0019907725849197e-34,4.7153601091956647e-35,4.855752669689905e-43,5.505095789501917e-37,1.602230387066555e-41,4.0172951288042e-50,9.051322052296143e-37,1.0806408083920897e-44,5.510368204662116e-22,2.983817635358891e-65,2.2998938075938965e-69,1.7928816427132607e-50,2.106988515840825e-52,1.1610645708043176e-54,7.42270654649562e-39,1.3980963522397305e-69,1.314084026316131e-46,7.157471646344492e-57,3.03420862699602e-50,5.941107654458464e-47,7.626166493851485e-59,1.2936431722739108e-38,3.702233096531184e-60,7.872519717899654e-51,7.191766264921557e-76,6.597882418548036e-45,1.1046602585474163e-72,3.632860107311871e-52,1.5613058470043313e-61,2.715147455300575e-54,1.6901601020987016e-71,1.6196251400429811e-69,8.842671525251043e-24,5.251761962352993e-67,4.966003727848588e-56,1.1430515780130285e-47,7.22412422465465e-52,1.619116050863122e-92,5.7719848608239675e-105,1.62312191676698e-50,6.6239261114428865e-77,9.117019671715137e-56,1.4755651877131314e-20,3.2763229369776734e-69,6.634261781281231e-85,4.627216723971804e-35,7.264963758052126e-88,3.5304799901788845e-36
1.8300002888925635e-20,0.7857728132156186,1.815528519793231e-23,4.279481390817163e-25,4.670158325987673e-36,6.626580363102937e-37,0.0,0.0,4.540317482759087e-20,1.1263445104691305e-36,3.8367742987486565e-47,4.460266477933494e-47,1.354666463962263e-50,4.064328473096001e-59,5.530708482022811e-40,1.2195275401428427e-33,2.9719129837038865e-20,1.2487603922626065e-33,2.0356382634603264e-76,1.9383744555499636e-56,1.1758273588904084e-79,3.2051975978012398e-71,1.1098347229095971e-21,1.6112567712408512e-66,8.35668272420617e-37,9.801603174509574e-83,6.493745242222139e-72,7.156619762253091e-54,2.316544458747262e-53,8.108780527712753e-54,4.490470101275039e-51,8.913537410109625e-84,2.079330347485229e-85,1.202765579907834e-84,3.76,0.0,0.8214253334613177,0.9999999999999425,7.059788344237183e-48,2.4747900890358225e-34,9.966050804289638e-16,9.966050804289638e-16,5.746800811247133e-14,2.588721111280849e-38,1.244415319363816e-33,4.542133011278826e-20,7.321171903249832e-33,8.188728889741987e-36,1.167172578716204e-50,1.1698255955099757e-33,4.417671632883045e-36,8.862745249931705e-40,4.909857374941515e-35,1.0367689754250962e-33,1.7809887720844243e-23,4.050206907329263e-34,1.9060239482589786e-34,1.963051749720314e-42,2.2252477370255425e-36,6.476471402331695e-41,3.2631578884040647e-49,3.658689091722962e-36,4.368122929526223e-44,1.1098347229108236e-21,4.852575480080797e-64,3.740311795609625e-68,7.252336292644839e-50,1.7062939274775148e-51,9.40901974963884e-54,3.0003766650261124e-38,2.2737207519582177e-68,1.0641793144285298e-45,5.796306109195468e-56,2.4673680384832438e-49,2.401490704123399e-46,6.175867296537776e-58,5.229112538230165e-38,2.9990352058756747e-59,6.375370576413021e-50,1.1661770989628407e-74,2.667067020227344e-44,1.8008669417704006e-71,1.4684705404464957e-51,1.2645536323932564e-60,2.1989177592138694e-53,2.7399836795598554e-70,2.625636734212491e-68,1.780988771986959e-23,8.561697474916276e-66,4.0215985712100046e-55,4.620409622850466e-47,5.850283095172618e-51,5.28505973409597e-91,3.769498763804894e-103,1.3144462104718628e-49,1.0739047734012918e-75,7.383198904935579e-55,2.97191298370391e-20,5.341233288487486e-68,2.1774311450455593e-83,1.8703949826599274e-34,2.3844338489993907e-86,1.427076459548302e-35
3.672797782602557e-20,0.785772813215619,3.643753043230231e-23,8.588889225038535e-25,1.877850122790024e-35,2.664518819339755e-36,0.0,0.0,9.112385437425213e-20,4.528981738164938e-36,3.0881697477043593e-46,3.590010497520416e-46,1.0903608316092568e-49,3.27132514372818e-58,2.2238735556796215e-39,4.9036666021349906e-33,5.964608575685366e-20,5.0212106149399036e-33,3.2784521731360455e-75,1.560172396642806e-55,3.810338295948967e-78,5.1732019604568636e-70,2.227430527795125e-21,2.5949078859042517e-65,3.3601853693735713e-36,3.1677789971736586e-81,1.0487209751221649e-70,5.772073104644517e-53,1.8683770285659e-52,6.540025256346532e-53,3.6143209995708613e-50,2.880707934473298e-82,6.718895569080021e-84,3.887157811319601e-83,3.76,0.0,0.8214253334613167,0.9999999999998846,5.68233184717111e-47,9.951022102790596e-34,2.0001794271546318e-15,2.0001794271546318e-15,1.1533789040393137e-13,1.040913388065094e-37,5.0037392679170356e-33,9.116029190468228e-20,2.94381102261294e-32,3.2926518712120165e-35,9.394420330701076e-50,4.7038172687392454e-33,1.7763263340540142e-35,3.5636708852343016e-39,1.9742320561127335e-34,4.168802451429567e-33,3.574432011301898e-23,1.6285703839798476e-33,7.664038465973735e-34,7.895587527100218e-42,8.947623280628633e-36,2.604160668903033e-40,2.6304071553994526e-48,1.4711427922795516e-35,1.756403020194293e-43,2.2274305278000573e-21,7.827460499096077e-63,6.033320440745771e-67,2.9203320797590918e-49,1.3733737970239065e-50,7.575761236408799e-53,1.2064382609237495e-37,3.6676316410715063e-67,8.565440937417113e-45,4.665371423918162e-55,1.9900216991407196e-48,9.656288500303832e-46,4.970875205015078e-57,2.1026031532714078e-37,2.414282860509615e-58,5.131452884603328e-49,1.8784188363726936e-73,1.0724942922857576e-43,2.9083989240126354e-70,5.904739099209107e-51,1.0180927020268e-59,1.769928629174546e-52,4.41278824629181e-69,4.22863063252885e-67,3.5744320109099943e-23,1.3827164291449237e-64,3.236932401369931e-54,1.8578563490912504e-46,4.708816798086868e-50,1.7080392364380232e-89,2.436913760994112e-101,1.0579806644179091e-48,1.7299343977311173e-74,5.942640802614198e-54,5.964608575685459e-20,8.626106028068592e-67,7.056095114450694e-82,7.5207759623180845e-34,7.726899686788253e-85,5.738211678736604e-35
7.358392770022545e-20,0.7857728132156192,7.300202090130878e-23,1.72077048938178e-24,7.531018881486734e-35,1.0685912201486131e-35,0.0,0.0,1.8256521346756364e-19,1.8163242406631204e-35,2.4780617364888836e-45,2.880757335969552e-45,8.749488600378565e-49,2.625032406971927e-57,8.918727610016278e-39,1.9665896292976948e-32,1.194999975964816e-19,2.0137300358283302e-32,5.262794440328134e-74,1.2519400921602672e-54,1.2269896144692657e-76,8.313197042415871e-69,4.462622137558782e-21,4.1654247016946974e-64,1.3475846210795524e-35,1.0187214812039494e-79,1.6857717572093955e-69,4.6364430165027554e-52,1.500782036045651e-51,5.253303947725132e-52,2.900264980161847e-49,9.263935686269564e-81,2.1605124260663846e-82,1.2500560708485978e-81,3.76,0.0,0.8214253334613147,0.999999999999769,4.559713446597808e-46,3.990804933560531e-33,4.0073281206059634e-15,4.0073281206059634e-15,2.310776549759656e-13,4.174528364967269e-37,2.0067232442470006e-32,1.8263821548845636e-19,1.1805998852338191e-31,1.3205006677981692e-34,7.538430675458528e-49,1.8864411081277616e-32,7.123863081709113e-35,1.4291914140601377e-38,7.917553541768204e-34,1.671876237271135e-32,7.161318490325081e-23,6.531295635665244e-33,3.0736222073563298e-33,3.168282650986083e-41,3.5883971277643967e-35,1.0443849042333893e-39,2.112308504154528e-47,5.899940581712386e-35,7.043961696945593e-43,4.462622137578562e-21,1.257483511940587e-61,9.692544570824977e-66,1.1745522039351046e-48,1.1020459800081075e-49,6.080096000812802e-52,4.838357019427598e-37,5.892059521468824e-66,6.873226919354857e-44,3.743666752869425e-54,1.5984936465302977e-47,3.872603577019279e-45,3.988814163151109e-56,8.432379057838037e-37,1.9375502406912652e-57,4.11766777228157e-48,3.015661483775991e-72,4.301810424937169e-43,4.67516298458844e-69,2.3681315630185823e-50,8.173884723216868e-59,1.420275571318113e-51,7.083605596301767e-68,6.787987535940232e-66,7.16131848875337e-23,2.222676276067003e-63,2.597434397364434e-53,7.450914803066936e-46,3.778528929485768e-49,5.492797083365092e-88,1.5674917434092488e-99,8.489628538913203e-48,2.7783528410059386e-73,4.7685949898679805e-53,1.1949999759648529e-19,1.3866213505023355e-65,2.2721750565635896e-80,3.016167535817767e-33,2.488184817255852e-83,2.3012795309600827e-34
