Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),S(1228),CHF3(42),S(1335),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1568),CHO2(322),S(174),CF2CF2(61),C2F(467),S(512),C2H3F2(66),S(413),S(1931),S(1325),C2HF3(169),F(37),C2HF4(69),C2HFO(577),S(4228),S(4234),CHFO(47),C2HF4(54),S(5148),C1OO1(180),CH2O2(318),CFO(51),C2H2O(623),S(1319),S(2245),S(344),S(1323),CHF2O(206),S(6577),CH2F(46),S(1074),S(973),CF3(45),C2H2F(71),CHO2(457)
0.0,0.8100373833790339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6842277927630254,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.158627832061066e-22,0.8100373833790339,2.5811682919029686e-25,1.6501690801960806e-26,8.638101274702742e-40,9.566808981524718e-41,0.0,0.0,5.5966831690028e-22,1.7577276770088706e-40,9.315999981718849e-53,1.0819038340594701e-52,5.721411186797211e-56,4.656054462621991e-64,3.038807943779438e-43,2.7228651682054243e-37,4.376881731105935e-22,2.3131774864886137e-37,9.406076946472534e-81,7.822150923639422e-61,1.5635530031182554e-58,6.136498712014163e-78,2.6879033996177056e-23,6.405527323209792e-74,1.7762783947412367e-40,6.50246518973395e-92,6.484403125709414e-79,2.7092051465435704e-59,4.024907809483178e-59,2.241408580529352e-59,1.2350779890705308e-56,4.934917602233433e-93,2.2802821892569314e-94,6.209313502264455e-94,3.76,0.0,0.6842277927630254,0.9999999999999994,1.684052386129412e-53,4.07514285866504e-38,1.3475000282151551e-17,1.3475000282151551e-17,5.095457278141291e-16,3.70047495993452e-42,2.3051329882954346e-37,5.5992643372947015e-22,3.705328232308104e-36,7.83027512305781e-40,1.9022185234479765e-55,2.2391361678956584e-37,1.4298096218417473e-39,2.2808357870902696e-43,4.484533818689845e-37,1.7820197642833402e-41,2.5253585262883024e-38,5.482809795120954e-25,8.699200322823424e-38,5.217445477520097e-38,5.5223027777811854e-46,6.587865451460289e-40,3.67857125924838e-44,1.1194485450624436e-54,1.1523150404744036e-39,5.767224127730074e-47,1.7363935708063436e-71,2.6879033996177327e-23,1.43511406061998e-75,4.32060497308287e-53,7.430173178446854e-57,5.931427634978629e-59,6.499884855306483e-42,7.870259776785065e-76,2.5844097576588485e-51,1.1007748376511285e-54,1.324857481804347e-78,9.242750296282605e-61,7.154054965545657e-48,2.654980391252599e-41,2.2495033590705332e-49,8.902784958227259e-63,3.1030913281461133e-75,8.385855863361253e-55,5.48280979511827e-25,8.765762414357771e-66,1.1624002345991662e-58,6.0966767596462165e-77,5.830911691002691e-75,1.4980463298646721e-55,2.105853713628659e-64,7.449196016511451e-82,2.596488714056467e-50,1.3713012623795055e-56,4.6939479793486104e-60,1.015907404145318e-99,3.086796097910243e-74,1.885152616564956e-90,3.7356037707257894e-73,1.0100296356405372e-73,5.039794547721753e-60,1.4224789276028636e-103,5.0333975872315e-38,5.78696679370923e-67,3.5965963984542355e-75,4.376881731105935e-22,2.0127579504845898e-40,1.4044923414586506e-70
3.2441579297709844e-22,0.8100373833790339,7.227271217328764e-25,4.6204734245495666e-26,5.217413169920922e-39,5.778352624844389e-40,0.0,0.0,1.567071287320783e-21,1.0616675169133575e-39,1.1059955560239734e-51,1.2844362318015828e-51,6.801562765535281e-55,5.527667858024735e-63,1.8354399980427627e-42,1.6446105615960423e-36,1.2255268847096615e-21,1.3971592018395377e-36,2.10629280985342e-79,9.286457576547532e-60,1.8562501253019927e-57,1.607827866961141e-76,7.526129518929488e-23,1.4342608258859356e-72,1.0728721504236903e-39,3.941116401724036e-90,1.9983399698287745e-77,4.094150817456883e-58,6.082440681690974e-58,3.387216646895943e-58,1.4662845886260851e-55,3.0611479657226383e-91,1.3318066305911748e-92,3.934703397929908e-92,3.76,0.0,0.6842277927630254,0.9999999999999986,1.9993069939053917e-52,2.4613862866336834e-37,3.773000079002434e-17,3.773000079002434e-17,1.4267280378790843e-15,2.2350868764039584e-41,1.392300324930857e-36,1.5677940144425154e-21,2.2380182523140937e-35,4.729486174326626e-39,2.258313831037431e-54,1.352438245408944e-36,8.636050115929514e-39,1.3776248154025463e-42,2.7086584264886777e-36,1.0763399376275233e-40,1.5253165498780049e-37,1.5351867426347338e-24,5.254316994985337e-37,3.15133706842216e-37,3.335483808203051e-45,3.979070732682014e-39,2.2218570406050306e-43,1.6053278558948456e-53,6.959982844465135e-39,3.4834033731766267e-46,4.65572633155772e-70,7.526129518929651e-23,3.847916989069432e-74,2.609673360816976e-52,8.821101597450512e-56,7.422874945300973e-58,3.9259304526067893e-41,2.1102229526197e-74,3.0682112642919045e-50,1.6632546526970633e-53,4.163298277675763e-77,1.097299315174687e-59,4.321051065301247e-47,1.6036081563174907e-40,1.358700028879178e-48,1.0569386300799673e-61,9.756615630305435e-74,5.0650578392891086e-54,1.5351867426331125e-24,1.0406750083245126e-64,1.381505812393534e-57,1.3652223443126132e-75,1.3057098550742403e-73,1.778480602815345e-54,2.51968391203881e-63,1.6788443721954075e-80,1.5682792213605386e-49,1.6280088586968147e-55,5.572655041084426e-59,6.028295540309699e-98,9.705380819205451e-73,9.005600267643552e-89,1.1745335951765335e-71,3.1756947791953556e-72,5.983244087056768e-59,8.653633486788954e-102,3.040172142687841e-37,6.870311367729277e-66,1.1308274532163835e-73,1.2255268847096615e-21,1.2157058020926923e-39,3.1417931881484686e-69
7.415218125190822e-22,0.8100373833790339,1.6519477068182162e-24,1.0561082113258704e-25,2.511959850684255e-38,2.7820280518325756e-39,0.0,0.0,3.5818772281617855e-21,5.111472084741787e-39,1.0858730121050355e-50,1.2610671089988753e-50,6.68180371382286e-54,5.427097081631908e-62,8.836853500510341e-42,7.918091909140865e-36,2.8012043079077967e-21,6.726720130714994e-36,4.1637921679054334e-78,9.117499116602572e-59,1.8224773804346388e-56,3.403489960065957e-75,1.7202581757552695e-22,2.8350689966338605e-71,5.1654175719072686e-39,1.7829151669979895e-88,4.434282196593359e-76,4.404300622633749e-57,6.543212127720606e-57,3.643813101194906e-57,1.4396069040627717e-54,1.3827736426783093e-89,5.964197265666413e-91,1.778512834521275e-90,3.76,0.0,0.6842277927630254,0.9999999999999967,1.9629314628238342e-51,1.1850515432997932e-36,8.624000180576991e-17,8.624000180576991e-17,3.2610926580070867e-15,1.076098119236955e-40,6.703326729969225e-36,3.583529175868602e-21,1.0775094499551963e-34,2.2770440057847754e-38,2.2172259109309446e-53,6.511407976240073e-36,4.15788638032369e-38,6.632670468858849e-42,1.304102434475025e-35,5.182113474541542e-40,7.343742594444443e-37,3.508998268883478e-24,2.5297274538770352e-36,1.517233144862877e-36,1.605905043413591e-44,1.9157512732846538e-38,1.0697285222179428e-42,1.697201555463366e-52,3.3509321376991714e-38,1.6771087763846415e-45,9.942770648341057e-69,1.7202581757553488e-22,8.217612757183996e-73,1.2564738617848176e-51,8.660609856792717e-55,7.454811412348771e-57,1.8901665159256366e-40,4.5065928150744e-73,3.0123880135250434e-49,1.7891721176859092e-52,9.286664298884565e-76,1.0773349745347502e-58,2.0804019831481824e-46,7.72068297777637e-40,6.541555768185752e-48,1.0377086142324514e-60,2.1766472760543052e-72,2.4386082314836835e-53,3.508998268875674e-24,1.0217487199426121e-63,1.357029753956909e-56,2.69881854688869e-74,2.581172208623316e-72,1.746122802090283e-53,2.482436883437913e-62,3.3291568354036775e-79,7.550589751532368e-49,1.598388751429135e-54,5.471265764734072e-58,2.7035705064619205e-96,2.165217071539425e-71,4.6891973888091e-87,2.620319839836107e-70,7.084800357658106e-71,5.8743845248290445e-58,3.9066638087292773e-100,1.4637120183669434e-36,6.745364104484193e-65,2.522813841394438e-72,2.8012043079077982e-21,5.853100120009188e-39,6.207653902344558e-68
1.5757338516030497e-21,0.8100373833790339,3.5103888769896186e-24,2.244229949068565e-25,1.0970388618879702e-37,1.2149847406590003e-38,0.0,0.0,7.611489109843775e-21,2.232314149801256e-38,9.604423887330445e-50,1.1153995768021816e-49,5.911563945684559e-53,4.800205908784171e-61,3.859286088599611e-41,3.4580387636203644e-35,5.952559154304066e-21,2.937735407846794e-35,7.410960017386295e-77,8.06432471625286e-58,1.611960604094797e-55,6.240290957331737e-74,3.6555486234797703e-22,5.0458436131101e-70,2.2558735613211162e-38,6.737939061894845e-87,8.287514832966279e-75,4.048311066378857e-56,6.014339241554512e-56,3.349292013713288e-56,1.2733160036142483e-53,5.221816906871527e-88,2.2433125912438696e-89,6.717263411834455e-89,3.76,0.0,0.6842277927630253,0.999999999999993,1.7361906495662265e-50,5.175431430504596e-36,1.8326000383726103e-16,1.8326000383726103e-16,6.929821898255461e-15,4.6996032082122265e-40,2.927518895141451e-35,7.614999498720758e-21,4.70576685503129e-34,9.944449406278913e-38,1.9611112089338915e-52,2.843702933226967e-35,1.8158582197470992e-37,2.896661449604996e-41,5.695357949736292e-35,2.263165100645524e-39,3.207205328384141e-36,7.456621321394836e-24,1.1047984409985576e-35,6.62615575645086e-36,7.013524949341934e-44,8.366589123354588e-38,4.6717854995400865e-42,1.5492421887866026e-51,1.4634401014020854e-37,7.324374642634602e-45,1.8296258611273756e-67,3.655548623480116e-22,1.5121697310575797e-71,5.487601650475577e-51,7.660211340041203e-54,6.660014836146829e-56,8.254853766265187e-40,8.292838135009343e-72,2.664423083751535e-48,1.6445279411954883e-51,1.7391863303494492e-74,9.528905845456553e-58,9.085678730973876e-46,3.3718250969050743e-39,2.8568692660285097e-47,9.178415170064114e-60,4.076619453831585e-71,1.0650050858009918e-52,7.456621321360751e-24,9.037390930132775e-63,1.2005392289137247e-55,4.8035145627907835e-73,4.59412075239289e-71,1.5444258442373262e-52,2.1991036572250542e-61,5.933836084535821e-78,3.297541256942929e-48,1.413756749461901e-53,4.8392726088003336e-57,1.0181953492297536e-94,4.055211945777541e-70,1.8713355819914284e-85,4.90756906359836e-69,1.3269046979843776e-69,5.195826586928724e-57,1.4750819212928206e-98,6.392414935784243e-36,5.9662900660895e-64,4.724951119714708e-71,5.952559154304071e-21,2.5562025971154306e-38,1.1046188445533213e-66
3.2441579297709848e-21,0.810037383379034,7.227271217335316e-24,4.62047342455742e-25,4.579921295853889e-37,5.072322122052654e-38,0.0,0.0,1.5670712873207688e-20,9.319472143500944e-38,8.073097013605318e-49,9.375605522075813e-49,4.969653819127247e-52,4.034862300435733e-60,1.6111759717916104e-40,1.4436631121820447e-34,1.2255268847096591e-20,1.2264467033418683e-34,1.2501038697533134e-75,6.778550836042838e-57,1.3549500156542316e-54,1.0672325293665196e-72,7.526129518928205e-22,8.511358333060653e-69,9.417828048915746e-38,2.338646125444128e-85,1.4300952206129746e-73,3.4634153488827274e-55,5.145393844749557e-55,2.8653898324455463e-55,1.0702988240824112e-52,1.8118049538057636e-86,7.767799208493942e-88,2.3308348723546006e-87,3.76,0.0,0.684227792763025,0.9999999999999857,1.45937285436999e-49,2.1606407436641997e-35,3.773000079002432e-16,3.773000079002432e-16,1.426728037872168e-14,1.9619918319085938e-39,1.2221815103998403e-34,1.5677940144424996e-20,1.964565028769755e-33,4.151611870241196e-37,1.6484321369235795e-51,1.1871899962178096e-34,7.580850615077356e-37,1.209299134315578e-40,2.377699830669527e-34,9.448268790281006e-39,1.3389450906362556e-35,1.5351867426473036e-23,4.6123160111608215e-35,2.7662895921814576e-35,2.9281053121834285e-43,3.4928862623642647e-37,1.9503784819186697e-41,1.32129706637269e-50,6.109574344591624e-37,3.0577822328966396e-44,3.1342193521894203e-66,7.526129518929649e-22,2.590404812026566e-70,2.291174757922715e-50,6.438869193652382e-53,5.6244381221496035e-55,3.446238950306855e-39,1.4205950145045105e-70,2.239608145422996e-47,1.4069170287716194e-50,3.003932221566795e-73,8.009619522755637e-57,3.7931059749901076e-45,1.407670603454975e-38,1.1926866809872364e-46,7.715010981244312e-59,7.041346322843502e-70,4.446193298520962e-52,1.535186742633073e-23,7.596705812529009e-62,1.0092293515919326e-54,8.102718286366208e-72,7.749506271638836e-70,1.2981829807195264e-51,1.849837614911894e-60,1.0016125644130416e-76,1.3766588472747677e-47,1.1883477331562958e-52,4.0677002157558644e-56,3.5284908692017075e-93,7.004370176341339e-69,6.651019754064138e-84,8.476605131132555e-68,2.291897887872772e-68,4.367405318360069e-56,5.117744432002453e-97,2.6687074007503546e-35,5.015180905056421e-63,8.161178046947781e-70,1.2255268847096613e-20,1.0671642653469308e-37,1.8631011358191431e-65
6.581006086106855e-21,0.8100373833790342,1.466103589803828e-23,9.372960375548996e-25,1.871047288511212e-36,2.072209092675031e-37,0.0,0.0,3.178916039993526e-20,3.807308457508218e-37,6.618812698215792e-48,7.686687857866791e-48,4.074672410683291e-51,3.3080238900085497e-59,6.58217955854192e-40,5.8978348689356885e-34,2.4860688232681605e-20,5.010434962881159e-34,2.0534089601934925e-74,5.557465518207166e-56,1.1108698854652148e-53,1.7646924740979233e-71,1.526729130982281e-21,1.3980583099793562e-67,3.847490054143373e-37,7.79016469528351e-84,2.3750335159367176e-72,2.863618786345012e-54,4.2543111329998194e-54,2.369159724672155e-54,8.774956407138088e-52,6.034251338150822e-85,2.5844401039486803e-86,7.763144820094405e-86,3.76,0.0,0.6842277927630247,0.999999999999971,1.1964820376363576e-48,8.826922437582787e-35,7.653800160262074e-16,7.653800160262074e-16,2.8942197339532003e-14,8.015376851088265e-39,4.993010258014768e-34,3.1803821435833184e-20,8.025889164308638e-33,1.6960689127513806e-36,1.3514842599246857e-50,4.850058505104743e-34,3.0970248333552803e-36,4.940381548271682e-40,9.713679632636405e-34,3.859926090271079e-38,5.470027582266259e-35,3.114235963685136e-23,1.8842815867247106e-34,1.130119560213018e-34,1.196305592107103e-42,1.4269580082481224e-36,7.967932492627546e-41,1.0908661557833487e-49,2.495960470266077e-36,1.2492038152790026e-43,5.186551839270382e-65,1.5267291309828709e-21,4.286639616614009e-69,9.36190520600673e-50,5.2789739850307344e-52,4.6217177677555485e-54,1.407901059218583e-38,2.3508213233881537e-69,1.836166069035496e-46,1.1632618086589834e-49,4.991015650735108e-72,6.566770005585429e-56,1.5496189624019883e-44,5.750793726777551e-38,4.872514255949211e-46,6.325232107034604e-58,1.169930222767972e-68,1.8164205232405165e-51,3.114235963627e-23,6.228622453323918e-61,8.274685004324295e-54,1.3309449425217106e-70,1.2729266666805018e-68,1.0643288405060208e-50,1.5171556581712724e-59,1.6457851836065598e-75,5.624102910689115e-47,9.742792685860698e-52,3.3349463969897746e-55,1.1744831749837018e-91,1.1637865807207848e-67,2.2402466284116396e-82,1.4084006203733058e-66,3.8080226189287376e-67,3.5806627475217984e-55,1.704422571958377e-95,1.090254050984872e-34,4.112001854967947e-62,1.3559919385745336e-68,2.4860688232681692e-20,4.359714231067654e-37,3.060149210110398e-64
1.3254702398778595e-20,0.8100373833790342,2.9528565259490486e-23,1.8877934277587603e-24,7.563072294908676e-36,8.376200470492039e-37,0.0,0.0,6.40260554533894e-20,1.5389749521496994e-36,5.360086131502687e-47,6.224879119181811e-47,3.2998750723692105e-50,2.678923512438508e-58,2.6606222175584774e-39,2.3839991522886428e-33,5.007152700385146e-20,2.025297921979054e-33,3.3287520540532887e-73,4.5005796637128534e-55,8.996112344964561e-53,2.8700430893406138e-70,3.0749614891602975e-21,2.2663651999046028e-66,1.5552169959573095e-36,2.5430783102247124e-82,3.871030696139458e-71,2.3286472392830865e-53,3.4595351595441495e-53,1.9265613420941074e-53,7.106187204604787e-51,1.9697098159782743e-83,8.431859653029708e-85,2.5340988800688816e-84,3.76,0.0,0.6842277927630239,0.9999999999999417,9.689421749812038e-48,3.5679831796184294e-34,1.5415400322781348e-15,1.5415400322781348e-15,5.829203126066421e-14,3.239943506815256e-38,2.0182545776749812e-33,6.405558401864845e-20,3.244192723140891e-32,6.855781723414781e-36,1.0944669932825777e-49,1.960471193525443e-33,1.2518669548345747e-35,1.99698121171751e-39,3.926424615887452e-33,1.560243840613884e-37,2.2110726069621238e-34,6.27233440584957e-23,7.616567444246296e-34,4.568123952953862e-34,4.836297407748171e-42,5.767992420295308e-36,3.220765710739248e-40,8.864382599088618e-49,1.0089071290547336e-35,5.0494815531839206e-43,8.438469671802496e-64,3.0749614891626808e-21,6.974321190576837e-68,3.785613212579651e-49,4.2750499996942104e-51,3.746960953430385e-53,5.69096118545657e-38,3.824763553090218e-68,1.4869748885136345e-45,9.459434442279699e-49,8.13656611353716e-71,5.317940605535422e-55,6.263899819052892e-44,2.324562771689905e-37,1.9695481670834848e-45,5.122336925912412e-57,1.9072815382645892e-67,7.342306520424947e-51,6.272334405614576e-23,5.044722000315144e-60,6.701219215924183e-53,2.1575758865724787e-69,2.0635232861106863e-67,8.619210896305352e-50,1.2288605546483365e-58,2.6684168900912975e-74,2.2733541993437413e-46,7.889966115945723e-51,2.700726056635e-54,3.832669029330622e-90,1.8972658511415676e-66,7.352713748839571e-81,2.2960484731721325e-65,6.208037964123922e-66,2.8997135279183585e-54,5.563519162809437e-94,4.406981190706845e-34,3.3304163767526026e-61,2.2106090945706397e-67,5.0071527003851814e-20,1.762266198030894e-36,4.960633740321838e-63
2.6602095024122074e-20,0.8100373833790343,5.926362398257998e-23,3.788788208188667e-24,3.041078106200893e-35,3.3680333694542645e-36,0.0,0.0,1.2849984556029368e-19,6.1881505960163e-36,4.3142636372531595e-46,5.0103242690365166e-46,2.6560663701498673e-49,2.1562307038863126e-57,1.0698244918379302e-38,9.585955739247323e-33,1.004932045461905e-19,8.14363386859816e-33,5.360922743676186e-72,3.622458055010195e-54,7.240853859313381e-52,4.629633067307882e-69,6.171426205512709e-21,3.649953365433845e-65,6.253459139809415e-36,8.21917130389762e-81,6.251025742869764e-70,1.8781383595288155e-52,2.7902404364403203e-52,1.553841516876049e-52,5.719677686574018e-50,6.365809388872559e-82,2.7243555642420434e-83,8.189896653156588e-83,3.76,0.0,0.6842277927630224,0.999999999999883,7.798889584931866e-47,1.4346703439644388e-33,3.0938600647819858e-15,3.0938600647819858e-15,1.1699169910097484e-13,1.3027670574258304e-37,8.115312890928893e-33,1.2855910918427447e-19,1.3044756254969935e-31,2.756679678150092e-35,8.80922252670153e-49,7.882968444496903e-33,5.03370196648634e-35,8.029773621900606e-39,1.5787980690060057e-32,6.2736718612347775e-37,8.890625706037256e-34,1.2588531290533516e-22,3.0625882704503793e-33,1.8368225501445597e-33,1.945167744734764e-41,2.319284383648527e-35,1.2950557276014279e-39,7.146915787639073e-48,4.056771192571079e-35,2.0303743251702148e-42,1.361456090371068e-62,6.17142620552229e-21,1.1252315206859493e-66,1.5232893785418275e-48,3.4409321606551055e-50,3.0175474724284193e-52,2.2883104629820305e-37,6.17084357236958e-67,1.1968467541489361e-44,7.629369648925816e-48,1.31405394000838e-69,4.2803412497157405e-54,2.518760722971217e-43,9.346964667346164e-37,7.919466556196385e-45,4.122902347620835e-56,3.080264778939943e-66,2.952344821268855e-50,1.2588531289588618e-22,4.061432511592552e-59,5.393790032339972e-52,3.474754855436521e-68,3.3232840626587565e-66,6.93749078374925e-49,9.892018096626012e-58,4.2978953981330543e-73,9.141072378186057e-46,6.35053114161557e-50,2.1737792882823623e-53,1.2384862621625586e-88,3.064089417447744e-65,2.3826906158974698e-79,3.708124417233134e-64,1.0025997894527327e-64,2.33394171668341e-53,1.798033264185721e-92,1.7720277541763987e-33,2.6812699191201587e-60,3.570139592567721e-66,1.0049320454619192e-19,7.085994874999118e-36,7.988947710814e-62
5.329688027480903e-20,0.8100373833790349,1.1873374142949932e-22,7.590777769137218e-24,1.2196083361440732e-34,1.3507320202356375e-35,0.0,0.0,2.5744742577408606e-19,2.481725160802352e-35,3.461924866721016e-45,4.020469689389112e-45,2.131341909456281e-48,1.7302393451982918e-56,4.2904747029632805e-38,3.8443969937768023e-32,2.0133655963086597e-19,3.265961414362459e-32,8.605524712671157e-71,2.906794454822174e-53,5.810329209051315e-51,7.437598795743266e-68,1.2364355638203051e-20,5.859017212039317e-64,2.5079168078543945e-35,2.643223346047624e-79,1.0047781728038118e-68,1.5086228679309628e-51,2.2412728583331092e-51,1.2481300078807183e-51,4.5896811307464396e-49,2.047156530134332e-80,8.760032979686839e-82,2.6337683701618794e-81,3.76,0.0,0.6842277927630193,0.9999999999997656,6.2581177350078234e-46,5.7536697512918324e-33,6.198500129789674e-15,6.1985001297896755e-15,2.34391034773781e-13,5.224678762565076e-37,3.254603435630296e-32,2.575661595155085e-19,5.231530699226392e-31,1.1055518464410104e-34,7.068846292219383e-48,3.161422920613544e-32,2.0187396265488715e-34,3.220298362792386e-38,6.331686391413104e-32,2.5160230133022902e-36,3.565538551033324e-33,2.5220925061321724e-22,1.2282348740585214e-32,7.366479965051448e-33,7.805114022272086e-41,9.301367703725094e-35,5.193752701571789e-39,5.739782236668267e-47,1.6269466917389115e-34,8.14270915955995e-42,2.187411334847423e-61,1.2364355638241473e-20,1.8078762877906378e-65,6.117982592211244e-48,2.761131356518277e-49,2.4220582693984507e-51,9.177148428961062e-37,9.914512315703212e-66,9.603941453991426e-44,6.128321844069901e-47,2.11230122204025e-68,3.4347042864276787e-53,1.0101951836028197e-42,3.748550885111789e-36,3.176060296017404e-44,3.308369412681608e-55,4.9514356696691555e-65,1.184050924393149e-49,2.5220925057532264e-22,3.2606508770004176e-58,4.328203119733442e-51,5.577787400647389e-67,5.334641649612973e-65,5.566899446053111e-48,7.938419453280621e-57,6.899691812295569e-72,3.6659910024439785e-45,5.0959012986065986e-49,1.7443209790822943e-52,3.9825205697681464e-87,4.9254342483766664e-64,7.672643433839211e-78,5.960701700778277e-63,1.6116498794792023e-63,1.8728412411862015e-52,5.782205562063487e-91,7.1066238530363e-33,2.1526112002132503e-59,5.738895125117946e-65,2.0133655963087158e-19,2.8418008737415707e-35,1.2824030360384054e-60
