Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180),CH2O2(318),C2H2O(623),S(3850),S(970),S(2764),CHF2O(206),CF3(45),S(1375),C3HF3(994),CH2F(46),S(2131),CF3O2(511),S(1368),C2HF5(81),CH2CFO(79),C2F5(3279),CF3CCH(84),CHF2O(207)
0.0,0.8627075972917264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6926839525523476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.283343295834043e-23,0.8627075972917263,5.036294960503428e-25,7.784599104795072e-26,2.6406742710456398e-39,1.7347502754052934e-40,0.0,0.0,9.548060210680697e-22,3.5013902186224737e-40,1.5037254883535369e-52,1.7420323173561956e-52,1.7162989007094305e-55,5.535574465591072e-63,2.593792415517818e-42,6.42255751716317e-37,1.4543845390501417e-21,4.495956297617866e-37,1.7499121998106637e-81,2.525780528886737e-59,4.333997928962391e-88,6.564254151440499e-77,9.403188678282639e-23,2.0475235095337454e-73,6.366085207342539e-40,6.135727750037675e-79,1.1856834887397866e-77,2.096543275510427e-58,2.1372943357168907e-58,1.996492355740663e-58,3.6890045715645486e-56,2.6499896277132223e-92,2.62571852503896e-93,2.775881653792192e-93,3.76,0.0,0.6926839525523476,0.9999999999999994,2.872593913452257e-53,1.3919774694968678e-37,2.5572345991647106e-17,2.5572345991647106e-17,5.159380875984906e-16,5.365057321710743e-42,4.470760670028136e-37,9.553096505641203e-22,2.1243834561148863e-35,7.514044696830953e-40,2.3654302024411128e-54,4.558637880969922e-37,4.997624169465484e-39,7.682813020401665e-43,1.465727448006633e-37,2.1253194900996408e-36,2.4753432567733794e-24,1.9616493710258608e-37,1.5596336894924026e-37,1.6507205350181064e-45,2.0583521536861016e-39,2.2871625993171613e-43,3.736887048239922e-54,4.770755427876124e-39,8.903685111938779e-46,9.403188678282701e-23,3.4991128426482416e-71,3.1075870640845557e-75,2.779089010760897e-52,2.2234364370976126e-56,3.47432694494281e-58,1.477518714020446e-41,1.5126941432849985e-75,4.168484426637259e-51,1.0877043868072193e-59,5.252425566446699e-54,2.389569408619954e-48,9.631483784058033e-62,1.4934520106111816e-40,1.3259646412190314e-63,2.3087266511951672e-55,2.469177976793741e-81,2.0503076890276032e-47,1.4405105513456923e-77,5.368951469024952e-54,5.157269638846976e-65,2.3957772244811883e-57,2.6719593802439454e-76,2.1531024674599265e-74,2.4753432567724155e-24,1.0874248038369837e-72,3.9814743878331402e-59,1.618862582058091e-49,2.125222664547281e-56,1.063380409391574e-96,2.0283678301919033e-100,2.7914944485491427e-55,2.0746240538416404e-82,2.938456638720204e-59,1.4543845390501417e-21,1.3212085082067525e-74,1.165065954157985e-90,1.4506322484649405e-37,1.2289331353349384e-93,2.5917324327642175e-39,1.5479098349651072e-74,1.348524194477933e-82,1.012919865141653e-60,2.8043419448570444e-75,7.593142179205525e-93,1.5396762811200673e-62
2.319336122833532e-22,0.8627075972917263,1.4101625889411445e-24,2.1796877493428047e-25,1.594967259711645e-38,1.0477891663454215e-39,0.0,0.0,2.673456858990594e-21,2.114839692047973e-39,1.785223217728971e-51,2.0681407671722264e-51,2.043719098202254e-54,6.571834005549652e-62,1.5666506189727532e-41,3.879224740366501e-36,4.072276709340395e-21,2.7155576037617926e-36,4.103287578839658e-80,2.998606643894979e-58,2.070580670536873e-86,1.8512246988254066e-75,2.632892829919118e-22,4.587135197489529e-72,3.84511546523484e-39,1.49566457239619e-77,3.703158087784272e-76,3.16829619795149e-57,3.2298792001353585e-57,3.017099247995272e-57,4.37958622737729e-55,1.7124352889188115e-90,1.5499995994109667e-91,1.8552713077990757e-91,3.76,0.0,0.6926839525523476,0.9999999999999986,3.410343496491872e-52,8.40754391576108e-37,7.160256877661189e-17,7.160256877661189e-17,1.4446266452754383e-15,3.2404946234370217e-41,2.7003394446975947e-36,2.6748670215795368e-21,1.2831276074933914e-34,4.5384829968856484e-39,2.808238736338083e-53,2.753417280105761e-36,3.0185649983585256e-38,4.640419064322654e-42,8.852993785959462e-37,1.2836929720201888e-35,6.930961118968574e-24,1.1848362200996167e-36,9.420187484534195e-37,9.970387457215956e-45,1.24324470082641e-38,1.381446209994489e-42,5.4867950493007255e-53,2.8815362784370467e-38,5.3778258076307585e-45,2.6328928299191564e-22,9.597728141842109e-70,8.523810794170924e-74,1.67857872634378e-51,2.6396637381219932e-55,4.441768955703761e-57,8.924213032686459e-41,4.14917374828523e-74,4.948824711302989e-50,1.2913226480175725e-58,7.93745855019545e-53,1.443299922806924e-47,1.1434497547375524e-60,9.020450144095615e-40,1.5814476823859668e-62,2.7409202802989155e-54,5.547795514356077e-80,1.2383860453802101e-46,4.527189513042516e-76,3.2428471651965962e-53,6.122730437439821e-64,2.8489815480550214e-56,5.986531278816319e-75,4.8240311448036966e-73,6.930961118962754e-24,3.419037571232121e-71,4.7268063932366215e-58,9.777930063553449e-49,2.5230643473503697e-55,4.7963921582994404e-95,9.102782231376121e-99,3.3140622093173284e-54,4.640865472399465e-81,3.488535721489264e-58,4.072276709340396e-21,4.15409094316344e-73,5.565659870927223e-89,8.761818780728292e-37,5.8707610594712736e-92,1.565406389389571e-38,4.866876186703877e-73,4.1746049324554445e-81,1.3154632188747292e-59,8.817299769341798e-74,3.6273402110187747e-91,1.827903680946892e-61
5.301339709333787e-22,0.8627075972917263,3.223228774723487e-24,4.982143427070139e-25,7.679080780201895e-38,5.044653800887953e-39,0.0,0.0,6.110758534835636e-21,1.0182042755754136e-38,1.7527428807218704e-50,2.0305128691319295e-50,2.0092212401252812e-53,6.452265597092739e-61,7.542748344325683e-41,1.8676797259909687e-35,9.308061049920902e-21,1.3074240913481606e-35,8.289443987578362e-79,2.9440497844723225e-57,1.0780809621443775e-84,4.026818078391271e-74,6.018040754100743e-22,9.069513110499203e-71,1.8512575782951308e-38,3.073896154855286e-76,8.249502670597094e-75,3.4083084721322323e-56,3.4745566556882256e-56,3.2456576928804286e-56,4.299903728638053e-54,7.744781765290216e-89,6.9568781852964996e-90,8.398877481971681e-90,3.76,0.0,0.6926839525523475,0.9999999999999967,3.34829546898664e-51,4.0478704812968895e-36,1.6366301434654148e-16,1.6366301434654148e-16,3.302003760627992e-15,1.560158670806952e-40,1.3000972028450663e-35,6.113981763610368e-21,6.1777070903820915e-34,2.1850841978380682e-38,2.7571454439653426e-52,1.3256518957859445e-35,1.4533091084825835e-37,2.234162026332874e-41,4.2623354188023864e-36,6.180429077209843e-35,1.584219684337141e-23,5.704476370943152e-36,4.535414769044029e-36,4.80034845439254e-44,5.985688062919245e-38,6.651068838918163e-42,5.8472306422214665e-52,1.3873356784261798e-37,2.589191630580879e-44,6.018040754100927e-22,2.0670411763662086e-68,1.8357540066478912e-72,8.08172530095537e-51,2.5916375110800673e-54,4.49988365649369e-56,4.2966244203759026e-40,8.935982410472895e-73,4.858785447686019e-49,1.2678282332626193e-57,8.538753303394874e-52,6.948867840273906e-47,1.1226457495417242e-59,4.342958446863431e-39,1.5558577309711188e-61,2.691051784633126e-53,1.0984984316639886e-78,5.962297777805328e-46,1.0098648842421596e-74,1.5612918035149657e-52,6.011375249862173e-63,2.7992129874112782e-55,1.1837502867873733e-73,9.538826384054853e-72,1.5842196843343386e-23,7.627684740424924e-70,4.640806546461698e-57,4.707652490508651e-48,2.4771595377958055e-54,1.9791990278965826e-93,3.749268927575834e-97,3.253765929228214e-53,9.169630521396253e-80,3.425065058094207e-57,9.308061049920906e-21,9.26754837797451e-72,2.898027555978638e-87,4.218438578536124e-36,3.056893112312968e-90,7.536757914478099e-38,1.0857733046051192e-71,9.272249557562406e-80,1.3410125468792757e-58,1.9670910746419057e-72,1.888746891238256e-89,1.7946466732770394e-60
1.1265346882334298e-21,0.8627075972917264,6.849361146291127e-24,1.058705478252776e-24,3.353656324229176e-37,2.203132849774394e-38,0.0,0.0,1.2985361886525688e-20,4.446765577650521e-38,1.5502812841494285e-49,1.7959656379467922e-49,1.7782000465680666e-52,5.706955851045322e-60,3.2941163677074935e-40,8.15664804679638e-35,1.97796297310819e-20,5.709864497983759e-35,1.4898349403685849e-77,2.6039786940651002e-56,4.3022454523236564e-83,7.465042069415671e-73,1.2788336602463657e-21,1.6143704290834929e-69,8.084928213324206e-38,5.566171726768697e-75,1.5441449463019734e-73,3.132822685730676e-55,3.1937161799750223e-55,2.9833185973360475e-55,3.803216153122553e-53,2.92551796481533e-87,2.6185959695484364e-88,3.1733081426202724e-88,3.76,0.0,0.6926839525523473,0.999999999999993,2.961529424503779e-50,1.7678113862610198e-35,3.4778390548640063e-16,3.4778390548640063e-16,7.016757991327732e-15,6.813622815508535e-40,5.677866050944793e-35,1.299221124767202e-20,2.6979669892659065e-33,9.542836764971446e-38,2.4386639215086495e-51,5.789470108830671e-35,6.34698269524186e-37,9.757172535910825e-41,1.8614738589674903e-35,2.6991557524266326e-34,3.366466829222685e-23,2.4912947012027876e-35,1.980734785655477e-35,2.0964699893182097e-43,2.6141072351814115e-37,2.904696501240115e-41,5.354599797498678e-51,6.058859393400639e-37,1.1307680092460334e-43,1.2788336602464464e-21,3.816706519981831e-67,3.389644273352739e-71,3.529581983250972e-50,2.2922740291882434e-53,4.035270756693832e-55,1.8764487668105598e-39,1.6499924006558615e-71,4.297540704480965e-48,1.1213797146230284e-56,7.848584514298492e-51,3.0347531489546547e-46,9.929674515122403e-59,1.8966840534825168e-38,1.3774037947856677e-60,2.38020482831625e-52,1.956625848190077e-77,2.603893883781881e-45,1.8912738566592746e-73,6.818575765160677e-52,5.317068400392159e-62,2.4766926901819887e-54,2.10716095688475e-72,1.6979799502768562e-70,3.3664668292104464e-23,1.4285809346591467e-68,4.104740834887503e-56,2.0559555844935546e-47,2.1910195582406026e-53,7.197635880941188e-92,1.3623519027296983e-95,2.8779191166748198e-52,1.6317090609537713e-78,3.0294312562590084e-56,1.977962973108192e-20,1.735709245249821e-70,1.156526721617743e-85,1.8423029555505528e-35,1.2199257947791718e-88,3.291500189610301e-37,2.033533234665699e-70,1.7336175298422923e-78,1.2057622637876252e-57,3.684143880617481e-71,7.537490736162583e-88,1.5873446587908018e-59
2.319336122833532e-21,0.8627075972917265,1.4101625889438224e-23,2.1796877493454806e-24,1.40008549850949e-36,9.197645960285905e-38,0.0,0.0,2.6734568589905674e-20,1.8564370939136164e-37,1.3031048527207533e-48,1.5096173337858953e-48,1.4951071805859412e-51,4.797040262688956e-59,1.375228738707425e-39,3.4052399955991496e-34,4.072276709340387e-20,2.383756029005118e-34,2.5246422940753004e-76,2.1888009938520556e-55,1.529071574157025e-81,1.2830499995743823e-71,2.6328928299188144e-21,2.7232778280371926e-68,3.3752983769322792e-37,9.46522848940091e-74,2.666385288012071e-72,2.680195764894981e-54,2.732291431248427e-54,2.5522918696703944e-54,3.196832337664202e-52,1.0151920846886222e-85,9.069893102944308e-87,1.101290125615214e-86,3.76,0.0,0.6926839525523469,0.9999999999999856,2.4893439269978767e-49,7.380264543272375e-35,7.160256877661186e-16,7.160256877661186e-16,1.4446266452705742e-14,2.8445534071490742e-39,2.3703973072570363e-34,2.6748670215795282e-20,1.1263481084321126e-32,3.9839464982562904e-37,2.0498439665521542e-50,2.4169898044892344e-34,2.6497403346691446e-36,4.073427463417597e-40,7.771286929322763e-35,1.1268443936509087e-33,6.930961119013686e-23,1.0400664965178608e-34,8.269177821689843e-35,8.752614465272923e-43,1.0913383118844264e-36,1.2126536102545467e-40,4.573337575495435e-50,2.529454527858085e-36,4.720733846617174e-43,2.6328928299191518e-21,6.54824154754191e-66,5.815540007055747e-70,1.4735980391315388e-49,1.9267944414023298e-52,3.413764157732663e-54,7.833804221777744e-39,2.8308565865679352e-70,3.612341908363978e-47,9.425872183374107e-56,6.714628961460946e-50,1.2669497004568812e-45,8.346489731023299e-58,7.918282560317326e-38,1.158294417091929e-59,2.0007055762994565e-51,3.3016658415723483e-76,1.0870759435675771e-44,3.2666347179614396e-72,2.846624727354615e-51,4.469442653822895e-61,2.082134755619047e-53,3.5546273681802806e-71,2.8643687527344174e-69,6.930961118962593e-23,2.4675183016355234e-67,3.450282000918721e-55,8.583210357589716e-47,1.841683957532112e-52,2.4534896194657836e-90,4.642059224163363e-94,2.4190644251989584e-51,2.7521910889695368e-77,2.546419507815979e-55,4.0722767093403944e-20,2.9980060807645737e-69,4.1104771082301255e-84,7.691252181361814e-35,4.335807344049101e-87,1.3741365358513583e-36,3.5124229588842863e-69,2.992094299273057e-77,1.0213075119954934e-56,6.363442371888476e-70,2.6789419215369252e-86,1.3342588304112562e-58
4.7049389920337366e-21,0.8627075972917265,2.860615537577971e-23,4.421652291535614e-24,5.719806098064943e-36,3.7575384866125764e-37,0.0,0.0,5.423298199666521e-20,7.58415126914486e-37,1.0683640972695393e-47,1.2376754975475705e-47,1.225947484870699e-50,3.932903432316867e-58,5.618258123707181e-39,1.391151648446965e-33,8.260904181804763e-20,9.738421178960854e-34,4.1561775054053024e-75,1.7945112965522802e-54,5.150312660978523e-80,2.1265612814863555e-70,5.341011169263176e-21,4.473320464213312e-67,1.3789195202506016e-36,1.5608250330369912e-72,4.42962687388594e-71,2.2160376883209665e-53,2.2591113926918377e-53,2.110284274328728e-53,2.6209562948914655e-51,3.3813270238638708e-84,3.01805078489696e-85,3.668276498297833e-85,3.76,0.0,0.6926839525523462,0.9999999999999707,2.0409145512448994e-48,3.015078878028981e-34,1.4525092523255538e-15,1.4525092523255538e-15,2.9305283375375884e-14,1.1620928889360111e-38,9.683846441776337e-34,5.426158815204167e-20,4.601499541283086e-32,1.6275721375094247e-36,1.6805859301354124e-49,9.874191995687463e-34,1.0825053856185703e-35,1.6641280314716182e-39,3.1748242814731693e-34,4.6035270283360945e-33,1.4059949698675332e-22,4.249011003616426e-34,3.378228956789075e-34,3.5759451206911476e-42,4.458473098970711e-36,4.95408567744272e-40,3.778338693737276e-49,1.0333647086981253e-35,1.928573810212214e-42,5.341011169264556e-21,1.0844053809322528e-64,9.630681505692265e-69,6.020676680502724e-49,1.5797024950754277e-51,2.8075154243771422e-53,3.200364635351848e-38,4.687970186843764e-69,2.961616144974256e-46,7.727899503144541e-55,5.551784943854908e-49,5.175902921902889e-45,6.842956544159602e-57,3.2348767931123685e-37,9.498431732943048e-59,1.6402993089899517e-50,5.424235839984348e-75,4.441072231363551e-44,5.42750693059554e-71,1.1629420010648858e-50,3.6645262177781086e-60,1.70718932688944e-52,5.838959536478511e-70,4.7051157582717795e-68,1.4059949698466604e-22,4.099818563025699e-66,2.8287496416225455e-54,3.506521909472656e-46,1.5099237782411307e-51,8.101123549428332e-89,1.5324497894063885e-92,1.983295169492404e-50,4.520729377209492e-76,2.0877085607004496e-54,8.260904181804791e-20,4.981231942165825e-68,1.3845218964012113e-82,3.1421274754655917e-34,1.4604193256285893e-85,5.613796118662658e-36,5.835943278914498e-68,4.96959410280939e-76,8.40430224368999e-56,1.0572954674224612e-68,9.023413668116664e-85,1.0939060017057445e-57
9.476144730434146e-21,0.862707597291727,5.761521434865182e-23,8.905581375934773e-24,2.3120370766730716e-35,1.518857134191174e-36,0.0,0.0,1.0922980881018246e-19,3.0656352031343385e-36,8.6518894866085265e-47,1.0023017069352816e-46,9.928711905518856e-50,3.18496716689635e-57,2.2709897618209452e-38,5.623257389031862e-33,1.6638159126733452e-19,3.93642554452314e-33,6.74489678271151e-74,1.4532417738055946e-53,1.6903807854935385e-78,3.462553777162808e-69,1.075724784794976e-20,7.251709590537409e-66,5.573813171113232e-36,2.5350875256733084e-71,7.220910550519964e-70,1.8020450451225794e-52,1.8370718661644433e-52,1.716048125169528e-52,2.1225183604830356e-50,1.1037719196656073e-82,9.847134172000007e-84,1.1974703325745216e-83,3.76,0.0,0.6926839525523447,0.9999999999999409,1.6527855179075832e-47,1.218743089463032e-33,2.925476381444421e-15,2.925476381444422e-15,5.902331722037264e-14,4.6973653132904364e-38,3.9143655631781595e-33,1.0928742402453382e-19,1.8599996862344732e-31,6.5789068061967e-36,1.3609820583562022e-48,3.9913062794003556e-33,4.375659846455919e-35,6.72667157439104e-39,1.2833147356414555e-33,1.860819228918309e-32,2.831792685831722e-22,1.717518183502596e-33,1.3655341575684758e-33,1.445629241446402e-41,1.8021861114559428e-35,2.0025206401796293e-39,3.071301437336169e-48,4.177025373353294e-35,7.795603694243632e-42,1.0757247847955337e-20,1.7649461200445032e-63,1.5674612331976183e-67,2.4340967074733637e-48,1.2792840370601083e-50,2.277071461556293e-52,1.293638555051965e-37,7.63000160050182e-68,2.3983935392710943e-45,6.258253376977846e-54,4.514619263311854e-48,2.0921827166242207e-44,5.541603607268669e-56,1.3075889210261847e-36,7.692937002045545e-58,1.3283569080517318e-49,8.793965516573609e-74,1.7951623448310015e-43,8.848162606395677e-70,4.700821088435192e-50,2.967963774854162e-59,1.3825778211135664e-51,9.46558345943204e-69,7.627500347995378e-67,2.8317926857473506e-22,6.683738998510926e-65,2.2907948000911054e-53,1.4173925558958925e-45,1.222775423034483e-50,2.633118571328857e-87,4.980453667635896e-91,1.6061238486509849e-49,7.329098743101772e-75,1.6906805199651894e-53,1.6638159126733568e-19,8.120665263764319e-67,4.54413949526051e-81,1.2700981638794682e-33,4.793242457544756e-84,2.2691861480402423e-35,9.514060460659782e-67,8.100249917863244e-75,6.818390695149507e-55,1.7236584594964994e-67,2.9615746332606974e-83,8.858734416282391e-57
1.9018556207234965e-20,0.8627075972917273,1.1563333229515255e-22,1.7873439544808675e-23,9.296599398248692e-35,6.107257735067051e-36,0.0,0.0,2.192234624372097e-19,1.2326784320268103e-35,6.963793370101517e-46,8.067396122076846e-46,7.991759277980262e-49,2.563538661797543e-56,9.131549950520209e-38,2.261087064143051e-32,3.3392669016590567e-19,1.582819398447294e-32,1.0868501274822485e-72,1.169695408752305e-52,5.477774053359449e-77,5.58857577340218e-68,2.1589721205314353e-20,1.1678866886659362e-64,2.241205761581624e-35,4.0866168826019223e-70,1.16613862880865e-68,1.453414612460446e-51,1.481665012560332e-51,1.3840549810613942e-51,1.7083874314392183e-49,3.5672810953940115e-81,3.1817285251104376e-82,3.8701516545128987e-82,3.76,0.0,0.6926839525523417,0.9999999999998815,1.3303055739125618e-46,4.900512360462408e-33,5.871410639682142e-15,5.871410639682145e-15,1.1845938490899212e-13,1.888789975769921e-37,1.573949176971781e-32,2.193390957695159e-19,7.478976932590673e-31,2.6453494916784587e-35,1.0954367633280096e-47,1.604886700541228e-32,1.7594335794613802e-34,2.7047650550880573e-38,5.160152109757773e-33,7.482272277679842e-32,5.683388117887534e-22,6.90606507666851e-33,5.490752789211925e-33,5.814219342021856e-41,7.246511091141183e-35,8.052047422856278e-39,2.4766461407235213e-47,1.6795635313951273e-34,3.134577959903095e-41,2.1589721205336778e-20,2.8480514359262054e-62,2.5293747867140375e-66,9.790957848879701e-48,1.029679088213913e-49,1.8341723613583116e-51,5.201663733691074e-37,1.2312351503187335e-66,1.9304357759068142e-44,5.037186773541151e-53,3.641203968718062e-47,8.412574686194684e-44,4.460364663059782e-55,5.2577575417581714e-36,6.192367808954342e-57,1.0691772040395468e-48,1.4163421267759447e-72,7.218348790110698e-43,1.4289773579529294e-68,1.890198449055407e-49,2.389415429596946e-58,1.1128395403213973e-50,1.5244332966916847e-67,1.22840980177878e-65,5.683388117548281e-22,1.0794256335773709e-63,1.843830949785835e-52,5.699275827161593e-45,9.841960395113076e-50,8.491807292963228e-86,1.6061178649649264e-89,1.292748203005326e-48,1.1805869527832185e-73,1.3608067683656055e-52,3.339266901659104e-19,1.3114896092397308e-65,1.472555426831812e-79,5.1070088560147086e-33,1.553278723142211e-82,9.12429769883074e-35,1.5365233057305601e-65,1.3080779585527365e-73,5.492974701714412e-54,2.7837130162134627e-66,9.597158587321812e-82,7.130280150999533e-56
3.8103379160836603e-20,0.862707597291728,2.316695681911801e-22,3.580915588285878e-23,3.7283521592933947e-34,2.449283505739151e-35,0.0,0.0,4.392107696912353e-19,4.943591841330907e-35,5.58800562066948e-45,6.473577324128892e-45,6.412990705513073e-48,2.0570783300638268e-55,3.662159948709565e-37,9.067970423102845e-32,6.690168879630377e-19,6.347813721237175e-32,1.74512326934377e-71,9.386069007066087e-52,1.7639296638294196e-75,8.980691293437846e-67,4.3254667920009257e-20,1.8747337825693162e-63,8.988237507702293e-35,6.563073674511528e-69,1.874501331317592e-67,1.167461656812102e-50,1.1901539144883877e-50,1.1117482289265209e-50,1.3708733232449797e-48,1.1471971155966833e-79,1.0230842789321589e-80,1.2446043178763568e-80,3.76,0.0,0.6926839525523358,0.9999999999997626,1.0674864433496483e-45,1.9653246373177357e-32,1.1763279156157534e-14,1.176327915615754e-14,2.3733152028073486e-13,7.574892930172481e-37,6.312240165816695e-32,4.394424392594708e-19,2.9994042553878468e-30,1.0609034623029032e-34,8.79019014372815e-47,6.436313472267774e-32,7.056115579963867e-34,1.0847317606655745e-37,2.069451789437614e-32,3.000725836158328e-31,1.13865789825089e-21,2.7696409770528705e-32,2.2020374483972945e-32,2.3328911419598748e-40,2.9061750556789913e-34,3.2292311553953677e-38,1.9891894876831017e-46,6.735800964002173e-34,1.257105959955259e-40,4.3254667920099216e-20,4.57628034668208e-61,4.064227204511843e-65,3.929469092565828e-47,8.262526213549895e-49,1.472362279268297e-50,2.0860998074012976e-36,1.9783621704794667e-65,1.5490531355332786e-43,4.0420251548414515e-52,2.924813036611885e-46,3.3738187109135438e-43,3.5791616921101905e-54,2.1085959333284985e-35,4.969280875342322e-56,8.579473718139099e-48,2.2736797243570007e-71,2.8949448451020437e-42,2.2970374210175652e-67,7.580693304081444e-49,1.9182219976490297e-57,8.929918925198265e-50,2.447077255719285e-66,1.9718892871311034e-64,1.138657898114834e-21,1.7351451801404515e-62,1.4795582168325927e-51,2.285666677952583e-44,7.897553391991684e-49,2.7279598960140465e-84,5.159465032326629e-88,1.037349018464313e-47,1.895932439084278e-72,1.0919617310232484e-51,6.690168879630566e-19,2.1081812433335276e-64,4.741863106979902e-78,2.048138967817338e-32,5.001804983308432e-81,3.659251471414732e-34,2.4699163380727464e-64,2.1026073990606098e-72,4.409741154539587e-53,4.474737372104439e-65,3.0904379622176258e-80,5.721600772298616e-55
