Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180),CH2O2(318),C2H2O(623),S(3850),S(970),S(2764),CHF2O(206),CF3(45),S(1375),C3HF3(994),CH2F(46),S(2131),CF3O2(511),S(1368),C2HF5(81),CH2CFO(79),C2F5(3279),CF3CCH(84),CHF2O(207),CHO2(457),CHFO2(635),S(10638)
0.0,0.8968524216324176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6317778567186477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.431055072570149e-23,0.8968524216324176,7.390842434113094e-25,2.571896646267611e-25,3.978786584192661e-39,2.255828033787608e-40,0.0,0.0,1.3203864655722786e-21,5.0545482724024154e-40,2.006953691900672e-52,2.316186056360681e-52,3.782121758457037e-55,2.903028418738239e-62,1.0084557458758367e-41,1.1287325743271209e-36,2.2269437666976838e-21,6.790564663798565e-37,1.0857400011570195e-80,3.289035740948213e-58,1.1541168330849041e-87,3.107706065371803e-76,2.205244316336076e-22,2.865953690464892e-73,1.0489817030571695e-39,3.4132189057137215e-78,5.433438266657308e-77,5.586607808606621e-58,2.8301671363696605e-58,4.0285522754034644e-58,5.286485015275261e-56,5.841884028004582e-92,9.005828659774668e-93,4.852010842056475e-93,3.76,0.0,0.6317778567186476,0.9999999999999994,3.786349792676041e-53,2.0215353766073897e-37,3.739585487852645e-17,3.739585487852645e-17,5.217308693782848e-16,6.385677939320711e-42,6.752850674458994e-37,1.3211255498156906e-21,7.32012881403196e-35,6.773397341108197e-40,1.472436901592405e-53,7.229577292679023e-37,1.1918735017831867e-38,1.6636758550466234e-42,5.0795877137346865e-37,6.203837384268557e-36,7.085815234592909e-24,3.318753808310642e-37,3.322859352146565e-37,3.581888999906797e-45,4.43904480804489e-39,8.144191961569056e-43,9.011536619541938e-54,1.171226826178145e-38,6.517481753550152e-45,2.2052443163360873e-22,5.770773528647056e-71,5.410531898078378e-75,1.0362559859075783e-51,4.751142059440663e-56,1.2046566791493935e-57,2.5153087969785825e-41,2.3836776108679973e-75,5.551593852187172e-51,6.545248749300151e-59,1.592519777086006e-53,1.340711727163509e-47,5.5268203696693934e-61,4.9918509259079455e-40,4.778903482516658e-63,2.907151189477405e-55,5.502148858975648e-81,4.333010542379861e-47,5.13765660262554e-77,2.0580396602324152e-53,1.724926962551319e-64,1.1885651537421199e-56,1.0377144659942394e-75,7.77438094032293e-74,7.085815234590826e-24,2.204753094320932e-72,1.8618979241987818e-58,6.031374638775442e-49,2.738866341640604e-56,8.671788821322297e-96,2.119879228484989e-99,2.8931973977257488e-55,4.2501522812235413e-82,9.493485928649678e-59,2.2269437666976838e-21,3.451960279233622e-74,5.413444371192171e-90,2.9483406325106366e-37,9.425810855679354e-93,2.3979910817845135e-39,3.630216009886023e-74,8.873692823476857e-82,3.3674782669195097e-60,5.381063976761094e-75,3.990630805921219e-92,6.84490280969541e-62,3.5392997418148893e-70,5.019415104236485e-91,1.0133262108539725e-92
1.800695420319642e-22,0.8968524216324176,2.0694358815522027e-24,7.201310609549732e-25,2.403187096852484e-38,1.3625201324086839e-39,0.0,0.0,3.697082103602377e-21,3.0529471565310566e-39,2.382656910107396e-51,2.749776086118543e-51,4.5142802937800087e-54,3.446475338726011e-61,6.091072705090029e-41,6.817544748935738e-36,6.235442546753515e-21,4.101501056935061e-36,2.534420070169388e-79,3.9047432316543194e-57,5.516426789238645e-86,8.764228337461009e-75,6.174684085740977e-22,6.420358140214274e-72,6.335849486465227e-39,8.300208400201186e-77,1.6920800149378671e-75,8.442481720366598e-57,4.276948576481833e-57,6.08794819858969e-57,6.276115010193064e-55,4.0523872719366935e-90,5.349339831900313e-91,3.516040355489217e-91,3.76,0.0,0.6317778567186476,0.9999999999999986,4.4951544775651514e-52,1.2210073674708638e-36,1.0470839365987407e-16,1.0470839365987407e-16,1.460846434258941e-15,3.8569494770004627e-41,4.078721807373959e-36,3.699151539483935e-21,4.421357803675305e-34,4.091131994029146e-39,1.7480770895705e-52,4.366664684778007e-36,7.19891595077303e-38,1.004860216448168e-41,3.0680709790955744e-36,3.7471177800982264e-35,1.9840282656866881e-23,2.0045273002196208e-36,2.0070070486965456e-36,2.163467870574393e-44,2.6811830640591274e-38,4.919091944805397e-42,1.3377695311203326e-52,7.074210030115634e-38,3.9365589791525005e-44,6.174684085741043e-22,1.599724106343674e-69,1.4998610260011722e-73,6.259006539496731e-51,5.6405558529675325e-55,1.5785200841951604e-56,1.5192465133754326e-40,6.607825652709001e-74,6.590852221315825e-50,7.770519315169541e-58,2.406613760357469e-52,8.097898832069497e-47,6.561441142457865e-60,3.015077959249419e-39,5.689847977303032e-62,3.451369892147595e-54,1.234193723520073e-79,2.617138565040098e-46,1.6144601379388238e-75,1.2430561189871742e-52,2.047839283711038e-63,1.4130593229305803e-55,2.324460630505925e-74,1.7414465167953385e-72,1.984028265685429e-23,6.932096489040165e-71,2.2104452156092074e-57,3.642950291696323e-48,3.251582120795548e-55,3.894482333484107e-94,9.491143980026301e-98,3.434803950579801e-54,9.507447304226369e-81,1.12706664944945e-57,6.2354425467535155e-21,1.0853515431555401e-72,2.5860673374509707e-88,1.7807977420364368e-36,4.502822955488326e-91,1.448386613397832e-38,1.1413979969643234e-72,2.7545555510642603e-80,4.362349586906307e-59,1.6918926113173308e-73,1.906380481905106e-90,8.126268615674992e-61,7.917271950448944e-69,3.0535551553719075e-89,5.836240151450133e-91
4.115875246444896e-22,0.8968524216324179,4.730139157836134e-24,1.646013853611566e-24,1.157031138683399e-37,6.559947922268894e-39,0.0,0.0,8.450473379662564e-21,1.4698626376146193e-38,2.3393073349371297e-50,2.69974646731615e-50,4.442727507497458e-53,3.383769924881208e-60,2.932589309006896e-40,3.282354326143159e-35,1.4252440106865174e-20,1.9746962042336932e-35,5.109464164698176e-78,3.833700059651047e-56,2.8713655699733756e-84,1.9064110981964594e-73,1.4113563624550632e-21,1.269379892071261e-70,3.0504387924901314e-38,1.7040960316160583e-75,3.76704077968904e-74,9.082036582296507e-56,4.60094611025343e-56,6.549136863077808e-56,6.161926933887471e-54,1.8364130892038396e-88,2.3998575286176545e-89,1.5952013058851853e-89,3.76,0.0,0.6317778567186475,0.9999999999999967,4.4133693235973885e-51,5.8786248751742905e-36,2.3933347122256924e-16,2.3933347122256924e-16,3.3390775640192265e-15,1.8569551471834056e-40,1.9637289761337452e-35,8.455203518820428e-21,2.1286934591204944e-33,1.9697039467939552e-38,1.716272452496096e-51,2.1023610767108756e-35,3.4659681431893067e-37,4.837969386475688e-41,1.4771441071537816e-35,1.8040759113453214e-34,4.5349217501441757e-23,9.650936074567237e-36,9.662874996042512e-36,1.0416236931189282e-43,1.290874230179474e-37,2.3683310224508117e-41,1.4308309715540265e-51,3.4059276105254987e-37,1.8952836939444877e-43,1.4113563624550952e-21,3.458544744695667e-68,3.2426444339242016e-72,3.0134629839415877e-50,5.537931184482722e-54,1.6148072033033999e-55,7.314517981619246e-40,1.4285876292300218e-72,6.470937794106929e-49,7.629141942185458e-57,2.5889245311920147e-51,3.898789702594334e-46,6.442061821604244e-59,1.4516302492555597e-38,5.593485621125687e-61,3.388575426454919e-53,2.4418232970871986e-78,1.2600397618880557e-45,3.6012048102373084e-74,5.984781791169282e-52,2.010593448237165e-62,1.3882241200217033e-54,4.595765052059659e-73,3.4430693025671067e-71,4.534921750138114e-23,1.5465125932953731e-69,2.170228220447356e-56,1.7539237597697895e-47,3.192422607815737e-54,1.6041703065420856e-92,3.905074330022863e-96,3.3723108867884865e-53,1.878522875243754e-79,1.1065607198438925e-56,1.4252440106865177e-20,2.4213595876751252e-71,1.3465599011354382e-86,8.573774559341107e-36,2.3446105775997413e-89,6.973358065829144e-38,2.5463961430112935e-71,6.122965296594458e-79,4.4426933994786154e-58,3.7745193449664865e-72,9.926457014083714e-89,7.978418714994966e-60,1.564319519965084e-67,1.3785207601274814e-87,2.6172150462158686e-89
8.746234898695403e-22,0.8968524216324179,1.0051545710412571e-23,3.497779438925424e-24,5.053058961926464e-37,2.8649016029252757e-38,0.0,0.0,1.7957255931782894e-20,6.419276305951037e-38,2.0690911047303767e-49,2.3878951767121013e-49,3.933744087363032e-52,2.9929061785821963e-59,1.2807387972622733e-39,1.4334903693953304e-34,3.028643522708847e-20,8.624017123035148e-35,9.174692746686186e-77,3.390864287491727e-55,1.1457427792651233e-82,3.534164884385604e-72,2.999132270216935e-21,2.259468100956154e-69,1.3322067628824823e-37,3.0843772240476163e-74,7.04937615145862e-73,8.347956316246631e-55,4.229062148534449e-55,6.019785094089669e-55,5.450154591431148e-53,6.940086852403776e-87,9.030830557419657e-88,6.030128104999726e-88,3.76,0.0,0.6317778567186473,0.9999999999999929,3.9035751875484373e-50,2.567349928291384e-35,5.085836263479596e-16,5.085836263479596e-16,7.095539823535692e-15,8.109811007816176e-40,8.576120356573882e-35,1.7967307477493433e-20,9.29656359382059e-33,8.60221462320422e-38,1.5180235480656802e-50,9.181563161700452e-35,1.5136793472685385e-36,2.11286833590932e-40,6.451076396440307e-35,7.878873478021323e-34,9.63670871906992e-23,4.214817336554398e-35,4.220031377226447e-35,4.549106206657291e-43,5.637586906217211e-37,1.0343123791466836e-40,1.3121788415442107e-50,1.4874580692456774e-36,8.277201827132788e-43,2.9991322702170747e-21,6.395928746145083e-67,5.996661682711269e-71,1.3160766982556794e-49,4.898237417598183e-53,1.454095744769991e-54,3.19444217216851e-39,2.6419044305234237e-71,5.72347119784576e-48,6.747889650580971e-56,2.3796674112135415e-50,1.7027038935006017e-45,5.697930725621227e-58,6.339650675918888e-38,4.95022099350516e-60,2.997156590303741e-52,4.347745852340296e-77,5.5029264491836734e-45,6.744247828345171e-73,2.6137129078677354e-51,1.778369720755336e-61,1.2282156554472022e-53,8.180371173324641e-72,6.128595468096892e-70,9.636708719043448e-23,2.896446931377738e-68,1.9195422839345872e-55,7.659845944321488e-47,2.8236616435766388e-53,5.82924309187529e-91,1.4183133459324693e-94,2.9827707891579786e-52,3.3427721892736074e-78,9.787404253010772e-56,3.02864352270885e-20,4.534938530658645e-70,5.373767080679778e-85,3.7443926032886877e-35,9.356725332675605e-88,3.0454486738661022e-37,4.769118160739206e-70,1.1451499054538678e-77,3.9929409195079865e-57,7.0692569989735306e-71,3.9613846839318403e-87,7.056821000712699e-59,2.783623004504603e-66,5.205032095100734e-86,9.846617124280072e-88
1.8006954203196417e-21,0.8968524216324179,2.0694358815599748e-23,7.201310609555834e-24,2.109552646940554e-36,1.1960400235277013e-37,0.0,0.0,3.69708210360234e-20,2.679921494027733e-37,1.739195848224207e-48,2.0071697775496163e-48,3.308214931799211e-51,2.5157179792235315e-58,5.346832364633327e-39,5.984540109081374e-34,6.2354425467535e-20,3.6003573847558296e-34,1.554059792376777e-75,2.850225748540648e-54,4.071935033240984e-81,6.074326454550269e-71,6.174684085740442e-21,3.811472072289724e-68,5.561700989608002e-37,5.243874411245948e-73,1.2171183296583007e-71,7.141852383232543e-54,3.6180517051293196e-54,5.1500528862480746e-54,4.5811833305506016e-52,2.4088025226681715e-85,3.1275488628300533e-86,2.093222888842513e-86,3.76,0.0,0.6317778567186467,0.9999999999999853,3.281190153439115e-49,1.0718180566772362e-34,1.0470839365987398e-15,1.0470839365987398e-15,1.4608464342552195e-14,3.385686465724454e-39,3.5803614276079796e-34,3.6991515394839517e-20,3.8811322971997446e-32,3.591255270252694e-37,1.275990259929506e-49,3.8331218805767005e-34,6.31931330648933e-36,8.820809383458166e-40,2.6931974058196595e-34,3.289274581139418e-33,1.9840282656964485e-22,1.759603269166197e-34,1.7617800285083866e-34,1.8992140068486767e-42,2.3535815572255797e-36,4.3180505782706336e-40,1.1214515425254823e-49,6.209844632391417e-36,3.4555688258435553e-42,6.1746840857410255e-21,1.0980965421633734e-65,1.029547657527452e-69,5.494513602659308e-49,4.117263690433313e-52,1.2324911821996818e-53,1.333616724163183e-38,4.535801187012097e-70,4.81092240679447e-47,5.672007842168001e-55,2.0358554696534887e-49,7.108453577447427e-45,4.789454098343398e-57,2.6466793609306072e-37,4.162092666961796e-59,2.519290706382295e-51,7.335238895143175e-76,2.2973649438949267e-44,1.1648693984164568e-71,1.091174912512854e-50,1.494864899334364e-60,1.032526900924849e-52,1.3799353803839067e-70,1.0338242042209755e-68,1.9840282656853977e-22,5.0028917784738265e-67,1.613490950748592e-54,3.1978349712476648e-46,2.3734577498021785e-52,1.986309104940658e-89,4.8317115554279395e-93,2.5071985737083053e-51,5.638212581310884e-77,8.226903010011182e-55,6.23544254675351e-20,7.832978552148594e-69,1.9099209864513513e-83,1.5632102033572997e-34,3.3255267318131645e-86,1.2714148715619412e-36,8.237465626750227e-69,1.9767136676073977e-76,3.3814560891512994e-56,1.2210383465669119e-69,1.4079376061896994e-85,5.931683256489675e-58,4.694987059981948e-65,1.8058674319201242e-84,3.4095708887973024e-86
3.652839281219845e-21,0.8968524216324181,4.197998502611131e-23,1.460837295082742e-23,8.618210892838258e-36,4.886213754419705e-37,0.0,0.0,7.499795124450373e-20,1.0948353739954293e-36,1.4258978749926684e-47,1.6455990517995346e-47,2.71293744356965e-50,2.0625375926454745e-57,2.184355483796591e-38,2.4448799052946494e-33,1.2649040594842778e-19,1.4708634684457297e-33,2.557833471465681e-74,2.3367872720460466e-53,1.3715066141040734e-79,1.0067750632771724e-69,1.2525787716786507e-20,6.260798208378894e-67,2.2721363280890104e-36,8.646339361060044e-72,2.0218587882520665e-70,5.9050216603434e-53,2.991475116060783e-53,4.258163318607473e-53,3.75593087782489e-51,8.023876030694843e-84,1.0406372240914214e-84,6.973069864698519e-85,3.76,0.0,0.6317778567186456,0.9999999999999704,2.6901179290499375e-48,4.3787264871466505e-34,2.124084557100298e-15,2.1240845571002987e-15,2.96343133805195e-14,1.3831634032074146e-38,1.4626944674988134e-33,7.503993122953193e-20,1.5855691816345769e-31,1.4671449576709675e-36,1.046133907174536e-48,1.5659553599019922e-33,2.581645679831917e-35,3.6035884490660024e-39,1.100259017143695e-33,1.3437759927822993e-32,4.0247430532925935e-22,7.188553498952288e-34,7.197446271125894e-34,7.759331536388632e-42,9.61514861601906e-36,1.7640645558525927e-39,9.267901162930721e-49,2.536924154570583e-35,1.4117126178400076e-41,1.2525787716788895e-20,1.8190733186798292e-64,1.7055173222076745e-68,2.244812678401322e-48,3.375581528007392e-51,1.0145440878184256e-52,5.44825946665099e-38,7.513870230260627e-69,3.944284852770917e-46,4.6502547172929616e-54,1.6832846323043764e-48,2.904035229527685e-44,3.9266838321497732e-56,1.0812548779673986e-36,3.412794490875468e-58,2.0654667302257837e-50,1.2049882493559579e-74,9.385497475169185e-44,1.935422976831577e-70,4.45781556587023e-50,1.225642867617323e-59,8.465827073125079e-52,2.266704802622567e-69,1.6981768292129597e-67,4.0247430532474465e-22,8.312379514510999e-66,1.3228373644450646e-53,1.3064199889016387e-45,1.9459040615632502e-51,6.557377393335986e-88,1.5948948087592605e-91,2.055552869281411e-50,9.261236725774771e-76,6.744912136167196e-54,1.264904059484282e-19,1.3014611016502689e-67,6.433139892309801e-82,6.3862237436446915e-34,1.120128991363119e-84,5.1941446027867655e-36,1.3686672340564465e-67,3.2833538185999204e-75,2.782329660658794e-55,2.0287734749943327e-68,4.742320755686063e-84,4.863152310923743e-57,7.711530344161603e-64,6.0142925286248186e-83,1.1343857108829845e-84
7.35712700302025e-21,0.8968524216324184,8.455123744768328e-23,2.942249763341366e-23,3.483618636227889e-35,1.9750857234207703e-36,0.0,0.0,1.5105221166146176e-19,4.425499630805197e-36,1.1547290843558727e-46,1.3326487773040867e-46,2.1972715475393325e-49,1.6702964174220722e-56,8.82951411389845e-38,9.882595479862489e-33,2.547623669102123e-19,5.9454653103277504e-33,4.150585083941076e-73,1.8923909182138495e-52,4.501369561276736e-78,1.6392722025706255e-68,2.5227994978874855e-20,1.0149380943208393e-65,9.184338321475242e-36,1.4042675863105837e-70,3.2958126652875817e-69,4.801865546078406e-52,2.4326178832191453e-52,3.462667692904249e-52,3.0416502039460175e-50,2.619377525999752e-82,3.395220374321876e-83,2.276410011690232e-83,3.76,0.0,0.6317778567186435,0.9999999999999403,2.1785272450021613e-47,1.7699512559178303e-33,4.2780857981034064e-15,4.278085798103408e-15,5.96860114561913e-14,5.590967703222073e-38,5.912444902389405e-33,1.511367628989178e-19,6.409124142868036e-31,5.9304344951925905e-36,8.471863608830141e-48,6.329841939438563e-33,1.0435424607634762e-34,1.4566280675350296e-38,4.4474228635677586e-33,5.431757414123148e-32,8.106172628553811e-22,2.9057282593580273e-33,2.909322860055151e-33,3.1367875410348497e-41,3.8865968035953244e-35,7.130630985286138e-39,7.534732374367013e-48,1.0254653052030628e-34,5.706368115130101e-41,2.5227994978884508e-20,2.961143761462286e-63,2.7762938012735452e-67,9.074899026750249e-48,2.7336334392344073e-50,8.232290274596599e-52,2.2022735866127864e-37,1.2231310155674135e-67,3.1941841362511985e-45,3.7658968360655193e-53,1.368819092040104e-47,1.1738574713130132e-43,3.1799303664625687e-55,4.370605094575835e-36,2.7639661821350306e-57,1.6726685089783891e-49,1.9534854035331032e-73,3.793777896901347e-43,3.155208336055774e-69,1.8019284160221713e-49,9.926582895487395e-59,6.856064746107781e-51,3.674551503496905e-68,2.7529117218040947e-66,8.106172628371321e-22,1.355127654492125e-64,1.071267994609036e-52,5.280758961724042e-45,1.575843560020659e-50,2.131164673323522e-86,5.18313898983252e-90,1.664640007347625e-49,1.50143410300864e-74,5.462204721550352e-53,2.5476236691021395e-19,2.121710067513053e-66,2.111420927265042e-80,2.5814137441145334e-33,3.676375507437063e-83,2.099556295672816e-35,2.2312730252855819e-66,5.351911944669084e-74,2.257194901176502e-54,3.3074128002281206e-67,1.5564770207242782e-82,3.9383068271988728e-56,1.2500723000215399e-62,1.9631652515232988e-81,3.700939375302217e-83
1.4765702446621063e-20,0.896852421632419,1.696937422930226e-22,5.905074699875844e-23,1.4007477321204258e-34,7.941732826833857e-36,0.0,0.0,3.0316073249536723e-19,1.7794739374922035e-35,9.294264327551987e-46,1.0726316739912692e-45,1.768660940480986e-48,1.3443998692447065e-55,3.5503087915836727e-37,3.9737481772158173e-32,5.113062888337768e-19,2.3906454522042652e-32,6.687774491798176e-72,1.523160845283061e-51,1.4586872337234316e-76,2.645791948599062e-67,5.063240950303639e-20,1.6345551826468418e-64,3.6929820448746027e-35,2.2636556928828158e-69,5.322481574499117e-68,3.8728785224462485e-51,1.9619944504510377e-51,2.792766938078139e-51,2.4481847017213085e-49,8.465777938039806e-81,1.0970182380864919e-81,7.357419345501346e-82,3.76,0.0,0.6317778567186392,0.9999999999998802,1.7534682543804214e-46,7.116896154761236e-33,8.586088280109593e-15,8.5860882801096e-15,1.1978940760648363e-13,2.248103586750318e-37,2.3773680914012614e-32,3.0333042623769394e-19,2.5770806294951917e-30,2.3846016275102758e-35,6.818892867861983e-47,2.545201604187111e-32,4.196038338164057e-34,5.857037394731257e-38,1.7882891729571844e-32,2.1840857664825645e-31,1.626903177935195e-21,1.1683805532303947e-32,1.169825926362172e-32,1.2615632470725768e-40,1.5627834808524378e-34,2.8671953582319413e-38,6.076330152631922e-47,4.123350890604328e-34,2.294505521890865e-40,5.0632409503075206e-20,4.778704408368536e-62,4.48039288051228e-66,3.6497870276237306e-47,2.2002660126186793e-49,6.632554088148923e-51,8.85524523240521e-37,1.9738932138746034e-66,2.5709572805730677e-44,3.0311213992959696e-52,1.1040021803657251e-46,4.7200292640979285e-43,2.559484595405456e-54,1.757401085949882e-35,2.224780597586176e-56,1.3463091348977582e-48,3.1461755092531597e-72,1.5254692526597478e-42,5.095655091668189e-68,7.245539968365532e-49,7.991402074740921e-58,5.518444647197473e-50,5.9178521437595285e-67,4.4335545491922334e-65,1.6269031778618164e-21,2.1885347817357834e-63,8.622496802813245e-52,2.1233703453352172e-44,1.2683759923910968e-49,6.872704662010401e-85,1.6714390659275205e-88,1.3398470983153324e-48,2.4184891351947443e-73,4.396457561016318e-52,5.113062888337835e-19,3.426567426413442e-65,6.842185078194601e-79,1.0379751130387998e-32,1.1913513461008276e-81,8.442223523053874e-35,3.6035118958686065e-65,8.642729107244013e-73,1.8183814981327828e-53,5.341480506919075e-66,5.043856131371097e-81,3.1698919596002476e-55,2.0132029015796106e-61,6.344610864037564e-80,1.1957740700503606e-81
2.958285333382269e-20,0.8968524216324206,3.399787519924825e-22,1.183072457301371e-22,5.617624905575102e-34,3.18499006655131e-35,0.0,0.0,6.073777741631355e-19,7.13648637851407e-35,7.458061816535748e-45,8.607193667053763e-45,1.4192812451311248e-47,1.0787962277212859e-54,1.4238326168659693e-36,1.5936507492923546e-31,1.024394132680888e-18,9.587557505874743e-32,1.073808341431344e-70,1.2222406530451033e-50,4.697192010694692e-75,4.2517166479888886e-66,1.0144123855129885e-19,2.623846041068373e-63,1.4810509726511358e-34,3.635369145240794e-68,8.555520800560846e-67,3.1109066454111625e-50,1.5759806404375755e-50,2.2433022818441903e-50,1.9645140418412823e-48,2.7225317921010795e-79,3.5274302497285225e-80,2.3661087956264717e-80,3.76,0.0,0.6317778567186305,0.99999999999976,1.4070478445727026e-45,2.8541936690195944e-32,1.7202093244121846e-14,1.7202093244121865e-14,2.399961999028634e-13,9.015901379125569e-37,9.534309350609731e-32,6.077177529152629e-19,1.0335245951758702e-29,9.563319065395878e-35,5.471732087584744e-46,1.0207396801991535e-31,1.6827990460847317e-33,2.3489339576895575e-37,7.171839415383212e-32,8.75916077983479e-31,3.2594750082051043e-21,4.685728589426112e-32,4.6915251821522265e-32,5.0616367981278954e-40,6.267460730217793e-34,1.1498735776614067e-37,4.880557807658871e-46,1.6536481284967018e-33,9.201993387992489e-40,1.014412385514545e-19,7.678775997532098e-61,7.19942695135504e-65,1.4643775662219218e-46,1.7655749071946448e-48,5.324801409740954e-50,3.5513493988350604e-36,3.171797737814873e-65,2.0630313043916462e-43,2.4322840295934825e-51,8.867945869784239e-46,1.8929428434323853e-42,2.0538251791076978e-53,7.047964371830581e-35,1.7853209344323993e-55,1.0803282931684789e-47,5.0505210976802e-71,6.117876917697049e-42,8.191107589921512e-67,2.9058377754382283e-48,6.415204113266676e-57,4.4282391757360295e-49,9.49954346080258e-66,7.116896992919315e-64,3.2594750079108252e-21,3.5180057430302316e-62,6.919010658549435e-51,8.515667933181109e-44,1.0177918543562582e-48,2.207781262911685e-83,5.369235188656715e-87,1.0751429157660923e-47,3.883738202358456e-72,3.5278803135564325e-51,1.0243941326809151e-18,5.508107061227494e-64,2.2032926165114613e-77,4.162744449005221e-32,3.836341160808965e-80,3.3857092204155727e-34,5.7925401279988405e-64,1.3892444021223945e-71,1.4597740567095179e-52,8.586273910948586e-65,1.6242020071651216e-79,2.5436386649494454e-54,3.2316365141481445e-60,2.0403317717340565e-78,3.844938155229199e-80
