Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894),C2H3F2(66),C2HF4(54),CHFO(47),S(2753),S(512),CF2CF2(61),C2HF3(169),C2HF4(69),C2HFO(577),S(3833),S(2867),F(37),S(344),CFO(51),C1OO1(180),CH2O2(318),C2H2O(623),S(3850),S(970),S(2764),CHF2O(206),CF3(45),S(1375),C3HF3(994),CH2F(46),S(2131),CF3O2(511),S(1368),C2HF5(81),CH2CFO(79),C2F5(3279),CF3CCH(84),CHF2O(207),CHO2(457),CHFO2(635),S(10638),S(1089),S(846),CHF3O(248),CFO2(459),S(989)
0.0,0.5173257072338147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5000238142206098,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8404249674657987e-21,0.5173257072338147,1.6094909265665178e-28,2.883240310659102e-32,1.870050967479677e-42,1.6078381604976646e-43,0.0,0.0,5.4549283460269175e-24,7.0174866534674076e-43,1.1671104194324621e-54,1.3578763967019353e-54,8.179294200488536e-60,1.7146399350429409e-71,8.984969494795629e-50,1.0283705254926328e-40,3.2977632616507016e-25,5.112224853783753e-40,1.5583516039502227e-92,5.468189339794009e-74,1.0390237677448826e-88,2.0312236648658778e-87,2.745184267436546e-28,1.1081617599074616e-76,8.679297213630884e-44,2.5116568467510554e-89,5.00897621687341e-87,8.597303046374702e-66,5.305049856283658e-63,1.0161219732825602e-64,2.311546310767012e-59,8.313295852678845e-97,1.3033546013384855e-100,2.388977287903762e-98,3.76,0.0,0.5000238142206098,0.9999999999999993,2.097481660967192e-55,4.097230296952989e-41,2.804188956696157e-20,2.804188956696157e-20,5.361902632674344e-16,4.864002963008474e-44,5.094816777683642e-40,5.455089295119573e-24,7.767880975196825e-43,1.2470888206205008e-39,4.21726863278705e-65,3.9415435352798116e-40,2.3151497039695703e-44,1.0150945495541565e-47,4.152558913675549e-45,1.9499441738093443e-43,6.9276474884061295e-31,4.241537938980583e-41,2.9483336733818937e-42,6.449343547333459e-50,1.465216234095047e-44,9.240481600665e-52,3.752693941060258e-58,3.0944795533808744e-45,1.2957764667735135e-57,2.7451842674376164e-28,4.0361946125775546e-73,1.7181136371054867e-77,1.2012852757987564e-60,3.0415481054817876e-61,2.6076711774445035e-65,2.5618868960468088e-45,1.7205863595161974e-77,3.256162731424505e-53,2.9640439269640386e-70,1.3165402129346442e-60,2.1132158141847657e-58,1.1175326514328362e-71,2.6586097296660203e-48,9.138167439037126e-71,1.4311026459509297e-57,8.588392779994385e-86,1.5631741286790054e-51,3.6951938036929445e-86,9.684029820175198e-62,2.747951180769074e-72,1.5240421115060434e-66,3.2824822303684967e-84,5.392732726545254e-82,6.927647488386928e-31,1.2671018638658246e-78,2.221755537835451e-68,2.950462873378248e-57,2.212286857461931e-58,1.3174127803499579e-108,2.7917831816475587e-114,3.2575589115479636e-56,5.213130071975423e-87,8.302001190810952e-67,3.297763261650699e-25,5.037465868318529e-82,6.7093480426348445e-84,2.947929353018462e-42,7.1286826738021e-106,2.779153596946795e-40,2.994326527914485e-81,1.9635933491141853e-93,3.0964603370692292e-68,4.634771685809262e-81,9.712095914624395e-104,5.023724091750658e-71,9.930881436340029e-73,1.0984558037551255e-75,7.85193381315771e-96,2.232163815231429e-72,2.0536061588348185e-76,6.319938943607788e-82,6.187366502657808e-60,7.746803596242846e-81
7.953189908904237e-21,0.5173257072338147,4.506574594386361e-28,8.07307286992297e-32,1.1295107843582851e-41,9.711342489445603e-43,0.0,0.0,1.5273799368875364e-23,4.238561938694312e-42,1.3855934899493768e-53,1.6120708583551438e-53,9.7104625284332e-59,2.035620530881679e-70,5.42692157485423e-49,6.2113579739711506e-40,9.233737132621962e-25,3.087783811699255e-39,3.8443725648950844e-91,6.491834384233705e-73,2.324257358697042e-87,5.728376860226281e-86,7.686515948818997e-28,2.4793957891007682e-75,5.2422955170328365e-43,6.475755399105801e-88,1.5740121837500285e-85,1.2992244363706426e-64,8.01699134281587e-62,1.535563526024603e-63,2.7442677801422935e-58,5.057383878090032e-95,7.825296553946962e-99,1.4533513405183358e-96,3.76,0.0,0.5000238142206098,0.9999999999999984,2.4901302279243737e-54,2.474727099359605e-40,7.85172907874924e-20,7.85172907874924e-20,1.5013327371352078e-15,2.9378577898968602e-43,3.0772693337347845e-39,1.5274250026334793e-23,4.691800109018883e-42,7.532416476546674e-39,5.006741320844778e-64,2.3806922953089365e-39,1.3983504212131534e-43,6.131171079315552e-47,2.508145583858465e-44,1.1777662809808598e-42,1.939741296759944e-30,2.5618889151442805e-40,1.7807935387226698e-41,3.895447782148491e-49,8.849906053933859e-44,5.581250900400552e-51,4.482002035230884e-57,1.8690656502420354e-44,7.8264899845941e-57,7.686515948825462e-28,9.0806975694417e-72,3.8654405513181804e-76,7.351020281769117e-60,3.610925910794828e-60,3.1005335880785596e-64,1.5473796852163386e-44,3.871003723168411e-76,3.865716394725525e-52,3.5189129500917e-69,1.9895549090903812e-59,1.2763823517709476e-57,1.3267347598536378e-70,1.605800276724427e-47,1.1587259146280312e-69,1.6990050612729476e-56,2.0461093255098715e-84,9.448593644595635e-51,1.1612951201546536e-84,5.849159991232662e-61,3.2624016019351185e-71,1.8275130414373111e-65,7.413224596127458e-83,1.2179057214461735e-80,1.9397412967483467e-30,3.9839709962923815e-77,2.6376681745316997e-67,1.7853154737657194e-56,2.626426957172464e-57,7.632005375230542e-107,1.3235577622022502e-112,3.867373939789145e-55,1.1661679412074371e-85,9.85613581377059e-66,9.233737132621947e-25,1.5838598684541374e-80,2.109526374173083e-82,1.780549329223157e-41,3.4070498576881866e-104,1.6786087725558473e-39,9.414641696006736e-80,4.68245386258325e-92,4.263275695420167e-67,1.4572463743654053e-79,4.639584763573038e-102,5.964165241754983e-70,2.2214984537706885e-71,2.4572016947680202e-74,4.5223118573670133e-94,2.6500524672975173e-71,2.438066610933775e-75,1.9870899229169166e-80,7.345641511955288e-59,2.4357189995162886e-79
1.8178719791781113e-20,0.5173257072338147,1.0300741930026498e-27,1.845273798876065e-31,5.438108213439299e-41,4.675593370786775e-42,0.0,0.0,3.491154141457221e-23,2.0406851188283187e-41,1.3603839048877864e-52,1.582740728586656e-52,9.533791644284691e-58,1.9985843082820206e-69,2.6128291290830764e-48,2.990501488126049e-39,2.110568487456448e-24,1.4866349875007214e-38,7.941428104184831e-90,6.373721494554355e-72,4.592357587905581e-86,1.2460479264333683e-84,1.756917931157057e-27,4.89929466325903e-74,2.5239396297235344e-42,1.3621564504796481e-86,3.5111028567004116e-84,1.3976463616512897e-63,8.624313450363221e-61,1.651889169525981e-62,2.694338379829087e-57,2.283144835067799e-93,3.527124658147393e-97,6.561125447195251e-95,3.76,0.0,0.5000238142206098,0.9999999999999966,2.4448246240553176e-53,1.1914745703539287e-39,1.7946809322855407e-19,1.7946809322855407e-19,3.43161768481632e-15,1.4144520619949266e-42,1.4815727189708036e-38,3.491257148876516e-23,2.2588997875872367e-41,3.626534290362688e-38,4.915648318376556e-63,1.1462008600592643e-38,6.732455339372064e-43,2.951894950115916e-46,1.2075641320945e-43,5.670437657437809e-42,4.433694392623516e-30,1.2334392326555647e-39,8.573754322194635e-41,1.8755355229031916e-48,4.26084880874806e-43,2.6871320698717227e-50,4.41220143723155e-56,8.998746541231394e-44,3.7681181497214185e-56,1.7569179311601698e-27,1.799196048209698e-70,7.658756732419251e-75,3.6362234059842083e-59,3.5452284716468027e-59,3.046184564459553e-63,7.449967093765104e-44,7.669779274025818e-75,3.7953832796812955e-51,3.4548896012692616e-68,2.140272155136985e-58,6.145231587699536e-57,1.3025960451596587e-69,7.731237093961047e-47,1.1700051402598206e-68,1.6680932441204144e-55,4.163224030668605e-83,4.556243227260209e-50,2.5904503299415366e-83,2.816124841477194e-60,3.203117172695259e-70,1.8022252356984465e-64,1.4715201632175226e-81,2.417534775590239e-79,4.433694392567679e-30,8.888020134789989e-76,2.5896782549419715e-66,8.628484509461482e-56,2.5786415610379703e-56,3.4054393820277884e-105,5.583038144136655e-111,3.7970106672984514e-54,2.304201481458663e-84,9.676812588130382e-65,2.110568487456441e-24,3.5335042385159865e-79,4.706237295896434e-81,8.572578558577769e-41,1.7733691293943706e-102,8.081778659921024e-39,2.1003547725070463e-78,9.532669271214105e-91,4.4429985051764476e-66,3.251036498198146e-78,2.4158221675307725e-100,5.855652801431371e-69,4.389306590088778e-70,4.855016474961625e-73,2.0279944501189384e-92,2.6018956591828067e-70,2.3937620141491816e-74,4.433088308384336e-79,7.21199439549775e-58,5.433955099205842e-78
3.8629779557534866e-20,0.5173257072338147,2.188907660130855e-27,3.921206822767577e-31,2.374964728707867e-40,2.041954463893585e-41,0.0,0.0,7.418702550596576e-23,8.912208049903572e-41,1.203244158012364e-51,1.399916251184675e-51,8.432531517797405e-57,1.7677251874234036e-68,1.1410911258354362e-47,1.306030567368898e-38,4.48495803584495e-24,6.492525564514379e-38,1.4411919927949816e-88,5.637484481941294e-71,8.171914533232e-85,2.3099659240899815e-83,3.7334506037020405e-27,8.718381515435632e-73,1.1022707461307844e-41,2.4909610205552964e-85,6.575585898553371e-83,1.284677799631502e-62,7.927229899247539e-60,1.5183707422366356e-61,2.3831117845463795e-56,8.620720480464256e-92,1.3306507109625891e-95,2.4773563732544907e-93,3.76,0.0,0.5000238142206098,0.9999999999999927,2.1624196932182868e-52,5.203482477130292e-39,3.8136969811067743e-19,3.8136969811067743e-19,7.292187579960807e-15,6.177283766623505e-42,6.470417307867183e-38,7.418921441362569e-23,9.865208838499968e-41,1.5838028021862497e-37,4.347835269658077e-62,5.00576028980428e-38,2.940240124275453e-42,1.2891700779465095e-45,5.273749820343667e-43,2.47642910073811e-41,9.421600584450297e-30,5.3867531825054554e-39,3.744383765195096e-40,8.191352638279246e-48,1.8608246173003616e-42,1.1735411843627398e-49,3.907206762886819e-55,3.929989032793513e-43,1.645636301620971e-55,3.733450603715635e-27,3.205633381824548e-69,1.364563148580374e-73,1.6732809851230016e-58,3.1357144346116905e-58,2.6951347807964572e-62,3.2535963580424628e-43,1.3665270383095422e-73,3.3569735294484802e-50,3.055810726942799e-67,1.9672787644739848e-57,2.6837840840665633e-56,1.152131433333697e-68,3.3764343567711797e-46,1.0477148562858822e-67,1.4754095838695908e-54,7.506031004280318e-82,1.996115099852716e-49,4.851384346662925e-82,1.22988105592484e-59,2.8332488297464174e-69,1.5972099088249638e-63,2.624003170791296e-80,4.310928980420775e-78,9.421600584206442e-30,1.6646278056216552e-74,2.2905410893721626e-65,3.797244272000214e-55,2.280779258527672e-55,1.2798397182644166e-103,2.0493513618891558e-109,3.358412935445593e-53,4.1003827010070805e-83,8.559031147930518e-64,4.484958035844919e-24,6.617862378266883e-78,8.814261605841852e-80,3.743870278333527e-40,7.07609394829725e-101,3.529525068122163e-38,3.93373203813799e-77,1.719718673120604e-89,4.03196266537059e-65,6.088831561945272e-77,9.640912094369322e-99,5.179258589811682e-68,7.810536557113333e-69,8.639242414658536e-72,7.629821977866984e-91,2.301451190863428e-69,2.117351023875764e-73,8.302683782288042e-78,6.37892736957969e-57,1.0177196513350642e-76
7.953189908904237e-20,0.5173257072338147,4.506574594387981e-27,8.073072871046506e-31,9.915010229655344e-40,8.524757927512579e-41,0.0,0.0,1.5273799368875227e-22,3.7206714236683885e-40,1.0113992157030078e-50,1.1767139616108033e-50,7.088051146382661e-56,1.4858795334538904e-67,4.763830826108163e-47,5.452420526101232e-38,9.233737132621942e-24,2.7105016176634643e-37,2.4532657500461305e-87,4.7386453911736584e-70,1.3783329076439034e-83,3.970251740616321e-82,7.686515948770684e-27,1.4705108303479671e-71,4.601763382664052e-41,4.255029681819348e-84,1.135742364107092e-81,1.0990689047176674e-61,6.781912075674731e-59,1.298998137180691e-60,2.003149048166128e-55,2.990928408062901e-90,4.614533224337169e-94,8.595100491371623e-92,3.76,0.0,0.5000238142206098,0.9999999999999849,1.8176440477038443e-51,2.1723515034444706e-38,7.851729078749241e-19,7.851729078749241e-19,1.5013327369378835e-14,2.5788943742144614e-41,2.7012718557151364e-37,1.5274250026334578e-22,4.118530493049357e-40,6.612064926913817e-37,3.654617520875024e-61,2.089806382404383e-37,1.2274923732544662e-41,5.382031301850233e-45,2.201686736008924e-42,1.0338604009539323e-40,1.9397412968502418e-29,2.2488634152476078e-38,1.5632065136271632e-39,3.4200596486453784e-47,7.7685764731688e-42,4.8993035343771486e-49,3.286092141267737e-54,1.6406930592023616e-42,6.870208519042497e-55,7.686515948827439e-27,5.410017194977895e-68,2.302917775697531e-72,7.698052697810271e-58,2.6357569230492833e-57,2.2657479111138607e-61,1.3583124323407313e-42,2.306232152414986e-72,2.8217385241930922e-49,2.568593042404119e-66,1.6830483697509887e-56,1.120427024727482e-55,9.684358618644311e-68,1.4095948787547245e-45,8.857764952866273e-67,1.2401706553387768e-53,1.2738401497478914e-80,8.38590483812942e-49,8.379373062436603e-81,5.134556029520378e-59,2.3817316290846296e-68,1.3438048943734924e-62,4.430173989607468e-79,7.278255473981437e-77,1.939741296748437e-29,2.875230570512043e-73,1.925337801153781e-64,1.6094761960164843e-54,1.9171323940118964e-54,4.430705761205019e-102,7.015552301631967e-108,2.8229484317978125e-52,6.916499770234081e-82,7.194381400392962e-63,9.233737132621816e-24,1.1430711512369909e-76,1.5224444972035478e-78,1.56299214297046e-39,2.514810516173595e-99,1.4735072371009505e-37,6.794543845807936e-76,2.9214090224203314e-88,3.429620781899907e-64,1.0516942337789057e-75,3.426531157959372e-97,4.353478918651342e-67,1.3173611514925183e-67,1.457134507053672e-70,2.6419651108644312e-89,1.934683264184905e-68,1.7799219928639238e-72,1.434082150251517e-76,5.361872813338487e-56,1.757857608678219e-75
1.6133613815205738e-19,0.5173257072338147,9.141908462905093e-27,1.6376804969587996e-30,4.0506051976658034e-39,3.482641769633382e-40,0.0,0.0,3.098399300543228e-22,1.5200156790876278e-39,8.292061831908814e-50,9.64741201773017e-50,5.811212694499155e-55,1.218213814572129e-66,1.9461803324232126e-46,2.227491692986664e-37,1.8731295326175896e-23,1.1073283523872445e-36,4.04759479680206e-86,3.8850277888752574e-69,2.2639818853295635e-82,6.580435934377913e-81,1.5592646638822673e-26,2.4153413877214155e-70,1.8799704936587275e-40,7.03178357504346e-83,1.8870309718417877e-80,9.087314243582649e-61,5.6074160534883696e-58,1.0740367799819203e-59,1.642302614851313e-54,9.961040362657778e-89,1.5364706153049616e-92,2.862527385852878e-90,3.76,0.0,0.5000238142206098,0.9999999999999695,1.490214407721928e-50,8.874764712412018e-38,1.5927793274034174e-18,1.5927793274034174e-18,3.045560694473109e-14,1.0535625005257516e-40,1.103557693471615e-36,3.0984907196278213e-22,1.682554090751533e-39,2.7012442690032165e-36,2.9962762463036016e-60,8.537540959149245e-37,5.014706866558882e-41,2.1987353982126866e-44,8.994608709192772e-42,4.223657078239838e-40,3.9349037738200877e-29,9.187340837350365e-38,6.386208669892821e-39,1.3974765955989206e-46,3.1737169716965777e-41,2.0015254372469747e-48,2.6948728373146143e-53,6.702766491803599e-42,2.806705087868636e-54,1.5592646639054534e-26,8.888564944033266e-67,3.783654186647537e-71,3.7271149419909646e-57,2.1609527708970135e-56,1.8577262528960408e-60,5.549149492793402e-42,3.789099649858342e-71,2.313431724169344e-48,2.1058877640178955e-65,1.3915769265454916e-55,4.577309982552325e-55,7.939821824389736e-67,5.758655019572227e-45,7.282637168198592e-66,1.0167668312017746e-52,2.0985987996406193e-79,3.4688334376831615e-48,1.3922307724942383e-79,2.0976702231406806e-58,1.9530405143577276e-67,1.1022313512671714e-61,7.28009743247445e-78,1.1960344925814845e-75,3.9349037734041823e-29,4.77723859561648e-72,1.578508253531409e-63,6.773012544654189e-54,1.5717809648055705e-53,1.4740492079471056e-100,2.321175586052384e-106,2.3144236797420437e-51,1.1362359270777967e-80,5.898388538657076e-62,1.8731295326175376e-23,1.8992298138746333e-75,2.52956430218724e-77,6.385332895812717e-39,8.470349612916458e-98,6.0197578571286014e-37,1.1289236220789903e-74,4.821942078052195e-87,2.827932163539902e-63,1.7474056988413761e-74,1.1541500638445008e-95,3.5692450439131847e-66,2.1637696468944152e-66,2.3933478033358465e-69,8.789984335732487e-88,1.5864569926394157e-67,1.459551412865472e-71,2.382748941238489e-75,4.395987283084758e-55,2.920706707803157e-74
3.2494461627808736e-19,0.5173257072338147,1.8412576199950753e-26,3.298426917460547e-30,1.6373193845292883e-38,1.4077394861332165e-39,0.0,0.0,6.240438027854541e-22,6.144146404469865e-39,6.715126657550848e-49,7.812724410098243e-49,4.706070755294995e-54,9.865411313446364e-66,7.86677207100312e-46,9.003877568117445e-37,3.7726411713283657e-23,4.4759982475812106e-36,6.576214944887466e-85,3.146196230057129e-68,3.6702259913566656e-81,1.0714647490210452e-79,3.140490801858547e-26,3.915390930931917e-69,7.599141316778895e-40,1.1433120154756278e-81,3.076318843170159e-79,7.38965302505734e-60,4.559857609087596e-57,8.733888723297751e-59,1.3299792370721487e-53,3.2514494787982315e-87,5.01470023708345e-91,9.343766251942013e-89,3.76,0.0,0.5000238142206098,0.9999999999999386,1.206814263768107e-49,3.5873217920365664e-37,3.207992166460404e-18,3.207992166460404e-18,6.134016608150044e-14,4.258668088656499e-40,4.460756641367575e-36,6.240622153616397e-22,6.801152652071629e-39,1.09188612270544e-35,2.426462187964148e-59,3.4510105592203914e-36,2.0270246944677923e-40,8.887640027522594e-44,3.635764651598609e-41,1.707269721491941e-39,7.925228728397467e-29,3.71367005939928e-37,2.5814076510627485e-38,5.651011824743213e-46,1.282867143327264e-40,8.090486505699554e-48,2.182671479419002e-52,2.709365384002275e-41,1.1345156688362055e-53,3.1404908019522685e-26,1.4410821553791817e-65,6.134349655540016e-70,1.9772544118658574e-56,1.7499955797982722e-55,1.5044864340655137e-59,2.2430549484549703e-41,6.143178255274994e-70,1.8734769896357174e-47,1.7054025101288964e-64,1.1316072407006097e-54,1.8502218800032193e-54,6.429872796961252e-66,2.3277404321871796e-44,5.906131420857563e-65,8.2340414136753e-52,3.40712298891857e-78,1.4368553231126157e-47,2.2696764745160503e-78,8.47941391302424e-58,1.5821946385732364e-66,8.928145500951065e-61,1.1804168165274078e-76,1.939286172629292e-74,7.925228726716312e-29,7.788104623621103e-71,1.2783169095188445e-62,2.897655563084146e-53,1.2728689763662161e-52,4.809029188095587e-99,7.552076305730471e-105,1.8742803013310826e-50,1.8425318165954946e-79,4.776667965300531e-61,3.7726411713281564e-23,3.096223937533093e-74,4.1238282416306785e-76,2.5810536491771057e-38,2.780017994039203e-96,2.433282373497898e-36,1.8404304295929776e-73,7.857498847580015e-86,2.296564027837614e-62,2.848712311538021e-73,3.7880360738278725e-94,2.890467175949784e-65,3.5075638400667158e-65,3.879719925563072e-68,2.867737033726972e-86,1.2852184733629376e-66,1.1824098900994676e-70,3.884482149270109e-74,3.5599844755079275e-54,4.7614890820300517e-73
6.521615725301473e-19,0.5173257072338147,3.695391167408782e-26,6.619919761637845e-30,6.583589233492079e-38,5.660458560687772e-39,0.0,0.0,1.2524515482476783e-21,2.470534246299638e-38,5.404918136571579e-48,6.288360348571857e-48,3.7878551832880736e-53,7.940541296096001e-65,3.163194450337303e-45,3.620419569474901e-36,7.57166444874986e-23,1.7997792097283417e-35,1.0604053519998535e-83,2.5323324396062238e-67,5.911474422934182e-80,1.72938504148801e-78,6.302943077674629e-26,6.305631202024895e-68,3.055581301230413e-39,1.8440160695002697e-80,4.968248677621545e-78,5.9600228740348065e-59,3.6776903539152735e-56,7.044197662186053e-58,1.0704829955660388e-52,1.050812287270946e-85,1.6205678616306284e-89,3.0197438115594553e-87,3.76,0.0,0.5000238142206098,0.9999999999998769,9.71349109911739e-49,1.4424463149634629e-36,6.4384178445743774e-18,6.4384178445743774e-18,1.2310928429929842e-13,1.7123917172979352e-39,1.7936506269047209e-35,1.2524885021592945e-21,2.7347135688419434e-38,4.390426076456468e-35,1.9530278663127376e-58,1.3876361677639023e-35,8.150577150622015e-40,3.5736809661296e-43,1.4619249756716887e-40,6.864856461675051e-39,1.5905878640102985e-28,1.4932503975704453e-36,1.0379726630492582e-37,2.2740065774469538e-45,5.158352360763242e-40,3.2531495810809343e-47,1.7569211666561e-51,1.089423904684942e-40,4.561842407276291e-53,6.302943078051483e-26,2.320984291632026e-64,9.87988723301361e-69,1.173577504185654e-55,1.4085486878977184e-54,1.210962160836603e-58,9.019225296212349e-41,9.894106431141086e-69,1.5079372694865477e-46,1.3726563068167552e-63,9.126822323690551e-54,7.439660805109195e-54,5.175319773382033e-65,9.359741902525251e-44,4.7576029762883956e-64,6.627472875139922e-51,5.4917349900578875e-77,6.056567924754452e-47,3.6655264948972104e-77,3.409772667190562e-57,1.274408357159726e-65,7.186943258924091e-60,1.9012501216982138e-75,3.123530622689225e-73,1.5905878633343133e-28,1.2577809770233634e-69,1.0289006601909076e-61,1.2937223658577019e-52,1.0245156891058909e-51,1.5537922545386938e-97,2.4367522322035983e-103,1.5085838451960375e-49,2.9694163158944413e-78,3.8446779402350275e-60,7.57166444874902e-23,5.000409929752661e-73,6.659993625539046e-75,1.0378303204479648e-37,9.008757040936494e-95,9.784121404181486e-36,2.9723000598121845e-72,1.2758073789243407e-84,1.851043460762272e-61,4.600677992430763e-72,1.2275356166698134e-92,2.326499448909141e-64,5.6488234299623175e-64,6.248169335009588e-67,9.265662678826104e-85,1.0352033331150725e-65,9.523942304644416e-70,6.273449047922075e-73,2.8653852175368353e-53,7.689817586061091e-72
1.3065954850342674e-18,0.5173257072338147,7.403658262254494e-26,1.326290546268765e-29,2.6403137410341247e-37,2.2700970542983977e-38,0.0,0.0,2.5092670391719706e-21,9.907947301109288e-38,4.337106414356896e-47,5.046013235539097e-47,3.039515243257418e-52,6.371784311727925e-64,1.2685824518407047e-44,1.451950174443659e-35,1.5169711003592627e-22,7.217919606198965e-35,1.7036809411654736e-82,2.0320373032937355e-66,9.491436383915314e-79,2.7791930185253598e-77,1.2627847628760892e-25,1.0121946435003735e-66,1.2254247660003661e-38,2.9622670625754377e-79,7.986303006525472e-77,4.787414493595054e-58,2.9541208936458144e-55,5.658282642168093e-57,8.589951872642823e-52,3.3792548365128707e-84,5.211347831396294e-88,9.711043578102223e-86,3.76,0.0,0.5000238142206098,0.9999999999997533,7.794464872145631e-48,5.784854872885947e-36,1.2899269200802323e-17,1.2899269200802323e-17,2.466475205119316e-13,6.867456745685303e-39,7.193341247999482e-35,2.5093410757543617e-21,1.0967424541594547e-37,1.760757223227997e-34,1.5671818653167862e-57,5.565041668156082e-35,3.268745985646272e-39,1.433205904465393e-42,5.8629730138706754e-40,2.7531144793462794e-38,3.1867178473717026e-28,5.988601966823683e-36,4.1627346234496325e-37,9.13389686055576e-45,2.0687300096071067e-39,1.3046589161279453e-46,1.4098654651295698e-50,4.3690771145330135e-40,1.8295066892847798e-52,1.262784763027224e-25,3.725826502787853e-63,1.5859971919526457e-67,7.742744318912015e-55,1.1302716132980244e-53,9.717291011718334e-58,3.6171127397877434e-40,1.588279767533485e-67,1.2100246912492056e-45,1.1014702393454696e-62,7.33116001078208e-53,2.9836367308784593e-53,4.152866197985526e-64,3.753675129561262e-43,3.8199373450368434e-63,5.318129598638437e-50,8.820811145368983e-76,2.6527668409193253e-46,5.892226767286328e-76,1.3676619435586363e-56,1.0241096782279066e-64,5.767387189655962e-59,3.052107674406583e-74,5.014254404270718e-72,3.186717844660701e-28,2.0218461856608607e-68,8.256279824686033e-61,6.219796845253346e-52,8.221093184872632e-51,4.9961213387716476e-96,7.82994121706588e-102,1.2105435284517712e-48,4.7732345013723136e-77,3.0851119193485583e-59,1.5169711003589246e-22,8.038012920145977e-72,1.0705745240470143e-73,4.162163765953894e-37,2.9009542789755337e-93,3.923870288596654e-35,4.7778855367260964e-71,2.079053317652797e-83,1.486372659420372e-60,7.395455504869017e-71,3.952860277531628e-91,1.866869291125602e-63,9.067612623395304e-63,1.0029695543438133e-65,2.9793169846364284e-83,8.318854366851133e-65,7.653403581844259e-69,1.0084386124219927e-71,2.299291181412855e-52,1.2361157179840095e-70
