Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164)
0.0,0.5617327946829795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553335352,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8.123730919929035e-22,0.5617327946829795,0.0,3.8795932587990583e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553335352,0.9999999999999996,0.0,0.0,7.259239249904915e-20,7.259239249904915e-20,3.240370186571621e-16,5.552582353267821e-44
2.2746446575801297e-21,0.5617327946829795,0.0,1.0862861124637361e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553335352,0.9999999999999991,0.0,0.0,2.0325869899733762e-19,2.0325869899733762e-19,9.07303652237719e-16,3.3537597415821166e-43
5.199187788754582e-21,0.5617327946829795,0.0,2.4829396856313958e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553335352,0.9999999999999979,0.0,0.0,4.645913119939146e-19,4.645913119939146e-19,2.0738369193894922e-15,1.614690948636858e-42
1.1048274051103488e-20,0.5617327946829795,0.0,5.276246831966708e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553335352,0.9999999999999956,0.0,0.0,9.872565379870686e-19,9.872565379870686e-19,4.406903453655679e-15,7.051779591790303e-42
2.27464465758013e-20,0.5617327946829795,0.0,1.0862861124637308e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553335352,0.9999999999999909,0.0,0.0,2.0325869899733765e-18,2.0325869899733765e-18,9.073036522038612e-15,2.9439791665168447e-41
4.614279162519692e-20,0.5617327946829795,0.0,2.2036089709978394e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553335352,0.9999999999999816,0.0,0.0,4.123247893945992e-18,4.123247893945992e-18,1.840530265820672e-14,1.2027115504250304e-40
9.293548172398816e-20,0.5617327946829795,0.0,4.438254688066015e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553335352,0.9999999999999629,0.0,0.0,8.304569701891224e-18,8.304569701891224e-18,3.70698349281519e-14,4.861552393778313e-40
1.8652086192157065e-19,0.5617327946829795,0.0,8.907546122202201e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553335352,0.9999999999999256,0.0,0.0,1.6667213317781687e-17,1.6667213317781687e-17,7.439889945847809e-14,1.954808843637891e-39
3.736916223167356e-19,0.5617327946829795,0.0,1.7846128990473905e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015556553335352,0.999999999999851,0.0,0.0,3.3392500549562617e-17,3.3392500549562617e-17,1.4905702848087378e-13,7.839657836649764e-39
