Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49)
0.0,0.46006772625213255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7226833206611593,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.007267664453628e-21,0.4600677262521325,4.616397334919491e-67,1.962319789111699e-35,4.3037014348921864e-82,3.860791464735795e-64,0.0,0.0,2.6554047507305387e-62,7.351386023098717e-119,3.860791464755145e-64,5.430150301653882e-88,2.655450914703501e-62,5.561316079219478e-141,5.498516331691792e-126,5.571866116163185e-102,2.3642852616858018e-132,9.98785368593984e-42,-7.55727376161438e-191,3.8664826105250097e-171,1.4746945695381242e-150,1.4204121223822702e-154,3.7654370791118936e-116,1.0717463177012269e-244,6.688898801705657e-108,3.3437310786953794e-141,2.3645574365148406e-135,-1.6156550708552383e-159,0.0,0.0,6.7397310493041865e-105,0.0,4.5311182454523125e-149,0.0,3.76,0.0,0.7226833206611593,0.9999999999999996,3.4453290422814615e-116,0.0,9.33821043138669e-22,9.33821043138669e-22,3.278719262042641e-16,1.6043830665766604e-45,9.987853685939841e-42
2.5220349460470158e-20,0.4600677262521325,5.480586916726864e-66,5.494495409512754e-35,9.627208155152514e-81,4.583531626980546e-63,0.0,0.0,3.152496520099274e-61,5.672658797914288e-117,4.583531627023831e-63,1.214702901895608e-86,3.152551325967575e-61,3.383219963454629e-139,3.345017494667102e-124,1.7518838568975118e-100,1.824391318692318e-130,6.032663626374078e-41,2.9315495667454326e-188,4.120037260860563e-169,2.06303965894874e-148,1.5135593404836316e-152,2.1686989673311497e-114,4.0732633977527575e-178,3.1953672245885435e-106,2.580187769677714e-139,1.824598450315535e-133,2.8079319959000333e-157,1.928754883616572e-255,2.393143902328292e-200,3.2196503992545797e-103,9.128462416829962e-206,6.338856081013519e-147,1.235501118034109e-203,3.76,0.0,0.7226833206611593,0.9999999999999991,1.9843331276384338e-114,8.703177747249982e-186,2.614698920788273e-21,2.614698920788273e-21,9.180413933454488e-16,9.69047372246714e-45,6.032663626374079e-41
5.764651305250321e-20,0.4600677262521325,5.380872735781375e-65,1.255884665031486e-34,1.9021741166305495e-79,4.500138531436655e-62,0.0,0.0,3.0951397775488316e-60,6.182341047730055e-115,4.500138531522179e-62,2.4000482392714334e-85,3.095193586274479e-60,1.5273472128404494e-137,1.510105867264641e-122,3.9083565138339965e-99,1.988309612277286e-128,2.90446785196903e-40,1.4672848752616382e-185,9.376240835698341e-167,4.485289587289709e-146,3.4445069296338807e-150,9.725356429496471e-113,4.8839126760270866e-175,1.6638210892252858e-104,2.8120796361671686e-137,1.9885366451359866e-131,7.300748746469189e-155,2.7410207687432944e-251,2.947724983765197e-197,1.676465287929586e-101,2.282346955980898e-202,1.3781414745068836e-144,3.08906592052039e-200,3.76,0.0,0.7226833206611593,0.9999999999999979,8.898582621144693e-113,1.0720030023584787e-182,5.976454676087481e-21,5.976454676087481e-21,2.0983803275218545e-15,4.665545958105877e-44,2.90446785196903e-40
1.2249884023656934e-19,0.4600677262521325,4.759321001023791e-64,2.668754913191904e-34,3.3848172234928936e-78,3.9803215687766575e-61,0.0,0.0,2.7376160820157016e-59,5.057538840112461e-113,3.980321568928845e-61,4.270757607952413e-84,2.737663675222668e-59,5.766972463169996e-136,5.701910584896644e-121,7.319919204534134e-98,1.6265602494225966e-126,1.2684574182144552e-39,5.106178102616952e-183,1.584543250453699e-164,7.349589755416707e-144,5.821064435146455e-148,3.658922154687326e-111,3.848659467711796e-172,6.639873198792688e-103,2.300564148274899e-135,1.626746444447006e-129,1.2790209074068749e-152,1.9585135303065786e-247,2.2568220020306368e-194,6.69033287659885e-100,3.6604808110994297e-199,2.2582208496087493e-142,4.95431533609306e-197,3.76,0.0,0.7226833206611593,0.9999999999999956,3.3478691844370525e-111,8.207414108473844e-180,1.2699966186685897e-20,1.2699966186685897e-20,4.459058195450812e-15,2.0375664950629038e-43,1.2684574182144552e-39
2.522034946047016e-19,0.4600677262521325,4.0004960764543513e-63,5.494495409512727e-34,5.708989000208683e-77,3.345700111205202e-60,0.0,0.0,2.3011312708729387e-58,3.639947435216231e-111,3.3457001114618887e-60,7.203256933723824e-83,2.3011712758285697e-58,2.0008306505505463e-134,1.9782840818312903e-119,1.264334009158332e-96,1.1706470597868596e-124,5.295560025182368e-39,1.5141490119004404e-180,2.320120357815154e-162,1.0588040239121483e-141,8.523320582027407e-146,1.2669685747372316e-109,2.417636611558835e-169,2.3599149314308664e-101,1.6558891582772618e-133,1.1707812308308999e-127,1.900510928067087e-150,1.042496163322549e-243,1.3977110817600305e-191,2.3778490912413838e-98,4.645590500256011e-196,3.253260932946422e-140,6.287622159061783e-194,3.76,0.0,0.7226833206611593,0.9999999999999908,1.1592608067979115e-109,5.08307418205148e-177,2.6146989207882728e-20,2.6146989207882728e-20,9.180413929613308e-15,8.50643902355392e-43,5.295560025182368e-39
5.116128033409661e-19,0.4600677262521325,3.2798483906346085e-62,1.1145976402154316e-33,9.37703160537732e-76,2.7430070903158925e-59,0.0,0.0,1.886606444677772e-57,2.4672748952369526e-109,2.7430070907375007e-59,1.1831371146482837e-81,1.8866392431532464e-57,6.663601448345503e-133,6.588687835221233e-118,2.100709866295616e-95,7.935026405102325e-123,2.16340906054726e-38,4.166068065540619e-178,3.1725683403423924e-160,1.4360081459102559e-139,1.1654919944265725e-143,4.215284252514443e-108,1.367486632025949e-166,7.948843433982395e-100,1.1226277421791411e-131,7.935936411296803e-126,2.6164056814426822e-148,4.849909879125416e-240,7.851149097489999e-189,8.009250623455337e-97,5.283180037921776e-193,4.4122510823308356e-138,7.150574265015405e-191,3.76,0.0,0.7226833206611593,0.9999999999999813,3.856933724310894e-108,2.8552376666167794e-174,5.3041035250276396e-20,5.3041035250276396e-20,1.8623125391156635e-14,3.475157901379711e-42,2.16340906054726e-38
1.0304314208134952e-18,0.4600677262521325,2.6561062744765543e-61,2.2448938387437287e-33,1.5200572389454587e-74,2.2213582597494447e-58,0.0,0.0,1.5278228129945816e-56,1.624564582087268e-107,2.2213582604328903e-58,1.9179162485968567e-80,1.5278493740436575e-56,2.1751104981910523e-131,2.1507722477473592e-116,3.4246872750444346e-94,5.224777522135945e-121,8.744845325245601e-38,1.1056385052196505e-175,4.196025342472094e-158,1.8914812913599993e-137,1.5414747358627168e-141,1.3752387149544002e-106,7.354433755758844e-164,2.6088900079091038e-98,7.394679168323388e-130,5.225376890224385e-124,3.47171730172935e-146,2.115260535956651e-236,4.207928501194769e-186,2.628716252345579e-95,5.697905022401379e-190,5.811729131746236e-136,7.711888053346742e-188,3.76,0.0,0.7226833206611593,0.9999999999999625,1.258326665805528e-106,1.5303028646957273e-171,1.0682912733506373e-19,1.0682912733506373e-19,3.7508548287116616e-14,1.4047143883385304e-41,8.744845325245601e-38
2.0680686557585533e-18,0.4600677262521325,2.1378654249247112e-60,4.5054862358002364e-33,2.4480053444357215e-73,1.787942382455086e-57,0.0,0.0,1.229724718314738e-55,1.0545187552013345e-105,1.7879423835557533e-57,3.088744995240983e-79,1.2297460969469738e-55,7.0295812829554456e-130,6.951666268925985e-115,5.530879100839062e-93,3.3914476881732695e-119,3.516263846599176e-37,2.8836186909657237e-173,5.459144016068544e-156,2.4558256546562134e-135,2.0055008945898714e-139,4.443398363800588e-105,3.8586019360411855e-161,8.45426322838827e-97,4.803576732056748e-128,3.391836800099825e-122,4.5240171051904503e-144,8.93853556462366e-233,2.2039812030174348e-183,8.518511352513481e-94,5.987028672831085e-187,7.545722796651394e-134,8.10320542664942e-185,3.76,0.0,0.7226833206611593,0.9999999999999247,4.0656553568456165e-105,8.015247283207954e-169,2.1440531150463838e-19,2.1440531150463838e-19,7.52793939705299e-14,5.648294786844426e-41,3.516263846599176e-37
4.143343125648669e-18,0.46006772625213255,1.7155023962581384e-59,9.026671029912912e-33,3.9295907980059043e-72,1.4347111631803522e-56,0.0,0.0,9.867766424315705e-55,6.79665042819206e-104,1.4347111649471668e-56,4.958119780629044e-78,9.867937974201967e-55,2.2606079966226414e-128,2.2360289276097884e-113,8.890726631407734e-92,2.1858771203880645e-117,1.4101790732718812e-36,7.46125531696745e-171,7.044736178011792e-154,3.165864380093396e-133,2.587992670339298e-137,1.4287474830402833e-103,1.9998097009019387e-158,2.722407474035075e-95,3.100707180864533e-126,2.186127930434801e-120,5.842626290936606e-142,3.7185594970044736e-229,1.1412927448411905e-180,2.7430963937063685e-92,6.21002755683394e-184,9.727374163830768e-132,8.405025556120375e-182,3.76,0.0,0.7226833206611593,0.9999999999998492,1.3072865368580534e-103,4.1505542605858795e-166,4.2955767984378763e-19,4.2955767984378763e-19,1.508210849033297e-13,2.2652188460451276e-40,1.4101790732718812e-36
