Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58)
0.0,0.46285630378069653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7165522045735416,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5046615624825e-21,0.4628563037806965,2.5051958188591233e-30,2.796282541746689e-35,2.3151358904282406e-45,4.37337881511004e-45,0.0,0.0,5.493737957651851e-25,5.311446995836214e-44,5.6866235908648316e-64,8.894900843478766e-88,3.5288773098838273e-62,-1.1717476498762235e-135,7.85452720488678e-95,4.303430731565515e-97,8.286045946822016e-97,1.220145340506286e-41,-5.165757699627443e-149,6.071789340888107e-92,-1.4362391250070453e-133,3.0291267087270195e-154,9.396864563232664e-100,2.32710865885422e-106,6.975275612149362e-70,8.167120322922659e-141,4.8954676026065534e-135,-1.4586429860513734e-154,3.4479117661612642e-205,-3.1473136450519016e-167,5.6939870198528415e-68,-9.3433317327465e-173,3.215624198079565e-144,-1.231254590702234e-170,3.76,0.0,0.7165522045735416,0.9999999999999998,5.6788070772761155e-59,-7.110092001703286e-134,1.1139426456455455e-21,1.1139426456455455e-21,3.3541019661337194e-16,1.9198281657961896e-45,1.220145340506286e-41,5.49376300961004e-25,2.3160513885153972e-46
2.3813052374951e-20,0.4628563037806965,7.01454829280566e-30,7.82959111764082e-35,1.3983420778186431e-44,2.641520804326501e-44,0.0,0.0,1.5382466281425178e-24,3.208113985485072e-43,6.751159527165222e-63,1.9897537391083034e-86,4.1894831423342004e-61,6.178651832178284e-134,2.469589025810471e-93,1.3478786012602284e-95,2.6043601982302973e-95,7.369677856735526e-41,8.977842231665879e-147,1.909067717404257e-90,7.442862307731874e-132,3.400586080422308e-152,2.954524568739955e-98,1.41569376017479e-104,8.281047206823249e-69,6.3021492692159345e-139,3.777562119372218e-133,2.59519346898962e-152,2.395679583516195e-202,5.481426623670912e-165,6.759901390033218e-67,1.902548199961071e-170,3.4265266858224955e-142,2.507158336771541e-168,3.76,0.0,0.7165522045735416,0.9999999999999991,6.74187976347931e-58,3.689316792593767e-132,3.1190394078075274e-21,3.1190394078075274e-21,9.391485504918551e-16,1.159576212183765e-44,7.369677856735526e-41,1.5382536426908105e-24,1.3988950386633e-45
5.4429833999888e-20,0.4628563037806965,1.6033253240699187e-29,1.7896208272429441e-34,6.732415169365115e-44,1.2717785594340535e-43,0.0,0.0,3.51599229289718e-24,1.5445687863891696e-42,6.628328457788852e-62,3.931418086403881e-85,4.113259392522655e-60,6.450371215047762e-132,5.509517264803884e-92,3.003778924512258e-94,5.809614900817592e-94,3.5481826503064024e-40,2.3342791246987828e-144,4.259025059858367e-89,7.811586760360825e-130,7.727393999833002e-150,6.591381785011171e-97,6.391118349311018e-103,8.130381253763272e-68,6.868515992886715e-137,4.1169719848978623e-131,6.737718575831002e-150,2.92928101084376e-199,1.4250053844678466e-162,6.636911270534916e-66,1.0546996999445664e-167,7.797960415343764e-140,1.389872354185884e-165,3.76,0.0,0.7165522045735416,0.9999999999999979,6.619217531171629e-57,3.871619043196133e-130,7.129232932131492e-21,7.129232932131492e-21,2.146625258146476e-15,5.582860306759871e-44,3.5481826503064024e-40,3.516008326150421e-24,6.735077437802776e-45
1.15663397249762e-19,0.4628563037806965,3.4070663136488053e-29,3.802944259400812e-34,2.9402225808436483e-43,5.5541910951903046e-43,0.0,0.0,7.471483622406497e-24,6.745537684711974e-42,5.862681457815577e-61,6.99574843027769e-84,3.638131351651861e-59,5.1390182927115335e-130,1.031871608731536e-90,5.623383251326323e-93,1.088035364304458e-92,1.5495845825598755e-39,4.089432341361821e-142,7.976682581671608e-88,6.236723251480241e-128,1.3043453526211274e-147,1.234492860213715e-95,2.413164683106063e-101,7.191230145605098e-67,5.619082049019868e-135,3.3679387074314635e-129,1.1798186923950099e-147,2.2174161442851855e-196,2.4963638623336294e-160,5.870272858392093e-65,3.8667638214173993e-165,1.3178194512279699e-137,5.095581364024251e-163,3.76,0.0,0.7165522045735416,0.9999999999999954,5.854622946300331e-56,3.090957879895867e-128,1.514961998077942e-20,1.514961998077942e-20,4.561578673046337e-15,2.438181771197925e-43,1.5495845825598755e-39,7.471517693069633e-24,2.941385263414555e-44
2.3813052374951e-19,0.46285630378069653,7.014548292807302e-29,7.829591128517125e-34,1.2274850491048575e-42,2.3187654477718408e-42,0.0,0.0,1.538246628142509e-23,2.8161291971923454e-41,4.927937018910591e-60,1.1799352249045597e-82,3.0580686151672055e-58,3.65700993943391e-128,1.7823015958843076e-89,9.711169526556967e-92,1.8792786507208692e-91,6.469210596411929e-39,6.076531515800721e-140,1.3777735498946712e-86,4.442498939982459e-126,1.9087960827596e-145,2.132279419728743e-94,8.372389314229435e-100,6.044662241988459e-66,4.044396428221622e-133,2.423929948447002e-127,1.7527392932985132e-145,1.367827142479098e-193,3.709303666955115e-158,4.934318048342926e-64,1.1761071031068723e-162,1.9295769196368093e-135,1.5498617742232447e-160,3.76,0.0,0.7165522045735416,0.9999999999999906,4.921163353953054e-55,2.201691555855467e-126,3.1190394078075273e-20,3.1190394078075273e-20,9.391485501208531e-15,1.0178928940745392e-42,6.469210596411929e-39,1.5382536426908015e-23,1.2279704461908633e-43
4.830647767490061e-19,0.4628563037806965,1.42295122511272e-28,1.588288488595206e-33,5.0146769441015295e-42,9.47291344868516e-42,0.0,0.0,3.1204431599462126e-23,1.1504806650860949e-40,4.0402205024336e-59,1.9380471504548792e-81,2.5071894118397667e-57,2.4659924304627818e-126,2.9613207586249664e-88,1.6133810919846905e-90,3.1224244206968503e-90,2.6428836142353723e-38,8.36547232747701e-138,2.2891913594873393e-85,2.997073322579107e-124,2.609430815583655e-143,3.542814148152973e-93,2.7883552034262717e-98,4.955779309889564e-65,2.7418335121919114e-131,1.64301864682431e-125,2.4127334341986834e-143,7.670745386737373e-191,5.106498738213185e-156,4.045452055611588e-63,3.275971223277138e-160,2.6385325120880823e-133,4.3170409897611145e-158,3.76,0.0,0.7165522045735416,0.9999999999999809,4.034667041773271e-54,1.4853300208273719e-124,6.3271942272667e-20,6.3271942272667e-20,1.905129915098282e-14,4.158424605046849e-42,2.6428836142353723e-38,3.1204573894584633e-23,5.016659949579891e-43
9.729332827479981e-19,0.4628563037806965,2.8659440167778605e-28,3.198947247763115e-33,2.0270125985913034e-41,3.829103074815427e-41,0.0,0.0,6.284836223553556e-23,4.6504267943103025e-40,3.2718753141455045e-58,3.1416579483879253e-80,2.030386989634255e-56,1.619682206070224e-124,4.827700236918249e-87,2.6301036094401498e-89,5.090319844937925e-89,1.0682958133169495e-37,1.1100172731487408e-135,3.731959678001702e-84,1.9689548599876215e-122,3.4507794153200563e-141,5.7756812259719566e-92,9.10165579648538e-97,4.013318573694977e-64,1.8058861593901773e-129,1.0818372555109883e-123,3.201310968587771e-141,4.108231260284555e-188,6.77580060472605e-154,3.276111961098856e-62,8.744102943611229e-158,3.489711367680697e-131,1.1522888405881877e-155,3.76,0.0,0.7165522045735416,0.9999999999999616,3.2673779762486623e-53,9.757973085504965e-123,1.2743503866185042e-19,1.2743503866185042e-19,3.8370926424330984e-14,1.6809017148533773e-41,1.0682958133169495e-37,6.284864882993725e-23,2.0278141611118793e-42
1.9526702947459823e-18,0.4628563037806965,5.751929600112783e-28,6.420264796822627e-33,8.150528507677189e-41,1.5396655053775574e-40,0.0,0.0,1.2613622350768003e-22,1.8699161606720398e-39,2.6334899019331844e-57,5.059543278403168e-79,1.63423208998195e-55,1.0500691931195915e-122,7.796748783204947e-86,4.247532773014775e-88,8.220864174826711e-88,4.295570482962631e-37,1.4464706335614245e-133,6.0271248484476276e-83,1.276655036877454e-120,4.489274356810338e-139,9.327740621657774e-91,2.941497880938196e-95,3.230267941012956e-63,1.1729169996222625e-127,7.022298088470693e-122,4.1715505806061095e-139,2.1510200064763445e-185,8.82957040150343e-152,2.6368999232610444e-61,2.285469375148036e-155,4.5402098646493283e-129,3.0117679006344034e-153,3.76,0.0,0.7165522045735416,0.999999999999923,2.6298700507487082e-52,6.326981464058101e-121,2.5576123144021725e-19,2.5576123144021725e-19,7.701018086622572e-14,6.758831882800516e-41,4.295570482962631e-37,1.2613679870064003e-22,8.153751555323997e-42
3.912144318741951e-18,0.46285630378069653,1.1523900766801195e-27,1.286290001783642e-32,3.2687264728713884e-40,6.174747308803582e-40,0.0,0.0,2.527119460519592e-22,7.49920014473851e-39,2.1132097987356426e-56,8.121687495911814e-78,1.3113683335509085e-54,6.763893515098171e-121,1.253304597272939e-84,6.827711707616505e-87,1.3214786313043047e-86,1.7227158901373836e-36,1.8680714808715485e-131,9.688427164628102e-82,8.223887134184102e-119,5.792988518038821e-137,1.4994070667466379e-89,9.459416372310081e-94,2.59208659082928e-62,7.568792687706711e-126,4.526055612417714e-120,5.387363778612049e-137,1.1136810681019431e-182,1.1403101318000079e-149,2.1159461249398547e-60,5.911717340169392e-153,5.858900133333778e-127,7.790399957672984e-151,3.76,0.0,0.7165522045735416,0.9999999999998457,2.1103050922948294e-51,4.0756765890865847e-119,5.124136169969509e-19,5.124136169969509e-19,1.5428868933080863e-13,2.7105938940756465e-40,1.7227158901373836e-36,2.5271309844203583e-22,3.2700190591365575e-41
