Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463)
0.0,0.8528183986994372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7914944038656886,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.401323267743122e-23,0.8528183986994372,3.693602162464891e-25,2.4700476701386854e-26,5.21768050639296e-41,9.733418444419158e-41,0.0,0.0,5.523134803969588e-22,1.3987129809467623e-40,1.105820851356473e-55,2.9003477344761036e-77,3.1835794715995324e-56,1.2157983073435183e-111,1.7557283078859574e-82,5.029333142486245e-82,4.594137190353151e-83,1.6098912811074295e-37,-1.2012685497384844e-128,1.5336258862538463e-73,-3.917896535543595e-113,-4.291431541095855e-133,1.0443345253918668e-84,1.4082605749312038e-96,7.093694572608268e-60,1.0958255392211796e-120,4.629121312921377e-119,1.42514828125342e-136,7.938312006586663e-182,-9.540063798405596e-145,6.620844461031449e-59,-1.2614688145506149e-155,6.397084398225782e-131,-4.247199344672522e-155,3.76,0.0,0.7914944038656886,0.9999999999999998,6.45940226027887e-56,-1.375763803218387e-119,1.436683309561289e-17,1.436683309561289e-17,3.385072941798435e-16,2.2221116500649732e-42,1.6098912811074295e-37,5.526828406132053e-22,4.669781107534823e-36,3.6993456446747565e-40
1.7923705149680745e-22,0.8528183986994372,1.0342086054901862e-24,6.916133476388331e-26,3.151479025861379e-40,5.8789847404292585e-40,0.0,0.0,1.5464777451114841e-21,8.448226404918443e-40,1.3128305147306072e-54,6.487961868114617e-76,3.779545548683544e-55,7.396294445396325e-110,5.52029071652844e-81,1.1867632484886878e-80,1.2691538914223344e-81,9.723743337890511e-37,2.0877478473669743e-126,4.821965166523901e-72,2.0303279546056897e-111,3.96096687596015e-131,3.2835548413596512e-83,8.567136308475926e-95,8.421634196601768e-59,8.45588079048912e-119,3.572037389688778e-117,2.66132272636825e-134,4.045925726658714e-178,9.341271625678218e-142,7.860266544137728e-58,1.4688039274663244e-152,6.81679835763011e-129,4.945281131760123e-152,3.76,0.0,0.7914944038656886,0.9999999999999991,7.668603173084466e-55,1.4402278829335711e-117,4.022713266771609e-17,4.022713266771609e-17,9.47820423703389e-16,1.342155436911393e-41,9.723743337890511e-37,1.5475119537169743e-21,2.8205477889510337e-35,2.234404769383467e-39
4.096846891355599e-22,0.8528183986994371,2.363905383977647e-24,1.5808305088887678e-25,1.517301491259119e-39,2.83047808363722e-39,0.0,0.0,3.5348062745405324e-21,4.0674573485931816e-39,1.2889447843417222e-53,1.281911933631651e-74,3.710780232098179e-54,3.3390408717828513e-108,1.2315464917811589e-79,2.3994164362648432e-79,2.7211288890397742e-80,4.6815638454628165e-36,5.428237756904548e-124,1.075753903058152e-70,2.1309117801259846e-109,8.444167904318791e-129,7.32543022297764e-82,3.86761484731606e-93,8.268410393835943e-58,9.215632521939474e-117,3.892981080690408e-115,6.073707729827081e-132,4.583093077337804e-175,2.3022897758781467e-139,7.717256303781888e-57,7.631372334554611e-150,1.5513349184701743e-126,2.5693887765650584e-149,3.76,0.0,0.7914944038656886,0.9999999999999979,7.529080424328745e-54,1.4395072250316825e-115,9.194773181192248e-17,9.194773181192248e-17,2.16644668274979e-15,6.461900682393354e-41,4.6815638454628165e-36,3.53717017992451e-21,1.3579723460711268e-34,1.0757697134712905e-38
8.705799644130648e-22,0.8528183986994372,5.023298940952835e-24,3.359264831388657e-25,6.626454243119536e-39,1.2361441424413655e-38,0.0,0.0,7.511463333398616e-21,1.7763654858023822e-38,1.1400570649157539e-52,2.2810937936071297e-73,3.282143092043924e-53,1.2607583068244153e-106,2.3065502812169367e-78,4.3142269826865203e-78,5.016560347179404e-79,2.0445619270089052e-35,9.509750057236503e-122,2.0147680044369122e-69,1.7013069756103428e-107,1.350483235774296e-126,1.3719720086581192e-80,1.4603377761025956e-91,7.313315356584009e-57,7.5389596033100595e-115,3.1847002399250723e-113,1.015805717848958e-129,3.36607239576139e-172,3.9612412423618134e-137,6.825825805552535e-56,2.739005811530876e-147,2.621677660250812e-124,9.221894474707161e-147,3.76,0.0,0.7914944038656885,0.9999999999999954,6.659386512101843e-53,1.1309824275223937e-113,1.9538893010033527e-16,1.9538893010033527e-16,4.603699200839832e-15,2.8220817996840848e-40,2.0445619270089052e-35,7.51648663233957e-21,5.930622006569225e-34,4.698168968735611e-38
1.7923705149680743e-21,0.8528183986994374,1.0342086054904274e-23,6.9161334763885145e-25,2.766414204489977e-38,5.160658459232227e-38,0.0,0.0,1.5464777451114745e-20,7.415976224979678e-38,9.58286656654218e-52,3.847398094601307e-72,2.7588390328232384e-52,4.37415629300085e-105,3.98399201226291e-77,7.312867189629995e-77,8.603145060230604e-78,8.535643572453728e-35,1.41306399291262e-119,3.480010690247351e-68,1.2118630458655217e-105,1.92541527159927e-124,2.3697404596189007e-79,5.066590140517199e-90,6.147282217523225e-56,5.42584397985672e-113,2.2920518922463544e-111,1.4781276891089831e-127,2.0478969906456395e-169,5.839293546321798e-135,5.7375178764321146e-55,8.25492400249844e-145,3.8387062370021835e-122,2.779331065960019e-144,3.76,0.0,0.7914944038656883,0.9999999999999906,5.5976156774272745e-52,7.99794085286295e-112,4.022713266771608e-16,4.022713266771608e-16,9.47820423700887e-15,1.1781636005402938e-39,8.535643572453728e-35,1.547511953716965e-20,2.475917943214963e-33,1.9613930608053585e-37
3.6359516160780934e-21,0.8528183986994374,2.0979660282811416e-23,1.4029870766388554e-24,1.1301704684071043e-37,2.1082973687359744e-37,0.0,0.0,3.137140568654683e-20,3.0296682652498775e-37,7.856612983683116e-51,6.3193629234115526e-71,2.2618629211479795e-51,1.4567767042062803e-103,6.619462314034252e-76,1.2040757231149667e-75,1.4245516697317615e-76,3.4870889105486388e-34,1.9453445932069614e-117,5.78208980980811e-67,8.175674219568437e-104,2.598948983128118e-122,3.937359216138636e-78,1.687386055467245e-88,5.03991336508586e-55,3.67781372439488e-111,1.553627405711748e-109,2.0146522476279585e-125,1.1408620582444263e-166,8.008568011204891e-133,4.7039638013402784e-54,2.2895091438699375e-142,5.249101065948913e-120,7.708494886670934e-142,3.76,0.0,0.7914944038656878,0.9999999999999808,4.5892635482817765e-51,5.377032053006863e-110,8.160361198308116e-16,8.160361198308116e-16,1.9227214309302785e-14,4.813182749564542e-39,3.4870889105486388e-34,3.1392385346829643e-20,1.0114932670164725e-32,8.01293064018117e-37
7.323113818298132e-21,0.8528183986994377,4.225480873864274e-23,2.825734534638992e-24,4.568329732014332e-37,8.522075052182586e-37,0.0,0.0,6.318466215741033e-20,1.2246403530419368e-36,6.362488890666689e-50,1.0243959618735891e-69,1.8317152363114032e-50,4.755161990892184e-102,1.0791394237962081e-74,1.9542208822011773e-74,2.3185011069814364e-75,1.409537091406416e-33,2.5812841357587008e-115,9.426265714103747e-66,5.3710843065590836e-102,3.4155008777795346e-120,6.4188892605115e-77,5.507909124731418e-87,4.0814525116444857e-54,2.4216377041873657e-109,1.0229780477676381e-107,2.6601806475038718e-123,6.090276549999551e-164,1.0607054173246694e-130,3.8093918448420874e-53,6.098368905604674e-140,6.94243535716618e-118,2.053245598987979e-139,3.76,0.0,0.791494403865687,0.9999999999999613,3.7165046149608077e-50,3.5265007702781336e-108,1.6435657061381123e-15,1.6435657061381123e-15,3.8725234453713926e-14,1.9455654365124846e-38,1.409537091406416e-33,6.322691696614896e-20,4.088617509139895e-32,3.238954680495353e-36
1.469743822273821e-20,0.8528183986994379,8.480510565037355e-23,5.671229450639782e-24,1.8369052930000924e-36,3.426688897038258e-36,0.0,0.0,1.2681117509913457e-19,4.9242249979419954e-36,5.1210845832851204e-49,1.6497581162458581e-68,1.4743237778226027e-49,1.5367863150756807e-100,1.7428130519784946e-73,3.149108263794793e-73,3.7412911216623664e-74,5.667686650914542e-33,3.363687925976737e-113,1.5223444307109725e-64,3.482569343255474e-100,4.42962261828104e-118,1.0366523301611757e-75,1.7800610538491936e-85,3.285108059747159e-53,1.5719057295314652e-107,6.640237933231731e-106,3.4581005721278846e-121,3.1836578635740852e-161,1.3809562731295218e-128,3.0661299663605443e-52,1.592313377351488e-137,9.032296594664887e-116,5.361122772510812e-137,3.76,0.0,0.7914944038656854,0.9999999999999223,2.9913662462589355e-49,2.2846361840375883e-106,3.2986248787527106e-15,3.2986248787527106e-15,7.772127474182952e-14,7.823033155421193e-38,5.667686650914543e-33,1.2689598020478496e-19,1.6440151180320614e-31,1.3023694315835618e-35
2.944608703161837e-20,0.8528183986994382,1.699056994741078e-22,1.1362219282643427e-23,7.36681180091272e-36,1.3742555101218833e-35,0.0,0.0,2.5406420098257235e-19,1.9748344655205925e-35,4.109347863529603e-48,2.6482271429364375e-67,1.1830519820586119e-48,4.942075301185906e-99,2.801521080308491e-72,5.056535263052162e-72,6.011543675860215e-73,2.27299584054823e-32,4.3440975153504015e-111,2.447124210589936e-63,2.2433826202179084e-98,5.707194389767445e-116,1.6663883441916146e-74,5.724409582261792e-84,2.636092329119562e-52,1.0131345387310127e-105,4.279807795387612e-104,4.46064239811866e-119,1.6470025786620534e-158,1.7826563394474172e-126,2.460376199933881e-51,4.116667280625973e-135,1.1655698899937457e-113,1.3860311069022556e-134,3.76,0.0,0.791494403865682,0.9999999999998443,2.4003830243759522e-48,1.4710898111644887e-104,6.608743223981892e-15,6.608743223981893e-15,1.557133553152339e-13,3.1373862726760566e-37,2.2729958405482302e-32,2.5423410668204645e-19,6.593235927041747e-31,5.223083919587935e-35
