Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468)
0.0,0.6216436404784103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8475176052726134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.232588816543445e-22,0.6216436404784103,3.0019498629625343e-27,1.5658359675870563e-30,9.209145767685832e-43,1.935462691848103e-42,0.0,0.0,2.4089683938324466e-23,3.654514383425818e-42,2.3940588560068555e-59,5.58859430848373e-82,5.941118968650988e-59,1.9592634762485188e-123,8.758555344382374e-88,5.28340893109016e-89,3.7009455741398234e-89,2.61366540210219e-39,-1.2237233944659716e-137,6.626846924335232e-82,-5.844209226102591e-122,-5.696590483894225e-143,2.781660118920576e-91,5.6146031084056576e-101,2.1095096529090046e-64,8.346165083652284e-130,2.379791460728163e-126,-6.324873637041856e-145,9.411752327114944e-192,-2.0237218643476533e-154,5.671975441664704e-63,-7.504203984862124e-163,6.433613456065349e-137,-2.9772701166774502e-161,3.76,0.0,0.8475176052726134,0.9999999999999998,4.4338468581039293e-57,-9.54966229141942e-126,2.4007664343787913e-19,2.4007664343787913e-19,3.4278256187561605e-16,1.5653572284164547e-43,2.61366540210219e-39,2.409268588818743e-23,9.05599631475886e-41,6.370664437227594e-40,3.566341560050218e-62
1.7451248686321644e-21,0.6216436404784103,8.405459616295182e-27,4.384340709246737e-30,5.5623240436822616e-42,1.1690194658762642e-41,0.0,0.0,6.745111502730847e-23,2.2073266875891933e-41,2.842226673854423e-58,1.2501461924318713e-80,7.053296439590001e-58,1.1928858029129834e-121,2.7538299371791084e-86,1.5895691452227845e-87,1.1581130560758404e-87,1.5786539028715756e-38,2.1267733040418734e-135,2.0835867025617646e-80,3.0285795596366207e-120,5.358603200461144e-141,8.745984479571562e-90,3.4156370634994276e-99,2.504409859936218e-63,6.44027489515357e-128,1.8363537057689946e-124,1.5060041696510167e-142,6.117454774981588e-189,3.621739425951113e-152,6.733769244351467e-62,1.571061952870498e-160,6.855617856917629e-135,6.2331404557619e-159,3.76,0.0,0.8475176052726134,0.999999999999999,5.263863028278756e-56,5.037461698709905e-124,6.7221460162606145e-19,6.7221460162606145e-19,9.597911732498395e-16,9.454757660290622e-43,1.5786539028715756e-38,6.745952048692476e-23,5.469821774114351e-40,3.8478813200851726e-39,4.233960700091611e-61
3.9888568425878045e-21,0.6216436404784103,1.921247912296082e-26,1.0021350192578016e-29,2.6780195892430704e-41,5.628325507894433e-41,0.0,0.0,1.5417397720527634e-22,1.0627327827002267e-40,2.79051500257098e-57,2.4700782085997814e-79,6.924968269882566e-57,5.3879260049437074e-120,6.143643101888822e-85,3.5011889312400534e-86,2.580211968035049e-86,7.600538989340443e-38,5.529705689284374e-133,4.6483673154707805e-79,3.178617447509561e-118,1.1431476737488396e-138,1.9511810258055706e-88,1.541981841328895e-97,2.458844451438793e-62,7.01892663378784e-126,2.0013480974960705e-122,3.8487150528605007e-140,7.574748689281095e-186,9.399463982235627e-150,6.611254574826081e-61,8.691226365912956e-158,1.5601738089596442e-132,3.448217603020396e-156,3.76,0.0,0.8475176052726134,0.9999999999999978,5.168091952245607e-55,5.278236483059312e-122,1.5364905180024263e-18,1.5364905180024263e-18,2.193808395990745e-15,4.5520588211986273e-42,7.600538989340443e-38,1.541931896843993e-22,2.633483728331876e-39,1.8525892183453436e-38,4.156927722394515e-60
8.476320790499085e-21,0.6216436404784103,4.082651813629347e-26,2.129536915928825e-29,1.1695615124961322e-40,2.458037618647245e-40,0.0,0.0,3.276197015612117e-22,4.641233266950775e-40,2.4681789182083727e-56,4.395372196450367e-78,6.125056011968241e-56,2.0363494648620965e-118,1.1506363599736496e-83,6.524734704940297e-85,4.8299369045924525e-85,3.3193550606977196e-37,9.68751210800998e-131,8.70587753709887e-78,2.5377887938284373e-116,1.829359136491641e-136,3.6543461199693924e-87,5.822230035464661e-96,2.1748200717798348e-61,5.741917815901455e-124,1.6372270078386797e-120,6.704380877032074e-138,5.776014177354942e-183,1.6457133168881316e-147,5.847579801383807e-60,3.1843094525656223e-155,2.636619916274456e-130,1.263365083270998e-153,3.76,0.0,0.8475176052726134,0.9999999999999953,4.5711188116539314e-54,4.211879908188728e-120,3.2650423507551558e-18,3.2650423507551558e-18,4.661842841442392e-15,1.988003681075599e-41,3.3193550606977196e-37,3.2766052807934794e-22,1.1501115319743751e-38,8.090743835274499e-38,3.6767554947493318e-59
1.7451248686321643e-20,0.6216436404784103,8.405459616296426e-26,4.384340709289942e-29,4.882689086027313e-40,1.0261823192180032e-39,0.0,0.0,6.745111502730808e-22,1.9376235260923574e-39,2.0746530997091507e-55,7.413437650484863e-77,5.148478640415821e-55,7.078706045906284e-117,1.9874381688187983e-82,1.1244645016166306e-83,8.340570500990994e-84,1.38576539621962e-36,1.439477847297931e-128,1.5037238446494426e-76,1.8076999045656843e-114,2.6089585335276685e-134,6.311974150628476e-86,2.0200020691416158e-94,1.828067313086782e-60,4.1324999871483583e-122,1.1783241682712307e-118,9.937357098745649e-136,3.57566043021457e-180,2.444746527026247e-145,4.915243166221142e-59,9.682635182651846e-153,3.860588695814101e-128,3.8415560400867324e-151,3.76,0.0,0.8475176052726134,0.9999999999999905,3.8423007944106316e-53,2.9994674299810394e-118,6.722146016260615e-18,6.722146016260615e-18,9.597911732225033e-15,8.299524033905808e-41,1.38576539621962e-36,6.745952048692432e-22,4.801489246085146e-38,3.377726284613979e-37,3.090534534474484e-58
3.5401104477966767e-20,0.6216436404784104,1.7051075221632783e-25,8.893948296088456e-29,1.9947378098640644e-39,4.192289609051843e-39,0.0,0.0,1.3682940476968116e-21,7.915824335075564e-39,1.7009259564332215e-54,1.2176593602295146e-75,4.2210338474662134e-54,2.3666043033222736e-115,3.3021582422057272e-81,1.8663235932085784e-82,1.3856447127308512e-82,5.6613038077809884e-36,1.981708161361854e-126,2.4984596579769237e-75,1.2195409008346079e-112,3.522138813685754e-132,1.0487439455094006e-84,6.727450275240918e-93,1.4987600304700822e-59,2.8011430975008426e-120,7.987064895344524e-117,1.3664571815413085e-133,2.0087212842332285e-177,3.3652343315997676e-143,4.0298133142233945e-58,2.6966867383486504e-150,5.2790260024040857e-126,1.069902256508825e-148,3.76,0.0,0.8475176052726134,0.9999999999999806,3.1501503343468006e-52,2.0233235413773476e-116,1.3636353347271533e-17,1.3636353347271533e-17,1.9470049513307694e-14,3.3906263785092716e-40,5.6613038077809884e-36,1.3684645584490268e-21,1.9615650257620276e-37,1.3799113997577826e-36,2.5338069335939092e-57
7.130081606125701e-20,0.6216436404784103,3.434230643231428e-25,1.7913163469990614e-28,8.06304915860779e-39,1.6945904889231916e-38,0.0,0.0,2.7558598425442468e-21,3.1997027593796327e-38,1.3774539390531879e-53,1.9738782955054062e-74,3.4183026474935364e-53,7.78439384968399e-114,5.3833513567023485e-80,3.0409944178251005e-81,2.258828432704979e-81,2.2883895156536184e-35,2.6295350738819273e-124,4.073119821158965e-74,8.011886014199043e-111,4.629092896451552e-130,1.7097173205720047e-83,2.195951817796933e-91,1.2137347306955173e-58,1.8443984566407168e-118,5.259042177310257e-115,1.812121973310856e-131,1.0767417942278991e-174,4.465074448332465e-141,3.26344730193957e-57,7.197447031355257e-148,6.982015612356828e-124,2.855565205824853e-146,3.76,0.0,0.8475176052726134,0.9999999999999608,2.5510734143370458e-51,1.3291679846075038e-114,2.746476800929337e-17,2.746476800929337e-17,3.921432507354252e-14,1.3705453967638482e-39,2.2883895156536184e-35,2.7562032656085642e-21,7.928959461394488e-37,5.577822506657262e-36,2.051942548205255e-56
1.431002392278375e-19,0.6216436404784103,6.892476885371242e-25,3.595159381901542e-28,3.2421166040984875e-38,6.813873825166779e-38,0.0,0.0,5.530991432239006e-21,1.2865864067425314e-37,1.108694766015028e-52,3.178870143857635e-73,2.751347356509416e-52,2.554177439699234e-112,8.6941268213807e-79,4.9099500194548e-80,3.6479164630819506e-80,9.201513596126252e-35,3.4265640331532813e-122,6.578099391021538e-73,5.194844657400389e-109,6.003777086224479e-128,2.761198039891062e-82,7.096936820674491e-90,9.769193038680711e-58,1.1972148774832964e-116,3.4136892221807136e-113,2.3607229414140866e-129,5.64010798646507e-172,5.818296203636572e-139,2.626706302286029e-56,1.8811578481382805e-145,9.083792670296044e-122,7.463436514088746e-144,3.76,0.0,0.8475176052726134,0.9999999999999213,2.0533258223977975e-50,8.61798800099986e-113,5.512159733333704e-17,5.512159733333704e-17,7.870287618629024e-14,5.5109027866914097e-39,9.201513596126252e-35,5.53168067992752e-21,3.1881997265961144e-36,2.2428178977606218e-35,1.651581877762585e-55
2.8669908556099845e-19,0.6216436404784104,1.380896936966493e-24,7.202845452194702e-28,1.3002337654534068e-37,2.7326681618505154e-37,0.0,0.0,1.1081254611628084e-20,5.159786930872119e-37,8.896577266990577e-52,5.102790595149546e-72,2.2077829801113873e-51,8.460802002496955e-111,1.3975554945713037e-77,7.891591192549867e-79,5.863841275153094e-79,3.6902185003706762e-34,4.425300036791407e-120,1.057410265027499e-71,3.3463868397730204e-107,7.735504614160058e-126,4.438545206139364e-81,2.2822685243288766e-88,7.839162172364268e-57,7.716365398602762e-115,2.200212386077273e-111,3.0483732796640335e-127,2.920765525267892e-169,7.514037509399941e-137,2.107766383698928e-55,4.86582913800929e-143,1.1722152554000689e-119,1.9305029026392174e-141,3.76,0.0,0.8475176052726134,0.9999999999998423,1.6476646585986305e-49,5.551413815279107e-111,1.1043525598142438e-16,1.1043525598142438e-16,1.5767997838089792e-13,2.2101185187313314e-38,3.6902185003706762e-34,1.1082635508564962e-20,1.2786106860830143e-35,8.99470289474893e-35,1.3252904439106652e-54
5.738967782273203e-19,0.6216436404784103,2.7641954338308534e-24,1.4418217594733815e-27,5.207717045128038e-37,1.0944926168875402e-36,0.0,0.0,2.2181780970404485e-20,2.0666061029211812e-36,7.128088005311152e-51,8.177770229890572e-71,1.7689130219986581e-50,2.872587161060441e-109,2.2412986043312487e-76,1.2655156632548337e-77,9.403943008914206e-78,1.4780122083539984e-33,5.689667563112835e-118,1.6957982417917668e-70,2.1486545459719954e-105,9.93400507215525e-124,7.118218357348995e-80,7.3213103588645595e-87,6.280869167450892e-56,4.9558847396695033e-113,1.4131000324879335e-109,3.919061190228852e-125,1.5039483503193705e-166,9.660828475776618e-135,1.6887780352652377e-54,1.2521020189740863e-140,1.5065391590618144e-117,4.967676656044021e-139,3.76,0.0,0.8475176052726133,0.9999999999996844,1.3201367598008793e-48,3.56443855336376e-109,2.2106257327759907e-16,2.2106257327759907e-16,3.1563418264656207e-13,8.852002153050348e-38,1.4780122083539984e-33,2.218454516583796e-20,5.121111942258098e-35,3.602572769942782e-34,1.0618450928415525e-53
1.148292163559964e-18,0.6216436404784104,5.530792427582066e-24,2.884896188762322e-27,2.0844439882854945e-36,4.380822797648783e-36,0.0,0.0,4.438283368795023e-20,8.271810142620281e-36,5.70680459023737e-50,1.3095087228499136e-69,1.4162059932575512e-49,1.0218886700413097e-107,3.5902510865024703e-75,2.0271168756406055e-76,1.5063769235298037e-76,5.915900648048425e-33,7.298998544904134e-116,2.7164347778837196e-69,1.377372728277656e-103,1.2736406190067442e-121,1.1402403565347445e-78,2.3457117421223787e-85,5.028514374152838e-55,3.1773500159222065e-111,9.059756928705156e-108,5.027398578548058e-123,7.722095547783735e-164,1.239336328749915e-132,1.352049278323072e-53,3.213663482270891e-138,1.932286126544045e-115,1.2750112067628501e-136,3.76,0.0,0.8475176052726131,0.9999999999993685,1.0569121075194794e-47,2.2849387172976724e-107,4.4231720786994837e-16,4.4231720786994837e-16,6.315425906836858e-13,3.543107888557028e-37,5.915900648048425e-33,4.438836448037639e-20,2.0497793771921376e-34,1.4419679654766007e-33,8.50121721547435e-53
