Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68)
0.0,0.7130596172085725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6435720328879277,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6858412957545896e-22,0.7130596172085725,4.5596577830207185e-26,4.142746289177713e-28,8.576733528989003e-42,1.406030664894438e-41,0.0,0.0,1.2087804991655979e-22,1.9340145924154924e-41,2.935119117040989e-57,2.8748277517339744e-79,1.91732207099865e-57,1.0152927624343315e-116,8.886162711678534e-85,3.127054337622665e-85,8.598740752978806e-86,2.5063890313002965e-38,-1.3497881702658243e-132,3.328303015800407e-77,-5.760643114546433e-117,-2.310428281631511e-137,1.5202923634705861e-87,1.1833157669985193e-98,6.210484926282331e-62,1.28781147402587e-124,3.0379097543090084e-122,1.9389168244625317e-141,6.198624433027745e-186,-1.1419494295320064e-148,9.195347587064871e-61,-1.6128633921318298e-158,1.2126977282672034e-133,-2.0018755084736234e-157,3.76,0.0,0.6435720328879277,0.9999999999999998,1.4885433673294591e-56,-2.8312383643087787e-122,2.1735645591482203e-18,2.1735645591482203e-18,3.463965231264302e-16,7.025940583269354e-43,2.5063890313002965e-38,1.2092364649438998e-22,3.9813892598237937e-38,4.080796811606987e-40,2.6411667057504926e-58,2.2057630390850536e-38
4.720355628112851e-22,0.7130596172085725,1.2767041792458168e-25,1.1599689609697866e-27,5.180347051509399e-41,8.492425215962494e-41,0.0,0.0,3.384585397663673e-22,1.1681448138189573e-40,3.4845734157523086e-56,6.430874687521025e-78,2.2762447626904054e-56,6.1765248668619925e-115,2.793951735161786e-83,8.31397842589482e-84,2.6206941035268777e-84,1.513858974905969e-37,2.3458679139542538e-130,1.0464717210158983e-75,2.9852740229001876e-115,2.1349582457186606e-135,4.780042437541441e-86,7.198687268763468e-97,7.373087704484927e-61,9.937330273327929e-123,2.3441872647876255e-120,4.315271952385313e-138,5.847477057189458e-183,2.4528615292145832e-146,1.0916716655367252e-59,4.0663726777659007e-156,1.2922606190541882e-131,5.047154730797237e-155,3.76,0.0,0.6435720328879277,0.999999999999999,1.7671987545961616e-55,1.6606304049893927e-120,6.085980765615018e-18,6.085980765615018e-18,9.699102647535103e-16,4.243668112799363e-42,1.513858974905969e-37,3.385862101842918e-22,2.4047591129335724e-37,2.464801274210488e-39,3.135593113066981e-57,1.3322808756073577e-37
1.0789384292829373e-21,0.7130596172085725,2.918180981133369e-25,2.6513576250739264e-27,2.494114110230064e-40,4.088737173513159e-40,0.0,0.0,7.736195194659817e-22,5.624114434744247e-40,3.4211748428267684e-55,1.2706324687481485e-76,2.2348306059584856e-55,2.7883795401628446e-113,6.23315262608099e-82,1.7593135127219966e-82,5.794483540209933e-83,7.288579303029939e-37,6.099361471883248e-128,2.334620843257496e-74,3.133166525077906e-113,4.5515889605284945e-133,1.0664011728398722e-84,3.249831537560733e-95,7.238941230082423e-60,1.083018863670038e-120,2.5548099518117005e-118,1.045404180183295e-135,7.004910594295138e-180,6.30047279202516e-144,1.0718097147494491e-58,2.2212547643150878e-153,2.9408669989830984e-129,2.7570067071733003e-152,3.76,0.0,0.6435720328879277,0.9999999999999978,1.735046246800971e-54,1.7237311325956269e-118,1.3910813178548614e-17,1.3910813178548614e-17,2.2169377480056943e-15,2.0431435223572496e-41,7.288579303029939e-37,7.7391133756409455e-22,1.1577879967567596e-36,1.1866957128151145e-38,3.0785439122227607e-56,6.414358917659112e-37
2.292744162226242e-21,0.7130596172085725,6.20113458490872e-25,5.634134953282637e-27,1.0892451581816672e-39,1.7856589444160727e-39,0.0,0.0,1.6439414788652085e-21,2.4561985323676694e-39,3.0259904049124696e-54,2.261022588508284e-75,1.976682362321885e-54,1.0528397762330637e-111,1.1674005032302295e-80,3.2258933064725673e-81,1.081469175011828e-81,3.183114069760264e-36,1.0685494207133535e-125,4.372486461926803e-73,2.501501054419965e-111,7.279666845739803e-131,1.9972513758286438e-83,1.2270745530845263e-93,6.402761539616131e-59,8.859766753726005e-119,2.0899931692107094e-116,1.7877610350241984e-133,5.259459828685587e-177,1.0993855316673122e-141,9.48003554838469e-58,8.105649778231533e-151,4.9699178417209776e-127,1.006067895545287e-149,3.76,0.0,0.6435720328879277,0.9999999999999953,1.5346287685128024e-53,1.3713462988521086e-116,2.95604780044158e-17,2.95604780044158e-17,4.710992714502154e-15,8.922944548357183e-41,3.183114069760264e-36,1.6445615923236967e-21,5.05636435997622e-36,5.182611950738835e-38,2.722937226960498e-55,2.801319059637785e-36
4.7203556281128505e-21,0.7130596172085725,1.276704179246042e-24,1.1599689609701789e-26,4.547384117070544e-39,7.454774585271538e-39,0.0,0.0,3.3845853976636534e-21,1.0254145368986883e-38,2.5435272649361003e-53,3.813545073539328e-74,1.6615206295835352e-53,3.65279524858685e-110,2.016394057334422e-79,5.518492031031653e-80,1.8650512233119903e-80,1.328887464403382e-35,1.5877690811743786e-123,7.552383002389163e-72,1.7818516766819784e-109,1.0378983928030195e-128,3.449755070417783e-82,4.257291658194474e-92,5.381906869386519e-58,6.376438479308191e-117,1.5041832629114062e-114,2.628141508086359e-131,3.2322648441561166e-174,1.6307394527861945e-139,7.968541093432897e-57,2.460494471091659e-148,7.277041402048576e-125,3.0539494992770294e-147,3.76,0.0,0.6435720328879277,0.9999999999999903,1.2899479530092077e-52,9.752800372190054e-115,6.085980765615019e-17,6.085980765615019e-17,9.699102647463446e-15,3.725153704065025e-40,1.328887464403382e-35,3.3858621018428882e-21,2.1109325855585763e-35,2.1636384695121903e-37,2.2887928085360295e-54,1.1694955633226853e-35
9.575578559886069e-21,0.7130596172085725,2.5898856207567783e-24,2.3530798922547006e-26,1.8577547893136198e-38,3.045518661388986e-38,0.0,0.0,6.865873235260507e-21,4.189152967755601e-38,2.0853373252516926e-52,6.263759234683474e-73,1.3622149969888876e-52,1.2165366389995363e-108,3.3502688840061225e-78,9.126857573614521e-79,3.0965062487681126e-79,5.428938897424988e-35,2.185858540600859e-121,1.2548397313910889e-70,1.2021027347779904e-107,1.4009808844085986e-126,5.73181964499448e-81,1.417855871283228e-90,4.4124124126657316e-57,4.322157629994692e-115,1.0195843943983561e-112,3.599775925752283e-129,1.8094102448923224e-171,2.243168644042553e-137,6.533091427409284e-56,6.847195016591255e-146,9.950729667161287e-123,8.498693288601722e-145,3.76,0.0,0.6435720328879276,0.9999999999999803,1.0575772691416346e-51,6.574631770190664e-113,1.234584669596189e-16,1.234584669596189e-16,1.967532251325951e-14,1.5218468398570493e-39,5.428938897424988e-35,6.868463120881215e-21,8.623848392348731e-35,8.839169125797667e-37,1.8764906274747667e-53,4.777770973178008e-35
1.9286024423432506e-20,0.7130596172085725,5.21624850377984e-24,4.739301754826512e-26,7.509341887843259e-38,1.2310473365878483e-37,0.0,0.0,1.3828448910454074e-20,1.6933226083601556e-37,1.68876023203027e-51,1.0153823643248458e-71,1.1031570223835163e-51,3.9709998214663103e-107,5.461783845204759e-77,1.4845506595126103e-77,5.046253393292718e-78,2.194463903632209e-34,2.900422883209365e-119,2.0457054673626443e-69,7.897324379874512e-106,1.8411571497121812e-124,9.344312658067377e-80,4.6281177124483524e-89,3.5732859713351343e-56,2.845902666315362e-113,6.713401485411037e-111,4.76472231266076e-127,9.682194425624199e-169,2.9752770418453644e-135,5.290666819811872e-55,1.8268083456075824e-143,1.3160786701079256e-120,2.2674224714068794e-142,3.76,0.0,0.6435720328879275,0.9999999999999604,8.564534928481516e-51,4.317671684520917e-111,2.4865578556655635e-16,2.4865578556655635e-16,3.962776224434556e-14,6.151548273120547e-39,2.194463903632209e-34,1.3833665158957655e-20,3.485897403660203e-34,3.572933486796098e-36,1.5196307614339137e-52,1.9312514173433745e-34
3.870691615052538e-20,0.7130596172085725,1.0468974269832322e-23,9.511745479981203e-26,3.019473345817936e-37,4.949987196994385e-37,0.0,0.0,2.775360026084063e-20,6.808775733182077e-37,1.359261153590267e-50,1.635241995288719e-70,8.879167441272857e-51,1.2833724945956041e-105,8.820795499391964e-76,2.394874022388056e-76,8.148249731883432e-77,8.823842840702235e-34,3.7795596762571856e-117,3.3038197941465973e-68,5.1205637836069204e-104,2.3878342840706346e-122,1.509108990316945e-78,1.495727671990067e-87,2.876091418650635e-55,1.8472997437852874e-111,4.357726277973693e-109,6.201336515196067e-125,5.0672799606388275e-166,3.87633736434799e-133,4.2583889342956337e-54,4.773723203140087e-141,1.7122540510807773e-118,5.925113762563442e-140,3.76,0.0,0.6435720328879273,0.9999999999999205,6.893482811159215e-50,2.7990342614902756e-109,4.990504227804313e-16,4.990504227804313e-16,7.953264170449337e-14,2.473510524464647e-38,8.823842840702235e-34,2.776406923510968e-20,1.4016640144780055e-33,1.436660840703124e-35,1.2231310416902298e-51,7.765477009608602e-34
7.754869960471113e-20,0.7130596172085725,2.097442580196271e-23,1.9056632930334857e-25,1.2109438609204504e-36,1.985166259586042e-36,0.0,0.0,5.560390296161147e-20,2.7306235989435866e-36,1.0907214725310705e-49,2.62492555403302e-69,7.124972681527074e-50,4.127223463091689e-104,1.4179171144752322e-74,3.8475491970040127e-75,1.3096904480158532e-75,3.53875563531971e-33,4.88118284456278e-115,5.31079382732371e-67,3.2985369896271295e-102,3.0765262039075434e-120,2.4258486268622994e-77,4.81003603764304e-86,2.307882233662943e-54,1.1906332178084313e-109,2.80866906924582e-107,8.003954990191463e-123,2.6229952032802663e-163,5.005677395948765e-131,3.4170889359655465e-53,1.2346615267138408e-138,2.209572902880631e-116,1.5324537462971268e-137,3.76,0.0,0.6435720328879267,0.9999999999998407,5.531585820782578e-49,1.802903206480782e-107,9.998396972081804e-16,9.998396972081804e-16,1.5934240061669188e-13,9.919883662808838e-38,3.53875563531971e-33,5.562487738741028e-20,5.6212996076096523e-33,5.761652533443565e-35,9.814856308538184e-51,3.114303600296372e-33
1.5523226651308262e-19,0.7130596172085727,4.1985328866325173e-23,3.8146407831219264e-25,4.8500916933324016e-36,7.951019610595158e-36,0.0,0.0,1.113045083631441e-19,1.0936737252837545e-35,8.739044702970358e-49,4.206725251041806e-68,5.708648480787087e-49,1.3240334880830782e-102,2.2739530998596005e-73,6.168709941042039e-74,2.1002935213411985e-74,1.4173480594114524e-32,6.275802198614124e-113,8.517067719861635e-66,2.1179310215074667e-100,3.9508680194419315e-118,3.890400890613029e-76,1.5430159197717283e-84,1.849114234663358e-53,7.646915609089796e-108,1.8038851052788765e-105,1.0287667717382078e-120,1.3503319966529948e-160,6.435552061465904e-129,2.7378293833422024e-52,3.176950066577426e-136,2.839758311629295e-114,3.94320947629661e-135,3.76,0.0,0.6435720328879257,0.999999999999681,4.432000009560646e-48,1.1575592448188591e-105,2.001418246063677e-15,2.001418246063677e-15,3.189619184087002e-13,3.973127773196876e-37,1.4173480594114524e-32,1.1134649369199774e-19,2.251451897350364e-32,2.3076662753477485e-34,7.863828684535927e-50,1.2473458522471936e-32
