Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165)
0.0,0.6097052609073709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7954598687028692,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.925099055458133e-22,0.6097052609073709,2.3483146559558445e-27,1.1234821522878432e-30,7.693823541484418e-43,1.5164017475938973e-42,0.0,0.0,2.0737410068609877e-23,3.001102488198672e-42,1.7424241036332277e-59,3.840738281652736e-82,4.796929378460203e-59,7.016039497816508e-124,5.259998959498921e-88,8.6622442141513e-81,2.1197881232077914e-89,2.1964307825885014e-39,-5.438987214574743e-138,3.1119409127637746e-82,-2.513673966928518e-122,-2.281990061224033e-143,1.1052246092606584e-67,3.655413726479465e-101,1.36193338680113e-64,3.881021245336015e-130,1.3185541942453582e-126,-3.855529856580791e-136,3.658004459512821e-192,-8.138668473222345e-155,3.799824285994447e-63,-3.8503421239144105e-163,3.8405159821744936e-137,-1.6146043261721956e-161,3.76,0.0,0.7954598687028692,0.9999999999999998,3.781481177273329e-57,-6.698041658990361e-126,1.957823694103647e-19,1.957823694103647e-19,3.4999989048293146e-16,1.3708426189263794e-43,2.1964307825885014e-39,2.0739758383265825e-23,5.909225070873901e-41,6.450357570759286e-40,1.84600534379557e-62,1.8010891475332088e-39,4.388137563664462e-43
1.9390277355282773e-21,0.6097052609073709,6.575281036676436e-27,3.145750026409872e-30,4.647069419056608e-42,9.159066555467221e-42,0.0,0.0,5.806474819210762e-23,1.8126659028719965e-41,2.0686058958358323e-58,8.591577906536397e-81,5.6949145581146336e-58,4.273363219233183e-122,1.6538064501549467e-86,2.4307763905803437e-79,6.636504887059086e-88,1.3266441926851624e-38,9.452561802422695e-136,9.784440140275227e-81,1.3026333078268803e-120,2.16146512166082e-141,1.6616277920670414e-66,2.2237665540248475e-99,1.6168873168121773e-63,2.9947698676012483e-128,1.017455487515942e-124,2.055921043991831e-134,2.360370181955464e-189,1.4521618483864763e-152,4.511151392337845e-62,8.03631387123179e-161,4.092432093733058e-135,3.3699517036635316e-159,3.76,0.0,0.7954598687028692,0.999999999999999,4.48937448290596e-56,3.2177322142443277e-124,5.481906343490212e-19,5.481906343490212e-19,9.799996933500657e-16,8.279889418886023e-43,1.3266441926851624e-38,5.807132347314428e-23,3.5691719428078344e-40,3.896015972738298e-39,2.1915775441540967e-61,1.0878578451100424e-38,2.6504350884613247e-42
4.432063395493205e-21,0.6097052609073709,1.5029213798117892e-26,7.190285774669576e-30,2.237363885863697e-41,4.409696282003175e-41,0.0,0.0,1.3271942443910303e-22,8.727206035681728e-41,2.0309695352023915e-57,1.6975510138657464e-79,5.591300883553545e-57,1.9306210298256685e-120,3.689540644548739e-85,5.278204212189474e-78,1.478778188542745e-86,6.387220715792488e-38,2.457708951982191e-133,2.182854771165315e-79,1.3671666464203434e-118,4.612166001148126e-139,1.7845470976106542e-65,1.0039145207507714e-97,1.5874695556611038e-62,3.2638467055159705e-126,1.1088727611846539e-122,5.22424195734777e-132,2.924732299048228e-186,3.769479552338874e-150,4.4290751877710624e-61,4.446757834716003e-158,9.313390510898323e-133,1.8647055621624809e-156,3.76,0.0,0.7954598687028692,0.9999999999999978,4.40769450176065e-55,3.475070770102216e-122,1.253007164226334e-18,1.253007164226334e-18,2.239999299075767e-15,3.986410336677108e-42,6.387220715792488e-38,1.3273445365290105e-22,1.7184026506101295e-39,1.8757639815763348e-38,2.1517038287281063e-60,5.237567241026335e-38,1.2760704035253811e-41
9.41813471542306e-21,0.6097052609073709,3.193707932100193e-26,1.5279357271251574e-29,9.771155897685502e-41,1.9258302194443752e-40,0.0,0.0,2.8202877693309346e-22,3.811400160012302e-40,1.7963695538973264e-56,3.0207013293871155e-78,4.945442312059651e-56,7.30014803845489e-119,6.910093452365918e-84,9.778071363882232e-77,2.768292783800499e-85,2.789467093913134e-37,4.305669956503364e-131,4.088245405174575e-78,1.091537516507354e-116,7.382379870142554e-137,1.6392347075863828e-64,3.7905902126054924e-96,1.4040988444683687e-61,2.6700292720869707e-124,9.071267687719538e-121,9.040226212072252e-130,2.2309445145081992e-183,6.600225182162577e-148,3.917466845921995e-60,1.6293290166500024e-155,1.5739188110310364e-130,6.832436116745502e-154,3.76,0.0,0.7954598687028692,0.9999999999999952,3.8985558763450967e-54,2.8062984028268427e-120,2.66264022398096e-18,2.66264022398096e-18,4.759998510492895e-15,1.7409701268958116e-41,2.789467093913134e-37,2.8206071401241412e-22,7.504715840009851e-39,8.191954114859488e-38,1.9031576692394603e-59,2.287383217366932e-37,5.572934705974278e-41
1.9390277355282773e-20,0.6097052609073709,6.575281036677447e-26,3.14575002646659e-29,4.079265241695301e-40,8.039962065743977e-40,0.0,0.0,5.806474819210728e-22,1.5911845392429263e-39,1.5099568494511018e-55,5.094854307052355e-77,4.1569422485800005e-55,2.5400323800833136e-117,1.193546156208109e-82,1.680076210752913e-75,4.780535918000689e-84,1.1645476009514899e-36,6.397841623983636e-129,7.061427262607763e-77,7.775163438418009e-115,1.0529609696196489e-134,1.4019909906094045e-63,1.315131835413023e-94,1.1802296820891207e-60,1.9216394791309289e-122,6.528657236985196e-119,1.3355417233798711e-127,1.3812851365988788e-180,9.805051341772393e-146,3.2928669291141064e-59,4.954505525541152e-153,2.3045615705951972e-128,2.0776247255587332e-151,3.76,0.0,0.7954598687028692,0.9999999999999902,3.276971121699424e-53,2.0093296676810665e-118,5.481906343490211e-18,5.481906343490211e-18,9.799996933190061e-15,7.268207573247766e-41,1.1645476009514899e-36,5.807132347314383e-22,3.133071132577341e-38,3.419979584012249e-37,1.599718694847704e-58,9.549374660218887e-37,2.3265905363628113e-40
3.9334562635002196e-20,0.6097052609073709,1.333842724583374e-25,6.381378625249595e-29,1.6665129543799132e-39,3.284586841359244e-39,0.0,0.0,1.1778848918970255e-21,6.500508033537774e-39,1.237953852955045e-54,8.368313498396667e-76,3.4081124073249703e-54,8.50779689085356e-116,1.9830942578830735e-81,2.784191863090982e-74,7.942141075997264e-83,4.757556932512891e-36,8.807815471530642e-127,1.1732667009397865e-75,5.245411475585876e-113,1.4215927615993696e-132,1.1590334244613058e-62,4.379938101698048e-93,9.67623599869407e-60,1.3025498384230142e-120,4.425336459653484e-117,1.8333560554800503e-125,7.760306922937969e-178,1.3496984345107132e-143,2.6996912551804166e-58,1.3798866146433304e-150,3.1512914686626345e-126,5.786423155610994e-149,3.76,0.0,0.7954598687028692,0.9999999999999801,2.6866589126283568e-52,1.3589088971922188e-116,1.1120438582508714e-17,1.1120438582508714e-17,1.9879993778036024e-14,2.96929995280479e-40,4.757556932512891e-36,1.1780182761694784e-21,1.27996178725157e-37,1.397173251253083e-36,1.3115460369687e-57,3.901231137120979e-36,9.50488148931155e-40
7.922313319444104e-20,0.6097052609073709,2.686471966415347e-25,1.2852635823216155e-28,6.736311814101426e-39,1.3276825173031304e-38,0.0,0.0,2.3723597118489065e-21,2.6276092813373074e-38,1.0025271262841129e-53,1.356539679657245e-74,2.7599777888414424e-53,2.808701180363665e-114,3.2329437147827103e-80,4.533008914921241e-73,1.2947065230434684e-81,1.9230805789939492e-35,1.168711943504104e-124,1.912720839756507e-74,3.446021270069949e-111,1.868428053938193e-130,9.42443506772823e-62,1.4296847457485888e-91,7.8360667854065875e-59,8.576573394434702e-119,2.9138402398369507e-115,2.4292007421365875e-123,4.1599354352513856e-175,1.790823406753154e-141,2.186279972752594e-57,3.682937555672411e-148,4.1678836233456035e-124,1.5444048032125223e-146,3.76,0.0,0.7954598687028692,0.9999999999999599,2.1757260441032564e-51,8.938201209426963e-115,2.239750306054572e-17,2.239750306054572e-17,4.0039987465534495e-14,1.2002385186613893e-39,1.9230805789939492e-35,2.3726283590455265e-21,5.173810192353499e-37,5.647597670333035e-36,1.062123984864501e-56,1.576940000942883e-35,3.8420250683405384e-39
1.5900027431331874e-19,0.6097052609073709,5.39173045008215e-25,2.5795150220751475e-28,2.708641353075236e-38,5.338553008480617e-38,0.0,0.0,4.761309351752572e-21,1.0565501353802438e-37,8.0692104918671965e-53,2.184665334480856e-73,2.2214702372752186e-52,9.281580754772311e-113,5.22121238586748e-79,7.316035307573954e-72,2.0909042818494225e-80,7.732622428632476e-35,1.5229560437161109e-122,3.089049265340552e-73,2.2343734237335623e-109,2.42332072275438e-128,7.600896798157588e-61,4.620494052691481e-90,6.3071482717883525e-58,5.567127558563301e-117,1.8913986019965197e-113,3.163236170535633e-121,2.1790654450269576e-172,2.333571859299624e-139,1.7597083242670963e-56,9.625927370945585e-146,5.422530201883845e-122,4.0365410065485187e-144,3.76,0.0,0.7954598687028692,0.9999999999999196,1.7512136043106358e-50,5.798896810545697e-113,4.4951632016619734e-17,4.4951632016619734e-17,8.035997483175757e-14,4.8261063169713044e-39,7.732622428632476e-35,4.761848524797495e-21,2.0803663231014396e-36,2.2708741841916624e-35,8.548897857172028e-56,6.340806387444211e-35,1.5448613824457416e-38
3.185545565510741e-19,0.6097052609073709,1.0802247417427187e-24,5.168017902223095e-28,1.0862863295292527e-37,2.1409985290224917e-37,0.0,0.0,9.539208631559516e-21,4.237238596472364e-37,6.4750332396314626e-52,3.5068716928116376e-72,1.7825899623848866e-51,3.1162448494664537e-111,8.392946139258836e-78,1.175646535332004e-70,3.3610274452628594e-79,3.101127444397582e-34,1.966849995979949e-120,4.96555647487534e-72,1.4393265464959203e-107,3.122323576321741e-126,6.105353336338988e-60,1.485881643010822e-88,5.061089278572861e-57,3.588160574880344e-115,1.2190560886974595e-111,4.083753604434921e-119,1.1284529335294878e-169,3.0136953880534097e-137,1.4120551078846743e-55,2.489859967435589e-143,6.997487548666623e-120,1.0440990745325776e-141,3.76,0.0,0.7954598687028692,0.999999999999839,1.4052386299306467e-49,3.736602311983926e-111,9.005988992876776e-17,9.005988992876776e-17,1.609999495291083e-13,1.9354845035051223e-38,3.101127444397582e-34,9.540288856300915e-21,8.343199422216432e-36,9.107221151812846e-35,6.859952139597909e-55,2.5429469608573026e-34,6.195585102204015e-38
