Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43)
0.0,0.8130214206043129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6678000030464504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.100857285895476e-23,0.8130214206043129,2.581425074445257e-25,1.425870879786458e-26,4.1270501695054946e-41,6.717595709517407e-41,0.0,0.0,4.21872868885497e-22,9.564860248638122e-41,7.324238262734638e-56,1.209205309176399e-72,2.3915223946190193e-56,1.792927518293271e-86,2.438138850306065e-64,4.360406016557863e-57,3.3915664472946575e-53,1.2810908406669751e-37,7.483559388706424e-115,4.612197751275816e-74,-1.1999950536040745e-113,1.2963219555920622e-127,6.165885116684048e-43,7.570414499828828e-97,3.485101833636062e-60,3.4662692667456955e-115,2.0324406638624787e-119,1.9781356958285144e-109,1.5949420487713468e-121,2.654542856160325e-114,3.500196183803367e-59,5.557612545872095e-125,1.4465849190056738e-126,1.403723722399926e-125,3.76,0.0,0.6678000030464504,0.9999999999999997,5.17930874422893e-56,7.5473341684129186e-90,1.025621057334043e-17,1.025621057334043e-17,3.7052613981868957e-16,1.9925925409814348e-42,1.2810908406669751e-37,4.221310113929415e-22,2.317373264164532e-36,4.037443290466744e-40,9.426100625387998e-56,1.2499318291989976e-37,8.486497157743375e-40,1.3164938421333902e-43,1.5819662681472059e-38,2.749186726506858e-37,1.6000173420040711e-37,4.918716967588534e-38,6.165885117023828e-43
2.2682400400507335e-22,0.8130214206043129,7.227990208446843e-25,3.992438463402368e-26,2.492738302381351e-40,4.0574278085485756e-40,0.0,0.0,1.1812440328793913e-21,5.777175590177426e-40,8.695335665520235e-55,2.70610389341995e-71,2.8392153868922422e-55,4.01070714145115e-85,2.894558443181461e-63,5.178997901275544e-56,4.0264676862281826e-52,7.737788677630154e-37,5.779857342083332e-113,1.4501487681651356e-72,6.218600926843612e-112,1.4743130355911565e-125,3.724194610477142e-42,4.6054525764802814e-95,4.137512896904103e-59,2.674728655156443e-113,1.5683222705166353e-117,1.5265018823296865e-107,1.6995345204688383e-119,2.048364219464202e-112,4.1554329094121435e-58,5.922067438364012e-123,1.5414484873766818e-124,1.4957765551789576e-123,3.76,0.0,0.6678000030464504,0.999999999999999,6.148875914915279e-55,4.591411684551725e-88,2.871738960535321e-17,2.871738960535321e-17,1.0374731914920893e-15,1.2035258949951959e-41,7.737788677630154e-37,1.1819668319002358e-21,1.3996934515553777e-35,2.4386157474418065e-39,1.1190666662460616e-54,7.549588248361865e-37,5.125844283279232e-39,7.951622806485774e-43,9.555076259608554e-38,1.660508782810148e-36,9.6641047457045e-37,2.9709050484234784e-37,3.724194610880529e-42
5.1845486629731045e-22,0.8130214206043129,1.6521120476450504e-24,9.125573630635328e-26,1.2001461892922459e-39,1.953476832327754e-39,0.0,0.0,2.6999863608671775e-21,2.7814613603039632e-39,8.537132119048575e-54,5.3479236969089465e-70,2.787558503169576e-54,7.924481450111567e-84,2.841894644220857e-62,5.085789160253411e-55,3.95320985096654e-51,3.725412164661948e-36,6.29908693025119e-111,3.2352021292041038e-71,6.5266746393622e-110,3.324166741898864e-123,1.793039391931684e-41,2.07912143825727e-93,4.062234697321393e-58,2.9150501283272534e-111,1.7092343320566878e-115,1.6636610994066092e-105,3.8677429263118405e-117,2.2324076471714135e-110,4.0798286718435905e-57,1.3477239895993449e-120,3.507976102081917e-122,3.4040374708261506e-121,3.76,0.0,0.6678000030464504,0.9999999999999977,6.037003087022067e-54,2.072782708469389e-86,6.563974766937875e-17,6.563974766937875e-17,2.3713672948379212e-15,5.794459112740796e-41,3.725412164661948e-36,2.7016384729148223e-21,6.73892145219046e-35,1.1740885088675679e-38,1.0987062888952196e-53,3.634801759310562e-36,2.4678733734750575e-38,3.828364092924037e-42,4.6003579077712155e-37,7.99463500068203e-36,4.652850430547696e-36,1.43036289417475e-36,1.7930393923277318e-41
1.1017165908817849e-21,0.8130214206043129,3.510738101245977e-24,1.939184396510582e-25,5.2413537152724713e-39,8.531346551088057e-39,0.0,0.0,5.737471016842741e-21,1.2147372515770376e-38,7.550996679359473e-53,9.517252083866642e-69,2.46556392795985e-53,1.4101191339061318e-82,2.5136236297501665e-61,4.498727332968117e-54,3.4965693445026634e-50,1.6269853676495e-35,5.153001031225579e-109,6.059175541242949e-70,5.2108572466707106e-108,5.5825740161369375e-121,7.830674098188354e-41,7.850366950332254e-92,3.593000586479304e-57,2.384692001297966e-109,1.398259816997475e-113,1.3609792880496911e-103,6.536314558532932e-115,1.8262482683369653e-108,3.6085622576588805e-56,2.2775939616306037e-118,5.928324529767938e-120,5.752672838467171e-119,3.76,0.0,0.6678000030464503,0.999999999999995,5.339660963436993e-53,7.826433112720243e-85,1.3948446379742985e-16,1.3948446379742985e-16,5.039155501525716e-15,2.5305925306997333e-40,1.6269853676495e-35,5.740981754943985e-21,2.943064045488956e-34,5.127552978891097e-38,9.717932700749893e-53,1.5874134230825988e-35,1.0777851390367726e-37,1.671947179509546e-41,2.009097160546064e-36,3.4914671426637963e-35,2.032022024345023e-35,6.24677054883748e-36,7.830674101691354e-41
2.2682400400507337e-21,0.813021420604313,7.227990208448612e-24,3.9924384634065093e-25,2.1881619998722563e-38,3.561669245186985e-38,0.0,0.0,1.1812440328793834e-20,5.071288903827895e-38,6.347067690692725e-52,1.6052962756434315e-67,2.0724550428247153e-52,2.3783720273555912e-81,2.1128521186122802e-60,3.7816117369217333e-53,2.9390772181619644e-49,6.792343637238182e-35,3.708639303401262e-107,1.0465718936957122e-68,3.71176126651377e-106,8.1475704285824e-119,3.2691522888655344e-40,2.723656981353966e-90,3.0201334875336526e-56,1.7162801531362476e-107,1.0063377551206895e-111,9.795070742869789e-102,9.570604314824821e-113,1.314364434238598e-106,3.033214009754017e-55,3.3348992618736954e-116,8.680372985959472e-118,8.423180218248449e-117,3.76,0.0,0.6678000030464502,0.9999999999999897,4.4883068180671035e-52,2.715353221232318e-83,2.8717389605353205e-16,2.8717389605353205e-16,1.0374731914885831e-14,1.0564725685024662e-39,6.792343637238182e-35,1.1819668319002274e-20,1.228671304660035e-33,2.1406524326039663e-37,8.168507984351017e-52,6.627138558411927e-35,4.499540793065684e-37,6.980050350992491e-41,8.387585153708493e-36,1.4576188023940131e-34,8.483291947304257e-35,2.6079037362154784e-35,3.2691522918100172e-40
4.601286938388631e-21,0.813021420604313,1.4662494422857007e-23,8.098946597205678e-25,8.939355749159431e-38,1.455058101065033e-37,0.0,0.0,2.3962378952695877e-20,2.0717869892959784e-37,5.2037095665245036e-51,2.636761971903625e-66,1.6991238565728356e-51,3.906483198960881e-80,1.7322438210063474e-59,3.1004575849669253e-52,2.4096330750149678e-48,2.7748940045367813e-34,2.5138324886011494e-105,1.738894854182017e-67,2.504090788093118e-104,1.1122993802258539e-116,1.3355553798139363e-39,9.070914920667535e-89,2.4760879019776656e-55,1.1633505734525613e-105,6.821285116133024e-110,6.639419179893277e-100,1.3086991860057677e-110,8.909194074910654e-105,2.4868121042757514e-54,4.5601926543707586e-114,1.186967581881215e-115,1.1517986464194565e-114,3.76,0.0,0.6678000030464498,0.999999999999979,3.67978511728242e-51,9.043259932400344e-82,5.825527605657362e-16,5.825527605657362e-16,2.1045884741544165e-14,4.3160351751308896e-39,2.7748940045367813e-34,2.3977041447118706e-20,5.0195231851109416e-33,8.745263664869872e-37,6.697036366035994e-51,2.7074023393172157e-34,1.838209230381316e-36,2.851578321815669e-40,3.4266022154508055e-35,5.954848417083564e-34,3.4657015634733727e-34,1.0654137700475782e-34,1.3355553822280016e-39
9.267380735064426e-21,0.8130214206043131,2.953150285168628e-23,1.6311962864833274e-24,3.61343052181328e-37,5.881577488282504e-37,0.0,0.0,4.826225620049941e-20,8.374494260974334e-37,4.214098922279947e-50,4.27435116104559e-65,1.3759945518223168e-50,6.332577614519057e-79,1.402815959356575e-58,2.5108563909353442e-51,1.951383338102828e-47,1.1216565233794792e-33,1.6552189395273995e-103,2.8348374867168015e-66,1.645085453861279e-102,1.4699292095132442e-114,5.398528382140052e-39,2.960897709222606e-87,2.005200180126511e-54,7.660022573022694e-104,4.491440595012905e-108,4.371692137971644e-98,1.7308799551078352e-108,5.866218651269148e-103,2.0138849170129999e-53,6.03129133212563e-112,1.569878255291045e-113,1.5233639714434511e-112,3.76,0.0,0.6678000030464493,0.9999999999999577,2.9799853991329055e-50,2.9518706603824167e-80,1.1733104895901442e-15,1.1733104895901442e-15,4.238819039461324e-14,1.74461043680334e-38,1.1216565233794792e-33,4.829178770335097e-20,2.0289715266927265e-32,3.534975398071116e-36,5.4234336816087795e-50,1.0943753131907166e-33,7.430335613677194e-36,1.1526535504930769e-39,1.3850874021381813e-34,2.4070449400201587e-33,1.4008919837560536e-33,4.306572803538462e-34,5.3985284016897794e-39
1.8599568328416014e-20,0.8130214206043131,5.92695197093948e-23,3.2737995400205497e-24,1.4529445203775869e-36,2.3649564399232732e-36,0.0,0.0,9.686201069610427e-20,3.36734730997382e-36,3.3918734310149952e-49,6.883747860657547e-64,1.107520124141264e-49,1.0198421048929763e-77,1.1291083289793212e-57,2.0209658304251701e-50,1.570643077017772e-46,4.510131548324861e-33,1.0744163629093028e-101,4.578270113282361e-65,1.0666606297078367e-100,1.9116442002581111e-112,2.1707245188671118e-38,9.56910976097087e-86,1.6139595537462283e-53,4.972186126513675e-102,2.915432698806131e-106,2.837702860951219e-96,2.251922275414833e-106,3.807819430730889e-101,1.6209497852606093e-52,7.846875377101594e-110,2.0424546499390724e-111,1.981938291428939e-110,3.76,0.0,0.667800003046448,0.9999999999999151,2.3985515046049183e-49,9.539935898538063e-79,2.3548259476389582e-15,2.3548259476389582e-15,8.507280169976101e-14,7.01500192851564e-38,4.510131548324861e-33,9.692128021581315e-20,8.158405271421789e-32,1.4213980601734943e-35,4.365251255024984e-49,4.40043500196169e-33,2.987705270541863e-35,4.634769230991351e-39,5.569375525617798e-34,9.678621838140767e-33,5.632925053211491e-33,1.7316539833076216e-33,2.170724534602433e-38
3.726394351511919e-20,0.8130214206043137,1.1874555342501176e-22,6.559006047141807e-24,5.826957372043924e-36,9.484533076732295e-36,0.0,0.0,1.9406151968730505e-19,1.350456879588885e-35,2.721764815732233e-48,1.1049969498996985e-62,8.887151504649345e-49,1.6370724467698292e-76,9.060383295143501e-57,1.621701867061767e-49,1.26034215365926e-45,1.8087644714918286e-32,6.92489445942886e-100,7.359435493583298e-64,6.871156558555424e-99,2.466376958083439e-110,8.705576200919599e-38,3.077282292916633e-84,1.2951008987522978e-52,3.2047045979434197e-100,1.8790732553335238e-104,1.8289740865519084e-94,2.905986402790906e-104,2.454248387070282e-99,1.3007101188527483e-51,1.0125976992908732e-107,2.635679528529436e-109,2.5575863736801344e-108,3.76,0.0,0.6678000030464457,0.9999999999998297,1.9246865279545237e-48,3.0679004156911045e-77,4.7178568637365764e-15,4.717856863736577e-15,1.7044202430609504e-13,2.8133296014655654e-37,1.8087644714918286e-32,1.9418026524072806e-19,3.271885407434306e-31,5.700441957081905e-35,3.5028392182353056e-48,1.764771250049814e-32,1.198203441940133e-34,1.8587497567507686e-38,2.2335686821630475e-33,3.881560244038143e-32,2.2590548850654364e-32,6.944706974238119e-33,8.705576327185644e-38
