Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43)
0.0,0.8130214206043129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6678000030464504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.174169705870988e-23,0.8130214206043129,2.6047868637428297e-25,1.4387749817803252e-26,4.2020874733725825e-41,6.839733783103703e-41,0.0,0.0,4.256908096289066e-22,9.738767002366589e-41,7.524892428434968e-56,1.6813849738247496e-72,2.457040324204035e-56,1.8587173715585975e-86,2.50493459623397e-64,6.008735256145872e-57,3.4844828907382584e-53,1.304382877993455e-37,7.899216197978939e-115,4.781438726613524e-74,-1.2666466186656315e-113,2.29371491682515e-127,6.277991387856893e-43,7.919227669480974e-97,3.5805793657338546e-60,3.658795065826394e-115,2.1453271568739344e-119,2.0937213029628746e-109,1.698766030052928e-121,2.8019835391124734e-114,3.596087239342099e-59,5.919387530503563e-125,1.540750935878168e-126,1.49509965648612e-125,3.76,0.0,0.6678000030464504,0.9999999999999997,5.321202785170096e-56,7.895087221327894e-90,1.0349028850516506e-17,1.0349028850516506e-17,3.73879385903105e-16,2.0288203847986466e-42,1.304382877993455e-37,4.259512883152808e-22,2.359507323513352e-36,4.110851535441764e-40,9.684342203708162e-56,1.27265788878794e-37,8.640793176371923e-40,1.3404301218357707e-43,2.7991715905255567e-37,1.1366234168022869e-41,1.610729047023859e-38,1.6291085664044316e-37,5.008148290897566e-38,6.277991388206331e-43
2.288767517643877e-22,0.8130214206043129,7.293403218480047e-25,4.0285699489852036e-26,2.5380608339170726e-40,4.1311992049947e-40,0.0,0.0,1.191934266960938e-21,5.882215269429417e-40,8.933552291039723e-55,3.7623958470968174e-71,2.9169982728955907e-55,4.157876411617532e-85,2.9738583527506675e-63,7.135962738301536e-56,4.136778087884423e-52,7.878472583082132e-37,6.100886005388142e-113,1.5033608386669164e-72,6.5640019208081825e-112,2.549088789765241e-125,3.791906798265537e-42,4.8176526496627415e-95,4.250863823011017e-59,2.8232901868876176e-113,1.6554305459002955e-117,1.615697741204908e-107,1.8101670292653078e-119,2.162136057603874e-112,4.2692747705477515e-58,6.307566758227925e-123,1.641789685714472e-124,1.5931447037203548e-123,3.76,0.0,0.6678000030464504,0.999999999999999,6.317332536039737e-55,4.802966836988828e-88,2.897728078144622e-17,2.897728078144622e-17,1.0468622805284477e-15,1.2254075126674334e-41,7.878472583082132e-37,1.1926636072827859e-21,1.4251424234020647e-35,2.482954327406715e-39,1.1497251064242312e-54,7.686853648279074e-37,5.2190390785309334e-39,8.096197935888152e-43,1.6906996406774422e-36,6.865205437488933e-41,9.728803444023517e-38,9.83981574108267e-37,3.0249215677021326e-37,3.7919067986803904e-42
5.231468611757432e-22,0.8130214206043129,1.6670635927954977e-24,9.20815988339614e-26,1.2219670372567958e-39,1.9889945841266512e-39,0.0,0.0,2.7244211816249985e-21,2.8320334442882e-39,8.77101461458906e-54,7.435021918056748e-70,2.863926201893929e-54,8.21526312784312e-84,2.9197517656855812e-62,7.007178798496109e-55,4.061513257444397e-51,3.793145409207415e-36,6.6489549871070446e-111,3.353915331301667e-71,6.889187033104685e-110,5.7687265283524124e-123,1.8256398955887456e-41,2.174918694667349e-93,4.1735233087358685e-58,3.0769597528073317e-111,1.804169191907323e-115,1.760871379041649e-105,4.119516631502386e-117,2.3564017696271414e-110,4.191599286179621e-57,1.4354546152232856e-120,3.736329192506812e-122,3.625624595555648e-121,3.76,0.0,0.6678000030464504,0.9999999999999977,6.202394803464224e-54,2.1682888168270073e-86,6.623378464330564e-17,6.623378464330564e-17,2.3928280697781485e-15,5.899809682658978e-41,3.793145409207415e-36,2.726088245217793e-21,6.861447296776828e-35,1.195435626506299e-38,1.1288069272642172e-53,3.7008891405952013e-36,2.5127426556923284e-38,3.8979707942985623e-42,8.139990985248404e-36,3.3053008960656408e-40,4.684000068744497e-37,4.7374477111039404e-36,1.4563695229930163e-36,1.8256398959960515e-41
1.1116870799984544e-21,0.8130214206043129,3.542510134690683e-24,1.9567339752222724e-25,5.336651091183687e-39,8.686461904542679e-39,0.0,0.0,5.78939501095311e-21,1.2368234093005522e-38,7.75786309803027e-53,1.3231167010440993e-68,2.5331102926449425e-53,1.461862179827167e-82,2.5824873719954326e-61,6.198186606033026e-54,3.592362481035269e-50,1.656566255054196e-35,5.439212426256199e-109,6.281512230527073e-70,5.50028493202658e-108,9.711808755235357e-121,7.973049062577854e-41,8.212079162912291e-92,3.6914341029735546e-57,2.5171441271423317e-109,1.475922427314534e-113,1.4405034024139113e-103,6.961800989778762e-115,1.927683172495623e-108,3.7074221002772717e-56,2.4258548404998593e-118,6.314231157413128e-120,6.127145283236165e-119,3.76,0.0,0.6678000030464503,0.999999999999995,5.485948066364035e-53,8.187046005650567e-85,1.4074679236702448e-16,1.4074679236702448e-16,5.08475964827361e-15,2.5766018924476946e-40,1.656566255054196e-35,5.792937521087798e-21,2.9965743008619573e-34,5.220781450009325e-38,9.984169438334842e-53,1.6162755187605514e-35,1.0973807334026898e-37,1.7023462547315727e-41,3.554947919967545e-35,1.4435117393436073e-39,2.045625889719388e-36,2.0689678793334762e-35,6.36034832943995e-36,7.973049066180432e-41
2.2887675176438765e-21,0.813021420604313,7.29340321848185e-24,4.0285699489894753e-25,2.2279467783825997e-38,3.626426851802462e-38,0.0,0.0,1.1919342669609301e-20,5.163494264654724e-38,6.520951380222678e-52,2.2317051240127647e-67,2.1292318323164427e-52,2.4656442372552113e-81,2.1707362433439825e-60,5.210114373061936e-53,3.019597121387076e-49,6.915838019143775e-35,3.914627003044437e-107,1.0849750276465709e-68,3.9179243642742313e-106,1.4192153159181912e-118,3.3285910338413657e-40,2.8491517511231735e-90,3.1028727892140005e-56,1.8116069100986962e-107,1.0622321004366523e-111,1.0367411797890942e-101,1.0193610175132534e-112,1.387367890462013e-106,3.116311664227321e-55,3.551985847031269e-116,9.245425295240821e-118,8.971490365136335e-117,3.76,0.0,0.6678000030464502,0.9999999999999897,4.611269943621079e-52,2.8404665859456478e-83,2.897728078144621e-16,2.897728078144621e-16,1.0468622805248776e-14,1.0756805713840646e-39,6.915838019143775e-35,1.1926636072827773e-20,1.2510107829267792e-33,2.1795734840896803e-37,8.392296004258008e-52,6.747632126352466e-35,4.581348542143364e-37,7.106960505974547e-41,1.4841207772967289e-34,6.026377355927871e-39,8.540085407312284e-36,8.637533619074929e-35,2.655320223833927e-35,3.3285910368695482e-40
4.642928392934721e-21,0.813021420604313,1.479518938606736e-23,8.17224189653142e-25,9.101889550827807e-38,1.4815136963561388e-37,0.0,0.0,2.4179237986921535e-20,2.1094558877805774e-37,5.346269920811796e-51,3.665642633652312e-66,1.7456728989074874e-51,4.049828065885578e-80,1.7797007237103293e-59,4.271632229668706e-52,2.4756481564865468e-48,2.825345489067935e-34,2.6534574370662473e-105,1.8027022356088164e-67,2.643176003137699e-104,1.9387397906909235e-116,1.3598380465750502e-39,9.488864900184394e-89,2.5439225803975935e-55,1.2279661533655292e-105,7.200155197378426e-110,7.027370657496778e-100,1.3938899676368246e-110,9.404035530151144e-105,2.55494058196207e-54,4.857040197058477e-114,1.2642337056145124e-115,1.2267754210627838e-114,3.76,0.0,0.6678000030464498,0.9999999999999789,3.780597717162332e-51,9.459939673832405e-82,5.878248387093372e-16,5.878248387093372e-16,2.123634911913609e-14,4.394506134710723e-39,2.825345489067935e-34,2.4194033176307572e-20,5.110787243022859e-33,8.904268859815214e-37,6.880511305458405e-51,2.7566278934292215e-34,1.871630365201032e-36,2.903425261102243e-40,6.063117631942642e-34,2.4619717857660347e-38,3.4889035450086035e-35,3.5287143191734974e-34,1.0847849524016084e-34,1.3598380490577371e-39
9.35125014351641e-21,0.8130214206043131,2.979876172125111e-23,1.645958579164548e-24,3.679129283139591e-37,5.988515234335003e-37,0.0,0.0,4.8699028621545443e-20,8.526757971387775e-37,4.329547993309575e-50,5.942212847682036e-65,1.4136911731706625e-50,6.564945821286063e-79,1.4412477896301596e-58,3.459304731780519e-51,2.0048440626350584e-47,1.1420498200770198e-33,1.7471542057703335e-103,2.9388596225940254e-66,1.7364587639686572e-102,2.5629062631488343e-114,5.496682803652825e-39,3.0973235436339936e-87,2.06013446145078e-54,8.085480566588654e-104,4.7409056804690975e-108,4.627136835221705e-98,1.843552919118149e-108,6.192044825174993e-103,2.0690571245939123e-53,6.423900624511623e-112,1.6720701006044386e-113,1.6225279334274518e-112,3.76,0.0,0.6678000030464493,0.9999999999999574,3.0616260564310366e-50,3.08788186792298e-80,1.1839289004990871e-15,1.1839289004990871e-15,4.2771801746658615e-14,1.77632965362469e-38,1.1420498200770198e-33,4.872882738326656e-20,2.0658619180874665e-32,3.599247840142218e-36,5.572016444462073e-50,1.1142730692116738e-33,7.565429184201117e-36,1.1736109123139606e-39,2.4508090877420164e-33,9.951683593636702e-38,1.4102705956579245e-34,1.4263627470973145e-33,4.384874219799044e-34,5.496682823758265e-39
1.876789364467979e-20,0.8130214206043131,5.980590639166948e-23,3.3034273581994268e-24,1.4793617033532846e-36,2.4079556372817565e-36,0.0,0.0,9.773860989079102e-20,3.428571878250936e-36,3.484796887223424e-49,9.569789126261955e-64,1.1378616445348695e-49,1.057264288348604e-77,1.1600416095747375e-57,2.78435986740307e-50,1.613672919099195e-46,4.5921320974175995e-33,1.1340923078982644e-101,4.746266140581281e-65,1.1259063742187046e-100,3.333592148797991e-112,2.2101919800585412e-38,1.0010014483771755e-85,1.6581754425417425e-53,5.248354546860796e-102,3.0773626323325223e-106,3.0035142046724333e-96,2.398512890635168e-106,4.0193164255096497e-101,1.6653571777960591e-52,8.357670830280754e-110,2.175409042385131e-111,2.1109533246517314e-110,3.76,0.0,0.667800003046448,0.9999999999999143,2.4642630082439678e-49,9.979500618914896e-79,2.3761370240785846e-15,2.3761370240785846e-15,8.584270700069528e-14,7.142543506837547e-38,4.592132097417599e-33,9.779841579718215e-20,8.30673991272168e-32,1.447241726449698e-35,4.484843588977521e-49,4.480443003786765e-33,3.0420258010887674e-35,4.719037861134963e-39,9.854595551313269e-33,4.001528204026347e-37,5.67063603916297e-34,5.73534187236173e-33,1.7631386384038654e-33,2.210191996241149e-38
3.760118064700654e-20,0.8130214206043136,1.1982019573270971e-22,6.618364916317452e-24,5.932902091150634e-36,9.656979090001411e-36,0.0,0.0,1.9581777242927308e-19,1.3750106698037498e-35,2.796330037227209e-48,1.5361661747859695e-62,9.130623097394264e-49,1.6971433393233253e-76,9.308603392387883e-57,2.2342776244493915e-49,1.2948708920047458e-45,1.8416503592435788e-32,7.309521532398707e-100,7.629484200953744e-64,7.2528025803806326e-99,4.301296340983326e-110,8.863858372550474e-38,3.21907064421105e-84,1.3305813649093882e-52,3.3827024010498837e-100,1.9834413704051098e-104,1.9358438561110494e-94,3.0951538262218274e-104,2.590564324635831e-99,1.3363442546837577e-51,1.0785131466303417e-107,2.8072501288409845e-109,2.7240734395986022e-108,3.76,0.0,0.6678000030464457,0.9999999999998281,1.9774158712865242e-48,3.2092578422722978e-77,4.760553271237571e-15,4.760553271237572e-15,1.7198451750473512e-13,2.864479480850553e-37,1.8416503592435788e-32,1.9593759262500372e-19,3.3313742330245486e-31,5.804086617710795e-35,3.5988045345700737e-48,1.796858037226939e-32,1.2199884042364319e-34,1.8925452464450378e-38,3.952133573637055e-32,1.6047917826336853e-36,2.2741786770813235e-33,2.300128610248793e-32,7.070974523030248e-33,8.863858502405713e-38
