Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55)
0.0,0.898960978339031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.7901164290140252,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.317168111706726e-23,0.898960978339031,7.019323583677059e-25,9.945405794174242e-26,1.1419337623642642e-40,1.884817540582236e-40,0.0,0.0,9.391689272383435e-22,2.960506772970744e-40,4.375203926866072e-55,1.0267940106162338e-71,1.0459887012526806e-55,3.9111748214064226e-84,1.6418645443042575e-62,6.107643673044317e-56,4.681801465573153e-52,3.3255598327962787e-37,7.72939428118191e-113,2.9006526425889425e-72,-9.121749425560993e-112,1.9006696121789862e-125,1.094073565628487e-41,9.571532268331838e-96,3.8318025209988105e-59,3.55810719073007e-113,8.148567314159467e-118,1.0353446623521584e-107,1.1782763739884783e-119,3.1440139293738443e-112,3.0793895459893233e-58,2.3330014081572403e-123,7.001612733427807e-125,3.218079168364764e-124,3.76,0.0,0.7901164290140252,0.9999999999999997,1.3697787921349721e-55,3.679403760234486e-68,2.647321943194197e-17,2.647321943194197e-17,3.756305862200457e-16,3.5694736494856726e-42,3.3255598327962787e-37,9.398708595967116e-22,2.3916106232712777e-35,4.273056733089024e-40,2.555677603775951e-54,3.4887667629125727e-37,4.6162676781762694e-39,7.876128588823361e-43,2.2161689051728185e-36,1.109605228627658e-40,1.6553107289856928e-37,1.0666047149130413e-36,1.540617653566838e-37,1.0940735656753489e-41,3.722158320584345e-51
1.4888070712778833e-22,0.898960978339031,1.9654106034296177e-24,2.784713622368942e-25,6.89727992468026e-40,1.1384297945116932e-39,0.0,0.0,2.62967299626736e-21,1.788146090874328e-39,5.19424210197609e-54,2.2979017971620755e-70,1.241797786127346e-54,8.749141628781433e-83,1.949221587065215e-61,7.254314644216842e-55,5.558234699928379e-51,2.008638139009243e-36,5.976641243304459e-111,9.120116012722454e-71,4.7270627709564484e-110,2.1518212244148335e-123,6.608204336396035e-41,5.822830169607657e-94,4.549115952946116e-58,2.745594911644483e-111,6.287799602610916e-116,7.98945073723706e-106,1.2555449108265774e-117,2.4260620397998415e-110,3.655851268999001e-57,2.4859940413018482e-121,7.460762262917803e-123,3.4291130768376645e-122,3.76,0.0,0.7901164290140252,0.999999999999999,1.626201588201313e-54,8.230679035494039e-67,7.412501440943751e-17,7.412501440943751e-17,1.0517656414159731e-15,2.1559620848866212e-41,2.008638139009243e-36,2.6316384068707925e-21,1.4445328164558518e-34,2.5809262667856718e-39,3.0341004512028035e-53,2.1072151247991545e-36,2.788225677619287e-38,4.7571816676493406e-42,1.3385660187243867e-35,6.7020155809130295e-40,9.998076803073127e-37,6.442292478074684e-36,9.305330627543688e-37,6.608204336952378e-41,4.418946358197667e-50
3.4029875914923044e-22,0.898960978339031,4.492367093553605e-24,6.365059708272598e-25,3.3207433809554365e-39,5.481049408013479e-39,0.0,0.0,6.010681134325389e-21,8.609153695798908e-39,5.099737697157195e-53,4.5412353900781807e-69,1.2192044301806227e-53,1.72868295032573e-81,1.9137573130493663e-60,7.123783972622845e-54,5.45710778827186e-50,9.670727993775866e-36,6.513436887705165e-109,2.0346477127502698e-69,4.96124467043804e-108,4.856257953443333e-121,3.181565928847601e-40,2.6287038756604795e-92,4.466349018526801e-57,2.992283641222294e-109,6.852751617708292e-114,8.707309166955238e-104,2.8573264555536402e-115,2.644041258956809e-108,3.5893364548066057e-56,5.657540786784193e-119,1.6978949378396215e-120,7.803859048892217e-120,3.76,0.0,0.7901164290140251,0.9999999999999977,1.5966144528862774e-53,1.6262434786094355e-65,1.6942860436442858e-16,1.6942860436442858e-16,2.4040357518072076e-15,1.0380029381492711e-40,9.670727993775866e-36,6.015173501418957e-21,6.954803692472876e-34,1.2426048979821409e-38,2.9788978149612327e-52,1.0145333746549176e-35,1.3424106408148665e-37,2.2903781936298772e-41,6.444619176242621e-35,3.2267320048521346e-39,4.813643599889711e-36,3.1016865109669973e-35,4.480116136572344e-36,3.1815659293938223e-40,4.338547738472907e-49
7.231348631921147e-22,0.8989609783390311,9.546280073802238e-24,1.352575188008239e-24,1.4502558782027774e-38,2.3937182765397864e-38,0.0,0.0,1.2772697410441425e-20,3.759843601672828e-38,4.510660240446219e-52,8.081671818177034e-68,1.0783725114445006e-52,3.076098947374413e-80,1.6926966710333966e-59,6.301484029241423e-53,4.8267500389468596e-49,4.223460987655665e-35,5.328293832686438e-107,3.810669987156338e-68,3.9610275020543123e-106,8.160473180917835e-119,1.389473428348138e-39,9.92548566330932e-91,3.950435127155132e-56,2.447873810303503e-107,5.605976362745391e-112,7.123123406658368e-102,4.8287553918579644e-113,2.1629902070742024e-106,3.1747274463361694e-55,9.560993818538411e-117,2.869367387766277e-118,1.3188176796092578e-117,3.76,0.0,0.7901164290140249,0.999999999999995,1.4121874383750884e-52,2.893813380329663e-64,3.600357842744106e-16,3.600357842744106e-16,5.108575972587199e-15,4.533231543848439e-40,4.223460987655665e-35,1.2782243690515296e-20,3.037345491554522e-33,5.426782051021536e-38,2.6348013823888207e-51,4.430733788898365e-35,5.862659951296227e-37,1.0002683307806116e-40,2.814534509569545e-34,1.4091986403601011e-38,2.102244625811123e-35,1.354587987939431e-34,1.9565844200298634e-35,1.3894734288312651e-39,3.8373963421892043e-48
1.4888070712778831e-21,0.8989609783390311,1.965410603430213e-23,2.784713622371189e-24,6.054532808056783e-38,9.99330260017013e-38,0.0,0.0,2.629672996267341e-20,1.5696606910290735e-37,3.7914817197672067e-51,1.363154959455414e-66,9.064370726882258e-52,5.188290488324362e-79,1.4228135450550733e-58,5.2970061008264635e-52,4.057174241241453e-48,1.7632118233525219e-34,3.8347811646424315e-105,6.581984756113419e-67,2.821491313570764e-104,1.1913642548497776e-116,5.800778044961873e-39,3.443612061863332e-89,3.320578756049875e-55,1.7617525599694886e-105,4.034661976235712e-110,5.126564914499936e-100,7.070361558410695e-111,1.556720177151876e-104,2.6685497103270595e-54,1.3999401019389354e-114,4.201385914627933e-116,1.9310395884283115e-115,3.76,0.0,0.7901164290140246,0.9999999999999896,1.1870286468568232e-51,4.880839234581085e-63,7.412501440943746e-16,7.412501440943746e-16,1.0517656414137266e-14,1.8925349370246253e-39,1.7632118233525219e-34,2.6316384068708012e-20,1.268031952458431e-32,2.2655746798824297e-37,2.2147093205905184e-50,1.849744137695704e-34,2.4475451229801396e-36,4.175923377794546e-40,1.1750127535226872e-33,5.88312692221051e-38,8.776457485075783e-35,5.6551381984677685e-34,8.168354799211195e-35,5.80077804902285e-39,3.2255628460844807e-47
3.02015148744942e-21,0.8989609783390311,3.9869757955312425e-23,5.6489904911010585e-24,2.4734742066327225e-37,4.082590185605385e-37,0.0,0.0,5.334479506713707e-20,6.412576090525427e-37,3.108485785549039e-50,2.239036364459142e-65,7.431518768126834e-51,8.521782711472064e-78,1.1665085077083483e-57,4.342896793765306e-51,3.32631656711202e-47,7.203295620263302e-34,2.5993301186334725e-103,1.0936066114190814e-65,1.9034819051415664e-102,1.6266944725744343e-114,2.3698071060936193e-38,1.1468665932174867e-87,2.7224110852974596e-54,1.1941732514915326e-103,2.7348253625011133e-108,3.474953039506284e-98,9.668121376518783e-109,1.0551961896474836e-102,2.1878382795134806e-53,1.914299673876114e-112,5.7450398609934e-114,2.6405332979979376e-113,3.76,0.0,0.7901164290140238,0.9999999999999788,9.731978076046855e-51,8.01679309904039e-62,1.5036788637343017e-15,1.5036788637343017e-15,2.133581729719774e-14,7.73162277189412e-39,7.203295620263302e-34,5.338466482509359e-20,5.180324274430515e-32,9.255611806128546e-37,1.8157525081212203e-49,7.556808359134565e-34,9.999020441730565e-36,1.706000956853833e-39,4.8003104953610314e-33,2.4034493094391845e-37,3.5854692514067855e-34,2.3103084766892486e-33,3.337039462331762e-34,2.369807109423053e-38,2.6445113015181287e-46
6.082840319792494e-21,0.8989609783390314,8.030106179737505e-23,1.1377544228576665e-23,9.998178217715198e-37,1.6502482280238656e-36,0.0,0.0,1.0744092527606302e-19,2.5920657840608867e-36,2.517332382085237e-49,3.629614602271023e-64,6.018236573591063e-50,1.3814177019853312e-76,9.446688344491183e-57,3.517026786158181e-50,2.6937373966269947e-46,2.911687260512439e-33,1.711512714954464e-101,1.782854788670091e-64,1.2505099290893465e-100,2.1498816320422776e-112,9.57913922238637e-38,3.743563574731315e-86,2.204679080422321e-53,7.862972926164406e-102,1.8007319538677783e-106,2.2880652523229047e-96,1.2787016048522096e-106,6.947892965307306e-101,1.7717681622956714e-52,2.5318445743844672e-110,7.598365189284983e-112,3.492358064549417e-111,3.76,0.0,0.7901164290140222,0.9999999999999571,7.8812081871402525e-50,1.299556708060566e-60,3.028536303014153e-15,3.028536303014153e-15,4.297213906316004e-14,3.1252455708713936e-38,2.911687260512439e-33,1.0752122633786533e-19,2.093969897983917e-31,3.741266276533083e-36,1.4704434576393207e-48,3.054582761730806e-33,4.041763933168821e-35,6.895928633689886e-39,1.9403622525866626e-32,9.715126387330039e-37,1.4493039981375362e-33,9.338636249318649e-33,1.3488847053450128e-33,9.579139249348984e-38,2.141593815553838e-45
1.2208217984478643e-20,0.898960978339032,1.611636694816685e-22,2.2834651703591364e-23,4.020223487762104e-36,6.635575544338985e-36,0.0,0.0,2.1563318569390959e-19,1.042258251451359e-35,2.0261681040879087e-48,5.845414543122353e-63,4.844000369217724e-49,2.2247306274693617e-75,7.60351664117277e-56,2.83082365792089e-49,2.168154206660669e-45,1.1707766413974113e-32,1.1109565941045246e-99,2.879315245948789e-63,8.108209244087422e-99,2.796031595429431e-110,3.851729750735657e-37,1.209855059577673e-84,1.7745175271110538e-52,5.103922935654644e-100,1.168870670661516e-104,1.4852027519061413e-94,1.6636258448052432e-104,4.509946346057372e-99,1.4260731573744706e-51,3.2939992043633047e-108,9.885681428895815e-110,4.543653588531093e-109,3.76,0.0,0.7901164290140192,0.9999999999999138,6.343482007653527e-49,2.0928960152286222e-59,6.078251181573843e-15,6.078251181573845e-15,8.624478259445005e-14,1.2566475216044578e-37,1.1707766413974113e-32,2.1579434936341107e-19,8.419760863651435e-31,1.50434671510318e-35,1.1835408203976154e-47,1.228234293947364e-32,1.6251755012350473e-34,2.7728225742118645e-38,7.802111277420448e-32,3.906409591742916e-36,5.827587633787365e-33,3.75502456303332e-32,5.42380607408718e-33,3.851729772437516e-37,1.7237410172070815e-44
2.4458973313850938e-20,0.8989609783390329,3.2288888485092795e-22,4.5748866653874685e-23,1.612289427486149e-35,2.6611625766569923e-35,0.0,0.0,4.320177065295813e-19,4.179921749716086e-35,1.6258722999494483e-47,9.383210596599114e-62,3.887005231878402e-48,3.571185377156726e-74,6.101343281020997e-55,2.2715635127888352e-48,1.7398072052598078e-44,4.6953379747444455e-32,7.160404131432512e-98,4.628415164228934e-62,5.223102229055092e-97,3.607471397741834e-108,1.544715902867811e-36,3.8907125582935525e-83,1.4239385610056954e-51,3.289612432937599e-98,7.53368074205688e-103,9.572522053527874e-93,2.146821023580991e-102,2.906791334430332e-97,1.1443338978625876e-50,4.250731476519537e-106,1.2756948199227177e-107,5.863344259973879e-107,3.76,0.0,0.7901164290140131,0.9999999999998272,5.090244816214921e-48,3.359561610986082e-58,1.2177680938693176e-14,1.2177680938693183e-14,1.7279006965449169e-13,5.039718794544294e-37,4.6953379747444455e-32,4.3234059541451194e-19,3.376700689332952e-30,6.033103163045626e-35,9.497169715715297e-47,4.9257688599310447e-32,6.517680637713347e-34,1.112025869780625e-37,3.128995580202757e-31,1.5666449647888966e-35,2.3371232863615875e-32,1.5059327973520866e-31,2.1751888213642783e-32,1.544715920282186e-36,1.3831936088883914e-43
