Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72)
0.0,0.7118282280392424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8432079109090456,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4153916043020475e-22,0.7118282280392424,3.70793066429721e-26,1.468767485942815e-28,8.185953822092945e-42,1.7495734920561843e-41,0.0,0.0,1.1546576848480856e-22,2.398255801473998e-41,1.8160562012062917e-57,2.2298640685117777e-74,1.480699477875218e-57,8.518362438100452e-92,1.7939984554163535e-68,2.4822691784499476e-59,5.653049286329495e-55,2.340107342377039e-38,3.395062984187478e-119,8.279935163883978e-78,-1.915137962829898e-117,1.4550877296178345e-131,1.0449400792738959e-45,1.1222439021861146e-98,3.8233654863581907e-62,1.628157019537763e-119,1.1011561422745918e-122,5.961223147468157e-112,3.479386292277933e-124,4.718111227762458e-118,6.405253834895675e-61,1.3724196394017764e-127,2.5607076202913266e-129,1.2433719284661444e-127,3.76,0.0,0.8432079109090456,0.9999999999999997,2.2953897419853144e-56,5.0932122276172515e-71,1.9210526886566253e-18,1.9210526886566253e-18,3.8077896359032626e-16,7.789414630920092e-43,2.340107342377039e-38,1.155028477914515e-22,1.7531559279611832e-38,6.355463921000441e-40,7.174348851910661e-59,2.0869076436299532e-38,2.734063081706197e-41,6.916054361803991e-45,1.125935857832263e-40,3.186417243820722e-39,5.718751774547847e-39,5.577290184246699e-39,1.0449400798400104e-45,5.969815921615518e-53,1.5762609891005486e-41,2.8609323721530115e-45
6.763096492045733e-22,0.7118282280392424,1.0382205860032315e-25,4.11254896064103e-28,4.944316108544176e-41,1.0567423892019464e-40,0.0,0.0,3.233041517574638e-22,1.448546504090294e-40,2.1560219220731724e-56,4.9894330718357866e-73,1.7578864201343187e-56,1.905523604265804e-90,2.1298349666359427e-67,2.9477640550982065e-58,6.711300112730344e-54,1.41342483479649e-37,2.6201810881299274e-117,2.6033440944877344e-76,9.924606501432552e-116,1.8249329359898882e-129,6.311438078814187e-45,6.827157312046704e-97,4.5390995054212425e-61,1.2563588978796558e-117,8.497014117473084e-121,4.600028821101703e-110,3.7075560948056723e-122,3.640706148791905e-116,7.604317352791831e-60,1.4624196255818424e-125,2.7286328205187595e-127,1.324909275444559e-125,3.76,0.0,0.8432079109090456,0.999999999999999,2.725086778502873e-55,1.1393312024690637e-69,5.378947528238551e-18,5.378947528238551e-18,1.0661810980521258e-15,4.704806437617512e-42,1.41342483479649e-37,3.2340797381606396e-22,1.0589061804885544e-37,3.838700208284023e-39,8.517386956988321e-58,1.2604922167524704e-37,1.6513741013524963e-40,4.17729683452985e-44,6.80065258130603e-40,1.9245960152677243e-38,3.454126071826882e-38,3.368683271285008e-38,6.3114380855351e-45,7.087365462141842e-52,9.520616374167303e-41,1.728003152782858e-44
1.5458506267533103e-21,0.7118282280392424,2.3730756251503024e-25,9.400111910042051e-28,2.380475371464685e-40,5.087759714899548e-40,0.0,0.0,7.389809183027737e-22,6.974127870686376e-40,2.1167951081292862e-55,9.859548137100594e-72,1.72590331141397e-55,3.764993535189951e-89,2.0910846007668107e-66,2.894488957149393e-57,6.589194248145564e-53,6.805032151643588e-37,2.85559506960929e-115,5.807917465043496e-75,1.041627824659431e-113,4.039302395133738e-127,3.038685750528273e-44,3.0821051556014846e-95,4.4565148109510515e-60,1.3692413847022492e-115,9.260461658262772e-119,5.0133410056027575e-108,8.437530210112619e-120,3.9678203157796856e-114,7.465963869965604e-59,3.328124903632148e-123,6.209729894891266e-125,3.0151835201890518e-123,3.76,0.0,0.8432079109090456,0.9999999999999977,2.675506392339544e-54,2.251126462350716e-68,1.2294737207402402e-17,1.2294737207402402e-17,2.4369853669725757e-15,2.265161775468636e-41,6.805032151643588e-37,7.392182258652882e-22,5.09817743851112e-37,1.8481689082265633e-38,8.362421021787019e-57,6.068727427675586e-37,7.950655441630363e-40,2.0111886084129537e-43,3.2742214745749656e-39,9.266101345030784e-38,1.6630130160384885e-37,1.6218759855789434e-37,3.038685757126906e-44,6.958417438234736e-51,4.583766956304383e-40,8.319591338257545e-44
3.2849325818507842e-21,0.7118282280392424,5.042785703444646e-25,1.9975237808862457e-27,1.0396161354058622e-39,2.221958334911522e-39,0.0,0.0,1.5703344513933914e-21,3.0457848678719684e-39,1.8722813012023662e-54,1.7545569060420194e-70,1.526541933715678e-54,6.699604837868635e-88,1.8495406499764129e-65,2.5602843758270856e-56,5.828067692234057e-52,2.9719363248302675e-36,2.33605076735552e-113,1.0877586637347554e-73,8.316293056379547e-112,6.700828633817814e-125,1.3270739006776244e-43,1.163744262640058e-93,3.941736881924794e-59,1.1201244699041104e-113,7.575632661189386e-117,4.101225407801822e-106,1.4259053044923848e-117,3.2459244892225136e-112,6.603560493647362e-58,5.624383955892657e-121,1.049416900936595e-122,5.095526852527133e-121,3.76,0.0,0.8432079109090456,0.9999999999999949,2.3664551182468843e-53,4.005759262527626e-67,2.6126316565730104e-17,2.6126316565730104e-17,5.178593904800875e-15,9.89255658943218e-41,2.9719363248302675e-36,1.5708387299637332e-21,2.2265080285107022e-36,8.071439179666786e-38,7.396466692365721e-56,2.6503727074097116e-36,3.47226011379631e-39,8.783389039494684e-43,1.429938539445677e-38,4.046749899652445e-37,7.2628147536755044e-37,7.083158533993341e-37,1.3270739065140408e-43,6.154641422548079e-50,2.0018514561576833e-39,3.633384112672132e-43
6.763096492045732e-21,0.7118282280392424,1.0382205860034137e-24,4.1125489606576715e-27,4.340192716474205e-39,9.276238654883396e-39,0.0,0.0,3.2330415175746174e-21,1.2715552259415054e-38,1.573765247078304e-53,2.9593990648232255e-69,1.2831504763448497e-53,1.1299862810197751e-86,1.554650361807194e-64,2.1521294576054787e-55,4.8988420627441987e-51,1.2407249129385473e-35,1.6812717116164635e-111,1.8788325851263337e-72,5.923803509938253e-110,9.717051725166371e-123,5.540272300308184e-43,4.037569460788932e-92,3.3132673568277835e-58,8.061617172373688e-112,5.452237905004328e-115,2.9516820998779743e-104,2.087839460218486e-115,2.3361170283358967e-110,5.550690489301345e-57,8.235337035054605e-119,1.5365775062203881e-120,7.460973740562096e-119,3.76,0.0,0.8432079109090456,0.9999999999999895,1.9891481218043626e-52,6.756298490335048e-66,5.378947528238551e-17,5.378947528238551e-17,1.0661810980407069e-14,4.129947644629948e-40,1.2407249129385473e-35,3.234079738160609e-21,9.295232730050193e-36,3.3696669709110366e-37,6.217175925483981e-55,1.1064784326523049e-35,1.4496002459470099e-38,3.6668920226317147e-42,5.969711918214984e-38,1.6894384226738617e-36,3.032082190865033e-36,2.9570792556876292e-36,5.540272349366785e-43,5.1733469606160704e-49,8.357335764210985e-39,1.516866343749553e-42
1.3719424312435627e-20,0.7118282280392424,2.106104617321634e-24,8.342599320229902e-27,1.773110341681064e-38,3.789646166734652e-38,0.0,0.0,6.558455649937033e-21,5.194717996224668e-38,1.2902678324567583e-52,4.860887689881958e-68,1.0520042852025473e-52,1.856005865067258e-85,1.2745962984291602e-63,1.7644681082341103e-54,4.0163666986082506e-50,5.068766107968888e-35,1.139620405924076e-109,3.1217084405053115e-71,3.996415915404996e-108,1.322287168812104e-120,2.2633820093087247e-42,1.3446792057945862e-90,2.716416758483307e-57,5.464426634477638e-110,3.695704466368797e-113,2.0007463650125514e-102,2.8549438595705265e-113,1.583498358630519e-108,4.550791421760132e-56,1.1261126800136869e-116,2.10113976701022e-118,1.0202250495327463e-116,3.76,0.0,0.8432079109090456,0.9999999999999785,1.630823811632176e-51,1.10972405582686e-64,1.0911579271569632e-16,1.0911579271569632e-16,2.162824513141785e-14,1.6872183728972382e-39,5.068766107968888e-35,6.560561754554308e-21,3.7974058662010414e-35,1.376618907141503e-36,5.0972164496595913e-54,4.5203254324057155e-35,5.922089997721817e-38,1.4980450389869284e-41,2.4388221054891115e-37,6.901907206806409e-36,1.2387045093739626e-35,1.208063363068597e-35,2.2633820495299316e-42,4.24142239877025e-48,3.414244352831248e-38,6.196893955666399e-42
2.763207995321542e-20,0.7118282280392424,4.2418726799593614e-24,1.680270003949188e-26,7.167195497029483e-38,1.5318355718238562e-37,0.0,0.0,1.3209283914661716e-20,2.0997880704688987e-37,1.044892343193321e-51,7.879761045595869e-67,8.519403452239478e-52,3.0086655053607896e-84,1.0322011347650637e-62,1.4289209378001108e-53,3.2525578838710708e-49,2.0488763034746336e-34,7.503771528480734e-108,5.089172636551829e-70,2.625482159531369e-106,1.74461443352827e-118,9.148951965266989e-42,4.389256888605917e-89,2.199824719161689e-56,3.598023889588982e-108,2.4334178775267176e-111,1.317381288505464e-100,3.7759365577141445e-111,1.0426492808201684e-106,3.685348880636379e-55,1.4893918219651611e-114,2.7789584840207314e-116,1.3493452940463429e-114,3.76,0.0,0.8432079109090455,0.9999999999999565,1.3206834054640616e-50,1.7989105157509494e-63,2.1976842758231794e-16,2.1976842758231794e-16,4.3561113432632974e-14,6.82000645206762e-39,2.0488763034746336e-34,1.3213525787341488e-20,1.5349721664145586e-34,5.564513725080429e-36,4.1278580351949034e-53,1.8271878135628549e-34,2.393803463244884e-37,6.055337564391248e-41,9.85810888445192e-37,2.789861244993544e-35,5.007041678700178e-35,4.883185266237036e-35,9.148952290988749e-42,3.434813824824136e-47,1.3800921564849216e-37,2.504883616810801e-41
5.5457391234775e-20,0.7118282280392425,8.513408805239965e-24,3.3722901478485905e-26,2.8818977868860684e-37,6.159443461731978e-37,0.0,0.0,2.6510940444110488e-20,8.443155479320798e-37,8.410202614091357e-51,1.2690154330215413e-65,6.857157069936437e-51,4.84536310032409e-83,8.308052826387527e-62,1.1501234458425094e-52,2.6179415510793228e-48,8.238441503708482e-34,4.870761924202768e-106,8.21902740189883e-69,1.7023422381956393e-104,2.2670434750621927e-116,3.6787533466755477e-41,1.4185319812599214e-87,1.7706103148596972e-55,2.3355080814997944e-106,1.5795524776339103e-109,8.5512346593373e-99,4.912596982697214e-109,6.767962670039237e-105,2.9662893973388455e-54,1.9377395935971227e-112,3.615501175922306e-114,1.7555352212641075e-112,3.76,0.0,0.8432079109090452,0.9999999999999126,1.0630009019136306e-49,2.8970899282945896e-62,4.4107369731556113e-16,4.4107369731556113e-16,8.742685003183748e-14,2.7422946196530446e-38,8.238441503708482e-34,2.6519453852914974e-20,6.172055570624463e-34,2.2374664952246936e-35,3.3224592622573405e-52,7.347041835688257e-34,9.625378443155024e-37,2.4348246023087716e-40,3.9639022248668504e-36,1.1217909363567081e-34,2.013309437235336e-34,1.9635073185249546e-34,3.6787536088447587e-41,2.7646369882649558e-46,5.549289862567351e-37,1.0072026855381697e-40
1.1110801379789418e-19,0.7118282280392425,1.7056481055821763e-23,6.756330435835424e-26,1.1557699085713922e-36,2.470212316000018e-36,0.0,0.0,5.3114253503005654e-20,3.386082976565949e-36,6.748657942193827e-50,2.0370541805992297e-64,5.502436700316462e-50,7.777881041638571e-82,6.666689329338063e-61,9.229030567612761e-52,2.10073322253984e-47,3.3039835165222824e-33,3.1393339247258754e-104,1.3211846502625875e-67,1.0966055846548515e-102,2.9237296121840163e-114,1.4753446282771759e-40,4.561786265628432e-86,1.4208032692594044e-54,1.5052963481887907e-104,1.018063245261181e-107,5.511495431512487e-97,6.339446165607207e-107,4.362177544475103e-103,2.3802604311377708e-53,2.5005502955679024e-110,4.665612739842719e-112,2.265425205206941e-110,3.76,0.0,0.8432079109090448,0.9999999999998249,8.52991278462424e-49,4.6504709435454625e-61,8.836842367820472e-16,8.836842367820472e-16,1.7515832321734354e-13,1.0997828112526012e-37,3.3039835165222824e-33,5.313130998405848e-20,2.475270335752826e-33,8.973241377122374e-35,2.666064316785254e-51,2.9464923805817852e-33,3.860207261878442e-36,9.76473565725168e-40,1.5897020820051055e-35,4.498883388052231e-34,8.074271317962732e-34,7.874542547398153e-34,1.4753448386514568e-40,2.2184470723223177e-45,2.2255134329445704e-36,4.0393332521969045e-40
