Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64)
0.0,0.7064979551258809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6064819865353557,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9312960805310022e-22,0.7064979551258809,4.680804452736863e-26,4.35921997756947e-28,1.0054230113232627e-41,1.552936320028349e-41,0.0,0.0,1.263873634732838e-22,2.153833743148252e-41,3.7560885319027745e-57,7.961520915798256e-74,2.5082107581384186e-57,1.2842528425450054e-90,1.3927207110468332e-67,1.0601528554687801e-58,1.0528506180709472e-54,2.933796379016757e-38,2.6736402784818327e-118,4.186589296773148e-77,-8.673889090922694e-117,1.427809658588881e-130,3.802593308818606e-45,1.757705050677549e-98,7.430934257621849e-62,1.2690189969908418e-118,5.045832747969696e-122,1.4387648653102307e-111,8.18894424252832e-124,2.2614809344494527e-117,1.1085863922434231e-60,3.7755456376777966e-127,7.598668519920428e-129,2.5960668197107855e-127,3.76,0.0,0.6064819865353557,0.9999999999999997,1.883537771489187e-56,7.09263312711119e-71,2.2419192419249307e-18,2.2419192419249307e-18,3.9049961279883427e-16,8.312810709217448e-43,2.933796379016757e-38,1.2643417151781117e-22,4.4113201727285135e-38,4.972017096489889e-40,3.185287774388501e-58,2.660411912929373e-38,5.098661511210918e-41,8.901370394628176e-45,7.402091799550379e-39,2.2144311191003294e-43,2.8816927402001346e-40,7.944944149376214e-39,7.836389011318727e-39,3.802593309875243e-45,2.9794737655965897e-47,2.8272684219719245e-41,8.40410724556465e-45,4.498922688746686e-56,2.5254079120881263e-41
5.407629025486806e-22,0.7064979551258809,1.3106252467663398e-25,1.2205815937196489e-27,6.072754988392581e-41,9.37973537297134e-41,0.0,0.0,3.538846177251945e-22,1.3009155808615435e-40,4.459228305076795e-56,1.78133926039305e-72,2.977747812063156e-56,2.8728222389411072e-89,1.6534380283244987e-66,1.2589009877990966e-57,1.2499442537738217e-53,1.7720130129269098e-37,2.063563249187543e-116,1.3163306603342234e-75,4.494973089942579e-115,1.639908066573952e-128,2.296766358526395e-44,1.0692977583368454e-96,8.822005150682564e-61,9.792319102087319e-117,3.8935906038195115e-120,1.1102502744949592e-109,8.725955552517176e-122,1.7450600521936312e-115,1.3161137648719202e-59,4.0231368594572527e-125,8.096971614915851e-127,2.7663106511909557e-125,3.76,0.0,0.6064819865353557,0.9999999999999989,2.2361361278240276e-55,1.5865936600022564e-69,6.277373877389806e-18,6.277373877389806e-18,1.093398915836097e-15,5.0209376690350895e-42,1.7720130129269098e-37,3.54015680249871e-22,2.664437384328022e-37,3.00309832627971e-39,3.781573645754022e-57,1.6068887954093133e-37,3.079591552774376e-40,5.3764277183556495e-44,4.4708634469284464e-38,1.3375163959380082e-42,1.740542415080694e-39,4.798746266223207e-38,4.733178962836512e-38,2.2967663597808364e-44,1.7996079389750237e-46,1.7076701268710393e-40,5.076080776325914e-44,5.9902242892935616e-55,1.5253463789011987e-40
1.2360294915398414e-21,0.7064979551258809,2.9957148497517193e-25,2.7899007856458436e-27,2.9237701169281633e-40,4.515938818642606e-40,0.0,0.0,8.088791262290151e-22,6.263348525075108e-40,4.378096792791417e-55,3.5199914990644083e-71,2.9235704596898715e-55,5.676212633413877e-88,1.623355261322253e-65,1.2361224435919117e-56,1.227202680423475e-52,8.531479870192334e-37,2.2489646803131555e-114,2.936661291957156e-74,4.7176571090289145e-113,3.6860242804258516e-126,1.1057941342043866e-43,4.827321216148418e-95,8.661496970788922e-60,1.067214837064815e-114,4.243425512175344e-118,1.2100070047688523e-107,1.9858233214487985e-119,1.9018520179170295e-113,1.2921682988005418e-58,9.155718193651455e-123,1.842681301692613e-124,6.295475804858099e-123,3.76,0.0,0.6064819865353557,0.9999999999999974,2.1954517478749735e-54,3.1348417082660634e-68,1.4348283148319557e-17,1.4348283148319557e-17,2.4991975219080677e-15,2.417365355222887e-41,8.531479870192334e-37,8.091786977139896e-22,1.2828119062294516e-36,1.4458625716589868e-38,3.7127714298272173e-56,7.736477842798195e-37,1.4826907674645236e-39,2.5885185107582126e-43,2.1525282953092777e-37,6.43956569436449e-42,8.379962488499182e-39,2.310389758638561e-37,2.278821924491488e-37,1.1057941354360046e-43,8.664396478675136e-46,8.221696571094311e-40,2.4439143870174987e-43,6.165670933963184e-54,7.343886208351828e-40
2.626562669522163e-21,0.7064979551258809,6.365894055722767e-25,5.928539169501394e-27,1.2768872243806624e-39,1.9722291264361747e-39,0.0,0.0,1.7188681432366538e-21,2.735368853798271e-39,3.872377032862023e-54,6.263933244273384e-70,2.5858649632181497e-54,1.0100517106636523e-86,1.4358393453655796e-64,1.0933863383106424e-55,1.085446873206379e-51,3.725921401363169e-36,1.839788910343623e-112,5.500041593233942e-73,3.7665486778858025e-111,6.178120797675029e-124,4.829293502198972e-43,1.822704640366286e-93,7.660995982457898e-59,8.730480006436391e-113,3.4713855596020106e-116,9.898613635904484e-106,3.355953623068825e-117,1.5558333882098583e-111,1.1429082269506257e-57,1.5472758987156788e-120,3.114049942280663e-122,1.0639075796974866e-120,3.76,0.0,0.6064819865353557,0.9999999999999947,1.9418522231768777e-53,5.5782833259095064e-67,3.049010169017906e-17,3.049010169017906e-17,5.310794734041789e-15,1.0557269610768702e-40,3.725921401363169e-36,1.7195047326422225e-21,5.602376619365211e-36,6.314461712539341e-38,3.283904283883527e-55,3.378723129419868e-36,6.475300119282823e-39,1.1304740401181262e-42,9.400656585429266e-37,2.812327521278651e-41,3.6597497800512674e-38,1.009007906970735e-36,9.9522140443748e-37,4.829293513092492e-43,3.7840213429052647e-45,3.5906308959042965e-39,1.0673216201942522e-42,5.566427015876126e-53,3.2072680483514603e-39
5.407629025486806e-21,0.7064979551258809,1.3106252467666018e-24,1.220581593722514e-26,5.330752806037004e-39,8.233668368791845e-39,0.0,0.0,3.538846177251921e-21,1.1419626506171953e-38,3.254966224351278e-53,1.0565276115499066e-68,2.1735753116446516e-53,1.7035998437652422e-85,1.2069094866661162e-63,9.190769372139399e-55,9.123835000103122e-51,1.5554988401653392e-35,1.3241082889991827e-110,9.499954088564235e-72,2.682961522297641e-109,9.007611354930607e-122,2.016134972335033e-42,6.323809129062097e-92,6.439528733106074e-58,6.2833898727621835e-111,2.4983814213888495e-114,7.124105773267325e-104,4.9138553442718945e-115,1.1197450958836378e-109,9.606832301419187e-57,2.26555274534321e-118,4.559655072668061e-120,1.557795051274624e-118,3.76,0.0,0.6064819865353557,0.999999999999989,1.6322438048542924e-52,9.408590168177474e-66,6.277373877389806e-17,6.277373877389806e-17,1.0933989158268351e-14,4.407452247045034e-40,1.5554988401653392e-35,3.5401568024986735e-21,2.338881955580658e-35,2.6361634645564057e-37,2.7603194206806086e-54,1.410550396234764e-35,2.703310333284319e-38,4.719506583234978e-42,3.924589072121866e-36,1.1740913793660224e-40,1.5278734908514981e-37,4.212409387998869e-36,4.1548534538012036e-36,2.0161349814916937e-42,1.5797976850571485e-44,1.499017717329472e-38,4.45585766166625e-42,4.7237046795395644e-52,1.33897127498871e-38
1.0969761737416092e-20,0.7064979551258809,2.658696929155714e-24,2.476036947272322e-26,2.1777864594475404e-38,3.3637221866355057e-38,0.0,0.0,7.178802245282415e-21,4.6652900410087733e-38,2.6686179675174956e-52,1.7353687247844955e-67,1.7820283623876037e-52,2.7981678638015535e-84,9.894973173327978e-63,7.535226959148521e-54,7.48027117197622e-50,6.354720308895479e-35,8.975233589865067e-109,1.5784315801979874e-70,1.8100246083694402e-107,1.229088051682428e-119,8.236569210628446e-42,2.106092469698874e-90,5.279514715690235e-57,4.259086260690082e-109,1.693484309464432e-112,4.828951401311268e-102,6.719281539241412e-113,7.590003741493457e-108,7.876261541116635e-56,3.0979517449121354e-116,6.234942630178917e-118,2.130152964761819e-116,3.76,0.0,0.6064819865353556,0.9999999999999778,1.3382120895847158e-51,1.5453637603457447e-64,1.2734101294133605e-16,1.2734101294133605e-16,2.218037800655796e-14,1.8005880584786784e-39,6.354720308895479e-35,7.181460942211511e-21,9.555095946936869e-35,1.076958791165952e-36,2.2630766325488417e-53,5.762558619878242e-35,1.1043904780083722e-37,1.928072432960678e-41,1.6033226921500263e-35,4.79654638137684e-40,6.2418617429609724e-37,1.7209066825311467e-35,1.697393205407694e-35,8.236569285700279e-42,6.454342568986521e-44,6.12397649272771e-38,1.8203632458757518e-41,3.890601184807931e-51,5.470134553895855e-38
2.2094027161274664e-20,0.7064979551258809,5.354840293935787e-24,4.986947654392172e-26,8.802961067188008e-38,1.35967028912925e-37,0.0,0.0,1.445871438134323e-20,1.885784826145911e-37,2.161116018718351e-51,2.8131226333942214e-66,1.4431327700867125e-51,4.535950704111248e-83,8.013205848837387e-62,6.102253647844516e-53,6.05771753419197e-49,2.5686795521293377e-34,5.909695706122238e-107,2.5732418512834515e-69,1.1891122991658569e-105,1.6238576004066954e-117,3.329352966345393e-41,6.874636597940445e-89,4.275487897997158e-56,2.8043736525652764e-107,1.1150661534214308e-110,3.1795986135707483e-100,8.886893071659247e-111,4.997608335867582e-106,6.37840080195246e-55,4.097337749230013e-114,8.246308500024496e-116,2.8173312152162538e-114,3.76,0.0,0.6064819865353555,0.9999999999999553,1.083718846574164e-50,2.5051012497651315e-63,2.5647556127621206e-16,2.5647556127621206e-16,4.4673155702483104e-14,7.278264853444728e-39,2.5686795521293377e-34,1.446406922163693e-20,3.8623225545921035e-34,4.353239624779893e-36,1.8326981312618968e-52,2.3293183295387757e-34,4.464122889097439e-37,7.793577046297575e-41,6.480886670914514e-35,1.9388407375981573e-39,2.5230603152785458e-36,6.956179960095255e-35,6.86113472608219e-35,3.3293530271405127e-41,2.6092342949308522e-43,2.4754092123203805e-37,7.358199291112347e-41,3.1578194494423995e-50,2.2111158466100465e-37
4.434255800899181e-20,0.7064979551258809,1.0747127023503327e-23,1.0008769068712807e-25,3.539631928290007e-37,5.467174432121272e-37,0.0,0.0,2.901853865346419e-20,7.582657846102703e-37,1.739454184756596e-50,4.530459390791558e-65,1.1615588031113495e-50,7.305008823809938e-82,6.449725246293102e-61,4.911637199425942e-52,4.875778081030605e-48,1.0328547504783362e-33,3.8360336357677085e-105,4.1557924632996055e-68,7.710111780734042e-104,2.1115618846985653e-115,1.3387181847394843e-40,2.221763756636627e-87,3.441284620264228e-55,1.8203429163643715e-105,7.237990217735506e-109,2.0639046887638957e-98,1.1562091529368796e-108,3.2440020328638666e-104,5.1338918738779814e-54,5.330748744490041e-112,1.0728673440419013e-113,3.6654251510571376e-112,3.76,0.0,0.6064819865353552,0.9999999999999103,8.722712095065594e-50,4.034388334776424e-62,5.14744657945964e-16,5.14744657945964e-16,8.965871109171711e-14,2.926558312181189e-38,1.0328547504783362e-33,2.9029285780486744e-20,1.553022912089764e-33,1.7504185068733475e-35,1.4751148971733665e-51,9.36608655592239e-34,1.7950041798946364e-36,3.133763052927992e-40,2.6059360264003527e-34,7.795993333108415e-39,1.0145114559436549e-35,2.7970493675622296e-34,2.758832096990887e-34,1.3387182336726862e-40,1.0493915002283546e-42,9.953511570286658e-37,2.9586995726134373e-40,2.5445277734098766e-49,8.890799570799308e-37
8.883961970442609e-20,0.7064979551258809,2.1531700482667985e-23,2.0052411897677825e-25,1.4195507171540863e-36,2.192581472637087e-36,0.0,0.0,5.813818719770345e-20,3.0409849389482013e-36,1.3958024363454683e-49,7.272400356337905e-64,9.320777871300576e-50,1.1726157139462146e-80,5.175498394459269e-60,3.9412845568571337e-51,3.9125048442461524e-47,4.142209505238435e-33,2.472424343600005e-103,6.680315010168323e-67,4.966657965353054e-102,2.7241364203141404e-113,5.368858677134222e-40,7.144859280083426e-86,2.761414184695931e-54,1.1732588476452043e-103,4.66507551769829e-107,1.3302408110499747e-96,1.4920266626878238e-106,2.0908596829101412e-102,4.119624907791923e-53,6.879048863212637e-110,1.384478473381036e-111,4.73003698493436e-110,3.76,0.0,0.6064819865353547,0.9999999999998204,6.999427120577127e-49,6.476086759549927e-61,1.0312828512854671e-15,1.0312828512854671e-15,1.7962982185971996e-13,1.173680797224005e-37,4.142209505238435e-33,5.81597188981823e-20,6.228316483954348e-33,7.019961106316278e-35,1.1836868054900525e-50,3.756219617375798e-33,7.198769597535965e-36,1.2567791452094596e-39,1.0450968999246009e-33,3.126542011333472e-38,4.068644689613206e-35,1.1217418974821137e-33,1.1064150626747524e-33,5.368859069792353e-40,4.210373003256597e-42,3.9918033213697086e-36,1.1865708598457745e-39,2.0429584776829314e-48,3.565608278610882e-36
