Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244)
0.0,0.5332163541135605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5361021742385902,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6865473054812587e-21,0.5332163541135605,2.699564476609958e-28,5.314016717932074e-32,1.4521534009075223e-43,1.9311120470937466e-43,0.0,0.0,5.8144541180128426e-24,6.051629517102194e-43,6.930137192986009e-55,8.062874216842859e-55,6.392324549644787e-60,1.419891071869767e-78,3.437945402733355e-53,1.0496074785639482e-40,2.9972528807269223e-59,4.56789345882044e-40,8.37334676447646e-99,3.4869587167125443e-85,7.242443120113119e-95,3.8959803689166933e-94,4.8515625911349005e-28,3.757402413700936e-97,2.864588113841533e-66,5.93603812602115e-105,1.9896332451527988e-120,5.978192615563383e-97,5.649508136210843e-121,3.24442923044259e-116,1.1108252236946476e-64,1.0597806067300715e-118,7.17600434090547e-117,8.764635468678071e-133,3.76,0.0,0.5361021742385902,0.9999999999999997,1.1487530315438595e-55,2.7709509378626224e-75,3.421769762750491e-20,3.421769762750491e-20,3.968626937075786e-16,3.998497851671159e-44,4.567893458820436e-40,5.814724074460503e-24,1.312635688789178e-42,6.995943702852583e-40,8.605240024711842e-65,3.5935774842012526e-40,2.8825449044002874e-44,1.189555288806979e-47,7.166260636971856e-45,3.2638850310099134e-43,2.706193004858186e-42,4.2719128631862817e-41,2.671562601538091e-46,6.804894390775598e-50,1.8374964980636445e-44,4.320728899957983e-50,2.667704189213102e-58,4.593179899979524e-45,7.247139499069801e-59,4.851562591135949e-28,1.5454128487629073e-73
4.722332455347525e-21,0.5332163541135605,7.558780534507989e-28,1.4879246810266182e-31,8.771006541515256e-43,1.1663916764469829e-42,0.0,0.0,1.628047153043595e-23,3.6551842283297246e-42,8.227458875511261e-54,9.572244270233832e-54,7.588973909049795e-59,1.6856946805231643e-77,2.076519023250422e-52,6.339629170524797e-40,3.558338624143292e-58,2.7590076491351955e-39,5.093915456151757e-97,1.0963556118738527e-83,3.4598019877945374e-93,1.861156573995325e-92,1.3584375255174316e-27,2.2858112508033963e-95,3.4008390087675175e-65,2.835722766265555e-103,1.7313550531470155e-118,2.856888521503053e-95,6.425908060966639e-119,2.503546989082464e-114,1.3187717055735787e-63,8.177843838987506e-117,5.537395430257971e-115,9.339514528771641e-131,3.76,0.0,0.5361021742385902,0.9999999999999989,1.363799599074877e-54,6.198506416858343e-74,9.580955335701375e-20,9.580955335701375e-20,1.1112155423752489e-15,2.4150927025628927e-43,2.759007649135191e-39,1.62812274084894e-23,7.928319560286633e-42,4.2255499965225036e-39,1.0216140957337884e-63,2.1705208004575147e-39,1.7410571222695348e-43,7.184913944399705e-47,4.328421424729238e-44,1.971386558730005e-42,1.6345405749343353e-41,2.580235369364521e-40,1.613623811329183e-45,4.1101820020925075e-49,1.1098478848304248e-43,2.609720255714319e-49,3.192702114217818e-57,2.774280659587617e-44,4.377273994636723e-58,1.3584375255180657e-27,3.483724933184814e-72
1.0793902755080056e-20,0.5332163541135605,1.727721265030448e-27,3.4009706995159883e-31,4.222862089889804e-42,5.615673832984013e-42,0.0,0.0,3.7212506355282135e-23,1.759813863573316e-41,8.07776791213914e-53,9.39808618714581e-53,7.450902304367439e-58,1.6550250333694682e-76,9.997545231140734e-52,3.0522585476617885e-39,3.4935979636601604e-57,1.3283434178362405e-38,2.2996369311494095e-95,2.4459090596524048e-82,1.8015117221275285e-91,9.691003694995275e-91,3.105000058323955e-27,1.0319244626900917e-93,3.3389639055392334e-64,1.4765641110591875e-101,1.7992240049916655e-116,1.487242427115643e-93,5.8173501514184974e-117,2.7284879772270677e-112,1.2947778807484978e-62,8.91261994014739e-115,6.034928264700008e-113,2.1254564813481666e-128,3.76,0.0,0.5361021742385902,0.9999999999999974,1.3389865336040427e-53,1.2247204148695265e-72,2.189932648160314e-19,2.189932648160314e-19,2.5399212396867045e-15,1.1627631754915038e-42,1.3283434178362363e-38,3.7214234076547136e-23,3.8171445829989284e-41,2.0344204287888454e-38,1.003026777280408e-62,1.0450123324056619e-38,8.382440582169097e-43,3.4592267798588655e-46,2.0839485932287717e-43,9.491377670177091e-42,7.869609258127465e-41,1.2422722606145805e-39,7.768904045275409e-45,1.9789019739336138e-48,5.343439816368835e-43,1.2564679643173267e-48,3.1458332580589034e-56,1.3356967149140234e-43,2.1074707224938212e-57,3.1050000583270073e-27,6.908994980706676e-71
2.293704335454512e-20,0.5332163541135605,3.6714076881899165e-27,7.227062736584927e-31,1.844234819204973e-41,2.452512299845635e-41,0.0,0.0,7.90765760049744e-23,7.685569486719765e-41,7.144694240469618e-52,8.31250080258324e-52,6.590239789103315e-57,1.463850899450797e-75,4.366190661463238e-51,1.3330014977739694e-38,3.0900478358404698e-56,5.801224692817255e-38,8.682991493325261e-94,4.5809169747282625e-81,7.189360369077452e-90,3.867425176622484e-89,6.59812512393156e-27,3.896350423826364e-92,2.9532757619412137e-63,5.892653131999299e-100,1.4401090901503392e-114,5.934726829089599e-92,4.409033727079686e-115,2.232072578337196e-110,1.1452163726410771e-61,7.291077971412054e-113,4.9369470285183596e-111,3.5919283579915535e-126,3.76,0.0,0.5361021742385902,0.9999999999999946,1.1843184254364078e-52,2.179324542239231e-71,4.653606877340668e-19,4.653606877340668e-19,5.397332634214075e-15,5.0780922739307464e-42,5.801224692817221e-38,7.908024741266244e-23,1.6670473247622558e-40,8.8848485026157e-38,8.871658255876826e-62,4.563843404934946e-38,3.6608320287656295e-42,1.5107352167932336e-45,9.101151008926938e-43,4.145133989382862e-41,3.436865116169752e-40,5.425329336246683e-39,3.3928845039561034e-44,8.642615622277733e-48,2.333620552540577e-42,5.48732570511194e-48,2.78690960302865e-55,5.8333384729737665e-43,9.203893345893538e-57,6.59812512394489e-27,1.2315076822223557e-69
4.722332455347525e-20,0.5332163541135605,7.558780534509536e-27,1.4879246811083599e-30,7.69931733208346e-41,1.0238756074020234e-40,0.0,0.0,1.6280471530435842e-22,3.208573969967563e-40,6.0055460092262e-51,6.987157790304834e-51,5.539494062641798e-56,1.2304548846178286e-74,1.8227986525219147e-50,5.565018851325853e-38,2.597371395659057e-55,2.4218971119699278e-37,3.0125331145979347e-92,7.912394880243447e-80,2.5552112776501615e-88,1.37454348084616e-87,1.3584375255125008e-26,1.3518249657278954e-90,2.482406226217437e-62,2.0943934067135023e-98,1.0252534965195714e-112,2.1092253422418016e-90,3.065768687688622e-113,1.606438845742028e-108,9.626233656878487e-61,5.24744225120926e-111,3.5531569585495793e-109,5.259374905271078e-124,3.76,0.0,0.5361021742385902,0.9999999999999889,9.954909971178855e-52,3.675749377689594e-70,9.580955335701374e-19,9.580955335701374e-19,1.1112155422886658e-14,2.12000356302411e-41,2.4218971119698973e-37,1.6281227408489236e-22,6.9595944219602205e-40,3.709249351246068e-37,7.457163321574715e-61,1.905314782122924e-37,1.528325308471899e-41,6.307022141329617e-45,3.79955138969789e-42,1.7305118434417008e-40,1.4348235311756792e-39,2.2649682000614608e-38,1.4164624913379512e-43,3.608314777382675e-47,9.742406432731183e-42,2.290850464706493e-47,2.344332070793973e-54,2.435303982968937e-42,3.842456827007164e-56,1.3584375255180657e-26,2.078788774420274e-68
9.57958869513355e-20,0.5332163541135605,1.5333526227151507e-26,3.018361496152411e-30,3.1454223529011674e-40,4.182865938765651e-40,0.0,0.0,3.302609939031246e-22,1.3108071599223867e-39,4.923709458152681e-50,5.728494102763822e-50,4.541612085217801e-55,1.0088012553560874e-73,7.446727260074664e-50,2.2734917828515506e-37,2.1294819968448392e-54,9.894239948416482e-37,1.003299305485191e-90,1.3146562433391e-78,8.606655311938626e-87,4.629841005469864e-86,2.7556875517424837e-26,4.502141545539065e-89,2.035226605071205e-61,7.054845418234176e-97,6.912082353496271e-111,7.104344029036458e-89,2.044264655115585e-111,1.0888965581126387e-106,7.892167944779638e-60,3.5568873801632217e-109,2.4084455894130517e-107,7.191750681841269e-122,3.76,0.0,0.5361021742385902,0.9999999999999775,8.161636644681483e-51,6.037429390783919e-69,1.943565225242279e-18,1.943565225242279e-18,2.2541800998703184e-14,8.660906304104223e-41,9.894239948416235e-37,3.3027632742934936e-22,2.8432214073449103e-39,1.5153493898072872e-36,6.113833033857726e-60,7.783832573874369e-37,6.243707566069494e-41,2.5766243378308513e-44,1.552240718989833e-41,7.069705532570784e-40,5.8617222962419147e-39,9.253134138176815e-38,5.786711457456354e-43,1.4742719510660153e-46,3.9800909146638625e-41,9.358871642964576e-47,1.9227280815022663e-53,9.949011390549898e-42,1.5697792297211031e-55,2.755687551765219e-26,3.4157521634957426e-67
1.9294101174705602e-19,0.5332163541135605,3.0883017612446366e-26,6.079235126817781e-30,1.2714300061863478e-39,1.6907812908380982e-39,0.0,0.0,6.651735511006491e-22,5.298492120439653e-39,3.9873475749712455e-49,4.6390830456235465e-49,3.677915284115894e-54,8.169534115156468e-73,3.010086221421473e-49,9.189817286276384e-37,1.724509731639158e-53,3.999409982800744e-36,3.274936035835941e-89,2.143221478743439e-77,2.8247904512183324e-85,1.5195601762677276e-84,5.550187604167627e-26,1.4695739850844773e-87,1.6481792718445797e-60,2.315701710685318e-95,4.539018372567824e-109,2.331699835019499e-87,1.335294885851448e-109,7.169783895169315e-105,6.39128222048864e-59,2.342014419588263e-107,1.5858287587836377e-105,9.511778980364122e-120,3.76,0.0,0.5361021742385902,0.9999999999999546,6.609504959544448e-50,9.78693321322878e-68,3.914504608586562e-18,3.914504608586562e-18,4.5401092144221684e-14,3.5008768113898955e-40,3.999409982800542e-36,6.65204434118252e-22,1.1492755520479871e-38,6.125284517100803e-36,4.951140502643412e-59,3.1463495791333986e-36,2.5238064270608793e-40,1.0415127540564572e-43,6.274405168008183e-41,2.8576880111323726e-39,2.369401873016661e-38,3.740264763537684e-37,2.3390812926685736e-42,5.960517307727266e-46,1.6088163838850536e-40,3.7830055604726535e-46,1.5573554922019416e-52,4.021549475065833e-41,6.3453814094426205e-55,5.550187604259526e-26,5.538148905977875e-66
3.8723126133849703e-19,0.5332163541135605,6.198200038307979e-26,1.2200982390457594e-29,5.112364136696028e-39,6.798557208134995e-39,0.0,0.0,1.3349986654956677e-21,2.1305003780137828e-38,3.209364219689172e-48,3.7339376261670004e-48,2.9603062196985423e-53,6.575551789114058e-72,1.210342430772594e-48,3.695185112469406e-36,1.3880354609967484e-52,1.608145164333187e-35,1.058402736684265e-87,3.461308412996791e-76,9.153901443463972e-84,4.92422511726996e-83,1.113918770887862e-25,4.749409180995865e-86,1.3265980667306699e-59,7.505664978452137e-94,2.942373769119425e-107,7.55598494262037e-86,8.633261282398477e-108,4.653968000288717e-103,5.144259960895983e-58,1.5202215913197633e-105,1.0293750111402749e-103,1.2375085382679059e-117,3.76,0.0,0.5361021742385902,0.9999999999999089,5.319904605312192e-49,1.5761554225778877e-66,7.856383375275127e-18,7.856383375275127e-18,9.111967441080045e-14,1.407687174309251e-39,1.6081451643330244e-35,1.3350606474960121e-21,4.621186447809851e-38,2.4629499643280743e-35,3.98510861601582e-58,1.2651333276197112e-35,1.014811464667953e-39,4.18787697687877e-43,2.522910722149585e-40,1.1490637807085468e-38,9.527260721316022e-38,1.5039440111367199e-36,9.405343001357621e-42,2.3977226371622282e-45,6.468979921280214e-40,1.5211299031544032e-45,1.2536072082751577e-51,1.6170473565062234e-40,2.551516524387636e-54,1.1139187709248138e-25,8.919871668599362e-65
7.758117605213791e-19,0.5332163541135605,1.241799659245214e-25,2.444447692697351e-29,2.0502866759676612e-38,2.726525514117289e-38,0.0,0.0,2.674648894285582e-21,8.544259405418572e-38,2.575312667526827e-47,2.9962497897338177e-47,2.375459319388567e-52,5.276466196706009e-71,4.854014486114177e-48,1.4819345012476456e-35,1.113811042036381e-51,6.44938137183162e-35,3.4036645845486804e-86,5.563952182466945e-75,2.947702120173225e-82,1.5856789487982247e-81,2.2317187917743435e-25,1.527338815997849e-84,1.0645114029559117e-58,2.4179071060707943e-92,1.895170239865509e-105,2.4331432350620645e-84,5.553421388818118e-106,2.9996046416354845e-101,4.1279446458232667e-57,9.798227591663266e-104,6.634592413398201e-102,1.5969392229071606e-115,3.76,0.0,0.5361021742385902,0.9999999999998174,4.2688884097678517e-48,2.5300785190245755e-65,1.574014090865226e-17,1.574014090865226e-17,1.8255683884612512e-13,5.645455219499138e-39,6.449381371830317e-35,2.674773074251352e-21,1.8533024531873074e-37,9.877530938105453e-35,3.1977986909778036e-57,5.073750488452454e-35,4.0698478624545126e-39,1.679525975274881e-42,1.0118000394657844e-39,4.6082596919838517e-38,3.82085766639527e-37,6.031488140059856e-36,3.771963207847756e-41,9.624160358609801e-45,2.5943502806267867e-39,6.100411298152815e-45,1.0059856123792698e-50,6.485083141692283e-40,1.0233256387085163e-53,2.231718791922536e-25,1.431905219241441e-63
