Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),S(1228),CHF3(42),S(1335)
0.0,0.6269214190360549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.9018854970463537,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.40306673306412e-22,0.6269214190360549,3.6680124666824524e-27,1.7662337021404357e-30,1.3161047873797479e-42,2.943144271454445e-42,0.0,0.0,2.9448743108131356e-23,5.527926766980761e-42,3.5572072735565603e-54,4.1385954646107013e-54,9.814121697486845e-59,4.758964204648618e-75,1.394663401593976e-50,1.3896723423104211e-39,4.8984881207879997e-57,3.7376570368828574e-39,1.2810469578579505e-96,1.3078313858193355e-81,7.172897358797132e-93,4.000032805605375e-92,1.703976596431718e-26,1.680090885685221e-95,3.638521652844936e-64,7.214183293047993e-102,5.01734698399386e-118,4.108997014542022e-95,1.833571283557014e-117,2.3579661566819553e-113,9.826001582483696e-63,8.485337090776925e-117,4.764795941869144e-115,5.1477726485754006e-130,3.76,0.0,0.9018854970463537,0.9999999999999997,5.9270517193777586e-55,5.946176560429567e-73,2.9477435184773194e-19,2.9477435184773194e-19,4.031126718617339e-16,2.249552320833686e-43,3.7376570368828554e-39,2.945241112059804e-23,1.270484192250415e-40,9.213454165874432e-40,5.384311820305116e-62,3.114577448269062e-39,8.366041976813279e-43,3.515092158112808e-46,2.9118149718327956e-41,6.387026166741891e-46,7.491279225054589e-43,1.5654216412472643e-40,5.359307011997489e-40,3.4584368525896736e-44,1.0357168999220863e-48,5.30337051368205e-43,9.199141117660943e-48,2.779850863190092e-57,3.355549025769338e-43,7.516220491162622e-56,5.604607497976238e-73,1.7039765964318568e-26,3.053803016260072e-77
2.0728586852579537e-21,0.6269214190360549,1.0270434906710991e-26,4.945454366000191e-30,7.949272915791044e-42,1.7776591399597066e-41,0.0,0.0,8.245648070276776e-23,3.338867767256378e-41,4.223116475166011e-53,4.913340535585432e-53,1.1651412946203956e-57,5.6498423037580355e-74,8.423766945626788e-50,8.393620947554218e-39,5.815485100661063e-56,2.2575448502803905e-38,7.79323379556455e-95,4.1120311300376695e-80,3.4265791430653487e-91,1.9108636716311164e-90,4.7711344700083607e-26,1.0220812771183814e-93,4.319652906274107e-63,3.4463020497285784e-100,4.4096425359519846e-116,1.9846681417682074e-93,2.0855550639297265e-115,1.8195123408412123e-111,1.1665429078739318e-61,6.548417250279129e-115,3.6771517272665356e-113,5.485973771905616e-128,3.76,0.0,0.9018854970463537,0.9999999999999988,7.036595801919375e-54,1.330135912662032e-71,8.253681851736495e-19,8.253681851736495e-19,1.128715481210221e-15,1.3587296018939342e-42,2.2575448502803882e-38,8.246675113767445e-23,7.673724521192507e-40,5.564926316187656e-39,6.392254993066223e-61,1.8812047787544782e-38,5.0530893540116344e-42,2.1231156635006755e-45,1.7587362429870197e-40,3.857763804726257e-45,4.524732651931832e-42,9.455146713133445e-40,3.23702143524649e-39,2.088895858964452e-43,6.255752716563844e-48,3.203235790263941e-42,5.556281235125886e-47,3.387119595638731e-56,2.0267516115646646e-42,4.5397974223297746e-55,1.285257938124568e-71,4.771134470009199e-26,7.003032004531525e-76
4.7379627091610374e-21,0.6269214190360549,2.347527978676855e-26,1.130389569374759e-29,3.82723272172636e-41,8.558663541407852e-41,0.0,0.0,1.8847195589204038e-22,1.6075211038380031e-40,4.146280798056478e-52,4.823946873549013e-52,1.1439464737680293e-56,5.54704867693594e-73,4.055681171834042e-49,4.041167171437613e-38,5.709677758789863e-55,1.0869106663301624e-37,3.5182382596727106e-93,9.17371524859729e-79,1.784212655756059e-89,9.949827521854878e-89,1.0905450217159844e-25,4.6141634503743666e-92,4.241060838607198e-62,1.7944825123042124e-98,4.5543376671181224e-114,1.0263982585230419e-91,1.8880450744043156e-113,1.982993555135188e-109,1.1453187444587629e-60,7.136827375973408e-113,4.007563371380389e-111,1.2484873324659288e-125,3.76,0.0,0.9018854970463537,0.9999999999999973,6.908571485063318e-53,2.6281244171199027e-70,1.8865558518254847e-18,1.8865558518254847e-18,2.579921099896659e-15,6.541698150607693e-42,1.0869106663301601e-37,1.8849543117182702e-22,3.6945680310642077e-39,2.6792724714355336e-38,6.275953857747614e-60,9.057191219565908e-38,2.432845006881454e-41,1.022188799579998e-44,8.467557938089941e-40,1.8573472093093428e-44,2.1784639986441658e-41,4.5522461327469976e-39,1.5584864790888795e-38,1.0057134367335106e-42,3.0118987065250897e-47,1.5422201453787136e-41,2.675110237103819e-46,3.3635646903531055e-55,9.757936566937008e-42,2.1857172803131382e-54,2.5698530059726382e-70,1.0905450217163885e-25,1.4002452203503537e-74
1.0068170756967204e-20,0.6269214190360549,4.9884969546885626e-26,2.4020778349353924e-29,1.6714530799992026e-40,3.7377932247660825e-40,0.0,0.0,4.0050290627058507e-22,7.0204669940655445e-40,3.66733841074367e-51,4.2667263801924866e-51,1.0118092269048789e-55,4.906301736419311e-72,1.771222520023067e-48,1.7648838747331063e-37,5.050145318243523e-54,4.746824436888627e-37,1.328419824297764e-91,1.7181353385885598e-77,7.12032433636518e-88,3.9707149715553953e-87,2.317408171145561e-25,1.7422203238518111e-90,3.751170283324095e-61,7.161310081571869e-97,3.6371413326264735e-112,4.08625800068619e-90,1.4309701487495546e-111,1.6222118527900702e-107,1.0130214591570272e-59,5.8383787850625366e-111,3.278441768954156e-109,2.1098930827771095e-123,3.76,0.0,0.9018854970463537,0.9999999999999944,6.1105532415717856e-52,4.676606980742049e-69,4.008931185129155e-18,4.008931185129155e-18,5.482332337227393e-15,2.8569314491210664e-41,4.746824436888608e-37,4.0055279124013137e-22,1.6135149241580275e-38,1.170108679065277e-37,5.551010114261697e-59,3.955513359301169e-37,1.0624873310800257e-40,4.4641670408113936e-44,3.6980050142278265e-39,8.111523231975132e-44,9.513924615801664e-41,1.988085484383977e-38,6.806319905236915e-38,4.3922148027933607e-42,1.315395556504435e-46,6.735280552375926e-41,1.1682909220338896e-45,2.9901543766383506e-54,4.261547262726823e-41,9.545603726349387e-54,4.5975857767429074e-69,2.3174081711473254e-25,2.505103402439456e-73
2.0728586852579537e-20,0.6269214190360549,1.0270434906712754e-25,4.945454366101277e-29,6.97798758292973e-40,1.5604550927421905e-39,0.0,0.0,8.245648070276718e-22,2.9309067718531797e-39,3.0826189079437435e-50,3.586440612099552e-50,8.504872261936124e-55,4.124042236311733e-71,7.394505355239721e-48,7.368042758919693e-37,4.244951434318591e-53,1.98170576099777e-36,4.608905483634359e-90,2.9676515273282503e-76,2.530674790360811e-86,1.4112542917323123e-85,4.771134470001832e-25,6.0445716463329496e-89,3.1530846482029706e-60,2.545242792969601e-95,2.5869618243027652e-110,1.450857829444683e-88,9.950079195615855e-110,1.1675176521957743e-105,8.515055755522805e-59,4.2019271672476884e-109,2.359520346708095e-107,3.0893513074614626e-121,3.76,0.0,0.9018854970463537,0.9999999999999887,5.136288188038153e-51,7.887781220768401e-68,8.253681851736496e-18,8.253681851736496e-18,1.1287154811720292e-14,1.19271264199558e-40,1.9817057609977542e-36,8.246675113767367e-22,6.736107187311702e-38,4.884973398739641e-37,4.665958474487169e-58,1.6513489630717717e-36,4.435675456328119e-40,1.8637018622386952e-43,1.5438442980659063e-38,3.3864012737973242e-43,3.971876245108047e-40,8.299865541892554e-38,2.841504577761162e-37,1.8336632192470712e-41,5.4916868458173715e-46,2.811847046353972e-40,4.87738462140238e-45,2.51939958765844e-53,1.7791120934626899e-40,3.9851034226934367e-53,7.77423513796784e-68,4.771134470009199e-25,4.235975975474272e-72
4.2049419043804204e-20,0.6269214190360549,2.0834310810764252e-25,1.0032207428611505e-28,2.8507356138611818e-39,6.37496821788549e-39,0.0,0.0,1.6726886085418359e-21,1.1973710494350845e-38,2.5273172247185445e-49,2.940380697410142e-49,6.972810530329694e-54,3.38113898945708e-70,3.0208967143788455e-47,3.010085880329462e-36,3.480267655117854e-52,8.09591464852866e-36,1.5349579556119402e-88,4.930797397637529e-75,8.524009665206538e-85,4.7534931270526095e-84,9.678587067702849e-25,2.0130947292795155e-87,2.5850892961177904e-59,8.573085627911562e-94,1.7433375012836383e-108,4.884620963454873e-87,6.634745572256899e-108,7.913814810611335e-104,6.981157166524276e-58,2.848204209114744e-107,1.5993603685723221e-105,4.2244285882769463e-119,3.76,0.0,0.9018854970463537,0.999999999999977,4.2110393780298803e-50,1.295570434103569e-66,1.6743183184951175e-17,1.6743183184951175e-17,2.2896799760031814e-14,4.872620321603344e-40,8.095914648528531e-36,1.6728969516499337e-21,2.751919579782089e-37,1.9956710261391534e-36,3.825434662721588e-57,6.746299336044614e-36,1.8121181565329972e-39,7.613830218220215e-43,6.307107701590044e-38,1.3834554159821243e-42,1.622641045250265e-39,3.3907658918068483e-37,1.1608473360267834e-36,7.491112560217423e-41,2.2436716471650337e-45,1.148731266745374e-39,1.9925707633428682e-44,2.0679415152644692e-52,7.26825341177561e-40,1.6280462269422436e-52,1.2784974690317262e-66,9.678587067732947e-25,6.966195988929428e-71
8.469108342625354e-20,0.6269214190360549,4.19620626188797e-25,2.0205713554345835e-28,1.152312914549518e-38,2.576864080702098e-38,0.0,0.0,3.3689362115701242e-21,4.839965224976338e-38,2.0466870136953293e-48,2.3811965232737856e-48,5.646763710253927e-53,2.738134015596913e-69,1.221094751930766e-46,1.2167248399581277e-35,2.818410979186547e-51,3.272498143623648e-35,5.010358419352778e-87,8.03844422715132e-74,2.7976653224580252e-83,1.560144040705322e-82,1.9493492263058775e-24,6.571076483858306e-86,2.0934723352383958e-58,2.8137770857947293e-92,1.1445774590472633e-106,1.6028237336579123e-85,4.333754839098586e-106,5.210811032062536e-102,5.653522072411795e-57,1.8753859183365595e-105,1.0530908928199736e-103,5.587212494836794e-117,3.76,0.0,0.9018854970463537,0.9999999999999538,3.4102088668984603e-49,2.1001755036336493e-65,3.372218585138053e-17,3.372218585138053e-17,4.6116089653957746e-14,1.9695910457423452e-39,3.2724981436235436e-35,3.369355832196274e-21,1.1123698935564665e-36,8.0668213679744e-36,3.097936170963075e-56,2.7269620556737056e-35,7.324871322254312e-39,3.077631908901931e-42,2.5494337749593585e-37,5.592147987562779e-42,6.55897454282738e-39,1.3706017871504507e-36,4.692330535741031e-36,3.0280274694392225e-40,9.070398292631075e-45,4.6433554465115404e-39,8.054289612986591e-44,1.6756242727035315e-51,2.937944238412804e-39,6.580834857498456e-52,2.073760118021748e-65,1.9493492263180443e-24,1.1299372713689646e-69
1.699744121911522e-19,0.6269214190360549,8.42175662351604e-25,4.055272580866995e-28,4.633399549530681e-38,1.0361457134389037e-37,0.0,0.0,6.761431417626543e-21,1.946128730022537e-37,1.6473517663588277e-47,1.916594121335689e-47,4.545007075300487e-52,2.203888468006263e-68,4.909968291782468e-46,4.892397067940124e-35,2.268502352278496e-50,1.3158571107018616e-34,1.6192612633873452e-85,1.2982108898611172e-72,9.066000850767481e-82,5.0557395435360845e-81,3.91233026535862e-24,2.123658373022062e-84,1.6850086638213983e-57,9.118241408662122e-91,7.41886249467537e-105,5.19347697900771e-84,2.801960701038793e-104,3.3823819732027053e-100,4.550446409564624e-56,1.2173291463745884e-103,6.835703654534898e-102,7.269117458804365e-115,3.76,0.0,0.9018854970463537,0.9999999999999074,2.7448327775391114e-48,3.3822679038233204e-64,6.768019118423926e-17,6.768019118423926e-17,9.25546694310212e-14,7.919639011421251e-39,1.3158571107017782e-34,6.762273593288739e-21,4.472790418185277e-36,3.2436333928733174e-35,2.4934885447465144e-55,1.0964994489701796e-34,2.9452985433530126e-38,1.2375022546732512e-41,1.025116108094514e-36,2.248578111179679e-41,2.6373348162075666e-38,5.511129504874138e-36,1.8867654708022947e-35,1.2175565277243472e-39,3.6480669676093796e-44,1.867072802822401e-38,3.238594431660979e-43,1.3490683108617244e-50,1.1813344567169917e-38,2.6461341663977455e-51,3.3407347966035405e-64,3.912330265407542e-24,1.820278405203271e-68
3.4054106972094954e-19,0.6269214190360549,1.6872857346792095e-24,8.124675032873996e-28,1.8582004537753126e-37,4.155407738776449e-37,0.0,0.0,1.3546421829738746e-20,7.804846634738665e-37,1.321896045897817e-46,1.5379460794730989e-46,3.647082097320083e-51,1.768481699492453e-67,1.969116888677616e-45,1.9620700420277875e-34,1.8203302724211835e-49,5.277175546358211e-34,5.207301554012315e-84,2.0868360897418223e-71,2.9193967288375803e-80,1.6280286896239718e-79,7.838292343390333e-24,6.82936706763765e-83,1.3521133352911372e-56,2.936237975144569e-89,4.778218917647899e-103,1.6722916483530042e-82,1.8023859176069903e-102,2.1800340410779977e-98,3.651446667185828e-55,7.846006540162456e-102,4.4057908032372776e-100,9.380411534531625e-113,3.76,0.0,0.9018854970463536,0.9999999999998145,2.202555440429998e-47,5.429289045003295e-63,1.355962018499567e-16,1.355962018499567e-16,1.8543182894199448e-13,3.1761294919822976e-38,5.277175546357542e-34,1.3548109115472802e-20,1.7937890081332077e-35,1.300842065575542e-34,2.0008675227352162e-54,4.397453211724354e-34,1.1811964480860973e-37,4.962937527816739e-41,4.111174087848069e-36,9.017803931310924e-41,1.057689218945586e-37,2.2102094227451463e-35,7.566773414401456e-35,4.8829462417334326e-39,1.4637596650380434e-43,7.487797008033169e-38,1.2988212186425433e-42,1.0826942998436823e-49,4.737679536179851e-38,1.0612257026260112e-50,5.363425467769551e-63,7.838292343586535e-24,2.9223892799404565e-67
