Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467)
0.0,0.5472483053943682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8684769169161985,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4913755071980513e-21,0.5472483053943682,1.9847040849915584e-28,1.4372745890563942e-32,1.2252735260393295e-43,2.6537304386160978e-43,0.0,0.0,5.9843657025986764e-24,9.698673318942055e-43,7.289265162372363e-55,8.480707885603549e-55,4.4360924847858696e-60,1.397428148567794e-79,7.251167805641604e-54,7.784271337502689e-41,1.7384058050327039e-59,4.1166186653435314e-40,4.772463059369002e-99,6.389757073581862e-86,4.875324949934466e-95,2.585920025414566e-94,2.5092708910987936e-28,4.7577512478506226e-82,1.7175573219348168e-66,1.6364716050881856e-105,9.442805587565164e-121,4.78644601789746e-97,4.024792313044708e-121,2.095013653011889e-116,7.660182459659872e-65,7.745411068306543e-119,5.6043663300247836e-117,5.968922099016228e-133,3.76,0.0,0.8684769169161985,0.9999999999999996,1.2144529824662334e-55,2.837144776721535e-75,3.0847793345920956e-20,3.0847793345920956e-20,4.2130748639727086e-16,4.0972595323081397e-44,4.1166186653435266e-40,5.9845641730071745e-24,4.913881855326389e-43,1.187133867724159e-39,1.6408304616159746e-65,3.1572987933372066e-40,1.588698828884631e-44,1.2040276039892024e-47,2.5992073852820722e-45,1.2370922021245672e-43,2.2465069586497682e-42,3.23182825556819e-41,8.7726099484277e-47,4.481203902781973e-50,1.0006442100185854e-44,1.1505060881612215e-50,2.145825709756725e-58,3.48878285456189e-45,1.0463101180626863e-59,2.5092708910995725e-28,1.9358994941247147e-73,8.049511701867888e-78,6.357671860166858e-61,6.48889928550419e-66,6.148249595413413e-68,7.31066194422272e-57,8.133806214129153e-78,3.3475643975417506e-74,1.0879030437219417e-70
6.975851420154544e-21,0.5472483053943682,5.557171437976442e-28,4.024368849402742e-32,7.400652097313064e-43,1.6028531849266094e-42,0.0,0.0,1.6756223967276282e-23,5.857998684640996e-42,8.653815600766071e-54,1.0068296401785509e-53,5.266530951104523e-59,1.6590266979788193e-78,4.379705354605963e-53,4.701699887850087e-40,2.0638353745923615e-58,2.486437673877147e-39,2.9033221752123304e-97,2.0090418600472084e-84,2.329001232482186e-93,1.2353250271802665e-92,7.025958495074099e-28,1.0642899231427512e-80,2.039084052611669e-65,7.817696043289674e-104,8.21570285675753e-119,2.2869925117494856e-95,4.5779110172438484e-119,1.6166085828988432e-114,9.094168616140018e-64,5.976739959851114e-117,4.324604581845929e-115,6.36038539049776e-131,3.76,0.0,0.8684769169161985,0.9999999999999988,1.44179858081216e-54,6.3465793881301925e-74,8.637382136857867e-20,8.637382136857867e-20,1.1796609619029734e-15,2.4747447576689672e-43,2.4864376738771425e-39,1.6756779684420068e-23,2.9679846406171375e-42,7.170288561053032e-39,1.9479939240304812e-64,1.9070084711756317e-39,9.595740926555544e-44,7.272326728103188e-47,1.569921260709551e-44,7.472036900832466e-43,1.3568902030244445e-41,1.9520242663631913e-40,5.2986564088513465e-46,2.7066759450574956e-49,6.043891028512123e-44,6.949056773186719e-50,2.5617221039205325e-57,2.1072248441553694e-44,6.3197185823501935e-59,7.025958495078801e-28,4.353585658539318e-72,1.81023027330785e-76,3.8400358420670187e-60,7.703621231688938e-65,9.291234784852726e-67,8.679403374885262e-56,1.8291870104999783e-76,7.528144021155787e-73,1.291558493506685e-69
1.5944803246067527e-20,0.5472483053943682,1.270210614394653e-27,9.198557370274799e-32,3.563095413775644e-42,7.717048115532911e-42,0.0,0.0,3.829994049663145e-23,2.820374201148344e-41,8.49636747325346e-53,9.885113111450131e-53,5.170712173793435e-58,1.6288422499679365e-77,2.1086395978782303e-52,2.2636661049434765e-39,2.0262858104037834e-57,1.1971127078961054e-38,1.3106984115878752e-95,4.482061872526459e-83,1.2127061132302742e-91,6.432311805567351e-91,1.6059333703014621e-27,2.1028575399540125e-79,2.0019848144798395e-64,4.070769898694921e-102,8.538595778648854e-117,1.190687202581372e-93,4.144365450071107e-117,1.761858150988917e-112,8.928708675076342e-63,6.5137454587246645e-115,4.713166984849072e-113,1.44747536229062e-128,3.76,0.0,0.8684769169161985,0.9999999999999972,1.415566396402178e-53,1.2539771388942918e-72,1.9742587741389409e-19,1.9742587741389409e-19,2.696367912876839e-15,1.191483072222551e-42,1.1971127078961012e-38,3.830121070724581e-23,1.4289568435289134e-41,3.4521852873405285e-38,1.9125519860595707e-63,9.181424891023995e-39,4.619936194532427e-43,3.501312272412972e-46,7.558495076387959e-44,3.597464123778363e-42,6.532842235753291e-41,9.398156567192376e-40,2.5510749730043036e-45,1.3031772765947766e-48,2.90987336273385e-43,3.3456717054122453e-49,2.521335353533659e-56,1.0145380541065787e-43,3.042677870941322e-58,1.605933370303726e-27,8.624181417417207e-71,3.5859531679707774e-75,1.8488140347239728e-59,7.56346100699262e-64,9.995086397148288e-66,8.521570993065055e-55,3.6235052809156483e-75,1.4912695087794713e-71,1.2680597877622841e-68
3.38827068978935e-20,0.5472483053943682,2.6991975555887986e-27,1.9546934412736354e-31,1.5560973781250001e-41,3.3702376570809886e-41,0.0,0.0,8.138737355534169e-23,1.2317315115056364e-40,7.514940811782798e-52,8.743270601722173e-52,4.573436701234685e-57,1.4406925240418153e-76,9.208983113140576e-52,9.886024598604599e-39,1.7922268528426822e-56,5.228105705131803e-38,4.948947811703422e-94,8.394405847842582e-82,4.839591751028595e-90,2.566966787306516e-89,3.412608411885531e-27,3.741922637154047e-78,1.7707328966900027e-63,1.624627084276143e-100,6.8345852477654865e-115,4.751516814848195e-92,3.141060202915969e-115,1.4413090126209592e-110,7.897341708812372e-62,5.328648713717281e-113,3.855663588716187e-111,2.446169640333009e-126,3.76,0.0,0.8684769169161985,0.9999999999999942,1.2520524468420415e-52,2.231385319577694e-71,4.1952998950452493e-19,4.1952998950452493e-19,5.729781814674414e-15,5.2035196083575426e-42,5.228105705131764e-38,8.139007275289707e-23,6.240629956264513e-41,1.507660012008313e-37,1.6916305727075866e-62,4.0097694675376345e-38,2.0176475128227015e-42,1.5291150570789598e-45,3.3009933792955156e-43,1.571107096698327e-41,2.8530638374849626e-40,4.1044218845716855e-39,1.1141214634518976e-44,5.691575167079493e-48,1.2708181467234007e-42,1.4611427330388123e-48,2.2325633581829253e-55,4.430754225293405e-43,1.3288220928860593e-57,3.412608411895418e-27,1.5364309625100307e-69,6.388512962202312e-74,8.074274859540017e-59,6.689795606982174e-63,9.187206400642937e-65,7.53726532404053e-54,6.4554134899828084e-74,2.656746621945699e-70,1.1215845219555505e-67
6.975851420154543e-20,0.5472483053943682,5.557171437977601e-27,4.024368850052922e-31,6.496400235555995e-41,1.4070078785889456e-40,0.0,0.0,1.675622396727616e-22,5.142236593703041e-40,6.31676056143889e-51,7.349245762302198e-51,3.844249252500174e-56,1.2109888746882446e-75,3.8445691705293446e-51,4.1272206631224916e-38,1.5064746597801594e-55,2.182631216495557e-37,1.717019897648481e-92,1.4499248560837662e-80,1.7200667078288136e-88,9.123402010111198e-88,7.025958495037529e-27,6.3112994586499475e-77,1.4884076943947198e-62,5.7748169731084105e-99,4.8658031341738585e-113,1.6887332563506915e-90,2.1840985149992654e-113,1.0373204410722198e-108,6.63819155698571e-61,3.8350673396459896e-111,2.7749492031069315e-109,3.5817313651985754e-124,3.76,0.0,0.8684769169161985,0.9999999999999881,1.0524255233898096e-51,3.763557488127688e-70,8.637382136857866e-19,8.637382136857866e-19,1.1796609617668932e-14,2.1723670061134947e-41,2.182631216495525e-37,1.675677968441988e-22,2.60534015969405e-40,6.294183766661175e-37,1.421917424748984e-61,1.6739998202268325e-37,8.42328119199402e-42,6.383754356464333e-45,1.378099755665111e-42,6.559062855665594e-41,1.1910979894758878e-39,1.7135153411023318e-38,4.65123779467058e-44,2.376335898746752e-47,5.305415601516718e-42,6.099983289097349e-48,1.877583657726362e-54,1.8497526694885375e-42,5.547610119961751e-57,7.025958495078802e-27,2.5928584811558126e-68,1.0781161288759584e-72,3.3708660576719874e-58,5.623176297701422e-62,7.859848500177797e-64,6.335538459456759e-53,1.0894061642867324e-72,4.483481137626633e-69,9.42759371240694e-67
1.415101288088493e-19,0.5472483053943682,1.1273119202757251e-26,8.163719668759399e-31,2.653991468761728e-40,5.7480862795537295e-40,0.0,0.0,3.399119719075994e-22,2.1007714355760947e-39,5.17886195083888e-50,6.025355698630576e-50,3.151747850771945e-55,9.928418443265084e-75,1.5706319513547086e-50,1.6861043087702857e-37,1.2350989435312822e-54,8.916760694982622e-37,5.718393143837352e-91,2.4090718338413667e-79,5.793658394227657e-87,3.0730130639201933e-86,1.4252658661276957e-26,1.036632831306618e-75,1.220286553778082e-61,1.945547127806971e-97,3.280463171443283e-111,5.688071802472407e-89,1.456364080877407e-111,7.031295307584164e-107,5.442390501376752e-60,2.5995335711794357e-109,1.880950964599598e-107,4.897714791540828e-122,3.76,0.0,0.8684769169161985,0.999999999999976,8.628420289441029e-51,6.181654475924095e-69,1.75215466204831e-18,1.75215466204831e-18,2.3930265221255442e-14,8.874828054962103e-41,8.916760694982361e-37,3.399232450267988e-22,1.0643664653911167e-39,2.5713794428348106e-36,1.165773813441501e-60,6.838835478315436e-37,3.441185212371477e-41,2.6079719514407403e-44,5.6299871647194924e-42,2.679591193490862e-40,4.8660239327118884e-39,7.000269274691583e-38,1.90018240528127e-43,9.709867025945355e-47,2.1674353846671151e-41,2.492042215385081e-47,1.5397463568164659e-53,7.556843214293743e-42,2.2664119855993945e-56,1.4252658661445567e-26,4.259931025167421e-67,1.7712884754121511e-71,1.3771212326064838e-57,4.61021966621701e-61,6.498674735564202e-63,5.1942622999225764e-52,1.7898374135242934e-71,7.366120717715679e-68,7.72931091665165e-66
2.85013358023457e-19,0.5472483053943682,2.2705014732324733e-26,1.6442421310763962e-30,1.0727857855217556e-39,2.323468378311054e-39,0.0,0.0,6.846114363772665e-22,8.491654027052837e-39,4.193976678808996e-49,4.879489262596042e-49,2.552367145832192e-54,8.040290666841332e-74,6.348745469741839e-50,6.815503200858532e-37,1.0002151466051227e-53,3.604297240109692e-36,1.866578763818148e-89,3.9273951074903676e-78,1.9015366964729816e-85,1.0085936574360297e-84,2.8706058993497546e-26,1.6804264912798286e-74,9.882196894899679e-61,6.388301314992156e-96,2.1542179389131973e-109,1.8668747212135191e-87,9.512836333695981e-110,4.6297204284576055e-105,4.407388932033698e-59,1.7116496491880098e-107,1.2385025892361872e-105,6.477696743643387e-120,3.76,0.0,0.8684769169161985,0.9999999999999517,6.987518457237651e-50,1.0020728291379887e-67,3.528987558773357e-18,3.528987558773357e-18,4.819757641881839e-14,3.5873474034553077e-40,3.60429724010948e-36,6.846341413919852e-22,4.302339430667307e-39,1.0393926836095759e-35,9.440738588520627e-60,2.7643666439049507e-36,1.3909820830985683e-40,1.0541839606963997e-43,2.275730827689252e-41,1.0831336033865548e-39,1.966924674630362e-38,2.8296207655067615e-37,7.680841095224984e-43,3.9263059911655e-46,8.761120367920846e-41,1.0073233112096691e-46,1.2470820315292169e-52,3.054596850744724e-41,9.161460221489034e-56,2.8706058994179103e-26,6.90645359230665e-66,2.871718246443184e-70,5.566644934618636e-57,3.7334754126813656e-60,5.284614369497768e-62,4.206450312789014e-51,2.901790887571041e-70,1.1942389457320178e-66,6.259396376222128e-65
5.720198164526725e-19,0.5472483053943682,4.556880579149242e-26,3.299982461313956e-30,4.3136244621614263e-39,9.342564160325223e-39,0.0,0.0,1.3740103653165672e-21,3.4144567366266324e-38,3.375677298759993e-48,3.927437464427244e-48,2.0543671389216655e-53,6.471525417918351e-73,2.5528026305240152e-49,2.740483861332096e-36,8.050601667508483e-53,1.449272068342935e-35,6.032460024321268e-88,6.342753589177838e-77,6.162042746549672e-84,3.2684077265051976e-83,5.761285965690568e-26,2.7062750601575912e-73,7.954051795532778e-60,2.0719952488954025e-94,1.3964527356304796e-107,6.0497067961730346e-86,6.1504617771968185e-108,3.0051910529307217e-103,3.547450047503218e-58,1.1110464208520437e-105,8.039226191251976e-104,8.427661104915235e-118,3.76,0.0,0.8684769169161985,0.9999999999999032,5.624162754660137e-49,1.613807399168251e-66,7.082653352223451e-18,7.082653352223451e-18,9.673219877550399e-14,1.442456619110801e-39,1.4492720683427642e-35,1.3740559341223045e-21,1.729951762695076e-38,4.1793522666080536e-35,7.598727741735467e-59,1.1115396693864124e-35,5.593077782064481e-40,4.23882734158748e-43,9.150613567534529e-41,4.3552325812740666e-39,7.908917608192487e-38,1.1377780646862455e-36,3.0884324228640743e-42,1.579894336389516e-45,3.5228079671285506e-40,4.050402758221444e-46,1.0038222309469102e-51,1.2282399590789344e-40,3.6839924375449894e-55,5.761285965964616e-26,1.112336773346369e-64,4.6251202086221247e-69,2.238404451879363e-56,3.005025815475613e-59,4.26223294023376e-61,3.385717976291681e-50,4.673554477271178e-69,1.923412176987293e-65,5.03810675876014e-64
1.1460327333111034e-18,0.5472483053943682,9.12963879099587e-26,6.611463129135658e-30,1.729956342028342e-38,3.7467860854780044e-38,0.0,0.0,2.7528082231950344e-21,1.3693498666972817e-37,2.708768439411483e-47,3.151521223699516e-47,1.6485002536591873e-52,5.192991585067879e-72,1.023788031678508e-48,1.0990565994816747e-35,6.460100829032654e-52,5.812229199798171e-35,1.939948738826519e-86,1.0195791147290169e-75,1.9842759483906302e-82,1.0524793656776107e-81,1.1542646097958974e-25,4.34417082304056e-72,6.382625641752742e-59,6.68392914868971e-93,8.994498987841908e-106,1.9481001078842237e-84,3.956338727081883e-106,1.936924569707339e-101,2.846605253854962e-57,7.160986087968801e-104,5.181492495204308e-102,1.0875450242296012e-115,3.76,0.0,0.8684769169161985,0.9999999999998062,4.513036413067833e-48,2.5905182801090057e-65,1.418998493912364e-17,1.418998493912364e-17,1.9380144333511393e-13,5.784896244516748e-39,5.812229199796801e-35,2.752899519582728e-21,6.937880308244195e-38,1.676107184980506e-34,6.09750046158388e-58,4.4577712224948767e-35,2.2430743499648964e-39,1.699959350421592e-42,3.669805311514751e-40,1.7466430576316533e-38,3.1718296958658935e-37,4.5629989230707574e-36,1.2385995351172285e-41,6.345258563620709e-45,1.4128035562517002e-39,1.62439268682435e-45,8.05528951742149e-51,4.925791579650773e-40,1.477613836317169e-54,1.1542646099058029e-25,1.7856058238835325e-63,7.424587388756733e-68,8.977652750243287e-56,2.4113439643227938e-58,3.4236572924884985e-60,2.716825775324216e-49,7.5023376756416e-68,3.087604227527599e-64,4.042763385022592e-63
