Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),S(130),C2H2F2(59),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),CHF3(42),S(1244),S(1385),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1542),CHO2(322),C2F(467),S(174),S(413),S(1894)
0.0,0.6471695061158793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.711539203455782,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.642290312875935e-22,0.6471695061158793,1.0742148610100596e-26,1.7494594921972029e-29,3.405969305382237e-42,6.063465025015268e-42,0.0,0.0,5.357449668592767e-23,9.656143075430359e-42,7.593866730561961e-54,8.834752638396032e-54,4.3367519799008006e-58,5.439680682146455e-73,3.917734279051495e-49,4.767155210541407e-39,4.8545399028709585e-56,9.527095004910462e-39,1.589709532127432e-95,1.0343654296550401e-79,6.684302399710219e-92,3.8144534764980966e-91,9.562889390732165e-26,3.289666854165462e-79,3.470323497230482e-63,3.098930962802376e-100,1.1788625906395748e-116,3.4785628496879725e-94,5.203263521372137e-116,4.565702791516948e-112,7.405203133699101e-62,8.225447734362225e-116,4.023357486715416e-114,9.715180487476753e-129,3.76,0.0,0.711539203455782,0.9999999999999996,1.2611811000715624e-54,4.631949620521273e-72,6.791988965010187e-19,6.791988965010187e-19,4.3011519082363276e-16,4.342500367131853e-43,9.527095004910458e-39,5.358523883453777e-23,1.4621024527204241e-39,8.00128141979021e-40,2.1180164013758158e-60,8.20960803708733e-39,4.833294599896729e-42,1.3018369960610136e-45,9.017426127669021e-42,3.0458046051562586e-40,7.844829011766515e-40,1.7690889484206898e-39,4.6304802843281586e-43,4.395957328868464e-48,2.958644611671304e-42,1.6357082281837214e-46,9.677348368828578e-57,1.962984681654185e-42,3.7461999043392085e-54,9.562889390732643e-26,1.0824872904087615e-72,6.459677846337931e-77,7.394263844131118e-57,4.9227179388828395e-62,8.563627973312326e-64,1.4568173352517267e-55,5.234915363860005e-77,3.591979463402692e-73,1.2350542048199362e-65,8.382234568042376e-58,6.955752306159127e-66,2.648020484037298e-79
1.2998412876052618e-21,0.6471695061158793,3.0078016108282073e-26,4.8984865781548344e-29,2.0572054604545892e-41,3.662332875111834e-41,0.0,0.0,1.5000859072059744e-22,5.832310417559936e-41,9.015438582800187e-53,1.0488618332303252e-52,5.148736734978076e-57,6.457988905843698e-72,2.366311504546957e-48,2.8793617471668554e-38,5.763309775451003e-55,5.75436538297139e-38,9.6709788710567e-94,3.2522104093041657e-78,3.1931714679701666e-90,1.8222101991647164e-89,2.677609029404852e-25,7.358853166100011e-78,4.119968055928856e-62,1.480396512523179e-98,1.0640904565320026e-114,1.7343614194226145e-92,5.918336873132766e-114,3.523105819887346e-110,8.79145716033512e-61,6.349845678969038e-114,3.105934159142982e-112,1.0356670878519804e-126,3.76,0.0,0.711539203455782,0.9999999999999988,1.497274202223198e-53,1.0361486027866891e-70,1.9017569102028526e-18,1.9017569102028526e-18,1.2043225343044311e-15,2.6228702220209223e-42,5.754365382971386e-38,1.500386687367057e-22,8.831098814431362e-39,4.832773977552885e-39,2.5145090717133646e-59,4.958603254400655e-38,2.9193099383439155e-41,7.863095456209618e-45,5.446525381111033e-41,1.839665981514391e-39,4.738276723106956e-39,1.0685297248460983e-38,2.796810091734493e-42,2.655167684176015e-47,1.7870213454494615e-41,9.879677698272566e-46,1.2076576918886892e-55,1.1856427477191138e-41,2.262704782832563e-53,2.67760902940514e-25,2.539796395879483e-71,1.515608234667809e-75,4.466136925461234e-56,5.844250737035657e-61,1.294135449664082e-62,1.7295768608491076e-54,1.2282471389411472e-75,8.420473884235555e-72,1.4662563519622272e-64,1.2667225092988398e-56,8.257957679316538e-65,6.068450741532782e-78
2.9710658002405985e-21,0.6471695061158793,6.874975110464662e-26,1.1196540750080757e-28,9.904558740107308e-41,1.7632556292783577e-40,0.0,0.0,3.4287677878993664e-22,2.8080064063351457e-40,8.851411061535655e-52,1.0297787675312808e-51,5.055123701684225e-56,6.340491803108129e-71,1.1392771283479561e-47,1.386288735225211e-37,5.658451714709244e-54,2.7704792274360105e-37,4.3659421449635516e-92,7.255502519312761e-77,1.662677763238672e-88,9.488210728701432e-88,6.1202492100675055e-25,1.453985378342168e-76,4.04500906842381e-61,7.708394014896899e-97,1.0806230856490056e-112,8.796627939196935e-91,5.357847881785387e-112,3.8396505154273595e-108,8.631504772662627e-60,6.920524377545759e-112,3.3850733026728455e-110,2.356992826119558e-124,3.76,0.0,0.711539203455782,0.9999999999999972,1.4700326905532318e-52,2.0472550335910606e-69,4.34687293760652e-18,4.34687293760652e-18,2.7527372212590638e-15,1.2627991071639407e-41,2.7704792274360055e-37,3.4294552854104107e-22,4.2517939325109943e-38,2.3267726368743895e-38,2.4687599174436383e-58,2.3873540171848534e-37,1.4055220696592254e-40,3.7857419845470334e-44,2.622267517924567e-40,8.857199791794558e-39,2.281276276621673e-38,5.144510662007391e-38,1.3465436666830553e-41,1.2783585775441427e-46,8.603738530740056e-41,4.756639527622594e-45,1.2114350346986883e-54,5.708359454250158e-41,1.089394991939307e-52,6.120249210068891e-25,5.1322858880104304e-70,3.0626607578282968e-74,2.1502542712819472e-55,5.737920029543075e-60,1.3921718586453905e-61,1.6981278009916083e-53,2.481976692456333e-74,1.7008988277097848e-70,1.4395791811381145e-63,1.3626820036082058e-55,8.107750616923003e-64,1.2118387403906485e-76
6.313514825511271e-21,0.6471695061158793,1.4609322109738212e-25,2.3792649093975235e-28,4.325581017893062e-40,7.70060058180987e-40,0.0,0.0,7.286131549286138e-22,1.226330170579652e-39,7.828972844934038e-51,9.108276580077391e-51,4.471224862969477e-55,5.608093196061971e-70,4.97552253439314e-47,6.054287117385202e-37,5.004836462214249e-53,1.209941065631871e-36,1.648496681883649e-90,1.358875323665183e-75,6.6353104843926665e-87,3.786495827287856e-86,1.3005529571390338e-24,2.587289294628208e-75,3.5777647128136455e-60,3.076217751640434e-95,8.576937352084786e-111,3.4776949086894365e-89,4.0607718985427226e-110,3.1410716782907783e-106,7.634468222766188e-59,5.661458008774643e-110,2.7692194004779433e-108,3.9832467276948457e-122,3.76,0.0,0.711539203455782,0.9999999999999941,1.3002272672416139e-51,3.642980948229788e-68,9.237104992413855e-18,9.237104992413855e-18,5.849566595140476e-15,5.514975470374437e-41,1.209941065631867e-36,7.2875924814971e-22,1.856870114954939e-37,1.0161627403127321e-37,2.1835901891623825e-57,1.0426202207099434e-36,6.138284141963655e-40,1.6533329849991306e-43,1.1452131182123277e-39,3.8681718485486116e-38,9.962932844943164e-38,2.2467429644943013e-37,5.880709961101169e-41,5.583012399524612e-46,3.757478656822457e-40,2.077349449859802e-44,1.0817268451947666e-53,2.492990545700594e-40,4.757674490591e-52,1.3005529571396395e-24,9.225201871482407e-69,5.5050837718932553e-73,9.390739317933517e-55,5.075125286231248e-59,1.27964578698195e-60,1.501982348177436e-52,4.4613134435031774e-73,3.0568101080055464e-69,1.273291483001154e-62,1.2525394335905437e-54,7.171229011862165e-63,2.166874122175366e-75
1.2998412876052617e-20,0.6471695061158793,3.007801610828788e-25,4.898486578193475e-28,1.805844925765522e-39,3.2148491562995256e-39,0.0,0.0,1.5000859072059634e-21,5.1196870585931415e-39,6.580723407184701e-50,7.656055280385647e-50,3.7583438988189615e-54,4.713940244250419e-69,2.07718271475107e-46,2.5275456926269082e-36,4.2068666107005574e-52,5.0512657716773936e-36,5.7194007932917534e-89,2.3471191932043355e-74,2.3582932709002126e-85,1.34577992255035e-84,2.6776090294026123e-24,4.3638415615742125e-74,3.0073268177213886e-59,1.0933360074854218e-93,6.084907722278937e-109,1.2311458307449468e-87,2.8236090063218285e-108,2.26065181617078e-104,6.417230552499768e-58,4.074605322309178e-108,1.9930336130037887e-106,5.832372307558527e-120,3.76,0.0,0.711539203455782,0.9999999999999879,1.092919362701287e-50,6.144419838775695e-67,1.9017569102028525e-17,1.9017569102028525e-17,1.204322534279188e-14,2.3023936983427402e-40,5.0512657716773596e-36,1.5003866873670411e-21,7.752067204323689e-37,4.242279408767148e-37,1.835439125169807e-56,4.3527341812623725e-36,2.5626127969502137e-39,6.902339753130219e-43,4.78103933287537e-39,1.6148856016539942e-37,4.159328342038327e-37,9.379709604526721e-37,2.4550806467547553e-40,2.3308685084415552e-45,1.5686733731080357e-39,8.67252502642837e-44,9.133111635719394e-53,1.0407744782128498e-39,1.9862357378327184e-51,2.6776090294051396e-24,1.5633706271061224e-67,9.329320256202709e-72,3.920460502455736e-54,4.265948602277353e-58,1.0947639114809545e-59,1.2625096539279941e-51,7.560470212972851e-72,5.179877044947351e-68,1.0702782130296662e-61,1.0715738188435224e-53,6.027856192737004e-62,3.6632724002773425e-74
2.6368208977135308e-20,0.6471695061158793,6.101540410539746e-25,9.936929915853595e-28,7.37746575466922e-39,1.3133707783092514e-38,0.0,0.0,3.0430314117606437e-21,2.0915592147104876e-38,5.3952746397746516e-49,6.2768966782316835e-49,3.081321373276374e-53,3.864773016504058e-68,8.485969157779492e-46,1.0325848872222942e-35,3.4490434157029376e-51,2.0636068865060366e-35,1.904799258780871e-87,3.899773643645198e-73,7.943381232203849e-84,4.532957419405138e-83,5.4317211739258156e-24,7.167622868781143e-73,2.4655882203748796e-58,3.682657041820267e-92,4.0958037954591125e-107,4.1392677841818394e-86,1.8827917844449485e-106,1.5323433191030547e-102,5.261233319754343e-57,2.7619043423609087e-106,1.3509451235859031e-104,7.975289843512717e-118,3.76,0.0,0.711539203455782,0.9999999999999755,8.960413249546429e-50,1.009222803596336e-65,3.8578497321257864e-17,3.8578497321257864e-17,2.4430542837649018e-14,9.406029526393942e-40,2.0636068865060093e-35,3.043641565801676e-21,3.166972396690548e-36,1.7331095606474797e-36,1.5048038873752843e-55,1.7782339392641375e-35,1.046910943587822e-38,2.8198310069604395e-42,1.9532105689451369e-38,6.597334606953897e-37,1.699221343264438e-36,3.831917425837343e-36,1.002980551509974e-39,9.52293644260811e-45,6.408542574663753e-39,3.5430094510816087e-43,7.504011486545732e-52,4.251903339848543e-39,8.114423475612617e-51,5.431721173936141e-24,2.573758720464522e-66,1.5358750477326778e-70,1.6016455934389652e-53,3.497482401842626e-57,9.051719724985137e-59,1.0350828813768393e-50,1.244671340473489e-70,8.527238035886743e-67,8.774787425276993e-61,8.85997941111195e-53,4.942003125735198e-61,6.023828140775551e-73
5.310780117930069e-20,0.6471695061158793,1.228901800996576e-24,2.001381659144671e-27,2.982089613749986e-38,5.308854675975786e-38,0.0,0.0,6.1289224208699265e-21,8.45441675740665e-38,4.3692332852262614e-48,5.083193669559406e-48,2.495335522652157e-52,3.1297933897623126e-67,3.430164412540822e-45,4.173873210264166e-35,2.7931247805553537e-50,8.341428977872195e-35,6.217582031183684e-86,6.357615291186407e-72,2.6070972569577782e-82,1.487762013249412e-81,1.0939945462956405e-23,1.1619025544454666e-71,1.9966972658321706e-57,1.2086850818901813e-90,2.6875739367498147e-105,1.3573547862709648e-84,1.229822293589278e-104,1.0089636194795482e-100,4.260683149144823e-56,1.8185631859838677e-104,8.895235908099591e-103,1.0548093340822484e-115,3.76,0.0,0.711539203455782,0.9999999999999507,7.256374963900096e-49,1.6359936550113485e-64,7.770035375971654e-17,7.770035375971654e-17,4.9205177825580616e-14,3.802067537056133e-39,8.341428977871975e-35,6.130151322670836e-21,1.280140878274462e-35,7.005505944495332e-36,1.2186292026718608e-54,7.18790589764647e-35,4.231781420940313e-38,1.1398207782374515e-41,7.895189411125665e-38,2.6667481304363673e-36,6.868524351592201e-36,1.5489222906119966e-35,4.0542077520105675e-39,3.8497904946225604e-44,2.590435372458961e-38,1.4321410681864715e-42,6.083379456783955e-51,1.7186873120515696e-38,3.279981642457942e-50,1.093994546299814e-23,4.17690432093625e-65,2.492542549629435e-69,6.474184832294154e-53,2.832351927264993e-56,7.360708152613672e-58,8.382374281697995e-50,2.0199535638578114e-69,1.3838427843357948e-65,7.106050358716248e-60,7.204788056614118e-52,4.002163231242155e-60,9.7704317715041e-72
1.0658698558363147e-19,0.6471695061158793,2.4663973208834192e-24,4.016758994372446e-27,1.1990851181299954e-37,2.1346671161225182e-37,0.0,0.0,1.2300704439088182e-20,3.399483794277354e-37,3.5167390626442273e-47,4.0913964931019885e-47,2.0084637514925395e-51,2.5191300059362414e-66,1.379254023865713e-44,1.6782960604798244e-34,2.2481498197664947e-49,3.3540519052745137e-34,2.0094150742159082e-84,1.0267565677312343e-70,8.448453701722047e-81,4.82118127912575e-80,2.195639404095432e-23,1.8712082445784575e-70,1.6071156687305572e-56,3.9168169662581186e-89,1.7415416585687776e-103,4.39669061411634e-83,7.951335210393774e-103,6.549268985210503e-99,3.429368469685456e-55,1.1804453383406448e-102,5.773975763797133e-101,1.3723364433249485e-113,3.76,0.0,0.7115392034557819,0.9999999999999012,5.840561861297613e-48,2.6347173465358304e-63,1.5594406663663393e-16,1.5594406663663393e-16,9.875444779431309e-14,1.5287946450157644e-38,3.354051905274336e-34,1.2303170836408714e-20,5.147390168900364e-35,2.8168831289310704e-35,9.808588006547537e-54,2.890225347881225e-34,1.7015806975503006e-37,4.5831692181955197e-41,3.174620937867093e-37,1.0722876944645048e-35,2.7618034329068675e-35,6.228148406474262e-35,1.6301791060412653e-38,1.548359648668454e-43,1.0416026701168219e-37,5.758576249029578e-42,4.899004022717278e-50,6.910766091139555e-38,1.3188677487595184e-49,2.195639404112213e-23,6.730558394597503e-64,4.016420270132261e-68,2.603303380967712e-52,2.279723239947495e-55,5.936677784965394e-57,6.7468659673264116e-49,3.2549022840747857e-68,2.2298682016436116e-64,5.719567541103812e-59,5.810922555642235e-51,3.2212895364292953e-59,1.5739429720852983e-70
2.1354535439229302e-19,0.6471695061158794,4.941388360663665e-24,8.047513665264596e-27,4.8088676288131535e-37,8.56096988968659e-37,0.0,0.0,2.464426847552346e-20,1.3633450471340002e-36,2.8219616212629427e-46,3.2830880185407697e-46,1.6116659253390154e-50,2.0214431804726e-65,5.531425522094637e-44,6.730717838734518e-34,1.8039986468362647e-48,1.3451248278211232e-33,6.4619777396609304e-83,1.65048119504822e-69,2.720536707057218e-79,1.5524971911175902e-78,4.398929119669707e-23,3.003703642997085e-69,1.2896091122731355e-55,1.2612781677587295e-87,1.1215118378219203e-101,1.4155016858150685e-81,5.114766483320384e-101,4.2211758874995243e-97,2.751852223156514e-54,7.608281711375696e-101,3.7214797478689345e-99,1.7709278543435034e-111,3.76,0.0,0.7115392034557818,0.999999999999802,4.686683067936058e-47,4.229304843073711e-62,3.1243149239046854e-16,3.1243149239046854e-16,1.978529877032552e-13,6.131150380576909e-38,1.3451248278209802e-33,2.4649209863882715e-20,2.064333680381251e-34,1.1296961228657511e-34,7.870774151956538e-53,1.1591096329854816e-33,6.82409964967803e-37,1.8380558437833107e-40,1.2731649844428155e-36,4.300353247199121e-35,1.1076067012726332e-34,2.497766071742518e-34,6.53774733074165e-38,6.212629153396016e-43,4.177292575346953e-37,2.309446635845582e-41,3.932169878131214e-49,2.7715262941103737e-37,5.2892620327093856e-49,4.3989291197370086e-23,1.080706231571863e-62,6.449049484331495e-67,1.0440909288154069e-51,1.8293343278397955e-54,4.76866244748064e-56,5.4139357935811223e-48,5.2263021500349956e-67,3.580417722754446e-63,4.589592745953368e-58,4.667648998180105e-50,2.584882138434227e-58,2.5268833800783304e-69
