Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),S(1228),CHF3(42),S(1335),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1568),CHO2(322),S(174),CF2CF2(61),C2F(467),S(512)
0.0,0.6960931834515631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.8802640468766909,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3884083818219087e-22,0.6960931834515631,2.768970015560631e-26,6.84777719722723e-29,7.51196855227153e-42,1.6674578369157968e-41,0.0,0.0,1.0140140441597423e-22,2.3646755212802884e-41,1.3903926034334577e-53,1.6175100425617605e-53,1.2525951974078784e-57,1.2442798354806904e-71,3.9372976858296815e-48,1.267373951868247e-38,3.36129915300612e-55,2.1204737629278314e-38,1.0712645322919004e-94,2.478154740650044e-78,3.768892480079886e-91,2.1811989812034275e-90,3.7321834903002693e-25,2.218163243942881e-78,2.2740827900360587e-62,4.668275965264129e-99,1.5990646465794416e-115,2.463032785602412e-93,1.127560625486151e-114,5.494589151773668e-111,4.195485610849293e-61,4.453404230303679e-115,1.9954551339531172e-113,1.0493806085894481e-127,3.76,0.0,0.8802640468766909,0.9999999999999996,2.3137055784928938e-54,3.678056869113413e-71,1.5442398682720476e-18,1.5442398682720476e-18,4.3300719468168104e-16,8.028696187521051e-43,2.1204737629278312e-38,1.0142909411612981e-22,8.605106054334207e-39,8.829693994576842e-40,2.532877874062189e-59,1.8651391375458432e-38,1.7781510578740619e-41,5.043811922533101e-45,1.6593884491204105e-39,4.1850273926333465e-44,5.442167716191871e-41,3.761463681231456e-39,4.584039601024176e-39,2.9472792826098314e-42,1.2887594189007866e-47,1.0516722137845054e-41,1.2186108461170567e-45,2.511258596091885e-56,1.0367567252075288e-41,5.275305066634404e-53,1.7916714316968878e-72,3.732183490300397e-25,1.1440681615089717e-76,5.193125859859988e-56,3.189849859102651e-61,6.651150188601631e-63,3.814948496717874e-55,8.698046360016497e-77,6.83680925923173e-73,4.075999261675075e-57,4.540545926384943e-101,1.3852327202430157e-64,2.0462055707563445e-49
9.487543469101344e-22,0.6960931834515631,7.753116043569871e-26,1.9173776152244435e-28,4.53722900557882e-41,1.0071445334976234e-40,0.0,0.0,2.8392393236472774e-22,1.4282640148532934e-40,1.6506740990116549e-52,1.9203079225292573e-52,1.4871785312717852e-56,1.477209020682586e-70,2.378127802241027e-47,7.654938669283935e-38,3.9905343560183555e-54,1.2807661528093443e-37,6.517024952391494e-93,7.7917150093622e-77,1.8004451644438464e-89,1.0419849277085965e-88,1.0450113772840346e-24,4.961942450173594e-77,2.699791088342057e-61,2.230091449204089e-97,1.5070307334974132e-113,1.308800819288047e-91,1.2825188618365268e-112,4.239882628006221e-109,4.980880517203564e-60,3.4398842492037e-113,1.5413230507092842e-111,1.1193033216067412e-125,3.76,0.0,0.8802640468766909,0.9999999999999988,2.7468312635094137e-53,8.227666097023935e-70,4.323871631161734e-18,4.323871631161734e-18,1.2124201451074411e-15,4.849332497841567e-42,1.2807661528093434e-37,2.840014635251633e-22,5.197484056817861e-38,5.3331351727240046e-39,3.0070326120866253e-58,1.1265440390776677e-37,1.0740032389576796e-40,3.0464624012102594e-44,1.0022706232687333e-38,2.527756545152516e-43,3.2870693005793647e-40,2.2719240634637884e-38,2.768759919018607e-38,1.780156686696558e-41,7.784135844939742e-47,6.352100171258397e-41,7.36040951056425e-45,3.2119588930774632e-55,6.262010620253376e-41,3.186284287660654e-52,4.304029073136281e-71,1.0450113772841112e-24,2.748329041625489e-75,3.13664905255254e-55,3.786989752724192e-60,1.0051218002633308e-61,4.529224685952884e-54,2.0894815729413824e-75,1.6393814511433988e-71,6.158326050171496e-56,2.169073275599031e-99,1.644548285472507e-63,1.2359194389817528e-48
2.1685813643660214e-21,0.6960931834515631,1.7721408099588757e-25,4.382577406231159e-28,2.184480455010786e-40,4.848967389758366e-40,0.0,0.0,6.489689882622341e-22,6.876476415883068e-40,1.6206416188678878e-51,1.8853697056097858e-51,1.4601634304312348e-55,1.4503325762360127e-69,1.1449661670391197e-46,3.6855234520324437e-37,3.91793029497258e-53,6.166337702607876e-37,2.942096584163082e-91,1.7382887564242926e-75,9.374880644146848e-88,5.425593915983161e-87,2.3885974337918854e-24,9.803962122739732e-76,2.6506709001007965e-60,1.161203996054968e-95,1.4884043357655355e-111,6.388638257974107e-90,1.1610594520812282e-110,4.620825031289559e-107,4.8902580280159215e-59,3.749146040415678e-111,1.6798952597165714e-109,2.5474157415841944e-123,3.76,0.0,0.8802640468766909,0.9999999999999972,2.6968552233174018e-52,1.6256481730382423e-68,9.883135156941105e-18,9.883135156941105e-18,2.7712460459538955e-15,2.334744852182701e-41,6.166337702607868e-37,6.491462023432295e-22,2.5023648406003877e-37,2.5676750136223334e-38,2.95232245000687e-57,5.4238246119829875e-37,5.170863276323464e-40,1.4667405070730168e-43,4.825501610042232e-38,1.2170059657806051e-42,1.582582371867808e-39,1.0938336385020906e-37,1.3330387159778355e-37,8.570688153832691e-41,3.74775582233197e-46,3.0582627976853153e-40,3.543720340534238e-44,3.2545646362747095e-54,3.0148885569033485e-40,1.5340587537146714e-51,8.789557064434287e-70,2.3885974337922542e-24,5.612553849594896e-74,1.5101625498427166e-54,3.7180889957623756e-59,1.0812641608031742e-60,4.446871287296194e-53,4.267075618759683e-74,3.3452138321953396e-70,6.624390351316133e-55,1.1294319576541817e-97,1.614627258715256e-62,5.950534913433259e-48
4.608235399277796e-21,0.6960931834515631,3.765799221162818e-25,9.312976988257696e-28,9.540200061490503e-40,2.1176714528905317e-39,0.0,0.0,1.3790591000572446e-21,3.003137912025956e-39,1.4334391587435696e-50,1.667588153479046e-50,1.2915149881845953e-54,1.2828027391865836e-68,5.000368061002125e-46,1.6095649188722403e-36,3.465364977027469e-52,2.69300167893242e-36,1.1108796900741841e-89,3.2556224606388464e-74,3.741268765565089e-86,2.165212104879448e-85,5.0757695468069306e-24,1.7445626773775625e-74,2.34448839328848e-59,4.6340603365504276e-94,1.1692075853665441e-109,2.4898130409513155e-88,8.79979741859466e-109,3.780119753824733e-105,4.325377845381962e-58,3.0670839748323685e-109,1.3742809128818328e-107,4.305103275173854e-121,3.76,0.0,0.8802640468766909,0.9999999999999941,2.3853379042361852e-51,2.8927540661147972e-67,2.1001662208499846e-17,2.1001662208499846e-17,5.8888978476265434e-15,1.0196444166873454e-40,2.6930016789324134e-36,1.3794356799793585e-21,1.092848468900444e-36,1.1213711373106263e-37,2.6112957730431176e-56,2.368726704682885e-36,2.2582518435263726e-39,6.4056411416210385e-43,2.1074233303830014e-37,5.314984788672945e-42,6.911552999555534e-39,4.777058875163775e-37,5.821730293300753e-37,3.743044688917897e-40,1.6367693419114313e-45,1.335623711506295e-39,1.5476357745953603e-43,2.918754705770842e-53,1.3166810410134108e-39,6.699637847792174e-51,1.587224867129603e-68,5.075769546808539e-24,1.0135192220573028e-72,6.595285856573923e-54,3.288607610724354e-58,9.938680471641002e-60,3.933227800003902e-52,7.705517447965313e-73,6.038707479190271e-69,6.088790807947262e-54,4.5072664564420775e-96,1.4281195252617317e-61,2.598855825656827e-47
9.487543469101344e-21,0.6960931834515631,7.7531160435713585e-25,1.9173776152363177e-27,3.982845726509458e-39,8.840861451394776e-39,0.0,0.0,2.8392393236472566e-21,1.2537509613827999e-38,1.2048919841270273e-49,1.4017083227225664e-49,1.085602895468166e-53,1.0782729969491296e-67,2.0875552330254828e-45,6.719616692801541e-36,2.912848067203286e-51,1.1242751891169499e-35,3.854157700496847e-88,5.623278184625793e-73,1.3297055164511907e-84,7.695502944466893e-84,1.0450113772834392e-23,2.942459946054493e-73,1.9706837606527885e-58,1.6470176349473467e-92,8.259653297043036e-108,8.760323748816718e-87,6.118833529820153e-107,2.7205789898438033e-103,3.635740702629748e-57,2.207418874959063e-107,9.890872421673217e-106,6.303674145063539e-119,3.76,0.0,0.8802640468766909,0.9999999999999879,2.0050202359506804e-50,4.879052546518932e-66,4.323871631161733e-17,4.323871631161733e-17,1.2124201450890793e-14,4.256814726439811e-40,1.124275189116944e-35,2.840014635251603e-21,4.5624272300079954e-36,4.681503755918948e-37,2.1949514396162417e-55,9.88896770726503e-36,9.427756909084106e-39,2.6742290813306353e-42,8.798077557237138e-37,2.2189015235996664e-41,2.885437323117602e-38,1.994328043788761e-36,2.4304577964630602e-36,1.5626474756428028e-39,6.833406358178856e-45,5.575966077485206e-39,6.4610747063529195e-43,2.4692998254134167e-52,5.496884157048962e-39,2.796967116613746e-50,2.6956219135319704e-67,1.045011377284111e-23,1.7212839096326874e-71,2.753409743993875e-53,2.764272850271374e-57,8.502750380966723e-59,3.306123090833032e-51,1.3086464380577562e-71,1.0254021902029904e-67,5.209025696692364e-53,1.6019530931717703e-94,1.2004205116390601e-60,1.0850554693316557e-46
1.9246159608748442e-20,0.6960931834515631,1.5727749688391066e-24,3.88953744807838e-27,1.6271224363767339e-38,3.6117803731300034e-38,0.0,0.0,5.7595997708272445e-21,5.12198176611388e-38,9.878432451001446e-49,1.1492051706170737e-48,8.900455205309347e-53,8.840333494084452e-67,8.528344279402545e-45,2.7451826747013903e-35,2.3881288324037743e-50,4.5930309895587774e-35,1.2835954318466252e-86,9.343160806993815e-72,4.478814392626131e-83,2.592057332976668e-82,2.1198802224878802e-23,4.832999297100142e-72,1.615685610797247e-57,5.547609072040557e-91,5.548855699860743e-106,2.936936979396952e-85,4.080058350553409e-105,1.8440968171696824e-101,2.980799890249786e-56,1.4962656687590383e-105,6.704379044140864e-104,8.619776598494125e-117,3.76,0.0,0.8802640468766909,0.9999999999999755,1.6438367276720114e-49,8.013858458688882e-65,8.77128245178523e-17,8.77128245178523e-17,2.4594808657095112e-14,1.739047715605678e-39,4.5930309895587277e-35,5.761172545796038e-21,1.8639003917930066e-35,1.9125470379965004e-36,1.7995538035776144e-54,4.039965977487232e-35,3.851546317596791e-38,1.0925098376713881e-41,3.594301756333386e-36,9.064936733754035e-41,1.1787952959918198e-37,8.147480792093256e-36,9.929213137402754e-36,6.383924817330198e-39,2.7918464366104886e-44,2.277964081945586e-38,2.6395598373268323e-42,2.03081266351003e-51,2.2456565370673688e-38,1.1426524915134208e-49,4.442378654555389e-66,2.119880222490625e-23,2.8366718864285414e-70,1.1248640368369663e-52,2.26631789295784e-56,7.030238439077925e-58,2.710562692730927e-50,2.1566462913450222e-70,1.6897287475338108e-66,4.306898534827357e-52,5.395819210773464e-93,9.841772617941771e-60,4.4334947155486346e-46
3.8763391888042634e-20,0.6960931834515631,3.1677016978040982e-24,7.833857113846365e-27,6.577089042666505e-38,1.4599393742427648e-37,0.0,0.0,1.1600320665187072e-20,2.07038692330585e-37,7.999810714491813e-48,9.306561423207091e-48,7.207830066061463e-52,7.159131264618066e-66,3.4472931142229505e-44,1.109646728807619e-34,1.9339686449186426e-49,1.8565765622715154e-34,4.1898692765627666e-85,1.5231710207426336e-70,1.4699917297321776e-81,8.507391707812454e-81,4.2696179128925577e-23,7.834500128844552e-71,1.3084240972901614e-56,1.8207808936137833e-89,3.6376544179485033e-104,9.617579205827661e-84,2.665056627163396e-103,1.2142360845195502e-99,2.4139290336335548e-55,9.852102054892554e-104,4.414471838282967e-102,1.1400502525843801e-114,3.76,0.0,0.8802640468766908,0.9999999999999505,1.3312216014211604e-48,1.299080990226056e-63,1.7666104093032223e-16,1.7666104093032223e-16,4.953602306820702e-14,7.029508943857715e-39,1.856576562271475e-34,1.1603488366884695e-20,7.534183395660206e-35,7.7308209175241e-36,1.457325326720123e-53,1.6330188415978767e-34,1.5568566025832572e-37,4.416099441174894e-41,1.45287423785098e-35,3.664192363741333e-40,4.764879059525325e-37,3.2933420031737467e-35,4.013546704597802e-35,2.5804844813518594e-38,1.128652041855004e-43,9.207895034344286e-38,1.0669522892634446e-41,1.6471304684835585e-50,9.077302772410575e-38,4.618785371378311e-49,7.213127245971953e-65,4.2696179129036514e-23,4.6059277839282157e-69,4.546931340586765e-52,1.8353229879348847e-55,5.716873142293037e-57,2.195085235272903e-49,3.5017645574932575e-69,2.7435217392686487e-65,3.5022886131257114e-51,1.7709618931191863e-91,7.970122631195423e-59,1.7926465443298254e-45
7.779785644663102e-20,0.6960931834515631,6.357555155738284e-24,1.5722496445717778e-26,2.6446185772385756e-37,5.870352013555242e-37,0.0,0.0,2.3281762453906132e-20,8.324934759687585e-37,6.438943630820102e-47,7.490730285924527e-47,5.801492970854746e-51,5.762291672083803e-65,1.3861413994790883e-43,4.461840692488165e-34,1.556626216906435e-48,7.465212702047942e-34,1.3540933502959934e-83,2.459925267094643e-69,4.763595618627444e-80,2.75687087522831e-79,8.569093293685092e-23,1.2617220933860564e-69,1.0531335441260899e-55,5.90034907836082e-88,2.3561211960607842e-102,3.113178063903824e-82,1.7230748492671652e-101,7.881709980473348e-98,1.9429400934336734e-54,6.3950891049343305e-102,2.8654738451594946e-100,1.4832380983369535e-112,3.76,0.0,0.8802640468766906,0.9999999999999006,1.0714829584875161e-47,2.0921298863326556e-62,3.5455747375526205e-16,3.5455747375526205e-16,9.941845188524395e-14,2.8265346515946955e-38,7.4652127020476145e-34,2.3288120009061155e-20,3.029462006852575e-34,3.1085290895345817e-35,1.1729822073822344e-52,6.566296939278514e-34,6.26005192661537e-37,1.7756941625956404e-40,5.841943410670447e-35,1.4733556338287058e-39,1.9159369131148174e-36,1.3242383348313727e-34,1.6138294776991971e-34,1.037601460577268e-37,4.539410822542953e-43,3.7024540955155435e-37,4.290168229546318e-41,1.3267627871810933e-49,3.6499435213544574e-37,1.8571943341513137e-48,1.162598689879409e-63,8.569093293729699e-23,7.423750371510865e-68,1.8283421509933456e-51,1.4772276101142352e-54,4.610865296858255e-56,1.7667960809742245e-48,5.644080227198834e-68,4.421874532641286e-64,2.824718767524173e-50,5.738907332426619e-90,6.415048078583828e-58,7.212633059666408e-45
1.558667855638078e-19,0.6960931834515632,1.273726207162346e-23,3.149977511080236e-26,1.0606103331467858e-36,2.3542737155002453e-36,0.0,0.0,4.6644646031341894e-20,3.338671180442091e-36,5.166846753206806e-46,6.010839304710448e-46,4.6553344496240225e-50,4.623876170354132e-64,5.559046978772413e-43,1.7893976783812854e-33,1.2490945061744668e-47,2.9938841836069883e-33,4.3545612847010156e-82,3.954258021973443e-68,1.5339536908937005e-78,8.87756348971056e-78,1.7168044055202877e-22,2.025343389350763e-68,8.450733456137247e-55,1.9000066193352826e-86,1.5169457710485863e-100,1.0019418156252465e-80,1.1083830932287687e-99,5.0799690760538495e-96,1.5590870630250717e-53,4.1218046874637224e-100,1.846873957709326e-98,1.9140411312538147e-110,3.76,0.0,0.8802640468766902,0.9999999999998008,8.597975945457609e-47,3.358331804447417e-61,7.103503394051415e-16,7.103503394051415e-16,1.9918330949857018e-13,1.1335668329263096e-37,2.9938841836067263e-33,4.665738329341065e-20,1.2149497607478137e-33,1.2466591972519907e-34,9.412443495848851e-52,2.6333787574523523e-33,2.5105608107750216e-36,7.121327790715392e-40,2.342880594985697e-34,5.908815066642322e-39,7.68376394515156e-36,5.310788002741467e-34,6.472178008450291e-34,4.161245935580851e-37,1.8214296578385375e-42,1.4848496886079644e-36,1.720549343060978e-40,1.0650468535398652e-48,1.4637905997739906e-36,7.448188356149796e-48,1.866985624984034e-62,1.7168044055381773e-22,1.1921598869301209e-66,7.332799086681024e-51,1.185382124463686e-53,3.703697756054607e-55,1.4177427921112131e-47,9.063674972892637e-67,7.100901147790061e-63,2.268966181470769e-49,1.848019603737785e-88,5.147672077446758e-57,2.89618193747689e-44
