Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),S(1228),CHF3(42),S(1335),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1568),CHO2(322),S(174),CF2CF2(61),C2F(467),S(512),C2H3F2(66)
0.0,0.5314655498448011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.5015566270286422,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.797308498888796e-21,0.5314655498448011,2.9952502476986788e-28,6.614317710791325e-32,1.7587765137393173e-43,2.1874022444407707e-43,0.0,0.0,6.268046448000131e-24,6.772895454785664e-43,9.097764159057808e-55,1.0584800739871293e-54,8.720356440124201e-60,2.310471039260955e-78,4.724480165277054e-53,1.2870064159167838e-40,4.073211994175043e-59,5.5030898656331136e-40,1.3872794066023415e-98,5.794081056312406e-85,1.181655466355222e-94,6.364769830084396e-94,5.562027370585398e-28,5.591119022029667e-82,3.872070060167255e-66,1.0500053515019853e-104,3.7068813311811133e-120,9.604302413017483e-97,9.715908864917952e-121,5.758043551697702e-116,1.4823384744704072e-64,1.897732287724914e-118,1.2790594735749414e-116,1.710812566543685e-132,3.76,0.0,0.5015566270286422,0.9999999999999996,1.5072603317525853e-55,3.864976741421805e-75,3.728961797832715e-20,3.728961797832715e-20,4.35889891161849e-16,4.758499189426467e-44,5.503089865633108e-40,6.268345973024898e-24,1.7121817992718476e-42,7.955775227608216e-40,1.3181866401369129e-64,4.338967950887618e-40,3.632936009746269e-44,1.3885212433651533e-47,4.250363408647605e-43,9.634774100217365e-48,9.374347261751932e-45,3.2116796225561524e-42,5.228483398156463e-41,3.525125095333554e-46,8.448715205458272e-50,2.317345160960905e-44,5.809430797540107e-50,3.5887158083838516e-58,5.49601628701573e-45,1.0307639336065946e-58,2.3112650123926882e-73,5.562027370586688e-28,1.0378201956652012e-77,3.24028395411362e-60,3.1158700479506544e-65,3.2266344484127675e-67,6.370221240952704e-57,1.0155822467867266e-77,4.546842501953146e-74,2.0752496377405504e-60,5.0116794978141984e-108,9.063455275712611e-70,1.9275138311724213e-51,1.793297869046871e-59
5.032463796888629e-21,0.5314655498448011,8.386700693556432e-28,1.8520089590284443e-31,1.0623010143029878e-42,1.3211909556453227e-42,0.0,0.0,1.755053005440036e-23,4.09082885469054e-42,1.0800865609632053e-53,1.256627543837238e-53,1.0352816266162837e-58,2.7429912178095205e-77,2.85358601982657e-52,7.773518752135476e-40,4.835717285014811e-58,3.32386627885227e-39,8.439497622734379e-97,1.821751789401451e-83,5.644909961433223e-93,3.0405269250682185e-92,1.5573676637634949e-27,1.2507109607551454e-80,4.596921575452451e-65,5.016012013799366e-103,3.2257242290910265e-118,4.589812058919952e-95,1.1051145613025127e-118,4.4431699850513925e-114,1.7598322368959733e-63,1.4643948721684522e-116,9.869928158002051e-115,1.823027747004093e-130,3.76,0.0,0.5015566270286422,0.9999999999999988,1.789419465889896e-54,8.645798380937331e-74,1.0441093033931602e-19,1.0441093033931602e-19,1.2204916952461898e-15,2.874133510615701e-43,3.323866278852264e-39,1.7551368724469705e-23,1.0341578067601958e-41,4.8052882374747965e-39,1.5649511791705406e-63,2.620736642336063e-39,2.1942933499025974e-43,8.386668309932431e-47,2.5672194988231778e-42,5.819403556543428e-47,5.662105746095678e-44,1.9398544920239005e-41,3.1580039724865134e-40,2.1291755575819712e-45,5.103057820258564e-49,1.3996764772203645e-43,3.50889620191039e-49,4.2961429552026924e-57,3.319593837357485e-44,6.225816707769081e-58,5.21149992042176e-72,1.5573676637642724e-27,2.3401037259322453e-76,1.9571324789877762e-59,3.699160920907162e-64,4.876089976180342e-66,7.562892888485091e-56,2.289961025628671e-76,1.0252048512206804e-72,3.135086965014006e-59,2.394139436576074e-106,1.0760134103325995e-68,1.1646434278205771e-50,2.1290032301324212e-58
1.1502774392888294e-20,0.5314655498448011,1.9169601585272457e-27,4.233163334954564e-31,5.114522102020541e-42,6.360965726880217e-42,0.0,0.0,4.011549726720078e-23,1.9695579982516685e-41,1.0604353903791751e-52,1.2337643742385235e-52,1.0164460389289549e-57,2.693085043359202e-76,1.373878832061411e-51,3.742614657483158e-39,4.7477359082632546e-57,1.6002985329406315e-38,3.809992643311363e-95,4.064228027728343e-82,2.93929291380006e-91,1.5831960662134436e-90,3.559697517171736e-27,2.4711940956429675e-79,4.5132848621980836e-64,2.6118426687705315e-101,3.352146415519149e-116,2.3893504535399487e-93,1.0004560132960044e-116,4.842381521453438e-112,1.7278137258570227e-62,1.5959702609033668e-114,1.0756737896876636e-112,4.148787748186051e-128,3.76,0.0,0.5015566270286422,0.9999999999999972,1.7568626427374136e-53,1.708264066820578e-72,2.3865355506129374e-19,2.3865355506129374e-19,2.7896953033869215e-15,1.3837715645821678e-42,1.6002985329406263e-38,4.0117414227359264e-23,4.979024672282533e-41,2.3135394361876196e-38,1.536478347743578e-62,1.2617718801180306e-38,1.0564577916575386e-42,4.037819775716025e-46,1.2360056792347608e-41,2.8017923083599026e-46,2.7260601837137287e-43,9.339564342393056e-41,1.5204429721839134e-39,1.0251063777237549e-44,2.4569371359899163e-48,6.7388397280739835e-43,1.6893824762189128e-48,4.2335869036853625e-56,1.5982415362641491e-43,2.997465269296694e-57,1.0336858595211008e-70,3.55969751717548e-27,4.641527714172563e-75,9.42276029910253e-59,3.631858127829733e-63,5.245475086916779e-65,7.42536592679485e-55,4.542071125702998e-75,2.0334363570845166e-71,3.372228822708193e-58,1.2466234414296372e-104,1.0564363469370569e-67,5.611586327935914e-50,2.0902679961609593e-57
2.4443395584887626e-20,0.5314655498448011,4.0735403368706605e-27,8.995472086916785e-31,2.2336461725177604e-41,2.778000850487783e-41,0.0,0.0,8.524543169280149e-23,8.601577227577767e-41,9.379430937407955e-52,1.0912506170759353e-51,8.990351689287642e-57,2.382003222629403e-75,6.00008980988991e-51,1.6344981482113718e-38,4.199318645422711e-56,6.988924129502803e-38,1.43858072826157e-93,7.611849299103855e-81,1.1729946426674492e-89,6.318119896254722e-89,7.564357223981549e-27,4.397357857850481e-78,3.9919493493702937e-63,1.0423303717477498e-99,2.683069439637028e-114,9.534492565920377e-92,7.58256627213334e-115,3.9613678519344044e-110,1.528231673669801e-61,1.3056030513621833e-112,8.79968140066073e-111,7.011269703898837e-126,3.76,0.0,0.5015566270286422,0.9999999999999941,1.553925111669402e-52,3.039764635447346e-71,5.071388045052493e-19,5.071388045052493e-19,5.9281025195565866e-15,6.043293973611073e-42,6.988924129502755e-38,8.524950523313819e-23,2.1744708850752466e-40,1.010383453905366e-37,1.358997698515536e-61,5.51048929762636e-38,4.613828732616659e-42,1.7634219790841515e-45,5.397961528982843e-41,1.2236163107441475e-45,1.1905421022386377e-42,4.0788331206460706e-40,6.640173915658851e-39,4.4769088710814427e-44,1.0730392771439398e-47,2.9430283544200106e-42,7.377977115916521e-48,3.7507584027158416e-55,6.979940684509715e-43,1.3090740370837759e-56,1.8426195974239604e-69,7.564357223997894e-27,8.273857912744466e-74,4.1151756676124384e-58,3.2123373845059554e-62,4.821495320437302e-64,6.567681001224021e-54,8.096569370472227e-74,3.624724602799584e-70,3.099530717296412e-57,4.974946907238101e-103,9.344059851048569e-67,2.454531209371704e-49,1.8488183710724083e-56
5.032463796888629e-20,0.5314655498448011,8.386700693558326e-27,1.8520089591281147e-30,9.325033076465306e-41,1.1597606700457002e-40,0.0,0.0,1.7550530054400231e-22,3.5909891701273344e-40,7.883976855985651e-51,9.172618964327314e-51,7.556932932262235e-56,2.0022172350740844e-74,2.5049193836191385e-50,6.823708017164292e-38,3.5297803497887e-55,2.9177382468919853e-37,4.991104834365957e-92,1.3147576730963429e-79,4.1690066788946286e-88,2.245558767909646e-87,1.5573676637574488e-26,7.416786758762128e-77,3.355473961273818e-62,3.704694488328945e-98,1.910149108779702e-112,3.388592255553324e-90,5.272446456321036e-113,2.8510248969587963e-108,1.2845708046142684e-60,9.396520911308818e-111,6.333195239394489e-109,1.0266044464047766e-123,3.76,0.0,0.5015566270286422,0.9999999999999878,1.3061676873700676e-51,5.12700735961242e-70,1.04410930339316e-18,1.04410930339316e-18,1.2204916951448722e-14,2.52295627295698e-41,2.9177382468919456e-37,1.7551368724469517e-22,9.077987899739336e-40,4.218152025669978e-37,1.1423194513563778e-60,2.300520807559789e-37,1.9261826725815739e-41,7.361939632415307e-45,2.2535426792653056e-40,5.1083572280810866e-45,4.970278918146156e-42,1.7028325358790534e-39,2.7721418977026846e-38,1.8690213255528975e-43,4.479980816390628e-47,1.2286564043411673e-41,3.080160211592292e-47,3.155196144940316e-54,2.9139878353755044e-42,5.465144802994459e-56,3.1104318151537372e-68,1.5573676637642724e-26,1.3966675987631694e-72,1.7180120937689536e-57,2.7001631293987723e-61,4.1248907565638923e-63,5.520543083754281e-53,1.3667404274527898e-72,6.118694188604049e-69,2.651664738003583e-56,1.768174052453213e-101,7.854245326647945e-66,1.0278976126920696e-48,1.5540432405498351e-55
1.0208712273688361e-19,0.5314655498448011,1.7013021406937004e-26,3.756932460176957e-30,3.809580280344372e-40,4.738000757914275e-40,0.0,0.0,3.5602503824640166e-22,1.467036247088373e-39,6.463760556330385e-50,7.520267213221587e-50,6.195630438680447e-55,1.6415386581725486e-73,1.023341301710564e-49,2.7877073771099558e-37,2.893927191254416e-54,1.1919912773682301e-36,1.6622462968640765e-90,2.1844895377123024e-78,1.40423626774994e-86,7.56366037795698e-86,3.1592315464653606e-26,1.2182094523011222e-75,2.7510202828729e-61,1.247903156745837e-96,1.2877889102923383e-110,1.1413532476192698e-88,3.515684657040221e-111,1.932517403746751e-106,1.0531687561689737e-59,6.3692681420112815e-109,4.2928461561707476e-107,1.4037948214149584e-121,3.76,0.0,0.5015566270286422,0.9999999999999752,1.070875185431047e-50,8.421124984074031e-69,2.1180503011689822e-18,2.1180503011689822e-18,2.4758545813444206e-14,1.0307099607269175e-40,1.1919912773681974e-36,3.5604205126780583e-22,3.708654264494792e-39,1.7232527373941634e-36,9.365425022562132e-60,9.39837814033362e-37,7.869084716359799e-41,3.0075925540574583e-44,9.206457157669983e-40,2.086930609325706e-44,2.0305211142551213e-41,6.956626529639677e-39,1.13251041797439e-37,7.635561961555961e-43,1.830425147269715e-46,5.019462312445184e-41,1.258345950787304e-46,2.587798449031361e-53,1.1904591118325555e-41,2.2327049987640696e-55,5.110958917706424e-67,3.1592315464932384e-26,2.2949581097044414e-71,7.01869930561822e-57,2.2137568702596356e-60,3.410539445246809e-62,4.526079321501338e-52,2.245782769162791e-71,1.0054022122667907e-67,2.1924285067820754e-55,5.955697194438562e-100,6.439384852300993e-65,4.2252775244970016e-48,1.2740985399403799e-54
2.0561209227287826e-19,0.5314655498448011,3.4265662833707743e-26,7.566779462978518e-30,1.5398932594828423e-39,1.915175660616518e-39,0.0,0.0,7.170645136511913e-22,5.929995069646506e-39,5.23452088278489e-49,6.0901073653135404e-49,5.017382261943593e-54,1.3293605651335996e-72,4.136509159673078e-49,1.1268358934246534e-36,2.3435772696670076e-53,4.8182193266009116e-36,5.425848765436303e-89,3.5612692831576195e-77,4.608844035950486e-85,2.482469070442601e-84,6.362959311838487e-26,1.974770018560327e-74,2.2278475504488475e-60,4.096137113466702e-95,8.456635370417495e-109,3.7460073246822607e-87,2.296412909002443e-109,1.2724562016022954e-104,8.528833640659204e-59,4.1938122467032095e-107,2.826602740160681e-105,1.856653086421403e-119,3.76,0.0,0.5015566270286422,0.9999999999999502,8.672224894707047e-50,1.365100649046857e-67,4.265932296720626e-18,4.265932296720626e-18,4.9865803530280055e-14,4.1662944672055976e-40,4.818219326600646e-36,7.170987793140138e-22,1.4990973499888676e-38,6.965663088926912e-36,7.584363998311355e-59,3.798974711457994e-36,3.180809858947847e-40,1.2157169976506276e-43,3.7213971817170004e-39,8.435707194897403e-44,8.207690996090592e-41,2.811979670168271e-38,4.5777881822899804e-37,3.0864162270181855e-42,7.400543053005061e-46,2.0289469209868818e-40,5.086435534983239e-46,2.0960564242199768e-52,4.81202606806241e-41,9.02507203315528e-55,8.286735620065114e-66,6.36295931195117e-26,3.7209673213816624e-70,2.837118444037216e-56,1.7927577087247316e-59,2.7733940363710927e-61,3.66533820183565e-51,3.641236089703445e-70,1.6301239426378567e-66,1.7828388647573126e-54,1.9547194625777256e-98,5.2147808057196135e-64,1.7289289241590941e-47,1.0317980308786976e-53
4.126620313448676e-19,0.5314655498448011,6.877094568730276e-26,1.5186473471397145e-29,6.191843071179034e-39,7.700837100084062e-39,0.0,0.0,1.4391434644607344e-21,2.3844249364389726e-38,4.21319779942426e-48,4.9018482348942974e-48,4.03842578735258e-53,1.0699850345454503e-71,1.663272140045682e-48,4.530957567341984e-36,1.886314873265768e-52,1.9373848003059583e-35,1.7535405636391638e-87,5.751459404916679e-76,1.493523317990428e-83,8.044588651644533e-83,1.2770414842413936e-25,3.1803062366750744e-73,1.7931655275388167e-59,1.3276329478096346e-93,5.481929547547713e-107,1.213911450022146e-85,1.484730666682606e-107,8.259621838968712e-103,6.864747306989151e-58,2.7222394017861106e-105,1.8347720164549923e-103,2.4155565998137273e-117,3.76,0.0,0.5015566270286422,0.9999999999999,6.980161061682446e-49,2.1984525116107507e-66,8.561696287823915e-18,8.561696287823915e-18,1.0008031893533124e-13,1.675248688957241e-39,1.937384800305745e-35,1.4392122354063768e-21,6.02780451160851e-38,2.800862491935768e-35,6.104555970595787e-58,1.5275510229771187e-35,1.2789896551803333e-39,4.88834457864172e-43,1.4963574394699766e-38,3.391960761887214e-43,3.300276450692698e-40,1.1306846578381476e-37,1.8407084942552937e-36,1.241034390352371e-41,2.977070390916216e-45,8.158306332952136e-40,2.0452333654558224e-45,1.6872444056056192e-51,1.934894517907707e-40,3.6290394382441874e-54,1.3346852443036133e-64,1.2770414842867032e-25,5.993095961791333e-69,1.1408314219189344e-55,1.4429673698392694e-58,2.2368427639397713e-60,2.9501837893392076e-50,5.864678566664331e-69,2.6255231458883458e-65,1.4379211136806054e-53,6.334384723688502e-97,4.1973092681194916e-63,7.120862569213258e-47,8.304808196505019e-53
8.267619094888462e-19,0.5314655498448011,1.377815113947069e-25,3.0425861499496435e-29,2.4832060099081197e-38,3.088380106478349e-38,0.0,0.0,2.883301366079675e-21,9.562610455238026e-38,3.3808258960032295e-47,3.9334245007611498e-47,3.2405823802690922e-52,8.585956048717232e-71,6.670465197984202e-48,1.8171166364738338e-35,1.513648889842685e-51,7.769779568790888e-35,5.639123659773998e-86,9.245303015526091e-75,4.8093830572060387e-82,2.5904857257366637e-81,2.558532590288165e-25,5.105095843220433e-72,1.438902407162125e-58,4.276834213397576e-92,3.53088692960552e-105,3.9089811133303084e-84,9.550660840209104e-106,5.32354322978775e-101,5.508527389147191e-57,1.7545548215563108e-103,1.182558773435444e-101,3.117147851475275e-115,3.76,0.0,0.5015566270286422,0.9999999999997995,5.60113965666145e-48,3.529003164943174e-65,1.7153224270030486e-17,1.7153224270030486e-17,2.0050934963095158e-13,6.718496577949976e-39,7.769779568789176e-35,2.8834391475908897e-21,2.4174192093011257e-37,1.1232711308849295e-34,4.898521714895725e-57,6.126162816012897e-35,5.129320564249619e-39,1.9604448128025568e-42,6.001062594504829e-38,1.3603279749962965e-42,1.3235584651204247e-39,4.534551188999342e-37,7.382064338962507e-36,4.977102971671563e-41,1.195016853745435e-44,3.271845728675907e-39,8.202300610983247e-45,1.3539696699820304e-50,7.759792419529082e-40,1.455485465282871e-53,2.142570996127236e-63,2.5585325904698755e-25,9.62072041936403e-68,4.5755536472582925e-55,1.1578904385216403e-57,1.7967537535479492e-59,2.367336985558374e-49,9.414571893527075e-68,4.214753097429982e-64,1.155015230597183e-52,2.0397728502758757e-95,3.3680763503606402e-62,2.9912699419779553e-46,6.66408555913359e-52
