Time (s),Volume (m^3),H(5),O(6),OH(7),H2(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,CH3CF3(1),O2(2),H2O(3),CH4(4),CH2CF2(57),HF(38),O2(161),S(164),CF2O(49),S(125),C2HF(58),S(463),C2HF(468),C2H2F3(68),S(165),S(464),C2H2F2(59),S(162),S(130),C2H3F2(65),C2H2F3(67),CF2(43),CHFCF2(55),CF2CH(73),C2HF2(72),S(179),C2H3F2(64),CHF2(82),S(1228),CHF3(42),S(1335),CF2O2(181),CF2O2(276),CH2F2(41),S(203),S(1568),CHO2(322),S(174),CF2CF2(61),C2F(467),S(512),C2H3F2(66),S(413),S(1931)
0.0,0.7379256316643679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.6613974918934906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7467110649113268e-22,0.7379256316643679,7.252042409824884e-26,1.286718176267475e-27,1.6319729106230513e-41,2.7134037124793557e-41,0.0,0.0,2.119409508287689e-22,4.68996338084827e-41,2.9286863245543586e-53,3.405811596985506e-53,7.283633586021236e-57,4.751055475676305e-69,2.5597324052177765e-46,5.316946417491345e-38,5.0844105619377286e-54,6.114165417283754e-38,1.923522943150518e-93,5.490787498219676e-76,4.566189441454599e-90,2.7236628341770557e-89,3.1934607152784114e-24,2.008353596317903e-77,3.5596171938529824e-61,4.1863516671972734e-97,2.827960373784179e-113,7.651378666120216e-92,5.410270355232694e-113,1.5777110061099986e-109,4.777541526132243e-60,5.850252374521177e-114,2.127177446995641e-112,2.6040945843321833e-126,3.76,0.0,0.6613974918934906,0.9999999999999996,4.8455303225606204e-54,4.0930456542410943e-70,4.1591080814357965e-18,4.1591080814357965e-18,4.4154886891449274e-16,1.4870470550917543e-42,6.114165417283753e-38,2.1201347125286707e-22,1.8136943074376416e-37,6.4629281999454685e-40,2.409626289793987e-57,5.638024886837735e-38,1.5234908384418394e-40,2.6834305880073455e-44,2.805670423577237e-38,8.93674526992421e-43,1.201483518557094e-39,2.665386714919114e-38,1.8065207780373736e-38,7.076643587467996e-41,7.802298838063658e-47,8.054441295391326e-41,3.919080486159894e-44,1.2984322870093774e-55,9.101123948245318e-41,6.81820152919026e-51,3.8662044045969925e-72,3.1934607152784643e-24,2.8480988161168695e-76,1.6667760283590276e-54,8.635678725496292e-60,2.8673165002608978e-61,8.047964776547625e-55,1.839470723030944e-76,2.033976317010701e-72,6.337588419334686e-56,1.095944412540495e-98,1.2668117763614365e-62,1.097020878046702e-48,9.661186789113673e-55,2.5411160864196673e-63,9.204773853457998e-77
4.890790981751715e-22,0.7379256316643679,2.03057187475101e-25,3.6028108935494765e-27,9.857116380177717e-41,1.638895842338551e-40,0.0,0.0,5.934346623205525e-22,2.832737882032354e-40,3.476936413801924e-52,4.043379527941121e-52,8.650143458211828e-56,5.64045306072273e-68,1.5460783727515028e-45,3.211435636164714e-37,6.036212220946888e-53,3.6929559120409247e-37,1.1701729674683556e-91,1.7263914420402333e-74,2.1813234904561125e-88,1.3011264198403542e-87,8.941690002779379e-24,4.492606660820912e-76,4.225977532560899e-60,1.999870427682992e-95,2.7304181790447255e-111,4.474096637501048e-90,6.1537921793699614e-111,1.2174488154900598e-107,5.671897299826333e-59,4.5384217876288805e-112,1.6501897287771994e-110,2.789524141264171e-124,3.76,0.0,0.6613974918934906,0.9999999999999988,5.752613600867672e-53,9.155979409340756e-69,1.164550262802023e-17,1.164550262802023e-17,1.236336832959934e-15,8.981764214270294e-42,3.692955912040923e-37,5.9363771950802735e-22,1.0954713616923357e-36,3.903608632766814e-39,2.860708331243416e-56,3.4053670316499248e-37,9.201884664196942e-40,1.6207920751564927e-43,1.6946249358406588e-37,5.3977941430368193e-42,7.256960452084082e-39,1.6098935758111329e-37,1.0911385499345734e-37,4.274292726830991e-40,4.712605625701665e-46,4.864882542416353e-40,2.3671246136422566e-43,1.7703141243576473e-54,5.497078864740046e-40,4.118193732282302e-50,9.874919060618682e-71,8.941690002779701e-24,7.274510693835586e-75,1.0067330200081253e-53,1.02522777829065e-58,4.3330885259865e-60,9.55481569801982e-54,4.69830940203318e-75,5.162242370148002e-71,9.575703652251236e-55,5.235457972055185e-97,1.5039589408962969e-61,6.626017186394012e-48,1.1469760956035558e-53,3.0168599793389466e-62,2.0965160601932266e-75
1.1178950815432492e-21,0.7379256316643679,4.641307142288223e-25,8.234996328115666e-27,4.745777224113562e-40,7.890577995905271e-40,0.0,0.0,1.356422085304119e-21,1.3638413511506758e-39,3.413676793093665e-51,3.969813997446088e-51,8.494082712011921e-55,5.537830262447755e-67,7.443701834372787e-45,1.5461680182063954e-36,5.9263889535710115e-52,1.7779993033483775e-36,5.282720142552096e-90,3.8514843385311694e-73,1.1358106191264069e-86,6.774938292951521e-86,2.0438148577780624e-23,8.876633692817241e-75,4.149089801212722e-59,1.041328385592631e-93,2.64492941797114e-109,2.0655577021470995e-88,5.571004675985473e-109,1.3268254280085916e-105,5.568702402866229e-58,4.947539294874436e-110,1.7989467859271007e-108,6.350201716658681e-122,3.76,0.0,0.6613974918934906,0.9999999999999972,5.647950146708239e-52,1.8090672400902186e-67,2.6618291721189097e-17,2.6618291721189097e-17,2.8259127610482333e-15,4.324332838437498e-41,1.7779993033483755e-36,1.3568862160183464e-21,5.274223046028662e-36,1.8794195205437698e-38,2.8086604033838543e-55,1.639537637092312e-36,4.430311358200979e-39,7.803416149926187e-43,8.158889591762716e-37,2.598805524497705e-41,3.4939140719628824e-38,7.750944566984592e-37,5.253362422532682e-37,2.0578879552361776e-39,2.2689341933757373e-45,2.3422315286997852e-39,1.1396686053778187e-42,1.8383704185097143e-53,2.6466068441495494e-39,1.982733017422271e-49,2.0693607634664694e-69,2.0438148577782173e-23,1.5244263685432178e-73,4.846989173656764e-53,1.0065747122430115e-57,4.66133884787026e-59,9.381093863272685e-53,9.845647413918453e-74,1.0790097190263922e-69,1.0300533588320751e-53,2.726092111822883e-95,1.4765958065268882e-60,3.1901533378477076e-47,1.126107932139028e-52,2.9619915957203002e-61,4.175472441521092e-74
2.3755270482794046e-21,0.7379256316643679,9.862777677363328e-25,1.7499367197256785e-26,2.0726055965137265e-39,3.4460227148645975e-39,0.0,0.0,2.8823969312712466e-21,5.956253493677284e-39,3.019358466448373e-50,3.5112555240277204e-50,7.513444422649889e-54,4.898148153202096e-66,3.2508601546260523e-44,6.752521950213102e-36,5.2418239155297096e-51,7.764990079973533e-36,1.9946546111064532e-88,7.213403914039003e-72,4.532722019867393e-85,2.703700024157435e-84,4.3431065727780367e-23,1.5795495379673908e-73,3.66982294229572e-58,4.1556682288049566e-92,2.0637505859795796e-107,7.87306602967344e-87,4.222325780923118e-107,1.0854226079330526e-103,4.925454211794794e-57,4.047742872552352e-108,1.4717769576059505e-106,1.0732663261714819e-119,3.76,0.0,0.6613974918934906,0.999999999999994,4.9955479440977563e-51,3.2191384958544183e-66,5.656386990752683e-17,5.656386990752683e-17,6.005064617214499e-15,1.8885497622512744e-40,7.764990079973517e-36,2.8833832090389762e-21,2.3033917704458054e-35,8.207918813926892e-38,2.4842283197259732e-54,7.160291606282875e-36,1.9348333648335387e-38,3.407956846770175e-42,3.563201437943207e-36,1.1349666492841739e-40,1.5258840685663238e-37,3.385041127947077e-36,2.294281388107462e-36,8.987337356089358e-39,9.90918500076471e-45,1.0229140445146857e-38,4.977232217449119e-42,1.665837648516985e-52,1.1558427414269601e-38,8.65911607251808e-49,3.778271771940325e-68,4.3431065727787114e-23,2.7833218926106307e-72,2.1168101886441226e-52,8.903039338820095e-57,4.284573458046249e-58,8.297518604909833e-52,1.797633953303378e-72,1.967949450029003e-68,9.467757870317206e-53,1.0879117993293169e-93,1.3060322689575822e-59,1.3932336937568059e-46,9.960297132103331e-52,2.619856195461345e-60,7.457085739889566e-73
4.8907909817517156e-21,0.7379256316643679,2.0305718747516258e-24,3.6028108935574e-26,8.652720372325475e-39,1.4386466483707887e-38,0.0,0.0,5.934346623205481e-21,2.4866185845257337e-38,2.5379527216858305e-49,2.951421836961257e-49,6.315710695614607e-53,4.117188658331393e-65,1.3571701212459937e-43,2.819044990553094e-35,4.406068844711899e-50,3.2417305042646056e-35,6.920383458105311e-87,1.2459361414637492e-70,1.6110003990714619e-83,9.609373349602301e-83,8.941690002776881e-23,2.664141167604135e-72,3.084707306537428e-57,1.4769895765155106e-90,1.454196621220736e-105,2.743155533607243e-85,2.935943561528546e-105,7.811856085095476e-102,4.140141045906156e-56,2.9133039227079407e-106,1.0592900304007873e-104,1.5715706756798802e-117,3.76,0.0,0.6613974918934905,0.9999999999999877,4.1990590514904076e-50,5.429547592596861e-65,1.164550262802023e-16,1.164550262802023e-16,1.2363368329505696e-14,7.884323506572259e-40,3.241730504264593e-35,5.936377195080207e-21,9.616207218034376e-35,3.4266445316076185e-37,2.0881435887147667e-53,2.9892807950004257e-35,8.07754842552978e-38,1.422754897762252e-41,1.487566458580755e-35,4.7382623421477055e-40,6.370265615379044e-37,1.413188036249935e-35,9.57817316515413e-36,3.7520364300800316e-38,4.1370177727228273e-44,4.2704647748163637e-38,2.0778964737854234e-41,1.4160249081023378e-51,4.825415917357912e-38,3.615010567691808e-48,6.449367587697734e-67,8.941690002779697e-23,4.751025623309616e-71,8.837288196012224e-52,7.483541012623613e-56,3.665542791079734e-57,6.974583112264526e-51,3.068493441640296e-71,3.3575599216152395e-67,8.09978716599852e-52,3.866608927727314e-92,1.0977988164063904e-58,5.81655930314106e-46,8.372229892454919e-51,2.2021502307568097e-59,1.259948409522431e-71
9.921318848696336e-21,0.737925631664368,4.119160088783299e-24,7.308559241234829e-26,3.5349186034970274e-38,5.877340977499298e-38,0.0,0.0,1.203824600707387e-20,1.0158648281452424e-37,2.0807669781374003e-48,2.419753939336728e-48,5.178083954897044e-52,3.375520012159573e-64,5.544482778993923e-43,1.1516718618136033e-34,3.6123614424112236e-49,1.3243526860628704e-34,2.3047766295029213e-85,2.0701415335930812e-69,5.426293028510678e-82,3.236701595192147e-81,1.8138856862770158e-22,4.375859867731497e-71,2.5290294202580435e-56,4.9749076726579915e-89,9.758615594357641e-104,9.154319351594757e-84,1.9576968384014117e-103,5.295127493423453e-100,3.394337766241402e-55,1.9747692513620247e-104,7.180347318916151e-103,2.149036861389324e-115,3.76,0.0,0.6613974918934904,0.9999999999999749,3.442642306926312e-49,8.918048224881394e-64,2.362373390255532e-16,2.362373390255532e-16,2.507997575392277e-14,3.221003420511167e-39,1.3243526860628597e-34,1.2042365167162549e-20,3.9285344176822296e-34,1.3998960998180513e-36,1.711986274350037e-52,1.2212187425878037e-34,3.2999420957924704e-37,5.812417990853832e-41,6.07719436428612e-35,1.9357347724752314e-39,2.6024613605263755e-36,5.773334239981878e-35,3.9129962660600517e-35,1.5328293076237278e-37,1.6902114305549236e-43,1.7446242023468428e-37,8.488885096440297e-41,1.1672254480130578e-50,1.971339851684243e-37,1.4768498228157168e-47,1.0654444974658692e-65,1.8138856862781661e-22,7.848760423147488e-70,3.6103388490923956e-51,6.135459058624685e-55,3.030741661169874e-56,5.718192088082399e-50,5.0691938526127124e-70,5.545428416601875e-66,6.697029766937148e-51,1.3023803768787956e-90,9.00041795900764e-58,2.3763220039019816e-45,6.864059894656937e-50,1.805457096933203e-58,2.071249756860862e-70
1.9982374582585577e-20,0.737925631664368,8.296336516850992e-24,1.4720055936645637e-25,1.4288706180909121e-37,2.375715193753008e-37,0.0,0.0,2.4246044774810328e-20,4.106288058174804e-37,1.6850590465233975e-47,1.9595794764311467e-47,4.1933796468103343e-51,2.733583622110123e-63,2.241168587920333e-42,4.65524180193602e-34,2.925383952878753e-48,5.3532453029160885e-34,7.523174787233913e-84,3.3748531765017797e-68,1.7809637050721723e-80,1.062317872421895e-79,3.6533190582739067e-22,7.093457414281748e-70,2.048073594353423e-55,1.6328145131242291e-87,6.3941791275233135e-102,2.9910687167493246e-82,1.2787495899726875e-101,3.4865487807976006e-98,2.748822727286365e-54,1.3002886715756166e-102,4.727906470917217e-101,2.8423371781110646e-113,3.76,0.0,0.6613974918934902,0.9999999999999495,2.78794099669849e-48,1.4456540477420643e-62,4.758019645162549e-16,4.758019645162549e-16,5.051319060209559e-14,1.301981089207698e-38,5.353245302916001e-34,2.4254341111326752e-20,1.587976423488412e-33,5.658603859581697e-36,1.3864108712101205e-51,4.936361413614447e-34,1.333889356693243e-36,2.349472284473915e-40,2.456499128022926e-34,7.82454944782609e-39,1.0519564916981969e-35,2.333674007472748e-34,1.581695654169049e-34,6.19594113975177e-37,6.83295116642124e-43,7.05204996729646e-37,3.4313430816596227e-40,9.477556834853885e-50,7.968470870626068e-37,5.969663524264524e-47,1.7320347638318246e-64,3.6533190582785555e-22,1.275929993365423e-68,1.4593714556889535e-50,4.968653818147068e-54,2.4645487843454294e-55,4.630743185398019e-49,8.240710800112885e-69,9.013860260320915e-65,5.445901163579297e-50,4.274542803586249e-89,7.288771814798024e-57,9.606021125401438e-45,5.5586936654603665e-49,1.4621064811164087e-57,3.359018247701662e-69
4.010448605036406e-20,0.737925631664368,1.665068937300378e-23,2.9543049327691063e-25,5.745425911906277e-37,9.55264630673615e-37,0.0,0.0,4.8661642310281965e-20,1.6511203680810458e-36,1.3562821175049423e-46,1.5772400421914045e-46,3.375209941010582e-50,2.200225915469801e-62,9.011640321838783e-42,1.871852254058882e-33,2.3546035079355687e-47,2.1525163919332627e-33,2.4313600927394544e-82,5.450396894739571e-67,5.771318797813151e-79,3.4425042402031223e-78,7.33218580226063e-22,1.14237944868706e-68,1.6484678076150304e-54,5.2912325410187885e-86,4.140513794230279e-100,9.671325990882641e-81,8.267671473526986e-100,2.263148312443821e-96,2.2124916731482846e-53,8.440323179045559e-101,3.068938424110592e-99,3.6979779843135785e-111,3.76,0.0,0.6613974918934897,0.9999999999998986,2.243977459535159e-47,2.3281812768645916e-61,9.549312154976581e-16,9.549312154976581e-16,1.0137962029579598e-13,5.235208754583202e-38,2.152516391933192e-33,4.867829299965327e-20,6.385183357106513e-33,2.275299724484007e-35,1.1159040841695867e-50,1.9848892135054532e-33,5.363510436993627e-36,9.44712472234602e-40,9.87747495302647e-34,3.146216919447892e-38,4.229870786360729e-35,9.38360054533118e-34,6.3599286599115565e-34,2.4913606815678794e-36,2.7481802229658474e-42,2.8355982758070284e-36,1.3797279616069897e-39,7.638373396308936e-49,3.204087090465644e-36,2.400375779275786e-46,2.7933095200392984e-63,7.332185802279324e-22,2.0577343317636773e-67,5.868187206170021e-50,3.9992048558844446e-53,1.987747878508906e-54,3.7272261708322376e-48,1.3290065771074302e-67,1.4536120906630398e-63,4.392311717902299e-49,1.3851910157524963e-87,5.866637665365951e-56,3.862979260553203e-44,4.4741202573764574e-48,1.1768307018670287e-56,5.410745388116175e-68
8.034870898592104e-20,0.7379256316643681,3.335939508537894e-23,5.918903611067714e-25,2.304172761590633e-36,3.831038421875022e-36,0.0,0.0,9.749283738122015e-20,6.621731157638493e-36,1.088330983647128e-45,1.2656358027472726e-45,2.7083986849710976e-49,1.7655427317687128e-61,3.6140708245111133e-41,7.506964745140346e-33,1.889421027370229e-46,8.632553468611415e-33,7.81888968504055e-81,8.76135382333232e-66,1.8584566113560583e-77,1.1085412171730441e-76,1.4689919290205842e-21,1.8337720141162925e-67,1.322791599543042e-53,1.7038611935242543e-84,2.665472760348762e-98,3.110906500724279e-79,5.318252630514672e-98,1.4586584479278896e-94,1.775385229932284e-52,5.44002230208361e-99,1.9780159043385782e-97,4.772057120894566e-109,3.76,0.0,0.6613974918934887,0.9999999999997969,1.800650590514161e-46,3.737246563745554e-60,1.913189717460463e-15,1.913189717460463e-15,2.0311247967261572e-13,2.099552907613691e-37,8.632553468610847e-33,9.75261967762987e-20,2.5607441105053585e-32,9.124969547775971e-35,8.95442750361375e-50,7.96029350953404e-33,2.1510075743547962e-35,3.788719546658383e-39,3.961309237030882e-33,1.2617737027663981e-37,1.6963673709011065e-34,3.7632435104658235e-33,2.550615847386189e-33,9.991470621489306e-36,1.1026890971655477e-41,1.1372017338309844e-35,5.533326224993169e-39,6.133315253405674e-48,1.2849822295704025e-35,9.62658312975095e-46,4.4870164183396245e-62,1.4689919290280808e-21,3.3054295146418907e-66,2.3535007937985264e-49,3.2091100356054684e-52,1.5966671942175943e-53,2.990864745109246e-47,2.134841945871521e-66,2.3349351152982017e-62,3.5281416962613125e-48,4.460535783650397e-86,4.707607258521015e-55,1.5495807123301427e-43,3.590199736284172e-47,9.443326061834662e-56,8.686365920344606e-67
